,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2017-01,652.79M,652.79M,155.75M,497.04M,126.51M,40.87M,167.38M,212.65M,8.036M,,-12.10M,1.308M,1.233M,-0.075M,,388.06M,108.98M,1.233M,1.308M,-0.075M,-0.543M,-0.075M,108.36M,21.77M,86.59M,,,86.59M,93.69M,159.13M,49.46M,109.67M,0.57,,,,0.6171,0.57,0.56,,,,0.606,0.56,150.78M,154.43M
2016-10,633.72M,633.72M,142.21M,491.51M,131.49M,42.16M,173.66M,221.95M,6.493M,,-6.646M,1.042M,1.216M,0.174M,,402.10M,89.40M,1.216M,1.042M,0.174M,-6.825M,0.174M,82.75M,10.06M,72.70M,,,72.70M,78.14M,133.01M,49.22M,83.79M,0.48,,,,0.5159,0.48,0.47,,,,0.5051,0.47,151.68M,155.00M
2016-07,615.20M,615.20M,139.68M,475.53M,127.33M,42.55M,169.88M,221.87M,7.055M,,0.00,1.208M,1.031M,-0.177M,,398.80M,76.72M,1.031M,1.208M,-0.177M,8.686M,-0.177M,85.23M,20.51M,64.72M,,,64.72M,64.79M,137.03M,50.59M,86.44M,0.43,,,,0.4305,0.43,0.42,,,,0.4205,0.42,151.17M,153.89M
2016-04,605.00M,605.00M,131.63M,473.38M,120.93M,41.55M,162.48M,216.17M,7.024M,,-0.894M,0.848M,0.889M,0.041M,,385.68M,87.70M,0.889M,0.848M,0.041M,9.482M,0.041M,97.22M,27.85M,69.38M,,,69.38M,70.57M,148.86M,50.79M,98.07M,0.46,,,,0.4679,0.46,0.45,,,,0.4577,0.45,152.25M,154.54M
2016-01,568.60M,568.60M,129.44M,439.16M,122.62M,39.70M,162.32M,196.70M,6.935M,,-2.093M,0.673M,0.58M,-0.093M,,365.96M,73.20M,0.58M,0.673M,-0.093M,-8.768M,-0.093M,64.34M,4.307M,60.04M,,,60.04M,61.45M,121.45M,56.44M,65.02M,0.39,,,,0.3992,0.39,0.39,,,,0.3991,0.39,152.97M,155.28M
2015-10,587.16M,587.16M,139.84M,447.32M,130.67M,43.84M,174.51M,208.30M,6.938M,,0.00,0.757M,0.545M,-0.212M,,389.76M,57.56M,0.545M,0.757M,-0.212M,-1.428M,-0.212M,55.92M,6.156M,49.76M,,,49.76M,48.83M,113.96M,57.29M,56.68M,0.32,,,,0.314,0.32,0.31,,,,0.3041,0.31,155.32M,158.71M
2015-07,555.80M,555.80M,129.47M,426.33M,116.99M,43.92M,160.91M,198.00M,6.188M,,0.248M,0.599M,0.54M,-0.059M,,365.10M,61.23M,0.54M,0.599M,-0.059M,4.018M,-0.059M,65.19M,9.806M,55.39M,,,55.39M,54.23M,118.28M,52.48M,65.79M,0.36,,,,0.3526,0.36,0.35,,,,0.3427,0.35,155.53M,158.58M
2015-04,557.20M,557.20M,124.97M,432.23M,120.58M,40.98M,161.55M,188.32M,6.436M,,0.00,0.804M,0.552M,-0.252M,,356.30M,75.93M,0.552M,0.804M,-0.252M,8.209M,-0.252M,83.88M,28.29M,55.60M,,,55.60M,55.26M,136.21M,51.52M,84.69M,0.36,,,,0.3578,0.36,0.35,,,,0.3478,0.35,154.52M,157.48M
2015-01,542.04M,542.04M,124.63M,417.41M,106.17M,36.35M,142.52M,181.61M,6.442M,,-15.34M,0.653M,1.148M,0.495M,,330.58M,86.84M,1.148M,0.653M,0.495M,-10.72M,0.495M,76.62M,11.43M,65.19M,,,65.19M,75.10M,127.80M,50.53M,77.27M,0.42,,,,0.4841,0.42,0.41,,,,0.473,0.41,154.46M,157.21M
2014-10,539.01M,539.01M,121.42M,417.59M,120.23M,42.97M,163.20M,190.37M,6.517M,,0.00,0.241M,0.327M,0.086M,,360.09M,57.50M,0.327M,0.241M,0.086M,4.542M,0.086M,62.13M,-0.327M,62.46M,,,62.46M,62.24M,114.44M,52.08M,62.37M,0.4,,,,0.3986,0.4,0.39,,,,0.3887,0.39,156.38M,159.08M
2014-07,521.81M,521.81M,115.53M,406.28M,112.27M,37.44M,149.71M,182.81M,6.537M,,0.00,0.715M,0.294M,-0.421M,,339.06M,67.23M,0.294M,0.715M,-0.421M,3.965M,-0.421M,70.77M,5.115M,65.66M,,,65.66M,65.58M,120.65M,49.16M,71.49M,0.42,,,,0.4195,0.42,0.42,,,,0.4195,0.42,155.19M,157.62M
2014-04,517.70M,517.70M,114.08M,403.61M,114.78M,40.58M,155.36M,178.04M,6.376M,,0.00,0.582M,0.314M,-0.268M,,339.78M,63.83M,0.314M,0.582M,-0.268M,4.493M,-0.268M,68.06M,4.742M,63.32M,,,63.32M,63.42M,116.51M,47.87M,68.64M,0.41,,,,0.4107,0.41,0.4,,,,0.4006,0.4,154.57M,157.08M
2014-01,478.95M,478.95M,105.85M,373.10M,105.79M,34.23M,140.02M,167.54M,5.378M,,0.00,0.357M,0.367M,0.01M,,312.95M,60.16M,0.367M,0.357M,0.01M,11.02M,0.01M,71.18M,3.488M,67.70M,,,67.70M,66.85M,115.26M,43.71M,71.54M,0.44,,,,0.4345,0.44,0.43,,,,0.4246,0.43,154.07M,156.76M
2013-10,504.88M,504.88M,119.11M,385.77M,114.91M,39.09M,154.00M,175.06M,5.693M,,,0.371M,0.328M,-0.043M,,334.75M,51.01M,0.328M,0.371M,-0.043M,8.086M,-0.043M,59.06M,2.167M,56.89M,,,56.89M,56.99M,105.08M,45.65M,59.43M,0.37,,,,0.3706,0.37,0.36,,,,0.3606,0.36,154.37M,157.76M
2013-07,482.94M,482.94M,115.65M,367.30M,105.38M,34.51M,139.89M,166.67M,5.744M,,,0.404M,0.301M,-0.103M,,312.30M,55.00M,0.301M,0.404M,-0.103M,3.28M,-0.103M,58.17M,5.875M,52.30M,,,52.30M,52.10M,106.18M,47.60M,58.58M,0.34,,,,0.3387,0.34,0.33,,,,0.3288,0.33,153.92M,157.06M
2013-04,499.26M,499.26M,107.73M,391.52M,103.93M,32.25M,136.18M,169.96M,5.875M,,,0.456M,0.928M,0.472M,,312.02M,79.50M,0.928M,0.456M,0.472M,6.732M,0.472M,86.71M,18.02M,68.69M,,,68.69M,67.50M,134.25M,47.09M,87.16M,0.45,,,,0.4422,0.45,0.44,,,,0.4324,0.44,153.52M,156.61M
2013-01,475.14M,475.14M,111.06M,364.07M,101.76M,37.94M,139.70M,157.51M,5.887M,,,0.464M,0.335M,-0.129M,,303.09M,60.98M,0.335M,0.464M,-0.129M,10.88M,-0.129M,71.73M,1.808M,69.92M,,,69.92M,65.63M,119.26M,47.06M,72.19M,0.46,,,,0.4317,0.46,0.45,,,,0.4222,0.45,151.48M,154.53M
2012-10,454.21M,454.21M,102.52M,351.69M,111.38M,41.90M,153.29M,153.57M,5.343M,,,0.528M,0.316M,-0.212M,,312.20M,39.49M,0.316M,0.528M,-0.212M,3.454M,-0.212M,42.73M,13.65M,29.08M,,,29.08M,29.05M,85.02M,41.76M,43.26M,0.19,,,,0.1898,0.19,0.18,,,,0.1798,0.18,150.07M,153.84M
2012-07,443.75M,443.75M,99.79M,343.96M,100.00M,31.77M,131.77M,143.96M,4.835M,,,0.736M,0.323M,-0.413M,,280.56M,63.40M,0.323M,0.736M,-0.413M,-1.897M,-0.413M,61.08M,-14.57M,75.66M,,,75.66M,75.88M,102.04M,40.21M,61.82M,0.51,,,,0.5115,0.51,0.5,,,,0.5015,0.5,147.80M,150.64M
2012-04,432.56M,432.56M,100.51M,332.06M,108.84M,49.95M,158.78M,151.23M,4.905M,,,0.71M,0.45M,-0.26M,,314.92M,17.14M,0.45M,0.71M,-0.26M,6.613M,-0.26M,23.49M,2.518M,20.97M,,,20.97M,19.22M,67.10M,42.90M,24.20M,0.14,,,,0.128,0.14,0.14,,,,0.1283,0.14,145.95M,149.30M
2012-01,425.50M,425.50M,89.85M,335.64M,95.40M,33.84M,129.24M,132.88M,3.521M,,,0.017M,0.478M,0.461M,,265.64M,70.00M,0.478M,0.017M,0.461M,3.365M,0.461M,73.83M,17.14M,56.69M,,,56.69M,56.67M,105.81M,31.96M,73.85M,0.39,,,,0.3899,0.39,0.39,,,,0.3899,0.39,143.88M,147.11M
2011-10,390.53M,390.53M,85.38M,305.15M,93.50M,26.37M,119.87M,125.42M,3.544M,,,,,0.33M,,248.83M,56.32M,,,0.33M,-3.092M,0.33M,53.56M,13.61M,39.94M,,,39.94M,40.00M,94.28M,31.59M,62.69M,0.28,0.0,,,0.2804,0.28,0.27,0.0,,,0.2704,0.27,143.86M,146.67M
2011-07,386.80M,386.80M,84.73M,302.06M,90.73M,27.05M,117.78M,122.55M,3.553M,,-2.25M,,,0.521M,,243.88M,58.18M,,,0.521M,-2.733M,0.521M,55.97M,3.885M,52.08M,,,52.08M,54.63M,90.14M,31.96M,58.18M,0.36,0.0,,,0.3775,0.36,0.35,0.0,,,0.3672,0.35,144.96M,148.04M
2011-04,393.67M,393.67M,86.03M,307.64M,99.56M,29.47M,129.03M,123.17M,3.756M,,5.418M,,,0.552M,,255.96M,51.68M,,,0.552M,5.022M,0.552M,57.26M,-23.86M,81.11M,,,81.11M,77.85M,85.01M,33.32M,51.68M,0.55,0.0,,,0.528,0.55,0.53,0.0,,,0.5086,0.53,148.46M,152.59M
2011-01,364.64M,364.64M,84.30M,280.34M,79.32M,29.86M,109.19M,120.74M,3.748M,0.908M,2.445M,,0.614M,0.614M,,233.68M,46.66M,0.614M,,0.614M,5.056M,0.614M,52.33M,4.106M,48.23M,,,48.23M,43.57M,78.34M,31.68M,46.66M,0.32,0.0,,,0.2887,0.32,0.31,0.0,,,0.2797,0.31,149.02M,153.64M
2010-10,375.46M,375.46M,79.74M,295.72M,96.97M,32.95M,129.92M,129.30M,3.243M,,5.901M,,0.851M,0.851M,,262.46M,33.26M,0.851M,,0.851M,5.588M,0.851M,39.70M,14.30M,25.40M,,,25.40M,21.83M,62.69M,29.43M,33.26M,0.17,0.0,,,0.1459,0.17,0.16,0.0,,,0.1367,0.16,148.32M,153.27M
2010-07,336.93M,336.93M,66.74M,270.19M,83.81M,27.37M,111.18M,105.65M,2.561M,0.468M,-3.127M,,1.315M,1.315M,,219.39M,50.79M,1.315M,,1.315M,-4.361M,1.315M,47.75M,8.42M,39.33M,,,39.33M,42.92M,72.35M,21.55M,50.79M,0.27,0.0,,,0.2943,0.27,0.26,0.0,,,0.2838,0.26,148.01M,151.11M
2010-04,338.11M,338.11M,69.03M,269.08M,79.36M,28.71M,108.08M,113.05M,2.985M,,4.242M,,1.502M,1.502M,,224.11M,44.97M,1.502M,,1.502M,5.539M,1.502M,53.87M,14.32M,39.55M,,,39.55M,35.48M,69.53M,24.57M,44.97M,0.27,0.0,,,0.2427,0.27,0.26,0.0,,,0.2333,0.26,148.89M,152.48M
2010-01,330.17M,330.17M,65.58M,264.59M,79.62M,25.85M,105.47M,101.23M,2.793M,,2.25M,,,,,209.49M,55.09M,,,,2.25M,,57.34M,-75.44M,132.79M,,,132.79M,131.32M,80.74M,25.65M,55.09M,0.9,0.0,,,0.89,0.9,0.88,0.0,,,0.8703,0.88,146.83M,150.79M
2009-10,338.28M,338.28M,73.17M,265.11M,86.25M,35.49M,121.74M,113.12M,3.129M,,13.48M,,,,,237.98M,27.12M,,,,13.48M,,31.81M,12.28M,19.53M,,,19.53M,11.25M,53.99M,26.87M,27.12M,0.13,0.0,,,0.0732,0.13,0.13,0.0,,,0.0746,0.13,145.73M,149.33M
2009-07,345.18M,345.18M,70.04M,275.14M,77.97M,27.74M,105.71M,105.39M,2.956M,3.374M,3.02M,,2.364M,2.364M,,214.05M,61.09M,2.364M,,2.364M,3.02M,2.364M,66.47M,19.04M,47.44M,,,47.44M,45.28M,85.94M,24.85M,61.09M,0.33,0.0,,,0.315,0.33,0.32,0.0,,,0.3052,0.32,144.14M,146.06M
2009-04,336.84M,336.84M,65.02M,271.82M,82.52M,28.69M,111.21M,103.00M,2.941M,,7.663M,,2.782M,2.782M,,217.15M,54.67M,2.782M,,2.782M,7.663M,2.782M,65.11M,16.82M,48.29M,,,48.29M,42.61M,78.98M,24.31M,54.67M,0.34,0.0,,,0.3003,0.34,0.33,0.0,,,0.2909,0.33,143.28M,145.42M
2009-01,339.76M,339.76M,65.42M,274.33M,77.38M,27.18M,104.57M,98.41M,3.786M,,-1.544M,,3.643M,3.643M,,206.76M,67.57M,3.643M,,3.643M,-1.544M,3.643M,69.67M,17.24M,52.43M,,,52.43M,53.59M,92.99M,25.42M,67.57M,0.37,0.0,,,0.3782,0.37,0.37,0.0,,,0.3781,0.37,141.86M,142.61M
2008-10,352.80M,352.80M,66.87M,285.94M,87.71M,27.33M,115.03M,102.56M,3.035M,,6.721M,,,,,220.63M,65.30M,,,,6.721M,,55.72M,9.323M,46.40M,,,46.40M,40.80M,88.91M,23.61M,65.30M,0.33,0.0,,,0.2908,0.33,0.32,0.0,,,0.282,0.32,142.68M,147.41M
2008-07,344.13M,344.13M,67.03M,277.10M,86.82M,26.51M,113.33M,109.19M,4.548M,,-1.074M,,4.021M,4.021M,,227.07M,50.03M,4.021M,,4.021M,-1.074M,4.021M,52.98M,-4.77M,57.75M,,,57.75M,58.45M,73.32M,23.29M,50.03M,0.41,0.0,,,0.4149,0.41,0.39,0.0,,,0.3947,0.39,142.54M,147.49M
2008-04,324.55M,324.55M,63.69M,260.86M,82.89M,26.17M,109.06M,95.28M,6.591M,,-5.117M,,5.268M,5.268M,,210.92M,49.94M,5.268M,,5.268M,-5.117M,5.268M,50.09M,10.70M,39.39M,,,39.39M,43.41M,74.85M,24.91M,49.94M,0.28,0.0,,,0.3084,0.28,0.27,0.0,,,0.2977,0.27,141.84M,145.27M
2008-01,315.46M,315.46M,61.31M,254.16M,77.37M,23.84M,101.21M,92.51M,6.591M,,-0.686M,,7.016M,7.016M,,200.32M,53.84M,7.016M,,7.016M,-0.686M,7.016M,60.17M,13.72M,46.44M,,,46.44M,46.97M,79.17M,25.33M,53.84M,0.32,0.0,,,0.3236,0.32,0.31,0.0,,,0.3135,0.31,146.00M,150.68M
2007-10,315.23M,315.23M,62.08M,253.15M,,,110.49M,97.02M,6.671M,,0.028M,,,,,214.18M,38.98M,,,,0.028M,,47.20M,6.186M,41.01M,,,41.01M,40.99M,66.50M,27.52M,38.98M,0.29,0.0,,,0.2898,0.29,0.27,0.0,,,0.2698,0.27,144.93M,151.02M
2007-07,304.10M,304.10M,58.39M,245.71M,,,119.59M,94.36M,6.65M,,2.021M,,,,,220.61M,25.10M,,,,2.021M,,33.83M,8.972M,24.86M,,,24.86M,23.37M,50.27M,25.17M,25.10M,0.17,0.0,,,0.1597,0.17,0.17,0.0,,,0.1601,0.17,143.82M,149.71M
2007-04,292.93M,292.93M,55.42M,237.51M,,,101.56M,91.96M,6.644M,,13.77M,,,,,200.16M,37.35M,,,,13.77M,,57.02M,15.75M,41.26M,,,41.26M,31.30M,62.84M,25.50M,37.35M,0.29,0.0,,,0.221,0.29,0.28,0.0,,,0.2135,0.28,144.37M,149.78M
2007-01,300.21M,300.21M,58.38M,241.84M,,,119.48M,95.88M,6.644M,,3.025M,,,,,222.01M,19.82M,,,,3.025M,,27.76M,4.399M,23.36M,,,23.36M,20.81M,47.00M,27.18M,19.82M,0.16,0.0,,,0.1422,0.16,0.16,0.0,,,0.1428,0.16,142.77M,148.11M
2006-10,283.38M,283.38M,56.81M,226.57M,,,112.93M,95.52M,6.691M,,4.542M,,,,,215.14M,11.43M,,,,4.542M,,15.98M,5.856M,10.12M,,,10.12M,7.243M,40.38M,28.94M,11.43M,0.07,0.0,,,0.0495,0.07,0.07,0.0,,,0.0497,0.07,140.43M,141.93M
2006-07,277.21M,277.21M,55.44M,221.76M,,,107.86M,93.97M,6.775M,,2.421M,,,,,208.61M,13.15M,,,,2.421M,,15.57M,8.024M,7.55M,,,7.55M,6.097M,40.72M,27.57M,13.15M,0.05,0.0,,,0.0398,0.05,0.05,0.0,,,0.0399,0.05,142.54M,143.96M
2006-04,274.78M,274.78M,55.86M,218.92M,,,112.39M,91.30M,7.131M,,-2.314M,,,,,210.81M,8.111M,,,,-2.314M,,9.143M,3.768M,5.375M,,,5.375M,6.763M,36.45M,28.34M,8.111M,0.04,0.0,,,0.0497,0.04,0.04,0.0,,,0.0495,0.04,143.35M,146.01M
2006-01,260.19M,260.19M,55.29M,204.90M,,,108.72M,88.39M,7.341M,,-0.426M,,,,,204.45M,0.454M,,,,-0.426M,,3.026M,1.329M,1.697M,,,1.697M,1.953M,30.09M,29.64M,0.454M,0.01,0.0,,,0.0118,0.01,0.01,0.0,,,0.0117,0.01,144.99M,146.97M
2005-10,254.84M,254.84M,55.41M,199.43M,,,112.80M,83.28M,7.388M,,4.829M,,,,,203.47M,-4.042M,,,,4.829M,,0.787M,15.90M,-15.11M,,,-15.11M,-18.01M,24.92M,28.96M,-4.042M,-0.11,0.0,,,-0.13,-0.11,-0.11,0.0,,,-0.13,-0.11,145.18M,145.18M
2005-07,251.45M,251.45M,59.41M,192.04M,,,109.18M,82.68M,7.804M,,37.20M,,,,,199.66M,-7.616M,,,,37.20M,,29.58M,12.29M,17.29M,,,17.29M,-5.026M,32.33M,39.94M,-7.616M,0.12,0.0,,,-0.0352,0.12,0.12,0.0,,,-0.0332,0.12,143.83M,145.67M
2005-04,244.34M,244.34M,41.62M,202.72M,,,106.09M,80.02M,36.93M,,1.322M,,,,-28.10M,194.94M,7.771M,,,,1.322M,,-19.01M,-14.03M,-4.972M,,,-4.972M,-5.765M,57.26M,49.49M,7.771M,-0.03,0.0,,,-0.0355,-0.03,-0.03,0.0,,,-0.0355,-0.03,144.80M,144.80M
2005-01,241.30M,241.30M,41.88M,199.43M,,,108.21M,72.92M,36.95M,,-0.501M,,,,-28.10M,189.98M,9.446M,,,,-0.501M,,-19.15M,-4.829M,-14.32M,,,-14.32M,-13.95M,59.93M,50.48M,9.446M,-0.1,0.0,,,-0.0974,-0.1,-0.1,0.0,,,-0.0974,-0.1,146.06M,146.06M
2004-10,230.56M,230.56M,40.67M,189.89M,,,112.09M,76.34M,34.54M,,-0.495M,,,,-26.06M,196.91M,-7.017M,,,,-0.495M,,-33.57M,-5.185M,-28.38M,,,-28.38M,-27.96M,41.23M,48.24M,-7.017M,-0.17,0.0,,,-0.167,-0.17,-0.17,0.0,,,-0.1671,-0.17,140.52M,144.74M
2004-07,281.68M,281.68M,38.76M,242.92M,,,98.59M,68.47M,34.09M,,1.277M,,,,-25.56M,175.59M,67.34M,,,,1.277M,,43.05M,1.222M,41.83M,,,41.83M,40.59M,115.59M,48.26M,67.34M,0.27,0.0,,,0.262,0.27,0.26,0.0,,,0.2523,0.26,155.20M,160.35M
2004-04,294.60M,294.60M,39.18M,255.42M,,,113.36M,70.14M,34.35M,,0.925M,,,,-25.72M,192.13M,63.29M,,,,0.925M,,38.50M,9.761M,28.74M,,,28.74M,28.05M,111.33M,48.04M,63.29M,0.19,0.0,,,0.1855,0.19,0.18,0.0,,,0.1757,0.18,154.81M,161.84M
2004-01,285.26M,285.26M,35.88M,249.38M,,,99.88M,70.34M,34.48M,,-1.069M,,,,-25.24M,179.46M,69.92M,,,,-1.069M,,43.61M,11.46M,32.15M,,,32.15M,32.94M,118.15M,48.23M,69.92M,0.21,0.0,,,0.215,0.21,0.19,0.0,,,0.1948,0.19,156.32M,165.86M
2003-10,316.45M,316.45M,39.53M,276.92M,,,103.76M,79.28M,32.84M,,2.052M,,,,-23.90M,191.98M,84.94M,,,,2.052M,,63.09M,18.52M,44.58M,,,44.58M,43.13M,131.27M,46.34M,84.94M,0.25,0.0,,,0.242,0.25,0.235,0.0,,,0.2273,0.235,180.39M,189.17M
