,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-04,-4.972M,,,-4.892M,99.97M,49.49M,49.49M,-16.02M,,,,,-24.30M,,-5.046M,18.84M,6.127M,-31.10M,0.393M,-35.08M,-11.47M,-16.58M,,-16.58M,,0.00,24.81M,0.738M,8.97M,,,,14.94M,-44.98M,-30.04M,,-30.04M,376.37M,-32.54M,-0.702M,343.13M,14.94M,,,-44.98M
2005-01,-14.32M,,,2.12M,,50.48M,50.48M,-7.205M,,,,,31.54M,,2.544M,-32.91M,-6.127M,115.95M,,111.00M,142.08M,-6.33M,,-6.33M,,-91.29M,25.58M,-0.738M,-72.78M,,,,2.268M,-40.16M,-37.89M,,-37.89M,346.71M,31.40M,-1.74M,376.37M,2.268M,,,-40.16M
2004-10,-28.38M,,,30.16M,48.24M,48.24M,48.24M,,,,,,-10.42M,,26.06M,22.14M,2.131M,-5.506M,,34.40M,33.57M,-9.932M,,-9.932M,,-20.41M,-32.41M,-0.683M,-63.43M,,,,14.82M,-134.97M,-120.14M,,-120.14M,499.23M,-150.01M,-2.519M,346.71M,14.82M,,,-134.97M
2004-07,41.83M,,,-7.219M,48.26M,48.26M,48.26M,,,,,,79.86M,,3.255M,1.252M,-2.23M,-36.26M,,45.89M,128.75M,-10.94M,,-10.94M,,-0.915M,-48.00M,-0.685M,-60.55M,,,,23.90M,-50.00M,-26.10M,,-26.10M,456.12M,42.10M,1.008M,499.23M,23.90M,,,-50.00M
2004-04,28.74M,,,-2.576M,96.27M,48.04M,48.04M,,,,,,-4.183M,,-3.917M,4.398M,-1.717M,21.61M,,16.19M,90.40M,-9.149M,,-9.149M,,-38.82M,48.32M,-0.686M,-0.335M,,,,31.86M,-77.40M,-45.54M,,-45.54M,412.73M,44.52M,-1.128M,456.12M,31.86M,,,-77.40M
2004-01,32.15M,,,-0.313M,,48.23M,48.23M,,,,,,5.248M,,-10.12M,-54.69M,-9.502M,0.313M,,-68.75M,11.32M,-14.98M,,-14.98M,,,-32.06M,-0.685M,-47.72M,,,,86.14M,-160.94M,-74.80M,,-74.80M,524.31M,-111.20M,-0.377M,412.73M,86.14M,,,-160.94M
2003-10,44.58M,,,60.02M,184.11M,46.34M,46.34M,-29.83M,,,,,0.804M,,71.64M,22.86M,-9.716M,-92.34M,,-6.749M,114.36M,-16.60M,,-16.60M,,167.74M,-25.94M,-168.40M,-43.20M,,,,55.24M,-34.10M,21.14M,,21.14M,426.28M,92.30M,5.727M,524.31M,55.24M,,,-34.10M
2003-07,48.48M,,,-3.258M,-90.87M,46.90M,46.90M,-0.673M,,,,-0.001M,45.91M,,-6.447M,10.73M,-2.598M,-9.917M,,37.67M,129.12M,-13.84M,,-13.84M,,-5.283M,-8.861M,-0.654M,-28.64M,,,,216.27M,-158.86M,57.41M,,57.41M,268.82M,157.89M,-0.432M,426.28M,216.27M,,,-158.86M
2003-04,22.29M,,,12.73M,46.97M,46.97M,46.97M,4.65M,,,,0.001M,-24.98M,,-0.748M,-7.124M,3.171M,59.64M,,29.96M,116.60M,-7.487M,,-7.487M,,-162.46M,6.026M,-1.308M,-165.23M,,,,38.27M,-67.80M,-29.53M,,-29.53M,347.34M,-78.16M,-0.359M,268.82M,38.27M,,,-67.80M
2003-01,34.38M,,,15.80M,43.90M,43.90M,43.90M,-4.65M,,,,,-14.55M,,1.842M,-58.31M,0.088M,12.95M,,-57.98M,31.46M,-12.22M,,-12.22M,,,-9.042M,,-21.26M,,,,25.15M,,25.15M,,25.15M,312.58M,35.36M,-0.596M,347.34M,25.15M,,,
