,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-07,,269.72M,241.56M,511.27M,110.88M,46.25M,157.13M,,23.12M,89.70M,,781.22M,,,,,,,511.06M,-346.79M,164.28M,744.49M,113.60M,858.09M,188.89M,72.90M,1.284B,2.065B,195.28M,,,195.28M,163.97M,359.25M,,,,,428.61M,428.61M,,787.86M,,,,,,,,,,120.98M,908.84M,1.404M,175.67M,1.308B,315.40M,,,-12.70M,1.157B
2006-04,,294.93M,239.61M,534.54M,138.32M,48.22M,186.55M,,23.17M,196.18M,,940.44M,,,,,,,513.59M,-346.79M,166.80M,735.18M,124.02M,859.20M,90.17M,75.15M,1.191B,2.132B,169.01M,,,169.01M,172.23M,341.24M,,,,,477.45M,477.45M,,818.69M,,,,,,,,,,114.60M,933.28M,1.438M,168.77M,1.294B,250.25M,,,-15.27M,1.198B
2006-01,,314.50M,199.79M,514.28M,84.00M,48.22M,132.22M,,24.81M,197.11M,,868.42M,,,,,,,511.90M,-346.79M,165.12M,,879.68M,879.68M,83.23M,73.58M,1.202B,2.070B,146.48M,,,146.48M,,146.48M,,,,,475.96M,475.96M,171.78M,794.21M,,,,,,,,,,105.96M,900.17M,1.427M,171.56M,1.280B,268.80M,,,-14.66M,1.170B
2005-10,,404.44M,182.07M,586.51M,100.18M,48.37M,148.55M,,16.92M,195.50M,,947.48M,0.0,42.75M,93.04M,381.19M,,,516.98M,-346.79M,170.20M,,871.50M,871.50M,74.33M,69.92M,1.186B,2.133B,231.36M,,,231.36M,169.88M,401.24M,,,,,415.69M,415.69M,,816.93M,,,,,,,,,,105.86M,922.79M,1.459M,162.88M,1.263B,199.48M,-15.16M,-2.317M,-17.48M,1.211B
2005-07,,319.95M,179.46M,499.41M,108.67M,46.52M,155.20M,,20.61M,126.59M,,801.80M,,,,,,,497.71M,-322.79M,174.92M,,922.10M,922.10M,154.97M,68.67M,1.321B,2.122B,211.40M,,,211.40M,197.32M,408.72M,,,,,415.45M,415.45M,,824.16M,,,,,,,,,,96.12M,920.29M,1.442M,190.39M,1.257B,229.50M,,,-16.96M,1.202B
2005-04,,343.13M,181.19M,524.32M,134.81M,46.52M,181.33M,,32.76M,127.72M,,866.13M,,,,,,,498.41M,-322.79M,175.62M,,818.70M,818.70M,173.21M,68.63M,1.236B,2.102B,185.34M,,,185.34M,189.66M,375.00M,,,,,467.16M,467.16M,,842.16M,,,,,,,,,,87.90M,930.07M,1.437M,176.84M,1.242B,237.80M,,,-10.56M,1.172B
2005-01,,376.37M,206.14M,582.50M,108.03M,46.52M,154.55M,,27.71M,127.63M,,892.39M,,,,,,,496.32M,-322.79M,173.53M,,855.82M,855.82M,155.52M,67.86M,1.253B,2.145B,166.53M,,,166.53M,196.52M,363.05M,,,,,482.19M,482.19M,,845.24M,,,,,,,,,,89.55M,934.79M,1.451M,186.94M,1.242B,212.78M,,,-6.818M,1.210B
2004-10,,346.71M,232.32M,579.03M,132.26M,46.58M,178.84M,,29.56M,125.60M,,913.03M,0.0,42.75M,92.45M,365.74M,,,500.94M,-322.79M,178.16M,,791.78M,791.78M,146.36M,62.86M,1.179B,2.092B,184.15M,,,184.15M,188.10M,372.24M,,,,,368.91M,368.91M,,741.16M,,,,,,,,,,85.98M,827.14M,1.474M,202.15M,1.241B,175.76M,,,-3.377M,1.265B
2004-07,,499.23M,200.11M,699.34M,143.01M,49.22M,192.23M,,30.08M,243.11M,,1.165B,,,,,,,471.52M,-291.44M,180.08M,,783.20M,783.20M,,93.51M,1.057B,2.222B,159.41M,,,159.41M,182.57M,341.98M,,,,,385.30M,385.30M,,727.28M,,,,,,,,,,80.74M,808.01M,1.548M,249.84M,1.240B,74.83M,,,-3.40M,1.414B
2004-04,,456.12M,156.89M,613.01M,220.85M,49.33M,270.18M,,33.34M,249.77M,,1.166B,,,,,,,473.48M,-291.44M,182.04M,,815.49M,815.49M,,74.64M,1.072B,2.238B,157.73M,,,157.73M,181.67M,339.40M,,,,,430.30M,430.30M,,769.70M,,,,,,,,,,72.88M,842.59M,1.552M,226.40M,1.237B,67.12M,,,-1.69M,1.396B
