,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2014-04,6.012B,6.012B,6.096B,6.096B,,45.32B,1.811B,,59.69B,,,,,180.26B,,180.26B,-62.62B,117.64B,19.52B,,19.52B,5.901B,143.06B,202.75B,,36.35B,4.648B,1.966B,42.96B,17.81B,60.77B,,6.804B,6.804B,300.00M,7.104B,,,70.00M,67.94B,45.70B,2.742B,48.44B,8.164B,8.164B,5.111B,0.00,,56.60B,124.55B,,323.00M,73.37B,2.111B,,,-2.712B,73.09B,,AOR,Restated
2014-01,7.281B,7.281B,6.677B,6.677B,,44.86B,1.909B,,61.18B,0.00,26.18B,95.49B,45.76B,5.589B,5.661B,178.68B,-60.77B,117.91B,19.51B,,19.51B,6.149B,143.57B,204.75B,,37.42B,,3.52B,40.94B,12.76B,53.70B,,11.77B,11.77B,309.00M,12.08B,,,89.00M,69.34B,41.77B,2.788B,44.56B,8.017B,8.017B,5.084B,1.491B,,54.07B,123.41B,,323.00M,76.57B,2.362B,,,-2.996B,76.26B,,AOR,Restated
2013-10,8.736B,8.736B,6.206B,6.206B,,49.67B,2.16B,,67.14B,,,,,176.64B,,176.64B,-59.41B,117.23B,19.73B,,19.73B,5.778B,142.73B,209.88B,,39.22B,1.573B,255.00M,41.05B,18.61B,59.66B,,16.96B,16.96B,315.00M,17.28B,,,87.00M,77.02B,41.70B,2.841B,44.54B,8.298B,8.298B,5.129B,1.492B,,54.33B,131.35B,,324.00M,72.89B,2.364B,,,-2.183B,73.39B,,AOR,Restated
2013-07,9.016B,9.016B,5.996B,5.996B,,42.79B,2.197B,,60.00B,,,,,173.85B,,173.85B,-57.86B,115.99B,19.28B,,19.28B,5.693B,140.97B,200.97B,,36.70B,3.141B,116.00M,39.96B,18.62B,58.57B,,13.33B,13.33B,309.00M,13.64B,,,,72.21B,40.68B,2.907B,43.58B,7.989B,7.989B,5.025B,495.00M,,52.07B,124.28B,,327.00M,70.79B,3.432B,,,-2.889B,71.66B,,AOR,Restated
2013-04,8.855B,8.855B,6.191B,6.191B,,43.14B,1.992B,,60.18B,,,,,172.98B,,172.98B,-56.55B,116.43B,19.73B,,19.73B,5.846B,142.01B,202.19B,,36.77B,4.649B,2.318B,43.74B,17.28B,61.02B,,12.22B,12.22B,311.00M,12.53B,,,,73.55B,41.54B,3.015B,44.55B,7.694B,7.694B,5.592B,549.00M,,52.79B,126.35B,,329.00M,68.49B,3.399B,,,-1.968B,70.25B,,AOR,Restated
2013-01,7.781B,7.781B,6.768B,6.768B,,43.80B,1.551B,,59.94B,0.00,25.61B,90.69B,43.70B,5.899B,5.828B,171.72B,-55.04B,116.68B,20.50B,,20.50B,5.987B,143.16B,203.10B,,38.08B,,5.062B,43.14B,12.58B,55.73B,,12.39B,12.39B,327.00M,12.72B,,,,71.82B,38.39B,3.023B,41.42B,7.613B,7.613B,5.395B,519.00M,,49.55B,121.37B,,332.00M,72.98B,3.62B,,,-587.00M,76.34B,,AOR,Restated
2012-10,8.643B,8.643B,5.567B,5.567B,,47.49B,1.654B,,63.43B,,,,,168.91B,,168.91B,-53.66B,115.25B,20.57B,,20.57B,6.562B,142.39B,205.82B,,40.27B,1.381B,1.01B,42.66B,18.54B,61.20B,,15.29B,15.29B,331.00M,15.62B,,,25.00M,76.84B,38.87B,2.964B,41.84B,8.044B,8.044B,4.71B,492.00M,,50.37B,127.22B,,336.00M,70.26B,3.861B,,,-562.00M,73.89B,,AOR,Restated
2012-07,7.935B,7.935B,5.365B,5.365B,,40.56B,2.319B,,56.26B,,,,,165.78B,,165.78B,-52.13B,113.65B,20.08B,,20.08B,5.674B,139.40B,195.66B,,36.07B,2.717B,1.308B,40.09B,17.75B,57.84B,,10.12B,10.12B,326.00M,10.45B,,,24.00M,68.32B,41.20B,2.975B,44.18B,8.028B,8.028B,4.423B,440.00M,,52.64B,120.96B,,338.00M,67.73B,3.739B,,,-1.531B,70.28B,,AOR,Restated
2012-04,8.117B,8.117B,5.574B,5.574B,,41.28B,2.221B,,57.28B,,,,,164.31B,,164.31B,-50.84B,113.47B,21.00B,,21.00B,5.349B,139.82B,197.10B,,37.07B,4.059B,2.56B,43.69B,16.64B,60.32B,,8.308B,8.308B,322.00M,8.63B,,,24.00M,68.98B,42.96B,3.04B,46.00B,7.735B,7.735B,4.971B,456.00M,,54.19B,123.16B,,339.00M,65.46B,3.625B,,,-463.00M,68.96B,,AOR,Restated
2012-01,6.55B,6.55B,5.937B,5.937B,,40.71B,1.774B,,54.98B,0.00,23.50B,84.28B,41.92B,5.936B,5.312B,160.94B,-48.61B,112.32B,20.65B,,20.65B,5.456B,138.43B,193.41B,,36.61B,,3.487B,40.10B,12.22B,52.31B,,6.022B,6.022B,326.00M,6.348B,,,,62.30B,44.07B,3.009B,47.08B,7.862B,7.862B,4.446B,404.00M,,55.34B,117.64B,,342.00M,68.69B,3.692B,,,-1.41B,71.32B,,AOR,Restated
