,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2017-12,125.00M,,4.00M,,,17.00M,21.00M,,,129.00M,129.00M,109.00M,0.00,75.00M,,-9.00M,109.00M,82.00M,717.00M,-1.00M,,,907.00M,,1.357B,-147.00M,,,,,-33.00M,,-180.00M,-1.00M,-140.00M,-141.00M,,-287.00M,-287.00M,-141.00M,-141.00M,35.00M,-1.00M,-535.00M,1.444B,642.00M,19.00M,2.105B,,,-1.00M,-287.00M,,
2017-09,430.00M,,3.00M,,,18.00M,21.00M,,,127.00M,127.00M,-3.00M,,57.00M,,-10.00M,-390.00M,-16.00M,-136.00M,2.00M,,,-540.00M,,82.00M,-116.00M,,,,,163.00M,,47.00M,,362.00M,362.00M,,-111.00M,-111.00M,-126.00M,-126.00M,48.00M,,173.00M,1.136B,302.00M,6.00M,1.444B,,,,-111.00M,,
2017-06,230.00M,,9.00M,,,21.00M,30.00M,,,127.00M,127.00M,-34.00M,,44.00M,-8.00M,-81.00M,150.00M,-144.00M,253.00M,-60.00M,,,199.00M,,538.00M,-188.00M,0.00,0.00,,19.00M,71.00M,,-98.00M,-302.00M,-29.00M,-331.00M,,-50.00M,-50.00M,-125.00M,-125.00M,47.00M,6.00M,-453.00M,1.139B,-13.00M,10.00M,1.136B,,0.00,-302.00M,-50.00M,,
2017-03,300.00M,,3.00M,,,20.00M,23.00M,,,119.00M,119.00M,-29.00M,,41.00M,-23.00M,-21.00M,1.00M,-19.00M,34.00M,2.00M,,,18.00M,,428.00M,-108.00M,0.00,0.00,,0.00,-271.00M,,-379.00M,1.497B,-1.623B,-126.00M,,0.00,0.00,-125.00M,-125.00M,53.00M,11.00M,-187.00M,1.262B,-138.00M,15.00M,1.139B,,1.498B,-1.00M,0.00,,
2016-12,430.00M,,0.00,,,19.00M,19.00M,,,112.00M,112.00M,-23.00M,,46.00M,-4.00M,-8.00M,122.00M,109.00M,207.00M,-36.00M,,,402.00M,,974.00M,-123.00M,0.00,0.00,,-1.68B,142.00M,,-1.661B,-1.00M,1.554B,1.553B,,-141.00M,-141.00M,-125.00M,-125.00M,15.00M,4.00M,1.306B,664.00M,619.00M,-21.00M,1.262B,,,-1.00M,-141.00M,,
2016-09,296.00M,,-7.00M,,,20.00M,13.00M,,,106.00M,106.00M,-32.00M,,88.00M,-10.00M,-3.00M,-365.00M,-31.00M,-216.00M,4.00M,,,-608.00M,,-150.00M,-85.00M,12.00M,12.00M,,-10.00M,17.00M,,-66.00M,-2.00M,263.00M,261.00M,,-222.00M,-222.00M,-111.00M,-111.00M,26.00M,10.00M,-36.00M,914.00M,-252.00M,2.00M,664.00M,,,-2.00M,-222.00M,,
2016-06,95.00M,,7.00M,,2.00M,18.00M,27.00M,,,110.00M,110.00M,-43.00M,,37.00M,-5.00M,-59.00M,150.00M,-122.00M,273.00M,10.00M,,,311.00M,,473.00M,-191.00M,0.00,0.00,,0.00,19.00M,,-172.00M,614.00M,-286.00M,328.00M,,-187.00M,-187.00M,-111.00M,-111.00M,30.00M,0.00,60.00M,556.00M,361.00M,-3.00M,914.00M,,616.00M,-2.00M,-187.00M,,
2016-03,266.00M,,4.00M,,-2.00M,18.00M,20.00M,,,103.00M,103.00M,-19.00M,,36.00M,-5.00M,3.00M,26.00M,-49.00M,22.00M,-49.00M,,,-50.00M,,354.00M,-111.00M,0.00,0.00,,-82.00M,-260.00M,,-453.00M,-2.00M,-61.00M,-63.00M,,-75.00M,-75.00M,-111.00M,-111.00M,33.00M,4.00M,-212.00M,868.00M,-311.00M,-1.00M,556.00M,,0.00,-2.00M,-75.00M,,
2015-12,449.00M,,4.00M,,,17.00M,21.00M,,,104.00M,104.00M,-11.00M,,42.00M,-9.00M,11.00M,112.00M,85.00M,161.00M,-11.00M,,,347.00M,,954.00M,-133.00M,0.00,0.00,,0.00,53.00M,,-80.00M,-2.00M,-79.00M,-81.00M,,-241.00M,-241.00M,-111.00M,-111.00M,16.00M,8.00M,-409.00M,408.00M,465.00M,-5.00M,868.00M,,,-2.00M,-241.00M,,
2015-09,311.00M,,2.00M,,,18.00M,20.00M,,,98.00M,98.00M,-21.00M,,69.00M,-4.00M,-2.00M,-389.00M,17.00M,-69.00M,-22.00M,,,-463.00M,,8.00M,-90.00M,0.00,0.00,,-19.00M,-455.00M,,-564.00M,-2.00M,426.00M,424.00M,,-387.00M,-387.00M,-90.00M,-90.00M,6.00M,3.00M,-44.00M,1.021B,-600.00M,-13.00M,408.00M,,,-2.00M,-387.00M,,
2015-06,154.40M,,6.90M,,,15.70M,22.60M,,,110.40M,110.40M,3.20M,,31.10M,-7.30M,-38.50M,197.20M,-130.90M,193.40M,22.40M,,,282.10M,,558.00M,-193.20M,,,,1.00M,-391.60M,,-583.80M,292.00M,-105.70M,186.30M,,-356.90M,-356.90M,-90.20M,-90.20M,17.50M,2.70M,-240.60M,1.288B,-266.40M,-0.80M,1.021B,,,-2.00M,-356.90M,,
2015-03,272.70M,,0.10M,,,14.60M,14.70M,,,100.00M,100.00M,-23.40M,,33.00M,-26.60M,2.70M,15.60M,-2.20M,22.10M,-17.30M,,,18.20M,,391.30M,-92.40M,,,,-137.80M,-11.10M,,-241.30M,-1.10M,68.20M,67.10M,,-147.50M,-147.50M,-90.90M,-90.90M,59.70M,25.30M,-86.30M,1.241B,63.70M,-16.60M,1.288B,,,-1.10M,-147.50M,,
2014-12,437.70M,,3.00M,,,16.60M,19.60M,,,98.00M,98.00M,-14.50M,,38.80M,-6.70M,-8.60M,58.10M,116.80M,86.80M,40.00M,,,301.70M,,866.00M,-108.70M,,,,-94.20M,-507.70M,,-710.60M,-1.30M,53.40M,52.10M,,-271.60M,-271.60M,-91.40M,-91.40M,11.20M,4.20M,-295.50M,1.395B,-140.10M,-14.10M,1.241B,,,-1.30M,-271.60M,,
2014-09,229.20M,,5.00M,,,17.10M,22.10M,,,100.60M,100.60M,-18.30M,,62.10M,-7.40M,-7.60M,-167.90M,-9.70M,-38.30M,-37.10M,,,-253.00M,,127.70M,-78.70M,,,,-10.00M,8.40M,,-80.30M,-3.60M,-2.90M,-6.50M,,-207.00M,-207.00M,-77.50M,-77.50M,12.60M,5.80M,-272.60M,1.629B,-225.20M,-8.50M,1.395B,,,-3.60M,-207.00M,,
2014-06,258.40M,,5.80M,,,18.30M,24.10M,,,104.60M,104.60M,-22.70M,,27.80M,-8.30M,-19.00M,30.50M,-69.40M,19.90M,19.90M,,,0.90M,,365.80M,-167.40M,,,,0.00,0.00,,-167.40M,-2.70M,-0.20M,-2.90M,,-66.90M,-66.90M,-76.60M,-76.60M,29.40M,4.80M,-112.20M,1.530B,86.20M,12.70M,1.629B,,,-2.70M,-66.90M,,
2014-03,213.70M,,1.80M,,,17.60M,19.40M,,,95.60M,95.60M,-15.40M,,29.90M,-6.60M,28.40M,91.70M,-74.50M,25.10M,-20.30M,,,22.00M,,387.00M,-125.90M,,,,0.00,8.40M,,-117.50M,-2.40M,1.90M,-0.50M,,-395.40M,-395.40M,-76.80M,-76.80M,27.20M,3.90M,-441.60M,1.748B,-172.10M,-45.70M,1.530B,,,-2.40M,-395.40M,,
2013-12,435.20M,,3.50M,,,17.60M,21.10M,,,95.50M,95.50M,5.10M,,38.60M,-15.50M,-6.10M,56.70M,45.20M,83.90M,-7.20M,,,178.60M,,752.50M,-131.20M,,,,0.00,-0.60M,,-131.80M,-3.00M,3.20M,0.20M,,-145.40M,-145.40M,-78.60M,-78.60M,20.10M,15.50M,-188.20M,1.322B,432.50M,-6.70M,1.748B,,,-3.00M,-145.40M,,
2013-09,301.80M,,2.30M,,,17.40M,19.70M,,,88.90M,88.90M,-23.40M,,56.30M,-9.80M,-6.80M,-375.10M,-58.10M,74.00M,-37.60M,,,-396.80M,,29.90M,-85.70M,,,,-9.20M,0.00,,-94.90M,-3.70M,0.20M,-3.50M,,-59.50M,-59.50M,-69.80M,-69.80M,8.10M,9.80M,-114.90M,1.496B,-179.90M,6.40M,1.322B,,,-3.70M,-59.50M,,
2013-06,95.90M,,5.50M,,,21.80M,27.30M,,,89.70M,89.70M,-32.80M,,27.40M,-6.20M,-15.80M,184.00M,-130.30M,14.40M,20.80M,,,88.90M,,292.10M,-155.50M,,,,0.00,0.80M,,-154.70M,-3.30M,0.20M,-3.10M,,-24.50M,-24.50M,-69.90M,-69.90M,19.80M,2.70M,-75.00M,1.439B,62.40M,-5.30M,1.496B,,0.00,-3.30M,-24.50M,-340.00M,-60.90M
2013-03,178.90M,,2.20M,,,20.20M,22.40M,,,90.40M,90.40M,-21.00M,,29.60M,-14.30M,-8.00M,147.90M,-15.90M,-138.40M,7.50M,,,1.10M,,279.10M,-100.10M,,,,0.00,5.50M,,-94.60M,1.00M,-6.30M,-5.30M,,-36.70M,-36.70M,-69.80M,-69.80M,34.20M,13.60M,-64.00M,1.324B,120.50M,-5.50M,1.439B,,0.00,1.00M,-36.70M,340.00M,60.90M
2012-12,449.40M,,3.00M,,,20.20M,23.20M,,,79.30M,79.30M,-3.50M,,34.30M,-17.80M,-28.10M,73.20M,70.90M,245.70M,-4.60M,-141.70M,,243.50M,,780.30M,-109.90M,,,,0.00,-2.10M,,-112.00M,-3.30M,3.00M,-0.30M,,-161.10M,-161.10M,-279.00M,-279.00M,20.90M,17.80M,-401.70M,1.054B,266.60M,3.30M,1.324B,,0.00,-3.30M,-161.10M,,
2012-09,299.60M,,4.50M,,,20.90M,25.40M,,,77.50M,77.50M,-18.80M,,54.50M,-15.60M,-6.00M,-518.10M,-59.20M,-79.30M,-26.90M,141.70M,,-541.80M,,-125.20M,-95.50M,,,,-8.70M,,,-104.20M,262.80M,-195.40M,67.40M,,-165.40M,-165.40M,-0.50M,-0.50M,16.20M,11.50M,-70.80M,1.348B,-300.20M,6.20M,1.054B,,498.70M,-235.90M,-165.40M,,
2012-06,52.20M,,5.30M,,,16.30M,21.60M,,,80.40M,80.40M,6.60M,15.00M,23.70M,-9.60M,-63.90M,218.60M,-107.20M,95.20M,37.70M,-8.00M,-105.30M,131.00M,,257.00M,-148.80M,,,,0.00,0.00,,-148.80M,-1.20M,75.50M,74.30M,,-42.70M,-42.70M,0.00,0.00,18.90M,5.10M,55.60M,1.193B,163.80M,-8.90M,1.348B,,0.00,-1.20M,-42.70M,,
2012-03,131.30M,,5.20M,,,17.30M,22.50M,,,74.40M,74.40M,-15.10M,0.00,24.40M,-14.10M,-33.00M,97.40M,6.80M,21.30M,-88.50M,41.30M,-9.20M,69.10M,,259.50M,-90.40M,,,,0.10M,0.00,,-90.30M,-122.30M,118.40M,-3.90M,,-27.60M,-27.60M,0.00,0.00,34.40M,14.10M,17.00M,999.10M,186.20M,7.50M,1.193B,,0.00,-122.30M,-27.60M,,
2011-12,398.40M,,-0.80M,,,25.10M,24.30M,,,141.00M,71.40M,-4.00M,6.70M,31.20M,-23.10M,-22.90M,-12.30M,80.60M,-150.60M,-12.30M,26.90M,232.10M,164.40M,,646.40M,-100.70M,,,,0.00,0.00,,-100.70M,-2.90M,2.30M,-0.60M,,-119.50M,-119.50M,-204.00M,-203.70M,33.90M,23.10M,-266.80M,719.50M,278.90M,0.70M,999.10M,,0.00,-2.90M,-119.50M,,
2011-09,278.60M,,3.00M,,,9.80M,12.80M,,,,69.60M,-9.60M,,45.40M,-11.00M,0.10M,-482.10M,-21.40M,102.40M,,,-21.00M,-422.10M,,-36.20M,-80.80M,,,,-7.70M,,,-88.50M,-2.40M,1.20M,-1.20M,,-402.90M,-402.90M,,-0.30M,3.60M,9.90M,-390.90M,1.253B,-515.60M,-17.90M,719.50M,,0.00,-2.40M,-402.90M,,
2011-06,43.20M,,2.80M,,,82.00M,84.80M,,,,81.80M,-16.40M,1.70M,20.30M,-11.60M,-90.60M,309.20M,-94.70M,-99.70M,,,-28.70M,186.20M,,299.40M,-127.10M,,,,0.00,0.00,,-127.10M,-48.80M,-6.30M,-55.10M,,-50.00M,-50.00M,,0.00,27.40M,53.40M,-24.30M,1.099B,148.00M,6.00M,1.253B,,-47.40M,-1.40M,-50.00M,,
2011-03,125.10M,,2.80M,,,-18.10M,-15.30M,,,,77.30M,-21.00M,36.30M,20.10M,-20.80M,2.30M,-46.00M,-0.60M,32.20M,,,30.00M,15.60M,,219.60M,-79.10M,,,,0.00,0.20M,,-78.90M,45.00M,-0.60M,44.40M,,-173.60M,-173.60M,,0.00,66.40M,-26.60M,-89.40M,1.043B,51.30M,4.60M,1.099B,,40.10M,-2.40M,-173.60M,,
2010-12,345.90M,,1.70M,,,6.40M,8.10M,,,,66.50M,6.80M,0.00,23.80M,-16.40M,4.60M,-18.70M,34.80M,42.80M,,,48.90M,107.80M,,547.10M,-87.10M,,,,2.40M,,,-84.70M,-50.60M,0.20M,-50.40M,,-173.00M,-173.00M,,-147.90M,47.70M,207.60M,-116.00M,693.50M,346.40M,3.20M,1.043B,,-47.20M,-3.20M,-173.00M,,
2010-09,189.60M,,0.40M,,,8.20M,8.60M,,,,68.80M,6.10M,,30.60M,-0.90M,1.30M,-369.20M,-34.60M,7.70M,,,52.90M,-343.20M,,-39.10M,-57.70M,,,,-258.50M,,,-316.20M,37.90M,7.10M,45.00M,,,,,-0.10M,14.60M,-142.90M,-83.40M,1.121B,-438.70M,11.50M,693.50M,,54.50M,-9.50M,,,
2010-06,482.40M,,12.70M,,,-51.80M,-39.10M,,,,66.90M,4.00M,2.80M,12.20M,-3.10M,-443.10M,211.70M,-64.80M,-73.50M,,,2.10M,75.50M,,158.50M,-109.20M,,,,-1.40M,0.00,,-110.60M,-201.80M,1.50M,-200.30M,,,,,0.00,32.00M,-121.90M,-290.20M,1.381B,-242.30M,-18.20M,1.121B,,0.00,-201.80M,,,
2010-03,-399.50M,,-0.50M,,,-15.50M,-16.00M,,,-127.70M,69.10M,0.20M,0.00,14.00M,-6.70M,460.20M,93.80M,-44.60M,25.20M,,,-14.40M,60.00M,,181.30M,-47.90M,,,9.30M,-9.30M,0.00,,-57.20M,-10.40M,-3.70M,-14.10M,,78.10M,78.10M,,0.00,173.00M,-202.70M,34.30M,1.224B,158.40M,-0.80M,1.381B,,0.00,-10.40M,78.10M,,
2009-12,261.70M,,5.40M,,,6.10M,11.50M,,,62.40M,62.40M,-7.10M,45.60M,11.60M,-1.00M,-2.80M,-7.60M,91.20M,31.00M,,,117.70M,232.30M,,614.20M,-68.10M,,,-9.30M,9.30M,-0.10M,,-58.90M,-1.10M,1.00M,-0.10M,,-77.70M,-77.70M,,-109.00M,,56.90M,-129.90M,799.20M,425.40M,-1.00M,1.224B,,0.00,5.20M,-77.70M,,
2009-09,137.80M,,5.40M,,,-2.90M,2.50M,,,65.30M,65.30M,-21.80M,,19.20M,0.00,10.10M,-218.70M,-42.60M,42.10M,,,8.80M,-210.40M,,2.70M,-45.40M,,,,-9.30M,,,-54.70M,-13.90M,-6.30M,-20.20M,,-0.40M,-0.40M,,-0.10M,,0.40M,-20.30M,864.50M,-72.30M,7.00M,799.20M,,0.00,-20.20M,-0.40M,,
2009-06,-12.40M,,3.30M,,,,-16.00M,,,62.20M,62.20M,-92.30M,48.50M,8.90M,0.00,12.20M,216.80M,49.10M,105.60M,,,6.70M,378.20M,,389.30M,-63.90M,,,,-4.00M,8.30M,,-59.60M,-1.00M,-109.20M,-110.20M,,0.00,0.00,,-8.30M,,0.10M,-118.40M,640.60M,211.30M,12.60M,864.50M,,-15.70M,-94.50M,0.00,-187.80M,-44.50M
2009-03,28.30M,,4.10M,,,,4.10M,,,65.90M,65.90M,-13.80M,14.60M,10.50M,0.00,0.30M,-24.10M,61.90M,-42.00M,,,-15.70M,-19.90M,,90.00M,-58.40M,,,,-64.50M,0.10M,63.80M,-59.00M,-1.50M,-106.10M,-107.60M,,0.00,0.00,,0.00,-109.50M,109.50M,-107.60M,728.90M,-76.60M,-11.70M,640.60M,,15.70M,-1.50M,0.00,187.80M,44.50M
2008-12,161.30M,,0.00,,,,0.00,,,63.30M,63.30M,5.00M,0.00,9.50M,0.00,0.10M,88.70M,111.50M,-7.20M,,,-19.30M,173.70M,,412.90M,-81.60M,,,,63.50M,-0.10M,-63.80M,-82.00M,293.20M,-98.50M,194.70M,,-5.60M,-5.60M,,-108.30M,109.50M,-109.30M,81.00M,328.80M,411.90M,-11.80M,728.90M,,77.40M,-4.50M,-5.60M,,
2008-09,49.60M,,4.00M,,,,4.00M,,,62.60M,62.60M,-7.10M,,22.60M,-1.40M,0.80M,-177.60M,-96.80M,-43.80M,,,-9.10M,-327.30M,,-196.20M,-75.90M,,,,-63.50M,0.50M,,-138.90M,-3.10M,220.30M,217.20M,,-57.00M,-57.00M,,-0.10M,,110.70M,270.80M,401.70M,-64.30M,-8.60M,328.80M,,220.30M,-3.10M,-57.00M,,
2008-06,120.20M,,7.20M,,,,7.20M,,,66.20M,66.20M,-35.50M,,6.40M,-0.50M,4.40M,103.40M,-51.90M,13.30M,,,-75.60M,-10.80M,,171.60M,-107.50M,,,,4.40M,-4.30M,,-107.40M,-1.60M,-76.20M,-77.80M,,-36.00M,-36.00M,,-9.20M,,46.90M,-76.10M,410.00M,-11.90M,3.60M,401.70M,,-76.20M,-1.60M,-36.00M,,
2008-03,90.10M,,5.30M,,,,-2.70M,,,62.60M,62.60M,-71.80M,,40.80M,-0.60M,-25.60M,11.60M,-10.80M,114.10M,,-160.00M,108.90M,63.80M,,156.60M,-89.90M,,160.40M,,-4.40M,0.00,,-94.30M,-4.30M,131.00M,-9.00M,-26.10M,-13.50M,-39.60M,,0.00,,71.10M,22.50M,319.50M,84.80M,5.70M,410.00M,-26.10M,131.00M,-4.30M,-13.50M,,
2007-12,224.40M,,,,,,6.30M,,,62.90M,62.90M,-1.90M,,,,14.00M,-26.90M,76.90M,23.80M,,125.90M,-10.70M,189.00M,,494.70M,-81.90M,,-81.90M,,0.40M,0.00,,-81.50M,,,-198.50M,26.10M,-25.70M,0.40M,,-106.60M,,-2.30M,-307.00M,211.40M,106.20M,1.90M,319.50M,26.10M,,,-25.70M,,
2007-09,39.10M,,,,,,1.70M,,,59.00M,59.00M,-6.40M,,,,19.10M,-174.60M,-84.90M,-11.50M,,34.10M,-8.40M,-245.30M,,-132.80M,-78.50M,,-78.50M,,-116.40M,-0.40M,,-195.30M,,,334.20M,,-54.40M,-54.40M,,,,2.70M,282.50M,253.70M,-45.60M,3.30M,211.40M,,,,-54.40M,,
2007-06,88.60M,,,,,,6.50M,,,54.40M,54.40M,26.20M,,,,15.10M,106.70M,-41.50M,38.40M,,-100.40M,17.20M,20.40M,-0.20M,211.00M,-100.10M,,-100.10M,,-4.50M,0.00,,-104.60M,,,-85.10M,32.50M,0.00,32.50M,,0.00,,-7.20M,-59.80M,202.00M,46.60M,5.10M,253.70M,32.50M,,,0.00,,
2007-03,93.90M,,,,,,6.60M,,,49.00M,49.00M,-3.90M,,,,5.30M,37.80M,-22.80M,-14.40M,,9.20M,-17.00M,-7.20M,-0.10M,143.60M,-71.50M,,-71.50M,,0.00,-0.10M,,-71.60M,,,540.10M,84.50M,-750.00M,-665.50M,,0.00,,3.80M,-121.60M,251.80M,-49.60M,-0.20M,202.00M,84.50M,,,-750.00M,,
2006-12,208.40M,,,,,,4.20M,,,52.90M,52.90M,-6.40M,,,,10.40M,-3.30M,62.30M,-17.50M,,86.90M,-15.20M,113.20M,-4.40M,378.30M,-73.20M,,-73.20M,,0.00,-0.10M,,-73.30M,,,-16.50M,37.10M,-143.80M,-106.70M,,-103.60M,,-10.10M,-236.90M,180.70M,68.10M,3.00M,251.80M,37.10M,,,-143.80M,,
2006-09,58.30M,,,,,,3.20M,,,50.90M,50.90M,-6.00M,,,,14.90M,-209.20M,-68.80M,39.90M,,62.30M,-15.30M,-191.10M,-1.50M,-71.30M,-67.30M,,-67.30M,,-56.70M,-0.30M,,-124.30M,,,114.90M,,-110.50M,-110.50M,,,,2.30M,6.70M,368.60M,-188.90M,1.00M,180.70M,,,,-110.50M,,
2006-06,44.50M,,,,,,-9.00M,,,51.40M,51.40M,-16.80M,,,,29.40M,151.30M,-34.20M,16.70M,28.20M,-39.90M,29.40M,151.50M,-10.70M,240.30M,-90.50M,,-90.50M,,6.80M,0.00,,-84.10M,,,-34.50M,23.50M,-48.00M,-24.50M,,0.00,,-0.50M,-59.50M,268.30M,96.70M,3.60M,368.60M,23.50M,,,-48.00M,,
