,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2011-12,42.34M,56.56M,,-1.616M,-7.19M,122.14M,2.32M,124.46M,124.46M,1.588M,11.99M,,1.745M,-11.98M,10.15M,-10.13M,,,0.019M,170.59M,,3.951B,-221.58M,3.809B,,-15.68M,13.96M,-847.49M,,-95.16M,,214.84M,646.91M,,646.91M,0.00,0.00,0.00,,-145.33M,-12.72M,703.71M,,136.68M,26.81M,,163.48M,,646.91M,-31.44M,-63.72M,0.00,0.069M,82.14M,,AOR,Restated
2011-09,52.36M,-0.185M,,-1.642M,-1.827M,115.64M,4.124M,119.76M,119.76M,-0.532M,0.00,,1.767M,-10.29M,32.30M,-17.64M,,,14.67M,176.04M,,-662.96M,12.89M,-646.95M,,-8.269M,0.598M,-657.74M,,384.80M,,384.80M,69.19M,,69.19M,0.00,0.00,0.00,254.60M,-144.32M,-20.04M,289.62M,,328.76M,-192.08M,,136.68M,,69.19M,92.00M,292.80M,0.00,0.289M,91.04M,,AOR,Restated
2011-06,86.21M,-30.22M,,-0.971M,-31.20M,111.05M,3.562M,114.62M,114.62M,-0.398M,0.00,,1.681M,-7.886M,-17.55M,-17.83M,,,-35.38M,127.81M,,-2.690B,164.64M,-2.523B,,4.381M,117.02M,-2.404B,,51.30M,,51.30M,33.38M,,33.38M,-0.304M,0.00,-0.304M,-143.88M,-143.88M,-4.019M,-63.53M,,2.668B,-2.339B,,328.76M,,33.07M,58.47M,-7.175M,0.00,0.00,77.63M,,AOR,Restated
2011-03,31.81M,-26.16M,,-1.543M,-27.70M,74.77M,4.338M,79.11M,79.11M,-0.658M,0.202M,0.00,5.593M,-1.418M,-29.64M,56.25M,,,26.60M,113.79M,,-688.02M,44.05M,-639.30M,,-3.417M,36.01M,-611.38M,,1.075B,,1.075B,1.388B,,1.388B,696.74M,,696.74M,-110.72M,-110.72M,-15.30M,3.034B,,131.57M,2.536B,,2.668B,,2.085B,1.381B,-305.91M,,0.031M,35.08M,,AOR,Restated
2010-12,46.03M,20.56M,,-2.177M,-17.73M,59.12M,1.135M,60.25M,60.25M,2.112M,0.00,,2.066M,-0.394M,-19.12M,2.154M,,,-16.97M,76.14M,,816.97M,-134.72M,666.24M,,116.15M,-37.94M,-1.312B,,618.28M,,778.28M,508.87M,,508.87M,0.00,,0.00,,-98.67M,-2.408M,1.186B,,181.15M,-49.58M,,131.57M,,508.87M,518.68M,99.59M,,0.099M,64.10M,,AOR,Restated
2010-09,0.092M,-10.53M,,-1.90M,-3.327M,52.39M,5.131M,57.52M,57.52M,-0.816M,0.947M,,1.01M,-1.67M,9.834M,4.587M,,,14.42M,97.10M,,-414.75M,80.23M,-330.86M,,-65.42M,0.823M,-399.11M,,70.17M,,70.17M,449.00M,,449.00M,0.00,,0.00,180.06M,-91.50M,0.059M,427.74M,,55.42M,125.72M,,181.15M,,449.00M,379.77M,-309.60M,,0.071M,21.08M,,AOR,Restated
2010-06,51.06M,-3.315M,,-1.828M,1.891M,47.45M,4.633M,52.08M,52.08M,-0.809M,0.00,,1.197M,-1.815M,-4.322M,-0.272M,,,-4.594M,99.02M,,-233.34M,16.43M,-211.63M,,-24.53M,-67.84M,-309.28M,,299.85M,,299.85M,19.77M,,19.77M,0.00,,0.00,-180.06M,-90.03M,-0.468M,229.12M,,36.56M,18.86M,,55.42M,,19.77M,457.33M,-157.47M,,0.055M,45.81M,,AOR,Restated
2010-03,31.69M,-6.718M,,-0.768M,10.55M,43.58M,3.414M,47.00M,47.00M,-0.487M,0.00,,7.55M,-2.715M,-6.925M,5.824M,,,-1.101M,92.49M,,-168.89M,38.06M,-123.75M,,-160.10M,-0.94M,-291.86M,,274.44M,,274.44M,17.79M,,17.79M,0.00,,0.00,,-90.03M,-1.742M,200.46M,,35.48M,1.082M,,36.56M,,17.79M,620.21M,-345.77M,,0.094M,25.22M,,AOR,Restated
2009-12,36.84M,-16.49M,,0.00,-16.08M,41.78M,4.413M,46.19M,46.19M,-0.369M,23.35M,,0.899M,-2.705M,-25.17M,4.727M,,,-20.44M,90.81M,,-191.88M,70.50M,-111.08M,,-3.164M,43.61M,-80.94M,,-8.101M,,-8.101M,20.65M,,20.65M,,,,-333.84M,-89.32M,0.027M,-76.75M,,102.35M,-66.88M,,35.48M,,20.65M,0.00,-8.101M,,0.32M,43.33M,,AOR,Restated
2009-09,24.69M,0.806M,,0.00,27.18M,41.09M,3.745M,44.83M,44.83M,-0.62M,1.873M,,1.075M,3.747M,-7.494M,10.84M,,,3.343M,106.12M,,-128.99M,21.22M,-97.80M,,-16.41M,-4.681M,-128.87M,,-303.89M,,-303.89M,434.69M,,434.69M,,,,162.76M,-81.75M,-3.446M,45.60M,,79.50M,22.85M,,102.35M,,434.69M,-133.07M,-170.82M,,0.15M,29.18M,,AOR,Restated
2009-06,64.76M,-10.68M,,0.00,-10.68M,40.73M,3.676M,44.41M,44.41M,-0.368M,,,1.08M,2.358M,0.664M,-12.31M,,,-11.65M,89.91M,,-149.69M,70.98M,-67.68M,,8.987M,-10.61M,-80.33M,,106.49M,,106.49M,25.80M,,25.80M,,,,-162.76M,-81.25M,-0.288M,50.75M,,19.18M,60.32M,,79.50M,,25.80M,133.07M,-26.58M,,0.384M,71.19M,,AOR,Restated
2009-03,66.64M,-17.04M,,0.00,-18.71M,41.33M,3.578M,44.90M,44.90M,-0.356M,,,6.579M,2.859M,-4.071M,-3.564M,,,-7.635M,94.42M,,-169.56M,61.30M,-98.39M,,-11.54M,139.88M,20.08M,,-257.00M,,-257.00M,223.39M,,223.39M,,,,,-81.51M,-3.573M,-118.69M,,23.37M,-4.19M,,19.18M,,223.39M,0.00,-257.00M,,,,,AOR,Restated
2008-12,27.39M,-33.12M,,,-33.12M,42.15M,3.62M,45.77M,45.77M,-0.363M,32.65M,,1.804M,7.921M,0.90M,-6.765M,,,-5.865M,76.28M,,-208.80M,78.75M,-121.61M,,-19.07M,-69.69M,-218.80M,,177.46M,,177.46M,44.96M,,44.96M,,,,,-76.12M,1.325M,147.62M,,18.27M,5.097M,,23.37M,,44.96M,183.00M,-5.544M,,-1.576M,-112.89M,,AOR,Restated
2008-09,59.32M,-12.62M,,,-13.39M,41.69M,5.327M,47.02M,47.02M,-0.214M,0.00,,1.472M,-0.656M,-2.94M,17.13M,,,14.19M,107.74M,,-344.40M,25.21M,-312.82M,,7.106M,57.83M,-254.25M,,-369.44M,,-369.44M,580.23M,,580.23M,,,,,-70.40M,-0.693M,139.70M,,25.08M,-6.805M,,18.27M,,580.23M,-357.00M,-12.44M,,1.576M,112.89M,,AOR,Restated
2008-06,161.26M,-114.46M,,,-114.46M,39.63M,2.364M,41.99M,41.99M,-0.199M,,,1.406M,8.056M,0.389M,2.544M,,,2.933M,100.99M,,-375.79M,182.98M,-182.58M,,17.06M,-182.82M,-358.57M,,298.66M,,298.66M,18.84M,,18.84M,,,,,-67.00M,-0.117M,250.38M,,32.28M,-7.204M,,25.08M,,18.84M,311.50M,-12.84M,,,,,AOR,Restated
2008-03,35.46M,-0.026M,,,-1.352M,39.57M,3.526M,43.10M,43.10M,-0.263M,,,3.848M,-7.528M,-2.043M,4.452M,,,2.409M,75.67M,,-168.41M,0.099M,-168.32M,,-26.82M,-8.763M,-203.90M,,55.39M,,55.39M,138.25M,,138.25M,,,,,-63.34M,-0.073M,130.24M,,30.27M,2.013M,,32.28M,,138.25M,125.50M,-70.11M,,,,,AOR,Restated
2007-12,46.14M,-11.66M,,,-16.64M,40.08M,4.854M,44.94M,44.94M,-0.136M,,,1.297M,9.964M,-2.226M,-0.453M,,,-2.679M,82.88M,,-197.83M,32.37M,-152.93M,0.00,-24.74M,-101.78M,-291.98M,,150.33M,,150.33M,164.17M,,164.17M,,,,,-60.06M,-46.51M,207.93M,,31.44M,-1.171M,,30.27M,,164.17M,81.78M,68.55M,,,,,AOR,Restated
2007-09,30.85M,-0.765M,,,-0.765M,40.14M,1.896M,42.03M,42.03M,0.268M,,,1.30M,-1.715M,4.358M,5.852M,,,10.21M,82.18M,,-175.78M,41.76M,-134.02M,0.00,-0.803M,-26.29M,-161.12M,,115.26M,,115.26M,17.59M,,17.59M,,,,,-59.88M,-1.059M,71.91M,,38.47M,-7.032M,,31.44M,,17.59M,249.77M,-134.51M,,,,,AOR,Restated
