,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,215.12M,,215.12M,1.089B,381.10M,1.470B,57.26M,1.743B,,,,,,,,,,68.32M,1.535B,1.603B,450.03M,,,,25.88B,27.62B,,,,,984.78M,984.78M,540.00M,540.00M,540.00M,,,1.525B,10.82B,71.30M,10.90B,458.56M,398.16M,,11.29B,12.82B,,1.091B,-4.210B,17.66B,68.66M,718.50M,-132.63M,14.34B,,AOR,Restated
2018-03,202.82M,,202.82M,1.033B,367.82M,1.400B,61.30M,1.665B,,,,,,,,,,68.32M,1.549B,1.617B,440.42M,,,,26.08B,27.75B,,,,,948.62M,948.62M,865.00M,865.00M,865.00M,,,1.814B,10.41B,71.85M,10.48B,500.89M,388.88M,,10.87B,12.69B,,1.091B,-4.041B,17.67B,68.70M,718.50M,-91.25M,14.56B,,AOR,Restated
2017-12,243.78M,,243.78M,950.16M,427.50M,1.378B,65.53M,1.687B,,,,,,,,,,68.32M,1.502B,1.571B,445.58M,,,,26.26B,27.94B,,,,,911.86M,911.86M,719.00M,719.00M,719.00M,,,1.631B,10.94B,72.24M,11.01B,502.30M,375.19M,,11.39B,13.02B,,1.091B,-4.155B,17.66B,64.56M,718.50M,-111.46M,14.42B,,AOR,Restated
2017-09,236.25M,,236.25M,1.019B,491.44M,1.511B,59.06M,1.806B,,,,,,,,,,68.32M,1.492B,1.561B,407.51M,,,,26.37B,28.18B,,,,,1.027B,1.027B,420.00M,420.00M,420.00M,,,1.447B,11.03B,72.68M,11.10B,514.74M,386.75M,,11.49B,12.94B,,1.090B,-3.722B,17.56B,62.36M,718.50M,-141.24M,14.73B,,AOR,Restated
2017-06,442.28M,,442.28M,1.003B,514.67M,1.518B,45.36M,2.006B,,,,,,,,,,68.32M,1.436B,1.504B,425.49M,,,,25.97B,27.98B,,,,,893.44M,893.44M,385.00M,385.00M,385.00M,,,1.278B,10.92B,73.09M,10.99B,484.69M,388.88M,,11.38B,12.66B,,1.088B,-3.475B,17.44B,62.34M,718.75M,-163.62M,14.83B,,AOR,Restated
2017-03,380.36M,,380.36M,1.056B,567.88M,1.624B,42.78M,2.047B,,,,,,,,,,68.32M,1.421B,1.490B,416.11M,,,,25.72B,27.77B,,,,,817.41M,817.41M,522.00M,522.00M,522.00M,,,1.339B,10.86B,73.47M,10.93B,474.06M,385.42M,,11.32B,12.66B,,1.084B,-3.344B,17.13B,62.31M,718.75M,-177.20M,14.64B,,AOR,Restated
2016-12,419.38M,,419.38M,1.169B,616.06M,1.785B,187.84M,2.392B,,,,,,,,,,68.32M,1.403B,1.471B,457.14M,,,,26.47B,28.87B,,,,,827.03M,827.03M,645.00M,645.00M,645.00M,,,1.472B,11.64B,73.93M,11.71B,475.08M,398.43M,,12.11B,13.58B,,1.369B,-3.341B,17.00B,54.74M,1.006B,-169.53M,14.81B,,AOR,Restated
2016-09,428.62M,,428.62M,1.269B,630.02M,1.899B,83.14M,2.411B,,,,,,,,,,68.32M,1.423B,1.491B,479.38M,,,,27.45B,29.86B,,,,,767.68M,767.68M,1.35B,1.35B,1.35B,,,2.118B,12.01B,74.37M,12.08B,474.39M,393.53M,,12.47B,14.59B,,1.369B,-3.362B,16.98B,52.19M,1.006B,-151.18M,14.79B,,AOR,Restated
2016-06,466.58M,,466.58M,1.138B,647.68M,1.785B,58.44M,2.310B,,,,,,,,,,68.32M,1.345B,1.414B,543.07M,,,,26.65B,28.96B,,,,,728.08M,728.08M,745.00M,745.00M,745.00M,,,1.473B,12.15B,74.76M,12.23B,475.19M,394.13M,,12.62B,14.10B,,1.364B,-3.389B,16.63B,51.29M,1.006B,-159.64M,14.39B,,AOR,Restated
2016-03,355.95M,,355.95M,1.118B,725.29M,1.843B,62.18M,2.262B,,,,,,,,,,68.32M,1.346B,1.414B,545.07M,,,,26.83B,29.09B,,,,,665.64M,665.64M,645.00M,645.00M,645.00M,,,1.311B,12.34B,75.09M,12.42B,480.20M,359.66M,,12.78B,14.09B,,1.363B,-3.277B,16.59B,51.27M,1.006B,-109.05M,14.52B,,AOR,Restated
2015-12,360.91M,,360.91M,1.102B,819.49M,1.921B,61.78M,2.344B,,,,,,,,,,68.32M,1.351B,1.419B,542.28M,,,,26.68B,29.02B,,,,,697.19M,697.19M,835.00M,835.00M,835.00M,,,1.532B,12.06B,75.49M,12.13B,585.32M,183.08M,,12.32B,13.85B,,1.361B,-3.120B,16.48B,44.37M,1.006B,-88.24M,14.59B,,AOR,Restated
2015-09,292.04M,,292.04M,1.049B,752.91M,1.802B,74.76M,2.169B,,,,,,,,,,68.32M,1.209B,1.277B,558.35M,,64.19M,,25.29B,27.46B,,,,,686.65M,686.65M,490.00M,490.00M,490.00M,,,1.177B,10.90B,75.38M,10.98B,492.08M,164.76M,,11.14B,12.32B,,1.359B,-2.961B,16.38B,44.34M,1.006B,-94.36M,14.65B,,AOR,Restated
2015-06,217.94M,,217.94M,948.35M,760.54M,1.709B,72.71M,2.000B,,,,,,,,,,68.32M,1.215B,1.283B,569.62M,,65.73M,,25.41B,27.41B,,,,,650.44M,650.44M,350.00M,350.00M,350.00M,,,1.000B,11.13B,75.24M,11.20B,358.11M,159.40M,,11.36B,12.36B,,1.358B,-2.852B,16.30B,41.69M,1.006B,-81.67M,14.69B,,AOR,Restated
2015-03,202.27M,,202.27M,949.03M,745.27M,1.694B,85.18M,1.982B,,,,,,,,,,68.32M,1.187B,1.255B,715.47M,,63.38M,,24.65B,26.63B,,,,,604.15M,604.15M,410.00M,410.00M,410.00M,,,1.014B,10.53B,75.62M,10.60B,362.56M,92.51M,,10.70B,11.71B,,1.357B,-2.876B,16.22B,41.37M,1.006B,-107.50M,14.56B,,AOR,Restated
2014-12,473.73M,,473.73M,745.83M,380.17M,1.126B,79.70M,1.679B,,,,,,,,,,68.32M,1.136B,1.204B,744.15M,,,,23.28B,24.96B,,,,,626.82M,626.82M,,,,,,626.82M,10.69B,84.05M,10.78B,297.90M,86.41M,,10.86B,11.49B,,1.335B,-2.794B,14.74B,35.24M,1.006B,-77.01M,13.18B,,AOR,Restated
2014-09,998.68M,,998.68M,668.99M,318.22M,987.21M,118.17M,2.104B,,,,,,,,,,68.32M,1.092B,1.161B,656.21M,,72.08M,,22.44B,24.54B,,,,,677.04M,677.04M,0.00,0.00,0.00,,,677.04M,10.20B,83.61M,10.28B,309.81M,76.42M,,10.36B,11.04B,,1.334B,-2.722B,14.67B,35.24M,1.006B,-52.70M,13.20B,,AOR,Restated
2014-06,207.35M,,207.35M,574.73M,367.19M,941.91M,65.14M,1.214B,,,,,,,,,,68.32M,1.085B,1.153B,680.56M,,65.48M,,22.36B,23.57B,,,,,678.40M,678.40M,0.00,0.00,0.00,,,678.40M,10.26B,83.85M,10.35B,332.12M,35.40M,,10.38B,11.06B,,1.315B,-2.612B,13.52B,32.29M,1.006B,-18.64M,12.18B,,AOR,Restated
2014-03,185.93M,,185.93M,534.68M,351.40M,886.08M,67.80M,1.140B,,,,,,,,,,68.32M,1.067B,1.135B,668.17M,,68.84M,,22.07B,23.21B,,,,,612.67M,612.67M,562.00M,562.00M,562.00M,,,1.175B,10.30B,84.37M,10.38B,328.37M,34.17M,,10.41B,11.59B,,1.297B,-2.452B,12.49B,26.45M,1.006B,-25.42M,11.29B,,AOR,Restated
2013-12,158.78M,,158.78M,553.31M,332.15M,885.46M,72.82M,1.117B,,,,,,,,,,68.32M,1.071B,1.139B,479.63M,,70.88M,,21.97B,23.08B,,,,,640.57M,640.57M,130.00M,130.00M,130.00M,,,770.57M,10.44B,84.46M,10.52B,341.75M,35.04M,,10.56B,11.33B,,1.307B,-2.271B,12.42B,21.26M,1.017B,-24.53M,11.41B,,AOR,Restated
2013-09,164.84M,,164.84M,585.07M,307.38M,892.45M,80.89M,1.138B,,,,,,,,,,68.32M,1.051B,1.119B,475.57M,,68.57M,,21.91B,23.05B,,,,,660.44M,660.44M,847.67M,847.67M,847.67M,,,1.508B,9.512B,84.07M,9.596B,353.96M,31.71M,,9.627B,11.14B,,1.311B,-2.062B,12.35B,21.26M,1.023B,-23.48M,11.56B,,AOR,Restated
2013-06,512.47M,,512.47M,598.72M,312.36M,911.07M,212.81M,1.636B,,,,,,,,,,68.32M,928.91M,997.23M,768.74M,,71.22M,,20.56B,22.20B,,,,,539.36M,539.36M,0.00,0.00,0.00,,,539.36M,9.481B,79.48M,9.560B,420.00M,32.81M,,9.593B,10.13B,,1.308B,-1.863B,12.26B,21.25M,1.023B,-49.17M,11.64B,,AOR,Restated
2013-03,269.84M,,269.84M,490.67M,276.88M,767.55M,225.36M,1.263B,,,,,,,,,,68.32M,811.50M,879.82M,781.79M,,73.74M,,19.53B,20.79B,,,,,518.17M,518.17M,710.00M,710.00M,710.00M,,,1.228B,9.063B,80.56M,9.144B,202.38M,33.73M,,9.178B,10.41B,,1.284B,-1.654B,10.60B,21.24M,1.023B,-33.09M,10.18B,,AOR,Restated
2012-12,1.034B,,1.034B,411.10M,895.66M,1.307B,107.66M,2.448B,,,,,,,,,,68.32M,673.68M,742.00M,438.94M,,66.33M,,17.10B,19.55B,,,,,462.10M,462.10M,0.00,0.00,0.00,,,462.10M,8.450B,81.55M,8.532B,225.72M,34.59M,,8.566B,9.029B,,1.283B,-1.510B,10.54B,17.88M,1.023B,-11.03M,10.29B,,AOR,Restated
2012-09,1.382B,,1.382B,,,391.35M,140.40M,1.914B,0.00,1.269B,14.77B,572.76M,219.70M,,16.83B,-1.480B,15.35B,68.32M,,68.32M,456.55M,284.91M,57.54M,153.46M,16.37B,18.28B,,,,,405.80M,405.80M,,,,,,405.80M,7.236B,82.60M,7.319B,201.42M,,,7.319B,7.725B,,1.282B,-1.408B,10.50B,17.53M,1.023B,-10.43M,10.36B,,AOR,Restated
2012-06,204.90M,,204.90M,,,407.08M,79.62M,691.59M,0.00,1.189B,14.06B,524.14M,170.78M,,15.94B,-1.369B,14.57B,68.32M,,68.32M,460.96M,300.00M,60.60M,193.31M,15.66B,16.35B,,,,,400.06M,400.06M,,,,,,400.06M,7.604B,81.96M,7.686B,203.79M,,,7.686B,8.086B,,1.238B,-1.286B,8.130B,17.27M,1.023B,-13.59M,8.058B,,AOR,Restated
2012-03,469.22M,,469.22M,,,381.13M,83.50M,933.85M,0.00,1.146B,13.58B,497.39M,150.75M,,15.37B,-1.273B,14.10B,68.32M,,68.32M,239.25M,298.87M,57.25M,165.74M,14.93B,15.86B,,,,,393.20M,393.20M,,,,,,393.20M,6.795B,83.02M,6.878B,192.17M,,,6.878B,7.271B,,1.511B,-1.182B,8.089B,17.26M,1.298B,-11.64M,8.396B,,AOR,Restated
2011-12,163.48M,,163.48M,380.53M,292.51M,673.03M,69.62M,906.14M,,,,,,,,,,68.32M,428.20M,496.52M,241.72M,,58.58M,,14.02B,14.92B,,,,,371.56M,371.56M,610.00M,610.00M,610.00M,,,981.56M,6.547B,84.00M,6.631B,153.88M,33.65M,,6.664B,7.646B,,1.203B,-1.078B,7.020B,13.54M,1.010B,-11.93M,7.125B,,AOR,Restated
2011-09,136.68M,,136.68M,,,337.16M,56.68M,530.51M,0.00,1.039B,12.11B,361.83M,208.26M,,13.72B,-1.085B,12.64B,68.32M,,68.32M,239.98M,318.79M,59.45M,5.55M,13.33B,13.86B,,,,,342.01M,342.01M,,,,,,342.01M,6.710B,82.87M,6.793B,147.24M,,,6.793B,7.135B,,1.189B,-977.51M,6.385B,13.54M,1.010B,-10.35M,6.579B,,AOR,Restated
2011-06,328.76M,,328.76M,,,342.15M,42.50M,713.41M,0.00,983.75M,11.50B,347.66M,212.16M,,13.04B,-968.29M,12.07B,51.21M,,51.21M,250.93M,324.96M,48.81M,18.20M,12.77B,13.48B,,,,,325.55M,325.55M,,,,,,325.55M,6.320B,83.79M,6.404B,153.26M,,,6.404B,6.729B,,1.188B,-887.03M,6.315B,13.49M,1.010B,-10.14M,6.598B,,AOR,Restated
2011-03,2.668B,,2.668B,,,322.46M,38.72M,3.029B,0.00,819.62M,8.708B,347.62M,353.81M,,10.23B,-867.05M,9.362B,51.21M,,51.21M,250.11M,445.83M,48.62M,71.13M,10.23B,13.26B,,,,,334.26M,334.26M,,,,,,334.26M,6.140B,8.813M,6.149B,155.01M,,,6.149B,6.483B,,1.187B,-830.35M,6.281B,13.48M,1.010B,-10.30M,6.620B,,AOR,Restated
2010-12,131.57M,,131.57M,,,328.99M,79.07M,539.63M,23.44M,727.05M,7.627B,258.08M,356.79M,,8.992B,-836.97M,8.156B,51.21M,,51.21M,237.11M,435.30M,32.96M,,8.912B,9.452B,,,,,244.34M,244.34M,,,,,,244.34M,4.461B,8.881M,4.470B,134.80M,,,4.470B,4.714B,,438.82M,-751.68M,4.932B,11.35M,291.67M,-11.10M,4.603B,,AOR,Restated
2010-09,181.15M,,181.15M,,,252.33M,61.22M,494.70M,0.00,668.14M,6.350B,223.35M,286.37M,,7.528B,-804.65M,6.723B,,,,213.16M,415.38M,29.53M,16.93M,7.398B,7.893B,,,,,201.53M,201.53M,,,,,,201.53M,3.471B,,3.471B,90.08M,,,3.471B,3.673B,,410.05M,-692.63M,4.429B,11.35M,275.00M,-11.46M,4.130B,,AOR,Restated
2010-06,55.42M,,55.42M,,,208.07M,59.66M,323.15M,0.00,571.50M,5.855B,147.86M,255.88M,,6.830B,-766.63M,6.063B,,,,181.53M,466.78M,31.57M,13.02M,6.756B,7.079B,,,,,187.44M,187.44M,,,,,,187.44M,3.155B,,3.155B,10.40M,,,3.155B,3.342B,,410.93M,-607.60M,3.937B,11.32M,286.41M,-8.526M,3.727B,,AOR,Restated
2010-03,36.56M,,36.56M,,,192.83M,17.69M,247.08M,0.00,551.59M,5.512B,147.96M,374.85M,,6.587B,-718.67M,5.868B,,,,166.65M,439.43M,25.40M,27.61M,6.527B,6.774B,,,,,185.98M,185.98M,,,,,,185.98M,2.828B,,2.828B,9.682M,,,2.828B,3.014B,,411.95M,-568.70M,3.917B,11.30M,287.97M,-4.092M,3.750B,,AOR,Restated
2009-12,35.48M,,35.48M,,,199.34M,23.24M,258.05M,45.69M,521.06M,5.185B,127.39M,456.83M,,6.336B,-677.85M,5.658B,0.00,,0.00,5.816M,422.18M,22.70M,,6.109B,6.367B,,,,,145.71M,145.71M,,,,,,145.71M,2.414B,0.00,2.414B,10.41M,,,2.414B,2.560B,,412.07M,-509.99M,3.901B,7.619M,288.68M,-2.891M,3.797B,,AOR,Restated
2009-09,102.35M,,102.35M,,,157.61M,17.49M,277.46M,0.00,523.11M,4.934B,121.06M,638.51M,,6.216B,-664.42M,5.552B,,,,3.02M,487.24M,24.76M,37.12M,6.104B,6.381B,,,,,124.77M,124.77M,,,,,,124.77M,2.420B,,2.420B,10.62M,,,2.420B,2.545B,,411.55M,-457.89M,3.879B,7.619M,288.68M,-4.942M,3.826B,,AOR,Restated
2009-06,79.50M,,79.50M,,,132.23M,18.83M,230.57M,0.00,518.21M,4.716B,133.48M,730.38M,,6.098B,-636.32M,5.461B,,,,2.531M,481.22M,23.20M,48.82M,6.017B,6.248B,,,,,89.29M,89.29M,,,,,,89.29M,2.697B,,2.697B,10.11M,,,2.697B,2.787B,,400.45M,-400.78M,3.454B,7.587M,288.71M,-1.016M,3.451B,,AOR,Restated
2009-03,19.18M,,19.18M,,,146.40M,16.36M,181.94M,0.00,504.14M,4.653B,133.46M,763.98M,,6.055B,-627.90M,5.427B,,,,0.836M,473.08M,25.10M,35.52M,5.961B,6.143B,,,,,102.60M,102.60M,,,,,,102.60M,2.590B,,2.590B,10.49M,,,2.590B,2.692B,,399.67M,-384.29M,3.428B,7.577M,288.73M,-1.348M,3.440B,,AOR,Restated
2008-12,23.37M,,23.37M,,,158.80M,154.07M,336.24M,48.05M,504.91M,4.654B,133.32M,639.42M,,5.980B,-600.78M,5.379B,,,,1.03M,475.38M,23.58M,,5.879B,6.215B,,,,,129.07M,129.07M,,,,,,129.07M,2.848B,,2.848B,10.60M,,,2.848B,2.977B,,394.56M,-369.42M,3.205B,5.145M,289.93M,-1.113M,3.228B,,AOR,Restated
2008-09,18.27M,,18.27M,,,137.03M,83.19M,238.49M,0.00,506.08M,4.649B,136.60M,497.67M,,5.790B,-569.36M,5.220B,,,,1.862M,494.46M,25.32M,41.34M,5.783B,6.022B,,,,,124.99M,124.99M,,,,,,124.99M,2.686B,,2.686B,8.958M,,,2.686B,2.811B,,405.01M,-313.93M,3.124B,5.145M,301.90M,-11.90M,3.202B,,AOR,Restated
2008-06,25.08M,,25.08M,,,133.95M,149.69M,308.72M,0.00,480.48M,4.486B,134.64M,369.83M,,5.471B,-535.38M,4.936B,,,,1.287M,489.73M,27.07M,42.15M,5.496B,5.805B,,,,,107.27M,107.27M,,,,,,107.27M,3.057B,,3.057B,7.669M,,,3.057B,3.164B,,395.66M,-304.05M,2.552B,5.11M,305.68M,-8.546M,2.633B,,AOR,Restated
2008-03,32.28M,1.168M,33.45M,,,171.83M,,205.28M,,,,,,,5.671B,-517.49M,5.153B,,,,,380.84M,,,5.534B,5.387B,,,,,110.72M,110.72M,,,,,,110.72M,2.758B,,2.758B,9.697M,,,2.758B,2.869B,,416.89M,-399.44M,2.510B,3.986M,327.90M,-18.47M,2.509B,,AOR,Restated
2007-12,30.27M,,30.27M,,,121.48M,17.58M,169.33M,0.00,447.03M,4.225B,131.31M,313.71M,,5.117B,-478.37M,4.639B,,,,1.408M,373.99M,30.50M,,5.045B,5.214B,,,,,95.14M,95.14M,,,,,,95.14M,2.705B,,2.705B,9.687M,,,2.705B,2.800B,,415.66M,-372.70M,2.370B,3.952M,330.24M,-7.381M,2.404B,,AOR,Restated
2007-09,31.44M,4.617M,36.06M,,,117.43M,,153.48M,,,,,,,4.972B,-449.83M,4.522B,,,,,264.58M,,,4.786B,4.972B,,,,,105.63M,105.63M,,,,,,105.63M,2.601B,,2.601B,4.928M,,,2.601B,2.701B,,420.25M,-361.59M,2.200B,3.952M,338.99M,3.302M,2.261B,,AOR,Restated
2007-06,38.47M,4.70M,43.17M,,,109.82M,,152.99M,,,,,,,4.825B,-414.63M,4.410B,,,,,242.83M,,,4.653B,4.825B,,,,,98.54M,98.54M,,,,,,98.54M,2.457B,,2.457B,2.294M,,,2.457B,2.553B,,419.74M,-332.56M,2.182B,3.941M,338.99M,-0.135M,2.267B,,AOR,Restated
2007-03,31.29M,4.70M,35.99M,,,98.51M,,134.50M,,,,,,,4.436B,-381.45M,4.055B,,,,4.70M,249.54M,,,4.309B,4.459B,,,,,95.60M,95.60M,,,,,,95.60M,2.352B,,2.352B,2.354M,,,2.352B,2.446B,,412.92M,-304.94M,1.902B,3.941M,338.99M,-0.135M,2.008B,,AOR,Restated
2006-12,36.22M,4.70M,40.92M,,,96.14M,,137.06M,,,,,,,4.283B,-347.01M,3.936B,,,,,187.04M,,,4.123B,4.281B,,,,,101.59M,101.59M,,,,,,101.59M,2.198B,,2.198B,2.228M,,,2.198B,2.297B,,412.14M,-306.01M,1.874B,2.866M,338.99M,-0.135M,1.979B,,AOR,Restated
2006-09,15.49M,5.07M,20.56M,,,73.13M,,93.69M,,,,,,,3.218B,-332.92M,2.885B,,,,,209.71M,,,3.095B,3.201B,,,,,50.56M,50.56M,,,,,,50.56M,1.603B,,1.603B,,,,1.603B,1.654B,,339.88M,-261.41M,1.469B,2.714M,276.88M,0.00,1.547B,,AOR,Restated
2006-06,15.20M,5.07M,20.27M,,,71.88M,,92.15M,,,,,,,3.105B,-317.87M,2.787B,,,,,171.32M,,,2.958B,3.062B,,,,,45.64M,45.64M,,,,,,45.64M,1.471B,,1.471B,,,,1.471B,1.516B,,339.32M,-242.73M,1.451B,2.714M,276.88M,0.00,1.546B,,AOR,Restated
2006-03,25.76M,2.97M,28.73M,,,62.27M,,91.00M,,,,,,,3.032B,-293.74M,2.739B,,,,,170.99M,,,2.910B,3.013B,,,,,49.40M,49.40M,,,,,,49.40M,1.528B,,1.528B,,,,1.528B,1.578B,,335.56M,-225.61M,1.326B,2.714M,276.88M,0.00,1.435B,,AOR,Restated
2005-12,36.24M,2.97M,39.21M,,,71.21M,,110.42M,,,,,,,2.937B,-274.88M,2.662B,,,,,187.59M,,,2.850B,2.972B,,,,,40.59M,40.59M,,,,,,40.59M,1.501B,,1.501B,,,,1.501B,1.541B,,334.92M,-208.93M,1.306B,2.054M,276.88M,0.00,1.431B,,AOR,
2005-09,27.12M,3.298M,30.42M,,,81.41M,,111.83M,,,,,,,2.653B,-265.48M,2.387B,,,,,229.10M,,,2.616B,2.737B,,,,,44.05M,44.05M,,304.00M,304.00M,,,348.05M,1.373B,,1.373B,,,,1.373B,1.417B,,331.52M,-201.55M,1.191B,1.766M,276.99M,0.001M,1.320B,,AOR,Restated
2005-06,15.07M,3.298M,18.36M,,,82.56M,,100.92M,,,,,,,2.649B,-257.54M,2.392B,,,,,238.31M,,,2.630B,2.740B,,,,,44.35M,44.35M,,318.00M,318.00M,,,362.35M,1.382B,,1.382B,,,,1.382B,1.426B,,337.52M,-187.96M,1.166B,1.766M,283.75M,0.001M,1.314B,,AOR,Restated
