,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,964.93M,,964.93M,161.08M,9.528M,251.42M,,,,12.45M,,,,1.771M,1.236B,,,,,5.361B,-2.214B,3.146B,120.50M,,5.762M,22.85M,6.915M,3.302B,4.538B,19.86M,21.72M,40.85M,82.43M,101.63M,184.06M,1.00M,304.00M,304.00M,,304.00M,5.00M,5.00M,,8.002M,510.49M,45.51M,1.218B,,1.218B,291.28M,318.88M,,29.72M,,7.182M,1.621B,2.132B,47.61M,1.252B,1.743B,637.71M,,,,2.383M,2.407B
2017-12,480.05M,,480.05M,215.51M,1.312M,272.67M,,,,8.006M,,,,2.794M,764.96M,,,,,5.207B,-2.135B,3.072B,86.08M,,2.239M,22.96M,778.91M,3.962B,4.727B,7.815M,17.35M,49.37M,74.53M,111.43M,185.96M,4.952M,304.00M,304.00M,,304.00M,81.50M,81.50M,,32.99M,630.05M,43.60M,1.218B,,1.218B,227.03M,256.18M,,29.40M,,10.58M,1.573B,2.203B,47.56M,1.162B,1.742B,430.58M,,,,2.077M,2.524B
2017-09,510.26M,,510.26M,162.07M,0.425M,188.65M,12.13M,0.867M,,13.00M,3.587M,,,,718.03M,,,,,7.344B,-3.109B,4.235B,148.92M,,3.763M,23.18M,0.101M,4.411B,5.129B,25.85M,16.96M,40.46M,83.26M,94.03M,177.30M,6.073M,237.00M,237.00M,,237.00M,,,,0.80M,438.23M,59.60M,1.285B,,1.285B,638.01M,665.61M,,27.36M,,8.81M,2.046B,2.484B,47.54M,1.230B,1.739B,375.09M,,,,3.482M,2.645B
2017-06,516.53M,,516.53M,176.84M,1.322M,193.81M,10.76M,0.319M,,11.08M,4.468M,,,,735.82M,,,,,7.179B,-2.976B,4.203B,140.58M,,5.222M,23.46M,111.38M,4.484B,5.219B,32.57M,14.54M,90.85M,137.97M,79.60M,217.57M,2.00M,,,,,,,,2.688M,234.42M,57.50M,1.521B,,1.521B,617.33M,643.53M,,37.21M,,7.861M,2.343B,2.577B,47.54M,1.236B,1.733B,375.09M,,,,0.726M,2.642B
2017-03,537.48M,,537.48M,189.24M,3.334M,194.38M,10.34M,1.76M,,12.10M,1.523M,,,,748.31M,,,,,8.160B,-3.831B,4.328B,135.98M,,7.506M,24.12M,0.106M,4.496B,5.244B,27.88M,23.64M,96.30M,147.82M,55.13M,202.96M,2.00M,,,,,,,,12.69M,224.40M,133.53M,1.521B,,1.521B,590.58M,616.00M,,37.04M,,5.381M,2.313B,2.537B,47.54M,1.237B,1.728B,306.84M,,,,1.002M,2.707B
2016-12,498.54M,,498.54M,185.59M,5.335M,201.34M,11.00M,2.299M,,13.30M,,,,2.692M,715.88M,,,,,7.970B,-3.720B,4.250B,129.52M,,2.991M,23.99M,0.058M,4.407B,5.123B,27.36M,17.66M,43.60M,88.62M,112.78M,201.40M,2.00M,,,,,0.00,0.00,,40.26M,257.81M,131.73M,1.521B,,1.521B,579.45M,603.62M,,36.26M,,4.952M,2.297B,2.555B,47.50M,1.099B,1.727B,306.84M,,,,0.985M,2.568B
2016-09,501.19M,,501.19M,118.84M,1.986M,136.86M,10.96M,2.525M,,13.49M,3.588M,,,,655.64M,,,,,8.227B,-3.504B,4.723B,127.90M,,1.144M,24.56M,0.078M,4.876B,5.532B,26.44M,16.26M,78.80M,121.50M,59.40M,180.90M,2.00M,,,,,,,,5.818M,196.76M,134.70M,1.520B,,1.520B,749.98M,775.06M,,37.62M,,4.33M,2.472B,2.669B,47.50M,1.401B,1.722B,306.84M,,,,-0.313M,2.863B
2016-06,517.49M,,517.49M,115.46M,2.211M,122.24M,13.04M,1.947M,,14.98M,,,,4.528M,659.24M,,,,,8.141B,-3.379B,4.763B,123.62M,,,24.87M,0.056M,4.911B,5.570B,23.57M,15.76M,82.20M,121.53M,59.78M,181.32M,2.00M,20.00M,20.00M,,20.00M,,,,18.50M,228.49M,133.07M,1.520B,,1.520B,745.08M,769.61M,,36.94M,0.994M,3.928M,2.464B,2.693B,47.50M,1.420B,1.717B,306.84M,,,,-0.331M,2.878B
2016-03,579.32M,,579.32M,97.20M,2.484M,105.06M,14.19M,1.762M,,15.95M,,,,1.371M,720.69M,,,,,8.165B,-3.327B,4.838B,117.18M,,,26.97M,0.059M,4.982B,5.703B,28.94M,23.10M,75.22M,127.26M,43.39M,170.66M,,,20.00M,,20.00M,,,,,199.38M,130.80M,1.583B,,1.583B,780.30M,805.44M,,36.24M,,3.596M,2.559B,2.759B,47.49M,1.493B,1.711B,306.84M,,,,-0.365M,2.944B
2015-12,0.514M,,0.514M,116.77M,2.557M,124.55M,14.68M,2.364M,,17.05M,,,,2.671M,144.79M,,,,,9.573B,-4.596B,4.977B,103.52M,,0.00,27.79M,0.064M,5.108B,5.253B,30.04M,19.70M,88.26M,138.00M,61.68M,199.68M,2.00M,20.00M,20.00M,,20.00M,,,,,235.55M,143.61M,1.996B,,1.996B,807.24M,829.61M,,35.29M,,3.653M,3.008B,3.244B,42.38M,1.552B,722.00M,306.84M,,,,-0.365M,2.009B
2015-09,8.773M,,8.773M,114.15M,5.001M,135.96M,15.02M,3.205M,0.062M,18.28M,,,,3.959M,215.42M,,,,,9.477B,-4.336B,5.141B,93.41M,,,34.38M,0.062M,5.269B,5.485B,33.31M,25.57M,82.19M,141.08M,79.25M,220.33M,,,20.00M,,20.00M,0.081M,12.75M,12.67M,,265.58M,138.89M,2.017B,,2.017B,874.70M,898.96M,,38.02M,,4.478M,3.097B,3.363B,42.38M,1.671B,716.93M,306.84M,,,,-2.151M,2.122B
2015-06,15.23M,,15.23M,130.73M,1.44M,138.35M,17.75M,2.651M,0.022M,20.42M,,,,4.807M,254.99M,,,,,9.340B,-4.207B,5.133B,81.08M,,,36.13M,0.065M,5.250B,5.505B,37.63M,20.48M,84.56M,142.66M,120.48M,263.15M,,,,,,0.081M,2.835M,2.754M,,278.85M,134.76M,1.995B,,1.995B,878.07M,908.20M,,37.31M,,4.876M,3.080B,3.359B,42.37M,1.695B,717.33M,306.84M,,,,-2.151M,2.146B
2015-03,13.95M,,13.95M,182.86M,-0.614M,185.28M,11.54M,2.394M,0.158M,14.09M,,,,2.046M,349.40M,,,,,9.131B,-4.072B,5.059B,74.53M,,,29.40M,0.184M,5.163B,5.512B,68.89M,35.73M,100.99M,205.61M,147.09M,352.70M,,,,,,0.087M,39.23M,39.14M,,402.75M,130.54M,1.877B,,1.877B,851.65M,880.74M,,36.45M,,9.312M,2.934B,3.337B,42.35M,1.731B,711.18M,306.84M,,,,-2.151M,2.176B
2014-12,20.95M,,20.95M,227.84M,6.515M,239.01M,10.68M,3.281M,0.07M,14.03M,,,,1.855M,413.45M,,,,,8.828B,-3.903B,4.926B,68.03M,,,30.46M,0.065M,5.024B,5.438B,54.95M,23.93M,105.90M,184.78M,256.15M,440.93M,,,,,,,35.27M,35.27M,,499.02M,124.66M,1.752B,,1.752B,843.88M,872.81M,,35.83M,,10.68M,2.796B,3.295B,42.29M,1.699B,710.43M,306.84M,,,,-2.151M,2.143B
2014-09,309.99M,,309.99M,190.33M,0.439M,191.27M,10.08M,3.596M,0.055M,13.73M,2.73M,0.00,53.72M,,587.95M,,,,,8.107B,-2.976B,5.130B,57.50M,,,31.54M,0.07M,5.219B,5.807B,53.94M,31.53M,127.33M,212.79M,201.01M,413.80M,,,,,,0.089M,0.089M,,0.102M,432.79M,114.24M,1.612B,,1.612B,1.208B,1.238B,,35.94M,0.549M,6.963M,3.008B,3.441B,42.29M,1.929B,713.09M,298.73M,,,,-19.20M,2.366B
2014-06,45.61M,,45.61M,211.56M,0.208M,212.10M,8.889M,2.81M,0.215M,11.91M,2.571M,0.00,32.95M,,306.10M,,,,,7.648B,-2.822B,4.826B,49.85M,,,27.38M,0.071M,4.903B,5.209B,43.79M,27.84M,87.92M,159.54M,137.30M,296.85M,,,,,,0.107M,0.107M,,38.49M,362.15M,77.46M,1.193B,,1.193B,1.101B,1.133B,,35.21M,,6.451M,2.445B,2.807B,42.29M,1.837B,723.22M,167.98M,,,,-32.16M,2.402B
2014-03,25.43M,,25.43M,242.37M,0.516M,245.07M,7.193M,3.169M,0.03M,10.39M,1.415M,19.71M,71.81M,,373.83M,,,,,7.378B,-2.668B,4.711B,32.97M,,,28.24M,0.169M,4.772B,5.146B,56.96M,39.98M,93.44M,190.37M,135.85M,326.22M,,,,,,8.334M,8.334M,,73.43M,432.63M,75.60M,1.222B,,1.222B,1.074B,1.105B,,34.37M,,6.899M,2.444B,2.877B,42.29M,1.727B,713.95M,167.98M,,,,-45.97M,2.269B
2013-12,23.40M,,23.40M,215.36M,0.746M,222.48M,8.396M,9.056M,0.016M,17.47M,2.587M,28.09M,81.86M,,378.90M,,,,,7.072B,-2.526B,4.546B,26.89M,,,28.98M,0.079M,4.602B,4.981B,26.02M,52.16M,88.11M,166.29M,170.01M,336.30M,,,,,,14.09M,14.09M,0.00,13.91M,407.90M,73.85M,1.147B,,1.147B,1.068B,1.101B,,33.55M,,13.04M,2.369B,2.776B,42.20M,1.628B,710.94M,167.98M,,,,-8.361M,2.205B
2013-09,27.93M,,27.93M,173.10M,1.612M,180.45M,9.136M,11.73M,-0.029M,20.84M,3.703M,,,,289.76M,,,,,7.300B,-2.610B,4.690B,16.15M,,8.708M,26.52M,0.081M,4.742B,5.031B,24.30M,21.06M,89.06M,134.41M,190.31M,324.72M,,,,,,35.69M,40.38M,4.69M,,399.27M,70.52M,1.162B,,1.162B,986.94M,1.019B,,41.04M,,11.08M,2.303B,2.703B,42.20M,1.558B,698.38M,3.349M,,,,33.24M,2.329B
2013-06,47.28M,,47.28M,193.70M,6.26M,212.24M,9.274M,8.629M,0.373M,18.28M,4.889M,,50.86M,,403.19M,,,,,7.034B,-2.476B,4.558B,11.50M,,17.96M,26.99M,0.078M,4.615B,5.018B,19.13M,22.29M,94.85M,136.28M,210.00M,346.28M,,75.00M,75.00M,,75.00M,51.03M,51.03M,0.00,,494.39M,68.39M,1.067B,,1.067B,1.015B,1.046B,,40.31M,,15.72M,2.237B,2.732B,21.08M,1.497B,725.16M,3.349M,,,,46.56M,2.286B
2013-03,20.46M,,20.46M,167.40M,1.555M,172.66M,8.011M,3.425M,-0.158M,11.28M,1.174M,,29.10M,,238.88M,,,,,6.761B,-2.349B,4.413B,8.211M,,,27.90M,0.078M,4.449B,4.688B,11.01M,26.34M,80.12M,117.46M,169.44M,286.91M,,75.00M,75.00M,,75.00M,40.61M,40.61M,0.00,26.10M,447.26M,69.09M,1.052B,,1.052B,910.61M,940.04M,,39.64M,3.799M,12.79M,2.117B,2.565B,21.08M,1.412B,715.90M,3.349M,,,,-22.30M,2.123B
2012-12,30.74M,,30.74M,165.07M,2.817M,172.42M,6.392M,7.494M,0.287M,14.17M,2.158M,0.00,0.00,,270.31M,,,,,6.518B,-2.207B,4.311B,6.915M,,,28.03M,0.083M,4.346B,4.616B,14.04M,20.63M,79.15M,113.82M,188.41M,302.23M,,75.00M,75.00M,,75.00M,44.20M,49.41M,5.203M,0.192M,444.14M,67.02M,1.012B,,1.012B,882.67M,906.56M,,38.86M,,16.28M,2.041B,2.485B,42.09M,1.373B,695.57M,3.349M,,,,23.88M,2.131B
2012-09,37.50M,0.0,37.50M,99.75M,1.092M,104.82M,10.12M,6.507M,1.067M,17.70M,2.937M,0.00,,,224.67M,83.30M,,238.96M,,6.420B,-2.201B,4.219B,4.45M,,4.379M,18.38M,0.666M,4.258B,4.483B,71.84M,13.86M,5.506M,91.22M,178.54M,269.76M,,75.00M,75.00M,,75.00M,33.24M,47.47M,14.23M,2.941M,412.79M,63.07M,987.00M,,987.00M,837.32M,859.99M,,40.99M,5.868M,12.94M,1.970B,2.383B,21.02M,1.337B,718.76M,3.349M,,,,27.26M,2.100B
2012-06,48.64M,0.0,48.64M,82.92M,3.561M,89.17M,5.466M,6.247M,0.272M,11.98M,4.821M,1.907M,,,295.87M,82.46M,,238.80M,,6.155B,-2.093B,4.062B,2.078M,,18.76M,30.50M,1.317M,4.114B,4.410B,237.42M,16.03M,,253.45M,25.06M,278.51M,,,,,,,45.94M,45.94M,0.193M,340.86M,61.95M,972.00M,,972.00M,829.03M,829.03M,,61.36M,0.951M,12.72M,1.938B,2.279B,21.00M,1.304B,720.67M,3.349M,,,,88.83M,2.131B
2012-03,32.33M,0.0,32.33M,95.12M,,95.12M,3.854M,7.539M,,11.39M,1.371M,1.907M,,0.925M,339.73M,81.35M,,238.28M,5.670B,5.989B,-1.978B,4.011B,0.00,,22.26M,28.26M,1.345M,4.063B,4.403B,14.05M,24.21M,,38.26M,22.57M,60.83M,,,,,,,68.41M,61.87M,181.14M,322.15M,61.28M,1.012B,,1.012B,814.19M,814.19M,7.956M,39.59M,1.481M,19.18M,1.956B,2.278B,20.98M,1.272B,716.96M,3.349M,,,,117.92M,2.125B
2011-12,29.91M,,29.91M,111.31M,1.003M,115.77M,7.146M,13.51M,0.619M,21.28M,2.345M,2.234M,,,345.80M,,,,,5.805B,-1.871B,3.935B,0.00,,21.25M,28.52M,1.342M,3.986B,4.331B,18.25M,14.37M,57.35M,89.98M,163.99M,253.97M,,,,,,1.489M,56.62M,55.13M,0.385M,343.34M,60.14M,950.00M,,950.00M,802.59M,822.78M,,38.71M,,11.75M,1.883B,2.227B,20.90M,1.258B,724.38M,3.349M,,,,104.55M,2.105B
2011-09,62.93M,0.0,62.93M,98.66M,0.81M,111.77M,18.63M,10.15M,,28.30M,3.499M,2.234M,0.00,0.821M,310.04M,79.11M,,237.67M,,6.199B,-2.096B,4.103B,0.00,,23.45M,34.25M,1.343M,4.162B,4.472B,77.83M,17.63M,,95.46M,143.93M,239.39M,,,,,,,31.98M,31.98M,,288.98M,74.78M,1.205B,,1.205B,785.15M,785.15M,,63.80M,0.00,11.52M,2.140B,2.429B,10.45M,1.235B,730.98M,3.349M,,,,70.03M,2.043B
2011-06,39.31M,0.0,39.31M,109.92M,0.759M,125.21M,10.60M,12.94M,0.498M,24.04M,4.67M,2.234M,0.00,0.025M,235.84M,78.94M,,237.33M,,5.961B,-1.993B,3.968B,0.00,,9.231M,36.04M,1.336M,4.014B,4.250B,86.28M,15.48M,9.298M,111.06M,154.57M,265.62M,,,,,,,9.778M,9.778M,1.16M,286.72M,74.05M,1.095B,,1.095B,757.61M,784.01M,,34.87M,,9.309M,1.997B,2.284B,10.45M,1.210B,727.02M,3.349M,,,,22.38M,1.966B
2011-03,24.90M,0.0,24.90M,90.59M,,93.91M,5.524M,14.08M,1.20M,20.81M,4.733M,,,,161.54M,84.05M,,237.09M,5.445B,5.766B,-1.919B,3.847B,0.00,,1.163M,16.39M,22.27M,3.887B,4.048B,201.31M,19.52M,,220.84M,15.26M,236.10M,,,,,,,,,,241.70M,73.04M,1.055B,,1.055B,746.94M,746.94M,,34.50M,4.199M,7.006M,1.921B,2.162B,10.45M,1.158B,722.52M,3.349M,,,,-1.754M,1.886B
2010-12,55.95M,0.0,55.95M,94.49M,,94.49M,13.37M,17.07M,-0.776M,29.67M,2.925M,0.00,0.257M,2.796M,203.01M,86.25M,,237.04M,,5.608B,-1.845B,3.763B,0.00,,0.00,37.85M,1.414M,3.802B,4.005B,28.76M,43.19M,199.92M,271.87M,19.49M,291.36M,,,,,,,0.00,0.00,,303.84M,72.31M,975.00M,,975.00M,714.95M,736.55M,,34.05M,2.18M,8.399M,1.828B,2.132B,20.84M,1.148B,710.50M,3.349M,,,,-3.683M,1.873B
2010-06,47.68M,,47.68M,79.16M,,82.93M,10.33M,12.52M,0.684M,23.53M,8.336M,,,85.77M,248.26M,81.75M,,306.82M,4.824B,5.212B,-1.641B,3.571B,20.64M,,3.629M,24.91M,1.417M,3.622B,3.870B,152.04M,19.68M,,171.71M,29.60M,201.32M,,,,,,,25.52M,25.52M,,226.83M,,1.015B,,1.015B,675.82M,695.55M,30.49M,48.93M,1.599M,5.894M,1.797B,2.024B,10.41M,1.102B,709.95M,3.349M,,,,27.26M,1.846B
2010-03,28.50M,,28.50M,93.55M,,107.57M,5.723M,11.25M,1.39M,17.67M,6.733M,,,133.42M,293.90M,80.23M,,300.96M,4.706B,5.088B,-1.617B,3.470B,20.64M,,5.056M,20.87M,1.42M,3.518B,3.812B,184.02M,19.30M,,203.32M,20.02M,223.34M,,,,,,,41.56M,41.56M,0.401M,265.30M,,915.00M,,915.00M,663.58M,663.58M,104.52M,,2.541M,6.843M,1.692B,1.958B,10.41M,1.083B,706.03M,3.349M,,,,57.98M,1.854B
2009-12,40.16M,0.0,40.16M,80.36M,,89.27M,14.43M,14.42M,-0.864M,27.99M,,,,9.397M,281.50M,77.47M,,294.76M,,4.914B,-1.555B,3.358B,,,,,43.70M,3.402B,3.683B,215.59M,0.00,,215.59M,57.62M,273.21M,,,,,,,35.10M,35.10M,0.425M,308.74M,29.68M,805.00M,,805.00M,644.80M,644.80M,,54.84M,,27.83M,1.562B,1.871B,10.39M,1.057B,705.57M,3.349M,,,,42.44M,1.813B
2009-09,35.67M,,35.67M,52.61M,,85.72M,,,,36.77M,,,,176.85M,335.01M,72.37M,,277.12M,4.313B,4.662B,-1.478B,3.184B,20.64M,,24.35M,,24.76M,3.254B,3.589B,115.94M,6.649M,,122.59M,45.72M,168.31M,,,20.00M,,20.00M,,58.86M,58.86M,,247.17M,,790.00M,,790.00M,623.95M,623.95M,,49.76M,,54.37M,1.518B,1.765B,10.39M,1.024B,699.97M,3.349M,,,,92.59M,1.824B
2009-06,29.85M,,29.85M,54.52M,,54.52M,10.86M,18.20M,0.449M,29.51M,12.56M,,,244.37M,370.82M,70.21M,,269.87M,4.235B,4.575B,-1.420B,3.155B,20.64M,,,,77.47M,3.253B,3.624B,127.39M,8.976M,,136.37M,52.34M,188.71M,,,20.00M,,20.00M,,56.42M,56.42M,,265.13M,,795.00M,,795.00M,628.23M,628.23M,,,,98.85M,1.522B,1.787B,10.38M,988.43M,682.73M,3.349M,,,,158.27M,1.836B
2009-03,25.25M,,25.25M,75.22M,,75.22M,6.726M,,20.89M,27.62M,,,,328.99M,457.07M,70.02M,,273.61M,4.234B,4.577B,-1.386B,3.191B,0.00,,86.50M,,14.10M,3.292B,3.749B,142.95M,7.774M,,150.73M,40.22M,190.95M,,,36.71M,,36.71M,,84.65M,84.65M,,312.31M,,840.29M,,840.29M,623.34M,623.34M,,56.53M,,47.41M,1.568B,1.880B,10.38M,966.04M,679.14M,3.349M,,,,216.68M,1.869B
2008-12,28.10M,0.0,28.10M,109.09M,,109.61M,27.48M,16.44M,1.76M,45.68M,7.631M,,,4.869M,460.55M,68.61M,,274.19M,,4.472B,-1.336B,3.136B,0.00,,90.54M,,14.74M,3.241B,3.702B,222.98M,22.12M,,245.10M,20.68M,265.79M,,35.86M,35.86M,,35.86M,,63.98M,63.98M,1.591M,378.91M,,831.14M,,831.14M,599.11M,599.11M,,54.71M,,47.23M,1.532B,1.911B,10.36M,921.56M,675.57M,3.349M,,,,186.43M,1.791B
2008-09,47.37M,,47.37M,115.03M,33.55M,148.58M,,,,52.15M,,,42.23M,140.16M,430.49M,65.76M,,,4.122B,4.187B,-1.252B,2.936B,,,,84.21M,87.87M,3.108B,3.538B,206.04M,,,206.04M,41.72M,247.76M,,,20.00M,,20.00M,,47.18M,47.18M,3.093M,318.03M,,800.00M,,800.00M,674.01M,674.01M,,,,75.05M,1.549B,1.867B,10.36M,880.96M,670.97M,3.349M,,,,112.08M,1.671B
