,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2007-09,35.45M,,,,8.815M,37.74M,37.74M,27.32M,,,,,,12.38M,7.724M,-13.08M,-24.54M,0.769M,-2.353M,-3.472M,-34.96M,86.75M,-145.03M,0.001M,-145.03M,,,-8.766M,-153.80M,,60.00M,0.007M,,0.007M,,-2.913M,0.811M,57.90M,23.59M,-9.14M,14.45M,0.007M,,,
2007-06,41.38M,,,,2.403M,34.26M,34.26M,23.74M,,,,,,14.90M,-10.71M,-7.709M,19.52M,-3.164M,-0.246M,-8.425M,-10.74M,105.95M,-152.53M,0.041M,-152.49M,,,-12.48M,-164.97M,,25.00M,1.163M,,1.163M,,-2.907M,1.911M,25.17M,57.44M,-33.85M,23.59M,1.163M,,,
2007-03,48.55M,,,,-2.268M,33.40M,33.40M,15.87M,,,,,,7.021M,36.94M,17.59M,-28.55M,-0.481M,10.96M,-3.173M,33.29M,135.86M,-119.40M,5.784M,-113.62M,,,,-113.62M,,-10.00M,1.144M,,1.144M,,-1.933M,4.135M,-6.654M,41.85M,15.59M,57.44M,1.144M,,,
2006-12,32.13M,,,,6.949M,32.16M,32.16M,20.50M,,,,,,13.13M,-35.82M,8.123M,4.443M,4.454M,-76.88M,-8.119M,-103.80M,1.054M,-132.24M,6.487M,-125.75M,,,,-125.75M,,-160.00M,2.615M,0.00,2.615M,,-1.919M,3.729M,-155.58M,322.12M,-280.27M,41.85M,2.615M,,,0.00
2006-09,189.02M,,,,-224.40M,32.09M,32.09M,9.482M,,,,,,15.28M,-4.606M,-15.16M,-13.12M,2.208M,95.28M,0.618M,65.22M,86.69M,-133.72M,322.41M,188.69M,,,,188.69M,,50.00M,1.056M,-19.30M,-18.25M,,-1.93M,0.859M,30.68M,16.06M,306.06M,322.12M,1.056M,,,-19.30M
2006-06,46.86M,,,,14.98M,32.79M,32.79M,9.139M,,,,,,7.866M,14.72M,-12.17M,6.641M,-6.568M,,0.096M,2.715M,114.35M,-147.76M,0.034M,-147.72M,,,11.61M,-136.11M,,55.00M,1.502M,-27.19M,-25.68M,,-1.956M,1.945M,29.30M,8.514M,7.545M,16.06M,1.502M,,,-27.19M
2006-03,53.16M,,,,19.86M,31.94M,31.94M,12.89M,,,,,,,53.98M,10.83M,-27.66M,0.913M,,-0.901M,37.16M,155.01M,-103.12M,0.541M,-102.58M,,,-11.61M,-114.19M,,-45.00M,1.062M,,1.062M,,-1.946M,2.952M,-42.93M,10.63M,-2.112M,8.514M,1.062M,,,
2005-12,58.50M,,,,-12.53M,29.11M,29.11M,21.40M,,,,,,,-36.41M,10.86M,21.34M,0.224M,-0.009M,2.19M,-1.807M,117.45M,-171.64M,0.00,-171.64M,,,47.40M,-124.25M,,60.00M,0.498M,-18.61M,-18.11M,,-1.959M,-25.69M,14.24M,3.187M,7.439M,10.63M,0.498M,,,-18.61M
2005-09,33.76M,,,,23.42M,26.58M,26.58M,9.147M,,,,,,,-38.42M,-11.65M,9.652M,3.822M,2.599M,0.134M,-33.86M,59.04M,-125.66M,0.286M,-125.37M,,,-16.66M,-142.04M,,10.00M,0.508M,0.00,0.508M,,-1.958M,25.69M,34.24M,51.95M,-48.76M,3.187M,0.508M,,,0.00
2005-06,35.42M,,,,12.04M,26.11M,26.11M,6.056M,,,,,,,5.249M,-10.73M,9.112M,-2.96M,-0.116M,-0.122M,0.43M,80.06M,-74.78M,0.122M,-74.66M,,,-11.36M,-86.02M,,,0.849M,-0.571M,0.278M,,-1.957M,,-1.679M,59.58M,-7.638M,51.95M,0.849M,,,-0.571M
2005-03,20.76M,,,,32.22M,26.66M,26.66M,3.022M,,,,,,,27.09M,10.96M,-13.96M,0.102M,1.182M,-0.012M,25.36M,108.02M,-41.07M,0.588M,-40.48M,,,-19.37M,-59.85M,,,2.731M,,2.731M,,-1.339M,,1.392M,10.03M,49.56M,59.58M,2.731M,,,
2004-12,32.23M,,,,-12.81M,26.76M,26.76M,16.32M,,,,,,,-52.14M,1.017M,12.08M,11.36M,-1.724M,3.494M,-25.91M,57.09M,-97.73M,-0.067M,-97.80M,,,32.69M,-65.10M,,,1.351M,-6.899M,-5.548M,,-1.30M,,-6.848M,24.89M,-14.86M,10.03M,1.351M,,,-6.899M
2004-09,17.82M,,,,24.94M,27.73M,27.73M,8.268M,,,,,,,14.80M,-15.55M,1.602M,-7.091M,0.276M,-0.178M,-6.135M,72.63M,-55.32M,0.164M,-55.15M,,,-6.979M,-62.13M,,,-2.345M,-3.39M,-5.735M,,-1.304M,,-7.039M,21.43M,3.457M,24.89M,-2.345M,,,-3.39M
2004-06,19.32M,,,,13.58M,24.62M,24.62M,2.632M,,,,,,,-16.72M,1.472M,-0.614M,-3.129M,4.391M,0.178M,-14.42M,45.73M,-66.72M,0.022M,-66.70M,,,-9.568M,-76.26M,,,6.812M,-5.342M,1.47M,,-1.306M,,0.164M,51.80M,-30.37M,21.43M,6.812M,,,-5.342M
2004-03,19.01M,,,,24.55M,24.23M,24.23M,4.549M,,,,,,,14.65M,7.25M,4.187M,2.112M,-2.966M,,25.23M,97.57M,-35.71M,,-35.71M,,,-16.14M,-51.86M,,,6.656M,,6.656M,,-1.296M,,5.36M,0.724M,51.08M,51.80M,6.656M,,,
2003-12,19.78M,,,,16.19M,23.98M,23.98M,12.34M,,,,,,,-8.757M,3.619M,-22.85M,-5.287M,-3.085M,,-36.36M,35.93M,-36.63M,-18.18M,-54.82M,,,28.98M,-25.84M,,-12.34M,0.877M,,0.877M,,-1.288M,,-12.76M,4.346M,-2.663M,0.724M,0.877M,,,
2003-09,22.67M,,,,14.56M,23.65M,23.65M,3.072M,,,,,,,6.49M,-11.90M,4.783M,1.64M,0.943M,,1.956M,65.90M,-33.98M,15.82M,-18.16M,,,-29.76M,-47.92M,,-19.00M,3.393M,,3.393M,,-1.287M,,-16.89M,3.262M,1.084M,4.346M,3.393M,,,
