,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,465.78M,473.23M,219.27M,253.95M,24.06M,24.06M,-41.05M,7.19M,20.06M,-20.06M,3.617M,34.87M,219.09M,20.06M,-20.06M,-42.16M,-20.06M,156.87M,39.64M,117.23M,,,,117.23M,147.89M,259.06M,82.13M,176.93M,0.26,,,0.3267,0.26,0.25,,,0.3164,0.25,459.72M,461.55M,0.06
2017-12,426.76M,400.50M,291.77M,108.73M,26.88M,26.88M,-412.32M,6.925M,20.41M,-20.41M,4.903M,38.71M,70.02M,20.41M,-20.41M,-508.84M,-20.41M,-459.23M,-414.79M,-44.44M,,,,-44.44M,202.95M,-295.70M,143.13M,-438.82M,-0.1,,,0.4351,-0.1,-0.1,,,0.433,-0.1,462.36M,464.17M,0.05
2017-09,383.76M,385.42M,293.24M,92.18M,23.24M,23.24M,-11.87M,9.194M,20.33M,-20.33M,6.466M,38.90M,53.28M,20.33M,-20.33M,-8.206M,-20.33M,24.74M,7.151M,17.59M,,,,17.59M,26.03M,191.34M,146.27M,45.07M,0.04,,,0.0583,0.04,0.04,,,0.0582,0.04,462.50M,464.78M,0.05
2017-06,443.99M,460.46M,295.55M,164.91M,23.96M,23.96M,-69.96M,8.31M,20.62M,-20.62M,3.959M,36.23M,128.68M,20.62M,-20.62M,-70.93M,-20.62M,37.14M,15.61M,21.53M,,,,21.53M,63.50M,202.08M,144.32M,57.76M,0.05,,,0.1403,0.05,0.05,,,0.1399,0.05,464.77M,466.74M,0.05
2017-03,481.13M,517.84M,287.26M,230.58M,23.70M,23.70M,-0.223M,9.058M,20.77M,-20.77M,6.198M,38.96M,191.63M,20.77M,-20.77M,-1.93M,-20.77M,168.92M,63.20M,105.72M,,,,105.72M,105.86M,324.80M,135.10M,189.70M,0.23,,,0.2303,0.23,0.23,,,0.2303,0.23,465.35M,466.89M,0.02
2016-12,352.23M,316.49M,281.69M,34.80M,18.44M,18.44M,-436.71M,5.486M,20.52M,-20.52M,14.55M,38.48M,-3.682M,20.52M,-20.52M,-439.80M,-20.52M,-463.99M,-171.23M,-292.76M,,,,-292.76M,-17.22M,-302.26M,141.22M,-443.48M,-0.63,,,-0.0377,-0.63,-0.63,,,-0.0377,-0.63,465.21M,465.21M,0.02
2016-09,301.62M,310.43M,272.73M,37.70M,19.37M,19.37M,-1.245M,8.771M,21.48M,-21.48M,2.988M,31.13M,6.57M,21.48M,-21.48M,-3.374M,-21.48M,-18.29M,-8.027M,-10.26M,,,,-10.26M,-9.513M,142.69M,139.49M,3.196M,-0.02,,,-0.0184,-0.02,-0.02,,,-0.0184,-0.02,465.15M,465.15M,0.02
2016-06,271.98M,246.82M,283.59M,-36.78M,19.94M,19.94M,-5.587M,8.973M,21.96M,-21.96M,3.738M,32.66M,-69.43M,21.96M,-21.96M,-5.962M,-21.96M,-97.36M,-34.45M,-62.91M,,,,-62.91M,-59.30M,72.14M,147.53M,-75.39M,-0.14,,,-0.1322,-0.14,-0.14,,,-0.1322,-0.14,465.07M,465.07M,0.02
2016-03,261.43M,281.94M,300.14M,-18.20M,27.87M,27.87M,1.354M,5.994M,24.38M,-24.38M,6.383M,40.25M,-58.45M,24.38M,-24.38M,2.86M,-24.38M,-79.96M,-28.77M,-51.19M,,,,-51.19M,-52.06M,106.30M,161.89M,-55.59M,-0.12,,,-0.122,-0.12,-0.12,,,-0.122,-0.12,431.84M,431.84M,0.02
2015-12,266.22M,280.79M,292.63M,-11.84M,14.38M,14.38M,-114.82M,8.511M,24.67M,-24.67M,8.50M,31.40M,-43.23M,24.67M,-24.67M,-114.44M,-24.67M,-182.34M,-71.21M,-111.12M,,,,-111.12M,-41.15M,-7.794M,149.88M,-157.67M,-0.27,,,-0.1009,-0.27,-0.27,,,-0.1009,-0.27,413.88M,413.88M,0.02
2015-09,285.99M,305.30M,284.28M,21.01M,11.10M,11.10M,3.756M,11.41M,24.51M,-24.51M,4.93M,27.44M,-6.428M,24.51M,-24.51M,5.404M,-24.51M,-25.53M,-10.02M,-15.51M,,,,-15.51M,-17.80M,143.30M,144.33M,-1.024M,-0.04,,,-0.0455,-0.04,-0.04,,,-0.0455,-0.04,413.85M,413.85M,0.02
2015-06,309.85M,306.30M,289.80M,16.49M,19.98M,19.98M,-0.079M,11.61M,24.17M,-24.17M,5.298M,36.89M,-20.40M,24.17M,-24.17M,1.433M,-24.17M,-43.13M,-15.62M,-27.51M,,,,-27.51M,-27.46M,133.55M,152.51M,-18.96M,-0.07,,,-0.0699,-0.07,-0.07,,,-0.0699,-0.07,413.71M,413.71M,0.02
2015-03,427.58M,464.76M,336.49M,128.28M,22.53M,22.53M,0.138M,11.28M,23.57M,-23.57M,8.732M,42.54M,85.74M,23.57M,-23.57M,1.559M,-23.57M,63.73M,23.47M,40.26M,,,,40.26M,40.17M,262.79M,175.50M,87.30M,0.1,,,0.0998,0.1,0.1,,,0.0998,0.1,413.34M,414.77M,0.02
2014-12,464.55M,618.00M,317.13M,300.88M,21.25M,21.25M,-751.18M,10.22M,23.47M,-23.47M,8.783M,40.25M,260.63M,23.47M,-23.47M,-749.92M,-23.47M,-512.77M,-291.00M,-221.77M,,,,-221.77M,266.50M,-315.53M,173.76M,-489.29M,-0.54,,,0.6422,-0.54,-0.54,,,0.6366,-0.54,413.00M,415.00M,0.02
2014-09,437.03M,512.02M,283.46M,228.56M,19.58M,19.58M,0.046M,10.93M,17.42M,-17.42M,8.812M,39.32M,189.23M,17.42M,-17.42M,1.109M,-17.42M,172.92M,72.13M,100.79M,,,,100.79M,100.76M,344.36M,154.01M,190.34M,0.24,,,0.2399,0.24,0.24,,,0.2399,0.24,416.17M,418.09M,0.02
2014-06,532.24M,533.19M,284.18M,249.01M,20.13M,20.13M,-1.496M,12.82M,16.33M,-16.33M,4.676M,37.62M,211.39M,16.33M,-16.33M,-0.74M,-16.33M,194.32M,75.90M,118.42M,,,,118.42M,119.33M,368.22M,157.56M,210.65M,0.28,,,0.2822,0.28,0.28,,,0.2822,0.28,417.29M,419.09M,0.02
2014-03,505.11M,509.80M,272.88M,236.93M,21.64M,21.64M,-1.285M,13.04M,16.56M,-16.56M,6.474M,41.15M,195.77M,16.56M,-16.56M,-1.285M,-16.56M,177.93M,70.90M,107.03M,,,,107.03M,107.80M,341.90M,147.42M,194.49M,0.26,,,0.2619,0.26,0.26,,,0.2618,0.26,416.90M,418.51M,0.02
2013-12,482.65M,487.46M,300.24M,187.23M,22.60M,22.60M,16.75M,8.462M,16.68M,-16.68M,5.721M,36.78M,150.45M,16.68M,-16.68M,17.24M,-16.68M,151.01M,73.06M,77.95M,,,,77.95M,67.06M,349.72M,182.03M,167.69M,0.19,,,0.164,0.19,0.19,,,0.1641,0.19,418.76M,421.03M,0.02
2013-09,433.28M,435.85M,268.62M,167.23M,24.70M,24.70M,4.421M,11.53M,16.07M,-16.07M,3.891M,40.12M,127.11M,16.07M,-16.07M,4.699M,-16.07M,115.74M,45.85M,69.89M,,,,69.89M,67.22M,300.79M,168.98M,131.81M,0.17,,,0.1637,0.17,0.17,,,0.1637,0.17,420.99M,423.45M,0.01
2013-06,446.86M,449.68M,247.72M,201.96M,21.61M,21.61M,0.276M,11.36M,16.99M,-16.99M,4.529M,37.50M,164.46M,16.99M,-16.99M,0.566M,-16.99M,148.04M,58.92M,89.11M,,,,89.11M,88.95M,316.42M,151.39M,165.03M,0.21,,,0.2096,0.21,0.21,,,0.2096,0.21,420.70M,423.49M,0.01
2013-03,370.34M,373.28M,234.76M,138.52M,35.70M,35.70M,-0.096M,11.69M,16.26M,-16.26M,4.024M,51.42M,87.11M,16.26M,-16.26M,-0.096M,-16.26M,70.76M,27.94M,42.82M,,,,42.82M,42.88M,235.67M,148.65M,87.01M,0.1,,,0.1001,0.1,0.1,,,0.1001,0.1,420.30M,422.75M,0.01
2012-12,367.20M,369.88M,202.94M,166.94M,27.99M,27.99M,-16.41M,9.001M,16.72M,-16.72M,7.928M,44.92M,122.02M,16.72M,-16.72M,-16.35M,-16.72M,88.96M,48.09M,40.87M,,,,40.87M,51.53M,221.65M,115.98M,105.67M,0.095,,,0.1204,0.095,0.095,,,0.1203,0.095,419.70M,421.97M,0.01
2012-09,295.00M,296.87M,177.40M,119.47M,23.83M,23.83M,-0.126M,10.44M,16.22M,-16.22M,9.303M,43.57M,75.90M,16.22M,-16.22M,-0.126M,-16.22M,59.56M,22.95M,36.61M,,,,36.61M,36.69M,186.22M,110.45M,75.78M,0.09,,,0.0902,0.09,0.09,,,0.0902,0.09,419.31M,422.45M,0.01
2012-06,263.67M,265.66M,181.31M,84.35M,46.87M,46.87M,67.70M,10.85M,18.50M,-18.50M,16.24M,73.97M,10.38M,18.50M,-18.50M,67.70M,-18.50M,59.58M,23.65M,35.94M,,,,35.94M,-4.888M,192.70M,114.62M,78.08M,0.085,,,-0.0124,0.085,0.085,,,-0.0117,0.085,419.02M,422.32M,0.01
2012-03,270.21M,272.14M,179.81M,92.33M,22.55M,22.55M,-0.535M,18.58M,16.92M,-16.92M,4.001M,45.13M,47.20M,16.92M,-16.92M,-0.535M,-16.92M,29.74M,11.43M,18.32M,,,,18.32M,18.65M,157.02M,110.36M,46.66M,0.045,,,0.0458,0.045,0.045,,,0.0458,0.045,418.26M,421.63M,0.005
2011-12,261.84M,268.02M,408.76M,-140.73M,,26.41M,26.97M,6.506M,17.74M,-17.74M,5.357M,-212.37M,71.64M,17.74M,-17.74M,26.97M,-17.74M,80.87M,54.51M,26.36M,,,,26.36M,8.830M,191.11M,92.50M,98.61M,0.065,0.0,,0.023,0.065,0.065,0.0,,0.0235,0.065,417.21M,422.30M,0.0075
2011-09,262.12M,262.12M,55.26M,206.85M,,27.95M,3.854M,7.042M,18.52M,-18.52M,20.19M,145.47M,61.38M,18.52M,-18.52M,3.854M,-18.52M,46.72M,18.23M,28.48M,,,,28.48M,26.13M,155.53M,90.29M,65.23M,0.07,0.0,,0.0644,0.07,0.07,0.0,,0.0644,0.07,417.14M,421.84M,0.0075
2011-06,240.70M,240.70M,48.45M,192.25M,,26.01M,34.07M,5.877M,18.04M,-18.04M,4.592M,119.70M,72.55M,18.04M,-18.04M,34.07M,-18.04M,88.57M,33.90M,54.68M,,,,54.68M,33.64M,189.84M,83.22M,106.62M,0.13,0.0,,0.0796,0.13,0.13,0.0,,0.0801,0.13,417.06M,421.35M,0.0075
2011-03,209.03M,209.03M,61.54M,147.48M,,24.30M,-1.517M,8.151M,17.37M,-17.37M,,109.57M,37.91M,17.37M,-17.37M,-1.517M,-17.37M,19.02M,6.137M,12.89M,,,,12.89M,13.91M,113.51M,77.12M,36.39M,0.03,0.0,,0.0325,0.03,0.03,0.0,,0.0324,0.03,416.58M,421.28M,0.0075
2010-12,217.37M,222.46M,371.63M,-149.18M,,29.50M,95.77M,6.759M,20.50M,-20.50M,14.40M,-184.92M,35.74M,20.50M,-20.50M,95.77M,-20.50M,111.01M,61.90M,49.11M,,,,49.11M,-13.14M,223.01M,91.50M,131.51M,0.12,,,-0.0297,0.12,0.115,,,-0.0327,0.115,415.92M,421.39M,0.0075
2010-09,224.06M,224.06M,41.68M,182.38M,,21.08M,-35.52M,8.489M,16.76M,-16.76M,9.665M,124.59M,57.80M,16.76M,-16.76M,-35.52M,-16.76M,5.515M,1.617M,3.898M,,,,3.898M,29.01M,107.63M,85.36M,22.27M,0.01,0.0,,0.0704,0.01,0.01,0.0,,0.0697,0.01,415.82M,420.90M,0.0075
2010-06,200.24M,200.24M,40.91M,159.33M,,12.85M,4.387M,11.84M,,-15.77M,10.23M,111.65M,47.68M,,-15.77M,4.387M,-15.77M,36.30M,14.62M,21.68M,,,,21.68M,19.05M,124.41M,76.73M,47.68M,0.0525,0.0,,0.0462,0.0525,0.0525,0.0,,0.0462,0.0525,415.66M,419.86M,0.0075
2010-03,216.34M,216.34M,56.47M,159.88M,,15.75M,0.759M,10.80M,14.91M,-14.91M,,100.05M,59.83M,14.91M,-14.91M,0.759M,-14.91M,45.68M,16.98M,28.70M,,,,28.70M,28.22M,134.09M,73.50M,60.59M,0.07,0.0,,0.0689,0.07,0.0675,0.0,,0.0664,0.0675,415.18M,419.91M,0.0075
2009-12,233.49M,233.49M,9.974M,223.52M,,19.27M,-17.64M,10.12M,14.85M,-14.85M,,142.47M,81.05M,14.85M,-14.85M,-17.64M,-14.85M,48.56M,12.20M,36.36M,,,,36.36M,49.58M,125.70M,62.29M,63.41M,0.0875,0.0,,0.1194,0.0875,0.0875,0.0,,0.119,0.0875,414.62M,419.93M,0.0075
2009-09,207.02M,207.02M,45.19M,161.83M,,14.92M,0.572M,10.72M,14.86M,-14.86M,,87.68M,74.15M,14.86M,-14.86M,0.572M,-14.86M,59.87M,20.97M,38.90M,,,,38.90M,38.53M,152.80M,78.07M,74.72M,0.095,0.0,,0.0941,0.095,0.0925,0.0,,0.0916,0.0925,414.59M,419.67M,0.0075
2009-06,204.82M,204.82M,44.15M,160.67M,,17.12M,-23.29M,10.91M,15.05M,-15.05M,,83.14M,77.53M,15.05M,-15.05M,-23.29M,-15.05M,39.19M,13.69M,25.50M,,,,25.50M,40.66M,109.35M,55.11M,54.24M,0.0625,0.0,,0.0991,0.0625,0.06,0.0,,0.0961,0.06,414.56M,419.26M,0.0075
2009-03,233.94M,233.94M,61.69M,172.24M,,17.06M,-22.01M,12.90M,14.23M,-14.23M,,85.75M,86.50M,14.23M,-14.23M,-22.01M,-14.23M,75.67M,28.09M,47.58M,,,,47.58M,61.42M,145.68M,55.78M,89.90M,0.115,0.0,,0.1484,0.115,0.115,0.0,,0.1482,0.115,414.08M,416.44M,0.0075
2008-12,232.47M,232.47M,33.10M,199.36M,,13.34M,13.80M,9.791M,,,31.60M,107.25M,92.12M,,,13.80M,,73.43M,29.73M,43.70M,,,,43.70M,35.42M,120.46M,52.51M,67.96M,0.105,0.0,,0.085,0.105,0.105,0.0,,0.0851,0.105,413.50M,416.80M,0.0075
2008-09,244.82M,244.82M,52.28M,192.54M,,,-16.82M,20.63M,,,-0.209M,69.31M,123.23M,,,-16.82M,,104.23M,37.24M,66.99M,,,,66.99M,77.80M,172.12M,48.90M,123.23M,0.1625,0.0,,0.1886,0.1625,0.16,0.0,,0.1859,0.16,413.40M,417.98M,0.0075
2008-06,248.85M,248.85M,54.07M,194.79M,,33.48M,-5.919M,19.22M,6.207M,-6.207M,,95.18M,99.60M,6.207M,-6.207M,-5.919M,-6.207M,87.88M,33.25M,54.62M,,,,54.62M,58.30M,136.57M,42.48M,94.09M,0.1375,0.0,,0.1468,0.1375,0.1375,0.0,,0.1467,0.1375,393.87M,397.92M,0.0075
2008-03,219.65M,219.65M,52.84M,166.81M,,27.57M,-9.502M,16.90M,,,,85.99M,80.82M,,,-9.502M,,70.08M,24.11M,45.98M,,,,45.98M,52.21M,122.34M,41.52M,80.82M,0.1175,0.0,,0.1334,0.1175,0.115,0.0,,0.1308,0.115,390.86M,395.70M,0.0075
2007-12,193.92M,193.92M,62.41M,131.50M,,9.815M,-4.629M,11.66M,,,-1.155M,58.87M,72.63M,,,-4.629M,,64.04M,22.00M,42.05M,,,,42.05M,45.09M,111.18M,38.55M,72.63M,0.11,0.0,,0.1178,0.11,0.1075,0.0,,0.1152,0.1075,388.86M,392.62M,0.0075
2007-09,170.85M,170.85M,42.98M,127.86M,,9.715M,-20.96M,14.38M,,,0.049M,61.89M,65.98M,,,-20.96M,,51.60M,16.15M,35.45M,,,,35.45M,49.85M,103.72M,37.74M,65.98M,0.0925,0.0,,0.1296,0.0925,0.09,0.0,,0.1266,0.09,388.27M,393.76M,0.0075
2007-06,175.83M,175.83M,41.88M,133.95M,,12.96M,-8.224M,14.58M,,,-4.422M,57.38M,76.57M,,,-8.224M,,66.63M,25.25M,41.38M,,,,41.38M,46.48M,110.83M,34.26M,76.57M,0.1075,0.0,,0.1207,0.1075,0.105,0.0,,0.118,0.105,387.72M,393.62M,0.0075
2007-03,191.57M,191.57M,51.48M,140.09M,,18.28M,-0.052M,13.16M,,,-7.92M,56.92M,83.17M,,,-0.052M,,75.26M,26.71M,48.55M,,,,48.55M,48.58M,116.57M,33.40M,83.17M,0.0625,0.0,,0.0625,0.0625,0.0625,0.0,,0.0625,0.0625,773.56M,784.38M,0.005
2006-12,171.68M,171.68M,52.19M,119.49M,,19.69M,-5.355M,10.91M,,,-1.67M,61.09M,58.41M,,,-5.355M,,55.40M,23.68M,32.13M,,,,32.53M,35.34M,90.57M,32.16M,58.41M,0.0845,,,0.0929,0.0845,0.0845,,,0.0929,0.0845,384.85M,384.85M,0.005
2006-09,184.74M,184.74M,48.74M,136.01M,,10.72M,222.08M,14.37M,,,-229.73M,-172.56M,308.57M,,,222.08M,,297.77M,108.75M,189.02M,,,,189.02M,48.05M,340.66M,32.09M,308.57M,0.245,0.0,,0.0623,0.245,0.24,0.0,,0.0608,0.24,771.67M,786.59M,0.005
2006-06,190.79M,190.79M,48.15M,142.64M,,13.52M,-7.762M,14.58M,,,-0.004M,60.88M,81.76M,,,-7.762M,,71.86M,24.99M,46.86M,,,,46.86M,51.93M,114.56M,32.79M,81.76M,0.06,0.0,,0.0665,0.06,0.0588,0.0,,0.0651,0.0588,779.86M,793.61M,0.005
2006-03,214.77M,214.77M,58.49M,156.28M,,13.85M,-6.953M,15.50M,,,-0.207M,61.07M,95.21M,,,-6.953M,,85.48M,31.91M,53.57M,-0.403M,,,53.16M,57.93M,127.14M,31.94M,95.21M,0.1375,-0.0012,0.0,0.1487,0.1362,0.1362,-0.0012,-0.001,0.1473,0.135,389.44M,394.98M,0.005
2005-12,225.08M,225.08M,66.66M,158.42M,,10.31M,-3.64M,17.24M,,,0.00,56.66M,101.76M,,,-3.64M,,92.91M,34.40M,58.50M,,,,58.50M,60.80M,130.87M,29.11M,101.76M,0.15,0.0,,0.1559,0.15,0.1475,0.0,,0.1532,0.1475,390.63M,400.49M,0.005
2005-09,161.76M,161.76M,47.46M,114.30M,,9.679M,-8.169M,14.94M,,,-0.015M,51.18M,63.12M,,,-8.169M,,53.68M,19.93M,33.76M,,,,33.76M,38.89M,89.69M,26.58M,63.12M,0.0862,0.0,,0.0994,0.0862,0.085,0.0,,0.0979,0.085,391.61M,397.32M,0.005
2005-06,151.88M,151.88M,39.37M,112.51M,,12.34M,0.059M,12.40M,,,-0.059M,50.79M,61.72M,,,0.059M,,56.59M,21.17M,35.42M,,,,35.42M,35.39M,87.83M,26.11M,61.72M,0.09,0.0,,0.0899,0.09,0.0888,0.0,,0.0887,0.0888,391.34M,396.62M,0.005
2005-03,144.07M,144.07M,57.28M,86.79M,,12.37M,,9.718M,,,,48.74M,38.04M,,,,,33.06M,12.29M,20.76M,,,,20.76M,20.76M,64.70M,26.66M,38.04M,0.0358,0.0,,0.0358,0.0358,0.035,0.0,,0.035,0.035,584.69M,591.67M,0.0033
2004-12,154.64M,154.64M,51.80M,102.84M,,9.436M,-3.691M,10.88M,,,0.131M,47.21M,55.63M,,,-3.691M,,48.22M,15.99M,32.23M,,,,32.23M,34.69M,82.38M,26.76M,55.63M,0.055,0.0,,0.0592,0.055,0.0542,0.0,,0.0583,0.0542,584.69M,592.43M,0.0033
2004-09,119.42M,119.42M,31.90M,87.52M,,9.001M,-12.90M,10.12M,,,-0.12M,46.73M,40.79M,,,-12.90M,,28.70M,10.88M,17.82M,,,,17.82M,25.83M,68.52M,27.73M,40.79M,0.0308,0.0,,0.0445,0.0308,0.03,0.0,,0.0435,0.03,585.86M,593.03M,0.0033
2004-06,119.74M,119.74M,36.28M,83.46M,,12.31M,-0.172M,9.921M,,,0.172M,47.02M,36.44M,,,-0.172M,,30.99M,11.68M,19.32M,,,,19.32M,19.43M,61.06M,24.62M,36.44M,0.0333,0.0,,0.0335,0.0333,0.0325,0.0,,0.0327,0.0325,585.47M,592.72M,0.0033
2004-03,136.60M,136.60M,56.94M,79.66M,,9.299M,0.059M,10.10M,,,-0.059M,43.57M,36.09M,,,0.059M,,30.71M,11.70M,19.01M,,,,19.01M,18.97M,60.32M,24.23M,36.09M,0.0492,0.0,,0.0491,0.0492,0.0483,0.0,,0.0482,0.0483,388.78M,394.39M,0.0033
2003-12,121.25M,121.25M,49.20M,72.04M,,6.543M,-0.094M,8.962M,,,-4.58M,34.91M,37.14M,,,-0.094M,,29.80M,10.02M,19.78M,0.00,,,19.78M,19.85M,61.12M,23.98M,37.14M,0.0508,0.0008,0.0,0.051,0.0517,0.0508,0.0,0.0,0.051,0.0508,386.40M,389.35M,0.0033
2003-09,125.47M,125.47M,41.87M,83.60M,,5.802M,-9.426M,9.301M,,,-6.988M,31.76M,51.84M,,,-9.426M,,36.66M,13.99M,22.67M,,,,22.67M,28.50M,75.48M,23.65M,51.84M,0.0583,0.0,,0.0734,0.0583,0.0583,0.0,,0.0733,0.0583,386.15M,389.22M,0.0033
2003-06,124.50M,126.76M,51.03M,75.73M,,6.172M,-0.032M,8.651M,,,2.292M,40.88M,34.85M,,,-0.032M,,28.90M,10.99M,17.90M,,,,17.90M,17.92M,58.61M,23.76M,34.85M,0.0467,0.0,,0.0467,0.0467,0.0458,0.0,,0.0459,0.0458,383.76M,390.63M,0.0033
2003-03,135.92M,135.92M,52.58M,83.34M,,96.86M,0.56M,10.22M,,,-0.56M,130.03M,-46.69M,,,0.56M,,-52.32M,-19.94M,-32.38M,-6.847M,,,-39.22M,-32.72M,-23.18M,23.51M,-46.69M,-0.085,-0.0175,0.0,-0.0859,-0.1025,-0.085,-0.0175,-0.0179,-0.0859,-0.1025,382.04M,382.04M,0.0033
2002-12,103.55M,103.55M,43.11M,60.44M,,7.10M,-7.939M,5.834M,,,-0.049M,37.31M,23.12M,,,-7.939M,,12.69M,4.036M,8.654M,,,,8.654M,14.07M,47.55M,24.43M,23.12M,0.0092,0.0,,0.0234,0.0092,0.0092,0.0,,0.0234,0.0092,380.54M,380.54M,0.0033
2002-09,85.55M,85.55M,31.23M,54.32M,,5.966M,-4.89M,5.273M,,,0.216M,36.88M,17.45M,,,-4.89M,,8.797M,2.672M,6.125M,,,,6.125M,9.530M,42.87M,25.42M,17.45M,0.0158,0.0,,0.0248,0.0158,0.0158,0.0,,0.0248,0.0158,381.52M,381.52M,0.0033
