,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,14.28B,14.28B,,1.749B,,,53.00M,-53.00M,,1.849B,53.00M,-53.00M,,-53.00M,707.00M,216.00M,491.00M,,491.00M,491.00M,139.00M,760.00M,3.56,,,3.56,3.56,3.53,,,3.53,3.53,137.90M,138.83M,0.5
2017-12,13.19B,13.19B,,1.873B,,-11.00M,76.00M,-76.00M,,1.962B,76.00M,-76.00M,,-76.00M,490.00M,306.00M,184.00M,,184.00M,190.60M,128.00M,566.00M,1.3,,,1.347,1.3,1.29,,,1.3359999999999999,1.29,141.33M,142.47M,0.4
2017-09,13.28B,13.28B,,1.688B,,0.00,59.00M,-59.00M,,1.782B,59.00M,-59.00M,,-59.00M,799.00M,300.00M,499.00M,,499.00M,499.00M,120.00M,858.00M,3.46,,,3.46,3.46,3.44,,,3.44,3.44,144.22M,145.36M,0.4
2017-06,13.53B,13.53B,,1.453B,,,58.00M,-58.00M,,1.545B,58.00M,-58.00M,,-58.00M,1.042B,392.00M,650.00M,,650.00M,650.00M,119.00M,1.10B,4.49,,,4.49,4.49,4.46,,,4.46,4.46,144.60M,145.63M,0.4
2017-03,13.76B,13.76B,,1.553B,,947.00M,49.00M,-49.00M,,2.592B,49.00M,-49.00M,,-49.00M,1.689B,574.00M,1.115B,,1.115B,489.98M,118.00M,1.738B,7.54,,,3.312,7.54,7.49,,,3.292,7.49,147.82M,148.87M,0.69
2016-12,12.88B,12.88B,,2.001B,,-23.00M,48.00M,-48.00M,,2.069B,48.00M,-48.00M,,-48.00M,-486.00M,-85.00M,-401.00M,,-401.00M,-382.02M,117.00M,-438.00M,-2.68,,,-2.553,-2.68,-2.68,,,-2.5540000000000003,-2.68,149.54M,151.06M,0.29
2016-09,13.69B,13.69B,,1.739B,,-20.00M,47.00M,-47.00M,,1.805B,47.00M,-47.00M,,-47.00M,902.00M,452.00M,450.00M,,450.00M,462.00M,117.00M,949.00M,3.01,,,3.09,3.01,2.98,,,3.06,2.98,149.42M,150.90M,0.0
2016-06,14.01B,14.01B,,1.699B,,-27.00M,47.00M,-47.00M,,1.761B,47.00M,-47.00M,,-47.00M,636.00M,325.00M,311.00M,,311.00M,327.20M,116.00M,683.00M,2.08,,,2.188,2.08,2.06,,,2.167,2.06,149.39M,150.81M,0.29
2016-03,13.80B,13.80B,,1.734B,,-34.00M,47.00M,-47.00M,,1.788B,47.00M,-47.00M,,-47.00M,500.00M,246.00M,254.00M,,254.00M,274.40M,115.00M,547.00M,1.7,,,1.837,1.7,1.68,,,1.815,1.68,149.16M,150.90M,0.29
2015-12,13.36B,13.36B,,1.845B,,-20.00M,46.00M,-46.00M,,1.913B,46.00M,-46.00M,,-46.00M,246.00M,145.00M,101.00M,,101.00M,113.00M,112.00M,292.00M,0.68,,,0.7606,0.68,0.67,,,0.7497,0.67,148.97M,150.60M,0.29
2015-09,13.36B,13.36B,,1.688B,,,47.00M,-47.00M,,1.772B,47.00M,-47.00M,,-47.00M,648.00M,334.00M,314.00M,,314.00M,314.00M,107.00M,695.00M,2.11,,,2.11,2.11,2.09,,,2.09,2.09,148.89M,150.47M,0.29
2015-06,13.73B,13.73B,,1.817B,,267.00M,47.00M,-47.00M,,2.174B,47.00M,-47.00M,,-47.00M,793.00M,362.00M,431.00M,,431.00M,270.80M,114.00M,840.00M,2.88,,,1.808,2.88,2.85,,,1.79,2.85,149.47M,151.15M,0.29
2015-03,13.83B,13.83B,,1.945B,,,46.00M,-46.00M,,2.038B,46.00M,-46.00M,,-46.00M,744.00M,314.00M,430.00M,,430.00M,430.00M,114.00M,790.00M,2.86,,,2.86,2.86,2.82,,,2.82,2.82,150.49M,152.35M,0.28
2014-12,12.33B,12.33B,,2.121B,,0.00,84.00M,-84.00M,,2.208B,84.00M,-84.00M,,-84.00M,287.00M,142.00M,145.00M,,145.00M,145.00M,124.00M,371.00M,0.96,,,0.96,0.96,0.94,,,0.94,0.94,151.73M,153.57M,0.28
2014-09,12.24B,12.24B,,1.898B,,0.00,38.00M,-38.00M,,1.983B,38.00M,-38.00M,,-38.00M,551.00M,261.00M,290.00M,,290.00M,290.00M,112.00M,589.00M,1.87,,,1.87,1.87,1.85,,,1.85,1.85,154.50M,156.23M,0.28
2014-06,12.22B,12.22B,,1.835B,,0.00,35.00M,-35.00M,,1.914B,35.00M,-35.00M,,-35.00M,646.00M,302.00M,344.00M,,344.00M,344.00M,106.00M,681.00M,2.22,,,2.22,2.22,2.19,,,2.19,2.19,155.42M,157.05M,0.28
2014-03,11.71B,11.71B,,1.785B,,,35.00M,-35.00M,,1.867B,35.00M,-35.00M,,-35.00M,686.00M,318.00M,368.00M,,368.00M,368.00M,107.00M,721.00M,2.37,,,2.37,2.37,2.35,,,2.35,2.35,155.09M,156.65M,0.27
2013-12,10.19B,10.19B,,1.908B,,,35.00M,-35.00M,,1.998B,35.00M,-35.00M,,-35.00M,-49.00M,-19.00M,-30.00M,,-30.00M,-30.00M,114.00M,-14.00M,-0.19,,,-0.19,-0.19,-0.19,,,-0.19,-0.19,155.93M,157.77M,0.27
2013-09,10.32B,10.32B,,1.54B,,,35.00M,-35.00M,,1.623B,35.00M,-35.00M,,-35.00M,586.00M,218.00M,368.00M,,368.00M,368.00M,106.00M,621.00M,2.34,,,2.34,2.34,2.31,,,2.31,2.31,157.19M,158.91M,0.27
2013-06,10.32B,10.32B,,1.461B,,,35.00M,-35.00M,,1.541B,35.00M,-35.00M,,-35.00M,654.00M,234.00M,420.00M,,420.00M,420.00M,104.00M,689.00M,2.66,,,2.66,2.66,2.63,,,2.63,2.63,157.98M,159.52M,0.27
2013-03,10.49B,10.49B,,1.446B,,,35.00M,-35.00M,,1.526B,35.00M,-35.00M,,-35.00M,730.00M,257.00M,473.00M,,473.00M,473.00M,102.00M,765.00M,2.97,,,2.97,2.97,2.95,,,2.95,2.95,158.92M,160.40M,0.26
2012-12,9.557B,9.557B,,1.655B,,,27.00M,-27.00M,,1.732B,27.00M,-27.00M,,-27.00M,282.00M,90.00M,192.00M,,192.00M,192.00M,100.00M,309.00M,1.21,,,1.21,1.21,1.19,,,1.19,1.19,158.76M,160.68M,0.26
2012-09,9.651B,9.651B,,1.408B,,,26.00M,-26.00M,,1.483B,26.00M,-26.00M,,-26.00M,675.00M,249.00M,426.00M,,426.00M,426.00M,78.00M,701.00M,2.65,,,2.65,2.65,2.62,,,2.62,2.62,160.64M,162.42M,0.26
2012-06,9.699B,9.699B,,1.384B,,,26.00M,-26.00M,,1.457B,26.00M,-26.00M,,-26.00M,564.00M,208.00M,356.00M,,356.00M,356.00M,82.00M,590.00M,2.19,,,2.19,2.19,2.16,,,2.16,2.16,162.82M,164.64M,0.26
2012-03,10.22B,10.22B,,1.383B,,,26.00M,-26.00M,,1.453B,26.00M,-26.00M,,-26.00M,390.00M,142.00M,248.00M,,248.00M,248.00M,78.00M,416.00M,1.51,,,1.51,1.51,1.49,,,1.49,1.49,163.72M,166.09M,0.25
2011-12,9.056B,9.056B,,1.585B,,,27.00M,-27.00M,,1.654B,27.00M,-27.00M,,-27.00M,313.00M,114.00M,199.00M,,199.00M,199.00M,78.00M,340.00M,1.22,0.0,,1.22,1.22,1.2,0.0,,1.2,1.2,163.24M,165.63M,0.25
2011-09,9.301B,9.301B,,1.361B,,,27.00M,-27.00M,,1.428B,27.00M,-27.00M,,-27.00M,699.00M,254.00M,445.00M,,445.00M,445.00M,74.00M,726.00M,2.71,0.0,,2.71,2.71,2.67,0.0,,2.67,2.67,164.12M,166.58M,0.25
2011-06,9.284B,9.284B,,1.193B,,,28.00M,-28.00M,,1.261B,28.00M,-28.00M,,-28.00M,726.00M,266.00M,460.00M,,460.00M,460.00M,75.00M,754.00M,2.76,0.0,,2.76,2.76,2.71,0.0,,2.71,2.71,167.02M,169.56M,0.25
2011-03,9.191B,9.191B,,1.256B,,,27.00M,-27.00M,,1.322B,27.00M,-27.00M,,-27.00M,497.00M,182.00M,315.00M,,315.00M,315.00M,76.00M,524.00M,1.88,0.0,,1.88,1.88,1.86,0.0,,1.86,1.86,167.27M,169.53M,0.0
2010-12,8.276B,8.276B,,1.223B,,,26.32M,-26.32M,,1.286B,26.32M,-26.32M,160.36M,-26.32M,173.93M,67.00M,106.94M,,106.94M,106.94M,66.40M,200.25M,0.65,0.0,,0.65,0.65,0.63,0.0,,0.63,0.63,166.88M,169.30M,0.0
2010-09,8.351B,8.351B,,1.002B,,,26.14M,-26.14M,,1.061B,26.14M,-26.14M,128.92M,-26.14M,622.29M,229.07M,393.22M,,393.22M,393.22M,64.56M,648.43M,2.35,0.0,,2.35,2.35,2.32,0.0,,2.32,2.32,167.57M,169.58M,0.0
2010-06,8.589B,8.589B,,1.094B,,,26.22M,-26.22M,,1.158B,26.22M,-26.22M,132.70M,-26.22M,535.85M,195.78M,340.08M,,340.08M,340.08M,69.29M,562.08M,2.02,0.0,,2.02,2.02,2.0,0.0,,2.0,2.0,168.47M,170.23M,0.0
2010-03,8.380B,8.380B,,1.061B,,,26.31M,-26.31M,,1.120B,26.31M,-26.31M,133.02M,-26.31M,416.93M,158.16M,258.77M,,258.77M,258.77M,62.76M,443.24M,1.54,0.0,,1.54,1.54,1.52,0.0,,1.52,1.52,168.20M,170.08M,0.0
2009-12,7.633B,7.633B,,1.112B,,,26.24M,-26.24M,,1.181B,26.24M,-26.24M,59.84M,-26.24M,398.70M,148.04M,250.66M,,250.66M,250.66M,69.69M,424.94M,1.49,0.0,,1.49,1.49,1.48,0.0,,1.48,1.48,167.71M,169.71M,0.0
2009-09,7.717B,7.717B,,1.048B,,,26.26M,-26.26M,,1.110B,26.26M,-26.26M,64.10M,-26.26M,469.35M,167.83M,301.52M,,301.52M,301.52M,62.09M,495.61M,1.8,0.0,,1.8,1.8,1.78,0.0,,1.78,1.78,167.40M,169.25M,0.0
2009-06,7.899B,7.899B,,1.004B,,,26.57M,-26.57M,,1.065B,26.57M,-26.57M,62.33M,-26.57M,439.95M,158.17M,281.78M,,281.78M,281.78M,60.48M,466.52M,1.68,0.0,,1.68,1.68,1.67,0.0,,1.67,1.67,167.30M,168.67M,0.0
2009-03,7.712B,7.712B,,1.064B,,,26.77M,-26.77M,,1.122B,26.77M,-26.77M,54.94M,-26.77M,293.76M,88.04M,205.72M,,205.72M,205.72M,58.01M,320.53M,1.23,0.0,,1.23,1.23,1.22,0.0,,1.22,1.22,167.04M,168.66M,0.0
2008-12,7.488B,7.488B,,1.099B,,,26.74M,-26.74M,,1.159B,26.74M,-26.74M,54.97M,-26.74M,261.05M,86.97M,174.08M,,174.08M,174.08M,59.81M,287.78M,1.04,0.0,,1.04,1.04,1.04,0.0,,1.04,1.04,166.70M,167.70M,0.0
2008-09,7.148B,7.148B,,979.22M,,,19.35M,-19.35M,,1.035B,19.35M,-19.35M,58.97M,-19.35M,282.86M,99.85M,183.01M,,183.01M,183.01M,56.13M,302.21M,1.1,0.0,,1.1,1.1,1.09,0.0,,1.09,1.09,166.65M,168.58M,0.0
2008-06,7.351B,7.351B,,916.04M,,,17.87M,-17.87M,,969.50M,17.87M,-17.87M,50.32M,-17.87M,325.01M,115.12M,209.90M,,209.90M,209.90M,53.46M,342.88M,1.26,0.0,,1.26,1.26,1.24,0.0,,1.24,1.24,167.15M,169.00M,0.0
2008-03,6.960B,6.960B,,950.44M,,,16.34M,-16.34M,,1.001B,16.34M,-16.34M,45.16M,-16.34M,123.93M,43.76M,80.17M,,80.17M,80.17M,50.96M,140.27M,0.48,0.0,,0.48,0.48,0.47,0.0,,0.47,0.47,168.19M,170.60M,0.0
2007-12,6.339B,6.339B,,1.000B,,,18.95M,-18.95M,,1.049B,18.95M,-18.95M,41.78M,-18.95M,358.99M,115.77M,243.22M,,243.22M,243.22M,48.23M,377.93M,1.45,0.0,,1.45,1.45,1.43,0.0,,1.43,1.43,167.87M,170.26M,0.0
2007-09,6.320B,6.320B,,829.02M,,,15.95M,-15.95M,,871.27M,15.95M,-15.95M,42.85M,-15.95M,478.50M,176.12M,302.38M,,302.38M,302.38M,42.25M,494.45M,1.81,0.0,,1.81,1.81,1.78,0.0,,1.78,1.78,167.19M,169.88M,0.0
2007-06,6.427B,6.427B,,826.46M,,,16.07M,-16.07M,,880.72M,16.07M,-16.07M,34.40M,-16.07M,339.59M,122.74M,216.85M,,216.85M,216.85M,54.26M,355.66M,1.3,0.0,,1.3,1.3,1.28,0.0,,1.28,1.28,166.61M,169.60M,0.0
2007-03,6.205B,6.205B,,820.61M,,,17.92M,-17.92M,5.214B,6.075B,17.92M,-17.92M,200.25M,-17.92M,112.22M,40.98M,71.24M,,71.24M,71.24M,40.06M,130.14M,0.43,0.0,,0.43,0.43,0.42,0.0,,0.42,0.42,165.68M,169.62M,0.0
2006-12,5.655B,5.655B,,817.04M,,,15.81M,-15.81M,4.542B,5.398B,15.81M,-15.81M,198.37M,-15.81M,241.18M,86.16M,155.02M,,155.02M,155.02M,39.42M,256.99M,0.94,0.0,,0.94,0.94,0.92,0.0,,0.92,0.92,165.23M,168.67M,0.0
2006-09,5.650B,5.650B,,729.72M,,,17.01M,-17.01M,4.616B,5.383B,17.01M,-17.01M,163.42M,-17.01M,249.37M,90.18M,159.20M,,159.20M,159.20M,37.68M,266.38M,0.97,0.0,,0.97,0.97,0.95,0.0,,0.95,0.95,164.12M,167.58M,0.0
2006-06,5.407B,5.407B,,733.86M,,,16.89M,-16.89M,4.480B,5.250B,16.89M,-16.89M,142.69M,-16.89M,140.32M,50.83M,89.49M,,89.49M,89.49M,36.60M,157.21M,0.55,0.0,,0.55,0.55,0.53,0.0,,0.53,0.53,162.71M,168.85M,0.0
2006-03,4.704B,4.704B,,740.89M,,,13.44M,-13.44M,3.784B,4.560B,13.44M,-13.44M,182.88M,-13.44M,131.21M,47.49M,83.72M,,83.72M,83.72M,34.91M,144.65M,0.51,0.0,,0.51,0.51,0.5,0.0,,0.5,0.5,164.15M,167.43M,0.0
2005-12,3.663B,3.663B,590.68M,590.68M,,,10.33M,-10.33M,2.915B,3.539B,10.33M,-10.33M,149.83M,-10.33M,113.51M,39.98M,73.53M,,73.53M,73.53M,33.73M,123.84M,0.46,0.0,,0.46,0.46,0.45,0.0,,0.45,0.45,159.93M,163.47M,0.0
2005-09,3.821B,3.821B,,616.13M,,,10.14M,-10.14M,3.094B,3.745B,10.14M,-10.14M,109.10M,-10.14M,66.68M,19.87M,46.81M,,46.81M,46.81M,34.12M,76.82M,0.29,0.0,,0.29,0.29,0.28,0.0,,0.28,0.28,161.40M,167.17M,0.0
2005-06,3.546B,3.546B,,490.92M,,,10.32M,-10.32M,2.889B,3.411B,10.32M,-10.32M,100.34M,-10.32M,124.85M,43.44M,81.41M,,81.41M,81.41M,31.76M,135.17M,0.5,0.0,,0.5,0.5,0.49,0.0,,0.49,0.49,162.82M,166.15M,0.0
2005-03,3.387B,3.387B,479.04M,479.04M,,,8.523M,-8.523M,2.754B,3.262B,8.523M,-8.523M,,-8.523M,116.68M,9.945M,106.74M,,106.74M,106.74M,29.25M,125.20M,0.66,0.0,,0.66,0.66,0.65,0.0,,0.65,0.65,161.72M,164.21M,0.0
2004-12,3.210B,3.210B,,461.17M,,,6.648M,-6.648M,2.645B,3.140B,6.648M,-6.648M,-55.46M,-6.648M,63.25M,16.12M,47.13M,,47.13M,47.13M,33.08M,69.90M,0.3,0.0,,0.3,0.3,0.29,0.0,,0.29,0.29,158.19M,162.62M,0.0
2004-09,3.176B,3.176B,,460.17M,,,6.48M,-6.48M,2.551B,3.042B,6.48M,-6.48M,92.72M,-6.48M,127.47M,43.17M,84.30M,,84.30M,84.30M,31.24M,133.95M,0.53,0.0,,0.53,0.53,0.52,0.0,,0.52,0.52,159.06M,162.12M,0.0
2004-06,3.431B,3.431B,,486.90M,,,5.325M,-5.325M,2.790B,3.304B,5.325M,-5.325M,127.77M,-5.325M,122.35M,41.60M,80.75M,,80.75M,80.75M,27.16M,127.68M,0.5,0.0,,0.5,0.5,0.5,0.0,,0.5,0.5,161.51M,161.51M,0.0
2004-03,3.287B,3.287B,,469.63M,,,4.719M,-4.719M,2.684B,3.179B,4.719M,-4.719M,107.77M,-4.719M,102.77M,34.94M,67.83M,,67.83M,67.83M,26.31M,107.49M,0.42,0.0,,0.42,0.42,0.41,0.0,,0.41,0.41,161.50M,165.44M,0.0
2003-12,3.153B,3.153B,,495.34M,,,4.894M,-4.894M,2.535B,3.057B,4.894M,-4.894M,100.24M,-4.894M,91.21M,30.10M,61.11M,,61.11M,61.11M,26.55M,96.10M,0.38,0.0,,0.38,0.38,0.37,0.0,,0.37,0.37,161.06M,165.47M,0.0
2003-09,3.112B,3.112B,,458.38M,,,4.737M,-4.737M,2.528B,3.014B,4.737M,-4.737M,95.47M,-4.737M,93.41M,31.29M,62.12M,,62.12M,62.12M,27.11M,98.15M,0.39,0.0,,0.39,0.39,0.38,0.0,,0.38,0.38,159.28M,163.47M,0.0
2003-06,3.030B,3.030B,,448.54M,,,3.801M,-3.801M,2.445B,2.922B,3.801M,-3.801M,116.55M,-3.801M,104.19M,34.91M,69.28M,,69.28M,69.28M,28.45M,107.99M,0.44,0.0,,0.44,0.44,0.43,0.0,,0.43,0.43,157.45M,161.11M,0.0
2003-03,2.932B,2.932B,464.28M,464.28M,,,3.935M,-3.935M,2.371B,2.880B,3.935M,-3.935M,61.14M,-3.935M,47.40M,16.17M,31.23M,,31.23M,31.23M,44.67M,51.34M,0.2,0.0,,0.2,0.2,0.19,0.0,,0.19,0.19,156.15M,164.37M,0.0
2002-12,2.855B,2.855B,502.94M,502.94M,,,4.364M,-4.364M,2.326B,2.860B,4.364M,-4.364M,54.50M,-4.364M,-8.895M,-0.802M,-1.705M,,-1.705M,-1.705M,30.17M,-4.531M,-0.03,0.0,,-0.03,-0.03,-0.03,0.0,,-0.03,-0.03,179.31M,184.05M,0.0
2002-09,2.842B,2.842B,429.02M,429.02M,,,4.107M,-4.107M,2.301B,2.761B,4.107M,-4.107M,61.06M,-4.107M,76.96M,24.63M,52.33M,,52.33M,52.33M,30.52M,81.06M,0.32,0.0,,0.32,0.32,0.31,0.0,,0.31,0.31,163.53M,168.81M,0.0
2002-06,2.832B,2.832B,414.43M,414.43M,,,4.377M,-4.377M,2.316B,2.761B,4.377M,-4.377M,63.83M,-4.377M,66.70M,21.35M,45.36M,,45.36M,45.36M,30.24M,71.08M,0.28,0.0,,0.28,0.28,0.27,0.0,,0.27,0.27,162.00M,168.00M,0.0
2002-03,2.733B,2.733B,435.06M,435.06M,,,4.404M,-4.404M,2.195B,2.659B,4.404M,-4.404M,65.01M,-4.404M,68.78M,22.01M,46.77M,,46.77M,46.77M,29.80M,73.18M,0.28,0.0,,0.28,0.28,0.28,0.0,,0.28,0.28,167.04M,167.04M,0.0
2001-12,2.623B,2.623B,,412.13M,,,5.302M,-5.302M,2.108B,2.563B,5.302M,-5.302M,168.92M,-5.302M,55.08M,,35.17M,,35.17M,35.17M,52.02M,60.38M,0.21,0.0,,0.21,0.21,0.21,0.0,,0.21,0.21,168.12M,168.12M,0.0
2001-09,2.611B,2.611B,399.00M,399.00M,,,6.00M,-6.00M,2.118B,2.558B,6.00M,-6.00M,40.00M,-6.00M,47.00M,17.00M,30.00M,,30.00M,30.00M,41.30M,53.00M,0.18,0.0,,0.18,0.18,0.18,0.0,,0.18,0.18,166.67M,166.67M,0.0
2001-06,2.470B,2.470B,365.09M,365.09M,,,6.845M,-6.845M,,365.09M,6.845M,-6.845M,,-6.845M,0.00,14.11M,25.08M,,25.08M,25.08M,38.93M,6.845M,0.15,0.0,,0.15,0.15,0.15,0.0,,0.15,0.15,164.10M,166.47M,0.0
2001-03,2.443B,2.443B,368.77M,368.77M,,,7.678M,-7.678M,,368.77M,7.678M,-7.678M,,-7.678M,0.00,14.99M,26.65M,,26.65M,26.65M,38.78M,7.678M,0.16,0.0,,0.16,0.16,0.16,0.0,,0.16,0.16,164.05M,167.37M,0.0
2000-12,2.645B,2.645B,380.80M,380.80M,,,6.615M,-6.615M,,380.80M,6.615M,-6.615M,,-6.615M,113.99M,6.938M,27.05M,,27.05M,27.05M,,120.60M,0.16,0.0,,0.16,0.16,0.16,0.0,,0.16,0.16,166.18M,166.18M,0.0
2000-09,2.616B,2.616B,382.00M,382.00M,,,7.00M,-7.00M,,382.00M,7.00M,-7.00M,,-7.00M,0.00,6.00M,23.00M,,23.00M,23.00M,,7.00M,0.14,0.0,,0.14,0.14,0.14,0.0,,0.14,0.14,16.54M,165.69M,0.0
2000-06,2.696B,2.696B,363.00M,363.00M,,,7.00M,-7.00M,2.265B,2.665B,7.00M,-7.00M,,-7.00M,24.00M,5.00M,19.00M,,19.00M,19.00M,37.00M,31.00M,0.11,0.0,,0.11,0.11,0.11,0.0,,0.11,0.11,172.73M,172.73M,0.0
2000-03,2.642B,2.642B,353.00M,353.00M,,,8.00M,-8.00M,,353.00M,8.00M,-8.00M,,-8.00M,0.00,6.00M,21.00M,,21.00M,21.00M,,8.00M,0.13,0.0,,0.13,0.13,0.13,0.0,,0.13,0.13,167.75M,167.85M,0.0
1999-12,2.673B,2.673B,474.18M,474.18M,,,8.393M,-8.393M,,474.18M,8.393M,-8.393M,,-8.393M,-404.84M,-41.42M,-416.42M,,-416.42M,-416.42M,,-396.45M,-2.48,0.0,,-2.48,-2.48,-2.48,0.0,,-2.48,-2.48,168.21M,168.21M,0.0
1999-09,2.557B,2.557B,338.00M,338.00M,,,7.00M,-7.00M,,338.00M,7.00M,-7.00M,,-7.00M,0.00,12.00M,22.00M,,22.00M,22.00M,,7.00M,0.13,0.0,,0.13,0.13,0.13,0.0,,0.13,0.13,167.57M,168.03M,0.0
1999-06,2.505B,2.505B,329.00M,329.00M,,,8.00M,-8.00M,,329.00M,8.00M,-8.00M,,-8.00M,0.00,16.00M,28.00M,,28.00M,28.00M,,8.00M,0.17,0.0,,0.17,0.17,0.17,0.0,,0.17,0.17,167.58M,168.15M,0.0
1999-03,2.477B,2.477B,325.00M,325.00M,,,10.00M,-10.00M,,325.00M,10.00M,-10.00M,,-10.00M,0.00,-9.00M,-16.00M,,-16.00M,-16.00M,,10.00M,-0.1,0.0,,-0.1,-0.1,-0.1,0.0,,-0.1,-0.1,167.56M,167.56M,0.0
1998-12,2.554B,2.554B,412.33M,412.33M,,0.00,11.97M,-11.97M,,412.33M,11.97M,-11.97M,,-11.97M,203.08M,32.00M,57.00M,,56.96M,56.96M,,215.06M,0.34,0.0,,0.34,0.34,0.34,0.0,,0.34,0.34,171.43M,171.43M,0.0
1998-09,2.464B,2.464B,351.00M,351.00M,,-34.00M,13.00M,-13.00M,,317.00M,13.00M,-13.00M,,-13.00M,0.00,-17.00M,-30.00M,,-30.00M,4.00M,,13.00M,-0.18,0.0,,0.0236,-0.18,-0.18,0.0,,0.0236,-0.18,167.02M,167.02M,0.0
1998-06,2.446B,2.446B,326.00M,326.00M,,,10.00M,-10.00M,,326.00M,10.00M,-10.00M,,-10.00M,0.00,30.00M,52.00M,,52.00M,52.00M,,10.00M,0.31,0.0,,0.31,0.31,0.31,0.0,,0.31,0.31,166.60M,169.12M,0.0
