,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2009-09,301.52M,,,,,,,62.09M,62.09M,12.07M,15.80M,12.50M,500.39M,-45.72M,30.54M,62.70M,-11.78M,536.13M,940.11M,-39.53M,,-39.53M,-0.069M,-985.52M,,-1.025B,45.53M,-115.23M,-69.70M,,-2.271M,-2.271M,,,3.544M,20.34M,-48.09M,1.585B,-133.10M,1.452B,,,-69.70M,-2.271M,217.67M,10.54M
2009-06,281.78M,,,,,,,60.48M,60.48M,-54.51M,17.35M,-14.32M,-239.04M,172.70M,43.08M,-117.43M,11.78M,-128.91M,161.86M,-43.56M,,-43.56M,0.00,-144.72M,,-188.28M,-354.21M,-62.41M,-416.62M,,0.00,0.00,,,0.055M,116.89M,-299.67M,1.911B,-326.09M,1.585B,,-33.52M,-383.10M,0.00,260.38M,56.64M
2009-03,205.72M,,,,,,,58.01M,58.01M,19.69M,15.68M,4.772M,-255.10M,32.92M,-61.91M,25.74M,,-258.35M,45.52M,-39.05M,,-39.05M,-12.37M,-205.38M,,-256.80M,33.52M,-71.28M,-37.76M,,-5.999M,-5.999M,,,1.234M,194.58M,152.06M,1.970B,-59.22M,1.911B,,33.52M,-71.28M,-5.999M,,
2008-12,174.08M,,,,-0.005M,,,59.81M,59.81M,-0.594M,13.53M,15.14M,-59.57M,75.09M,66.04M,-46.95M,,34.61M,296.57M,-82.03M,,-82.02M,-160.57M,-63.42M,,-306.01M,-26.48M,1.052B,1.025B,,-0.303M,-0.303M,,,1.92M,-589.70M,436.96M,1.543B,427.52M,1.970B,,750.00M,319.73M,-0.303M,112.97M,32.47M
2008-09,183.01M,,18.85M,,18.85M,,,56.13M,56.13M,-31.98M,14.67M,78.62M,290.06M,-43.83M,28.28M,-16.53M,,257.98M,577.28M,-67.50M,,-67.50M,3.746M,313.25M,,249.50M,-41.47M,-264.80M,-306.26M,,-11.11M,-11.11M,,,1.559M,-142.71M,-458.52M,1.175B,368.26M,1.543B,,-28.74M,-277.52M,-11.11M,147.00M,8.441M
2008-06,209.90M,,-8.585M,,-8.585M,,,53.46M,53.46M,2.761M,13.25M,5.881M,-229.60M,192.92M,-112.39M,-15.86M,-7.712M,-172.64M,104.02M,-64.96M,,-64.96M,-262.26M,-195.97M,,-523.19M,772.51M,-870.62M,-98.11M,,-14.71M,-14.71M,,,0.824M,17.52M,-94.48M,1.688B,-513.64M,1.175B,,930.97M,-1.029B,-14.71M,82.38M,14.59M
2008-03,80.17M,,-10.26M,,-10.26M,,,50.96M,50.96M,7.811M,13.92M,3.277M,-153.78M,188.54M,-82.82M,-101.07M,7.712M,-141.43M,4.439M,-47.09M,,-47.09M,-3.838M,132.30M,,81.38M,,-466.10M,-466.10M,,-79.95M,-79.95M,,,6.662M,101.41M,-437.98M,2.040B,-352.17M,1.688B,,272.02M,-738.12M,-79.95M,5.003M,18.31M
2007-12,243.22M,,-9.196M,,-22.79M,,,48.23M,48.23M,0.443M,11.26M,47.42M,77.60M,-134.66M,162.76M,-623.32M,,-517.62M,-189.83M,-83.19M,10.58M,-72.61M,-465.99M,-650.72M,,-1.189B,15.87M,831.46M,847.33M,,-13.40M,-13.40M,,,12.98M,-12.99M,833.93M,2.586B,-545.22M,2.040B,,1.006B,-159.13M,-13.40M,198.44M,18.36M
2007-09,302.38M,,-2.387M,,-2.387M,,,42.25M,42.25M,-9.168M,10.60M,-0.458M,-0.245M,-76.83M,69.40M,-973.20M,,-980.87M,-637.65M,-41.34M,11.86M,-29.48M,-0.501M,406.36M,,376.38M,-36.29M,-440.48M,-476.77M,,-6.814M,-6.814M,,,18.32M,-408.57M,-873.83M,3.721B,-1.135B,2.586B,,-40.48M,-436.29M,-6.814M,120.53M,15.58M
2007-06,216.85M,,-0.085M,,-0.085M,,,54.26M,54.26M,-17.90M,20.26M,3.437M,139.57M,62.81M,-126.47M,1.343B,-1.219B,200.44M,477.27M,-43.97M,0.002M,-43.97M,-0.224M,-969.16M,421.20M,-592.15M,-425.16M,617.11M,191.94M,-17.54M,-0.016M,-17.56M,,,30.34M,-63.13M,141.59M,3.694B,26.71M,3.721B,-17.54M,1.118B,-504.93M,-0.016M,124.93M,34.02M
