,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,8.855B,9.742B,18.60B,1.276B,,1.276B,19.87B,1.595B,3.76B,276.00M,4.036B,12.10B,23.32B,33.45B,14.07B,,,14.07B,14.07B,,,522.00M,522.00M,522.00M,14.59B,4.772B,4.772B,,,3.706B,8.478B,23.37B,33.00M,14.09B,2.626B,6.51B,-154.00M,10.08B
2017-12,4.042B,9.557B,13.60B,854.00M,,854.00M,14.45B,1.584B,3.281B,226.00M,3.507B,12.30B,22.28B,27.18B,11.66B,,,11.66B,11.66B,,150.00M,141.00M,291.00M,291.00M,11.95B,4.77B,4.77B,,,378.00M,5.148B,17.34B,33.00M,13.67B,2.445B,6.325B,19.00M,9.842B
2017-09,9.865B,8.622B,18.49B,922.00M,,922.00M,19.41B,1.56B,3.281B,227.00M,3.508B,11.34B,22.17B,32.96B,12.74B,,,12.74B,12.74B,803.00M,150.00M,171.00M,1.124B,1.124B,13.86B,3.977B,3.977B,,,3.447B,7.424B,21.74B,33.00M,13.54B,2.641B,5.017B,12.00M,11.21B
2017-06,8.139B,8.115B,16.25B,2.43B,,2.43B,18.68B,1.543B,3.28B,245.00M,3.525B,10.78B,21.68B,32.25B,12.43B,,,12.43B,12.43B,501.00M,200.00M,117.00M,818.00M,818.00M,13.25B,4.279B,4.279B,,,3.356B,7.635B,21.30B,33.00M,13.10B,2.306B,4.482B,-5.00M,10.95B
2017-03,8.425B,8.205B,16.63B,1.838B,,1.838B,18.47B,1.525B,3.279B,262.00M,3.541B,10.63B,21.45B,31.71B,12.26B,,,12.26B,12.26B,,470.00M,178.00M,648.00M,648.00M,12.91B,4.78B,4.78B,,,3.42B,8.20B,21.48B,33.00M,12.51B,2.246B,4.496B,-58.00M,10.23B
2016-12,3.877B,7.595B,11.47B,1.28B,,1.28B,12.75B,1.505B,3.272B,280.00M,3.552B,9.798B,20.24B,25.40B,9.864B,,,9.864B,9.864B,,,512.00M,512.00M,512.00M,10.38B,3.792B,3.792B,,,280.00M,4.072B,14.71B,33.00M,11.45B,2.562B,3.298B,-66.00M,10.68B
2016-09,6.769B,7.329B,14.10B,765.00M,,765.00M,14.86B,1.478B,3.272B,298.00M,3.57B,9.602B,21.93B,29.47B,10.28B,,,10.28B,10.28B,,300.00M,183.00M,483.00M,483.00M,10.76B,3.792B,3.792B,,,3.351B,7.143B,18.18B,33.00M,11.90B,2.527B,3.286B,112.00M,11.28B
2016-06,2.429B,7.417B,9.846B,2.553B,,2.553B,12.40B,1.452B,3.266B,316.00M,3.582B,9.468B,22.25B,27.24B,11.42B,,,11.42B,11.42B,,300.00M,192.00M,492.00M,492.00M,11.91B,3.793B,3.793B,,,311.00M,4.104B,16.36B,33.00M,11.49B,2.502B,3.287B,134.00M,10.87B
2016-03,2.801B,7.738B,10.54B,1.737B,,1.737B,12.28B,1.42B,3.265B,336.00M,3.601B,9.678B,22.40B,26.93B,11.42B,,,11.42B,11.42B,,,557.00M,557.00M,557.00M,11.98B,3.793B,3.793B,,,360.00M,4.153B,16.41B,33.00M,11.20B,2.498B,3.287B,76.00M,10.52B
2015-12,2.571B,7.267B,9.838B,1.161B,,1.161B,11.00B,1.384B,3.265B,357.00M,3.622B,9.11B,20.95B,24.68B,9.339B,,,9.339B,9.339B,,299.00M,301.00M,600.00M,600.00M,9.939B,3.794B,3.794B,,,364.00M,4.158B,14.33B,33.00M,11.02B,2.53B,3.292B,58.00M,10.35B
2015-09,1.597B,7.423B,9.02B,986.00M,,986.00M,10.01B,1.343B,3.266B,379.00M,3.645B,9.302B,21.71B,24.30B,9.292B,,,9.292B,9.292B,,,307.00M,307.00M,307.00M,9.599B,3.822B,3.822B,,,297.00M,4.119B,13.94B,33.00M,10.96B,2.515B,3.292B,137.00M,10.35B
2015-06,2.25B,7.041B,9.291B,2.129B,,2.129B,11.42B,1.299B,3.266B,401.00M,3.667B,8.88B,21.00B,25.38B,10.22B,,,10.22B,10.22B,,,609.00M,609.00M,609.00M,10.83B,3.823B,3.823B,,,291.00M,4.114B,15.30B,33.00M,10.69B,2.495B,3.287B,153.00M,10.08B
2015-03,1.946B,7.60B,9.546B,1.69B,,1.69B,11.24B,1.258B,3.231B,419.00M,3.65B,9.572B,21.04B,25.62B,10.62B,,,10.62B,10.62B,,,288.00M,288.00M,288.00M,10.90B,3.824B,3.824B,,,378.00M,4.202B,15.58B,33.00M,10.30B,2.465B,2.983B,227.00M,10.04B
2014-12,1.935B,7.598B,9.533B,1.053B,,1.053B,10.59B,1.228B,3.231B,440.00M,3.671B,9.547B,19.60B,23.53B,8.919B,,,8.919B,8.919B,,,334.00M,334.00M,334.00M,9.253B,3.825B,3.825B,,,361.00M,4.186B,13.88B,33.00M,9.916B,2.33B,2.856B,223.00M,9.646B
2014-09,2.705B,8.088B,10.79B,1.004B,,1.004B,11.80B,1.349B,3.695B,607.00M,4.302B,10.04B,20.62B,24.33B,9.043B,,,9.043B,9.043B,512.00M,,267.00M,779.00M,779.00M,9.822B,3.826B,3.826B,,,246.00M,4.072B,14.21B,33.00M,9.813B,2.40B,2.354B,233.00M,10.12B
2014-06,1.593B,7.565B,9.158B,2.074B,,2.074B,11.23B,1.289B,3.696B,629.00M,4.325B,9.46B,19.45B,23.12B,9.623B,,,9.623B,9.623B,,,294.00M,294.00M,294.00M,9.917B,2.595B,2.595B,,,249.00M,2.844B,13.12B,33.00M,9.567B,2.376B,2.236B,260.00M,10.00B
2014-03,1.662B,8.248B,9.91B,1.46B,,1.46B,11.37B,1.244B,3.699B,657.00M,4.356B,10.05B,19.44B,22.57B,9.383B,,,9.383B,9.383B,,,267.00M,267.00M,267.00M,9.65B,2.598B,2.598B,,,263.00M,2.861B,12.84B,33.00M,9.266B,2.333B,2.133B,226.00M,9.725B
2013-12,1.138B,8.09B,9.228B,950.00M,,950.00M,10.18B,1.218B,3.733B,693.00M,4.426B,9.80B,18.65B,20.74B,7.921B,,,7.921B,7.921B,,,403.00M,403.00M,403.00M,8.324B,2.60B,2.60B,,,206.00M,2.806B,11.42B,33.00M,8.942B,2.267B,2.084B,158.00M,9.316B
2013-09,1.255B,8.262B,9.517B,824.00M,,824.00M,10.34B,1.18B,3.716B,724.00M,4.44B,9.999B,18.82B,20.90B,7.907B,,,7.907B,7.907B,,,273.00M,273.00M,273.00M,8.18B,2.603B,2.603B,,,198.00M,2.801B,11.30B,32.00M,9.014B,2.242B,1.878B,196.00M,9.606B
2013-06,1.519B,7.556B,9.075B,1.593B,,1.593B,10.67B,1.133B,3.638B,675.00M,4.313B,9.326B,17.74B,20.85B,8.141B,,,8.141B,8.141B,,,246.00M,246.00M,246.00M,8.387B,2.606B,2.606B,,,193.00M,2.799B,11.51B,32.00M,8.688B,2.19B,1.784B,209.00M,9.335B
2013-03,1.398B,8.141B,9.539B,1.321B,,1.321B,10.86B,1.119B,3.641B,703.00M,4.344B,9.965B,18.26B,20.97B,8.335B,,,8.335B,8.335B,,,290.00M,290.00M,290.00M,8.625B,2.608B,2.608B,,,243.00M,2.851B,11.81B,32.00M,8.311B,2.14B,1.647B,328.00M,9.164B
2012-12,1.306B,8.001B,9.307B,733.00M,,733.00M,10.04B,1.098B,3.64B,731.00M,4.371B,9.847B,17.94B,19.98B,7.679B,,,7.679B,7.679B,,,324.00M,324.00M,324.00M,8.003B,2.611B,2.611B,,,230.00M,2.841B,11.13B,32.00M,7.881B,2.101B,1.553B,386.00M,8.847B
2012-09,1.363B,8.058B,9.421B,,,642.00M,10.06B,1.034B,2.497B,465.00M,2.962B,8.058B,14.96B,18.80B,,,,5.92B,5.92B,,,277.00M,277.00M,277.00M,6.197B,1.616B,1.616B,,,172.00M,1.788B,10.11B,32.00M,7.731B,2.079B,1.548B,397.00M,8.691B
2012-06,3.869B,7.882B,11.75B,,,898.00M,12.65B,976.00M,2.792B,,2.792B,7.882B,22.19B,20.86B,2.081B,,3.994B,6.075B,6.075B,,,260.00M,260.00M,260.00M,6.335B,1.618B,1.618B,,,2.341B,3.959B,12.40B,32.00M,7.346B,2.063B,1.313B,327.00M,8.455B
2012-03,3.656B,7.889B,11.54B,,,1.33B,12.88B,939.00M,2.785B,,2.785B,7.889B,14.01B,20.70B,2.123B,,4.108B,6.231B,6.231B,,,294.00M,294.00M,294.00M,6.525B,1.621B,1.621B,,,2.298B,3.919B,12.47B,32.00M,7.032B,2.043B,1.186B,313.00M,8.234B
2011-12,1.377B,7.743B,9.12B,1.034B,,1.034B,10.15B,912.00M,2.74B,435.00M,3.175B,9.453B,15.30B,17.71B,7.20B,,,7.20B,7.20B,,,306.00M,306.00M,306.00M,7.506B,1.659B,1.659B,,,213.00M,1.872B,9.645B,32.00M,6.825B,1.938B,1.035B,303.00M,8.063B
2011-09,4.019B,7.865B,11.88B,,,1.036B,12.92B,850.89M,2.580B,,2.580B,7.865B,13.14B,19.90B,2.333B,,3.868B,6.201B,6.201B,,,298.59M,298.59M,298.59M,6.500B,1.662B,1.662B,11.48M,,2.005B,3.678B,12.04B,32.13M,6.667B,1.914B,1.035B,279.84M,7.858B
2011-06,1.568B,7.610B,9.178B,1.627B,,1.546B,10.72B,822.61M,2.578B,,2.578B,7.610B,12.86B,17.59B,1.945B,,3.953B,5.898B,5.898B,,,217.29M,217.29M,217.29M,6.115B,1.664B,1.664B,35.54M,,204.86M,1.904B,10.01B,32.12M,6.263B,1.898B,795.23M,189.03M,7.587B
2011-03,1.756B,7.421B,9.177B,,,1.219B,10.40B,819.73M,2.576B,,2.576B,7.421B,12.59B,17.16B,1.917B,,3.940B,5.857B,5.857B,,,252.07M,252.07M,252.07M,6.109B,1.666B,1.666B,37.00M,,219.00M,1.922B,9.933B,31.94M,5.844B,1.825B,583.35M,108.81M,7.227B
2010-12,1.673B,6.873B,8.546B,,,959.00M,9.505B,815.00M,2.568B,,2.568B,6.873B,11.97B,16.10B,1.681B,,3.469B,5.15B,5.15B,,,409.00M,409.00M,409.00M,5.559B,1.669B,1.669B,,,185.00M,1.854B,9.179B,32.00M,5.529B,1.737B,494.00M,120.00M,6.924B
2010-09,2.923B,7.142B,10.07B,794.20M,13.83M,808.03M,10.87B,670.28M,1.997B,,1.997B,7.142B,18.29B,16.39B,2.041B,,3.727B,5.768B,5.768B,,,241.23M,241.23M,241.23M,6.009B,1.671B,1.671B,38.11M,,213.78M,1.923B,9.451B,31.68M,5.422B,1.721B,494.07M,259.02M,6.939B
2010-06,1.999B,6.882B,8.881B,1.310B,14.83M,1.325B,10.21B,660.22M,1.995B,,1.995B,6.882B,10.92B,15.69B,1.666B,,3.830B,5.496B,5.496B,,,239.92M,239.92M,239.92M,5.736B,1.674B,1.674B,51.62M,,209.35M,1.935B,9.212B,31.67M,5.028B,1.704B,443.77M,158.43M,6.479B
2010-03,1.814B,6.765B,8.579B,1.091B,13.23M,1.105B,9.683B,665.91M,1.993B,,1.993B,6.765B,10.89B,15.21B,1.659B,,3.707B,5.366B,5.366B,,,236.04M,236.04M,236.04M,5.602B,1.676B,1.676B,68.22M,,235.58M,1.980B,9.124B,31.66M,4.688B,1.689B,393.57M,69.99M,6.085B
2009-12,1.614B,6.190B,7.804B,,,823.62M,8.627B,679.14M,1.993B,,1.993B,6.190B,16.48B,14.15B,1.308B,,3.223B,4.530B,4.530B,,,374.46M,374.46M,374.46M,4.905B,1.678B,1.678B,126.43M,,228.82M,2.033B,8.377B,31.63M,4.430B,1.659B,385.90M,42.14M,5.776B
2009-09,1.452B,5.899B,7.351B,765.04M,11.49M,776.53M,8.128B,679.01M,1.993B,,1.993B,5.899B,10.48B,14.20B,1.533B,,3.365B,4.898B,4.898B,,,199.38M,199.38M,199.38M,5.098B,1.680B,1.680B,189.77M,,219.79M,2.090B,8.654B,31.52M,4.179B,1.626B,371.33M,83.54M,5.548B
2009-06,1.585B,4.583B,6.169B,1.266B,10.93M,1.277B,7.445B,691.41M,1.993B,,1.993B,4.583B,9.312B,13.68B,1.352B,,3.411B,4.763B,4.763B,,,153.85M,153.85M,153.85M,4.917B,1.683B,1.683B,305.01M,,244.86M,2.233B,8.626B,31.48M,3.877B,1.605B,369.06M,-86.56M,5.058B
2009-03,1.911B,4.439B,6.350B,1.026B,12.08M,1.038B,7.388B,701.38M,1.991B,,1.991B,4.439B,9.244B,13.61B,1.384B,,3.238B,4.623B,4.623B,,,258.06M,258.06M,258.06M,4.881B,1.935B,1.935B,367.42M,,241.46M,2.544B,8.936B,31.47M,3.596B,1.587B,369.06M,-174.92M,4.670B
2008-12,1.970B,4.204B,6.174B,777.67M,12.01M,789.68M,6.964B,711.49M,1.963B,,1.963B,4.204B,13.07B,13.04B,1.077B,,3.206B,4.283B,4.283B,,,224.54M,224.54M,224.54M,4.507B,1.937B,1.937B,438.70M,,238.10M,2.614B,8.585B,31.31M,3.390B,1.574B,363.06M,-175.24M,4.457B
2008-09,1.543B,3.983B,5.525B,697.50M,12.16M,709.65M,6.235B,677.88M,1.823B,,1.823B,3.983B,8.892B,12.56B,1.241B,,3.069B,4.309B,4.309B,,,257.68M,257.68M,257.68M,4.567B,1.668B,1.668B,535.53M,,220.51M,2.424B,8.293B,31.29M,3.216B,1.559B,362.75M,-172.48M,4.271B
2008-06,1.175B,4.196B,5.370B,987.07M,12.64M,999.72M,6.370B,655.43M,1.817B,,1.817B,4.196B,8.976B,12.94B,1.351B,,3.106B,4.457B,4.457B,,,297.96M,297.96M,297.96M,4.755B,1.635B,1.635B,800.33M,,210.77M,2.646B,8.736B,31.28M,3.033B,1.542B,351.65M,-51.12M,4.204B
2008-03,1.688B,3.955B,5.643B,747.81M,11.52M,759.32M,6.402B,636.94M,1.684B,,1.684B,3.955B,10.31B,12.76B,,,,5.216B,5.216B,,,291.25M,291.25M,291.25M,5.507B,1.601B,1.601B,,,227.49M,1.829B,8.710B,31.16M,2.823B,1.528B,336.93M,7.312M,4.052B
2007-12,2.040B,3.635B,5.676B,592.76M,12.78M,605.54M,6.281B,637.24M,1.664B,,1.664B,3.635B,7.881B,12.88B,1.269B,,2.697B,3.966B,3.966B,,,269.23M,269.23M,269.23M,4.235B,1.688B,1.688B,1.337B,,219.78M,3.245B,8.850B,31.12M,2.743B,1.498B,256.99M,14.02M,4.029B
2007-09,2.586B,3.475B,6.061B,685.24M,12.56M,697.80M,6.759B,570.80M,1.331B,,1.331B,3.475B,8.789B,12.07B,,,,5.965B,5.965B,,,253.36M,253.36M,253.36M,6.219B,1.293B,1.293B,,2.881B,177.08M,4.351B,8.334B,31.00M,2.500B,1.463B,243.59M,-11.04M,3.739B
2007-06,3.721B,3.324B,7.044B,685.48M,12.07M,697.55M,7.742B,569.41M,1.331B,,1.331B,3.324B,8.917B,13.33B,,,,6.385B,6.385B,,,289.65M,289.65M,289.65M,6.674B,1.190B,1.190B,,2.954B,1.355B,5.499B,9.959B,30.83M,2.197B,1.422B,236.78M,-38.11M,3.375B
2007-03,3.694B,3.155B,6.849B,826.31M,10.81M,837.12M,7.686B,571.40M,1.331B,,1.331B,3.155B,8.175B,12.71B,,,,5.913B,5.913B,,,284.57M,284.57M,284.57M,6.197B,1.329B,1.329B,,2.886B,1.330B,5.546B,9.547B,30.75M,1.980B,1.394B,236.76M,-8.378M,3.160B
2006-12,1.740B,3.192B,4.933B,667.66M,13.28M,680.94M,5.614B,545.00M,1.311B,,1.311B,3.192B,7.677B,10.10B,,,,4.665B,4.665B,,,293.60M,293.60M,293.60M,4.959B,1.269B,1.269B,,,,1.269B,7.045B,30.49M,1.909B,1.357B,229.58M,-13.20M,3.054B
2006-09,1.181B,3.243B,4.424B,729.95M,15.06M,745.00M,5.169B,518.93M,1.307B,,1.307B,3.243B,8.031B,9.957B,,,,5.009B,5.009B,,,281.24M,281.24M,281.24M,5.291B,970.14M,970.14M,,2.563B,146.32M,3.679B,7.065B,30.39M,1.754B,1.334B,218.93M,-6.574M,2.892B
2006-06,2.258B,2.998B,5.257B,767.61M,14.84M,782.45M,6.039B,505.72M,1.308B,,1.308B,2.998B,6.796B,9.837B,,,,3.801B,3.801B,,,571.76M,571.76M,571.76M,4.373B,784.40M,784.40M,,2.458B,1.170B,4.412B,7.178B,30.17M,1.595B,1.285B,208.30M,-43.35M,2.659B
2006-03,1.843B,2.623B,4.466B,763.06M,21.65M,784.71M,5.251B,498.27M,1.265B,,1.265B,2.623B,6.070B,8.698B,,,,3.291B,3.291B,,,575.82M,575.82M,575.82M,3.867B,601.22M,601.22M,,2.169B,920.68M,3.691B,6.130B,30.08M,1.505B,1.264B,203.47M,-28.41M,2.568B
2005-12,732.02M,2.355B,3.087B,723.19M,15.46M,738.65M,3.826B,484.41M,1.265B,,1.265B,2.355B,5.399B,6.870B,,,,2.518B,2.518B,,,581.26M,581.26M,581.26M,3.099B,513.79M,513.79M,,1.910B,120.49M,2.544B,4.396B,29.84M,1.538B,1.098B,203.36M,24.83M,2.474B
2005-09,978.94M,2.228B,3.207B,695.34M,15.80M,711.14M,3.918B,457.08M,1.220B,,1.220B,2.228B,5.142B,6.832B,,,,2.444B,2.444B,,,560.80M,560.80M,560.80M,3.005B,317.21M,317.21M,,1.817B,533.91M,2.668B,4.466B,29.77M,1.474B,1.084B,203.07M,-3.504M,2.366B
2005-06,603.79M,2.218B,2.821B,588.71M,19.45M,608.15M,3.430B,437.39M,1.222B,,1.222B,2.218B,5.066B,6.278B,,,,2.140B,2.140B,,,182.49M,182.49M,182.49M,2.322B,878.39M,878.39M,,1.678B,121.15M,2.677B,3.962B,29.68M,1.424B,1.068B,202.69M,13.12M,2.316B
2005-03,560.26M,2.137B,2.697B,568.18M,20.14M,588.33M,3.285B,428.89M,1.244B,,1.244B,2.137B,5.001B,6.150B,,,,2.068B,2.068B,,,192.74M,192.74M,192.74M,2.261B,885.27M,885.27M,,1.546B,143.68M,2.575B,3.950B,29.59M,1.340B,1.055B,202.38M,-5.648M,2.200B
2004-12,580.08M,2.146B,2.726B,554.66M,24.95M,579.62M,3.305B,399.51M,885.57M,,885.57M,2.146B,4.498B,5.658B,,,,1.988B,1.988B,,,192.06M,192.06M,192.06M,2.180B,636.70M,636.70M,,1.422B,146.33M,2.205B,3.567B,29.34M,1.230B,1.017B,201.00M,16.53M,2.090B
2004-09,375.09M,2.333B,2.708B,405.07M,19.80M,424.87M,3.132B,390.74M,859.73M,,859.73M,2.333B,4.612B,5.412B,,,,1.941B,1.941B,,,116.11M,116.11M,116.11M,2.057B,630.91M,630.91M,,1.436B,132.66M,2.200B,3.390B,29.18M,1.183B,994.98M,198.45M,13.80M,2.022B
2004-06,203.64M,2.322B,2.526B,528.08M,15.61M,543.69M,3.070B,392.96M,813.40M,,813.40M,2.322B,4.596B,5.343B,,,,1.954B,1.954B,,,172.06M,172.06M,172.06M,2.126B,623.68M,623.68M,,1.454B,109.07M,2.187B,3.430B,29.11M,1.098B,987.50M,184.85M,-16.76M,1.913B
2004-03,417.65M,2.116B,2.533B,511.93M,16.63M,528.56M,3.062B,397.21M,776.87M,,776.87M,2.116B,4.330B,5.276B,,,,1.819B,1.819B,,,210.44M,210.44M,210.44M,2.030B,646.90M,646.90M,,1.397B,131.37M,2.175B,3.367B,29.09M,1.018B,986.37M,148.72M,24.64M,1.909B
2003-12,,,,,,,,,,,,,,5.375B,,,,,,,,,,,,642.64M,642.64M,,,,642.64M,3.506B,,,,,,1.869B
2003-09,635.84M,1.682B,2.318B,461.68M,10.95M,472.64M,2.791B,413.40M,776.87M,,776.87M,1.682B,3.641B,4.750B,,,,1.735B,1.735B,,,218.75M,218.75M,218.75M,1.954B,928.20M,928.20M,,1.297B,108.16M,2.333B,2.991B,28.85M,883.50M,961.02M,133.98M,20.09M,1.759B
2003-06,754.94M,1.399B,2.154B,402.82M,36.69M,439.51M,2.594B,417.45M,776.87M,,776.87M,1.399B,3.299B,4.494B,,,,1.743B,1.743B,,,344.54M,344.54M,344.54M,2.087B,599.71M,599.71M,,1.287B,100.44M,1.988B,2.788B,28.71M,821.38M,938.65M,110.85M,29.84M,1.706B
2003-03,532.65M,1.411B,1.944B,472.97M,55.73M,528.70M,2.473B,423.46M,776.87M,,776.87M,1.411B,3.368B,4.429B,,,,1.739B,1.739B,,,349.58M,349.58M,349.58M,2.088B,602.46M,602.46M,,1.226B,117.60M,1.946B,2.808B,28.56M,752.11M,931.46M,110.65M,23.26M,1.621B
2002-12,,1.695B,1.695B,321.14M,,321.14M,2.016B,459.84M,,776.87M,776.87M,1.695B,4.559B,4.880B,,,,1.142B,1.142B,,,359.88M,359.88M,359.88M,1.502B,245.03M,245.03M,,,335.76M,580.79M,3.273B,28.56M,720.88M,931.09M,89.99M,,1.641B
2002-09,375.74M,1.421B,1.796B,557.28M,,557.28M,2.354B,462.45M,776.87M,,776.87M,1.421B,3.446B,4.379B,,,,1.640B,1.640B,,,369.40M,369.40M,369.40M,2.010B,364.50M,364.50M,,1.164B,89.98M,1.619B,2.712B,28.55M,722.58M,930.94M,41.39M,35.82M,1.667B
2002-06,450.70M,1.338B,1.788B,517.46M,,517.46M,2.306B,462.79M,776.87M,,776.87M,1.338B,3.393B,4.362B,,,,1.667B,1.667B,,,398.28M,398.28M,398.28M,2.065B,355.02M,355.02M,,1.195B,82.96M,1.633B,2.740B,28.58M,670.25M,931.83M,15.95M,18.64M,1.621B
2002-03,485.88M,1.409B,1.895B,372.08M,,372.08M,2.267B,467.95M,776.87M,,776.87M,1.409B,3.446B,4.304B,,,,1.650B,1.650B,,,426.43M,426.43M,426.43M,2.077B,339.10M,339.10M,,1.150B,87.28M,1.577B,2.754B,28.47M,624.89M,923.98M,15.95M,3.303M,1.550B
2001-12,,,,,,,,,,,,,,4.682B,,,,,,,,,,,,,,,,,,3.174B,,,,,,1.508B
2001-09,592.00M,1.392B,1.984B,282.00M,,282.00M,2.266B,453.00M,793.00M,,793.00M,1.392B,3.30B,4.174B,,,,1.552B,1.552B,,,412.00M,412.00M,412.00M,1.964B,318.00M,318.00M,,1.13B,283.00M,1.731B,2.71B,28.00M,543.00M,923.00M,15.00M,6.00M,1.464B
2001-06,603.00M,1.38B,1.983B,269.00M,,269.00M,2.252B,449.00M,807.00M,,807.00M,1.38B,3.288B,4.16B,,,,1.533B,1.533B,,,747.00M,747.00M,747.00M,2.28B,,,,1.122B,313.00M,1.435B,2.74B,28.00M,513.00M,921.00M,13.00M,-5.00M,1.42B
2001-03,570.00M,1.398B,1.968B,249.00M,,249.00M,2.217B,439.00M,786.00M,,786.00M,1.398B,3.258B,4.077B,,,,1.481B,1.481B,,,718.00M,718.00M,718.00M,2.199B,,,,1.103B,340.00M,1.443B,2.682B,28.00M,488.00M,922.00M,13.00M,-3.00M,1.395B
