,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2011-09,2.764B,2.764B,990.00M,1.774B,,,138.00M,,,,-58.00M,108.00M,104.00M,,-104.00M,,812.00M,962.00M,,104.00M,-104.00M,680.00M,-104.00M,1.538B,498.00M,,,,1.038B,580.18M,1.642B,,2011-09,2.51,0.00,2.51,,2011-09,,1.381,2.50,,2011-09,410.00M,411.00M,0.17,,2011-09,AOR,Restated
2011-06,2.804B,2.804B,909.00M,1.895B,,,135.00M,,,,-43.00M,120.00M,85.00M,,-85.00M,,805.00M,1.09B,,85.00M,-85.00M,373.00M,-85.00M,1.378B,1.194B,,,,2.743B,-58.45M,1.463B,,2011-06,0.44,6.06,6.50,,2011-06,,-0.1486,6.48,,2011-06,417.00M,419.00M,0.17,,2011-06,AOR,Restated
2011-03,2.315B,2.315B,757.00M,1.558B,,,130.00M,,,,15.00M,108.00M,81.00M,,-81.00M,,744.00M,814.00M,,81.00M,-81.00M,-153.00M,-81.00M,580.00M,191.00M,,,,416.00M,491.62M,661.00M,,2011-03,0.91,0.06,0.97,,2011-03,,1.151,0.97,,2011-03,423.00M,425.00M,0.16,,2011-03,AOR,Restated
2010-12,3.009B,3.009B,1.003B,2.006B,,,164.00M,,,,-55.00M,92.00M,-69.00M,,70.00M,1.71B,525.00M,1.481B,,-69.00M,70.00M,-812.00M,70.00M,668.00M,190.00M,,,,562.00M,1.128B,599.00M,,2010-12,1.11,0.22,1.33,,2010-12,,2.557,1.32,,2010-12,449.00M,449.00M,0.16,,2010-12,AOR,Restated
2010-09,2.144B,2.144B,751.00M,1.393B,,,131.00M,,,,-54.00M,95.00M,139.00M,,-139.00M,21.00M,710.00M,683.00M,,139.00M,-139.00M,134.00M,-139.00M,699.00M,270.00M,,,,2.09B,333.87M,838.00M,,2010-09,0.99,3.82,4.81,,2010-09,,0.7593,4.79,,2010-09,430.00M,431.00M,0.16,,2010-09,AOR,Restated
2010-06,2.187B,2.187B,722.00M,1.465B,,,130.00M,,,,30.00M,92.00M,192.00M,,-192.00M,24.00M,735.00M,730.00M,,192.00M,-192.00M,75.00M,-192.00M,613.00M,261.00M,,,,706.00M,303.25M,805.00M,,2010-06,0.79,0.80,1.59,,2010-06,,0.6795,1.58,,2010-06,440.00M,441.00M,0.16,,2010-06,AOR,Restated
2010-03,2.60B,2.60B,811.00M,1.789B,,,138.00M,,,,4.00M,101.00M,71.00M,,-71.00M,26.00M,754.00M,1.035B,,71.00M,-71.00M,624.00M,-71.00M,1.588B,514.00M,,,,1.192B,651.97M,1.659B,,2010-03,2.40,0.27,2.67,,2010-03,,1.437,2.66,,2010-03,441.00M,443.00M,0.16,,2010-03,AOR,Restated
2009-12,2.061B,2.061B,731.00M,1.33B,,,176.00M,,,,-126.00M,65.00M,-20.00M,,28.00M,23.00M,750.00M,580.00M,,-20.00M,28.00M,167.00M,28.00M,866.00M,309.00M,,,,667.00M,638.04M,846.00M,,2009-12,1.26,0.25,1.51,,2009-12,,1.437,1.51,,2009-12,459.00M,459.00M,0.16,,2009-12,AOR,Restated
2009-09,1.848B,1.848B,657.00M,1.191B,,,136.00M,,,,97.00M,81.00M,90.00M,,-90.00M,22.00M,727.00M,464.00M,,90.00M,-90.00M,97.00M,-90.00M,471.00M,89.00M,,,,499.00M,303.33M,561.00M,,2009-09,0.86,0.27,1.13,,2009-09,,0.6816,1.12,,2009-09,439.00M,441.00M,0.16,,2009-09,AOR,Restated
2009-06,1.822B,1.822B,640.00M,1.182B,,,173.00M,,,,-14.00M,79.00M,90.00M,,-90.00M,23.00M,779.00M,403.00M,,90.00M,-90.00M,-14.00M,-90.00M,299.00M,109.00M,,,,314.00M,198.90M,389.00M,,2009-06,0.43,0.28,0.71,,2009-06,,0.4402,0.70,,2009-06,439.00M,441.00M,0.16,,2009-06,AOR,Restated
2009-03,1.746B,1.90B,664.00M,1.236B,,,163.00M,,,,-23.00M,89.00M,83.00M,,-83.00M,6.41B,7.292B,-6.056B,,83.00M,-83.00M,-23.00M,-83.00M,-6.162B,-2.28B,,,,-3.959B,-3.868B,-6.079B,,2009-03,-8.74,-0.18,-8.92,,2009-03,,-8.707,-8.92,,2009-03,439.00M,439.00M,0.16,,2009-03,AOR,Restated
2008-12,1.511B,1.357B,479.00M,878.00M,,,171.00M,,,,-179.00M,14.00M,68.00M,,-14.00M,9.811B,10.73B,-9.855B,,68.00M,-14.00M,-179.00M,-14.00M,-10.05B,-3.255B,,,0.00,-6.816B,-6.672B,-9.98B,,2008-12,-15.31,-0.04,-15.35,,2008-12,,-15.03,-15.35,,2008-12,436.00M,436.00M,0.16,,2008-12,,Restated
2008-09,5.978B,5.978B,1.043B,4.935B,,,146.00M,,,,37.00M,152.00M,69.00M,,-69.00M,22.00M,1.168B,3.767B,,69.00M,-69.00M,37.00M,-69.00M,3.735B,1.226B,,,,2.618B,2.484B,3.804B,,2008-09,5.68,0.25,5.93,,2008-09,,5.584,5.88,,2008-09,438.00M,441.00M,0.16,,2008-09,,Restated
2008-06,3.548B,3.548B,1.052B,2.496B,,,180.00M,,,,57.00M,176.00M,90.00M,,-90.00M,22.00M,1.202B,1.294B,,90.00M,-90.00M,57.00M,-90.00M,1.261B,667.00M,,,3.00M,1.301B,556.95M,1.351B,,2008-06,1.33,1.58,2.91,,2008-06,,1.227,2.88,,2008-06,442.00M,446.00M,0.16,,2008-06,,Restated
2008-03,2.975B,2.975B,888.00M,2.087B,,,148.00M,,,,-39.00M,134.00M,,,,-950.00M,126.00M,1.961B,,,,-39.00M,,892.00M,241.00M,,,2.00M,749.00M,679.46M,1.961B,,2008-03,1.46,0.22,1.68,,2008-03,,1.503,1.66,,2008-03,445.00M,449.00M,0.16,,2008-03,,
2007-12,3.197B,3.197B,1.729B,1.468B,,,-781.00M,,,,-176.00M,85.00M,,,,,79.00M,1.389B,,,,-176.00M,,1.271B,167.00M,,,3.00M,1.316B,1.257B,1.389B,,2007-12,2.48,0.47,2.95,,2007-12,,2.790,2.93,,2007-12,445.00M,450.00M,0.14,,2007-12,,
2007-09,2.763B,2.763B,457.00M,2.306B,,,424.00M,,,,28.00M,85.00M,,,,,1.265B,1.041B,,,,28.00M,,961.00M,317.00M,,,2.00M,735.00M,625.24M,1.041B,,2007-09,1.45,0.20,1.65,,2007-09,,1.388,1.63,,2007-09,445.00M,450.00M,0.14,,2007-09,,
2007-06,2.929B,2.929B,780.00M,2.149B,,,113.00M,,,,-27.00M,90.00M,,,,,897.00M,1.252B,,,,-27.00M,,1.154B,330.00M,,,3.00M,904.00M,843.28M,1.252B,,2007-06,1.84,0.18,2.02,,2007-06,,1.863,2.00,,2007-06,446.00M,450.00M,0.14,,2007-06,,
2007-03,2.473B,2.473B,700.00M,1.773B,,,119.00M,,,,-11.00M,80.00M,,,,-1.016B,-184.00M,1.957B,,,,-11.00M,,838.00M,264.00M,,,2.00M,651.00M,581.53M,1.957B,,2007-03,1.29,0.17,1.46,,2007-03,,1.287,1.44,,2007-03,444.00M,450.00M,0.14,,2007-03,,
2006-12,2.418B,2.418B,1.625B,793.00M,,,-963.00M,,,,-415.00M,80.00M,,,,,-259.00M,1.052B,,,,-415.00M,,714.00M,212.00M,,,3.00M,-1.55B,793.78M,1.052B,,2006-12,1.13,0.18,1.31,,2006-12,,1.757,1.29,,2006-12,445.00M,451.00M,0.1125,,2006-12,,
2006-09,2.499B,2.499B,363.00M,2.136B,,,459.00M,,,,28.00M,92.00M,,,,,1.141B,995.00M,,,,28.00M,,911.00M,258.00M,,,2.00M,705.00M,632.93M,995.00M,,2006-09,1.47,0.12,1.59,,2006-09,,1.405,1.57,,2006-09,441.00M,447.00M,0.1125,,2006-09,,
2006-06,2.35B,2.35B,627.00M,1.723B,,,90.00M,,,,-88.00M,86.00M,,,,,709.00M,1.014B,,,,-88.00M,,865.00M,102.00M,,,3.00M,859.00M,840.62M,1.014B,,2006-06,1.73,0.21,1.94,,2006-06,,1.884,1.92,,2006-06,440.00M,446.00M,0.1125,,2006-06,,
2006-03,2.50B,2.50B,669.00M,1.831B,,,90.00M,,,,-3.00M,83.00M,,,,,657.00M,1.174B,,,,-3.00M,,1.08B,364.00M,,,2.00M,700.00M,717.99M,1.174B,,2006-03,1.61,-0.03,1.58,,2006-03,,1.594,1.56,,2006-03,442.00M,449.00M,0.1125,,2006-03,,
2005-12,2.504B,2.504B,1.581B,923.00M,,,-836.00M,,,,-139.00M,101.00M,,,,,-458.00M,1.381B,,,,-139.00M,,1.316B,379.00M,,,3.00M,970.00M,1.036B,1.381B,,2005-12,2.09,0.07,2.16,,2005-12,,2.252,2.11,,2005-12,443.00M,467.00M,0.075,,2005-12,,
2005-09,2.704B,2.704B,319.00M,2.385B,,,364.00M,,,,-104.00M,81.00M,,,,,978.00M,1.407B,,,,-104.00M,,1.139B,395.00M,,,2.00M,744.00M,811.93M,1.407B,,2005-09,1.66,0.00,1.66,,2005-09,,1.780,1.63,,2005-09,446.00M,454.00M,0.075,,2005-09,,
2005-06,2.468B,2.468B,634.00M,1.834B,,,78.00M,,,,-1.00M,75.00M,,,,,688.00M,1.146B,,,,-1.00M,,1.01B,357.00M,,,3.00M,653.00M,653.65M,1.146B,,2005-06,1.40,0.00,1.40,,2005-06,,1.381,1.38,,2005-06,464.00M,471.00M,0.075,,2005-06,,
2005-03,2.351B,2.351B,679.00M,1.672B,,,58.00M,,,,62.00M,78.00M,,,,,715.00M,957.00M,,,,62.00M,,913.00M,350.00M,,,2.00M,563.00M,524.77M,957.00M,,2005-03,1.17,0.00,1.17,,2005-03,,1.063,1.14,,2005-03,480.00M,496.00M,0.075,,2005-03,,
2004-12,2.362B,2.362B,1.659B,703.00M,,,-910.00M,,,,-75.00M,73.00M,,,,,-308.00M,1.011B,,,,-75.00M,,911.00M,243.00M,,,3.00M,673.00M,722.99M,1.011B,,2004-12,1.37,0.01,1.38,,2004-12,,1.440,1.34,,2004-12,482.00M,502.00M,0.05,,2004-12,,
2004-09,2.267B,2.267B,323.00M,1.944B,,,389.00M,,,,-9.00M,48.00M,,,,,1.009B,935.00M,,,,-9.00M,,817.00M,300.00M,,,2.00M,517.00M,522.70M,935.00M,,2004-09,1.06,0.00,1.06,,2004-09,,1.041,1.03,,2004-09,485.00M,500.00M,0.05,,2004-09,,
2004-06,2.219B,2.219B,306.00M,1.913B,,,379.00M,,,,-5.00M,71.00M,,,,,1.002B,911.00M,,,,-5.00M,,772.00M,270.00M,,,3.00M,502.00M,505.25M,911.00M,,2004-06,1.04,0.00,1.04,,2004-06,,1.017,1.01,,2004-06,482.00M,498.00M,0.05,,2004-06,,
2004-03,2.238B,2.238B,310.00M,1.928B,,,409.00M,,,,9.00M,62.00M,,,,,1.043B,885.00M,,,,9.00M,,776.00M,282.00M,,,2.00M,494.00M,488.27M,885.00M,,2004-03,1.03,0.00,1.03,,2004-03,,0.9884,1.00,,2004-03,478.00M,493.00M,0.05,,2004-03,,
