,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2014-12,3.051B,35.37B,29.56B,64.92B,,1.569B,1.569B,67.56B,,,,,,,444.30M,533.20M,533.20M,31.64B,267.00M,,31.37B,33.73B,71.95B,109.95B,,,,,,,,1.818B,5.074B,5.074B,90.76B,95.83B,101.50B,,797.10M,7.625B,1.051B,704.80M,388.50M,,,-319.70M,8.449B,,AOR,Restated
2014-09,2.919B,39.58B,28.11B,67.69B,,1.539B,1.539B,70.24B,,,,,,,436.60M,538.10M,538.10M,30.72B,269.40M,,30.45B,32.31B,69.02B,111.15B,,,,,,,,1.653B,5.131B,5.131B,91.72B,96.85B,102.61B,,797.10M,7.469B,1.056B,561.00M,388.50M,,,-218.40M,8.543B,,AOR,Restated
2014-06,3.945B,34.34B,29.69B,64.03B,,1.596B,1.596B,66.21B,,,,,,,441.90M,544.60M,544.60M,30.70B,275.20M,,30.42B,33.96B,69.24B,105.76B,,,,,,,,1.888B,3.579B,3.579B,88.86B,92.44B,97.72B,,408.60M,7.344B,1.039B,544.20M,,,,-205.20M,8.043B,,AOR,Restated
2014-03,3.676B,33.04B,29.54B,62.58B,,1.845B,1.845B,64.94B,,,,,,,449.40M,541.60M,541.60M,29.66B,279.20M,,29.38B,33.75B,68.43B,103.83B,,,,,,,,1.750B,4.658B,4.658B,86.27B,90.93B,95.88B,,408.60M,7.241B,1.023B,488.50M,,,,-236.10M,7.948B,,AOR,Restated
2013-12,3.162B,35.47B,28.39B,63.86B,,1.355B,1.355B,65.75B,,,,,,,458.80M,540.70M,540.70M,29.39B,278.10M,,29.11B,30.72B,65.59B,102.95B,,,,,,,,1.882B,5.542B,5.542B,84.10B,89.64B,95.04B,,408.60M,7.135B,1.036B,422.80M,,,,-244.30M,7.912B,,AOR,Restated
2013-09,2.691B,28.53B,27.50B,56.03B,,1.630B,1.630B,58.19B,,,,,,,444.30M,537.70M,537.70M,29.06B,287.20M,,28.78B,30.56B,65.28B,95.97B,,,,,,,,1.523B,5.072B,5.072B,78.16B,83.23B,88.15B,,408.60M,7.040B,1.032B,325.50M,,,,-337.90M,7.817B,,AOR,Restated
2013-06,4.631B,29.24B,27.48B,56.71B,,1.486B,1.486B,58.73B,,,,,,,454.50M,530.40M,530.40M,28.81B,290.40M,,28.52B,30.25B,65.98B,97.24B,,,,,,,,3.061B,5.606B,5.606B,76.53B,82.14B,89.51B,,408.60M,6.909B,1.014B,256.80M,,,,-350.70M,7.725B,,AOR,Restated
2013-03,3.774B,28.30B,27.17B,55.47B,,816.50M,816.50M,56.54B,,,,,,,457.20M,529.50M,529.50M,28.86B,294.10M,,28.57B,30.11B,63.79B,93.16B,,,,,,,,1.811B,5.313B,5.313B,75.82B,81.13B,85.54B,,408.60M,6.794B,995.20M,301.40M,,,,-284.10M,7.612B,,AOR,Restated
2012-12,3.753B,30.18B,28.64B,58.82B,,2.049B,2.049B,60.93B,,,,,,,469.90M,537.80M,537.80M,29.50B,297.90M,,29.21B,31.03B,65.18B,97.46B,,,,,,,,1.48B,4.472B,4.472B,81.41B,85.88B,89.94B,,408.60M,6.703B,1.013B,314.00M,,,,-283.00M,7.527B,,AOR,Restated
2012-09,,28.98B,,28.98B,,,1.078B,30.63B,,,,,,,453.70M,538.00M,538.00M,29.54B,298.60M,,29.24B,29.19B,63.01B,93.63B,,,,,,,,956.30M,4.758B,4.758B,76.93B,81.69B,86.10B,,408.60M,6.608B,1.005B,273.20M,,,,-215.90M,7.532B,,AOR,Restated
2012-06,,30.47B,,30.47B,724.80M,,724.80M,31.22B,,,,,,,462.00M,533.20M,533.20M,29.60B,300.30M,,29.30B,29.19B,63.24B,94.46B,,,,,,,,2.275B,5.034B,5.034B,77.00B,82.03B,87.07B,,408.60M,6.502B,995.30M,241.70M,,,,-274.10M,7.390B,,AOR,Restated
2012-03,,25.38B,,25.38B,,,985.30M,26.66B,,,,,,,481.20M,536.50M,536.50M,29.16B,295.50M,,28.86B,31.63B,64.95B,91.60B,,,,,1.103B,1.103B,1.103B,3.361B,4.185B,4.185B,73.93B,78.12B,84.38B,,408.60M,6.324B,981.90M,214.50M,,,,-276.30M,7.223B,,AOR,Restated
2011-12,4.315B,34.46B,30.19B,64.65B,,778.30M,778.30M,65.55B,,,,,,,494.50M,532.00M,532.00M,29.06B,294.80M,,28.77B,31.00B,64.86B,100.22B,,,,,,,,2.014B,5.468B,5.468B,82.68B,88.15B,93.11B,,408.60M,6.302B,977.50M,225.50M,,,,-345.60M,7.117B,,AOR,Restated
2011-09,,29.78B,,29.78B,,,948.20M,30.95B,,,,,,,492.10M,534.10M,534.10M,28.69B,298.30M,,28.39B,29.27B,65.15B,96.10B,,,,,,,,1.077B,5.365B,5.365B,78.51B,83.88B,88.95B,,408.60M,6.240B,962.90M,226.50M,,,,-232.50M,7.153B,,AOR,Restated
2011-06,,36.89B,,36.89B,,,1.578B,38.51B,,,,,,,495.70M,434.90M,434.90M,28.57B,311.30M,,28.25B,25.03B,58.89B,97.40B,,,,,,,,2.583B,6.880B,6.880B,77.50B,84.38B,90.37B,,408.60M,6.138B,948.90M,227.10M,,,,-243.30M,7.025B,,AOR,Restated
2011-03,,35.56B,,35.56B,,,1.304B,36.96B,,,,,,,494.70M,405.80M,405.80M,27.89B,313.50M,,27.57B,22.79B,55.72B,92.68B,,,,,2.135B,2.135B,2.135B,7.298B,4.706B,4.706B,71.08B,75.78B,85.75B,,408.60M,6.054B,932.80M,188.10M,,,,-279.60M,6.928B,,AOR,Restated
2010-12,,29.09B,,29.09B,,,701.30M,29.96B,,,,,504.50M,,504.50M,400.90M,400.90M,28.13B,319.60M,,27.81B,20.83B,53.89B,83.84B,,,,,347.70M,347.70M,347.70M,4.994B,4.902B,4.902B,64.20B,69.10B,77.01B,,408.60M,5.972B,920.00M,165.10M,,,,-305.30M,6.830B,,AOR,Restated
2010-09,,25.93B,,25.93B,,,704.20M,27.06B,,,,,,,532.40M,399.70M,399.70M,27.87B,324.70M,,27.54B,20.73B,53.66B,80.72B,,,,,,,,5.510B,6.621B,6.621B,58.45B,65.07B,73.95B,,408.60M,5.884B,911.70M,169.30M,,,,-266.10M,6.769B,,AOR,Restated
2010-06,,26.59B,,26.59B,,,861.70M,27.71B,,,,,,,529.50M,393.00M,393.00M,28.40B,326.70M,,28.08B,19.82B,52.34B,80.05B,,,,,2.003B,2.003B,2.003B,7.077B,5.005B,5.005B,57.95B,62.96B,73.43B,,408.60M,5.797B,905.20M,175.50M,,,,-315.30M,6.620B,,AOR,Restated
2010-03,,25.48B,,25.48B,,,970.60M,26.60B,,,,,,,540.50M,394.00M,394.00M,27.96B,320.50M,,27.64B,17.88B,49.71B,76.32B,,,,,1.043B,1.043B,1.043B,5.455B,4.397B,4.397B,57.44B,61.83B,69.87B,,408.60M,5.665B,895.20M,189.20M,,,,-332.50M,6.447B,,AOR,Restated
2009-12,,30.37B,,30.37B,,,794.80M,31.41B,40.90M,169.10M,173.40M,160.10M,543.50M,,543.50M,401.60M,401.60M,27.81B,309.20M,,27.50B,18.63B,50.73B,82.14B,,,,,2.078B,2.078B,2.078B,9.766B,4.666B,4.666B,58.28B,62.95B,75.83B,,408.60M,5.576B,888.30M,199.20M,,,,-361.60M,6.312B,,AOR,Restated
2009-09,,26.97B,,26.97B,,,787.10M,27.81B,,,,,,,542.70M,401.40M,401.40M,28.12B,307.80M,,27.82B,17.46B,50.09B,77.90B,,,,,914.30M,914.30M,914.30M,8.335B,4.741B,4.741B,55.32B,60.07B,71.68B,,408.60M,5.443B,893.90M,209.40M,,,,-313.10M,6.223B,,AOR,Restated
2009-06,,21.57B,,21.57B,,,1.163B,23.81B,,,,,,,548.10M,405.30M,405.30M,29.03B,297.30M,,28.73B,17.51B,51.24B,75.05B,,,,,1.355B,1.355B,1.355B,7.084B,4.964B,4.964B,53.58B,58.54B,68.92B,,408.60M,5.324B,965.20M,215.20M,,,,-353.40M,6.129B,,AOR,Restated
2009-03,,20.44B,,20.44B,,,702.30M,21.59B,,,,,,,535.20M,387.40M,387.40M,30.41B,286.20M,,30.12B,17.81B,56.87B,78.46B,,,,,2.203B,2.203B,2.203B,10.96B,4.470B,4.470B,53.34B,57.81B,71.94B,,1.884B,5.167B,163.00M,243.20M,1.505B,,,-446.10M,6.525B,,AOR,Restated
2008-12,,28.77B,,28.77B,,,709.30M,29.65B,40.30M,129.50M,181.10M,155.70M,506.60M,,506.60M,389.40M,389.40M,30.76B,229.10M,,30.53B,15.57B,52.40B,82.05B,,,,,736.70M,736.70M,736.70M,4.049B,4.623B,4.623B,62.41B,67.03B,75.66B,,1.881B,5.091B,178.50M,266.50M,1.501B,,,-494.90M,6.389B,,,Restated
2008-09,,28.98B,,28.98B,,,857.00M,30.71B,,,,,,,492.90M,,410.00M,30.41B,194.70M,-541.70M,29.68B,13.36B,48.53B,79.24B,,,,,,,,2.513B,4.854B,4.854B,62.44B,67.29B,74.41B,,379.80M,4.821B,105.90M,280.60M,,19.50M,-209.70M,-190.20M,4.836B,,,Restated
2008-06,,26.54B,,26.54B,,,935.40M,30.39B,,,,,,,493.00M,,425.40M,29.25B,,-571.40M,28.68B,11.74B,44.41B,74.81B,,,,,,,,2.271B,4.304B,4.304B,60.27B,64.58B,69.84B,,379.80M,5.032B,94.20M,393.70M,,,,-148.40M,4.964B,,,Restated
2008-03,,29.01B,,29.01B,,,552.70M,35.04B,,,,,,,492.80M,,424.90M,27.30B,165.40M,-543.40M,26.60B,11.25B,42.44B,77.48B,,,,,2.127B,2.127B,2.127B,6.529B,3.618B,3.618B,58.39B,62.01B,72.72B,,379.80M,4.879B,81.40M,445.20M,,34.40M,-171.20M,-136.80M,4.758B,,,Restated
2007-12,,25.20B,,25.20B,,,563.10M,29.56B,,,,,,,491.90M,,425.80M,25.90B,148.10M,-559.60M,25.19B,8.888B,38.05B,67.61B,,,,,2.108B,2.108B,2.108B,5.338B,3.613B,3.613B,51.21B,54.83B,63.10B,,379.80M,4.556B,69.10M,405.70M,,21.20M,-111.50M,-90.30M,4.509B,,,
2007-09,,20.72B,,20.72B,,,338.70M,22.47B,,,,,,,478.70M,,,25.47B,143.20M,-560.40M,24.76B,11.80B,40.62B,63.10B,,,,,1.904B,1.904B,1.904B,4.448B,3.207B,3.207B,47.67B,50.88B,58.74B,,379.80M,4.494B,54.10M,415.60M,,12.00M,-164.50M,-152.50M,4.359B,,,
2007-06,,18.24B,,18.24B,,,515.50M,19.63B,,,,,,,486.10M,,,24.59B,139.30M,-549.40M,23.91B,12.61B,39.98B,59.61B,,,,,,,,2.742B,4.255B,4.255B,45.86B,50.12B,55.38B,,379.80M,4.341B,47.30M,393.80M,,15.60M,-162.40M,-146.80M,4.227B,,,
2007-03,,19.19B,,19.19B,,,281.00M,22.39B,,,,,,,483.00M,,,22.22B,138.30M,-565.80M,21.52B,12.56B,37.14B,59.53B,,,,,402.10M,402.10M,402.10M,2.386B,3.405B,3.405B,47.02B,50.42B,55.49B,,379.80M,4.190B,43.10M,415.40M,,,,-154.50M,4.043B,,,
2006-12,,20.45B,,20.45B,,,339.30M,22.09B,,,,,,,487.20M,,,23.12B,140.40M,-507.90M,22.47B,12.37B,38.62B,60.71B,,,,,2.976B,2.976B,2.976B,7.749B,3.030B,3.030B,43.82B,46.85B,56.77B,,379.80M,4.131B,30.90M,449.40M,,,,-148.60M,3.944B,,,
2006-09,,17.44B,,17.44B,,,250.70M,18.73B,,,,,,,471.60M,,,21.76B,139.40M,-494.30M,21.13B,12.12B,36.47B,55.20B,,,,,,,,2.693B,7.418B,7.418B,38.68B,46.09B,51.26B,,379.80M,4.016B,33.70M,483.30M,,,,-10.50M,3.936B,,,
2006-06,,16.40B,,16.40B,,,255.20M,18.33B,,,,,,,463.20M,,,21.77B,133.50M,-472.60M,21.16B,10.52B,34.99B,53.33B,,,,,,,,2.843B,6.036B,6.036B,38.68B,44.72B,49.52B,,379.80M,3.903B,32.30M,483.30M,,,,-23.20M,3.808B,,,
2006-03,,14.72B,,14.72B,,,291.50M,15.93B,,,,,,,461.40M,,,20.50B,129.30M,-462.70M,19.91B,11.12B,34.27B,50.20B,,,,,145.50M,145.50M,145.50M,4.899B,4.575B,4.575B,34.61B,39.18B,46.49B,,379.80M,3.785B,31.60M,466.00M,,,,-27.00M,3.703B,,,
2005-12,,14.19B,,14.19B,,,317.00M,19.35B,,,,,,,471.50M,,,20.42B,125.40M,-451.10M,19.84B,11.11B,34.06B,53.41B,,,,,144.60M,144.60M,144.60M,2.852B,6.015B,6.015B,38.52B,44.53B,49.81B,,379.80M,3.672B,,458.40M,,,,7.30M,3.601B,,,
2005-09,,13.37B,,13.37B,,,284.20M,14.66B,,,,,,,475.10M,,,19.31B,126.40M,,19.19B,10.49B,33.77B,48.43B,,,,,135.00M,135.00M,135.00M,2.919B,4.884B,4.884B,33.50B,38.38B,44.90B,,379.80M,3.574B,,447.30M,,,,22.10M,3.529B,,,
2005-06,,11.96B,,11.96B,,,165.00M,14.72B,,,,,,,476.50M,,,20.43B,129.90M,-465.70M,19.84B,8.332B,31.53B,46.26B,,,,,145.60M,145.60M,145.60M,2.700B,4.590B,4.590B,33.06B,37.65B,42.81B,,379.80M,3.482B,,438.40M,,,,22.40M,3.446B,,,
2005-03,,14.69B,,14.69B,,,268.50M,17.02B,,,,,,,480.70M,,,19.42B,131.10M,-480.40M,18.81B,8.821B,30.74B,47.76B,,,,,140.30M,140.30M,140.30M,2.932B,4.322B,4.322B,35.10B,39.42B,44.40B,,379.80M,3.389B,,426.00M,,,,18.40M,3.361B,,,
2004-12,,13.88B,,13.88B,,,148.90M,15.37B,,,,,,,465.10M,,,18.43B,130.70M,-487.50M,17.81B,9.042B,29.91B,45.28B,,,,,145.40M,145.40M,145.40M,4.012B,4.517B,4.517B,31.06B,35.57B,41.98B,,379.80M,3.301B,,408.10M,,,,23.30M,3.296B,,,
2004-09,,13.42B,,13.42B,,,234.90M,14.41B,,,,,,,469.80M,,,18.18B,140.40M,-482.90M,17.56B,6.742B,26.70B,41.11B,,,,,145.40M,145.40M,145.40M,2.570B,5.049B,5.049B,28.62B,33.67B,37.88B,,379.80M,3.218B,,402.90M,,,,30.30M,3.226B,,,
2004-06,,13.23B,,13.23B,,,163.90M,14.74B,,,,,,,480.20M,,,18.00B,141.90M,-426.20M,17.43B,8.824B,28.53B,43.28B,,,,,145.60M,145.60M,145.60M,5.352B,5.156B,5.156B,27.88B,33.04B,40.10B,,379.80M,3.152B,,379.50M,,,,25.30M,3.178B,,,
2004-03,,11.02B,,11.02B,,,284.70M,12.13B,,,,,,,491.40M,,,17.50B,143.40M,-430.30M,16.93B,8.636B,28.05B,40.18B,,,,,145.00M,145.00M,145.00M,3.212B,3.583B,3.583B,28.45B,32.03B,37.06B,,379.80M,3.069B,,356.90M,,,,26.40M,3.118B,,,
2003-12,,10.41B,,10.41B,,,170.60M,11.33B,,,,,,,498.30M,,,18.25B,149.20M,-435.70M,17.66B,9.471B,30.11B,41.45B,,,,,142.30M,142.30M,142.30M,4.600B,5.168B,5.168B,26.27B,31.44B,38.39B,,379.80M,2.991B,,368.50M,,,,53.30M,3.055B,,,
2003-09,,9.775B,,9.775B,,,318.30M,10.93B,,,,,,,503.90M,,,18.48B,164.90M,-400.10M,17.92B,9.102B,29.80B,40.74B,,,,,146.90M,146.90M,146.90M,5.504B,4.654B,4.654B,25.65B,30.31B,37.74B,,379.80M,2.912B,,358.60M,,,,67.30M,3.000B,,,
2003-06,,10.44B,,10.44B,,,176.00M,11.08B,,,,,,,508.90M,,,18.36B,165.20M,-400.20M,17.79B,7.800B,27.99B,39.07B,,,,,145.40M,145.40M,145.40M,4.546B,4.74B,4.74B,25.30B,30.04B,36.12B,,379.80M,2.843B,,342.50M,,,,65.40M,2.946B,,,
2003-03,,7.896B,,7.896B,,,127.90M,8.901B,,,,,,,521.60M,,,18.40B,153.30M,-423.60M,17.82B,7.554B,27.55B,36.45B,,,,,131.80M,131.80M,131.80M,3.479B,4.127B,4.127B,24.48B,28.61B,33.42B,,499.80M,2.825B,,360.50M,120.00M,,,61.70M,3.026B,,,
2002-12,,11.04B,,11.04B,,,608.50M,12.61B,,,,,,,515.00M,,,18.46B,161.10M,-398.70M,17.90B,6.594B,26.84B,39.48B,,,,,1.708B,1.708B,1.708B,3.380B,5.225B,5.225B,26.06B,31.29B,36.48B,,499.80M,2.775B,,360.40M,120.00M,,,85.10M,3.000B,,,
2002-09,,9.292B,,9.292B,,,762.50M,11.59B,,,,,,,506.80M,,,18.49B,160.30M,-406.20M,17.92B,8.139B,28.08B,39.67B,,,,,1.344B,1.344B,1.344B,4.507B,6.326B,6.326B,24.37B,30.70B,36.73B,,499.80M,2.721B,,359.30M,120.00M,,,83.60M,2.945B,,,
2002-06,,9.569B,,9.569B,,,771.60M,10.87B,,,,,,,497.30M,,,18.83B,160.30M,-399.90M,18.27B,6.506B,26.91B,37.80B,,,,,1.602B,1.602B,1.602B,4.828B,5.462B,5.462B,22.92B,28.39B,34.89B,,499.80M,2.673B,,334.90M,120.00M,,,75.50M,2.913B,,,
