,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,381.60M,,0.20M,-71.90M,-71.70M,27.80M,88.10M,115.90M,115.90M,,35.60M,,,-242.40M,-79.70M,5.70M,,-619.80M,-693.80M,-477.80M,,-85.80M,,-6.00M,-79.80M,,-1.514B,283.60M,11.16B,,-1.70M,997.70M,996.00M,,-263.20M,-263.20M,,,,-95.00M,-5.90M,-100.90M,19.10M,,-9.167B,,4.518B,1.511B,52.10M,6.081B,,,,-1.70M,-263.20M,29.70M,116.00M,,AOR,Restated
2017-12,356.60M,,0.50M,-3.00M,-2.50M,27.40M,83.10M,110.50M,110.50M,,16.40M,,,461.20M,52.00M,-5.80M,,-48.60M,-78.50M,850.70M,,-120.90M,,-27.90M,-93.00M,-188.50M,-2.211B,-410.00M,-8.056B,,-201.70M,1.30M,-200.40M,,-170.60M,-170.60M,,,,-95.60M,-17.40M,-113.00M,24.90M,0.00,6.436B,,5.263B,-769.10M,24.30M,4.518B,,,0.00,-201.70M,-170.60M,92.30M,113.60M,,AOR,Restated
2017-09,298.40M,,0.40M,0.00,0.40M,26.80M,78.00M,104.80M,104.80M,,35.60M,,,122.60M,-63.70M,8.20M,,57.80M,2.30M,557.10M,,-132.50M,,-23.60M,-108.90M,0.00,-1.061B,223.40M,-5.668B,,-1.70M,2.027B,2.025B,,-124.80M,-124.80M,,,,-87.00M,-5.80M,-92.80M,12.80M,0.00,4.632B,,5.695B,-478.10M,46.20M,5.263B,,,0.00,-1.70M,-124.80M,36.70M,91.20M,,AOR,Restated
2017-06,267.90M,,0.40M,0.00,0.40M,23.70M,81.40M,105.10M,105.10M,,34.10M,,,-713.70M,-65.80M,2.40M,,-95.50M,-158.90M,-472.10M,,-125.20M,,-25.80M,-99.40M,0.00,795.80M,-86.80M,-1.324B,,348.50M,-29.60M,318.90M,,-157.60M,-157.60M,,,,-87.30M,-20.70M,-108.00M,33.10M,0.10M,2.892B,,4.649B,1.095B,-49.50M,5.695B,,,350.00M,-1.50M,-157.60M,268.70M,73.20M,,AOR,Restated
2017-03,276.10M,,0.30M,-11.50M,-11.20M,23.30M,78.00M,101.30M,101.30M,,18.90M,,,-172.20M,-5.60M,5.90M,,572.50M,572.80M,784.70M,,-94.20M,,-14.30M,-79.90M,,769.10M,-293.40M,1.026B,,-3.80M,-1.031B,-1.034B,,-70.10M,-70.10M,,,,-86.90M,-5.90M,-92.80M,37.20M,,-2.708B,,5.332B,-896.40M,213.60M,4.649B,,,,-3.80M,-70.10M,43.50M,50.80M,,AOR,Restated
2016-12,266.50M,,1.30M,-3.70M,-2.40M,22.40M,74.20M,96.60M,96.60M,,35.30M,,,669.10M,-177.70M,-0.80M,,149.70M,-204.60M,838.50M,,-165.00M,,-53.30M,-111.70M,0.00,-672.50M,201.60M,-4.939B,,-2.50M,1.115B,1.113B,,-65.00M,-65.00M,0.00,,0.00,-86.10M,-5.80M,-91.90M,171.80M,1.20M,4.715B,,4.893B,614.50M,-175.20M,5.332B,,0.00,0.00,-2.50M,-65.00M,157.30M,47.50M,,AOR,Restated
2016-09,257.60M,,-0.20M,0.00,-0.20M,22.00M,69.80M,91.80M,91.80M,,28.40M,,,104.70M,-39.00M,1.40M,,737.00M,699.40M,1.179B,,-122.60M,,-26.00M,-96.60M,0.00,-3.835B,816.30M,-322.30M,,-1.40M,-2.038B,-2.040B,,-65.00M,-65.00M,493.50M,,493.50M,-81.80M,-5.90M,-87.70M,35.30M,0.20M,-1.301B,,5.312B,-445.00M,25.60M,4.893B,,493.50M,0.00,-1.40M,-65.00M,183.50M,44.40M,,AOR,Restated
2016-06,263.00M,,2.40M,0.00,2.40M,22.40M,72.20M,94.60M,94.60M,,24.70M,,,222.70M,53.90M,-3.00M,,-867.00M,-816.10M,-211.70M,,-108.80M,,-20.00M,-88.80M,-16.90M,-2.033B,-241.20M,-5.593B,,-1.40M,2.023B,2.022B,,-140.80M,-140.80M,,,,-82.30M,-5.80M,-88.10M,21.40M,0.00,4.123B,,6.988B,-1.682B,5.20M,5.312B,,,0.00,-1.40M,-140.80M,198.40M,47.90M,,AOR,Restated
2016-03,245.40M,,-0.30M,-9.10M,-9.40M,22.40M,67.90M,90.30M,90.30M,,12.50M,,,-343.10M,-95.40M,2.30M,,-200.10M,-293.20M,-295.50M,,-77.00M,,-12.00M,-65.00M,,-1.43B,554.80M,662.50M,,-1.40M,-27.10M,-28.50M,,-140.30M,-140.30M,,,,-82.80M,-5.90M,-88.70M,5.30M,-8.90M,-0.20M,,6.418B,366.80M,203.10M,6.988B,,,,-1.40M,-140.30M,215.00M,41.80M,,AOR,Restated
2015-12,239.30M,,0.00,-4.60M,-4.60M,23.00M,66.50M,89.50M,89.50M,,10.30M,,,12.10M,203.90M,-2.30M,,967.10M,1.022B,1.351B,,-149.20M,,-43.20M,-106.00M,0.00,-902.70M,-635.10M,3.623B,,-1.50M,-33.30M,-34.80M,,-152.50M,-152.50M,,,,-83.60M,-5.80M,-89.40M,5.80M,0.40M,-3.035B,,4.445B,1.938B,34.90M,6.418B,,,,-1.50M,-152.50M,-136.90M,41.60M,,AOR,Restated
2015-09,234.60M,,0.00,0.00,0.00,20.70M,61.40M,82.10M,82.10M,,15.50M,,,-64.80M,14.40M,2.90M,,-1.318B,-1.301B,-1.043B,,-92.90M,,-12.70M,-80.20M,,1.710B,-305.90M,-2.855B,,-1.10M,800.90M,799.80M,,-140.50M,-140.50M,,,,-83.70M,-5.90M,-89.60M,12.40M,-138.30M,1.340B,,7.116B,-2.559B,-112.40M,4.445B,,,,-1.10M,-140.50M,302.80M,34.40M,,AOR,Restated
2015-06,269.20M,,0.40M,0.00,0.40M,23.60M,68.00M,91.60M,91.60M,,16.80M,,,-113.90M,-78.00M,-2.60M,,862.90M,782.30M,1.036B,,-97.50M,,-17.10M,-80.40M,0.00,-2.040B,379.00M,-10.47B,,1.70M,481.00M,482.70M,,-96.70M,-96.70M,,,,-77.10M,-5.80M,-82.90M,43.60M,-592.20M,12.42B,,4.075B,2.983B,87.80M,7.116B,,,,1.70M,-96.70M,183.60M,40.70M,,AOR,Restated
2015-03,230.70M,,-0.10M,-16.50M,-16.60M,23.10M,65.30M,88.40M,88.40M,,10.70M,,,-151.50M,50.30M,-6.20M,,289.50M,333.60M,490.80M,,-93.90M,,-25.50M,-68.40M,,-3.128B,-255.90M,2.806B,,-230.10M,1.064B,834.10M,,-107.20M,-107.20M,,,,-77.00M,-9.50M,-86.50M,32.20M,747.90M,-2.191B,,3.051B,1.105B,-81.20M,4.075B,,,,-230.10M,-107.20M,40.50M,44.90M,,AOR,Restated
2014-12,244.00M,,1.00M,-4.80M,-3.80M,22.60M,62.50M,85.10M,85.10M,,4.70M,,,-144.20M,34.00M,-1.60M,,-522.30M,-526.30M,-337.50M,,-123.30M,,-30.90M,-92.40M,,-1.617B,-158.40M,831.30M,,-1.30M,-197.70M,-199.00M,,-165.50M,-165.50M,0.00,,0.00,-77.50M,0.00,-77.50M,5.50M,-76.80M,-417.40M,,2.919B,76.40M,29.10M,3.021B,,0.00,,-1.30M,-165.50M,119.50M,40.10M,,AOR,Restated
2014-09,204.50M,,-0.30M,0.00,-0.30M,21.50M,59.70M,81.20M,81.20M,,12.90M,,,-108.90M,-98.40M,7.30M,,-364.80M,-455.90M,-266.50M,,-94.20M,,-18.60M,-75.60M,,1.365B,282.00M,-5.981B,,-36.30M,1.678B,1.642B,,-77.30M,-77.30M,388.50M,,388.50M,-75.50M,0.00,-75.50M,52.60M,-507.80M,5.276B,,3.945B,-971.70M,-54.60M,2.919B,,388.50M,,-36.30M,-77.30M,85.60M,38.00M,,AOR,Restated
2014-06,181.90M,,-0.40M,0.00,-0.40M,23.50M,62.40M,85.90M,85.90M,,14.20M,,,312.40M,395.40M,-10.10M,,22.20M,407.50M,1.002B,,-103.60M,,-18.90M,-84.70M,,-165.20M,-2.60M,-2.262B,,-601.30M,-640.40M,-1.242B,,-74.90M,-74.90M,,,,-74.90M,0.00,-74.90M,15.40M,279.80M,1.427B,,3.676B,165.90M,103.00M,3.945B,,,,-601.30M,-74.90M,59.00M,58.00M,,AOR,Restated
2014-03,181.40M,,4.00M,-13.90M,-9.90M,23.00M,60.50M,83.50M,83.50M,,3.00M,,,26.80M,-254.90M,-0.10M,,505.70M,250.70M,538.50M,,-88.40M,,-13.50M,-74.90M,,-3.005B,-502.50M,-822.10M,,-1.10M,-1.004B,-1.006B,,-163.00M,-163.00M,,,,-75.00M,0.00,-75.00M,54.00M,27.10M,788.10M,,3.162B,504.50M,9.40M,3.676B,,,,-1.10M,-163.00M,15.10M,50.40M,,AOR,Restated
2013-12,169.70M,32.60M,-0.40M,-4.30M,27.90M,22.80M,58.20M,81.00M,81.00M,,18.90M,,,77.20M,-209.80M,3.50M,,-361.60M,-501.30M,-121.60M,,-137.30M,-38.80M,-86.90M,-89.20M,,-46.00M,1.035B,-6.193B,,748.80M,-123.60M,625.20M,,-122.90M,-122.90M,0.00,,0.00,-74.30M,,-74.30M,12.10M,229.60M,6.814B,,2.691B,499.20M,-27.50M,3.162B,,0.00,,-1.20M,-122.90M,78.40M,46.90M,,AOR,Restated
2013-09,206.50M,-32.60M,2.20M,0.00,-30.40M,23.10M,58.10M,81.20M,81.20M,,6.30M,0.00,,169.90M,-122.40M,-2.50M,,1.929B,1.804B,2.243B,,-85.20M,38.80M,26.70M,-73.10M,,-143.70M,-1.043B,-2.201B,,-401.10M,-75.90M,-477.00M,,-97.30M,-97.30M,0.00,,0.00,-74.50M,,-74.50M,26.00M,-577.70M,-1.989B,,4.631B,-1.948B,7.60M,2.691B,,0.00,,-401.10M,-97.30M,92.30M,57.10M,,AOR,Restated
2013-06,191.10M,,-0.10M,0.00,-0.10M,24.00M,56.00M,80.00M,80.00M,,18.00M,0.00,,-151.30M,126.80M,6.60M,,-1.870B,-1.737B,-1.594B,,-90.10M,,-19.80M,-70.30M,,-286.60M,-454.00M,-1.728B,,-201.10M,401.00M,199.90M,,-15.30M,-15.30M,,,,-70.70M,,-70.70M,57.00M,626.90M,4.231B,,3.774B,909.10M,-51.70M,4.631B,,,,-201.10M,-15.30M,77.40M,48.50M,,AOR,Restated
2013-03,164.00M,,-0.20M,-16.40M,-16.60M,22.40M,53.90M,76.30M,76.30M,,1.50M,,,81.10M,-32.30M,-18.80M,,52.30M,1.20M,312.50M,,-72.30M,,-11.90M,-60.40M,,903.10M,1.262B,4.439B,,-201.00M,1.057B,856.30M,,-74.20M,-74.20M,,,,-1.10M,,-1.10M,51.10M,-52.10M,-4.668B,,3.753B,83.80M,-63.00M,3.774B,,,,-201.00M,-74.20M,14.50M,79.40M,,AOR,Restated
2012-12,167.70M,,0.00,-100.00M,-100.00M,22.10M,51.90M,74.00M,74.00M,,26.00M,,,-187.70M,12.20M,-11.20M,,-42.50M,38.20M,23.20M,,-135.20M,,-45.40M,-89.80M,,-1.969B,-1.094B,-3.705B,,-201.00M,-68.10M,-269.10M,,-62.50M,-62.50M,,,,-144.80M,,-144.80M,28.50M,-573.50M,3.979B,,3.397B,296.50M,59.50M,3.753B,,,0.00,-201.00M,-62.50M,24.10M,79.10M,,AOR,Restated
2012-09,178.80M,0.00,-0.20M,0.00,-0.20M,21.10M,49.30M,70.40M,70.40M,,-2.50M,,,-116.40M,-13.70M,2.70M,,122.80M,111.80M,251.90M,,-62.70M,0.00,-11.00M,-51.70M,,123.20M,-337.50M,724.00M,,254.10M,-520.90M,-266.80M,,-49.70M,-49.70M,,,,-73.40M,,-73.40M,26.10M,573.50M,-1.174B,,3.594B,-197.60M,0.00,3.397B,,,500.00M,-245.90M,-49.70M,98.30M,74.70M,,AOR,Restated
2012-06,179.60M,,-0.50M,0.00,-0.50M,22.70M,50.70M,73.40M,73.40M,,-15.60M,,,-86.60M,-4.50M,12.30M,,-381.40M,-373.60M,-218.30M,,-57.30M,,-7.00M,-50.30M,,2.473B,250.10M,-3.294B,,-125.90M,37.60M,-88.30M,,-35.80M,-35.80M,,,,-68.60M,,-68.60M,21.60M,,2.909B,,4.280B,-603.20M,-82.80M,3.594B,,,,-125.90M,-35.80M,61.30M,55.20M,,AOR,Restated
2012-03,161.20M,,2.40M,-12.30M,-9.90M,22.40M,49.20M,71.60M,71.60M,,-19.60M,,,407.30M,-17.40M,-13.80M,,173.20M,142.00M,757.60M,,-57.30M,,-9.90M,-47.40M,,-568.20M,-250.30M,7.903B,,-350.90M,115.90M,-235.00M,,-14.40M,-14.40M,,,,-67.50M,,-67.50M,30.60M,,-8.787B,,4.315B,-126.60M,91.60M,4.280B,,,,-350.90M,-14.40M,4.80M,98.40M,,AOR,Restated
2011-12,130.20M,,-0.20M,-100.00M,-101.10M,21.50M,47.00M,68.50M,68.50M,,-15.00M,,,219.00M,-399.70M,3.40M,,1.376B,1.077B,1.391B,,-96.20M,,-41.80M,-54.40M,0.00,-1.537B,146.70M,-6.472B,,-0.90M,108.20M,107.30M,,-1.30M,-1.30M,,,,-68.20M,,-68.20M,16.90M,,5.155B,,4.337B,74.60M,-95.90M,4.315B,,,0.00,-0.90M,-1.30M,29.70M,79.60M,,AOR,Restated
2011-09,170.40M,,2.00M,0.00,2.00M,21.40M,44.40M,65.80M,65.80M,,0.50M,,,315.10M,10.20M,12.40M,,-1.294B,-1.272B,-700.20M,,-177.20M,,-30.00M,-147.20M,-101.60M,-3.683B,150.50M,2.216B,,-62.10M,-1.453B,-1.516B,,-1.30M,-1.30M,,,,-68.40M,,-68.40M,16.10M,,-2.062B,,5.099B,-545.90M,-216.60M,4.337B,,,500.00M,-562.10M,-1.30M,123.60M,314.90M,,AOR,Restated
2011-06,152.00M,,16.60M,0.00,26.70M,24.10M,43.20M,67.30M,67.30M,,-10.70M,,,-51.80M,129.20M,1.00M,,175.60M,305.80M,490.30M,,-19.80M,,-16.20M,-3.60M,-71.00M,-2.281B,-301.00M,-3.126B,,-125.80M,1.098B,971.90M,,-40.20M,-40.20M,,,,-68.50M,,-68.50M,16.20M,0.50M,4.025B,,3.593B,1.389B,117.30M,5.099B,,,-16.10M,-109.70M,-40.20M,-11.30M,-124.50M,,AOR,Restated
2011-03,151.00M,,5.50M,-10.60M,-15.20M,22.20M,41.30M,63.50M,63.50M,,-9.00M,,,-9.00M,-34.90M,-11.80M,,-85.70M,-132.40M,72.90M,,-77.90M,,-8.90M,-69.00M,,-2.593B,89.60M,-8.006B,,-191.90M,878.00M,686.10M,,-36.20M,-36.20M,,,,-68.60M,,-68.60M,26.40M,-0.50M,8.685B,,2.818B,751.80M,23.00M,3.593B,,,16.10M,-208.00M,-36.20M,11.30M,124.50M,,AOR,Restated
2010-12,157.10M,,7.10M,-48.00M,-40.90M,23.20M,43.80M,67.00M,67.00M,,-14.60M,,,164.30M,25.20M,167.20M,,-706.60M,-514.20M,-129.20M,,-99.80M,,-31.90M,-67.90M,0.00,-714.10M,621.50M,-4.072B,,499.30M,-69.40M,429.90M,,0.10M,0.10M,,,,-68.60M,,-68.60M,13.50M,0.10M,3.461B,,3.490B,-740.20M,68.70M,2.818B,,,500.00M,-0.70M,0.10M,36.40M,98.60M,,AOR,Restated
2010-09,155.60M,,13.50M,0.00,13.50M,26.00M,37.80M,63.80M,63.80M,,-13.50M,,,-179.50M,-167.10M,-1.70M,,250.90M,82.10M,152.00M,,-75.30M,,-28.30M,-47.00M,0.00,-789.50M,-567.10M,-477.10M,,-592.80M,-42.70M,-635.50M,,-2.10M,-2.10M,,,,-69.10M,,-69.10M,44.00M,-355.70M,152.80M,,3.524B,-172.30M,137.60M,3.490B,,,42.70M,-635.50M,-2.10M,103.40M,98.20M,,AOR,Restated
2010-06,199.60M,,0.10M,0.00,0.10M,21.90M,37.60M,59.50M,59.50M,,-13.80M,,,-25.80M,51.00M,14.10M,,397.90M,463.00M,732.60M,,-55.60M,,-10.90M,-44.70M,0.00,-1.834B,-21.90M,-2.724B,,574.40M,-1.60M,572.80M,,-0.10M,-0.10M,,,,-67.80M,,-67.80M,9.10M,242.10M,2.897B,,2.652B,904.90M,-32.40M,3.524B,,,600.00M,-25.60M,-0.10M,-25.20M,71.20M,,AOR,Restated
2010-03,157.20M,,-0.30M,-20.00M,-20.30M,22.40M,36.80M,59.20M,59.20M,,-13.60M,,,150.40M,0.30M,-18.40M,,-320.00M,-338.10M,34.80M,,-80.40M,,-19.40M,-61.00M,,54.00M,582.20M,5.506B,,-256.50M,-459.60M,-716.10M,,-3.80M,-3.80M,,,,-67.70M,,-67.70M,4.00M,114.70M,-5.366B,,2.492B,174.90M,-15.00M,2.652B,,,,-256.50M,-3.80M,58.50M,102.30M,,AOR,Restated
2009-12,200.30M,,2.30M,-175.00M,-299.80M,25.30M,41.30M,66.60M,66.60M,187.70M,-12.70M,,3.90M,127.90M,1.60M,70.00M,-197.40M,134.10M,8.30M,322.20M,,-70.60M,,-26.00M,-44.60M,,-493.60M,-466.80M,-4.699B,,-50.60M,584.30M,533.70M,0.00,-2.10M,-2.10M,,0.00,0.00,-67.60M,0.00,-67.60M,4.30M,-783.10M,3.981B,,2.886B,-396.60M,2.50M,2.492B,,0.00,0.00,-50.60M,-2.10M,108.50M,81.50M,,AOR,Restated
2009-09,187.90M,,4.00M,0.00,134.10M,24.70M,38.10M,62.80M,62.80M,-3.90M,-20.80M,,-0.40M,-266.00M,-5.10M,-12.40M,2.40M,210.70M,195.60M,349.30M,,-60.90M,,-19.30M,-41.60M,,576.70M,-100.80M,-2.808B,,-232.80M,-382.50M,-615.30M,-0.40M,-87.60M,-88.00M,,0.00,0.00,-67.60M,0.00,-67.60M,3.70M,151.80M,2.762B,,2.531B,303.00M,51.60M,2.886B,,-0.40M,-424.50M,-232.80M,-87.60M,111.70M,107.30M,,AOR,Restated
2009-06,314.20M,,17.50M,0.00,-112.60M,24.20M,34.80M,59.00M,59.00M,,-10.40M,,-1.20M,-57.90M,-51.80M,21.70M,-2.40M,-313.40M,-345.90M,-103.60M,,-76.80M,,-37.10M,-39.70M,,-29.10M,1.490B,4.407B,,493.10M,-1.036B,-542.50M,834.50M,-3.80M,830.70M,,-1.576B,-1.576B,-62.60M,-26.70M,-89.30M,16.10M,10.30M,-3.955B,,2.104B,348.40M,78.80M,2.531B,,834.50M,-535.60M,-6.90M,-1.580B,82.50M,82.80M,,AOR,Restated
2009-03,161.80M,,-0.40M,0.00,-0.40M,21.50M,33.80M,55.30M,55.30M,,-6.50M,,-2.30M,-8.80M,120.60M,-31.70M,,95.00M,183.90M,446.80M,,-105.90M,,-50.20M,-55.70M,,-2.183B,-1.156B,1.422B,,-132.10M,1.460B,1.328B,,-4.20M,-4.20M,,,,-62.50M,-19.90M,-82.40M,14.80M,-11.30M,-2.367B,,2.648B,-497.50M,-46.60M,2.104B,,,1.460B,-132.10M,-4.20M,106.90M,148.40M,,AOR,Restated
2008-12,342.30M,,44.40M,,334.70M,24.20M,37.20M,61.40M,61.40M,,-9.70M,,-1.40M,-579.00M,-6.60M,-211.30M,5.60M,0.80M,-211.50M,-63.90M,,-86.00M,,-37.90M,-48.10M,,-2.287B,-6.20M,-3.497B,,-5.80M,-239.00M,-244.80M,,-4.40M,-4.40M,,,1.576B,-62.30M,0.00,-62.30M,37.80M,-297.20M,2.477B,,3.776B,-1.084B,-43.50M,2.648B,,,1.70M,-246.50M,-4.40M,196.90M,226.80M,,,Restated
2008-09,-148.30M,,11.90M,,41.90M,21.90M,33.40M,55.30M,55.30M,,-9.60M,,-20.00M,315.20M,69.50M,15.30M,3.00M,,87.80M,347.30M,,-72.50M,,-21.80M,-50.70M,,-1.616B,-246.70M,-5.391B,,897.20M,-319.30M,577.90M,,-1.10M,-1.10M,,,0.00,-61.90M,0.00,-61.90M,102.20M,297.90M,3.325B,,5.652B,-1.719B,-157.20M,3.776B,,,1.20B,-622.10M,-1.10M,127.80M,372.20M,,,Restated
