,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2011-11,509.10M,,509.10M,,,1.510B,524.40M,1.342B,,1.629B,353.20M,20.20M,,4.022B,,,,,,,,,,3.507B,8.116B,4.796B,12.91B,,,1.026B,17.45B,21.47B,,1.096B,,,,1.096B,,1.096B,,849.00M,1.732B,2.581B,,2.581B,,,,1.464B,5.142B,5.248B,,5.248B,1.374B,1.374B,,,,475.80M,,2.65B,9.272B,14.41B,,75.50M,9.642B,1.319B,3.255B,,,-1.205B,6.577B,,AOR,Restated
2011-08,338.20M,,338.20M,,,1.504B,544.50M,1.470B,,1.788B,452.70M,13.40M,,4.096B,,,,,,,,,,3.565B,8.301B,4.936B,13.24B,,,994.40M,17.80B,21.89B,,1.182B,,,,1.182B,,1.182B,,1.023B,1.126B,2.149B,,2.149B,,,,1.554B,4.884B,5.901B,,5.901B,1.417B,1.417B,,,,509.70M,,2.682B,10.00B,14.88B,,75.50M,9.397B,1.293B,3.251B,,,-1.015B,6.499B,,AOR,Restated
2011-05,619.60M,,619.60M,1.162B,213.80M,1.405B,504.20M,1.274B,,1.609B,161.00M,27.30M,22.40M,3.902B,0.00,61.20M,1.803B,5.106B,,521.90M,,7.492B,-4.146B,3.346B,6.751B,3.813B,10.56B,519.10M,13.30M,201.50M,14.77B,18.67B,,995.10M,,80.40M,34.80M,1.110B,916.70M,2.027B,7.20M,311.30M,1.031B,1.343B,,1.343B,,,,282.40M,3.659B,5.542B,,5.542B,1.127B,1.127B,,1.413B,22.20M,246.70M,0.00,64.90M,8.403B,12.06B,,75.50M,9.191B,1.320B,3.210B,,,-1.011B,6.366B,,AOR,Restated
2010-11,566.30M,,566.30M,,,1.299B,507.70M,1.351B,,1.706B,416.70M,28.50M,,4.017B,,,,,,,,,,3.146B,6.635B,3.740B,10.38B,,,840.60M,14.36B,18.38B,,826.70M,,,,826.70M,,826.70M,,1.170B,11.70M,1.182B,,1.182B,,,,1.725B,3.734B,5.864B,,5.864B,965.20M,965.20M,,,,245.20M,,1.931B,8.760B,12.49B,,75.50M,8.842B,1.295B,3.300B,,,-1.273B,5.640B,,AOR,Restated
2010-08,697.00M,,697.00M,,,1.173B,446.80M,1.36B,,1.665B,382.90M,35.60M,,3.954B,,,,,,,,,,3.112B,6.614B,3.728B,10.34B,,,803.80M,14.26B,18.21B,,888.00M,,,,888.00M,,888.00M,,1.350B,107.30M,1.457B,,1.457B,,,,1.746B,4.092B,5.772B,,5.772B,885.10M,885.10M,,,,246.60M,,2.091B,8.748B,12.84B,,75.50M,8.410B,1.282B,3.253B,,,-1.391B,5.125B,,,Restated
2010-05,673.20M,,673.20M,1.042B,,1.042B,354.90M,1.131B,,1.344B,378.50M,42.70M,,3.48B,0.00,58.00M,1.654B,4.724B,,469.00M,44.60M,6.950B,-3.822B,3.128B,6.593B,3.715B,10.31B,,,763.40M,14.20B,17.68B,,849.50M,,,,849.50M,1.049B,1.898B,,1.050B,107.30M,1.157B,,1.157B,,,,713.60M,3.769B,5.268B,,5.268B,874.60M,874.60M,276.30M,1.588B,180.20M,245.10M,,74.10M,8.262B,12.03B,,75.50M,8.122B,1.307B,2.615B,,,-1.487B,5.403B,,AOR,Restated
2010-02,691.30M,,691.30M,1.180B,,1.180B,411.20M,1.197B,,1.475B,322.90M,8.10M,,3.677B,,,,,,,,,,3.004B,6.646B,3.741B,10.39B,,,1.148B,14.54B,18.22B,,690.50M,,,,690.50M,,690.50M,,581.10M,107.40M,688.50M,,688.50M,,,,1.607B,2.986B,5.672B,,5.672B,1.141B,1.141B,,,,245.00M,,1.940B,8.753B,11.74B,,37.70M,8.076B,1.314B,2.336B,,,-859.70M,6.232B,,AOR,Restated
2009-11,858.40M,,858.40M,1.212B,,1.212B,441.30M,1.321B,,1.629B,429.10M,0.00,,4.128B,,,,,,,,,,2.988B,6.698B,3.766B,10.46B,,,981.70M,14.43B,18.56B,,717.60M,,,,717.60M,,717.60M,,444.40M,607.30M,1.052B,,1.052B,,1.70M,1.70M,1.688B,3.460B,5.648B,,5.648B,1.163B,1.163B,,,,244.80M,,1.957B,8.768B,12.23B,,37.70M,7.909B,1.284B,2.419B,,,-722.80M,6.089B,,AOR,Restated
2009-08,711.60M,,711.60M,1.139B,,1.139B,406.20M,1.381B,,1.646B,375.80M,1.40M,,3.874B,,,,,,,,,,2.992B,6.669B,3.750B,10.42B,,,905.70M,14.32B,18.19B,,792.10M,,,,792.10M,,792.10M,,914.80M,508.50M,1.423B,,1.423B,,,,1.497B,3.712B,5.754B,,5.754B,1.157B,1.157B,,,,244.90M,,1.928B,8.839B,12.55B,,37.70M,7.50B,1.270B,2.577B,,,-837.70M,5.394B,,AOR,
2009-05,749.80M,23.40M,773.20M,953.40M,119.60M,1.146B,400.00M,1.096B,,1.347B,197.50M,15.60M,55.40M,3.535B,0.00,55.20M,1.572B,4.592B,,349.20M,52.70M,6.621B,-3.586B,3.035B,6.663B,3.747B,10.41B,283.30M,189.80M,226.80M,14.34B,17.87B,,803.40M,,168.00M,,971.40M,655.60M,1.627B,,812.20M,508.50M,1.321B,,1.321B,19.30M,19.30M,,300.80M,3.606B,5.755B,,5.755B,1.165B,1.165B,,1.051B,,244.20M,,81.00M,8.852B,12.46B,,75.50M,7.236B,1.212B,2.473B,,,-877.80M,5.172B,,AOR,Restated
