,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-08,3.908B,3.908B,2.491B,1.417B,712.20M,-58.90M,,,-73.90M,,712.20M,704.70M,,,-73.90M,-58.90M,-73.90M,571.90M,176.60M,419.50M,,,-10.50M,409.00M,449.70M,857.20M,152.50M,704.70M,,0.68,,,0.7478,0.68,,0.67,,,0.7365,0.67,,600.00M,612.40M,0.48,,AOR,Restated
2016-05,3.928B,3.928B,2.551B,1.377B,779.20M,-65.50M,,,-77.50M,,779.20M,597.60M,,,-77.50M,-65.50M,-77.50M,454.60M,87.50M,390.40M,,,-10.80M,379.60M,432.49M,769.40M,166.90M,602.50M,,0.63,,,0.7184,0.63,,0.62,,,0.7066,0.62,,598.30M,611.00M,0.46,,AOR,Restated
2016-02,4.002B,4.002B,2.645B,1.358B,755.80M,-15.40M,,,-77.20M,,755.80M,601.70M,,,-77.20M,-15.40M,-77.20M,509.10M,157.60M,367.70M,,,-6.00M,361.70M,372.33M,750.40M,148.70M,601.70M,,0.61,,,0.6278,0.61,,0.59,,,0.6075,0.59,,595.60M,608.50M,0.44,,AOR,Restated
2015-11,4.425B,4.425B,2.884B,1.541B,772.70M,137.80M,,,-73.80M,,772.70M,767.90M,,,-73.80M,137.80M,-73.80M,831.90M,311.50M,543.60M,,,-14.10M,529.50M,443.24M,916.50M,148.60M,767.90M,,0.88,,,0.7361,0.88,,0.87,,,0.7291,0.87,,599.40M,612.40M,0.44,,AOR,Restated
2015-08,4.208B,4.208B,2.653B,1.555B,811.20M,-60.10M,,,-75.30M,,811.20M,743.40M,,,-75.30M,-60.10M,-75.30M,608.00M,198.60M,435.10M,,,-8.50M,426.60M,467.05M,887.30M,143.90M,743.40M,,0.71,,,0.7772,0.71,,0.69,,,0.7557,0.69,,601.70M,615.50M,0.44,,AOR,Restated
2015-05,4.299B,4.299B,2.783B,1.516B,825.90M,-266.00M,,,-79.60M,,825.90M,689.60M,,,-79.60M,-266.00M,-79.60M,344.00M,164.30M,197.80M,,,-11.00M,186.80M,346.40M,303.50M,144.60M,158.90M,,0.31,,,0.5761,0.31,,0.30,,,0.5598,0.30,,599.70M,614.30M,0.44,,AOR,Restated
2015-02,4.351B,4.351B,2.975B,1.376B,789.40M,-49.30M,,,-80.00M,,789.40M,586.50M,,,-80.00M,-49.30M,-80.00M,457.20M,116.50M,353.80M,,,-10.60M,343.20M,379.93M,739.80M,153.30M,586.50M,,0.57,,,0.6314,0.57,,0.56,,,0.6198,0.56,,598.20M,613.80M,0.41,,AOR,Restated
2014-11,4.712B,4.712B,3.093B,1.619B,845.50M,-214.60M,,,-77.30M,,845.50M,773.60M,,,-77.30M,-214.60M,-77.30M,481.70M,153.40M,355.40M,,,-9.30M,346.10M,492.46M,913.70M,140.10M,773.60M,,0.58,,,0.8229,0.58,,0.56,,,0.7967,0.56,,602.60M,618.40M,0.41,,AOR,Restated
2014-08,4.268B,4.268B,2.830B,1.439B,867.20M,-14.00M,,,-78.50M,,867.20M,571.50M,,,-78.50M,-14.00M,-78.50M,479.00M,152.60M,352.40M,,,-7.20M,345.20M,354.75M,721.80M,150.30M,571.50M,,0.56,,,0.5756,0.56,,0.55,,,0.5652,0.55,,612.60M,629.10M,0.41,,AOR,Restated
2014-05,4.284B,4.284B,2.801B,1.482B,865.90M,65.40M,,,-79.40M,,865.90M,616.50M,,,-79.40M,65.40M,-79.40M,602.50M,203.70M,415.40M,,,-10.80M,404.60M,361.31M,837.80M,143.30M,694.50M,,0.66,,,0.5896,0.66,,0.65,,,0.5815,0.65,,614.50M,632.20M,0.41,,AOR,Restated
2014-02,4.377B,4.377B,2.865B,1.513B,842.10M,0.00,,,-75.50M,,842.10M,670.60M,,,-75.50M,,-75.50M,595.10M,200.90M,417.00M,,,-6.40M,410.60M,410.60M,815.10M,144.50M,670.60M,,0.66,,,0.66,0.66,,0.64,,,0.64,0.64,,623.50M,640.20M,0.38,,AOR,Restated
2013-11,4.876B,4.876B,3.114B,1.762B,890.90M,-0.70M,,,-68.70M,,890.90M,870.80M,,,-68.70M,-0.70M,-68.70M,801.40M,266.70M,560.80M,,,-10.90M,549.90M,550.37M,1.017B,146.60M,870.80M,,0.87,,,0.8707,0.87,,0.84,,,0.8407,0.84,,633.20M,650.00M,0.38,,AOR,Restated
2013-08,4.373B,4.373B,2.760B,1.613B,875.40M,-2.80M,,,-78.80M,,875.40M,737.60M,,,-78.80M,-2.80M,-78.80M,656.00M,212.00M,468.10M,,,-8.80M,459.30M,461.20M,888.60M,151.00M,737.60M,,0.71,,,0.7129,0.71,,0.70,,,0.7029,0.70,,643.00M,660.30M,0.38,,AOR,Restated
2013-05,4.411B,4.411B,2.880B,1.531B,928.20M,-1.80M,,,-81.80M,,928.20M,602.40M,,,-81.80M,-1.80M,-81.80M,518.80M,163.50M,376.80M,,,-10.50M,366.30M,367.53M,750.90M,155.70M,595.20M,,0.57,,,0.5719,0.57,,0.55,,,0.5519,0.55,,647.40M,665.30M,0.33,,AOR,Restated
2013-02,4.431B,4.431B,2.908B,1.523B,874.50M,-6.10M,,,-76.60M,,874.50M,648.20M,,,-76.60M,-6.10M,-76.60M,565.50M,174.20M,412.60M,,,-14.20M,398.40M,402.62M,794.40M,146.20M,648.20M,,0.61,,,0.6165,0.61,,0.60,,,0.6063,0.60,,648.50M,665.10M,0.33,,AOR,Restated
2012-11,4.882B,4.882B,3.140B,1.742B,910.60M,-2.70M,,,-75.50M,,910.60M,831.70M,,,-75.50M,-2.70M,-75.50M,753.50M,245.40M,541.00M,,,0.60M,541.60M,543.42M,978.60M,146.90M,831.70M,,0.84,,,0.8428,0.84,,0.82,,,0.8227,0.82,,648.10M,664.50M,0.33,,AOR,Restated
2012-08,4.051B,4.051B,2.423B,1.628B,839.00M,-9.20M,,,-83.00M,,839.00M,789.30M,,,-83.00M,-9.20M,-83.00M,697.10M,158.10M,562.10M,,,-13.20M,548.90M,556.01M,928.50M,139.20M,789.30M,,0.84,,,0.8509,0.84,,0.82,,,0.8307,0.82,,650.40M,667.40M,0.33,,AOR,Restated
2012-05,4.066B,4.066B,2.570B,1.496B,857.40M,-100.70M,,,-83.30M,,857.40M,638.70M,,,-83.30M,-100.70M,-83.30M,454.70M,135.40M,334.80M,,,-9.40M,325.40M,396.11M,689.70M,142.70M,547.00M,,0.50,,,0.6088,0.50,,0.49,,,0.5960,0.49,,650.20M,667.30M,0.305,,AOR,Restated
2012-02,4.120B,4.120B,2.613B,1.507B,838.70M,-0.10M,,,-96.00M,,838.70M,668.70M,,,-96.00M,-0.10M,-96.00M,572.60M,187.30M,400.80M,,,-9.30M,391.50M,391.57M,804.20M,135.50M,668.70M,,0.61,,,0.6101,0.61,,0.58,,,0.5801,0.58,,647.90M,667.30M,0.305,,AOR,Restated
2011-11,4.624B,4.624B,3.029B,1.595B,877.10M,-0.70M,,,-87.20M,,877.10M,717.60M,,,-87.20M,-0.70M,-87.20M,629.70M,209.40M,449.20M,,,-4.40M,444.80M,445.27M,855.40M,137.80M,717.60M,,0.69,,,0.6907,0.69,,0.67,,,0.6707,0.67,,646.30M,665.80M,0.305,,AOR,Restated
2011-08,3.848B,3.848B,2.401B,1.446B,807.50M,-0.10M,,,-85.40M,,807.50M,639.00M,,,-85.40M,-0.10M,-85.40M,553.50M,177.50M,404.30M,,,1.30M,405.60M,405.67M,764.50M,125.50M,639.00M,,0.63,,,0.6301,0.63,,0.61,,,0.6101,0.61,,647.90M,667.00M,0.305,,AOR,Restated
2011-05,3.634B,3.634B,2.270B,1.364B,828.80M,0.80M,,,-89.40M,,828.80M,535.60M,,,-89.40M,0.80M,-89.40M,447.00M,155.70M,321.10M,,,-0.90M,320.20M,319.68M,674.10M,118.10M,556.00M,,0.50,,,0.4992,0.50,,0.48,,,0.4792,0.48,,642.40M,664.20M,0.28,,AOR,Restated
2011-02,3.646B,3.646B,2.215B,1.431B,790.20M,14.20M,,,-85.00M,,790.20M,640.60M,,,-85.00M,14.20M,-85.00M,569.80M,181.70M,393.50M,,,-1.40M,392.10M,382.43M,764.90M,124.30M,640.60M,,0.61,,,0.5949,0.61,,0.59,,,0.5753,0.59,,638.90M,660.10M,0.28,,AOR,
2010-11,4.067B,4.067B,2.433B,1.634B,810.10M,-1.00M,,,-81.60M,,810.10M,823.90M,,,-81.60M,-1.00M,-81.60M,741.30M,160.70M,615.30M,,,-1.40M,613.90M,614.68M,942.80M,118.90M,823.90M,,0.96,0.00,,0.9612,0.96,,0.92,0.00,,0.9212,0.92,,642.10M,664.50M,0.28,,AOR,Restated
2010-08,3.533B,3.533B,2.009B,1.524B,762.90M,-1.00M,91.70M,1.40M,-90.30M,,762.90M,761.40M,1.40M,91.70M,-90.30M,-1.00M,-90.30M,670.10M,223.00M,473.60M,,,-1.50M,472.10M,472.77M,873.10M,111.30M,761.80M,,0.73,0.00,,0.7310,0.73,,0.70,0.00,,0.7010,0.70,,647.30M,671.90M,0.28,,,Restated
2010-05,3.529B,3.529B,2.258B,1.271B,797.40M,-41.10M,-193.40M,1.50M,194.90M,,797.40M,473.90M,1.50M,-193.40M,194.90M,-41.10M,194.90M,345.90M,148.50M,212.70M,,,-0.80M,211.90M,238.62M,269.30M,116.80M,152.50M,,0.32,0.00,,0.3602,0.32,,0.30,0.00,,0.3387,0.30,,664.40M,689.60M,0.245,,AOR,Restated
2010-02,3.589B,3.589B,2.230B,1.360B,791.90M,-6.30M,95.60M,1.40M,-94.20M,,791.90M,567.90M,1.40M,95.60M,-94.20M,-6.30M,-94.20M,467.40M,157.90M,333.50M,,,-1.00M,332.50M,336.67M,675.40M,112.40M,563.00M,,0.50,0.00,,0.5063,0.50,,0.48,0.00,,0.4861,0.48,,663.60M,689.40M,0.245,,AOR,Restated
2009-11,4.035B,4.035B,2.306B,1.728B,824.70M,-24.90M,90.10M,1.60M,-88.50M,,824.70M,903.60M,1.60M,90.10M,-88.50M,-24.90M,-88.50M,790.20M,261.60M,566.80M,,,-1.30M,565.50M,582.16M,997.10M,116.80M,880.30M,,0.86,0.00,,0.8853,0.86,,0.83,0.00,,0.8545,0.83,,657.40M,681.20M,0.235,,AOR,Restated
2009-08,3.482B,3.482B,2.042B,1.441B,748.70M,0.80M,94.20M,2.30M,-91.90M,,748.70M,692.10M,2.30M,94.20M,-91.90M,0.80M,-91.90M,601.00M,203.20M,422.00M,,,-1.40M,420.60M,420.07M,806.30M,111.10M,695.20M,,0.64,0.00,,0.6392,0.64,,0.62,0.00,,0.6192,0.62,,653.00M,672.80M,0.235,,AOR,
2009-05,3.646B,3.646B,2.101B,1.545B,833.70M,49.70M,105.30M,4.10M,-101.20M,,962.50M,582.10M,4.10M,105.30M,-101.20M,49.70M,-101.20M,530.60M,182.40M,360.40M,,,-1.60M,358.80M,326.18M,755.90M,120.00M,635.90M,,0.54,0.00,,0.4904,0.54,,0.535,0.00,,0.4865,0.535,,657.40M,673.00M,0.215,,AOR,Restated
2009-02,3.537B,3.537B,2.260B,1.278B,670.60M,-1.20M,104.00M,5.40M,-98.60M,,670.60M,606.90M,5.40M,104.00M,-98.60M,-1.20M,-98.60M,507.10M,231.70M,291.10M,,,-2.20M,288.90M,289.68M,721.10M,110.00M,611.10M,,0.44,0.00,,0.4412,0.44,,0.425,0.00,,0.4261,0.425,,658.40M,680.40M,0.215,,,Restated
2008-11,4.011B,4.011B,2.791B,1.220B,729.60M,-2.50M,101.90M,5.60M,-96.30M,-128.80M,600.80M,618.80M,5.60M,101.90M,-96.30M,-2.50M,-96.30M,520.00M,173.10M,380.20M,,,-2.00M,378.20M,379.87M,733.90M,112.00M,621.90M,,0.57,0.00,,0.5725,0.57,,0.545,0.00,,0.5474,0.545,,666.40M,694.00M,0.215,,,Restated
2008-08,3.497B,3.497B,2.306B,1.192B,718.00M,-2.70M,86.60M,,-86.60M,,718.00M,473.70M,,86.60M,-86.60M,-2.70M,-86.60M,384.40M,133.20M,282.00M,,,-3.50M,278.50M,280.26M,582.60M,111.60M,471.00M,,0.415,0.00,,0.4176,0.415,,0.395,0.00,,0.3975,0.395,,672.80M,701.00M,0.215,,,Restated
2008-05,3.471B,3.471B,2.439B,1.032B,698.30M,1.30M,70.80M,,-89.90M,,698.30M,333.90M,,70.80M,-89.90M,1.30M,-89.90M,245.30M,91.20M,185.20M,,,,185.20M,184.38M,426.60M,110.50M,316.10M,,0.27,0.00,,0.2688,0.27,,0.26,0.00,,0.2588,0.26,,673.80M,701.00M,0.20,,,Restated
2008-02,3.406B,3.406B,2.051B,1.354B,653.80M,-5.00M,109.70M,7.10M,-102.60M,,653.80M,700.40M,7.10M,109.70M,-102.60M,-5.00M,-102.60M,592.80M,192.40M,430.10M,,,,430.10M,433.48M,815.60M,113.10M,702.50M,,0.64,0.00,,0.6450,0.64,,0.615,0.00,,0.6198,0.615,,674.00M,699.40M,0.195,,,
2007-11,3.703B,3.703B,2.372B,1.331B,641.30M,-2.80M,122.20M,6.30M,-115.90M,,641.30M,689.90M,6.30M,122.20M,-115.90M,-2.80M,-115.90M,571.20M,208.30M,390.50M,,,,390.50M,392.28M,820.80M,127.40M,693.40M,,0.595,0.00,,0.5977,0.595,,0.57,0.00,,0.5726,0.57,,656.00M,684.80M,0.195,,,
2007-08,3.072B,3.072B,1.916B,1.156B,631.60M,-14.50M,119.00M,5.70M,-113.30M,,631.60M,524.60M,5.70M,119.00M,-113.30M,-14.50M,-113.30M,396.80M,130.30M,288.90M,,,,288.90M,298.64M,624.00M,108.20M,515.80M,,0.425,0.00,,0.4398,0.425,,0.405,0.00,,0.4191,0.405,,659.80M,689.80M,0.195,,,
2007-05,3.061B,3.061B,1.990B,1.071B,624.10M,-41.60M,83.90M,,-104.20M,,624.10M,447.30M,,83.90M,-104.20M,-41.60M,-104.20M,301.50M,92.00M,224.10M,,,,224.10M,253.01M,490.20M,104.80M,385.40M,,0.325,0.00,,0.3669,0.325,,0.315,0.00,,0.3551,0.315,,689.40M,721.00M,0.185,,,Restated
2007-02,3.054B,3.054B,1.982B,1.072B,584.90M,-0.70M,115.30M,8.50M,-106.80M,,584.90M,486.80M,8.50M,115.30M,-106.80M,-0.70M,-106.80M,379.30M,127.40M,267.50M,,,,267.50M,267.96M,598.30M,103.70M,494.60M,,0.385,0.00,,0.3857,0.385,,0.37,0.00,,0.3706,0.37,,690.60M,719.80M,0.185,,,
2006-11,3.467B,3.467B,2.187B,1.280B,605.50M,1.10M,115.60M,5.10M,-110.50M,,605.50M,674.10M,5.10M,115.60M,-110.50M,1.10M,-110.50M,564.70M,202.70M,385.40M,,,,385.40M,384.69M,785.20M,104.90M,680.30M,,0.56,0.00,,0.5590,0.56,,0.54,0.00,,0.5390,0.54,,687.80M,714.80M,0.175,,,
2006-08,2.860B,2.860B,1.797B,1.064B,574.80M,1.90M,111.70M,6.70M,-105.00M,,574.80M,488.90M,6.70M,111.70M,-105.00M,1.90M,-105.00M,385.80M,138.00M,266.90M,,,,266.90M,265.68M,601.90M,104.40M,497.50M,,0.38,0.00,,0.3783,0.38,,0.37,0.00,,0.3683,0.37,,704.00M,726.20M,0.175,,,
2006-05,2.862B,2.862B,1.878B,984.50M,558.70M,-13.80M,112.40M,6.80M,-105.60M,,558.70M,425.80M,6.80M,112.40M,-105.60M,-13.80M,-105.60M,306.40M,96.30M,222.30M,,,,222.30M,231.76M,525.70M,106.90M,418.80M,,0.315,0.00,,0.3283,0.315,,0.305,0.00,,0.3180,0.305,,713.60M,726.40M,0.17,,,
2006-02,2.877B,2.877B,1.891B,986.00M,528.00M,-5.00M,107.00M,7.00M,-100.00M,,528.00M,458.00M,7.00M,107.00M,-100.00M,-5.00M,-100.00M,353.00M,123.00M,246.00M,,,,246.00M,249.26M,566.00M,106.00M,460.00M,,0.345,0.00,,0.3496,0.345,,0.34,0.00,,0.3445,0.34,,710.00M,728.00M,0.17,,,
2005-11,3.293B,3.293B,2.09B,1.203B,559.00M,-2.00M,,,,,559.00M,644.00M,,,,20.00M,,538.00M,190.00M,370.00M,,,,370.00M,371.29M,750.00M,106.00M,644.00M,,0.52,0.00,,0.5218,0.52,,0.485,0.00,,0.4867,0.485,,711.54M,762.89M,0.165,,,
2005-08,2.662B,2.662B,1.557B,1.105B,642.00M,-9.00M,,,,,642.00M,463.00M,,,,9.00M,,364.00M,130.00M,252.00M,,,,252.00M,257.79M,568.00M,105.00M,463.00M,,0.345,0.00,,0.3529,0.345,,0.32,0.00,,0.3272,0.32,,730.00M,804.00M,0.165,,,
2005-05,2.783B,2.783B,2.161B,622.00M,170.00M,324.00M,,,,,170.00M,452.00M,,,,251.00M,,666.00M,227.00M,460.00M,,,,460.00M,246.43M,873.00M,113.00M,760.00M,,0.62,0.00,,0.3312,0.62,,0.57,0.00,,0.3216,0.57,,739.43M,859.63M,0.155,,,
2005-02,2.772B,2.772B,1.695B,1.077B,580.00M,-3.00M,,,,,580.00M,497.00M,,,,20.00M,,387.00M,180.00M,230.00M,,,,230.00M,231.80M,606.00M,109.00M,497.00M,,0.315,0.00,,0.3175,0.315,,0.29,0.00,,0.2923,0.29,,730.16M,793.10M,0.155,,,
2004-11,3.168B,3.168B,1.889B,1.279B,637.00M,-3.00M,,,,,637.00M,642.00M,,,,21.00M,,514.00M,171.00M,367.00M,,,,367.00M,369.00M,755.00M,113.00M,642.00M,,0.495,0.00,,0.4977,0.495,,0.46,0.00,,0.4625,0.46,,741.41M,797.83M,0.155,,,
2004-08,2.585B,2.585B,1.581B,1.004B,611.00M,-40.00M,,,,,611.00M,393.00M,,,,-14.00M,,240.00M,83.00M,183.00M,,,,183.00M,209.17M,501.00M,108.00M,393.00M,,0.24,0.00,,0.2745,0.24,,0.225,0.00,,0.2564,0.225,,758.00M,832.00M,0.155,,,
2004-05,2.789B,2.789B,1.675B,1.114B,586.00M,-4.00M,,,,,586.00M,528.00M,,,,19.00M,,392.00M,137.00M,278.00M,,,,278.00M,280.60M,636.00M,108.00M,528.00M,,0.37,0.00,,0.3734,0.37,,0.34,0.00,,0.3430,0.34,,758.65M,875.88M,0.1375,,,
2004-02,2.703B,2.703B,1.638B,1.065B,589.00M,-5.00M,,,,,589.00M,476.00M,,,,10.00M,,348.00M,121.00M,242.00M,,,,242.00M,245.26M,578.00M,102.00M,476.00M,,0.32,0.00,,0.3243,0.32,,0.30,0.00,,0.3040,0.30,,756.25M,806.67M,0.1375,,,
2003-11,3.06B,3.06B,1.797B,1.263B,677.00M,-9.00M,,,,,677.00M,586.00M,,,,7.00M,,466.00M,158.00M,308.00M,,,,308.00M,313.95M,682.00M,96.00M,586.00M,,0.41,0.00,,0.4180,0.41,,0.405,0.00,,0.4128,0.405,,748.00M,766.00M,0.1375,,,
2003-08,2.518B,2.518B,1.474B,1.044B,591.00M,,,,,,591.00M,453.00M,,,,20.00M,,319.00M,112.00M,227.00M,,,,227.00M,227.00M,546.00M,93.00M,453.00M,,0.305,0.00,,0.305,0.305,,0.295,0.00,,0.295,0.295,,744.00M,764.00M,0.1375,,,
2003-05,2.546B,2.546B,1.482B,1.064B,651.00M,36.00M,,,,,651.00M,413.00M,,,,53.00M,,336.00M,111.00M,225.00M,,,,225.00M,200.89M,508.00M,95.00M,413.00M,,0.305,0.00,,0.2726,0.305,,0.295,0.00,,0.2634,0.295,,744.00M,762.00M,0.1375,,,
2003-02,2.645B,2.645B,1.567B,1.078B,571.00M,-22.00M,,,,,571.00M,507.00M,,,,-9.00M,,363.00M,123.00M,240.00M,,,,240.00M,254.55M,597.00M,90.00M,507.00M,,0.325,0.00,,0.3447,0.325,,0.315,0.00,,0.3342,0.315,,738.00M,758.00M,0.1375,,,
