,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-12,,23.00M,754.00M,777.00M,,1.206B,678.00M,,,325.00M,132.00M,3.118B,,,,,20.26B,-6.363B,13.90B,,,,,2.47B,16.37B,19.49B,,920.00M,920.00M,,920.00M,,718.00M,,718.00M,,,3.096B,4.734B,7.878B,,7.878B,279.00M,,279.00M,,1.254B,1.961B,11.37B,16.11B,,76.00M,1.256B,2.212B,,,,3.38B,,AOR,
1994-09,,31.00M,1.026B,1.057B,,1.114B,675.00M,,,,516.00M,3.362B,,,,,20.32B,-6.252B,14.06B,,,,,2.862B,16.93B,20.29B,,961.00M,961.00M,,961.00M,,408.00M,,408.00M,,,3.373B,4.742B,7.493B,,7.493B,542.00M,,542.00M,,,2.916B,10.95B,15.69B,,76.00M,1.397B,2.041B,,,,4.595B,,,
1994-06,,65.00M,568.00M,633.00M,,1.04B,680.00M,,,,526.00M,2.879B,,,,,20.12B,-5.983B,14.14B,,,,,2.851B,16.99B,19.87B,,917.00M,917.00M,,917.00M,,189.00M,,189.00M,,,3.442B,4.548B,7.71B,,7.71B,410.00M,,410.00M,,,2.80B,10.92B,15.47B,,76.00M,1.204B,2.038B,,,,4.399B,,,
1994-03,,75.00M,669.00M,744.00M,,1.056B,700.00M,,,,539.00M,3.039B,,,,,19.75B,-5.674B,14.07B,,,,,2.661B,16.74B,19.77B,,927.00M,927.00M,,927.00M,,598.00M,,598.00M,,,3.213B,4.738B,7.649B,,7.649B,314.00M,,314.00M,,,2.816B,10.78B,15.52B,,76.00M,1.062B,2.038B,,,,4.257B,,,
1993-12,,63.00M,,63.00M,,910.00M,688.00M,,,,1.029B,2.69B,,,,,17.18B,-4.914B,12.26B,,,,,4.375B,16.64B,19.33B,,921.00M,921.00M,,921.00M,,310.00M,,310.00M,,,3.186B,4.417B,7.554B,,7.554B,310.00M,,310.00M,,,2.769B,10.63B,15.05B,,,1.084B,,,,,4.276B,,,
1993-09,,131.00M,,131.00M,,951.00M,692.00M,,,,1.51B,3.284B,,,,,19.52B,-5.543B,13.98B,,,,,2.614B,16.59B,19.87B,,947.00M,947.00M,,947.00M,,644.00M,,644.00M,,,3.187B,4.778B,7.57B,,7.57B,250.00M,,250.00M,,,2.73B,10.55B,15.33B,,,1.356B,,,,,4.546B,,,
1993-06,,80.00M,,80.00M,,1.064B,707.00M,,,,1.475B,3.326B,,,,,18.81B,-4.90B,13.91B,,,,,2.65B,16.56B,19.88B,,948.00M,948.00M,,948.00M,,335.00M,,335.00M,,,3.428B,4.711B,7.853B,,7.853B,236.00M,,236.00M,,,2.648B,10.74B,15.45B,,,1.254B,,,,,4.437B,,,
1993-03,,78.00M,,78.00M,,1.128B,706.00M,,,,1.564B,3.476B,,,,,19.04B,-5.377B,13.66B,,,,,2.622B,16.28B,19.76B,,1.013B,1.013B,,1.013B,,418.00M,,418.00M,,,3.231B,4.662B,7.873B,,7.873B,201.00M,,201.00M,,,2.624B,10.70B,15.36B,,,1.224B,,,,,4.40B,,,
1992-12,,45.00M,,45.00M,,947.00M,685.00M,,,,1.191B,2.868B,,,,,15.91B,-4.529B,11.38B,,,,,4.459B,15.84B,18.71B,,948.00M,948.00M,,948.00M,,662.00M,,662.00M,,,3.11B,4.72B,7.838B,,7.838B,196.00M,,196.00M,,,2.603B,10.64B,15.36B,,,1.256B,,,,,3.349B,,,
1992-09,,49.00M,,49.00M,,1.015B,686.00M,,,,1.202B,2.952B,,,,,15.30B,-4.30B,11.00B,,,,,4.442B,15.44B,18.39B,,1.016B,1.016B,,1.016B,,716.00M,,716.00M,,,3.276B,5.008B,7.567B,,7.567B,444.00M,,444.00M,,,1.335B,9.346B,14.35B,,,1.95B,,,,,4.04B,,,
1992-06,,74.00M,,74.00M,,884.00M,669.00M,,,,1.626B,3.253B,,,,,14.79B,-4.40B,10.39B,,,,,4.122B,14.51B,17.77B,,976.00M,976.00M,,976.00M,,1.029B,,1.029B,,,3.228B,5.233B,6.639B,,6.639B,480.00M,,480.00M,,,1.29B,8.409B,13.64B,,,2.035B,,,,,4.124B,,,
1992-03,,80.00M,,80.00M,,1.036B,658.00M,,,,1.741B,3.515B,,,,,14.02B,-4.20B,9.825B,,,,,4.031B,13.86B,17.37B,,1.05B,1.05B,,1.05B,,1.058B,,1.058B,,,2.789B,4.897B,6.315B,,6.315B,555.00M,,555.00M,,,1.321B,8.191B,13.09B,,,2.201B,,,,,4.283B,,,
1991-12,,94.00M,,94.00M,,803.00M,620.00M,,,,1.289B,2.806B,,,,,13.47B,-3.991B,9.481B,,,,,3.921B,13.40B,16.21B,,1.001B,1.001B,,1.001B,,1.036B,,1.036B,,,2.705B,4.742B,5.879B,,5.879B,541.00M,,541.00M,,,1.252B,7.672B,12.41B,,,2.181B,,,,,3.794B,,,
1991-09,,133.40M,,133.40M,,962.80M,625.80M,,,,1.361B,3.083B,,,,,12.76B,-3.80B,8.962B,,,,,3.750B,12.71B,15.79B,,1.074B,1.074B,,1.074B,,889.60M,,889.60M,,,2.575B,4.539B,5.483B,,5.483B,606.60M,,606.60M,,,1.249B,7.338B,11.88B,,,2.307B,,,,,3.918B,,,
1991-06,,209.60M,,209.60M,,1.217B,625.00M,,,,916.20M,2.967B,,,,,12.40B,-3.70B,8.701B,,,,,3.679B,12.38B,15.35B,,1.116B,1.116B,,1.116B,,892.20M,,892.20M,,,2.732B,4.740B,5.160B,,5.160B,562.60M,,562.60M,,,1.038B,6.760B,11.50B,,,2.237B,,,,,3.847B,,,
1991-03,,118.50M,,118.50M,,1.089B,603.90M,,,,1.254B,3.066B,,,,,11.93B,-3.50B,8.432B,,,,,3.052B,11.48B,14.55B,,1.049B,1.049B,,1.049B,,1.426B,,1.426B,,,2.372B,4.846B,4.333B,,4.333B,553.70M,,553.70M,,,982.10M,5.868B,10.71B,,,2.227B,,,,,3.835B,,,
1990-12,,113.50M,,113.50M,,951.40M,608.50M,,,,984.40M,2.658B,,,,,10.55B,-2.698B,7.853B,,,,,2.843B,10.70B,13.35B,,966.30M,966.30M,,966.30M,,1.319B,,1.319B,,,2.539B,4.825B,3.272B,,3.272B,650.40M,,650.40M,,,879.20M,4.802B,9.626B,,,2.422B,,,,,3.727B,,,
1990-09,,229.40M,,229.40M,,1.224B,594.40M,,,,1.009B,3.056B,,,,,10.87B,-3.20B,7.669B,,,,,2.616B,10.29B,13.34B,,1.268B,1.268B,,1.268B,,1.199B,,1.199B,,,2.494B,4.962B,2.891B,,2.891B,784.90M,,784.90M,,,760.10M,4.436B,9.398B,,,2.640B,,,,,3.944B,,,
1990-06,,128.60M,,128.60M,,1.186B,563.20M,,,,807.30M,2.686B,,,,,10.65B,-3.20B,7.450B,,,,,2.386B,9.836B,12.52B,,965.20M,965.20M,,965.20M,,1.073B,,1.073B,,,2.466B,4.505B,2.668B,,2.668B,827.80M,,827.80M,,,642.60M,4.138B,8.644B,,,2.575B,,,,,3.878B,,,
1990-03,,147.80M,,147.80M,,1.126B,519.40M,,,,747.90M,2.541B,,,,,10.29B,-3.30B,6.989B,,,,,2.175B,9.164B,11.70B,,970.70M,970.70M,,970.70M,,837.60M,,837.60M,,,2.264B,4.072B,2.597B,,2.597B,754.70M,,754.70M,,,533.90M,3.886B,7.958B,,,2.446B,,,,,3.747B,,,
1989-12,,120.30M,,120.30M,,886.10M,490.40M,,,,594.40M,2.091B,,,,,11.49B,-3.670B,7.820B,,,,,966.60M,8.786B,10.88B,,929.30M,929.30M,,929.30M,,433.00M,,433.00M,,,2.117B,3.479B,2.306B,,2.306B,802.40M,,802.40M,,,524.30M,3.632B,7.112B,,,2.465B,,,,,3.766B,,,
1989-09,,106.50M,,106.50M,,1.056B,451.70M,,,,1.106B,2.720B,,,,,10.76B,-3.512B,7.250B,,,,,809.50M,8.060B,10.78B,,857.10M,857.10M,,857.10M,,270.10M,,270.10M,,,2.172B,3.300B,2.628B,,2.628B,776.50M,,776.50M,,,375.40M,3.780B,7.079B,,,2.424B,,,,,3.701B,,,
1989-06,,68.90M,,68.90M,,1.065B,438.40M,,,,1.046B,2.619B,,,,,10.34B,-3.373B,6.967B,,,,,886.20M,7.853B,10.47B,,809.10M,809.10M,,809.10M,,268.10M,,268.10M,,,2.227B,3.305B,2.649B,,2.649B,715.80M,,715.80M,,,237.50M,3.603B,6.907B,,,2.291B,,,,,3.565B,,,
1988-12,,1.287B,,1.287B,,833.60M,375.10M,,,,119.70M,2.615B,,,,,9.381B,-3.108B,6.272B,,,,,835.10M,7.107B,9.722B,,,,,,,213.20M,,213.20M,,,2.582B,2.796B,2.750B,,2.750B,667.50M,,667.50M,,,361.80M,3.779B,6.574B,,,2.028B,,,,,3.148B,,,
1987-12,,1.012B,,1.012B,,729.20M,299.40M,,,,105.40M,2.146B,,,,,8.222B,-2.634B,5.588B,,,,,689.10M,6.277B,8.423B,,,,,,,205.10M,,205.10M,,,1.866B,2.071B,2.782B,,2.782B,573.50M,,573.50M,,,315.60M,3.671B,5.742B,,,1.562B,,,,,2.681B,,,
1986-12,,1.083B,,1.083B,,690.30M,262.50M,,,,73.20M,2.109B,,,,,7.016B,-2.274B,4.741B,,,,,677.20M,5.419B,7.528B,,,,,,,278.10M,,278.10M,,,1.707B,1.985B,2.412B,,2.412B,483.10M,,483.10M,,,163.00M,3.058B,5.043B,,,1.368B,,,,,2.485B,,,
1985-12,,1.357B,,1.357B,,631.60M,224.60M,,,,57.60M,2.271B,,,,,5.868B,-2.219B,3.649B,,,,,501.60M,4.150B,6.421B,,,,,,,143.20M,,143.20M,,,1.660B,1.803B,1.831B,,1.831B,299.70M,,299.70M,,,306.90M,2.437B,4.240B,,,1.092B,,,,,2.181B,,,
1984-12,,1.354B,,1.354B,,587.30M,197.50M,,,,42.10M,2.181B,,,,,4.759B,-1.946B,2.814B,,,,,266.70M,3.080B,5.261B,,,,,,,108.60M,,108.60M,,,1.444B,1.553B,1.541B,,1.541B,241.40M,,241.40M,,,411.90M,2.195B,3.748B,,,755.30M,,,,,1.513B,,,
