,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,390.00M,390.00M,5.864B,6.254B,1.425B,1.425B,863.00M,748.00M,695.00M,,,9.985B,,1.067B,6.402B,,40.65B,-13.14B,27.51B,4.091B,2.249B,6.34B,2.477B,2.103B,38.43B,48.42B,,1.563B,1.563B,3.539B,5.102B,,2.231B,,2.231B,6.272B,6.272B,,13.60B,18.33B,,18.33B,,667.00M,667.00M,,7.45B,2.728B,29.18B,42.78B,,6.00M,-1.23B,11.59B,,,-4.732B,5.635B,,AOR,Restated
2015-09,1.016B,1.016B,7.857B,8.873B,1.828B,1.828B,1.01B,1.285B,710.00M,,,13.71B,,1.073B,6.262B,,39.21B,-12.92B,26.29B,4.091B,2.261B,6.352B,,2.365B,35.01B,48.72B,,1.525B,1.525B,3.464B,4.989B,,1.712B,,1.712B,4.811B,4.811B,2.649B,14.16B,18.85B,,18.85B,,709.00M,709.00M,,7.433B,3.801B,30.79B,44.95B,,6.00M,-4.445B,12.85B,,,-4.651B,3.762B,,AOR,Restated
2015-06,952.00M,952.00M,7.967B,8.919B,1.892B,1.892B,1.069B,1.482B,747.00M,,,14.11B,,1.124B,6.132B,,38.08B,-12.80B,25.29B,4.091B,2.274B,6.365B,,2.106B,33.76B,47.87B,,1.683B,1.683B,3.311B,4.994B,,1.642B,,1.642B,5.664B,5.664B,2.745B,15.04B,17.15B,,17.15B,,746.00M,746.00M,,7.477B,3.812B,29.19B,44.23B,,7.00M,-6.07B,14.32B,,,-4.62B,3.636B,,AOR,Restated
2015-03,1.048B,1.048B,8.125B,9.173B,1.826B,1.826B,995.00M,1.378B,757.00M,,,14.13B,,1.265B,6.013B,,36.55B,-12.51B,24.04B,4.091B,2.281B,6.372B,,2.211B,32.62B,46.75B,,1.587B,1.587B,3.171B,4.758B,,1.284B,,1.284B,5.415B,5.415B,2.776B,14.23B,17.64B,,17.64B,,788.00M,788.00M,,7.517B,3.814B,29.76B,43.99B,,7.00M,-7.702B,15.05B,,,-4.59B,2.764B,,AOR,Restated
2014-12,994.00M,994.00M,6.309B,7.303B,1.771B,1.771B,1.004B,898.00M,774.00M,,,11.75B,,1.23B,5.90B,,35.34B,-12.26B,23.08B,4.091B,2.24B,6.331B,,2.06B,31.48B,43.22B,,1.377B,1.377B,3.291B,4.668B,,1.677B,,1.677B,7.059B,7.059B,,13.40B,16.04B,,16.04B,,829.00M,829.00M,,7.562B,3.366B,27.80B,41.20B,,7.00M,-8.562B,15.14B,,,-4.559B,2.021B,,AOR,Restated
2014-09,1.178B,1.178B,6.721B,7.899B,1.961B,1.961B,1.182B,1.533B,875.00M,,,13.45B,,1.172B,5.812B,,34.20B,-12.03B,22.16B,4.089B,2.305B,6.394B,,2.166B,30.72B,44.17B,,1.498B,1.498B,3.128B,4.626B,,1.439B,,1.439B,4.952B,4.952B,2.871B,13.89B,15.65B,,15.65B,,871.00M,871.00M,,4.964B,3.828B,25.31B,39.20B,,7.00M,-9.086B,15.94B,,,-1.893B,4.971B,,AOR,Restated
2014-06,1.21B,1.21B,8.249B,9.459B,1.981B,1.981B,1.093B,1.551B,882.00M,,,14.97B,,1.043B,5.712B,,32.87B,-11.63B,21.24B,4.089B,2.33B,6.419B,,2.19B,29.84B,44.81B,,1.653B,1.653B,3.35B,5.003B,,1.523B,,1.523B,5.683B,5.683B,2.879B,15.09B,15.20B,,15.20B,,905.00M,905.00M,,5.704B,3.823B,25.64B,40.72B,,7.00M,-9.953B,15.88B,1.00M,,-1.846B,4.086B,,AOR,Restated
2014-03,1.259B,1.259B,8.405B,9.664B,2.008B,2.008B,1.052B,1.522B,947.00M,,,15.19B,,1.045B,5.663B,,31.40B,-11.45B,19.94B,4.089B,2.319B,6.408B,,2.192B,28.54B,43.74B,,1.646B,1.646B,3.355B,5.001B,,1.441B,,1.441B,5.686B,5.686B,2.951B,15.08B,15.24B,,15.24B,,990.00M,990.00M,,5.766B,5.563B,27.56B,42.64B,,6.00M,-10.82B,14.04B,,,-2.135B,1.095B,,AOR,Restated
2013-12,1.14B,1.14B,8.111B,9.251B,1.56B,1.56B,1.012B,1.465B,1.035B,,,14.32B,,1.077B,5.585B,,30.39B,-11.13B,19.26B,4.086B,2.311B,6.397B,,2.299B,27.96B,42.28B,,1.368B,1.368B,3.607B,4.975B,,1.446B,,1.446B,4.38B,4.38B,3.005B,13.81B,15.35B,,15.35B,,935.00M,935.00M,,5.828B,9.087B,31.20B,45.01B,,5.00M,-11.30B,10.59B,,,-2.032B,-2.731B,,AOR,Restated
2013-09,717.00M,717.00M,6.046B,6.763B,1.34B,1.34B,681.00M,,935.00M,,464.00M,10.24B,,,2.127B,,13.47B,,13.47B,,853.00M,853.00M,,2.214B,16.54B,26.78B,,1.307B,1.307B,2.139B,3.446B,1.335B,1.335B,24.00M,1.359B,5.293B,5.293B,,10.10B,8.863B,345.00M,9.208B,,,,,6.641B,8.755B,24.60B,34.70B,,342.00M,-9.295B,4.488B,367.00M,,-3.09B,-7.922B,,AOR,Restated
