,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,10.94B,11.64B,8.759B,2.884B,385.00M,,385.00M,,,-147.00M,263.00M,30.00M,-233.00M,1.348B,1.733B,1.151B,30.00M,263.00M,-233.00M,-162.00M,-233.00M,756.00M,200.00M,556.00M,,,,,556.00M,664.11M,1.019B,,1.019B,,1.20,,,,1.433,1.20,,1.20,,,,1.433,1.20,,463.53M,464.62M,0.10,,AOR,Restated
2018-03,9.707B,10.40B,8.163B,2.238B,356.00M,,356.00M,,,-211.00M,262.00M,25.00M,-237.00M,1.275B,1.631B,607.00M,25.00M,262.00M,-237.00M,-132.00M,-237.00M,238.00M,79.00M,159.00M,,,,,159.00M,299.96M,500.00M,,500.00M,,0.34,,,,0.6385,0.34,,0.34,,,,0.6370,0.34,,472.30M,474.60M,0.10,,AOR,Restated
2017-12,9.941B,10.61B,8.051B,2.56B,383.00M,,383.00M,,,-159.00M,266.00M,24.00M,-242.00M,1.256B,1.762B,798.00M,24.00M,266.00M,-242.00M,-148.00M,-242.00M,408.00M,991.00M,-583.00M,,,,,-583.00M,-487.60M,674.00M,,674.00M,,0.54,,,,0.7399,0.54,,0.54,,,,0.7390,0.54,,477.16M,479.38M,0.10,,AOR,Restated
2017-09,10.32B,10.96B,7.949B,3.016B,400.00M,,400.00M,,,-112.00M,266.00M,25.00M,-241.00M,1.248B,1.648B,1.368B,25.00M,266.00M,-241.00M,-64.00M,-241.00M,1.063B,402.00M,661.00M,,,,,661.00M,730.64M,1.329B,,1.329B,,1.36,,,,1.504,1.36,,1.36,,,,1.503,1.36,,484.77M,486.62M,0.10,,AOR,Restated
2017-06,10.57B,11.23B,7.826B,3.401B,376.00M,,376.00M,,,-154.00M,263.00M,24.00M,-239.00M,1.272B,1.648B,1.753B,24.00M,263.00M,-239.00M,-125.00M,-239.00M,1.389B,525.00M,864.00M,,,,,864.00M,959.79M,1.652B,,1.652B,,1.76,,,,1.955,1.76,,1.75,,,,1.944,1.75,,490.82M,492.96M,0.10,,AOR,Restated
2017-03,9.188B,9.82B,7.466B,2.354B,318.00M,,318.00M,,,-126.00M,257.00M,21.00M,-236.00M,1.173B,1.491B,863.00M,21.00M,257.00M,-236.00M,-92.00M,-236.00M,535.00M,195.00M,340.00M,,,,,340.00M,420.07M,792.00M,,792.00M,,0.67,,,,0.8289,0.67,,0.67,,,,0.8277,0.67,,503.90M,507.80M,0.10,,AOR,Restated
2016-12,11.09B,9.751B,7.368B,2.383B,333.00M,,333.00M,,,-264.00M,253.00M,18.00M,-235.00M,1.243B,1.576B,807.00M,18.00M,253.00M,-235.00M,-219.00M,-235.00M,353.00M,156.00M,197.00M,,,,,197.00M,355.40M,606.00M,,606.00M,,0.56,,,,0.8678,0.56,,0.56,,,,0.8656,0.56,,514.57M,518.36M,0.10,,AOR,Restated
2016-09,9.321B,10.59B,7.345B,3.249B,347.00M,,347.00M,,,-264.00M,250.00M,16.00M,-234.00M,1.207B,1.554B,1.695B,16.00M,250.00M,-234.00M,-272.00M,-234.00M,1.189B,452.00M,737.00M,,,,,737.00M,900.64M,1.439B,,1.439B,,1.40,,,,1.711,1.40,,1.40,,,,1.710,1.40,,525.42M,528.51M,0.10,,AOR,Restated
2016-06,9.169B,10.36B,7.089B,3.274B,334.00M,,334.00M,,,-56.00M,249.00M,16.00M,-233.00M,1.133B,1.467B,1.807B,16.00M,249.00M,-233.00M,-81.00M,-233.00M,1.493B,543.00M,950.00M,,,,,950.00M,985.63M,1.742B,,1.742B,,1.69,,,,1.753,1.69,,1.68,,,,1.743,1.68,,563.00M,566.04M,0.10,,AOR,Restated
2016-03,8.249B,9.435B,6.615B,2.82B,308.00M,,308.00M,,,-99.00M,239.00M,13.00M,-226.00M,1.078B,1.386B,1.434B,13.00M,239.00M,-226.00M,-91.00M,-226.00M,1.117B,417.00M,700.00M,,,,,700.00M,762.04M,1.356B,,1.356B,,1.15,,,,1.252,1.15,,1.14,,,,1.241,1.14,,606.24M,611.49M,0.10,,AOR,Restated
2015-12,8.496B,9.63B,6.682B,2.948B,343.00M,,343.00M,,,-373.00M,229.00M,10.00M,-219.00M,1.164B,1.507B,1.441B,10.00M,229.00M,-219.00M,-977.00M,-219.00M,245.00M,-3.036B,3.281B,,,,,3.281B,3.505B,474.00M,,474.00M,,5.24,,,,5.597,5.24,,5.09,,,,5.437,5.09,,626.56M,644.14M,0.10,,AOR,Restated
2015-09,9.533B,10.71B,7.047B,3.659B,366.00M,,366.00M,,,-163.00M,219.00M,10.00M,-209.00M,1.131B,1.497B,2.162B,10.00M,219.00M,-209.00M,-244.00M,-209.00M,1.709B,16.00M,1.693B,,,,,1.693B,1.854B,1.928B,,1.928B,,2.56,,,,2.804,2.56,,2.49,,,,2.727,2.49,,661.87M,680.74M,0.10,,AOR,Restated
2015-06,9.608B,10.83B,7.304B,3.523B,350.00M,,350.00M,,,-144.00M,223.00M,10.00M,-213.00M,1.108B,1.458B,2.065B,10.00M,223.00M,-213.00M,-133.00M,-213.00M,1.719B,15.00M,1.704B,,,,,1.704B,1.847B,1.942B,,1.942B,,2.47,,,,2.677,2.47,,2.41,,,,2.612,2.41,,688.73M,707.61M,0.10,,AOR,Restated
2015-03,8.635B,9.827B,6.934B,2.893B,336.00M,,336.00M,,,-303.00M,210.00M,10.00M,-200.00M,1.038B,1.374B,1.519B,10.00M,210.00M,-200.00M,-376.00M,-200.00M,943.00M,11.00M,932.00M,,,,,932.00M,1.231B,1.153B,,1.153B,,1.34,,,,1.770,1.34,,1.30,,,,1.718,1.30,,696.42M,716.93M,0.10,,AOR,Restated
2014-12,9.013B,10.16B,7.509B,2.651B,348.00M,,348.00M,,,-465.00M,220.00M,9.00M,-211.00M,978.00M,1.326B,1.325B,9.00M,220.00M,-211.00M,-547.00M,-211.00M,567.00M,-30.00M,597.00M,,,,,597.00M,899.25M,787.00M,,787.00M,,0.84,,,,1.268,0.84,,0.82,,,,1.237,0.82,,706.18M,724.76M,0.10,,AOR,Restated
2014-09,9.973B,11.14B,8.234B,2.905B,393.00M,,393.00M,,,-221.00M,210.00M,7.00M,-203.00M,1.031B,1.424B,1.481B,7.00M,210.00M,-203.00M,-329.00M,-203.00M,949.00M,7.00M,942.00M,,,,,942.00M,1.161B,1.159B,,1.159B,,1.31,,,,1.615,1.31,,1.28,,,,1.578,1.28,,719.07M,735.20M,0.10,,AOR,Restated
2014-06,10.14B,11.36B,8.236B,3.119B,402.00M,,402.00M,,,-251.00M,214.00M,8.00M,-206.00M,1.067B,1.469B,1.65B,8.00M,214.00M,-206.00M,-240.00M,-206.00M,1.204B,340.00M,864.00M,,,,,864.00M,1.044B,1.418B,,1.418B,,1.20,,,,1.450,1.20,,1.17,,,,1.415,1.17,,720.60M,734.77M,,,AOR,Restated
2014-03,8.871B,9.995B,7.96B,2.035B,401.00M,,401.00M,,,137.00M,243.00M,7.00M,-236.00M,1.041B,1.442B,593.00M,7.00M,243.00M,-236.00M,136.00M,-236.00M,493.00M,13.00M,480.00M,,,,,480.00M,346.61M,736.00M,,736.00M,,0.66,,,,0.4758,0.66,,0.65,,,,0.4701,0.65,,723.97M,741.34M,,,AOR,Restated
2013-12,6.593B,7.368B,5.693B,1.675B,301.00M,,301.00M,,,-2.681B,214.00M,6.00M,-208.00M,798.00M,1.099B,576.00M,6.00M,214.00M,-208.00M,-2.693B,-208.00M,-2.325B,-324.00M,-2.001B,,,,,-2.001B,306.39M,-2.111B,,-2.111B,,-8.66,,,,-2.458,-8.66,,-8.66,,,,-2.458,-8.66,,372.06M,372.06M,,,AOR,Restated
2013-09,6.183B,6.828B,5.079B,1.749B,294.00M,,294.00M,,,-166.00M,226.00M,5.00M,-221.00M,739.00M,1.033B,716.00M,5.00M,226.00M,-221.00M,-206.00M,-221.00M,289.00M,0.00,289.00M,,,,,289.00M,455.00M,515.00M,,515.00M,,1.16,,,,1.825,1.16,,1.02,,,,1.594,1.02,,249.72M,289.04M,,,AOR,Restated
2013-06,5.809B,6.449B,4.922B,1.527B,273.00M,,273.00M,,,-136.00M,161.00M,5.00M,-156.00M,730.00M,1.003B,524.00M,5.00M,161.00M,-156.00M,-148.00M,-156.00M,220.00M,0.00,220.00M,,,,,220.00M,356.00M,381.00M,,381.00M,,0.88,,,,1.425,0.88,,0.79,,,,1.261,0.79,,249.59M,288.51M,,,AOR,Restated
2013-03,5.449B,6.098B,4.964B,1.134B,290.00M,,290.00M,,,-231.00M,254.00M,4.00M,-250.00M,702.00M,992.00M,142.00M,4.00M,254.00M,-250.00M,-255.00M,-250.00M,-363.00M,-22.00M,-341.00M,,,,,-341.00M,-124.00M,-109.00M,,-109.00M,,-1.37,,,,-0.5002,-1.37,,-1.37,,,,-0.5002,-1.37,,249.49M,249.49M,,,AOR,Restated
2012-12,5.322B,5.937B,5.074B,863.00M,,,,,,-498.00M,165.00M,6.00M,-159.00M,-296.00M,762.00M,101.00M,6.00M,165.00M,-159.00M,-248.00M,-159.00M,-306.00M,-569.00M,263.00M,,,,,263.00M,586.70M,-141.00M,,-141.00M,,2.088,,,,4.673,2.088,,1.847,,,,4.432,1.847,,125.23M,125.23M,,,AOR,Restated
2012-09,5.813B,6.429B,5.171B,1.258B,,,,,,-348.00M,148.00M,7.00M,-141.00M,996.00M,996.00M,262.00M,7.00M,148.00M,-141.00M,-359.00M,-141.00M,-238.00M,0.00,-238.00M,,,,,-238.00M,110.00M,-90.00M,,-90.00M,,-1.901,,,,0.8803,-1.901,,-1.901,,,,0.8803,-1.901,,125.12M,125.12M,,,AOR,Restated
2012-06,5.802B,6.452B,5.198B,1.254B,,,,,,-336.00M,152.00M,7.00M,-145.00M,1.006B,1.006B,248.00M,7.00M,152.00M,-145.00M,-344.00M,-145.00M,-241.00M,0.00,-241.00M,,,,,-241.00M,95.00M,-89.00M,,-89.00M,,-1.928,,,,0.7577,-1.928,,-1.928,,,,0.7577,-1.928,,125.12M,125.12M,,,AOR,Restated
2012-03,5.395B,6.037B,5.146B,891.00M,,,,,,-1.412B,166.00M,6.00M,-160.00M,969.00M,969.00M,-78.00M,6.00M,166.00M,-160.00M,-1.422B,-160.00M,-1.66B,0.00,-1.66B,,,,,-1.66B,-248.00M,-1.494B,,-1.494B,,-13.25,,,,-1.968,-13.25,,-13.25,,,,-1.968,-13.25,,125.12M,125.12M,,,AOR,Restated
2011-12,3.357B,5.956B,11.69B,-5.73B,293.00M,,-5.359B,,,-866.00M,185.00M,6.00M,-179.00M,455.00M,-5.719B,-11.00M,6.00M,185.00M,-179.00M,-905.00M,-179.00M,-1.095B,0.00,-1.095B,,,,,-1.095B,-229.00M,-910.00M,,-910.00M,,-8.762,,,,-1.810,-8.762,,-8.762,,,,-1.810,-8.762,,124.57M,124.57M,,,AOR,Restated
2011-09,6.376B,6.376B,3.128B,3.248B,285.00M,1.913B,2.198B,,528.00M,4.00M,211.00M,6.00M,-205.00M,738.00M,3.209B,39.00M,6.00M,211.00M,-205.00M,4.00M,-205.00M,-162.00M,0.00,-162.00M,,,,,-162.00M,-166.00M,322.00M,273.00M,49.00M,,-1.285,0.00,,,-1.317,-1.285,,-1.285,0.00,,,-1.317,-1.285,,124.75M,124.75M,,,AOR,Restated
2011-06,6.114B,6.114B,3.049B,3.065B,268.00M,1.897B,2.165B,,513.00M,-10.00M,205.00M,7.00M,-198.00M,712.00M,3.143B,-78.00M,7.00M,205.00M,-198.00M,-10.00M,-198.00M,-286.00M,0.00,-286.00M,,,,,-286.00M,-276.00M,185.00M,266.00M,-81.00M,,-2.276,0.00,,,-2.196,-2.276,,-2.276,0.00,,,-2.196,-2.276,,125.12M,125.12M,,,AOR,Restated
2011-03,5.533B,5.533B,2.659B,2.874B,256.00M,1.843B,2.099B,,512.00M,-18.00M,193.00M,7.00M,-186.00M,731.00M,3.106B,-232.00M,7.00M,193.00M,-186.00M,-18.00M,-186.00M,-436.00M,0.00,-436.00M,,,,,-436.00M,-418.00M,33.00M,276.00M,-243.00M,,-3.507,0.00,,,-3.363,-3.507,,-3.507,0.00,,,-3.363,-3.507,,124.38M,124.38M,,,AOR,Restated
2010-12,3.175B,5.586B,10.91B,-5.321B,,,,,,35.00M,195.00M,7.00M,-188.00M,1.671B,-5.389B,68.00M,7.00M,195.00M,-188.00M,-13.00M,-188.00M,-133.00M,-35.00M,-98.00M,,,,,-98.00M,-123.79M,62.00M,,62.00M,,-0.7764,,,,-0.9838,-0.7764,,-0.7764,,,,-0.9838,-0.7764,,124.38M,124.38M,,,AOR,Restated
2010-09,5.842B,5.842B,2.45B,3.392B,256.00M,1.861B,2.117B,,503.00M,-10.00M,197.00M,8.00M,-189.00M,659.00M,3.05B,342.00M,8.00M,197.00M,-189.00M,-10.00M,-189.00M,143.00M,0.00,143.00M,,,,,143.00M,153.00M,614.00M,274.00M,340.00M,,1.151,0.00,,,1.232,1.151,,1.044,0.00,,,1.113,1.044,,124.38M,145.29M,,,AOR,Restated
2010-06,5.674B,5.674B,2.492B,3.182B,248.00M,1.835B,2.083B,,497.00M,-12.00M,201.00M,6.00M,-195.00M,636.00M,2.986B,196.00M,6.00M,201.00M,-195.00M,-12.00M,-195.00M,-11.00M,0.00,-11.00M,,,,,-11.00M,1.00M,457.00M,267.00M,190.00M,,-0.0803,0.00,,,0.0162,-0.0803,,-0.0803,0.00,,,0.0162,-0.0803,,124.38M,124.38M,,,AOR,Restated
2010-03,5.068B,5.068B,2.308B,2.76B,234.00M,1.818B,2.052B,,481.00M,-13.00M,199.00M,5.00M,-194.00M,739.00M,3.058B,-298.00M,5.00M,199.00M,-194.00M,-13.00M,-194.00M,-505.00M,0.00,-505.00M,,,,,-505.00M,-492.00M,-39.00M,267.00M,-306.00M,,-4.070,0.00,,,-3.965,-4.070,,-4.070,0.00,,,-3.965,-4.070,,124.38M,124.38M,,,AOR,Restated
2009-12,5.062B,5.062B,1.446B,3.616B,207.00M,1.72B,1.927B,,476.00M,-88.00M,240.00M,49.00M,-191.00M,778.00M,2.983B,633.00M,49.00M,240.00M,-191.00M,-88.00M,-191.00M,-598.00M,-254.00M,-344.00M,,,,,-344.00M,-286.80M,-80.00M,278.00M,-358.00M,,-2.651,0.00,,,-2.191,-2.651,,-2.651,0.00,,,-2.191,-2.651,,124.38M,124.38M,,,AOR,Restated
2009-09,5.127B,5.127B,1.44B,3.687B,222.00M,1.701B,1.923B,,470.00M,-95.00M,171.00M,7.00M,-164.00M,682.00M,2.877B,810.00M,7.00M,171.00M,-164.00M,-95.00M,-164.00M,-389.00M,-30.00M,-359.00M,,,,,-359.00M,-271.33M,54.00M,272.00M,-218.00M,,-3.373,0.00,,,-2.550,-3.373,,-3.373,0.00,,,-2.550,-3.373,,106.45M,106.45M,,,AOR,Restated
2009-06,4.889B,4.889B,1.307B,3.582B,207.00M,1.698B,1.905B,,464.00M,-39.00M,167.00M,19.00M,-148.00M,670.00M,2.857B,725.00M,19.00M,167.00M,-148.00M,-39.00M,-148.00M,-390.00M,0.00,-390.00M,,,,,-390.00M,-351.00M,59.00M,282.00M,-223.00M,,-3.722,0.00,,,-3.349,-3.722,,-3.722,0.00,,,-3.349,-3.722,,104.58M,104.58M,,,AOR,Restated
2009-03,4.839B,4.839B,1.269B,3.57B,217.00M,1.688B,1.905B,,448.00M,-29.00M,176.00M,11.00M,-165.00M,678.00M,2.855B,715.00M,11.00M,176.00M,-165.00M,-29.00M,-165.00M,-375.00M,0.00,-375.00M,,,,,-375.00M,-346.00M,73.00M,272.00M,-199.00M,,-3.614,0.00,,,-3.336,-3.614,,-3.614,0.00,,,-3.336,-3.614,,104.21M,104.21M,,,AOR,Restated
2008-12,5.469B,5.469B,1.803B,3.666B,217.00M,1.72B,1.937B,,433.00M,-32.00M,161.00M,20.00M,-141.00M,752.00M,2.974B,692.00M,20.00M,161.00M,-141.00M,-32.00M,-141.00M,-347.00M,0.00,-347.00M,,,,,-347.00M,-315.00M,99.00M,285.00M,-186.00M,,-3.106,0.00,,,-2.796,-3.106,,-3.106,0.00,,,-2.796,-3.106,,103.46M,103.46M,,,AOR,Restated
2008-09,6.421B,6.421B,2.695B,3.726B,264.00M,1.633B,1.897B,,466.00M,377.00M,204.00M,47.00M,-157.00M,797.00M,2.983B,743.00M,47.00M,204.00M,-157.00M,377.00M,-157.00M,31.00M,0.00,31.00M,,,,,31.00M,-346.00M,524.00M,289.00M,235.00M,,0.3213,0.00,,,-3.591,0.3213,,0.3213,0.00,,,-3.445,0.3213,,96.36M,100.10M,,,AOR,Restated
2008-06,6.179B,6.179B,2.436B,3.743B,259.00M,1.658B,1.917B,,443.00M,-1.192B,199.00M,56.00M,-143.00M,742.00M,2.983B,760.00M,56.00M,199.00M,-143.00M,-1.192B,-143.00M,-1.461B,0.00,-1.461B,,,,,-1.461B,-269.00M,-938.00M,324.00M,-1.262B,,-15.61,0.00,,,-2.894,-15.61,,-15.61,0.00,,,-2.894,-15.61,,93.75M,93.75M,,,AOR,Restated
2008-03,5.697B,5.697B,2.044B,3.653B,257.00M,1.644B,1.901B,,448.00M,-5.00M,207.00M,58.00M,-149.00M,734.00M,2.944B,709.00M,58.00M,207.00M,-149.00M,-5.00M,-149.00M,-341.00M,0.00,-341.00M,,,,,-341.00M,-336.00M,175.00M,309.00M,-134.00M,,-3.668,0.00,,,-3.614,-3.668,,-3.668,0.00,,,-3.614,-3.668,,93.00M,93.00M,,,AOR,Restated
2007-12,5.683B,5.683B,1.827B,3.856B,241.00M,1.723B,1.964B,,448.00M,65.00M,208.00M,80.00M,-128.00M,692.00M,2.966B,890.00M,80.00M,208.00M,-128.00M,65.00M,-128.00M,-69.00M,0.00,-69.00M,,,,,-69.00M,-134.00M,449.00M,310.00M,139.00M,,-0.7764,0.00,,,-1.478,-0.7764,,-0.7764,0.00,,,-1.364,-0.7764,,92.63M,110.56M,,,AOR,Restated
2007-09,5.946B,5.946B,1.68B,4.266B,270.00M,1.721B,1.991B,,476.00M,-10.00M,224.00M,90.00M,-134.00M,697.00M,2.995B,1.271B,90.00M,224.00M,-134.00M,-10.00M,-134.00M,175.00M,0.00,175.00M,,,,,175.00M,185.00M,706.00M,307.00M,399.00M,,1.874,0.00,,,1.982,1.874,,1.633,0.00,,,1.722,1.633,,93.00M,112.05M,,,AOR,Restated
2007-06,5.879B,5.879B,1.58B,4.299B,268.00M,1.655B,1.923B,,465.00M,-10.00M,235.00M,95.00M,-140.00M,684.00M,2.902B,1.397B,95.00M,235.00M,-140.00M,-10.00M,-140.00M,317.00M,0.00,317.00M,,,,,317.00M,327.00M,847.00M,295.00M,552.00M,,3.427,0.00,,,3.536,3.427,,2.892,0.00,,,2.981,2.892,,91.88M,111.68M,,,AOR,Restated
2007-03,5.427B,5.427B,1.305B,4.122B,249.00M,1.671B,1.92B,,480.00M,-12.00M,241.00M,86.00M,-155.00M,704.00M,2.914B,1.208B,86.00M,241.00M,-155.00M,-12.00M,-155.00M,81.00M,0.00,81.00M,,,,,81.00M,93.00M,612.00M,290.00M,322.00M,,0.9371,0.00,,,1.073,0.9371,,0.8032,0.00,,,0.9110,0.8032,,88.15M,111.30M,,,AOR,Restated
2006-12,5.397B,5.397B,,,,,2.786B,,,-25.00M,,,,-7.633B,-4.558B,3.963B,,,,-25.00M,,17.00M,0.00,17.00M,,,,,17.00M,42.00M,675.00M,289.00M,386.00M,,0.1606,0.00,,,0.4649,0.1606,,0.1606,0.00,,,0.3516,0.1606,,82.17M,130.91M,,,AOR,Restated
2006-09,5.847B,5.847B,,,,,1.694B,,,-90.00M,,,,3.579B,5.563B,284.00M,,,,-90.00M,,15.00M,0.00,15.00M,,,,,15.00M,105.00M,574.00M,290.00M,284.00M,,0.1874,0.00,,,1.312,0.1874,,0.1606,0.00,,,1.124,0.1606,,80.04M,93.38M,,,AOR,Restated
2006-06,5.975B,5.975B,,,,,1.68B,,,7.00M,,,,3.528B,5.499B,476.00M,,,,7.00M,,291.00M,0.00,291.00M,,,,,291.00M,284.00M,767.00M,291.00M,476.00M,,3.855,0.00,,,3.763,3.855,,3.052,0.00,,,2.979,3.052,,75.48M,95.34M,,,AOR,Restated
2006-03,5.344B,5.344B,,,,,1.729B,,,1.00M,,,,3.213B,5.229B,115.00M,,,,1.00M,,-92.00M,0.00,-92.00M,,,,,-92.00M,-93.00M,402.00M,287.00M,115.00M,,-1.312,0.00,,,-1.326,-1.312,,-1.312,0.00,,,-1.326,-1.312,,70.13M,70.13M,,,AOR,Restated
2005-12,5.168B,5.168B,3.666B,1.502B,-264.00M,2.494B,2.23B,296.00M,-454.00M,-5.00M,,,,3.476B,6.002B,-4.50B,,,,-5.00M,,-600.00M,0.00,-600.00M,,,,,-600.00M,-595.00M,-2.468B,2.032B,-4.50B,,-9.639,0.00,,,-9.562,-9.639,,-9.639,0.00,,,-9.562,-9.639,,64.91M,64.91M,,,AOR,Restated
2005-09,5.485B,5.485B,,,,,1.664B,292.00M,,8.00M,,,,3.49B,5.446B,39.00M,,,,8.00M,,-153.00M,0.00,-153.00M,,,,,-153.00M,-161.00M,331.00M,-292.00M,39.00M,,-2.490,0.00,,,-2.620,-2.490,,-2.490,0.00,,,-2.620,-2.490,,61.45M,61.45M,,,AOR,Restated
