,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-12,28.44B,28.44B,12.09B,16.35B,13.28B,,703.00M,17.00M,-686.00M,,17.46B,-1.112B,17.00M,703.00M,-686.00M,-4.00M,-686.00M,-1.802B,-1.59B,-212.00M,,,-1.811B,,-2.023B,-2.023B,3.081B,4.18B,-1.099B,-0.71,0.0,,,-0.71,-0.71,-0.71,0.0,,,-0.71,-0.71,2.836B,2.842B,0.5
2011-09,27.91B,27.91B,11.40B,16.52B,7.689B,7.00M,698.00M,16.00M,-682.00M,,11.87B,4.647B,16.00M,698.00M,-682.00M,133.00M,-682.00M,4.098B,556.00M,3.542B,,,-2.163B,,1.379B,1.372B,8.975B,4.179B,4.796B,0.49,0.0,,,0.4876,0.49,0.49,0.0,,,0.4876,0.49,2.834B,2.839B,0.5
2011-06,27.54B,27.54B,11.16B,16.38B,7.373B,5.00M,717.00M,16.00M,-701.00M,,11.49B,4.892B,16.00M,717.00M,-701.00M,115.00M,-701.00M,4.306B,702.00M,3.604B,,,-1.995B,,1.609B,1.614B,9.136B,4.113B,5.023B,0.57,0.0,,,0.5718,0.57,0.57,0.0,,,0.5718,0.57,2.832B,2.838B,0.4875
2011-03,26.99B,26.99B,11.23B,15.76B,7.284B,36.00M,709.00M,,-709.00M,,11.31B,4.453B,,709.00M,-709.00M,137.00M,-709.00M,3.881B,617.00M,3.264B,,,-1.825B,,1.439B,1.409B,8.614B,4.024B,4.59B,0.51,0.0,,,0.4993,0.51,0.51,0.0,,,0.4993,0.51,2.83B,2.834B,0.4875
2010-12,26.40B,26.40B,10.61B,15.78B,5.291B,,567.00M,31.00M,-536.00M,,9.374B,6.411B,31.00M,567.00M,-536.00M,125.00M,-536.00M,6.00B,1.352B,4.648B,,,-2.009B,,2.639B,2.637B,10.65B,4.083B,6.567B,0.93,0.0,,,0.9295,0.93,0.93,0.0,,,0.9295,0.93,2.83B,2.842B,0.4875
2010-09,26.48B,26.48B,10.67B,15.81B,8.407B,-51.00M,597.00M,17.00M,-580.00M,,12.43B,3.383B,17.00M,597.00M,-580.00M,73.00M,-580.00M,2.876B,178.00M,2.698B,,,-2.039B,,659.00M,722.79M,7.496B,4.023B,3.473B,0.23,0.0,,,0.2525,0.23,0.23,0.0,,,0.2525,0.23,2.829B,2.83B,0.4875
2010-06,26.77B,26.77B,12.22B,14.56B,9.97B,-1.00M,679.00M,17.00M,-662.00M,,14.15B,410.00M,17.00M,679.00M,-662.00M,120.00M,-662.00M,-132.00M,-685.00M,553.00M,,,-1.745B,,-1.192B,-1.191B,4.724B,4.177B,547.00M,-0.42,0.0,,,-0.4198,-0.42,-0.42,0.0,,,-0.4198,-0.42,2.827B,2.827B,0.475
2010-03,26.91B,26.91B,10.65B,16.26B,7.698B,5.00M,680.00M,27.00M,-653.00M,,11.82B,4.441B,27.00M,680.00M,-653.00M,152.00M,-653.00M,3.94B,1.622B,2.318B,,,-1.875B,,443.00M,430.65M,8.742B,4.122B,4.62B,0.16,0.0,,,0.1556,0.16,0.16,0.0,,,0.1556,0.16,2.836B,2.837B,0.475
2009-12,27.09B,27.09B,12.79B,14.30B,7.174B,-2.00M,686.00M,16.00M,-670.00M,,11.42B,2.88B,16.00M,686.00M,-670.00M,129.00M,-670.00M,2.339B,-5.00M,2.344B,,,-1.754B,,590.00M,591.30M,7.268B,4.243B,3.025B,-0.23,0.0,,,-0.2295,-0.23,-0.23,0.0,,,-0.2295,-0.23,2.841B,2.841B,0.475
2009-09,27.26B,27.26B,11.00B,16.27B,8.111B,-5.00M,704.00M,18.00M,-686.00M,,12.28B,3.986B,18.00M,704.00M,-686.00M,161.00M,-686.00M,3.461B,574.00M,2.887B,,,-1.711B,,1.176B,1.180B,8.337B,4.172B,4.165B,0.41,0.0,,,0.4115,0.41,0.41,0.0,,,0.4115,0.41,2.841B,2.841B,0.475
2009-06,26.86B,26.86B,10.48B,16.38B,7.871B,-7.00M,787.00M,18.00M,-769.00M,,11.96B,4.418B,18.00M,787.00M,-769.00M,121.00M,-769.00M,3.77B,610.00M,3.16B,,,-1.677B,,1.483B,1.489B,8.648B,4.091B,4.557B,0.52,0.0,,,0.5221,0.52,0.52,0.0,,,0.5221,0.52,2.841B,2.841B,0.46
2009-03,26.59B,26.59B,10.31B,16.28B,7.561B,30.00M,925.00M,23.00M,-902.00M,,11.59B,4.694B,23.00M,925.00M,-902.00M,158.00M,-902.00M,3.95B,740.00M,3.21B,,,-1.565B,,1.645B,1.621B,8.903B,4.028B,4.875B,0.58,0.0,,,0.5714,0.58,0.58,0.0,,,0.5714,0.58,2.841B,2.841B,0.46
2008-12,24.64B,24.64B,9.584B,15.06B,21.71B,-18.00M,517.00M,127.00M,-390.00M,,25.50B,-10.44B,127.00M,517.00M,-390.00M,45.00M,-390.00M,-10.78B,-5.095B,-5.69B,,,-1.696B,,-7.386B,-7.374B,-6.476B,3.792B,-10.27B,-2.59,0.0,,,-2.5860000000000003,-2.59,-2.59,0.0,,,-2.5860000000000003,-2.59,2.84B,2.84B,0.46
2008-09,24.75B,24.75B,10.05B,14.70B,6.879B,-18.00M,440.00M,123.00M,-317.00M,,10.53B,4.173B,123.00M,440.00M,-317.00M,193.00M,-317.00M,4.049B,850.00M,3.199B,,,-1.53B,,1.669B,1.683B,8.141B,3.652B,4.489B,0.59,0.0,,,0.595,0.59,0.59,0.0,,,0.595,0.59,2.844B,2.845B,0.46
2008-06,24.12B,24.12B,9.466B,14.66B,6.528B,,403.00M,,-403.00M,,10.11B,4.546B,,403.00M,-403.00M,242.00M,-403.00M,4.385B,981.00M,3.404B,,,-1.522B,,1.882B,1.882B,8.372B,3.584B,4.788B,0.66,0.0,,,0.66,0.66,0.66,0.0,,,0.66,0.66,2.85B,2.851B,0.43
2008-03,23.83B,23.83B,9.517B,14.32B,6.401B,-32.00M,459.00M,55.00M,-404.00M,,9.983B,4.333B,55.00M,459.00M,-404.00M,65.00M,-404.00M,3.994B,945.00M,3.049B,,,-1.407B,,1.642B,1.666B,8.035B,3.582B,4.453B,0.57,0.0,,,0.5785,0.57,0.57,0.0,,,0.5785,0.57,2.863B,2.865B,0.43
2007-12,23.84B,23.84B,9.796B,14.04B,6.955B,25.00M,,,,,10.62B,3.423B,,,,132.00M,,6.884B,759.00M,6.125B,0.00,0.00,-1.333B,,1.072B,1.050B,7.885B,3.666B,4.219B,0.37,0.0,0.0,,0.3623,0.38,0.37,0.0,-0.0001,,0.3623,0.37,2.886B,2.89B,0.43
2007-09,23.77B,23.77B,9.608B,14.16B,6.349B,14.00M,,,,,9.954B,4.21B,,,,161.00M,,2.658B,1.387B,1.271B,,,-1.298B,,1.271B,1.262B,7.815B,3.605B,4.21B,0.44,0.0,,,0.4369,0.44,0.44,0.0,,,0.4369,0.44,2.896B,2.90B,0.43
2007-06,23.27B,23.27B,9.231B,14.04B,6.32B,-14.00M,,,,,9.893B,4.149B,,,,171.00M,,2.638B,955.00M,1.683B,,,-1.268B,,1.683B,1.692B,7.722B,3.573B,4.149B,0.58,0.0,,,0.5831,0.58,0.58,0.0,,,0.5831,0.58,2.903B,2.907B,0.405
2007-03,22.58B,22.58B,8.912B,13.67B,6.343B,4.00M,,,,,9.876B,3.796B,,,,164.00M,,2.365B,881.00M,1.484B,142.00M,-131.00M,-1.154B,,1.495B,1.481B,7.329B,3.533B,3.796B,0.51,0.05,0.0,,0.5091,0.51,0.51,0.05,-0.045,,0.5091,0.51,2.909B,2.911B,0.405
2006-12,22.61B,22.61B,9.152B,13.45B,6.345B,76.00M,,,,,10.01B,3.444B,,,,230.00M,,6.122B,694.00M,5.428B,-358.00M,0.00,-1.098B,,1.032B,1.323B,8.277B,3.598B,4.612B,0.47,-0.12,0.0,,0.4469,0.36,0.47,-0.12,0.0,,0.4469,0.36,2.915B,2.917B,0.405
2006-09,22.46B,22.46B,8.932B,13.53B,6.384B,60.00M,,,,,9.99B,3.537B,,,,348.00M,,2.265B,720.00M,1.545B,377.00M,,-1.088B,,1.922B,1.504B,7.165B,3.628B,3.537B,0.53,0.13,,,0.5159,0.66,0.53,0.13,,,0.516,0.66,2.907B,2.923B,0.405
2006-06,21.89B,21.89B,8.709B,13.18B,6.353B,12.00M,,,,,9.96B,3.217B,,,,183.00M,,1.872B,609.00M,1.263B,348.00M,,-986.00M,,1.611B,1.255B,6.869B,3.652B,3.217B,0.43,0.12,,,0.4272,0.55,0.43,0.12,,,0.4273,0.55,2.91B,2.949B,0.405
2006-03,21.23B,21.23B,8.516B,12.72B,5.873B,48.00M,,,,,9.54B,3.175B,,,,205.00M,,1.933B,651.00M,1.282B,392.00M,-42.00M,-866.00M,,1.632B,1.250B,6.842B,3.667B,3.175B,0.44,0.13,0.0,,0.4291,0.56,0.44,0.13,-0.0144,,0.4293,0.56,2.915B,2.963B,0.405
2005-12,15.30B,15.30B,6.019B,9.278B,4.061B,-6.00M,,,,,7.987B,1.291B,,,,138.00M,,3.516B,35.00M,3.481B,1.178B,,-932.00M,,1.658B,485.94M,6.214B,3.141B,2.818B,0.18,0.43,,,0.1822,0.6,0.18,0.42,,,0.1821,0.6,2.763B,2.814B,0.405
2005-09,18.49B,18.49B,6.361B,12.12B,5.195B,64.00M,,,,,8.628B,3.497B,,,,246.00M,,2.494B,702.00M,1.792B,77.00M,,-748.00M,,1.869B,1.746B,7.185B,3.688B,3.497B,0.65,0.03,,,0.6334,0.68,0.64,0.03,,,0.6237,0.67,2.765B,2.817B,0.405
2005-06,18.05B,18.05B,6.077B,11.98B,5.11B,607.00M,,,,,8.52B,3.456B,,,,785.00M,,3.002B,933.00M,2.069B,44.00M,,-711.00M,,2.113B,1.651B,6.866B,3.326B,3.456B,0.75,0.02,,,0.5988,0.76,0.74,0.02,,,0.5915,0.75,2.766B,2.818B,0.405
2005-03,18.18B,18.18B,6.123B,12.06B,5.214B,97.00M,,,,,8.674B,3.382B,,,,290.00M,,2.536B,779.00M,1.757B,,,-613.00M,,1.757B,1.690B,6.842B,3.46B,3.382B,0.63,0.0,,,0.6057,0.63,0.63,0.0,,,0.6062,0.63,2.769B,2.821B,0.405
2004-12,12.73B,12.73B,4.928B,7.803B,3.539B,24.00M,,,,,6.697B,1.106B,,,,1.072B,,3.497B,13.00M,3.484B,1.884B,,-494.00M,,3.039B,1.131B,6.036B,3.158B,2.878B,0.42,0.68,,,0.4114,1.1,0.42,0.66,,,0.4115,1.08,2.773B,2.825B,0.385
2004-09,18.21B,18.21B,5.994B,12.21B,5.132B,,,,,,8.615B,3.597B,,,,224.00M,,2.58B,801.00M,1.779B,17.00M,,-682.00M,,1.796B,1.779B,7.08B,3.483B,3.597B,0.64,0.01,,,0.64,0.65,0.64,0.01,,,0.64,0.64,2.769B,2.82B,0.385
2004-06,17.76B,17.76B,5.62B,12.14B,5.00B,-2.00M,,,,,8.437B,3.701B,,,,210.00M,,2.641B,859.00M,1.782B,15.00M,,-676.00M,,1.797B,1.783B,7.138B,3.437B,3.701B,0.64,0.01,,,0.6405,0.65,0.64,0.01,,,0.6405,0.64,2.77B,2.834B,0.385
2004-03,17.06B,17.06B,5.49B,11.57B,5.675B,-14.00M,,,,,9.10B,2.466B,,,,185.00M,,1.588B,405.00M,1.183B,,,-477.00M,,1.183B,1.193B,5.891B,3.425B,2.466B,0.43,0.0,,,0.4338,0.43,0.42,0.0,,,0.4237,0.43,2.77B,2.847B,0.385
2003-12,17.20B,17.20B,5.852B,11.35B,10.07B,-151.00M,,,,,13.66B,-2.311B,,,,774.00M,,-977.00M,-1.023B,112.00M,13.00M,0.00,-451.00M,,-1.458B,-1.380B,2.921B,3.445B,-524.00M,-0.53,-0.18,0.0,,-0.4972,-0.53,-0.53,-0.18,-0.0029,,-0.4995,-0.53,2.765B,2.97B,0.385
2003-09,17.06B,17.06B,5.706B,11.36B,4.891B,220.00M,,,,-141.00M,8.166B,3.191B,,,,578.00M,,2.544B,758.00M,1.786B,5.00M,,-410.00M,,1.791B,1.632B,6.607B,3.411B,3.191B,0.65,0.0,,,0.594,0.65,0.64,0.0,,,0.5847,0.64,2.759B,2.791B,0.385
2003-06,16.83B,16.83B,5.042B,11.79B,5.673B,5.00M,,,,,9.057B,2.73B,,,,172.00M,,1.839B,573.00M,1.266B,-928.00M,,-380.00M,,338.00M,1.263B,6.114B,3.384B,2.73B,0.46,-0.34,,,0.4588,0.12,0.46,-0.34,,,0.4588,0.12,2.754B,2.786B,0.385
2003-03,16.49B,16.49B,5.124B,11.37B,4.292B,18.00M,,,,,7.659B,3.707B,,,,166.00M,,2.834B,924.00M,1.91B,-7.00M,503.00M,-342.00M,,2.406B,1.898B,7.074B,3.367B,3.707B,0.7,0.18,0.0,,0.6956,0.88,0.69,0.18,0.1809,,0.6856,0.87,2.748B,2.78B,0.385
2002-12,16.91B,16.91B,4.971B,11.94B,5.883B,2.784B,,,,,12.02B,-82.00M,,,,58.00M,,2.983B,-668.00M,3.651B,43.00M,0.00,-382.00M,,2.29B,576.60M,1.839B,3.387B,-1.548B,0.82,0.01,0.0,,0.2099,0.83,0.81,0.01,0.0002,,0.2428,0.83,2.738B,2.945B,0.385
