,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,4.666B,,30.00M,-151.00M,-121.00M,4.324B,4.324B,702.00M,-1.129B,,,-2.033B,,6.648B,-5.522B,,,-970.00M,-32.00M,,269.00M,-5.285B,150.00M,,150.00M,,,,-2.407B,-2.407B,941.00M,-1.316B,2.888B,47.00M,2.935B,,3.134B,-2.984B,
2017-12,18.78B,0.00,17.00M,774.00M,791.00M,4.456B,4.456B,-17.04B,209.00M,,,319.00M,,7.843B,-6.079B,,,-114.00M,367.00M,,243.00M,-5.469B,-576.00M,,-576.00M,,,,-2.405B,-2.405B,-1.573B,-4.554B,5.068B,-2.18B,2.888B,,7.204B,-7.78B,
2017-09,3.736B,0.00,33.00M,-111.00M,-78.00M,4.272B,4.272B,697.00M,868.00M,,,-2.536B,,7.169B,-4.425B,,,-154.00M,86.00M,,611.00M,-3.728B,-257.00M,152.00M,-105.00M,,,,-2.357B,-2.357B,-1.035B,-3.497B,5.124B,-56.00M,5.068B,,5.906B,-6.011B,
2017-06,4.478B,-1.774B,39.00M,-112.00M,-1.847B,4.167B,4.167B,-145.00M,-302.00M,,,1.277B,,7.93B,-4.063B,,,-119.00M,-973.00M,,327.00M,-4.709B,-152.00M,-100.00M,-252.00M,,,,-2.356B,-2.356B,-157.00M,-2.765B,4.668B,456.00M,5.124B,,4.55B,-4.854B,
2017-03,3.553B,,28.00M,-111.00M,-83.00M,4.059B,4.059B,2.025B,-3.51B,,,-4.998B,,1.376B,-3.263B,,,-196.00M,-1.746B,,459.00M,-4.55B,8.745B,-52.00M,8.693B,,,,-2.354B,-2.354B,-1.674B,4.665B,3.177B,1.491B,4.668B,,14.34B,-5.592B,
2016-12,4.60B,0.00,44.00M,-1.826B,-1.782B,3.987B,3.987B,1.268B,-1.82B,,,-2.745B,,3.965B,-5.785B,,,-124.00M,-2.802B,,1.252B,-7.335B,2.555B,120.00M,2.675B,,,,-2.354B,-2.354B,-483.00M,-162.00M,6.441B,-3.532B,3.177B,,7.204B,-4.529B,
2016-09,3.747B,0.00,36.00M,510.00M,546.00M,3.942B,3.942B,754.00M,-1.542B,,,-2.943B,,4.816B,-4.253B,,,-128.00M,-785.00M,,-154.00M,-5.192B,7.536B,-730.00M,6.806B,,,,-2.303B,-2.303B,-543.00M,3.96B,2.857B,3.584B,6.441B,,10.75B,-3.33B,
2016-06,831.00M,-1.007B,29.00M,3.665B,2.687B,3.982B,3.982B,-3.252B,770.00M,,,95.00M,,5.411B,-4.037B,,,-151.00M,9.865B,,261.00M,6.089B,-10.92B,650.00M,-10.27B,,,,-2.303B,-2.303B,-1.912B,-14.49B,5.846B,-2.989B,2.857B,,0.00,-10.88B,
2016-03,4.43B,,29.00M,356.00M,385.00M,4.017B,4.017B,167.00M,-693.00M,,,-1.162B,,7.497B,-3.518B,,,-131.00M,-161.00M,,243.00M,-3.436B,-376.00M,-40.00M,-416.00M,,,,-2.302B,-2.302B,33.00M,-2.685B,4.47B,1.376B,5.846B,,0.00,-416.00M,
2015-12,5.513B,,29.00M,-2.931B,-2.902B,4.039B,4.039B,2.626B,-149.00M,,,1.00B,,10.60B,-5.366B,,,-131.00M,-292.00M,,211.00M,-5.447B,-2.002B,-39.00M,-2.041B,-31.00M,0.00,-31.00M,-2.165B,-2.165B,-322.00M,-4.559B,3.875B,595.00M,4.47B,-31.00M,170.00M,-2.211B,0.00
2015-09,4.171B,,26.00M,623.00M,649.00M,4.009B,4.009B,64.00M,-792.00M,,,1.027B,,9.52B,-4.521B,,,-134.00M,20.00M,,76.00M,-4.425B,-1.371B,-199.00M,-1.57B,31.00M,-60.00M,-29.00M,-2.107B,-2.107B,-522.00M,-4.228B,3.008B,867.00M,3.875B,31.00M,0.00,-1.676B,-60.00M
2015-06,4.353B,,28.00M,277.00M,305.00M,3.98B,3.98B,3.00M,-1.569B,,,1.304B,,8.737B,-4.61B,,,-122.00M,-3.223B,,838.00M,-6.995B,-221.00M,-588.00M,-809.00M,0.00,-74.00M,-74.00M,-2.113B,-2.113B,-124.00M,-3.12B,4.386B,-1.378B,3.008B,0.00,0.00,-221.00M,-74.00M
2015-03,4.338B,,44.00M,284.00M,328.00M,3.989B,3.989B,823.00M,1.196B,,,-888.00M,,10.17B,-13.22B,,,-9.555B,-2.00M,,46.00M,-13.18B,921.00M,482.00M,1.403B,0.00,-5.00B,-5.00B,-2.153B,-2.153B,2.545B,-3.205B,10.60B,-6.212B,4.386B,0.00,6.497B,-5.576B,-5.00B
2014-12,-2.148B,,42.00M,7.287B,7.329B,4.068B,4.068B,-1.006B,164.00M,,,-1.344B,,7.474B,-4.578B,,,-11.00M,-2.00M,,-846.00M,-5.426B,4.317B,-49.00M,4.268B,0.00,0.00,0.00,-2.15B,-2.15B,-786.00M,1.332B,7.218B,3.38B,10.60B,0.00,9.392B,-5.124B,0.00
2014-09,3.794B,,56.00M,281.00M,337.00M,4.167B,4.167B,661.00M,-848.00M,,,31.00M,,8.353B,-4.202B,,,-72.00M,119.00M,,-1.00M,-4.084B,53.00M,-705.00M,-652.00M,0.00,0.00,0.00,-2.07B,-2.07B,-105.00M,-2.827B,5.776B,1.442B,7.218B,0.00,1.33B,-1.703B,0.00
2014-06,4.324B,,53.00M,281.00M,334.00M,4.161B,4.161B,408.00M,-2.583B,,,779.00M,,7.665B,-4.402B,,,2.309B,-22.00M,,242.00M,-1.815B,-73.00M,27.00M,-46.00M,0.00,0.00,0.00,-2.066B,-2.066B,-869.00M,-2.981B,2.907B,2.869B,5.776B,0.00,3.041B,-3.366B,0.00
2014-03,5.986B,,-1.894B,281.00M,-1.613B,4.137B,4.137B,-155.00M,179.00M,,,-1.626B,,7.139B,-4.363B,,,-213.00M,-157.00M,,-11.00M,-4.531B,9.001B,252.00M,9.253B,34.00M,0.00,34.00M,-1.517B,-1.517B,-61.00B,-53.23B,53.53B,-50.62B,2.907B,34.00M,17.20B,-7.951B,0.00
2013-12,7.916B,,-2.00M,-5.701B,-5.703B,4.183B,4.183B,2.774B,-59.00M,,,1.073B,,10.43B,-4.947B,,,-150.00M,-413.00M,,550.00M,-4.81B,-5.771B,182.00M,-5.589B,9.00M,0.00,9.00M,-1.516B,-1.516B,-1.707B,-8.803B,56.71B,-3.182B,53.53B,9.00M,0.00,-5.913B,0.00
2013-09,5.578B,,-5.00M,295.00M,290.00M,4.154B,4.154B,1.199B,-803.00M,,,582.00M,,11.24B,-4.357B,,,1.945B,-5.00M,,63.00M,-2.188B,48.60B,108.00M,48.71B,2.00M,0.00,2.00M,-1.474B,-1.474B,-1.37B,45.87B,1.788B,54.92B,56.71B,2.00M,48.67B,-62.00M,0.00
2013-06,5.198B,,-109.00M,59.00M,-50.00M,4.151B,4.151B,934.00M,-694.00M,,,-169.00M,,9.617B,-4.161B,,,-147.00M,-55.00M,,-20.00M,-4.236B,-2.258B,-1.013B,-3.271B,18.00M,0.00,18.00M,-1.474B,-1.474B,-4.341B,-9.068B,5.475B,-3.687B,1.788B,18.00M,-582.00M,-2.257B,0.00
2013-03,4.855B,,14.00M,295.00M,309.00M,4.118B,4.118B,878.00M,-1.398B,,,-1.491B,,7.531B,-3.719B,,,-117.00M,-21.00M,,141.00M,-3.599B,427.00M,581.00M,1.008B,56.00M,-153.00M,-97.00M,-1.472B,-1.472B,-989.00M,-1.55B,3.093B,2.382B,5.475B,56.00M,1.081B,-73.00M,-153.00M
2012-12,-1.926B,,274.00M,7.072B,7.346B,4.137B,4.137B,-2.617B,-269.00M,,,-206.00M,,6.728B,-5.342B,,,-119.00M,-75.00M,-28.00M,5.00M,-5.077B,964.00M,-1.812B,-848.00M,37.00M,0.00,37.00M,-1.343B,-1.343B,-6.118B,-8.272B,9.714B,-6.621B,3.093B,37.00M,4.489B,-4.962B,0.00
2012-09,4.292B,,-48.00M,375.00M,327.00M,4.167B,4.167B,428.00M,-854.00M,,,939.00M,,9.487B,-7.668B,,,-3.783B,-635.00M,7.00M,455.00M,-7.841B,-987.00M,1.262B,275.00M,68.00M,0.00,68.00M,-1.30B,-1.30B,-976.00M,-1.933B,10.00B,-287.00M,9.714B,68.00M,0.00,-100.00M,0.00
2012-06,4.285B,,-60.00M,376.00M,316.00M,4.128B,4.128B,581.00M,-683.00M,,,444.00M,,9.314B,-3.873B,,,-8.00M,-63.00M,5.00M,20.00M,-3.911B,-63.00M,847.00M,784.00M,141.00M,0.00,141.00M,-1.296B,-1.296B,-940.00M,-1.311B,5.909B,4.092B,10.00B,141.00M,0.00,-950.00M,0.00
2012-03,3.906B,,-89.00M,375.00M,286.00M,4.028B,4.028B,656.00M,-1.617B,,,-1.58B,,5.957B,-3.59B,,,-25.00M,-140.00M,16.00M,41.00M,-3.673B,-1.828B,-1.734B,-3.562B,69.00M,0.00,69.00M,-1.291B,-1.291B,-4.953B,-9.737B,13.36B,-7.453B,5.909B,69.00M,0.00,-1.828B,0.00
2011-12,-212.00M,,-66.00M,5.998B,5.932B,4.18B,4.18B,-2.124B,-54.00M,,,274.00M,,8.268B,-3.743B,,,-45.00M,-119.00M,-8.00M,32.00M,-3.838B,165.00M,111.00M,276.00M,102.00M,,102.00M,,-1.416B,-354.00M,-1.392B,10.32B,3.038B,13.36B,102.00M,6.478B,-4.385B,
2011-09,3.542B,,297.00M,702.00M,999.00M,4.179B,4.179B,400.00M,-464.00M,,,-192.00M,,8.72B,-3.804B,,,-176.00M,-10.00M,-4.00M,278.00M,-3.54B,6.00M,805.00M,811.00M,17.00M,,17.00M,,-1.38B,-544.00M,-1.096B,6.24B,4.084B,10.32B,17.00M,70.00M,-64.00M,
2011-06,3.604B,,-109.00M,353.00M,244.00M,4.113B,4.113B,711.00M,-852.00M,,,-291.00M,,7.757B,-4.555B,,,,-1.564B,23.00M,599.00M,-5.497B,-6.804B,-1.372B,-8.176B,52.00M,,52.00M,,-1.38B,-523.00M,-10.03B,14.01B,-7.767B,6.24B,52.00M,0.00,-6.804B,
2011-03,3.264B,,-86.00M,373.00M,287.00M,4.024B,4.024B,790.00M,-1.53B,,,-2.07B,,5.035B,-4.363B,,,,-104.00M,24.00M,68.00M,-4.375B,5.888B,2.384B,8.272B,70.00M,,70.00M,,-1.379B,-284.00M,6.679B,6.668B,7.339B,14.01B,70.00M,6.44B,-552.00M,
2010-12,4.648B,,-80.00M,-1.722B,-1.802B,4.083B,4.083B,1.622B,-188.00M,,,-438.00M,,8.249B,-5.50B,,,,375.00M,31.00M,100.00M,-4.994B,-195.00M,0.00,-195.00M,0.00,,0.00,,-1.378B,-408.00M,-1.981B,5.394B,1.274B,6.668B,0.00,0.00,-195.00M,
2010-09,2.698B,,309.00M,1.722B,2.031B,4.023B,4.023B,836.00M,-661.00M,,,-862.00M,,8.307B,-4.125B,,,,-489.00M,-17.00M,114.00M,-4.517B,-3.347B,-1.00B,-4.347B,0.00,,0.00,,-1.344B,2.534B,-3.157B,4.761B,633.00M,5.394B,0.00,0.00,-3.347B,
2010-06,2.871B,,-107.00M,3.445B,3.338B,4.177B,4.177B,-1.67B,-1.847B,,,2.545B,,9.723B,-4.196B,,,,2.33B,23.00M,-77.00M,-1.92B,-4.075B,0.00,-4.075B,0.00,,0.00,,-1.343B,-661.00M,-6.079B,3.037B,1.724B,4.761B,0.00,0.00,-3.978B,
2010-03,,,-120.00M,543.00M,423.00M,4.122B,4.122B,2.445B,766.00M,,,-1.043B,,7.084B,-3.423B,,,,-274.00M,-40.00M,114.00M,-3.623B,-519.00M,-97.00M,-616.00M,0.00,,0.00,,-1.347B,-470.00M,-2.433B,2.009B,1.028B,3.037B,0.00,0.00,-616.00M,
2009-12,2.344B,,368.00M,431.00M,799.00M,4.243B,4.243B,-579.00M,-1.903B,,,2.062B,,8.272B,-4.422B,,,,-331.00M,6.00M,-461.00M,-5.208B,-294.00M,-198.00M,-492.00M,,,,,-1.351B,-428.00M,-2.271B,1.216B,793.00M,2.009B,,0.00,1.16B,
2009-09,2.887B,,-152.00M,1.113B,961.00M,4.172B,4.172B,1.376B,274.00M,,,-689.00M,,8.981B,-4.356B,,,,-260.00M,-41.00M,-13.00M,-4.67B,-793.00M,-1.351B,-2.144B,,,,,-1.306B,-465.00M,-3.915B,820.00M,396.00M,1.216B,,0.00,-2.144B,
2009-06,3.16B,,290.00M,918.00M,1.208B,4.091B,4.091B,692.00M,1.855B,,,-3.491B,,7.515B,-4.387B,,,,-249.00M,39.00M,78.00M,-4.519B,3.68B,-8.011B,-4.331B,,,,,-1.307B,-517.00M,-6.155B,3.979B,-3.159B,820.00M,,-2.92B,-1.411B,
2009-03,3.21B,,-117.00M,502.00M,385.00M,4.028B,4.028B,604.00M,-1.212B,,,-393.00M,,6.622B,-3.707B,,,,-5.118B,80.00M,-14.00M,-8.759B,-9.813B,7.908B,-1.905B,,,,,-1.307B,-454.00M,-3.666B,9.782B,-5.803B,3.979B,,14.96B,-16.86B,
2008-12,-5.69B,,-91.00M,14.84B,14.75B,3.792B,3.792B,-5.708B,-140.00M,,,-575.00M,,7.518B,-4.558B,,,,74.00M,439.00M,453.00M,-3.592B,8.298B,-1.743B,6.555B,0.00,1.00M,1.00M,,-1.307B,-89.00M,5.16B,696.00M,9.086B,9.782B,0.00,4.914B,-748.00M,1.00M
2008-09,3.199B,,-204.00M,424.00M,220.00M,3.652B,3.652B,466.00M,405.00M,,,-149.00M,,7.299B,-4.178B,,,,-1.485B,502.00M,-453.00M,-5.614B,2.859B,-2.797B,62.00M,1.00M,-252.00M,-251.00M,2.464B,-1.223B,-159.00M,-1.571B,582.00M,114.00M,696.00M,1.00M,8.54B,-1.549B,-252.00M
2008-06,3.404B,,597.00M,401.00M,998.00M,3.584B,3.584B,1.092B,-582.00M,,,-1.745B,,7.245B,-4.177B,,,,-13.56B,495.00M,-206.00M,-17.45B,3.283B,4.00B,7.283B,6.00M,-116.00M,-110.00M,-2.464B,-1.227B,-644.00M,5.302B,5.485B,-4.903B,582.00M,6.00M,1.021B,-667.00M,-116.00M
2008-03,3.049B,,-90.00M,407.00M,317.00M,3.582B,3.582B,682.00M,-1.676B,,,-564.00M,,5.39B,-4.22B,,,,-931.00M,241.00M,92.00M,-4.818B,3.012B,2.929B,5.941B,9.00M,-1.001B,-992.00M,,-1.237B,48.00M,3.76B,1.153B,4.332B,5.485B,9.00M,7.123B,-1.182B,-1.001B
2007-12,6.256B,,,,1.421B,3.666B,3.666B,-300.00M,-2.103B,,2.156B,-597.00M,0.00,9.39B,-4.746B,,12.79B,,-66.00M,-1.098B,286.00M,-5.624B,,,-323.00M,480.00M,-1.109B,-629.00M,,-1.244B,-1.132B,-3.328B,715.00M,438.00M,1.153B,480.00M,,,-1.109B
2007-09,1.271B,,,,829.00M,3.605B,3.605B,376.00M,671.00M,,-295.00M,-295.00M,0.00,6.457B,-4.277B,,-4.277B,,-68.00M,519.00M,219.00M,-3.607B,,,-1.124B,241.00M,-782.00M,-541.00M,,-1.186B,60.00M,-2.791B,656.00M,59.00M,715.00M,241.00M,,,-782.00M
2007-06,1.683B,,,,1.388B,3.573B,3.573B,110.00M,649.00M,,-885.00M,-885.00M,-43.00M,6.475B,-4.352B,,-4.352B,,-505.00M,466.00M,701.00M,-3.69B,,,-2.157B,443.00M,-525.00M,-82.00M,,-1.164B,-27.00M,-3.43B,1.301B,-645.00M,656.00M,443.00M,,,-525.00M
2007-03,1.495B,,,,68.00M,3.533B,3.533B,222.00M,842.00M,,-1.116B,-1.116B,-527.00M,4.517B,-4.163B,,-4.163B,,-124.00M,282.00M,61.00M,-3.187B,,,-1.749B,110.00M,-427.00M,-317.00M,,-1.179B,-3.00M,-3.248B,3.219B,-1.918B,1.301B,110.00M,,,-427.00M
2006-12,1.032B,,,,-273.00M,3.598B,3.598B,288.00M,-551.00M,,1.653B,-34.00M,761.00M,5.855B,-4.783B,,12.32B,,-2.459B,-1.231B,235.00M,-6.294B,,,3.611B,59.00M,-352.00M,-293.00M,,-1.182B,-206.00M,1.828B,1.846B,1.389B,3.219B,59.00M,,,-352.00M
2006-09,1.922B,,,,753.00M,3.628B,3.628B,123.00M,805.00M,,-580.00M,-580.00M,63.00M,6.714B,-4.007B,,-4.007B,,-434.00M,495.00M,172.00M,-3.836B,,,-784.00M,46.00M,-339.00M,-293.00M,,-1.172B,32.00M,-2.218B,1.186B,660.00M,1.846B,46.00M,,,-339.00M
2006-06,1.611B,,,,726.00M,3.652B,3.652B,-514.00M,836.00M,,-639.00M,-639.00M,-201.00M,5.471B,-4.29B,,-4.29B,,-55.00M,593.00M,91.00M,-3.738B,,,11.00M,5.00M,-611.00M,-606.00M,,-1.18B,90.00M,-1.811B,1.248B,-78.00M,1.186B,5.00M,,,-611.00M
2006-03,1.632B,,,,28.00M,3.667B,3.667B,-149.00M,817.00M,,-382.00M,-382.00M,453.00M,6.066B,-4.021B,,-4.021B,,1.526B,433.00M,313.00M,-1.748B,,,-2.144B,64.00M,-398.00M,-334.00M,,-1.185B,-117.00M,-3.83B,760.00M,488.00M,1.248B,64.00M,,,-398.00M
2005-12,1.658B,,,,1.649B,3.141B,3.141B,-176.00M,-1.266B,,1.01B,-913.00M,1.581B,6.75B,-3.412B,-1.326B,10.23B,,5.956B,-5.968B,239.00M,-4.867B,,,-383.00M,0.00,-50.00M,-50.00M,,-1.119B,-82.00M,-1.71B,616.00M,173.00M,760.00M,0.00,,,-50.00M
2005-09,1.869B,,,,2.066B,3.688B,3.688B,-178.00M,-2.003B,,60.00M,60.00M,-139.00M,5.363B,-4.014B,1.326B,-2.688B,,-1.518B,404.00M,982.00M,-2.703B,,,-2.315B,5.00M,-27.00M,-22.00M,,-1.12B,-14.00M,-3.449B,1.405B,-789.00M,616.00M,5.00M,,,-27.00M
2005-06,2.113B,,,,-1.403B,3.326B,3.326B,-458.00M,3.255B,,-996.00M,-996.00M,139.00M,5.976B,-3.944B,,-3.944B,,-1.934B,297.00M,-912.00M,-6.61B,,,2.50B,7.00M,-76.00M,-69.00M,,-1.122B,60.00M,1.347B,692.00M,713.00M,1.405B,7.00M,,,-76.00M
2005-03,1.757B,,,,502.00M,3.46B,3.46B,-281.00M,-1.252B,,-250.00M,-250.00M,,3.936B,-3.594B,,-3.594B,,-1.178B,237.00M,223.00M,-4.312B,,,-42.00M,25.00M,-118.00M,-93.00M,,-1.066B,-21.00M,-1.222B,2.29B,-1.598B,692.00M,25.00M,,,-118.00M
2004-12,3.087B,,,,-1.70B,3.158B,3.158B,753.00M,-1.115B,,2.948B,-391.00M,,6.297B,-3.717B,-117.00M,8.96B,,417.00M,-2.46B,2.213B,-2.518B,,,-957.00M,100.00M,-113.00M,-13.00M,,-1.064B,-82.00M,-2.134B,616.00M,1.645B,2.261B,100.00M,,,-113.00M
2004-09,1.779B,,,,414.00M,3.483B,3.483B,496.00M,-471.00M,,-100.00M,-100.00M,,5.601B,-3.253B,0.00,-3.253B,,-245.00M,415.00M,14.00M,-3.069B,,,-1.433B,129.00M,-257.00M,-128.00M,,-1.067B,129.00M,-2.499B,583.00M,33.00M,616.00M,129.00M,,,-257.00M
2004-06,1.782B,,,,259.00M,3.437B,3.437B,348.00M,563.00M,,-538.00M,-538.00M,,5.851B,-3.183B,0.00,-3.183B,,-21.00M,477.00M,59.00M,-2.668B,,,-2.034B,11.00M,,11.00M,,-1.066B,-86.00M,-3.175B,575.00M,8.00M,583.00M,11.00M,,,
2004-03,1.183B,,,,1.173B,3.425B,3.425B,124.00M,-92.00M,,-1.771B,-1.771B,,4.042B,-2.641B,117.00M,-2.524B,,-34.00M,282.00M,188.00M,-2.088B,,,-977.00M,80.00M,,80.00M,,-1.065B,-86.00M,-2.048B,669.00M,-94.00M,575.00M,80.00M,,,
2003-12,-1.854B,,,,1.187B,3.445B,3.445B,-592.00M,90.00M,,507.00M,2.146B,,6.211B,-3.74B,-229.00M,7.905B,,1.326B,-2.965B,282.00M,-5.326B,,,-123.00M,222.00M,,222.00M,,-1.064B,45.00M,-920.00M,704.00M,-35.00M,669.00M,222.00M,,,
2003-09,1.755B,,,,-141.00M,3.411B,3.411B,666.00M,-132.00M,,-272.00M,-272.00M,,5.287B,-2.84B,229.00M,-2.611B,,-64.00M,538.00M,311.00M,-1.826B,,,-2.664B,146.00M,,146.00M,,-1.06B,26.00M,-3.552B,820.00M,-91.00M,704.00M,146.00M,,,
2003-06,1.266B,,,,489.00M,3.384B,3.384B,331.00M,326.00M,,-629.00M,-629.00M,,5.167B,-2.828B,,-2.828B,,-864.00M,627.00M,74.00M,-2.991B,,,-4.591B,215.00M,,215.00M,,-1.059B,-52.00M,-5.487B,4.131B,-3.311B,820.00M,215.00M,,,
2003-03,1.91B,,,,191.00M,3.367B,3.367B,421.00M,-582.00M,,495.00M,495.00M,,5.802B,-2.466B,,-2.466B,,-169.00M,518.00M,24.00M,-2.093B,,,-58.00M,256.00M,,256.00M,,-1.056B,-142.00M,-1.00B,1.422B,2.709B,4.131B,256.00M,,,
2002-12,2.247B,,,,-1.738B,3.387B,3.387B,855.00M,135.00M,,129.00M,-1.788B,,5.984B,-4.258B,-4.638B,4.156B,,5.65B,-2.937B,335.00M,-5.848B,,,-3.566B,262.00M,,262.00M,,-1.053B,-8.00M,-4.365B,5.643B,-4.229B,1.397B,262.00M,,,
2002-09,4.415B,,,,-2.524B,3.287B,3.287B,67.00M,-252.00M,,1.01B,1.01B,,6.003B,-2.814B,3.868B,1.054B,,-19.00M,529.00M,984.00M,2.548B,,,-5.04B,229.00M,,229.00M,,-1.051B,13.00M,-5.849B,2.941B,2.702B,5.643B,229.00M,,,
2002-06,-2.075B,,,,3.896B,3.288B,3.288B,415.00M,8.00M,,85.00M,85.00M,,5.617B,-3.606B,42.00M,-3.564B,,-63.00M,572.00M,1.584B,-1.471B,,,-1.36B,202.00M,,202.00M,,-1.045B,30.00M,-2.173B,1.015B,1.973B,2.941B,202.00M,,,
2002-03,4.00M,,,,1.523B,3.32B,3.32B,369.00M,148.00M,,-886.00M,-886.00M,,4.478B,-2.374B,728.00M,-1.646B,,-930.00M,532.00M,24.00M,-2.02B,,,-1.629B,222.00M,,222.00M,,-1.051B,36.00M,-2.422B,979.00M,36.00M,1.015B,222.00M,,,
2001-12,-2.032B,,,,832.00M,3.361B,3.361B,532.00M,995.00M,,2.702B,802.00M,,6.43B,-5.892B,-200.00M,12.28B,,3.42B,-4.792B,1.297B,-6.167B,,,266.00M,65.00M,18.00M,83.00M,,-1.049B,4.00M,-696.00M,1.365B,-433.00M,932.00M,65.00M,,,18.00M
