,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2007-11,860.12M,860.12M,488.80M,371.32M,225.21M,-11.72M,,,,225.21M,146.11M,,,-6.515M,,118.66M,36.26M,87.60M,,-0.027M,87.60M,95.74M,167.32M,21.21M,146.11M,0.34,0.0,,0.3719,0.34,0.33,0.0,,0.3608,0.33,255.36M,264.25M,0.1
2007-08,716.23M,716.23M,431.90M,284.33M,192.60M,-0.40M,,,,192.60M,91.73M,,,4.196M,,75.49M,23.20M,56.85M,,-0.076M,56.85M,57.13M,113.20M,21.47M,91.73M,0.22,0.0,,0.2211,0.22,0.215,0.0,,0.216,0.215,258.20M,264.80M,0.1
2007-05,687.21M,687.21M,415.41M,271.80M,198.45M,-4.768M,,,,198.45M,73.35M,,,0.255M,,53.90M,16.76M,41.42M,,-0.191M,41.42M,44.71M,93.38M,20.04M,73.35M,0.16,0.0,,0.1726,0.16,0.155,0.0,,0.1673,0.155,260.30M,267.27M,0.1
2007-02,652.64M,652.64M,388.29M,264.35M,190.64M,-5.811M,,,,190.64M,73.72M,,,0.762M,,54.34M,15.99M,44.23M,,-0.407M,44.23M,48.33M,93.60M,19.88M,73.72M,0.17,0.0,,0.1857,0.17,0.165,0.0,,0.1803,0.165,260.69M,268.39M,0.1
2006-11,803.70M,803.70M,448.02M,355.67M,216.05M,-11.06M,,,,216.05M,139.62M,,,-7.605M,,114.08M,33.96M,83.10M,,-0.493M,83.10M,90.87M,162.64M,23.02M,139.62M,0.315,0.0,,0.3444,0.315,0.31,0.0,,0.3391,0.31,264.54M,267.22M,0.09
2006-08,663.10M,663.10M,393.82M,269.28M,187.58M,-15.20M,,,,187.58M,81.70M,,,-10.81M,,52.20M,13.65M,43.07M,,-0.132M,43.07M,54.30M,103.52M,21.82M,81.70M,0.165,0.0,,0.2077,0.165,0.16,0.0,,0.2016,0.16,263.17M,269.66M,0.09
2006-05,639.91M,639.91M,389.34M,250.56M,187.35M,24.55M,,,8.519M,195.87M,54.70M,,,24.55M,,44.15M,13.07M,61.64M,,-0.73M,61.64M,44.36M,76.07M,21.37M,54.70M,0.235,0.0,,0.1696,0.235,0.23,0.0,,0.1662,0.23,264.36M,270.84M,0.09
2006-02,609.70M,609.70M,370.62M,239.08M,181.63M,-24.74M,,,33.16M,214.79M,24.29M,,,-24.74M,,12.58M,4.025M,14.39M,,-1.444M,14.39M,31.21M,42.38M,18.08M,24.29M,0.055,0.0,,0.1184,0.055,0.055,0.0,,0.1172,0.055,265.22M,270.61M,0.09
2005-11,737.07M,737.07M,413.32M,323.75M,177.69M,9.986M,,,,188.89M,134.86M,,,-3.843M,,122.81M,40.16M,88.10M,,-1.314M,88.10M,81.38M,155.24M,20.38M,134.86M,0.33,0.0,,0.3047,0.33,0.325,0.0,,0.3,0.325,265.53M,269.00M,0.08
2005-08,622.73M,622.73M,379.39M,243.34M,164.44M,0.487M,,,,164.44M,78.90M,,,5.058M,,66.85M,22.60M,47.97M,,-0.849M,47.97M,47.65M,97.63M,18.73M,78.90M,0.18,0.0,,0.1788,0.18,0.175,0.0,,0.1738,0.175,267.91M,274.76M,0.08
2005-05,628.57M,628.57M,387.22M,241.35M,170.86M,4.375M,,,-0.67M,170.19M,71.15M,,,4.375M,,59.11M,18.92M,42.79M,,-1.205M,42.79M,39.82M,89.00M,17.85M,71.15M,0.16,0.0,,0.149,0.16,0.155,0.0,,0.1443,0.155,269.48M,277.48M,0.08
2005-02,603.62M,603.62M,375.46M,228.17M,168.91M,4.21M,,,1.30M,170.21M,57.96M,,,4.21M,,46.93M,15.02M,36.04M,,-1.332M,36.04M,33.17M,75.60M,17.64M,57.96M,0.135,0.0,,0.1244,0.135,0.13,0.0,,0.1198,0.13,271.30M,280.91M,0.08
2004-11,744.13M,744.13M,429.00M,315.13M,183.85M,3.491M,,,3.684M,187.54M,127.59M,,,3.491M,,117.30M,34.46M,87.34M,,-1.787M,87.34M,84.88M,146.17M,18.57M,127.59M,0.32,0.0,,0.3108,0.32,0.31,0.0,,0.3011,0.31,268.95M,277.04M,0.07
2004-08,613.54M,613.54M,374.38M,239.16M,164.96M,3.559M,,,0.195M,165.16M,74.00M,,,3.559M,,63.98M,19.77M,46.20M,,-1.232M,46.20M,43.74M,92.73M,18.72M,74.00M,0.17,0.0,,0.161,0.17,0.165,0.0,,0.1563,0.165,273.92M,283.37M,0.07
2004-05,596.16M,596.16M,364.24M,231.93M,168.65M,8.809M,,,-6.448M,162.20M,69.72M,,,8.809M,,60.56M,18.71M,42.85M,,-0.822M,42.85M,36.77M,88.19M,18.46M,69.72M,0.155,0.0,,0.1329,0.155,0.15,0.0,,0.1286,0.15,275.36M,284.99M,0.07
2004-02,572.36M,572.36M,350.68M,221.69M,160.23M,3.34M,,,0.069M,160.30M,61.38M,,,3.34M,,51.96M,16.06M,38.11M,,-1.059M,38.11M,35.80M,77.62M,16.24M,61.38M,0.14,0.0,,0.1316,0.14,0.135,0.0,,0.1269,0.135,274.71M,283.63M,0.07
2003-11,698.63M,698.63M,396.41M,302.21M,177.27M,8.897M,,,3.558M,180.83M,121.38M,,,8.897M,,117.78M,36.41M,87.20M,-0.699M,-0.846M,84.40M,81.05M,139.73M,18.35M,121.38M,0.315,-0.005,,0.293,0.3,0.305,-0.005,,0.2833,0.295,279.53M,283.51M,0.06
2003-08,557.61M,557.61M,345.13M,212.48M,148.40M,3.755M,,,1.349M,149.75M,62.73M,,,3.755M,,53.40M,17.10M,40.08M,11.23M,-0.628M,51.31M,37.53M,78.69M,15.96M,62.73M,0.145,0.04,,0.1358,0.185,0.14,0.04,,0.1311,0.18,278.89M,286.17M,0.06
2003-05,527.91M,527.91M,330.14M,197.77M,140.94M,7.979M,,,0.472M,141.42M,56.36M,,,7.979M,,52.65M,15.68M,38.50M,1.463M,-0.951M,39.96M,32.89M,72.44M,16.09M,56.36M,0.14,0.005,,0.1199,0.145,0.135,0.005,,0.1153,0.14,278.40M,284.82M,0.055
2003-02,485.45M,485.45M,299.32M,186.13M,130.98M,3.368M,,,0.12M,131.10M,55.03M,,,3.368M,,46.16M,14.21M,33.43M,1.712M,-1.375M,35.14M,31.10M,69.94M,14.90M,55.03M,0.12,0.005,,0.1117,0.125,0.115,0.005,,0.1068,0.125,279.76M,284.92M,0.055
2002-11,624.96M,624.96M,353.67M,271.29M,161.69M,5.063M,,,2.808M,164.50M,106.80M,,,5.063M,,96.83M,29.98M,74.41M,2.759M,-0.646M,77.17M,70.91M,122.21M,15.41M,106.80M,0.27,0.01,,0.2575,0.28,0.26,0.01,,0.2479,0.27,278.71M,287.86M,0.0525
2002-08,477.32M,477.32M,302.65M,174.67M,117.92M,1.949M,,,2.786M,120.71M,53.96M,,,1.949M,,44.71M,14.26M,33.95M,1.225M,-0.875M,35.18M,32.62M,59.67M,5.708M,53.96M,0.12,0.005,,0.1153,0.125,0.12,0.005,,0.1154,0.125,279.81M,285.52M,0.0525
2002-05,552.62M,552.62M,359.92M,192.70M,135.53M,2.085M,,,1.659M,137.19M,55.50M,,,2.085M,,43.99M,13.79M,33.61M,,-0.721M,33.61M,32.18M,72.88M,17.37M,55.50M,0.12,0.0,,0.1149,0.12,0.12,0.0,,0.1149,0.12,280.11M,280.11M,0.0525
2002-02,518.91M,518.91M,333.66M,185.25M,132.79M,6.358M,,,0.367M,133.15M,52.10M,,,6.358M,,42.08M,13.25M,33.84M,,-0.673M,33.84M,29.48M,67.00M,14.91M,52.10M,0.06,0.0,,0.0444,0.06,0.06,0.0,,0.0444,0.06,278.43M,278.43M,0.0525
2001-11,267.75M,267.75M,189.20M,78.55M,-0.405M,-2.869M,,,,9.895M,68.65M,,,-2.869M,,62.55M,19.78M,49.57M,,-0.807M,59.07M,51.53M,74.50M,5.843M,68.65M,-0.0525,0.0,,-0.0454,-0.0525,-0.0525,0.0,,-0.0455,-0.0525,275.70M,280.11M,0.05
2001-08,570.71M,570.71M,341.76M,228.94M,172.51M,6.009M,,,,172.51M,56.44M,,,6.009M,,45.11M,14.93M,34.31M,,-0.506M,34.31M,30.29M,74.69M,18.25M,56.44M,0.125,0.0,,0.1104,0.125,0.1225,0.0,,0.1081,0.1225,274.50M,280.10M,0.05
2001-05,567.14M,567.14M,345.63M,221.51M,171.94M,3.108M,,,,171.94M,49.57M,,,3.108M,,35.71M,11.82M,26.64M,,-0.437M,26.64M,24.56M,68.89M,19.32M,49.57M,0.0975,0.0,,0.0899,0.0975,0.095,0.0,,0.0876,0.095,273.19M,280.38M,0.05
2001-02,533.50M,533.50M,325.01M,208.50M,163.56M,7.052M,,,,163.56M,44.94M,,,7.052M,,31.62M,10.47M,26.59M,,-0.65M,26.59M,21.87M,62.22M,17.28M,44.94M,0.0975,0.0,,0.0802,0.0975,0.095,0.0,,0.0781,0.095,272.68M,279.85M,0.05
2000-11,597.91M,597.91M,436.33M,161.58M,111.26M,23.25M,,,,69.61M,91.97M,,,23.25M,,82.82M,29.81M,71.11M,,,57.62M,56.23M,110.52M,18.55M,91.97M,0.21,0.0,,0.1556,0.21,0.2075,0.0,,0.1539,0.2075,273.61M,277.54M,0.0475
