,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-08,108.40M,108.40M,422.90M,,422.90M,393.90M,333.30M,727.20M,116.00M,,1.374B,,,,,,,1.491B,-902.30M,589.10M,1.802B,376.10M,2.178B,348.60M,,3.116B,4.491B,336.10M,336.10M,383.70M,719.80M,,,,684.80M,,684.80M,,1.405B,807.20M,,807.20M,,,,16.90M,516.70M,1.324B,2.728B,1.034B,1.065B,,,,,-353.60M,1.745B
2015-05,89.50M,89.50M,390.60M,,390.60M,414.70M,323.80M,738.50M,140.30M,,1.359B,,,,,,,1.486B,-896.10M,590.10M,1.720B,364.60M,2.084B,345.00M,,3.020B,4.378B,337.80M,337.80M,378.40M,716.20M,,,,622.60M,,622.60M,,1.339B,807.90M,,807.90M,,,,20.00M,496.40M,1.304B,2.643B,1.020B,1.020B,,,,,-324.70M,1.715B
2015-02,81.80M,81.80M,384.10M,,384.10M,410.80M,297.60M,708.40M,130.40M,,1.305B,,,,,,,1.457B,-876.60M,580.60M,1.651B,323.10M,1.974B,337.90M,,2.893B,4.198B,334.60M,334.60M,370.20M,704.80M,,,,516.20M,,516.20M,,1.221B,806.80M,,806.80M,,,,20.00M,465.80M,1.273B,2.494B,1.007B,992.00M,,,,,-314.90M,1.684B
2014-11,77.30M,77.30M,493.60M,,493.60M,410.60M,303.20M,713.80M,20.30M,111.20M,1.416B,0.0,57.60M,346.40M,1.002B,,75.00M,1.481B,-878.70M,602.70M,1.722B,330.80M,2.053B,269.30M,55.80M,2.998B,4.414B,372.10M,372.10M,351.80M,723.90M,127.30M,239.40M,31.40M,270.80M,,270.80M,,1.122B,1.014B,,1.014B,108.20M,108.20M,271.80M,17.20M,88.80M,1.483B,2.605B,995.60M,982.60M,,,,,-186.00M,1.792B
2014-08,93.80M,93.80M,476.80M,,476.80M,378.60M,327.00M,705.60M,132.60M,,1.409B,,,,,,,1.461B,-881.90M,578.80M,1.769B,336.50M,2.106B,378.90M,,3.063B,4.472B,338.80M,338.80M,385.40M,724.20M,,,,353.40M,,353.40M,,1.078B,1.014B,,1.014B,,,,17.50M,410.20M,1.424B,2.502B,988.50M,993.60M,,,,,-29.60M,1.952B
2014-05,81.40M,81.40M,417.10M,,417.10M,373.90M,313.40M,687.30M,138.90M,,1.325B,,,,,,,1.448B,-873.00M,575.00M,1.799B,340.40M,2.139B,370.60M,,3.085B,4.409B,335.80M,335.80M,358.60M,694.40M,,,,308.40M,,308.40M,,1.003B,1.017B,,1.017B,,,,17.70M,409.80M,1.427B,2.429B,984.10M,969.30M,,,,,8.80M,1.962B
2014-02,89.40M,89.40M,428.00M,,428.00M,373.90M,309.00M,682.90M,139.80M,,1.340B,,,,,,,1.423B,-852.00M,571.00M,1.809B,332.80M,2.142B,376.70M,,3.090B,4.430B,348.00M,348.00M,382.10M,730.10M,,,,282.00M,,282.00M,,1.012B,1.017B,,1.017B,,,,15.90M,413.60M,1.430B,2.442B,971.70M,993.20M,,,,,6.60M,1.972B
2013-11,63.00M,63.00M,495.50M,,495.50M,372.30M,304.60M,676.90M,37.70M,97.10M,1.370B,0.0,59.30M,335.40M,953.80M,,59.20M,1.408B,-831.10M,576.60M,1.798B,333.40M,2.132B,264.00M,87.70M,3.080B,4.450B,387.30M,387.30M,337.20M,724.50M,124.50M,200.30M,13.80M,214.10M,,214.10M,,1.063B,1.019B,,1.019B,139.30M,139.30M,189.20M,15.20M,91.40M,1.439B,2.502B,962.40M,970.40M,,,,,-0.30M,1.932B
2013-08,146.80M,146.80M,462.40M,,462.40M,312.00M,328.80M,640.80M,120.90M,,1.371B,,,,,,,1.368B,-818.50M,549.70M,1.756B,347.50M,2.104B,328.50M,,2.982B,4.353B,324.70M,324.70M,369.60M,694.30M,,,,360.00M,,360.00M,,1.054B,1.019B,,1.019B,,,,14.10M,482.60M,1.501B,2.556B,955.10M,1.012B,,,,,-183.60M,1.783B
2013-05,72.10M,72.10M,399.90M,,399.90M,318.20M,293.20M,611.40M,134.10M,,1.218B,,,,,,,1.364B,-809.70M,554.30M,1.754B,353.30M,2.108B,329.50M,,2.991B,4.209B,322.10M,322.10M,352.20M,674.30M,,,,551.90M,,551.90M,,1.226B,774.40M,,774.40M,,,,17.00M,474.50M,1.249B,2.475B,947.70M,953.20M,,,,,-184.20M,1.717B
