,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-06,55.58B,55.58B,37.69B,17.90B,1.077B,,3.167B,,,6.981B,11.22B,6.672B,,,2.355B,,9.027B,3.337B,5.69B,,,-25.00M,5.665B,5.665B,10.51B,3.842B,6.672B,3.0,,,3.0,3.0,2.98,,,2.98,2.98,1.888B,1.902B,1.07
2014-03,50.98B,50.98B,34.95B,16.02B,927.00M,,3.019B,,,6.438B,10.38B,5.641B,,,2.287B,,7.928B,3.407B,4.521B,,,-9.00M,4.512B,4.512B,9.771B,4.13B,5.641B,2.38,,,2.38,2.38,2.36,,,2.36,2.36,1.895B,1.909B,1.0
2013-12,53.95B,53.95B,36.33B,17.62B,1.176B,,3.211B,,,7.247B,11.63B,5.99B,,,2.208B,,8.198B,3.24B,4.958B,,,-28.00M,4.93B,4.93B,9.625B,3.635B,5.99B,2.6,,,2.6,2.6,2.57,,,2.57,2.57,1.904B,1.918B,1.0
2013-09,56.60B,56.60B,38.48B,18.12B,1.197B,,3.366B,,,6.625B,11.19B,6.935B,,,1.90B,,8.835B,3.839B,4.996B,,,-46.00M,4.95B,4.95B,10.59B,3.658B,6.935B,2.58,,,2.58,2.58,2.57,,,2.57,2.57,1.914B,1.930B,1.0
2013-06,55.31B,55.31B,37.68B,17.62B,1.139B,,3.349B,,,6.607B,11.10B,6.527B,,,2.062B,,8.589B,3.185B,5.404B,,,-39.00M,5.365B,5.365B,9.939B,3.412B,6.527B,2.8,,,2.8,2.8,2.77,,,2.77,2.77,1.921B,1.937B,1.0
2013-03,54.30B,54.30B,36.39B,17.90B,998.00M,,3.137B,,,6.009B,10.14B,7.761B,,,2.522B,,10.28B,4.044B,6.239B,,,-61.00M,6.178B,6.178B,11.24B,3.481B,7.761B,3.2,,,3.2,3.2,3.18,,,3.18,3.18,1.929B,1.944B,0.9
2012-12,56.25B,56.25B,37.51B,18.74B,1.182B,,3.251B,,,6.63B,11.06B,7.678B,,,4.298B,,11.98B,4.679B,7.297B,,,-52.00M,7.245B,7.245B,11.23B,3.554B,7.678B,3.73,,,3.73,3.73,3.7,,,3.7,3.7,1.936B,1.953B,0.9
2012-09,55.66B,55.66B,37.35B,18.31B,1.352B,,3.239B,,,6.169B,10.76B,7.548B,,,2.384B,,9.932B,4.624B,5.308B,,,-55.00M,5.253B,5.253B,10.92B,3.37B,7.548B,2.71,,,2.71,2.71,2.69,,,2.69,2.69,1.946B,1.960B,0.9
2012-06,59.78B,59.78B,40.06B,19.72B,1.25B,,3.034B,,,5.913B,10.20B,9.527B,,,2.828B,,12.36B,5.123B,7.232B,,,-22.00M,7.21B,7.21B,12.81B,3.284B,9.527B,3.68,,,3.68,3.68,3.66,,,3.66,3.66,1.954B,1.968B,0.9
2012-03,58.90B,58.90B,39.26B,19.64B,940.00M,,2.852B,,,5.586B,9.378B,10.26B,,,1.809B,,12.07B,5.57B,6.499B,,,-28.00M,6.471B,6.471B,13.46B,3.205B,10.26B,3.3,,,3.3,3.3,3.27,,,3.27,3.27,1.964B,1.979B,0.81
2011-12,58.03B,56.45B,49.27B,7.172B,-14.37B,,2.68B,,,22.04B,746.00M,6.426B,,,3.539B,,9.965B,4.813B,5.152B,,,-29.00M,5.123B,5.123B,9.739B,3.313B,6.426B,2.61,0.0,,2.61,2.61,2.58,0.0,,2.58,2.58,1.971B,1.988B,0.81
2011-09,61.26B,62.20B,37.60B,24.60B,6.493B,,3.544B,,,240.00M,13.49B,11.11B,,,2.227B,,13.34B,5.483B,7.857B,,,-28.00M,7.829B,7.829B,14.33B,3.215B,11.11B,3.94,0.0,,3.94,3.94,3.92,0.0,,3.92,3.92,1.985B,1.999B,0.78
2011-06,66.67B,67.07B,40.76B,26.31B,6.46B,,4.843B,,,-4.838B,9.722B,16.58B,,,1.882B,,13.21B,5.447B,7.76B,,,-28.00M,7.732B,7.732B,19.84B,3.257B,16.58B,3.88,0.0,,3.88,3.88,3.85,0.0,,3.85,3.85,1.994B,2.009B,0.78
2011-03,58.41B,58.65B,35.20B,23.45B,6.163B,,4.561B,,,168.00M,14.02B,9.435B,,,1.687B,,11.12B,4.883B,6.239B,,,-28.00M,6.211B,6.211B,12.56B,3.126B,9.435B,3.11,0.0,,3.11,3.11,3.09,0.0,,3.09,3.09,1.995B,2.009B,0.72
2010-12,51.85B,51.42B,43.17B,8.252B,-12.44B,,4.623B,4.00M,-4.00M,19.52B,2.085B,6.167B,4.00M,-4.00M,2.603B,-4.00M,8.766B,3.446B,5.32B,,,-25.00M,5.295B,5.295B,12.21B,3.439B,8.77B,9.53,0.0,,9.53,9.53,9.48,0.0,,9.48,9.48,1.995B,2.011B,0.72
2010-09,48.55B,48.48B,28.61B,19.87B,5.846B,,4.559B,9.00M,-9.00M,420.00M,14.23B,5.64B,9.00M,-9.00M,1.242B,-9.00M,6.873B,3.081B,3.792B,,,-24.00M,3.768B,3.768B,10.28B,3.401B,6.882B,1.89,0.0,,1.89,1.89,1.87,0.0,,1.87,1.87,1.998B,2.007B,0.72
2010-06,51.05B,51.35B,30.60B,20.75B,5.727B,,4.537B,17.00M,-17.00M,-4.379B,9.026B,11.72B,17.00M,-17.00M,1.65B,-17.00M,8.766B,3.322B,5.444B,,,-35.00M,5.409B,5.409B,11.92B,3.141B,8.783B,2.71,0.0,,2.71,2.71,2.7,0.0,,2.7,2.7,1.996B,2.006B,0.72
2010-03,46.74B,46.94B,31.73B,15.21B,1.042B,,4.472B,20.00M,-20.00M,180.00M,8.776B,6.435B,20.00M,-20.00M,1.235B,-20.00M,7.65B,3.07B,4.58B,,,-28.00M,4.552B,4.552B,10.75B,3.082B,7.67B,2.28,0.0,,2.28,2.28,2.27,0.0,,2.27,2.27,1.995B,2.004B,0.68
2009-12,47.59B,47.78B,41.61B,6.164B,1.33B,,4.583B,0.00,0.00,281.00M,9.35B,-3.186B,0.00,0.00,898.00M,0.00,5.821B,2.719B,3.102B,,,-32.00M,3.07B,3.07B,8.977B,3.156B,5.821B,1.54,0.0,,1.54,1.54,1.53,0.0,,1.53,1.53,1.993B,2.004B,0.68
2009-09,45.18B,45.55B,31.37B,14.18B,1.177B,,4.644B,14.00M,-14.00M,242.00M,9.051B,5.13B,14.00M,-14.00M,1.072B,-14.00M,6.188B,2.342B,3.846B,,,-15.00M,3.831B,3.831B,9.19B,2.988B,6.202B,1.92,0.0,,1.92,1.92,1.92,0.0,,1.92,1.92,1.992B,2.001B,0.68
2009-06,39.47B,39.47B,27.89B,11.58B,1.043B,,4.386B,6.00M,-6.00M,438.00M,8.966B,2.617B,6.00M,-6.00M,735.00M,-6.00M,3.346B,1.585B,1.761B,,,-16.00M,1.745B,1.745B,6.451B,3.099B,3.352B,0.88,0.0,,0.88,0.88,0.87,0.0,,0.87,0.87,1.992B,2.000B,0.65
2009-03,34.99B,35.52B,24.75B,10.77B,977.00M,,3.978B,8.00M,-8.00M,381.00M,8.203B,2.57B,8.00M,-8.00M,611.00M,-8.00M,3.173B,1.319B,1.854B,,,-17.00M,1.837B,1.837B,6.048B,2.867B,3.181B,0.92,0.0,,0.92,0.92,0.92,0.0,,0.92,0.92,1.991B,2.000B,0.65
2008-12,43.14B,44.32B,28.99B,15.33B,1.492B,,4.547B,0.00,0.00,338.00M,8.966B,6.36B,0.00,0.00,886.00M,0.00,7.246B,2.345B,4.901B,,,-6.00M,4.895B,4.895B,9.835B,2.589B,7.246B,2.45,0.0,,2.45,2.45,2.44,0.0,,2.44,2.44,2.003B,2.011B,0.65
2008-09,76.19B,77.19B,54.91B,22.28B,1.278B,,5.614B,0.00,0.00,271.00M,9.612B,12.67B,0.00,0.00,1.673B,0.00,14.34B,6.416B,7.925B,,,-32.00M,7.893B,7.893B,16.79B,2.449B,14.34B,3.88,0.0,,3.88,3.88,3.85,0.0,,3.85,3.85,2.032B,2.045B,0.65
2008-06,81.43B,81.43B,61.30B,20.12B,1.639B,,5.699B,0.00,0.00,307.00M,9.92B,10.20B,0.00,0.00,1.563B,0.00,11.76B,5.756B,6.009B,,,-34.00M,5.975B,5.975B,14.04B,2.275B,11.76B,2.91,0.0,,2.91,2.91,2.9,0.0,,2.9,2.9,2.051B,2.065B,0.65
2008-03,64.66B,64.70B,46.98B,17.72B,1.347B,,5.443B,0.00,0.00,253.00M,9.258B,8.461B,0.00,0.00,1.244B,0.00,9.705B,4.509B,5.196B,,,-28.00M,5.168B,5.168B,11.92B,2.215B,9.705B,2.5,0.0,,2.5,2.5,2.48,0.0,,2.48,2.48,2.066B,2.080B,0.58
2007-12,59.90B,61.41B,43.30B,18.11B,1.833B,357.00M,5.56B,,,,9.487B,8.62B,,,1.51B,,8.578B,3.703B,4.875B,,,-35.00M,4.875B,4.643B,10.71B,2.094B,8.62B,2.34,0.0,,2.229,2.34,2.32,0.0,,2.21,2.32,2.090B,2.105B,0.58
2007-09,53.54B,55.17B,38.68B,16.49B,1.446B,468.00M,5.538B,,,,9.479B,7.014B,,,1.628B,,6.967B,3.249B,3.718B,,,-25.00M,3.718B,3.414B,9.51B,2.496B,7.014B,1.77,0.0,,1.626,1.77,1.75,0.0,,1.607,1.75,2.109B,2.124B,0.58
2007-06,54.34B,56.09B,37.54B,18.56B,1.516B,856.00M,5.743B,,,,9.415B,9.144B,,,1.75B,,9.062B,3.682B,5.38B,,,-19.00M,5.38B,4.824B,11.30B,2.155B,9.144B,2.52,0.0,,2.259,2.52,2.52,0.0,,2.26,2.52,2.128B,2.142B,0.58
2007-03,46.30B,48.23B,32.05B,16.18B,1.131B,988.00M,5.425B,,,,8.519B,7.662B,,,1.925B,,7.56B,2.845B,4.715B,,,-28.00M,4.715B,4.099B,9.625B,1.963B,7.662B,2.2,0.0,,1.913,2.2,2.18,0.0,,1.8940000000000001,2.18,2.146B,2.158B,0.52
2006-12,53.29B,47.75B,32.30B,15.45B,1.203B,429.00M,12.59B,,,,15.78B,-328.00M,,,1.508B,,6.631B,2.859B,3.772B,,,-2.00M,3.772B,3.515B,1.66B,1.988B,-328.00M,1.75,0.0,,1.631,1.75,1.74,0.0,,1.621,1.74,2.156B,2.170B,0.52
2006-09,50.46B,54.21B,36.01B,18.20B,1.428B,155.00M,2.881B,,,,6.232B,11.97B,,,1.235B,,9.324B,4.307B,5.017B,,,-20.00M,5.017B,4.924B,13.89B,1.923B,11.97B,2.3,0.0,,2.2569999999999997,2.3,2.29,0.0,,2.248,2.29,2.178B,2.190B,0.52
2006-06,52.15B,53.54B,36.85B,16.69B,1.207B,270.00M,5.153B,,,,8.167B,8.522B,,,1.383B,,8.379B,4.026B,4.353B,,,-22.00M,4.353B,4.191B,10.33B,1.807B,8.522B,1.98,0.0,,1.906,1.98,1.97,0.0,,1.8969999999999998,1.97,2.196B,2.206B,0.52
2006-03,53.52B,54.62B,38.72B,15.91B,1.523B,117.00M,4.794B,,,,8.105B,7.802B,,,1.10B,,7.642B,3.646B,3.996B,,,-26.00M,3.996B,3.926B,9.59B,1.788B,7.802B,1.81,0.0,,1.778,1.81,1.8,0.0,,1.768,1.8,2.214B,2.224B,0.45
2005-12,43.74B,53.79B,38.34B,15.46B,1.34B,227.00M,-3.656B,,,,-591.00M,16.05B,,,1.337B,,7.159B,3.015B,4.144B,,,-33.00M,4.144B,4.008B,17.77B,1.725B,16.05B,1.88,0.0,,1.819,1.88,1.86,0.0,,1.7990000000000002,1.86,2.220B,2.241B,0.45
2005-09,53.43B,54.46B,39.47B,14.99B,1.337B,156.00M,5.282B,,,,8.153B,6.835B,,,1.027B,,6.675B,3.081B,3.594B,,,-24.00M,3.594B,3.500B,8.369B,1.534B,6.835B,1.65,0.0,,1.607,1.65,1.64,0.0,,1.597,1.64,2.181B,2.194B,0.45
2005-06,47.26B,48.34B,33.98B,14.36B,1.152B,217.00M,5.311B,,,,7.783B,6.578B,,,1.078B,,6.456B,2.772B,3.684B,,,-18.00M,3.684B,3.554B,7.898B,1.32B,6.578B,1.77,0.0,,1.7069999999999999,1.77,1.76,0.0,,1.6980000000000002,1.76,2.078B,2.086B,0.45
2005-03,40.49B,41.61B,28.96B,12.65B,1.152B,228.00M,5.126B,,,,7.612B,5.035B,,,1.117B,,4.907B,2.23B,2.677B,,,-21.00M,2.677B,2.540B,6.369B,1.334B,5.035B,1.28,0.0,,1.215,1.28,1.28,0.0,,1.215,1.28,2.091B,2.100B,0.4
2004-12,39.46B,48.51B,29.44B,19.07B,1.319B,295.00M,3.066B,,,,5.668B,13.40B,,,1.08B,,5.302B,1.862B,3.44B,0.00,,-22.00M,3.44B,3.249B,14.69B,1.283B,13.40B,1.64,0.0,,1.5490000000000002,1.64,1.63,0.0,,1.5390000000000001,1.63,2.100B,2.112B,0.4
2004-09,37.57B,38.68B,28.38B,10.30B,1.231B,496.00M,2.908B,,,,5.358B,4.942B,,,1.109B,,4.812B,1.875B,2.937B,264.00M,,-23.00M,3.201B,2.634B,6.161B,1.199B,4.942B,1.38,0.13,,1.237,1.51,1.38,0.13,,1.237,1.51,2.113B,2.119B,0.4
2004-06,34.66B,35.28B,24.85B,10.42B,986.00M,924.00M,2.968B,,,,5.197B,5.227B,,,1.664B,,6.132B,2.056B,4.106B,19.00M,,-18.00M,4.125B,3.492B,6.49B,1.263B,5.227B,1.93,0.01,,1.641,1.94,1.93,0.01,,1.641,1.94,2.123B,2.127B,0.365
2004-03,31.21B,33.64B,22.28B,11.37B,1.021B,138.00M,2.908B,,,,5.119B,6.247B,,,582.00M,,4.275B,1.724B,2.551B,11.00M,,-22.00M,2.562B,2.468B,7.437B,1.19B,6.247B,1.21,0.0,,1.171,1.21,1.2,0.0,,1.161,1.2,2.127B,2.131B,0.365
2003-12,28.25B,35.67B,20.54B,15.13B,1.173B,431.00M,2.818B,,,,5.318B,9.808B,,,693.00M,,2.588B,846.00M,1.742B,-7.00M,0.00,-14.00M,1.735B,1.452B,11.14B,1.264B,9.808B,0.83,-0.01,0.0,0.6801,0.82,0.83,-0.01,-0.0021,0.6801,0.82,1.936B,1.936B,0.365
2003-09,28.23B,29.53B,20.38B,9.15B,1.197B,513.00M,2.603B,,,,5.19B,3.96B,,,799.00M,,3.321B,1.36B,1.961B,14.00M,,-24.00M,1.975B,1.653B,5.369B,1.409B,3.96B,1.0,0.01,,0.8552,1.01,1.0,0.01,,0.8554,1.01,2.125B,2.128B,0.365
2003-06,27.32B,29.36B,19.27B,10.10B,1.061B,61.00M,2.748B,,,,5.22B,4.875B,,,276.00M,,2.972B,1.372B,1.60B,,,-20.00M,1.60B,1.563B,6.286B,1.411B,4.875B,0.755,0.0,,0.7378,0.755,0.75,0.0,,0.7328,0.75,2.125B,2.127B,0.35
2003-03,28.77B,30.76B,20.24B,10.52B,1.009B,39.00M,2.639B,,,,4.88B,5.643B,,,304.00M,,3.80B,1.721B,2.079B,37.00M,-196.00M,-22.00M,1.92B,2.056B,6.885B,1.242B,5.643B,0.98,0.015,0.0,0.969,0.905,0.98,0.015,-0.0923,0.9690000000000001,0.905,2.124B,2.127B,0.35
2002-12,24.81B,26.68B,18.10B,8.578B,1.107B,-184.00M,2.611B,,,,4.927B,3.651B,,,-73.00M,,1.54B,666.00M,874.00M,,,-22.00M,904.00M,984.40M,4.86B,1.209B,3.651B,0.41,0.02,,0.4607,0.42,0.41,0.01,,0.4607,0.42,2.179B,2.179B,0.35
2002-09,23.90B,25.68B,17.16B,8.526B,1.032B,-2.284B,2.587B,,,,5.133B,3.393B,,,-2.613B,,-38.00M,866.00M,-904.00M,,,-13.00M,-904.00M,466.40M,4.907B,1.514B,3.393B,-0.425,0.0,,0.2204,-0.425,-0.425,0.0,,0.2192,-0.425,2.123B,2.127B,0.35
2002-06,23.47B,25.33B,16.53B,8.805B,1.153B,-1.494B,2.386B,,,,4.78B,4.025B,,,-1.413B,,1.283B,876.00M,407.00M,,,-10.00M,407.00M,1.303B,5.266B,1.241B,4.025B,0.195,0.0,,0.6177,0.195,0.195,0.0,,0.6169,0.195,2.121B,2.125B,0.35
2002-03,19.16B,20.84B,13.65B,7.194B,863.00M,16.00M,2.092B,,,,4.16B,3.034B,,,128.00M,,1.315B,590.00M,725.00M,,,-12.00M,725.00M,715.40M,4.239B,1.205B,3.034B,0.34,0.0,,0.3355,0.34,0.34,0.0,,0.3355,0.34,2.120B,2.124B,0.35
2001-12,61.62B,69.03B,46.54B,22.50B,2.544B,,4.897B,,,,12.42B,10.08B,,,,,1.245B,1.406B,-161.00M,,,,-804.00M,-161.00M,15.06B,4.974B,10.08B,-0.3795,,,-0.3795,-0.3795,-0.3795,,,-0.3795,-0.3795,2.134B,2.134B,0.35
2001-09,11.56B,11.91B,7.382B,4.527B,537.00M,,1.253B,65.00M,-65.00M,,2.503B,2.024B,65.00M,-65.00M,,-65.00M,1.959B,791.00M,1.168B,,,,1.168B,1.168B,2.737B,713.00M,2.024B,0.91,0.0,,0.91,0.91,0.91,0.0,,0.91,0.91,1.287B,1.289B,0.325
2001-06,12.72B,13.01B,8.069B,4.937B,462.00M,,1.271B,75.00M,-75.00M,,2.423B,2.514B,75.00M,-75.00M,,-75.00M,2.439B,1.115B,1.324B,,,,1.324B,1.324B,3.204B,690.00M,2.514B,1.03,0.0,,1.03,1.03,1.025,0.0,,1.025,1.025,1.286B,1.289B,0.325
