,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2017-10,27.75B,27.75B,21.53B,6.217B,4.904B,4.904B,,196.00M,0.00,136.00M,-136.00M,,5.477B,740.00M,136.00M,-136.00M,0.00,-136.00M,604.00M,215.00M,389.00M,,,8.00M,397.00M,572.00M,740.00M,,2017-10,0.44,,0.44,0.44,,2017-10,,,0.44,2017-10,887.00M,893.00M,0.125,,2017-10,AOR,Restated
2017-07,27.60B,27.60B,21.61B,5.988B,4.748B,4.748B,,225.00M,0.00,138.00M,-138.00M,,5.31B,678.00M,138.00M,-138.00M,0.00,-138.00M,540.00M,189.00M,351.00M,,,2.00M,353.00M,563.00M,678.00M,,2017-07,0.39,,0.39,0.39,,2017-07,,,0.39,2017-07,897.00M,905.00M,0.12,,2017-07,AOR,Restated
2017-04,36.28B,36.28B,28.28B,8.004B,6.646B,6.646B,,270.00M,0.00,177.00M,-177.00M,,7.382B,622.00M,177.00M,-177.00M,0.00,-177.00M,445.00M,148.00M,297.00M,,,6.00M,303.00M,736.00M,622.00M,,2017-04,0.33,,0.33,0.33,,2017-04,,,0.32,2017-04,914.00M,925.00M,0.12,,2017-04,AOR,Restated
2017-01,27.61B,27.61B,21.48B,6.128B,4.698B,4.698B,,215.00M,,126.00M,-126.00M,,5.27B,858.00M,126.00M,-126.00M,,-126.00M,732.00M,230.00M,502.00M,,,4.00M,506.00M,572.00M,858.00M,,2017-01,0.54,,0.54,0.54,,2017-01,,,0.53,2017-01,930.00M,946.00M,0.12,,2017-01,AOR,Restated
2016-10,26.56B,26.56B,20.65B,5.904B,4.642B,4.642B,,199.00M,,124.00M,-124.00M,,5.191B,713.00M,124.00M,-124.00M,,-124.00M,589.00M,206.00M,383.00M,,,8.00M,391.00M,549.00M,713.00M,,2016-10,0.41,,0.41,0.41,,2016-10,,,0.41,2016-10,940.00M,953.00M,0.12,,2016-10,AOR,Restated
2016-07,26.56B,26.56B,20.70B,5.868B,4.678B,4.678B,,205.00M,,116.00M,-116.00M,,5.203B,665.00M,116.00M,-116.00M,,-116.00M,549.00M,171.00M,378.00M,,,5.00M,383.00M,525.00M,665.00M,,2016-07,0.40,,0.40,0.40,,2016-07,,,0.40,2016-07,943.00M,959.00M,0.105,,2016-07,AOR,Restated
2016-04,34.60B,34.60B,26.67B,7.935B,6.041B,6.041B,,262.00M,,155.00M,-155.00M,,6.735B,1.20B,155.00M,-155.00M,,-155.00M,1.045B,350.00M,695.00M,,,1.00M,696.00M,694.00M,1.20B,,2016-04,0.72,,0.72,0.72,,2016-04,,,0.71,2016-04,954.00M,966.00M,0.105,,2016-04,AOR,Restated
2016-01,26.16B,26.16B,20.19B,5.972B,4.536B,4.536B,,181.00M,,113.00M,-113.00M,,5.044B,928.00M,113.00M,-113.00M,,-113.00M,815.00M,250.00M,565.00M,,,-6.00M,559.00M,508.00M,928.00M,,2016-01,0.57,,0.57,0.57,,2016-01,,,0.57,2016-01,966.00M,980.00M,0.105,,2016-01,AOR,Restated
2015-10,25.08B,25.08B,19.48B,5.597B,4.341B,4.341B,,172.00M,,107.00M,-107.00M,,4.825B,772.00M,107.00M,-107.00M,,-107.00M,665.00M,238.00M,427.00M,,,1.00M,428.00M,484.00M,772.00M,,2015-10,0.44,,0.44,0.44,,2015-10,,,0.43,2015-10,965.00M,979.00M,0.105,,2015-10,AOR,Restated
2015-07,25.54B,25.54B,20.06B,5.474B,4.223B,4.223B,,155.00M,,114.00M,-114.00M,,4.70B,774.00M,114.00M,-114.00M,,-114.00M,660.00M,227.00M,433.00M,,,0.00,433.00M,477.00M,774.00M,,2015-07,0.44,,0.44,0.44,,2015-07,,,0.44,2015-07,963.00M,977.00M,0.0925,,2015-07,AOR,Restated
2015-04,33.05B,33.05B,25.76B,7.291B,5.569B,5.569B,,215.00M,,148.00M,-148.00M,,6.189B,1.102B,148.00M,-148.00M,,-148.00M,954.00M,330.00M,624.00M,,,-5.00M,619.00M,620.00M,1.102B,,2015-04,0.63,,0.63,0.63,,2015-04,,,0.62,2015-04,969.00M,983.00M,0.0925,,2015-04,AOR,Restated
2015-01,25.21B,25.21B,19.55B,5.66B,4.281B,4.281B,,162.00M,,115.00M,-115.00M,,4.748B,912.00M,115.00M,-115.00M,,-115.00M,797.00M,274.00M,523.00M,,,-5.00M,518.00M,467.00M,912.00M,,2015-01,0.53,,0.53,0.53,,2015-01,,,0.52,2015-01,975.00M,987.00M,0.0925,,2015-01,AOR,Restated
2014-10,24.99B,24.99B,19.76B,5.223B,4.116B,4.116B,,162.00M,,114.00M,-114.00M,,4.572B,651.00M,114.00M,-114.00M,,-114.00M,537.00M,172.00M,365.00M,,,-3.00M,362.00M,456.00M,651.00M,,2014-10,0.37,,0.37,0.37,,2014-10,,,0.36,2014-10,972.00M,984.00M,0.0825,,2014-10,AOR,Restated
2014-07,25.31B,25.31B,20.14B,5.174B,4.086B,4.086B,,166.00M,,112.00M,-112.00M,,4.53B,644.00M,112.00M,-112.00M,,-112.00M,532.00M,182.00M,350.00M,,,-3.00M,347.00M,444.00M,644.00M,,2014-07,0.35,,0.35,0.35,,2014-07,,,0.35,2014-07,970.00M,982.00M,0.0825,,2014-07,AOR,Restated
2014-04,32.96B,32.96B,26.06B,6.896B,5.385B,5.385B,,217.00M,,147.00M,-147.00M,,5.966B,930.00M,147.00M,-147.00M,,-147.00M,783.00M,274.00M,509.00M,,,-8.00M,501.00M,581.00M,930.00M,,2014-04,0.495,,0.495,0.495,,2014-04,,,0.49,2014-04,1.002B,1.014B,0.0825,,2014-04,AOR,Restated
2014-01,23.22B,23.22B,18.40B,4.825B,3.705B,3.705B,,147.00M,,107.00M,-107.00M,,4.107B,718.00M,107.00M,-107.00M,,-107.00M,611.00M,184.00M,427.00M,,,-5.00M,422.00M,402.00M,718.00M,,2014-01,0.41,,0.41,0.41,,2014-01,,,0.405,2014-01,1.022B,1.034B,0.0825,,2014-01,AOR,Restated
2013-10,22.47B,22.47B,17.87B,4.604B,3.675B,3.675B,,138.00M,,108.00M,-108.00M,,4.07B,534.00M,108.00M,-108.00M,,-108.00M,426.00M,125.00M,301.00M,,,-2.00M,299.00M,395.00M,534.00M,,2013-10,0.29,,0.29,0.29,,2013-10,,,0.285,2013-10,1.03B,1.042B,0.075,,2013-10,AOR,Restated
2013-07,22.69B,22.69B,18.06B,4.627B,3.645B,3.645B,387.00M,139.00M,,99.00M,-99.00M,,4.032B,595.00M,99.00M,-99.00M,,-99.00M,496.00M,176.00M,320.00M,,,-3.00M,317.00M,387.00M,595.00M,,2013-07,0.305,,0.305,0.305,,2013-07,,,0.30,2013-07,1.03B,1.042B,0.075,,2013-07,AOR,Restated
2013-04,30.00B,30.00B,23.82B,6.18B,4.782B,4.782B,,189.00M,,129.00M,-129.00M,,5.301B,879.00M,129.00M,-129.00M,,-129.00M,750.00M,266.00M,484.00M,,,-3.00M,481.00M,519.00M,879.00M,,2013-04,0.465,,0.465,0.465,,2013-04,,,0.46,2013-04,1.028B,1.04B,0.075,,2013-04,AOR,Restated
2013-01,24.02B,24.02B,18.97B,5.052B,3.845B,3.845B,,157.00M,,112.00M,-112.00M,,4.232B,820.00M,112.00M,-112.00M,,-112.00M,708.00M,239.00M,469.00M,,,-7.00M,462.00M,387.00M,820.00M,,2013-01,0.445,,0.445,0.445,,2013-01,,,0.44,2013-01,1.03B,1.038B,0.075,,2013-01,AOR,Restated
2012-10,21.81B,21.81B,17.38B,4.424B,3.446B,3.446B,382.00M,141.00M,,103.00M,-103.00M,,3.828B,596.00M,103.00M,-103.00M,,-103.00M,493.00M,175.00M,318.00M,,,-1.00M,317.00M,381.00M,596.00M,,2012-10,0.305,,0.305,0.305,,2012-10,,,0.30,2012-10,1.036B,1.044B,0.0575,,2012-10,AOR,Restated
2012-07,21.73B,21.73B,17.28B,4.448B,3.53B,3.53B,383.00M,139.00M,,106.00M,-106.00M,,3.913B,535.00M,106.00M,-106.00M,,-106.00M,429.00M,148.00M,281.00M,,,-2.00M,279.00M,383.00M,535.00M,,2012-07,0.26,,0.26,0.26,,2012-07,,,0.255,2012-07,1.076B,1.082B,0.0575,,2012-07,AOR,Restated
2012-04,29.06B,29.06B,23.10B,5.97B,4.655B,4.655B,,191.00M,,141.00M,-141.00M,,5.156B,814.00M,141.00M,-141.00M,,-141.00M,673.00M,232.00M,441.00M,,,-2.00M,439.00M,501.00M,814.00M,,2012-04,0.39,,0.39,0.39,,2012-04,,,0.39,2012-04,1.112B,1.118B,0.0575,,2012-04,AOR,Restated
2012-01,21.30B,21.30B,16.85B,4.45B,4.483B,4.483B,,144.00M,,101.00M,-101.00M,,4.875B,-425.00M,101.00M,-101.00M,,-101.00M,-526.00M,-221.00M,-305.00M,,,-2.00M,-307.00M,392.00M,-425.00M,,2012-01,-0.25,,-0.25,-0.25,,2012-01,,,-0.25,2012-01,1.138B,1.138B,0.0575,,2012-01,AOR,Restated
2011-10,20.59B,20.59B,16.36B,4.236B,3.459B,3.459B,,141.00M,,99.00M,-99.00M,,3.831B,405.00M,99.00M,-99.00M,,-99.00M,306.00M,108.00M,198.00M,,,-2.00M,196.00M,373.00M,405.00M,,2011-10,0.165,,0.165,0.165,,2011-10,,,0.165,2011-10,1.166B,1.172B,0.0525,,2011-10,AOR,Restated
2011-07,20.91B,20.91B,16.56B,4.358B,3.496B,3.496B,,143.00M,,97.00M,-97.00M,,3.87B,488.00M,97.00M,-97.00M,,-97.00M,391.00M,108.00M,283.00M,,,-2.00M,281.00M,374.00M,488.00M,,2011-07,0.235,,0.235,0.235,,2011-07,,,0.23,2011-07,1.192B,1.20B,0.0525,,2011-07,AOR,Restated
2011-04,27.46B,27.46B,21.62B,5.837B,4.527B,4.527B,,192.00M,,138.00M,-138.00M,,5.026B,811.00M,138.00M,-138.00M,,-138.00M,673.00M,252.00M,421.00M,,,11.00M,432.00M,499.00M,811.00M,,2011-04,0.355,,0.355,0.355,,2011-04,,,0.35,2011-04,1.216B,1.224B,0.0525,,2011-04,AOR,Restated
2011-01,19.88B,19.88B,15.55B,4.336B,3.373B,3.373B,,120.00M,,111.00M,-111.00M,,3.759B,577.00M,111.00M,-111.00M,,-111.00M,448.00M,165.00M,283.00M,,,-5.00M,278.00M,386.00M,559.00M,,2011-01,0.225,,0.225,0.225,,2011-01,,,0.22,2011-01,1.252B,1.258B,0.0525,,2011-01,AOR,Restated
2010-10,18.67B,18.67B,14.55B,4.117B,3.343B,3.343B,,154.00M,,103.00M,-103.00M,,3.711B,406.00M,103.00M,-103.00M,,-103.00M,303.00M,96.00M,207.00M,,,-5.00M,202.00M,368.00M,406.00M,,2010-10,0.16,,0.16,0.16,,2010-10,,,0.16,2010-10,1.266B,1.272B,0.0475,,2010-10,AOR,Restated
2010-07,18.76B,18.76B,14.55B,4.21B,3.348B,3.348B,,149.00M,,102.00M,-102.00M,,3.716B,494.00M,102.00M,-102.00M,,-102.00M,392.00M,124.00M,268.00M,,,-6.00M,262.00M,368.00M,494.00M,,2010-07,0.205,,0.205,0.205,,2010-07,,,0.205,2010-07,1.274B,1.28B,0.0475,,2010-07,AOR,Restated
2010-04,24.74B,24.74B,19.16B,5.583B,4.382B,4.382B,,200.00M,,132.00M,-132.00M,,4.86B,723.00M,132.00M,-132.00M,,-132.00M,591.00M,216.00M,375.00M,,,-1.00M,374.00M,478.00M,723.00M,,2010-04,0.29,,0.29,0.29,,2010-04,,,0.29,2010-04,1.282B,1.29B,0.0475,,2010-04,AOR,Restated
2010-01,18.43B,18.43B,14.27B,4.156B,3.282B,3.282B,,118.00M,0.00,119.00M,-119.00M,,3.65B,506.00M,119.00M,-119.00M,0.00,-119.00M,387.00M,136.00M,251.00M,,,4.00M,255.00M,368.00M,506.00M,,2010-01,0.20,,0.20,0.20,,2010-01,,,0.20,2010-01,1.294B,1.318B,0.0475,,2010-01,AOR,Restated
2009-10,17.66B,17.66B,13.66B,4.00B,3.289B,3.289B,,152.00M,-1.113B,105.00M,-105.00M,,3.645B,355.00M,105.00M,-105.00M,-1.113B,-105.00M,-863.00M,13.00M,-876.00M,,,1.00M,-875.00M,356.00M,-758.00M,,2009-10,-0.675,,-0.1151,-0.675,,2009-10,,,-0.1151,2009-10,1.292B,1.292B,0.045,,2009-10,AOR,Restated
2009-07,17.73B,17.73B,13.65B,4.082B,3.235B,3.235B,,150.00M,,115.00M,-115.00M,,3.583B,499.00M,115.00M,-115.00M,,-115.00M,384.00M,133.00M,251.00M,,,4.00M,255.00M,348.00M,499.00M,,2009-07,0.195,,0.195,0.195,,2009-07,,,0.195,2009-07,1.296B,1.302B,0.045,,2009-07,AOR,Restated
2009-04,22.79B,22.79B,17.27B,5.523B,4.226B,4.226B,,200.00M,,163.00M,-163.00M,,4.679B,844.00M,163.00M,-163.00M,,-163.00M,681.00M,250.00M,431.00M,,,4.00M,435.00M,453.00M,844.00M,,2009-04,0.335,,0.335,0.335,,2009-04,,,0.33,2009-04,1.296B,1.302B,0.045,,2009-04,AOR,Restated
2009-01,17.30B,17.30B,13.09B,4.207B,3.201B,3.201B,,149.00M,,116.00M,-116.00M,,3.549B,658.00M,116.00M,-116.00M,,-116.00M,542.00M,195.00M,347.00M,,,2.00M,349.00M,348.00M,658.00M,,2009-01,0.27,,0.27,0.27,,2009-01,,,0.265,2009-01,1.298B,1.31B,0.045,,2009-01,,Restated
2008-10,17.62B,17.62B,13.54B,4.07B,3.256B,3.256B,,152.00M,0.00,106.00M,-106.00M,,3.591B,479.00M,106.00M,-106.00M,,-106.00M,373.00M,136.00M,237.00M,,,0.00,237.00M,335.00M,479.00M,,2008-10,0.18,,0.18,0.18,,2008-10,,,0.18,2008-10,1.298B,1.31B,0.045,,2008-10,,Restated
2008-07,18.09B,18.09B,14.07B,4.028B,3.155B,3.155B,,151.00M,,111.00M,-111.00M,,3.482B,546.00M,111.00M,-111.00M,,-111.00M,435.00M,159.00M,276.00M,,,1.00M,277.00M,327.00M,546.00M,,2008-07,0.21,,0.21,0.21,,2008-07,,,0.21,2008-07,1.302B,1.316B,0.045,,2008-07,,Restated
2008-04,23.14B,23.14B,17.84B,5.299B,4.097B,4.097B,,207.00M,,152.00M,-152.00M,,4.53B,769.00M,152.00M,-152.00M,,-152.00M,617.00M,227.00M,390.00M,,,-4.00M,386.00M,433.00M,769.00M,,2008-04,0.29,,0.29,0.29,,2008-04,,,0.29,2008-04,1.314B,1.326B,0.0375,,2008-04,,Restated
2008-01,17.34B,17.34B,13.16B,4.176B,,3.161B,,,,,,,3.486B,690.00M,,,,,576.00M,210.00M,366.00M,,,,351.00M,325.00M,690.00M,,2008-01,0.26,,0.26,0.26,,2008-01,,,0.255,2008-01,1.344B,1.352B,0.0375,,2008-01,,Restated
2007-10,16.14B,16.14B,12.40B,3.733B,,2.973B,,,,,,,3.288B,445.00M,,,,,335.00M,81.00M,254.00M,,,,254.00M,315.00M,445.00M,,2007-10,0.185,,0.185,0.185,,2007-10,,,0.185,2007-10,1.356B,1.37B,0.0375,,2007-10,,
2007-07,16.14B,16.14B,12.32B,3.824B,,2.976B,,,,,,,3.287B,537.00M,,,,,433.00M,166.00M,267.00M,,,,267.00M,311.00M,537.00M,,2007-07,0.19,,0.19,0.19,,2007-07,,,0.19,2007-07,1.404B,1.418B,0.0375,,2007-07,,
2007-04,20.73B,20.73B,15.83B,4.892B,,3.798B,,,,,,,4.202B,690.00M,,,,,544.00M,207.00M,337.00M,,,,337.00M,404.00M,690.00M,,2007-04,0.24,,0.24,0.24,,2007-04,,,0.235,2007-04,1.412B,1.43B,0.0325,,2007-04,,
2007-01,16.86B,16.86B,12.73B,4.131B,,3.138B,,,,,,,3.437B,694.00M,,,,,578.00M,193.00M,385.00M,,,,385.00M,299.00M,694.00M,,2007-01,0.27,,0.27,0.27,,2007-01,,,0.265,2007-01,1.412B,1.434B,0.0325,,2007-01,,
2006-10,14.70B,14.70B,11.13B,3.568B,,2.824B,,,,,,,3.119B,449.00M,,,,,342.00M,127.00M,215.00M,,,,215.00M,295.00M,449.00M,,2006-10,0.15,,0.15,0.15,,2006-10,,,0.15,2006-10,1.424B,1.44B,0.0325,,2006-10,,
2006-07,15.14B,15.14B,11.60B,3.54B,,2.802B,,,,,,,3.092B,448.00M,,,,,338.00M,129.00M,209.00M,,,,209.00M,290.00M,448.00M,,2006-07,0.145,,0.145,0.145,,2006-07,,,0.145,2006-07,1.438B,1.45B,0.0325,,2006-07,,
2006-04,19.42B,19.42B,14.66B,4.756B,,3.724B,,,,,,,4.112B,644.00M,,,,,489.00M,183.00M,306.00M,,,,306.00M,388.00M,644.00M,,2006-04,0.21,,0.21,0.21,,2006-04,,,0.21,2006-04,1.444B,1.458B,0.00,,2006-04,,
2006-01,14.72B,14.72B,11.06B,3.658B,,2.794B,,,,,,,3.09B,568.00M,,,,,452.00M,170.00M,282.00M,,,,282.00M,296.00M,568.00M,,2006-01,0.195,,0.195,0.195,,2006-01,,,0.195,2006-01,1.442B,1.462B,0.00,,2006-01,,
2005-10,14.02B,14.02B,10.60B,3.424B,,2.722B,,,,,,,3.009B,415.00M,,,,,301.00M,116.00M,185.00M,,,,185.00M,287.00M,415.00M,,2005-10,0.13,,0.13,0.13,,2005-10,,,0.125,2005-10,1.448B,1.464B,0.00,,2005-10,,
2005-07,13.86B,13.86B,10.46B,3.401B,,2.673B,,,,,,,2.967B,434.00M,,,,,313.00M,117.00M,196.00M,,,,196.00M,293.00M,434.00M,,2005-07,0.135,,0.135,0.135,,2005-07,,,0.135,2005-07,1.444B,1.46B,0.00,,2005-07,,
2005-04,17.95B,17.95B,13.44B,4.505B,,3.498B,,,,,,,3.887B,618.00M,,,,,459.00M,165.00M,294.00M,,,,294.00M,389.00M,618.00M,,2005-04,0.20,,0.20,0.20,,2005-04,,,0.20,2005-04,1.454B,1.464B,0.00,,2005-04,,
2005-01,13.70B,13.70B,10.27B,3.421B,,2.675B,,,,,,903.00M,3.885B,-464.00M,,,,,-579.00M,73.00M,-652.00M,,,,-652.00M,307.00M,-464.00M,,2005-01,-0.44,,-0.44,-0.44,,2005-01,,,-0.44,2005-01,1.46B,1.46B,0.00,,2005-01,,
2004-10,12.85B,12.85B,9.632B,3.222B,,2.598B,,,,,,,2.885B,337.00M,,,,,220.00M,77.00M,143.00M,,,,143.00M,287.00M,337.00M,,2004-10,0.095,,0.095,0.095,,2004-10,,,0.095,2004-10,1.472B,1.484B,0.00,,2004-10,,
2004-07,12.98B,12.98B,9.721B,3.259B,,2.588B,,,,,,,2.878B,381.00M,,,,,229.00M,87.00M,142.00M,,,,142.00M,290.00M,381.00M,,2004-07,0.095,,0.095,0.095,,2004-07,,,0.095,2004-07,1.474B,1.488B,0.00,,2004-07,,
2004-04,16.90B,16.90B,12.52B,4.387B,,3.426B,,,,,,,3.798B,589.00M,,,,,417.00M,154.00M,263.00M,,,,263.00M,372.00M,589.00M,,2004-04,0.175,,0.175,0.175,,2004-04,,,0.175,2004-04,1.482B,1.498B,0.00,,2004-04,,
2004-01,13.03B,13.03B,9.589B,3.445B,,2.725B,,,,,,,3.621B,-176.00M,,,,,-304.00M,63.00M,-367.00M,,,,-367.00M,305.00M,-176.00M,,2004-01,-0.225,,-0.225,-0.225,,2004-01,,,-0.225,2004-01,1.482B,1.49B,0.00,,2004-01,,
2003-10,12.14B,12.14B,9.016B,3.125B,,2.521B,,,,,,,2.801B,324.00M,,,,,176.00M,66.00M,110.00M,,,,110.00M,280.00M,324.00M,,2003-10,0.075,,0.075,0.075,,2003-10,,,0.075,2003-10,1.486B,1.508B,0.00,,2003-10,,
2003-07,12.35B,12.35B,9.102B,3.249B,,2.538B,,,,,,,2.807B,442.00M,,,,,304.00M,114.00M,190.00M,,,,190.00M,269.00M,442.00M,,2003-07,0.125,,0.125,0.125,,2003-07,,,0.125,2003-07,1.494B,1.512B,0.00,,2003-07,,
2003-04,16.27B,16.27B,11.93B,4.336B,,3.228B,,,,,,,3.583B,753.00M,,,,,563.00M,211.00M,352.00M,,,,352.00M,355.00M,753.00M,,2003-04,0.235,,0.235,0.235,,2003-04,,,0.23,2003-04,1.508B,1.522B,0.00,,2003-04,,
2003-01,12.47B,12.47B,9.148B,3.322B,,2.396B,,,0.00,,,,2.663B,659.00M,,,0.00,,519.00M,195.00M,324.00M,,0.00,,324.00M,267.00M,659.00M,,2003-01,0.21,-0.0000,0.21,0.21,,2003-01,-0.0001,-0.0000,0.20,2003-01,1.528B,1.546B,0.00,,2003-01,,
2002-10,11.70B,11.70B,8.485B,3.211B,,2.42B,,,,,,,2.669B,542.00M,,,,,408.00M,153.00M,255.00M,,,,255.00M,250.00M,542.00M,,2002-10,0.165,,0.165,0.165,,2002-10,,,0.165,2002-10,1.54B,1.558B,0.00,,2002-10,,
2002-07,11.93B,11.93B,8.738B,3.189B,,2.367B,,,-1.00M,,,,2.614B,575.00M,,,-1.00M,,437.00M,164.00M,273.00M,,,,264.00M,247.00M,575.00M,,2002-07,0.175,-0.0057,0.1754,0.17,,2002-07,,-0.0057,0.1704,2002-07,1.572B,1.60B,0.00,,2002-07,,
