,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-10,254.00M,,,,,-50.00M,,,315.00M,315.00M,-89.00M,,,,134.00M,-56.00M,-648.00M,19.00M,323.00M,-16.00M,-43.00M,-442.00M,122.00M,,2007-10,-553.00M,23.00M,-530.00M,0.00,,-544.00M,,2007-10,,,812.00M,33.00M,-442.00M,-409.00M,,-52.00M,73.00M,,2007-10,164.00M,2.00M,166.00M,,2007-10,33.00M,,,-442.00M,,,2007-10,,
2007-07,267.00M,,,,,75.00M,,,311.00M,311.00M,-1.00M,,,,20.00M,40.00M,98.00M,17.00M,-64.00M,7.00M,414.00M,374.00M,1.046B,,2007-07,-467.00M,9.00M,-458.00M,-86.00M,,-569.00M,,2007-07,,,70.00M,31.00M,-578.00M,-547.00M,,-53.00M,29.00M,,2007-07,188.00M,-24.00M,164.00M,,2007-07,31.00M,,,-578.00M,,,2007-07,,
2007-04,337.00M,,,,,8.00M,,,404.00M,404.00M,-12.00M,,,,61.00M,50.00M,-109.00M,286.00M,90.00M,43.00M,-162.00M,311.00M,1.109B,,2007-04,-608.00M,14.00M,-594.00M,,,-601.00M,,2007-04,,,-453.00M,151.00M,-132.00M,19.00M,,-46.00M,-29.00M,,2007-04,189.00M,-1.00M,188.00M,,2007-04,151.00M,,,-132.00M,,,2007-04,,
2007-01,385.00M,,,,,-110.00M,,,299.00M,299.00M,31.00M,,,,175.00M,-52.00M,362.00M,-320.00M,-76.00M,-17.00M,47.00M,-260.00M,520.00M,,2007-01,-505.00M,17.00M,-488.00M,,,-495.00M,,2007-01,,,84.00M,79.00M,-106.00M,-27.00M,,-46.00M,12.00M,,2007-01,141.00M,48.00M,189.00M,,2007-01,79.00M,,,-106.00M,,,2007-01,,
2006-10,215.00M,,,,,76.00M,,,295.00M,295.00M,-27.00M,,,,-32.00M,-9.00M,-570.00M,20.00M,215.00M,-55.00M,3.00M,-542.00M,-15.00M,,2006-10,-415.00M,51.00M,-364.00M,,,-390.00M,,2006-10,,,4.00M,13.00M,-232.00M,-219.00M,,-47.00M,5.00M,,2006-10,803.00M,-662.00M,141.00M,,2006-10,13.00M,,,-232.00M,,,2006-10,,
2006-07,209.00M,,,,,-7.00M,,,290.00M,290.00M,-45.00M,,,,69.00M,-13.00M,3.00M,33.00M,49.00M,-18.00M,165.00M,346.00M,862.00M,,2006-07,-343.00M,22.00M,-321.00M,,,-332.00M,,2006-07,,,-188.00M,27.00M,-161.00M,-134.00M,,-47.00M,-17.00M,,2006-07,659.00M,144.00M,803.00M,,2006-07,27.00M,,,-161.00M,,,2006-07,,
2006-04,306.00M,,,,,61.00M,,,388.00M,388.00M,-19.00M,,,,71.00M,-16.00M,32.00M,224.00M,68.00M,-35.00M,-117.00M,177.00M,984.00M,,2006-04,-420.00M,53.00M,-367.00M,,,-370.00M,,2006-04,,,-79.00M,49.00M,-134.00M,-85.00M,,,-1.00M,,2006-04,210.00M,449.00M,659.00M,,2006-04,49.00M,,,-134.00M,,,2006-04,,
2006-01,282.00M,,,,,142.00M,,,296.00M,296.00M,-1.00M,,,,,-16.00M,300.00M,-290.00M,-424.00M,74.00M,-106.00M,-576.00M,143.00M,,2006-01,-295.00M,8.00M,-287.00M,,,-307.00M,,2006-01,,,109.00M,2.00M,-50.00M,-48.00M,,,76.00M,,2006-01,237.00M,-27.00M,210.00M,,2006-01,2.00M,,,-50.00M,,,2006-01,,
2005-10,186.00M,,,,,13.00M,,,287.00M,287.00M,-34.00M,,,,,-23.00M,-545.00M,21.00M,479.00M,-53.00M,-87.00M,-195.00M,257.00M,,2005-10,-339.00M,19.00M,-320.00M,,,-326.00M,,2005-10,,,-83.00M,21.00M,-11.00M,10.00M,,,,,2005-10,379.00M,-142.00M,237.00M,,2005-10,21.00M,,,-11.00M,,,2005-10,,
2005-07,196.00M,,,,,20.00M,,,293.00M,293.00M,-8.00M,,,,,-25.00M,35.00M,35.00M,0.00,12.00M,222.00M,318.00M,819.00M,,2005-07,-271.00M,14.00M,-257.00M,,,-269.00M,,2005-07,,,-321.00M,33.00M,-38.00M,-5.00M,,,20.00M,,2005-07,135.00M,244.00M,379.00M,,2005-07,33.00M,,,-38.00M,,,2005-07,,
2005-04,294.00M,,,,,29.00M,,,389.00M,389.00M,-20.00M,,,,,45.00M,53.00M,265.00M,-135.00M,-15.00M,33.00M,281.00M,973.00M,,2005-04,-401.00M,28.00M,-373.00M,,,-377.00M,,2005-04,,,-454.00M,22.00M,-153.00M,-131.00M,,,-20.00M,,2005-04,144.00M,-9.00M,135.00M,,2005-04,22.00M,,,-153.00M,,,2005-04,,
2005-01,-648.00M,,,,,900.00M,,,307.00M,307.00M,87.00M,,,,,-7.00M,256.00M,-345.00M,-203.00M,61.00M,-58.00M,-386.00M,260.00M,,2005-01,-357.00M,28.00M,-329.00M,0.00,,-371.00M,,2005-01,,,126.00M,-8.00M,-70.00M,-78.00M,,,77.00M,,2005-01,130.00M,14.00M,144.00M,,2005-01,-8.00M,,,-70.00M,,,2005-01,,
2004-10,143.00M,,,,,49.00M,,,287.00M,287.00M,41.00M,,,,,-62.00M,-570.00M,28.00M,336.00M,-70.00M,-29.00M,-254.00M,266.00M,,2004-10,-429.00M,12.00M,-417.00M,0.00,,-420.00M,,2004-10,,,351.00M,14.00M,-80.00M,-66.00M,,,-128.00M,,2004-10,127.00M,3.00M,130.00M,,2004-10,14.00M,,,-80.00M,,,2004-10,,
2004-07,142.00M,,,,,4.00M,,,290.00M,290.00M,56.00M,,,,,19.00M,149.00M,82.00M,-44.00M,-4.00M,176.00M,371.00M,863.00M,,2004-07,-395.00M,32.00M,-363.00M,-21.00M,,-370.00M,,2004-07,,,-544.00M,4.00M,-48.00M,-44.00M,,,79.00M,,2004-07,143.00M,-16.00M,127.00M,,2004-07,4.00M,,,-48.00M,,,2004-07,,
2004-04,263.00M,,,,,12.00M,,,372.00M,372.00M,46.00M,,,,,63.00M,-71.00M,204.00M,78.00M,86.00M,-106.00M,248.00M,941.00M,,2004-04,-453.00M,14.00M,-439.00M,-4.00M,,-447.00M,,2004-04,,,-321.00M,15.00M,-121.00M,-106.00M,,,-83.00M,,2004-04,159.00M,-16.00M,143.00M,,2004-04,15.00M,,,-121.00M,,,2004-04,,
2004-01,-340.00M,,,,,564.00M,,,305.00M,305.00M,200.00M,,,,,-51.00M,304.00M,-300.00M,106.00M,-363.00M,-192.00M,-433.00M,296.00M,,2004-01,-353.00M,30.00M,-323.00M,-31.00M,,-361.00M,,2004-01,,,-13.00M,6.00M,1.00M,7.00M,,,95.00M,,2004-01,135.00M,24.00M,159.00M,,2004-01,6.00M,,,1.00M,,,2004-01,,
2003-10,110.00M,,,,,9.00M,,,280.00M,280.00M,24.00M,,,,,-42.00M,-462.00M,17.00M,181.00M,,42.00M,-313.00M,110.00M,,2003-10,-564.00M,11.00M,-553.00M,-13.00M,,-562.00M,,2003-10,,,231.00M,18.00M,-63.00M,-45.00M,,,-5.00M,,2003-10,406.00M,-271.00M,135.00M,,2003-10,18.00M,,,-63.00M,,,2003-10,,
2003-07,190.00M,,,,,39.00M,,,269.00M,269.00M,29.00M,,,,,8.00M,184.00M,65.00M,-293.00M,165.00M,248.00M,349.00M,876.00M,,2003-07,-419.00M,14.00M,-405.00M,-37.00M,,-447.00M,,2003-07,,,-80.00M,10.00M,-108.00M,-98.00M,,,-1.00M,,2003-07,156.00M,250.00M,406.00M,,2003-07,10.00M,,,-108.00M,,,2003-07,,
2003-04,352.00M,,,,,8.00M,,,355.00M,355.00M,76.00M,,,,,88.00M,-46.00M,223.00M,50.00M,-165.00M,-36.00M,142.00M,933.00M,,2003-04,-664.00M,13.00M,-651.00M,-6.00M,,-656.00M,,2003-04,,,-278.00M,5.00M,-131.00M,-126.00M,,,112.00M,,2003-04,171.00M,-15.00M,156.00M,,2003-04,5.00M,,,-131.00M,,,2003-04,,
2003-01,324.00M,,,,,67.00M,,,267.00M,267.00M,290.00M,,,,-11.00M,1.00M,409.00M,,-158.00M,,39.00M,-127.00M,810.00M,,2003-01,-448.00M,33.00M,-415.00M,-17.00M,,-435.00M,,2003-01,,,-216.00M,7.00M,-113.00M,-106.00M,,,-19.00M,,2003-01,137.00M,34.00M,171.00M,,2003-01,7.00M,,,-113.00M,,,2003-01,,
2002-10,255.00M,,,,,-7.00M,,,250.00M,250.00M,78.00M,,,,11.00M,-74.00M,-561.00M,,176.00M,,-300.00M,-375.00M,212.00M,,2002-10,-414.00M,7.00M,-407.00M,0.00,,-390.00M,,2002-10,,,362.00M,6.00M,-219.00M,-213.00M,,,-1.00M,,2002-10,167.00M,-30.00M,137.00M,,2002-10,6.00M,,,-219.00M,,,2002-10,,
2002-07,264.00M,,,,,22.00M,,,247.00M,247.00M,25.00M,,,,,37.00M,117.00M,,59.00M,,94.00M,307.00M,865.00M,,2002-07,-248.00M,30.00M,-218.00M,0.00,,-370.00M,,2002-07,,,-183.00M,4.00M,-336.00M,-332.00M,,,2.00M,,2002-07,185.00M,-18.00M,167.00M,,2002-07,4.00M,,,-336.00M,,,2002-07,,
2002-04,362.00M,,,,,35.00M,,,323.00M,323.00M,75.00M,,,,,38.00M,-27.00M,,284.00M,,206.00M,501.00M,1.296B,,2002-04,-781.00M,20.00M,-761.00M,-109.00M,,-712.00M,,2002-04,,,-455.00M,24.00M,-117.00M,-93.00M,,,-12.00M,,2002-04,161.00M,24.00M,185.00M,,2002-04,24.00M,,,-117.00M,,,2002-04,,
2002-01,351.00M,,,,,-191.00M,237.00M,19.00M,256.00M,256.00M,109.00M,,,,,2.00M,393.00M,,-757.00M,,-182.00M,-776.00M,-7.00M,,2002-01,-377.00M,19.00M,-358.00M,0.00,,-347.00M,,2002-01,,,489.00M,6.00M,-121.00M,-115.00M,,,-2.00M,,2002-01,143.00M,18.00M,161.00M,,2002-01,6.00M,,,-121.00M,,,2002-01,,
2001-10,133.00M,,,,,198.00M,227.00M,27.00M,254.00M,254.00M,84.00M,,,,,-32.00M,-536.00M,,431.00M,,-235.00M,-140.00M,529.00M,,2001-10,-388.00M,26.00M,-362.00M,-18.00M,,-371.00M,,2001-10,,,-44.00M,20.00M,-126.00M,-106.00M,,,-2.00M,,2001-10,137.00M,6.00M,143.00M,,2001-10,20.00M,,,-126.00M,,,2001-10,,
2001-07,255.00M,,,,,11.00M,221.00M,26.00M,247.00M,247.00M,80.00M,,,,,23.00M,164.00M,,226.00M,,235.00M,616.00M,1.209B,,2001-07,-530.00M,12.00M,-518.00M,-18.00M,,-542.00M,,2001-07,,,-460.00M,12.00M,-181.00M,-169.00M,,,-61.00M,,2001-07,160.00M,-23.00M,137.00M,,2001-07,12.00M,,,-181.00M,,,2001-07,,
2001-04,304.00M,,,,,23.00M,288.00M,31.00M,319.00M,319.00M,-15.00M,,,,,29.00M,-142.00M,,66.00M,,,-15.00M,616.00M,,2001-04,-618.00M,13.00M,-605.00M,-67.00M,,-654.00M,,2001-04,,,260.00M,34.00M,-304.00M,-270.00M,,,47.00M,,2001-04,161.00M,-1.00M,160.00M,,2001-04,34.00M,,,-304.00M,,,2001-04,,
2001-01,357.00M,,,,,246.00M,,,233.00M,233.00M,62.00M,,,,-282.00M,-56.00M,360.00M,,-425.00M,,-276.00M,-403.00M,213.00M,,2001-01,-385.00M,45.00M,-340.00M,0.00,,-285.00M,,2001-01,,,97.00M,13.00M,-167.00M,-154.00M,,,159.00M,,2001-01,131.00M,30.00M,161.00M,,2001-01,13.00M,,,-167.00M,,,2001-01,,
2000-10,199.00M,,,,,2.00M,,,234.00M,234.00M,-38.00M,,,,21.00M,-44.00M,-614.00M,,322.00M,,276.00M,-245.00M,173.00M,,2000-10,-400.00M,14.00M,-386.00M,0.00,,-380.00M,,2000-10,,,285.00M,7.00M,-104.00M,-97.00M,,,-5.00M,,2000-10,155.00M,-24.00M,131.00M,,2000-10,7.00M,,,-104.00M,,,2000-10,,
2000-07,218.00M,,,,,16.00M,,,234.00M,234.00M,8.00M,,,,3.00M,35.00M,111.00M,,9.00M,,,373.00M,852.00M,,2000-07,-383.00M,28.00M,-355.00M,-31.00M,,-361.00M,,2000-07,,,-415.00M,17.00M,-101.00M,-84.00M,,,0.00,,2000-07,163.00M,-8.00M,155.00M,,2000-07,17.00M,,,-101.00M,,,2000-07,,
2000-04,106.00M,,,,,18.00M,,,307.00M,307.00M,181.00M,,,,258.00M,16.00M,29.00M,,161.00M,,,173.00M,1.043B,,2000-04,-455.00M,40.00M,-415.00M,-36.00M,,-497.00M,,2000-04,,,-468.00M,20.00M,-209.00M,-189.00M,,,-7.00M,,2000-04,281.00M,-118.00M,163.00M,,2000-04,20.00M,,,-209.00M,,,2000-04,,
2000-01,231.00M,,,,,104.00M,,,223.00M,223.00M,202.00M,,,,,5.00M,394.00M,,-421.00M,,-367.00M,-523.00M,237.00M,,2000-01,-221.00M,38.00M,-183.00M,,,-408.00M,,2000-01,,,112.00M,4.00M,,-2.00M,,,59.00M,,2000-01,283.00M,-2.00M,281.00M,,2000-01,4.00M,,,,,,2000-01,,
1999-10,129.00M,,,,,-10.00M,,,226.00M,226.00M,37.00M,,,,-25.00M,-74.00M,-606.00M,,379.00M,,367.00M,-261.00M,96.00M,,1999-10,-624.00M,52.00M,-572.00M,,,-565.00M,,1999-10,,,480.00M,27.00M,,27.00M,,,-59.00M,,1999-10,304.00M,-21.00M,283.00M,,1999-10,27.00M,,,,,,1999-10,,
1999-07,56.00M,,,,,-6.00M,,,216.00M,216.00M,27.00M,,,,23.00M,-52.00M,-28.00M,,67.00M,,,305.00M,621.00M,,1999-07,-404.00M,34.00M,-370.00M,,,-388.00M,,1999-07,,,-251.00M,14.00M,,14.00M,,,-6.00M,,1999-07,314.00M,-10.00M,304.00M,,1999-07,14.00M,,,,,,1999-07,,
1999-04,207.00M,,,,,8.00M,,,281.00M,281.00M,42.00M,,,,2.00M,51.00M,-31.00M,,25.00M,,,54.00M,594.00M,,1999-04,-442.00M,15.00M,-427.00M,,,-449.00M,,1999-04,,,-111.00M,22.00M,,22.00M,,,-5.00M,,1999-04,263.00M,51.00M,314.00M,,1999-04,22.00M,,,,,,1999-04,,
1998-12,273.00M,,,,,117.00M,,,190.00M,190.00M,-36.00M,,,,,-80.00M,124.00M,,-128.00M,,-312.00M,-171.00M,373.00M,,1998-12,-375.00M,32.00M,-343.00M,,,-152.00M,,1998-12,,,-611.00M,20.00M,0.00,20.00M,,,408.00M,,1998-12,261.00M,38.00M,299.00M,,1998-12,20.00M,,,0.00,,,1998-12,,
1998-09,150.00M,,,,,93.00M,,,223.00M,223.00M,-7.00M,,,,-76.00M,-1.00M,-333.00M,,300.00M,,312.00M,76.00M,459.00M,,1998-09,-601.00M,-32.00M,-633.00M,,,-753.00M,,1998-09,,,812.00M,31.00M,-77.00M,-46.00M,,,-439.00M,,1998-09,228.00M,33.00M,261.00M,,1998-09,31.00M,,,-77.00M,,,1998-09,,
1998-06,30.00M,,,,,-6.00M,,,327.00M,327.00M,-3.00M,,,,76.00M,-8.00M,122.00M,,69.00M,-8.00M,-34.00M,344.00M,768.00M,,1998-06,-495.00M,71.00M,-424.00M,,,-406.00M,,1998-06,,,-257.00M,55.00M,-20.00M,35.00M,,,-89.00M,,1998-06,0.00,51.00M,228.00M,,1998-06,55.00M,,,-20.00M,,,1998-06,,
