,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-09,2.249B,,2.249B,5.791B,,5.791B,584.00M,143.00M,1.965B,2.692B,,,2.105B,14.92B,,,,,,20.56B,-9.54B,11.02B,2.124B,,2.124B,,,2.187B,15.33B,30.25B,,2.193B,,2.193B,,2.193B,,,648.00M,,648.00M,,,1.991B,5.703B,7.243B,,7.243B,,,576.00M,32.00M,1.246B,9.065B,14.77B,,2.677B,20.71B,243.00M,7.727B,,,-451.00M,15.45B,,AOR,Restated
2015-06,2.76B,,2.76B,5.633B,,5.633B,593.00M,167.00M,2.071B,2.831B,,,1.896B,15.22B,,,,,,20.49B,-9.34B,11.15B,1.983B,,1.983B,,,2.246B,15.38B,30.61B,,2.181B,,2.181B,,2.181B,,,,,,,,2.015B,5.005B,7.838B,,7.838B,,,595.00M,30.00M,1.453B,9.886B,14.89B,,2.677B,20.91B,176.00M,7.784B,,,-298.00M,15.68B,,AOR,Restated
2015-03,2.294B,,2.294B,6.419B,,6.419B,883.00M,217.00M,2.367B,3.467B,,,1.645B,13.82B,,,,,,23.54B,-11.25B,12.30B,2.332B,,2.332B,,,2.131B,16.76B,30.59B,,2.424B,,2.424B,,2.424B,,,,,,,,1.82B,5.018B,7.841B,,7.841B,,,643.00M,32.00M,1.462B,9.946B,14.96B,,2.678B,21.01B,309.00M,8.007B,,,-402.00M,15.59B,,AOR,Restated
2014-12,2.291B,,2.291B,7.564B,,7.564B,754.00M,211.00M,2.606B,3.571B,658.00M,,563.00M,14.65B,0.00,217.00M,3.311B,19.95B,,23.48B,-11.01B,12.48B,2.33B,,2.33B,,,2.713B,17.52B,32.16B,,2.814B,407.00M,3.221B,,3.221B,,,14.00M,,14.00M,349.00M,349.00M,1.249B,5.866B,7.765B,,7.765B,,,691.00M,31.00M,1.545B,10.00B,15.87B,,2.679B,21.81B,309.00M,8.131B,,,-399.00M,16.27B,,AOR,Restated
2014-09,2.029B,,2.029B,7.555B,,7.555B,799.00M,230.00M,2.621B,3.65B,,,1.613B,14.85B,,,,,,22.71B,-10.66B,12.05B,2.312B,,2.312B,,,2.374B,16.74B,31.58B,,3.005B,,3.005B,,3.005B,,,,,,,,1.898B,5.889B,7.816B,,7.816B,,,580.00M,27.00M,1.78B,10.18B,16.06B,,2.679B,21.06B,299.00M,8.24B,,,-307.00M,15.49B,,AOR,Restated
2014-06,2.36B,,2.36B,6.781B,,6.781B,783.00M,191.00M,2.555B,3.529B,,,1.495B,14.16B,,,,,,22.00B,-10.32B,11.68B,2.267B,,2.267B,,,2.375B,16.32B,30.48B,,2.727B,,2.727B,,2.727B,,,,,,,,1.702B,5.369B,7.816B,,7.816B,,,583.00M,25.00M,2.129B,10.53B,15.90B,,2.679B,19.98B,244.00M,8.042B,,,-303.00M,14.56B,,AOR,Restated
2014-03,2.123B,,2.123B,6.314B,,6.314B,744.00M,162.00M,2.509B,3.415B,,,1.634B,13.49B,,,,,,21.47B,-10.00B,11.46B,2.193B,,2.193B,,,2.114B,15.77B,29.26B,,2.525B,,2.525B,,2.525B,,,,,,,,1.584B,4.932B,7.816B,,7.816B,,,570.00M,27.00M,2.186B,10.57B,15.50B,,2.68B,19.34B,410.00M,8.399B,,,-303.00M,13.72B,,AOR,Restated
2013-12,2.356B,,2.356B,6.181B,,6.181B,720.00M,140.00M,2.445B,3.305B,737.00M,388.00M,737.00M,13.70B,0.00,213.00M,2.685B,17.90B,,20.80B,-9.48B,11.32B,2.168B,,2.168B,,,2.029B,15.52B,29.22B,,2.365B,357.00M,2.722B,,2.722B,,,,,,350.00M,350.00M,925.00M,5.026B,7.816B,,7.816B,,,584.00M,34.00M,2.182B,10.58B,15.61B,,2.68B,18.84B,415.00M,8.049B,,,-307.00M,13.58B,,AOR,Restated
2013-09,1.491B,,1.491B,6.626B,,6.626B,805.00M,153.00M,2.441B,3.399B,,,1.374B,12.89B,,,,,,20.09B,-9.137B,10.95B,2.125B,,2.125B,,,1.984B,15.06B,27.95B,,2.278B,,2.278B,,2.278B,,,,,,,,1.556B,4.762B,7.816B,,7.816B,,,575.00M,30.00M,1.977B,10.37B,15.13B,,2.681B,18.18B,401.00M,8.171B,,,-300.00M,12.79B,,AOR,Restated
2013-06,1.412B,,1.412B,6.359B,,6.359B,831.00M,148.00M,2.362B,3.341B,,,1.509B,12.62B,,,,,,19.55B,-8.796B,10.75B,2.116B,,2.116B,,,1.928B,14.80B,27.42B,,2.251B,,2.251B,,2.251B,,,,,,,,1.659B,4.777B,4.82B,,4.82B,,,565.00M,28.00M,1.891B,7.276B,12.05B,,2.681B,17.58B,367.00M,4.986B,,,-302.00M,15.34B,,AOR,Restated
2013-03,2.029B,,2.029B,6.21B,,6.21B,828.00M,128.00M,2.301B,3.257B,,,1.656B,13.15B,,,,,,18.89B,-8.381B,10.51B,2.119B,,2.119B,,,1.904B,14.53B,27.68B,,2.197B,,2.197B,,2.197B,,,,,,,,1.698B,4.666B,4.82B,,4.82B,,,566.00M,27.00M,1.895B,7.281B,11.95B,,2.681B,17.05B,485.00M,4.201B,,,-303.00M,15.71B,,AOR,Restated
2012-12,2.484B,,2.484B,5.787B,,5.787B,793.00M,129.00M,2.264B,3.186B,608.00M,351.00M,670.00M,13.09B,0.00,145.00M,1.861B,16.31B,,18.31B,-8.056B,10.26B,2.135B,,2.135B,,,1.932B,14.32B,27.41B,,2.041B,,2.041B,,2.041B,,,,,,307.00M,307.00M,1.474B,4.752B,4.82B,,4.82B,,,607.00M,25.00M,1.441B,6.868B,11.62B,,2.682B,17.18B,486.00M,4.276B,,,-309.00M,15.76B,,AOR,Restated
2012-09,2.032B,,2.032B,5.991B,,5.87B,831.00M,144.00M,2.564B,3.539B,,,1.325B,12.77B,,,,,,17.40B,-7.727B,9.678B,2.075B,,2.075B,,,1.793B,13.55B,26.31B,,2.136B,,2.136B,,2.136B,,,,,,,,1.635B,4.598B,4.82B,,4.82B,,,524.00M,23.00M,1.179B,6.523B,11.12B,,2.682B,16.60B,455.00M,4.303B,,,-262.00M,15.17B,,AOR,Restated
2012-06,2.172B,,2.172B,5.791B,,5.674B,773.00M,119.00M,2.405B,3.297B,,,1.391B,12.53B,,,,,,16.88B,-7.514B,9.363B,1.986B,,1.986B,,,1.688B,13.04B,25.57B,,2.113B,,2.113B,,2.113B,,,,,,,,1.538B,4.44B,4.82B,,4.82B,,,512.00M,21.00M,1.238B,6.57B,11.01B,,2.683B,16.08B,424.00M,4.383B,,,-261.00M,14.54B,,AOR,Restated
2012-03,2.655B,0.00,2.655B,5.096B,240.00M,5.336B,764.00M,102.00M,2.05B,2.916B,,317.00M,794.00M,12.02B,,,,,,16.29B,-7.393B,8.897B,1.966B,,1.966B,,,1.787B,12.65B,24.67B,,1.941B,,1.941B,,1.941B,,,,,,318.00M,318.00M,1.358B,4.31B,4.82B,,4.82B,,,509.00M,20.00M,1.165B,6.494B,10.80B,,2.683B,15.42B,478.00M,4.475B,,,-266.00M,13.84B,,AOR,Restated
2011-12,2.698B,,2.698B,5.084B,,5.084B,673.00M,96.00M,1.801B,2.57B,,321.00M,904.00M,11.58B,0.00,123.00M,1.609B,13.86B,,15.59B,-7.096B,8.492B,1.776B,,1.776B,,,1.832B,12.10B,23.68B,,1.826B,,1.826B,,1.826B,,,,,,309.00M,309.00M,1.124B,4.121B,4.82B,,4.82B,,,534.00M,18.00M,986.00M,6.34B,10.46B,,2.683B,14.88B,455.00M,4.547B,,,-273.00M,13.20B,,AOR,Restated
2011-09,1.775B,400.00M,2.175B,4.91B,,4.769B,646.00M,91.00M,1.675B,2.412B,,238.00M,712.00M,10.31B,,,,,,14.84B,-6.842B,7.993B,1.373B,,1.373B,,,1.532B,10.90B,21.20B,,1.733B,,1.733B,,1.733B,,,,,,269.00M,269.00M,921.00M,3.656B,3.824B,,3.824B,,,477.00M,18.00M,871.00M,5.172B,8.828B,,0.00,14.06B,3.112B,4.571B,,,-240.00M,12.36B,,AOR,Restated
2011-06,1.438B,451.00M,1.889B,,,4.448B,621.00M,55.00M,1.559B,2.235B,,258.00M,710.00M,9.54B,,,,,,14.24B,-6.611B,7.626B,1.369B,,1.369B,,,1.421B,10.42B,19.96B,,1.554B,,1.554B,,1.554B,,,,,,260.00M,260.00M,646.00M,3.166B,3.824B,,3.824B,,,483.00M,16.00M,825.00M,5.132B,8.298B,,2.68B,13.46B,360.00M,4.617B,,,-237.00M,11.64B,,AOR,Restated
2011-03,1.03B,852.00M,1.882B,,,4.132B,588.00M,55.00M,1.456B,2.099B,,240.00M,675.00M,9.028B,,,,,,13.56B,-6.313B,7.248B,1.323B,,1.323B,,,1.391B,9.962B,18.99B,,1.372B,,1.372B,637.00M,2.009B,,,,,,280.00M,280.00M,630.00M,2.919B,3.824B,,3.824B,,,479.00M,16.00M,828.00M,5.131B,8.05B,,2.678B,12.80B,385.00M,4.701B,,,-238.00M,10.92B,,AOR,Restated
2010-12,1.398B,653.00M,2.051B,,,3.924B,496.00M,75.00M,1.369B,1.94B,,257.00M,714.00M,8.886B,0.00,105.00M,1.438B,11.36B,,12.91B,-6.064B,6.842B,1.315B,,1.315B,,,1.254B,9.411B,18.30B,,1.139B,,1.139B,716.00M,1.855B,,,,,,266.00M,266.00M,636.00M,2.757B,3.824B,,3.824B,,,487.00M,14.00M,842.00M,5.153B,7.91B,,2.674B,12.37B,339.00M,4.771B,,,-240.00M,10.37B,,AOR,Restated
2010-06,1.16B,1.935B,3.095B,3.453B,,3.453B,493.00M,59.00M,1.215B,1.767B,,274.00M,614.00M,9.203B,,,,,,11.78B,-5.607B,6.175B,1.132B,,1.132B,,,1.03B,8.337B,17.54B,,1.069B,,1.069B,,1.069B,,,750.00M,,750.00M,257.00M,257.00M,656.00M,3.315B,3.824B,,3.824B,,,430.00M,31.00M,587.00M,4.841B,8.156B,,2.67B,11.39B,357.00M,4.851B,,,-209.00M,9.353B,,AOR,Restated
2010-03,1.383B,1.808B,3.191B,,,3.176B,489.00M,41.00M,1.128B,1.658B,,248.00M,541.00M,8.814B,,,,,,11.39B,-5.406B,5.98B,1.138B,,1.138B,,,1.048B,8.166B,16.98B,,964.00M,,964.00M,520.00M,1.484B,,,750.00M,,750.00M,282.00M,282.00M,629.00M,3.145B,3.824B,,3.824B,,,425.00M,29.00M,626.00M,4.875B,8.02B,,2.669B,10.99B,395.00M,4.915B,,,-206.00M,8.931B,,AOR,Restated
2009-12,2.082B,1.312B,3.394B,,,2.964B,480.00M,28.00M,1.09B,1.598B,,210.00M,472.00M,8.638B,0.00,86.00M,1.306B,9.597B,,10.99B,-5.23B,5.759B,1.10B,,1.10B,,,1.041B,7.90B,16.54B,,787.00M,,787.00M,514.00M,1.301B,,,750.00M,,750.00M,215.00M,215.00M,623.00M,2.889B,3.824B,,3.824B,,,462.00M,29.00M,606.00M,4.892B,7.781B,,2.669B,10.86B,411.00M,5.002B,,,-213.00M,8.728B,,AOR,Restated
2009-09,1.675B,1.515B,3.19B,,,3.098B,550.00M,29.00M,1.137B,1.716B,,198.00M,497.00M,8.699B,,,,,,10.63B,-5.067B,5.564B,1.093B,,1.093B,,,981.00M,7.638B,16.34B,,800.00M,,800.00M,487.00M,1.287B,,,,,,194.00M,194.00M,703.00M,2.184B,4.573B,,4.573B,,,466.00M,27.00M,538.00M,5.577B,7.761B,,2.667B,10.70B,397.00M,5.015B,,,-202.00M,8.549B,,AOR,Restated
2009-06,1.568B,753.00M,2.321B,,,3.152B,568.00M,37.00M,1.227B,1.832B,,179.00M,524.00M,8.008B,,,,,,10.29B,-4.935B,5.357B,1.068B,,1.068B,763.00M,,1.019B,8.207B,16.22B,,755.00M,,755.00M,454.00M,1.209B,,,27.00M,,27.00M,226.00M,226.00M,758.00M,2.22B,4.573B,,4.573B,,,521.00M,23.00M,577.00M,5.671B,7.891B,,2.667B,10.52B,395.00M,5.084B,,,-198.00M,8.301B,,AOR,Restated
2009-03,2.967B,,2.967B,,,3.395B,544.00M,50.00M,1.301B,1.895B,,212.00M,440.00M,8.909B,,,,,,9.94B,-4.783B,5.157B,1.076B,,1.076B,,130.00M,952.00M,7.315B,16.22B,,874.00M,48.00M,922.00M,450.00M,1.372B,,,29.00M,,29.00M,237.00M,237.00M,693.00M,2.331B,4.578B,,4.578B,,,534.00M,21.00M,686.00M,5.798B,8.129B,,2.667B,10.34B,468.00M,5.177B,,,-224.00M,8.074B,,AOR,Restated
2008-12,1.124B,0.00,1.124B,,,3.795B,446.00M,70.00M,1.312B,1.828B,,246.00M,418.00M,7.411B,,,,,,4.782B,,4.782B,1.072B,,1.072B,,,1.12B,6.974B,14.38B,,898.00M,,898.00M,643.00M,1.541B,,,26.00M,,26.00M,231.00M,231.00M,983.00M,2.781B,2.586B,,2.586B,,,539.00M,19.00M,735.00M,3.86B,6.641B,,2.666B,10.04B,484.00M,5.251B,,,-215.00M,7.725B,,AOR,Restated
2008-09,973.00M,,973.00M,3.858B,,3.858B,445.00M,77.00M,1.302B,1.824B,,245.00M,467.00M,7.367B,,,,,,8.869B,-4.431B,4.438B,1.004B,,1.004B,,90.00M,947.00M,6.479B,13.85B,,964.00M,,964.00M,,964.00M,,,183.00M,,183.00M,202.00M,202.00M,1.182B,2.531B,2.588B,,2.588B,,,,60.00M,1.24B,3.828B,6.359B,,2.666B,9.025B,1.121B,5.285B,-59.00M,-41.00M,-100.00M,7.427B,,,Restated
2008-06,1.88B,,1.88B,3.581B,,3.581B,433.00M,98.00M,1.205B,1.736B,,298.00M,450.00M,7.945B,,,,,,8.463B,-4.317B,4.146B,838.00M,,838.00M,,168.00M,951.00M,6.103B,14.05B,,954.00M,,954.00M,,954.00M,,,230.00M,,230.00M,232.00M,232.00M,1.19B,2.606B,2.565B,,2.565B,,,,100.00M,1.192B,3.757B,6.363B,,2.666B,9.127B,1.801B,5.908B,,,-101.00M,7.585B,,,Restated
2008-03,1.994B,,1.994B,3.301B,,3.301B,415.00M,97.00M,1.143B,1.655B,,276.00M,470.00M,7.696B,,,,,,8.119B,-4.268B,3.851B,803.00M,,803.00M,,192.00M,786.00M,5.632B,13.33B,,907.00M,,907.00M,,907.00M,,,172.00M,,172.00M,240.00M,240.00M,1.163B,2.482B,2.624B,,2.624B,,,,100.00M,1.06B,3.684B,6.166B,,2.659B,8.699B,1.759B,5.953B,-60.00M,-42.00M,-102.00M,7.062B,,,Restated
