,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-06,5.919B,5.919B,5.233B,686.00M,43.00M,43.00M,306.00M,-389.00M,106.00M,,-106.00M,,43.00M,643.00M,,106.00M,-106.00M,-412.00M,-106.00M,125.00M,71.00M,54.00M,-1.00M,,1.00M,54.00M,288.40M,687.00M,456.00M,231.00M,,0.06,0.00,,,0.3339,0.06,,0.06,0.00,,,0.3333,0.06,,852.00M,854.00M,0.18,,AOR,Restated
2015-03,7.05B,7.05B,6.285B,765.00M,66.00M,66.00M,1.208B,-1.247B,106.00M,,-106.00M,,66.00M,699.00M,,106.00M,-106.00M,-1.471B,-106.00M,-878.00M,-241.00M,-637.00M,-4.00M,,-2.00M,-643.00M,266.32M,-212.00M,560.00M,-772.00M,,-0.75,-0.01,,,0.3151,-0.76,,-0.75,-0.01,,,0.3151,-0.76,,850.00M,850.00M,0.18,,AOR,Restated
2014-12,8.77B,8.77B,7.27B,1.50B,55.00M,55.00M,129.00M,-146.00M,113.00M,,-100.00M,,55.00M,1.445B,,113.00M,-100.00M,-105.00M,-100.00M,1.24B,336.00M,904.00M,1.00M,,-4.00M,901.00M,1.006B,1.91B,557.00M,1.353B,,1.06,0.01,,,1.186,1.07,,1.06,0.01,,,1.185,1.06,,848.00M,849.00M,0.18,,AOR,Restated
2014-09,8.701B,8.701B,6.993B,1.708B,74.00M,74.00M,0.00,0.00,96.00M,,-96.00M,,74.00M,1.634B,,96.00M,-96.00M,12.00M,-96.00M,1.55B,411.00M,1.139B,66.00M,,-2.00M,1.203B,1.137B,2.181B,535.00M,1.646B,,1.34,0.08,,,1.34,1.42,,1.33,0.08,,,1.33,1.41,,848.00M,854.00M,0.15,,AOR,Restated
2014-06,8.051B,8.051B,6.768B,1.283B,89.00M,89.00M,0.00,0.00,94.00M,,-94.00M,,89.00M,1.194B,,94.00M,-94.00M,-24.00M,-94.00M,1.076B,299.00M,777.00M,-2.00M,,-1.00M,774.00M,776.00M,1.694B,524.00M,1.17B,,0.92,0.00,,,0.92,0.92,,0.91,0.00,,,0.91,0.91,,846.00M,852.00M,0.15,,AOR,Restated
2014-03,7.348B,7.348B,6.303B,1.045B,75.00M,75.00M,0.00,0.00,93.00M,,-93.00M,,75.00M,970.00M,,93.00M,-93.00M,-31.00M,-93.00M,846.00M,229.00M,617.00M,-1.00M,,6.00M,622.00M,623.00M,1.449B,510.00M,939.00M,,0.73,0.00,,,0.73,0.73,,0.73,0.00,,,0.73,0.73,,849.00M,853.00M,0.15,,AOR,Restated
2013-12,7.639B,7.639B,6.401B,1.238B,94.00M,94.00M,,0.00,98.00M,,-98.00M,,94.00M,1.144B,,98.00M,-98.00M,-6.00M,-98.00M,1.04B,268.00M,772.00M,23.00M,,-2.00M,793.00M,770.00M,1.635B,497.00M,1.138B,,0.91,0.02,,,0.91,0.93,,0.90,0.02,,,0.90,0.93,,847.00M,851.00M,0.15,,AOR,Restated
2013-09,7.472B,7.472B,6.284B,1.188B,80.00M,80.00M,,0.00,91.00M,,-91.00M,,80.00M,1.108B,,91.00M,-91.00M,-12.00M,-91.00M,1.005B,296.00M,709.00M,-1.00M,,-2.00M,706.00M,707.00M,1.577B,481.00M,1.096B,,0.79,0.00,,,0.79,0.79,,0.79,0.00,,,0.79,0.79,,890.00M,894.00M,0.125,,AOR,Restated
2013-06,7.317B,7.317B,6.246B,1.071B,87.00M,87.00M,,0.00,71.00M,,-71.00M,,87.00M,984.00M,,71.00M,-71.00M,-11.00M,-71.00M,902.00M,256.00M,646.00M,2.00M,,-4.00M,644.00M,642.00M,1.447B,474.00M,973.00M,,0.69,0.01,,,0.69,0.70,,0.69,0.00,,,0.69,0.69,,925.00M,928.00M,0.125,,AOR,Restated
2013-03,6.974B,6.974B,6.00B,974.00M,72.00M,72.00M,,-1.00B,71.00M,,-71.00M,,72.00M,902.00M,,71.00M,-71.00M,-1.014B,-71.00M,-183.00M,-172.00M,-11.00M,-5.00M,,-2.00M,-18.00M,637.00M,336.00M,448.00M,-112.00M,,-0.01,-0.01,,,0.6882,-0.02,,-0.01,-0.01,,,0.6882,-0.02,,931.00M,931.00M,0.125,,AOR,Restated
