,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2014-03,321.30M,2.10M,,-119.40M,-117.30M,22.80M,,22.80M,22.80M,19.00M,15.20M,34.20M,-226.50M,-6.90M,77.00M,,,176.80M,399.60M,660.60M,-16.20M,2.20M,-14.00M,,762.30M,-411.30M,337.00M,0.00,,0.00,,-94.70M,-94.70M,,,-892.60M,,-892.60M,,10.70M,-976.60M,75.10M,21.00M,0.60M,96.70M,,0.00,,-94.70M
2013-12,299.80M,1.50M,,-77.00M,-75.50M,26.40M,,26.40M,26.40M,22.60M,15.10M,0.00,131.70M,7.70M,-112.40M,,,-57.00M,-136.50M,151.90M,-34.80M,1.30M,-33.50M,,116.50M,-2.40M,80.60M,-150.00M,,-150.00M,,-108.60M,-108.60M,,,0.00,,0.00,,0.00,-258.60M,100.90M,-26.10M,0.30M,75.10M,,0.00,-150.00M,-108.60M
2013-09,232.40M,2.10M,,-27.90M,-25.80M,25.90M,,25.90M,25.90M,34.60M,14.70M,-107.60M,-168.70M,-3.00M,108.80M,,,15.70M,324.70M,610.80M,-36.10M,0.80M,-35.30M,,-424.70M,-53.30M,-513.30M,-58.10M,,-58.10M,,-38.10M,-38.10M,,,0.00,,0.00,,2.90M,-93.30M,96.90M,4.20M,-0.20M,100.90M,,0.00,-58.10M,-38.10M
2013-06,324.60M,1.00M,,-132.90M,-131.90M,25.30M,,25.30M,25.30M,36.80M,17.30M,54.10M,-44.50M,-6.80M,33.50M,,,-78.20M,143.00M,415.10M,-41.80M,0.80M,-41.00M,,-421.70M,109.50M,-353.20M,0.00,,0.00,,-75.40M,-75.40M,,,0.00,,0.00,,0.80M,-74.60M,110.20M,-12.70M,-0.60M,96.90M,,0.00,,-75.40M
2013-03,308.60M,1.00M,,-80.60M,-79.60M,23.70M,,23.70M,23.70M,40.00M,17.80M,57.80M,-235.10M,-6.50M,135.10M,,,149.20M,411.60M,722.10M,-27.70M,0.80M,-26.90M,,-642.10M,98.40M,-570.60M,,,,,-51.30M,-51.30M,,,-175.60M,,-175.60M,,6.60M,-220.30M,179.10M,-68.80M,-0.10M,110.20M,,,,-51.30M
2012-12,249.10M,2.30M,,-62.10M,-59.80M,25.30M,,25.30M,25.30M,41.40M,17.60M,0.00,151.90M,6.50M,-183.00M,,,-55.50M,-247.50M,26.10M,-43.50M,0.40M,-43.10M,,667.50M,-58.50M,565.90M,0.00,,0.00,,-4.10M,-4.10M,,,-601.30M,,-601.30M,0.00,0.20M,-605.20M,192.20M,-13.20M,0.10M,179.10M,,,0.00,-4.10M
2012-09,277.00M,1.30M,,-171.90M,-170.60M,23.60M,,23.60M,23.60M,47.00M,14.30M,0.10M,-169.70M,-1.70M,76.00M,,,67.80M,338.80M,530.20M,-30.70M,1.90M,-28.80M,,-339.90M,-47.90M,-416.60M,-0.60M,,-0.60M,,-87.10M,-87.10M,,,-1.40M,,-1.40M,0.00,1.50M,-87.60M,165.50M,26.00M,0.70M,192.20M,,,-0.60M,-87.10M
2012-06,118.60M,2.40M,,4.70M,7.10M,23.20M,,23.20M,23.20M,47.70M,14.70M,1.00M,-80.80M,-1.10M,62.10M,,,-125.00M,214.40M,426.70M,-24.20M,0.70M,-23.50M,,-317.70M,-11.90M,-353.10M,-18.60M,,-18.60M,,-45.30M,-45.30M,,,0.00,,0.00,0.00,0.00,-63.90M,156.00M,9.70M,-0.20M,165.50M,,,-18.60M,-45.30M
2012-03,257.60M,1.10M,,-77.50M,-76.40M,22.30M,,22.30M,22.30M,50.60M,16.80M,0.70M,-238.20M,-0.20M,168.50M,,,122.10M,436.80M,708.40M,-29.30M,0.80M,-28.50M,,-106.90M,74.30M,-61.10M,-363.30M,,-363.30M,,-37.70M,-37.70M,,,-251.00M,,-251.00M,0.50M,4.10M,-647.40M,155.70M,-0.10M,0.40M,156.00M,,,-363.30M,-37.70M
2011-12,256.70M,0.90M,,-29.50M,-28.60M,23.20M,-36.40M,-13.20M,-13.20M,58.30M,,0.00,79.70M,12.00M,-244.30M,,,12.10M,-321.10M,2.60M,-25.60M,1.10M,-24.50M,,157.20M,,132.10M,-2.30M,,-2.30M,,-165.70M,-165.70M,,,,,0.00,15.60M,3.70M,-148.70M,170.30M,-14.00M,-0.60M,155.70M,,0.00,-2.30M,-165.70M
2011-09,150.70M,0.50M,,52.60M,53.10M,22.70M,11.90M,34.60M,34.60M,58.30M,,-116.30M,-103.40M,4.90M,51.30M,,,3.30M,167.40M,464.20M,-17.70M,0.70M,-17.00M,,-496.00M,,-513.00M,479.20M,,479.20M,,-411.20M,-411.20M,,,,,0.00,1.40M,0.30M,69.70M,149.70M,20.90M,-0.30M,170.30M,,491.90M,-12.70M,-411.20M
2011-06,245.20M,6.10M,,-26.00M,-19.90M,21.60M,12.30M,33.90M,33.90M,56.90M,,56.90M,-54.10M,0.00,-90.10M,,,21.90M,41.50M,357.60M,-18.10M,0.70M,-17.40M,,-66.70M,,-84.10M,0.00,,0.00,,-282.90M,-282.90M,,,,,0.00,2.50M,0.90M,-279.50M,155.50M,-6.00M,0.20M,149.70M,,,0.00,-282.90M
2011-03,362.90M,1.20M,,-99.70M,-98.50M,21.00M,12.20M,33.20M,33.20M,59.50M,,59.50M,-190.10M,1.40M,318.60M,,,-3.00M,316.40M,673.50M,-17.50M,0.50M,-17.00M,,-262.90M,,-279.90M,0.00,,0.00,,-138.00M,-138.00M,,,,,-263.60M,2.90M,1.50M,-397.20M,158.90M,-3.60M,0.20M,155.50M,,,0.00,-138.00M
2010-12,299.20M,3.50M,,-77.90M,-74.40M,20.70M,-35.20M,-14.50M,-14.50M,56.30M,,0.00,-56.50M,9.70M,-216.30M,,,38.00M,-311.10M,1.40M,-25.20M,0.40M,-24.80M,,768.70M,,689.90M,0.00,,0.00,,-53.10M,-53.10M,,,,,-655.50M,12.80M,8.00M,-687.80M,155.00M,3.50M,0.40M,158.90M,,0.00,0.00,-53.10M
2010-09,261.60M,-2.30M,,-26.90M,-29.20M,20.50M,11.50M,32.00M,32.00M,62.20M,,-117.10M,-92.40M,-23.40M,97.60M,,,-18.50M,153.20M,473.40M,-9.60M,7.10M,-2.50M,,-167.30M,,-169.80M,-214.30M,,-214.30M,,-98.20M,-98.20M,,,,,0.00,6.20M,3.30M,-303.00M,153.80M,0.60M,0.60M,155.00M,,0.00,-214.30M,-98.20M
2010-06,211.90M,0.70M,,39.50M,40.20M,20.50M,13.50M,34.00M,34.00M,53.70M,,53.70M,-43.30M,-1.80M,-34.70M,,,17.70M,194.70M,534.50M,-12.90M,0.30M,-12.60M,,-465.00M,,-477.60M,,,,,-64.70M,-64.70M,,,,,0.00,4.20M,2.50M,-58.00M,155.10M,-1.10M,-0.20M,153.80M,,,,-64.70M
2010-03,295.60M,0.40M,,-30.80M,-30.40M,21.40M,10.20M,31.60M,31.60M,57.00M,,57.00M,-268.10M,-3.30M,363.60M,,,0.90M,316.20M,670.00M,-17.00M,0.20M,-16.80M,,-512.20M,,-529.00M,,,,,-42.60M,-42.60M,,,,,-108.20M,4.00M,0.20M,-146.60M,160.70M,-5.60M,0.00,155.10M,,,,-42.60M
2009-12,305.00M,6.20M,,-45.80M,-39.60M,22.10M,12.30M,34.40M,34.40M,51.00M,,51.00M,181.30M,-0.90M,-231.20M,,,-11.20M,-279.10M,71.70M,-16.30M,0.80M,-15.50M,,3.30M,,-12.20M,0.00,,0.00,,-87.20M,-87.20M,,,,,0.00,7.40M,6.80M,-73.00M,172.50M,-13.50M,1.70M,160.70M,,,0.00,-87.20M
