,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2002-03,14.90M,429.90M,444.80M,1.619B,198.40M,1.818B,84.30M,2.347B,499.90M,,,,8.789B,186.50M,9.329B,11.84B,,,,,1.141B,,,,,1.141B,1.096B,1.096B,,,3.295B,2.943B,,7.334B,8.474B,220.20M,2.499B,567.60M,9.00M,,,-4.80M,87.80M,83.00M,3.370B
2001-12,11.20M,227.40M,238.60M,1.699B,,1.699B,77.60M,2.015B,498.00M,,,,8.226B,,8.943B,11.12B,,,,,821.30M,,,,,821.30M,1.096B,1.096B,,,3.238B,2.717B,,7.050B,7.872B,73.40M,2.497B,554.00M,,,,,,125.90M,3.251B
2001-09,23.40M,307.60M,331.00M,1.573B,206.60M,1.78B,73.80M,2.185B,506.60M,,,,7.93B,112.90M,8.473B,10.86B,,,,,1.036B,,,,,1.036B,749.10M,749.10M,,,3.177B,2.795B,,6.722B,7.757B,73.30M,2.388B,541.10M,,,,,,98.50M,3.101B
2001-06,38.70M,325.60M,364.30M,1.540B,209.90M,1.750B,66.80M,2.182B,506.90M,,,,7.449B,182.30M,7.995B,10.43B,,,,,824.80M,,,,,824.80M,749.00M,749.00M,,,3.114B,2.720B,,6.582B,7.407B,73.80M,2.367B,540.70M,,,,,,41.30M,3.023B
2001-03,22.30M,251.70M,274.00M,1.529B,206.70M,1.736B,61.00M,2.070B,509.20M,,,,7.283B,218.00M,7.828B,10.23B,,,,,883.50M,,,,,883.50M,748.90M,748.90M,,,3.038B,2.631B,,6.417B,7.301B,73.70M,2.302B,517.60M,,,,,,38.60M,2.932B
2000-12,8.90M,186.80M,195.70M,1.805B,,1.805B,95.70M,2.096B,504.50M,,,,6.983B,241.10M,7.527B,10.05B,,,,,810.10M,,,,,810.10M,748.80M,748.80M,,,2.986B,2.636B,,6.372B,7.182B,73.50M,2.220B,511.20M,,,,,,64.70M,2.870B
2000-09,19.20M,244.10M,263.30M,1.829B,248.10M,2.077B,100.50M,2.441B,496.40M,,,,7.065B,281.70M,7.605B,10.49B,,,,,764.30M,,,,,764.30M,1.049B,1.049B,,,2.934B,2.951B,,6.934B,7.698B,73.30M,2.178B,501.60M,,,,,,41.90M,2.795B
2000-06,8.90M,711.90M,720.80M,1.898B,247.30M,2.145B,99.40M,2.966B,479.40M,,,,7.056B,309.30M,7.580B,10.55B,,,,,979.70M,,,,,979.70M,1.049B,1.049B,,,2.789B,3.005B,,6.843B,7.822B,73.20M,2.126B,497.60M,,,,,,33.90M,2.730B
2000-03,11.00M,264.50M,275.50M,1.843B,250.60M,2.094B,93.00M,2.462B,469.20M,,,,6.555B,293.20M,7.077B,9.974B,,,,,691.20M,,,,,691.20M,1.049B,1.049B,,,2.606B,2.905B,,6.560B,7.251B,73.00M,2.146B,485.50M,,,,,,19.50M,2.724B
1999-12,14.20M,229.00M,243.20M,2.016B,,2.016B,88.30M,2.347B,447.70M,,,,6.428B,273.70M,6.916B,9.705B,,,,,705.70M,,,,,705.70M,1.049B,1.049B,,,2.416B,2.781B,,6.246B,6.952B,73.10M,2.210B,481.60M,,,,,,-12.40M,2.753B
1999-09,,,,1.854B,,1.854B,,1.854B,439.70M,,,,,,7.474B,9.744B,,,,,,,,,,,1.041B,1.041B,,,2.324B,2.896B,,6.260B,6.982B,,2.211B,,,,,,,,2.763B
1999-06,,,,1.766B,,1.766B,,1.766B,420.10M,,,,,,7.434B,9.610B,,,,,,,,,,,1.041B,1.041B,,,2.242B,2.769B,,6.051B,6.847B,,2.141B,,,,,,,,2.763B
1999-03,,,,1.618B,,1.618B,,1.618B,404.80M,,,,,,7.175B,9.176B,,,,,,,,,,,1.070B,1.070B,,,2.192B,2.562B,,5.825B,6.490B,,2.034B,,,,,,,,2.686B
1998-12,18.60M,441.90M,460.50M,1.737B,,1.737B,77.70M,2.275B,376.20M,,,,5.674B,192.90M,6.084B,8.463B,,,,,582.00M,,,,,582.00M,776.60M,776.60M,,,2.218B,2.330B,,5.324B,5.906B,72.50M,1.933B,448.30M,,,,,,103.70M,2.557B
1998-09,,,,1.456B,,1.456B,,1.456B,355.30M,,,,,,6.529B,8.336B,,,,,,,,,,,776.40M,776.40M,,,2.174B,2.377B,,5.328B,5.924B,,1.861B,,,,,,,,2.412B
1998-06,,,,1.390B,,1.390B,,1.390B,315.90M,,,,,,6.550B,8.286B,,,,,,,,,,,776.20M,776.20M,,,2.170B,2.302B,,5.248B,5.875B,,1.768B,,,,,,,,2.411B
1998-03,,,,1.310B,,1.310B,,1.310B,286.30M,,,,,,6.305B,7.931B,,,,,,,,,,,776.10M,776.10M,,,2.148B,2.179B,,5.103B,5.628B,,1.637B,,,,,,,,2.302B
