,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-10,101.19M,,-4.088M,,-5.399M,-19.55M,29.54M,3.475M,33.01M,33.01M,-3.29M,,,,9.268M,-33.73M,34.28M,,38.60M,,,54.64M,175.27M,,2007-10,-29.19M,5.823M,-23.37M,-111.48M,2.43M,-132.42M,,2007-10,-6.341M,67.42M,59.98M,-38.81M,-38.81M,-81.09M,-20.57M,,-4.364M,,2007-10,104.50M,45.24M,149.75M,,2007-10,,-93.92M,-38.81M,,AOR,Restated
2007-07,57.37M,,,,,0.597M,28.30M,2.782M,31.08M,31.08M,-0.226M,,,,,-0.888M,-23.80M,,1.89M,,,-21.02M,67.81M,,2007-07,-26.64M,3.042M,-23.60M,-0.002M,10.16M,-12.71M,,2007-07,,,9.982M,-36.28M,-36.28M,,-20.64M,,2.345M,,2007-07,94.00M,10.51M,104.50M,,2007-07,,,-36.28M,,,
2007-04,68.00M,,0.215M,,1.136M,5.518M,28.61M,2.925M,31.53M,31.53M,-0.349M,,,,-3.984M,4.972M,-73.35M,,-3.039M,,,-66.40M,34.31M,,2007-04,-34.37M,0.624M,-33.74M,-0.598M,14.81M,-19.53M,,2007-04,0.018M,2.576M,-6.286M,-11.71M,-11.71M,19.22M,-20.66M,,2.864M,,2007-04,115.00M,-21.00M,94.00M,,2007-04,,2.594M,-11.71M,,,
2007-01,75.32M,,-0.215M,,-1.136M,-1.351M,28.17M,2.938M,31.11M,31.11M,-2.664M,,,,3.984M,19.84M,,,-71.09M,,,-51.93M,54.47M,,2007-01,-35.59M,2.20M,-33.39M,-13.02M,-49.72M,-96.13M,,2007-01,-0.018M,-2.576M,-2.594M,0.00,0.00,-19.22M,-19.22M,,5.994M,,2007-01,172.48M,-57.48M,115.00M,,2007-01,,-2.594M,0.00,,,Restated
2006-10,90.00M,,,,,-0.616M,27.70M,3.706M,31.40M,31.40M,-21.67M,,,,6.585M,-50.95M,47.57M,,72.83M,,,52.59M,158.30M,,2006-10,-33.84M,3.975M,-29.86M,-3.912M,8.381M,-25.39M,,2006-10,,,-50.73M,-24.17M,-24.17M,,-19.32M,,1.618M,,2006-10,132.19M,40.30M,172.48M,,2006-10,,,-24.17M,,,Restated
2006-07,59.55M,,,,,-0.994M,26.92M,3.078M,29.99M,29.99M,-2.103M,,,,-2.268M,-15.43M,20.09M,,1.943M,,,-18.09M,66.09M,,2006-07,-44.03M,2.513M,-41.52M,-0.236M,-4.995M,-45.94M,,2006-07,,,4.984M,-0.086M,-0.086M,,-19.30M,,5.797M,,2006-07,120.64M,11.55M,132.19M,,2006-07,,,-0.086M,,,
2006-04,67.31M,,,,,-0.948M,27.18M,2.465M,29.64M,29.64M,1.888M,,,,13.74M,2.70M,-17.86M,,5.197M,,,-14.37M,97.26M,,2006-04,-38.21M,0.912M,-37.30M,-76.22M,15.59M,-97.93M,,2006-04,,,34.68M,-4.282M,-4.282M,,-19.30M,,-1.451M,,2006-04,111.67M,8.968M,120.64M,,2006-04,,,-4.282M,,,
2006-01,69.28M,,,,,-2.107M,27.57M,2.492M,30.06M,30.06M,-4.848M,,,,,25.70M,-49.79M,,-65.07M,,,-87.35M,5.031M,,2006-01,-25.43M,1.289M,-24.14M,1.444M,21.34M,-1.361M,,2006-01,,,-0.016M,-8.441M,-8.441M,,-17.91M,,3.328M,,2006-01,131.05M,-19.37M,111.67M,,2006-01,,,-8.441M,,,
2005-10,82.23M,,,,,-1.107M,26.28M,2.323M,28.60M,28.60M,-12.27M,,,,1.236M,-31.07M,24.24M,,90.74M,,,79.05M,177.74M,,2005-10,-28.88M,1.219M,-27.66M,-26.55M,-40.97M,-95.19M,,2005-10,,,-70.73M,-0.385M,-0.385M,,-17.90M,,2.622M,,2005-10,134.89M,-3.847M,131.05M,,2005-10,,,-0.385M,,,Restated
2005-07,51.76M,,,,,-0.835M,27.99M,2.869M,30.86M,30.86M,1.857M,,,,4.833M,20.24M,8.094M,,28.33M,,,58.19M,146.66M,,2005-07,302.14M,0.683M,302.82M,-339.94M,-2.588M,-35.63M,,2005-07,,,-34.72M,-16.48M,-16.48M,,-17.99M,,0.886M,,2005-07,92.16M,42.74M,134.89M,,2005-07,,,-16.48M,,,
2005-04,55.98M,,,,,-1.148M,27.37M,2.20M,29.57M,29.57M,-0.106M,,,,,0.212M,-15.16M,,-30.12M,-3.539M,,-38.45M,45.84M,,2005-04,-355.59M,0.522M,-355.07M,188.24M,9.587M,-160.54M,,2005-04,,,89.70M,-4.887M,-4.887M,,-17.96M,,1.803M,,2005-04,138.20M,-46.05M,92.16M,,2005-04,,,-4.887M,,,
2005-01,64.63M,,,,,-2.558M,24.14M,2.023M,26.16M,26.16M,-13.81M,,,,,17.08M,-17.18M,,4.131M,3.539M,,9.055M,83.48M,,2005-01,-24.76M,0.514M,-24.25M,-188.24M,99.41M,-113.08M,,2005-01,,,-0.015M,-1.229M,-1.229M,,-15.52M,,4.685M,,2005-01,179.88M,-41.68M,138.20M,,2005-01,,,-1.229M,,,
2004-10,71.73M,,,,,-1.666M,23.09M,1.823M,24.92M,24.92M,-1.141M,,,,-3.909M,-14.51M,36.34M,,10.13M,,,30.78M,120.71M,,2004-10,-44.58M,-124.70M,-169.28M,128.87M,-87.61M,-128.02M,,2004-10,,,-10.73M,-24.38M,-24.38M,,-15.61M,,-2.44M,,2004-10,240.36M,-60.47M,179.88M,,2004-10,,,-24.38M,,,
2004-07,56.34M,,,,,-19.30M,21.68M,1.747M,23.43M,23.43M,-3.075M,,,,3.909M,-9.006M,-8.713M,,-1.155M,,,-21.64M,39.67M,,2004-07,-22.95M,126.88M,103.94M,0.00,-106.20M,27.28M,,2004-07,,,-0.014M,-4.43M,-4.43M,,-15.61M,,1.222M,,2004-07,192.24M,48.12M,240.36M,,2004-07,,,-4.43M,,,
2004-04,53.65M,,,,,-8.28M,21.62M,1.75M,23.38M,23.38M,-3.681M,,,,,13.21M,-15.24M,,34.95M,,-0.806M,34.88M,99.94M,,2004-04,-18.46M,0.112M,-18.34M,-0.027M,84.25M,39.50M,,2004-04,,,-19.20M,0.00,0.00,,-15.57M,,5.632M,,2004-04,81.94M,110.30M,192.24M,,2004-04,,,0.00,,,
2004-01,51.83M,,,,,-1.358M,21.28M,1.75M,23.02M,23.02M,-2.597M,,,,,25.11M,-44.38M,,-21.28M,,0.806M,-39.75M,31.15M,,2004-01,-15.83M,0.604M,-15.23M,-2.07M,-3.25M,-23.71M,,2004-01,,,-2.351M,-8.711M,-8.711M,,-14.55M,,2.131M,,2004-01,97.98M,-16.04M,81.94M,,2004-01,,,-8.711M,,,
2003-10,70.36M,,,,,1.022M,21.51M,1.857M,23.37M,23.37M,,,,,,-33.16M,12.70M,,32.94M,,,16.25M,111.00M,,2003-10,-21.50M,0.923M,-20.58M,-116.51M,,32.82M,,2003-10,,,-11.25M,-1.311M,-1.311M,,-14.55M,,2.127M,,2003-10,138.78M,118.84M,97.98M,,2003-10,,,-1.311M,,,
2003-07,34.67M,,,,,-7.155M,20.44M,1.394M,21.83M,21.83M,8.142M,,,,,-21.71M,7.871M,,16.17M,,,2.333M,59.82M,,2003-07,-15.41M,3.02M,-12.39M,-0.032M,,-65.34M,,2003-07,,,-1.014M,0.00,0.00,,-14.53M,,2.858M,,2003-07,156.98M,-18.19M,138.78M,,2003-07,,,0.00,,,
2003-04,33.80M,,,,,-1.542M,21.20M,1.121M,22.32M,22.32M,-7.864M,,,,,9.987M,-2.419M,,4.427M,,,12.00M,58.71M,,2003-04,-16.82M,0.746M,-16.07M,-6.854M,,-17.86M,,2003-04,,,-0.705M,-2.237M,-2.237M,,-14.53M,,0.528M,,2003-04,133.08M,23.90M,156.98M,,2003-04,,,-2.237M,,,
2003-01,46.94M,,,,,0.602M,20.23M,0.274M,20.51M,20.51M,-0.278M,,,,,34.24M,-42.46M,,-35.83M,,,-44.05M,23.72M,,2003-01,-13.38M,0.396M,-12.98M,-117.58M,,-184.26M,,2003-01,,,-0.932M,-2.571M,-2.571M,,-13.48M,,1.041M,,2003-01,309.56M,-176.48M,133.08M,,2003-01,,,-2.571M,,,
2002-10,67.97M,,,,,1.817M,20.68M,0.274M,20.96M,20.96M,6.346M,,,,,-24.44M,0.412M,,25.10M,,,1.072M,98.16M,,2002-10,-26.42M,7.975M,-18.45M,0.00,4.889M,-13.56M,,2002-10,,,-22.86M,-6.648M,-6.648M,,-13.55M,,0.553M,,2002-10,267.47M,42.10M,309.56M,,2002-10,,,-6.648M,,,
2002-07,38.26M,,,,,-1.522M,20.70M,0.274M,20.97M,20.97M,-0.515M,,,,,-8.129M,9.495M,,5.244M,,,6.61M,63.81M,,2002-07,-13.25M,0.491M,-12.76M,0.00,-7.464M,-20.44M,,2002-07,,,-52.95M,-4.069M,-4.069M,,-13.53M,,0.686M,,2002-07,293.96M,-26.49M,267.47M,,2002-07,,,-4.069M,,,
2002-04,32.74M,,,,,-2.322M,20.52M,0.125M,20.65M,20.65M,-5.078M,,,,,17.48M,21.29M,,13.30M,,,52.07M,98.06M,,2002-04,-13.67M,0.295M,-13.38M,-0.476M,5.00M,-6.351M,,2002-04,,,-0.567M,-0.045M,-0.045M,,-13.52M,,0.156M,,2002-04,216.24M,77.73M,293.96M,,2002-04,,,-0.045M,,,
2002-01,50.35M,,,,,-1.101M,20.34M,0.325M,20.66M,20.66M,-0.753M,,,,,47.74M,-21.94M,,-28.12M,,,-2.321M,66.84M,,2002-01,-11.12M,1.039M,-10.08M,,-10.00M,-20.26M,,2002-01,,,-4.869M,,,,-12.83M,,1.083M,,2002-01,186.28M,29.96M,216.24M,,2002-01,,,,,,
2001-10,68.80M,,,,,-2.572M,20.95M,5.804M,26.75M,26.75M,-9.483M,,,,,-18.02M,-11.75M,,20.11M,,,-9.669M,73.83M,,2001-10,-20.92M,3.006M,-17.92M,-1.254M,0.00,5.025M,,2001-10,,,-23.10M,-6.686M,-6.686M,,-12.84M,,0.301M,,2001-10,149.75M,36.52M,186.28M,,2001-10,,,-6.686M,,,
2001-07,33.21M,,,,,-0.976M,19.83M,5.037M,24.87M,24.87M,1.946M,,,,,-7.206M,5.345M,,18.40M,,,16.54M,75.59M,,2001-07,-16.16M,1.249M,-14.91M,-5.211M,0.00,-27.03M,,2001-07,,,42.68M,-0.031M,-0.031M,,-12.83M,,2.00M,,2001-07,69.38M,80.37M,149.75M,,2001-07,,,-0.031M,,,
2001-04,38.89M,,,,,-1.093M,18.32M,3.364M,21.68M,21.68M,3.827M,,,,,-6.476M,13.74M,,16.83M,,,24.10M,87.41M,,2001-04,-14.79M,0.496M,-14.29M,-430.94M,0.00,-443.12M,,2001-04,,,298.04M,-0.489M,-0.489M,,-12.81M,,1.762M,,2001-04,138.58M,-69.21M,69.38M,,2001-04,,,-0.489M,,,
2001-01,41.53M,,,,,0.874M,15.45M,1.442M,16.89M,16.89M,1.947M,,,,,50.94M,-29.33M,,0.756M,,,22.37M,83.61M,,2001-01,-25.26M,1.256M,-24.00M,-2.629M,5.964M,-41.82M,,2001-01,,,9.301M,-2.007M,-2.007M,,-12.14M,,0.995M,,2001-01,100.65M,37.94M,138.58M,,2001-01,,,-2.007M,,,
2000-10,60.98M,,,,,-0.809M,,,16.58M,16.58M,8.767M,,,,,-55.09M,20.35M,,25.38M,,,-9.356M,76.16M,,2000-10,-27.82M,-80.75M,-108.57M,30.24M,50.59M,-36.72M,,2000-10,,,-21.88M,-14.40M,-14.40M,,-12.21M,,0.001M,,2000-10,109.69M,-9.044M,100.65M,,2000-10,,,-14.40M,,,
2000-07,29.14M,,,,,0.232M,,,16.65M,16.65M,0.02M,,,,,-1.253M,5.424M,,-14.07M,,,-9.901M,36.14M,,2000-07,-24.24M,83.01M,58.77M,-30.24M,-33.67M,-18.03M,,2000-07,,,-8.056M,-15.14M,-15.14M,,-12.28M,,1.072M,,2000-07,125.99M,-16.30M,109.69M,,2000-07,,,-15.14M,,,
2000-04,36.30M,,,,,-0.439M,,,16.56M,16.56M,-0.027M,,,,,-18.73M,-9.224M,,-31.13M,,,-59.09M,-6.694M,,2000-04,-25.77M,1.204M,-24.56M,,44.66M,17.79M,,2000-04,,,-1.006M,-20.79M,-20.79M,,-12.44M,,-1.176M,,2000-04,150.40M,-24.32M,125.99M,,2000-04,,,-20.79M,,,
2000-01,43.80M,,,,,0.90M,,,16.10M,16.10M,-1.60M,,,,,33.40M,-28.30M,,-18.60M,,,-13.50M,45.70M,,2000-01,-22.30M,0.40M,-21.90M,,-7.30M,-37.50M,,2000-01,,,-7.80M,-25.00M,-25.00M,,-11.80M,,-1.60M,,2000-01,188.30M,-38.00M,150.40M,,2000-01,,,-25.00M,,,
1999-10,59.60M,,,,,-2.70M,,,16.60M,16.60M,-0.30M,,,,,-44.30M,-6.70M,,73.90M,,,22.90M,96.00M,,1999-10,-25.50M,0.40M,-25.10M,,24.90M,-40.20M,,1999-10,,,0.00,-46.00M,-46.00M,,-12.00M,,0.90M,,1999-10,189.60M,-1.30M,188.30M,,1999-10,,,-46.00M,,,
1999-07,29.60M,,,,,-0.60M,,,15.80M,15.80M,0.30M,,,,,-22.20M,3.60M,,30.60M,,,12.00M,57.10M,,1999-07,-24.70M,0.30M,-24.40M,,-36.20M,-30.60M,,1999-07,,,-0.50M,-19.00M,-19.00M,,-12.00M,,1.40M,,1999-07,0.00,-3.60M,189.60M,,1999-07,,,-19.00M,,,
1999-04,31.80M,,,,,2.10M,,,15.60M,15.60M,2.40M,,,,,9.60M,-2.90M,,-21.70M,,,-15.00M,36.90M,,1999-04,-16.80M,0.20M,-16.60M,,-5.20M,-23.90M,,1999-04,,,-0.80M,-20.60M,-20.60M,,-12.10M,,0.70M,,1999-04,0.00,-19.80M,0.00,,1999-04,,,-20.60M,,,
1999-01,42.40M,,,,,-4.50M,,,16.70M,16.70M,-0.40M,,,,,13.80M,-22.50M,,4.00M,,,-4.70M,49.50M,,1999-01,-12.10M,0.30M,-11.80M,,-9.70M,-49.40M,,1999-01,,,22.60M,-2.00M,-2.00M,,-11.80M,,0.20M,,1999-01,203.90M,9.10M,0.00,,1999-01,,,-2.00M,,,
1998-10,45.20M,,,,,-0.90M,,,17.10M,17.10M,4.60M,,,,-0.10M,-14.30M,25.30M,,21.90M,-7.80M,,25.10M,91.00M,,1998-10,-32.00M,0.30M,-31.70M,,11.10M,-16.50M,,1998-10,,,3.20M,-3.60M,-3.60M,,-11.80M,,-0.10M,,1998-10,0.00,62.20M,203.90M,,1998-10,,,-3.60M,,,
1998-07,21.00M,,,,,1.10M,,,14.90M,14.90M,0.00,,,,0.00,-18.00M,-18.30M,,8.00M,7.80M,,-20.50M,16.50M,,1998-07,-14.00M,0.40M,-13.60M,,11.30M,7.20M,,1998-07,,,-0.20M,-39.80M,-39.80M,,-12.00M,,0.00,,1998-07,0.00,-28.30M,0.00,,1998-07,,,-39.80M,,,
