,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.613B,,1.613B,1.10B,,,1.10B,100.00M,10.00M,110.00M,,,66.00M,2.902B,,,38.80B,-21.87B,16.93B,98.00M,,98.00M,806.00M,,,897.00M,18.73B,21.63B,,2018-03,85.00M,1.548B,,1.548B,,,,,,,,361.00M,1.909B,1.445B,5.495B,5.495B,221.00M,418.00M,,331.00M,,,9.60B,,2018-03,937.00M,7.093B,,-58.00M,12.03B,,2018-03,AOR,Restated
2017-12,563.00M,,563.00M,1.082B,748.00M,,1.83B,117.00M,9.00M,126.00M,,,36.00M,2.566B,,,39.23B,-21.56B,17.66B,115.00M,,115.00M,847.00M,,,819.00M,19.45B,22.01B,,2017-12,108.00M,1.68B,,1.68B,,,,,,,,288.00M,1.968B,1.428B,5.494B,5.494B,833.00M,1.05B,,362.00M,,,10.30B,,2017-12,937.00M,6.779B,,-62.00M,11.71B,,2017-12,AOR,Restated
2017-09,1.795B,,1.795B,945.00M,745.00M,,1.69B,123.00M,9.00M,132.00M,,,62.00M,3.69B,,,39.31B,-21.67B,17.64B,115.00M,,115.00M,836.00M,,,661.00M,19.26B,22.95B,,2017-09,99.00M,1.574B,,1.574B,,,,,,,,188.00M,1.762B,1.522B,6.488B,6.488B,844.00M,1.061B,,330.00M,,,11.17B,,2017-09,937.00M,6.849B,,-54.00M,11.78B,,2017-09,AOR,Restated
2017-06,2.614B,,2.614B,767.00M,742.00M,,1.509B,129.00M,11.00M,140.00M,,,160.00M,4.424B,,,39.58B,-21.24B,18.34B,115.00M,,115.00M,821.00M,,,544.00M,19.82B,24.24B,,2017-06,92.00M,1.328B,,1.328B,,,,548.00M,548.00M,,,206.00M,2.082B,1.642B,6.715B,6.715B,839.00M,1.05B,,340.00M,,,11.84B,,2017-06,937.00M,7.491B,,-54.00M,12.40B,,2017-06,AOR,Restated
2017-03,2.49B,,2.49B,751.00M,,,751.00M,139.00M,6.00M,145.00M,,,134.00M,3.743B,,,37.22B,-20.69B,16.53B,115.00M,,115.00M,906.00M,,,3.24B,20.79B,24.54B,,2017-03,70.00M,1.232B,,1.232B,,,,1.541B,1.541B,,,326.00M,3.099B,1.622B,5.723B,5.723B,800.00M,1.021B,,365.00M,,,11.95B,,2017-03,937.00M,7.673B,,-48.00M,12.58B,,2017-03,AOR,Restated
2016-12,2.488B,,2.488B,748.00M,,,748.00M,130.00M,6.00M,136.00M,,,66.00M,3.665B,,,36.98B,-20.26B,16.73B,115.00M,,115.00M,931.00M,,,9.656B,27.43B,31.09B,,2016-12,129.00M,1.19B,,1.19B,,,,686.00M,686.00M,,,364.00M,2.24B,1.602B,6.581B,6.581B,769.00M,994.00M,,345.00M,,,13.55B,,2016-12,937.00M,12.67B,,-83.00M,17.54B,,2016-12,AOR,Restated
2016-09,1.953B,,1.953B,783.00M,,,783.00M,195.00M,26.00M,221.00M,,,85.00M,3.042B,,,47.75B,-21.78B,25.98B,115.00M,,115.00M,931.00M,,,2.246B,29.27B,32.31B,,2016-09,121.00M,1.151B,,1.151B,,,,1.00M,1.00M,,,256.00M,1.408B,1.607B,7.277B,7.277B,2.399B,2.696B,,400.00M,,,13.39B,,2016-09,937.00M,14.09B,,-137.00M,18.92B,,2016-09,AOR,Restated
2016-06,2.584B,,2.584B,822.00M,,,822.00M,241.00M,31.00M,272.00M,,,76.00M,3.754B,,,47.32B,-21.66B,25.66B,115.00M,,115.00M,944.00M,,,2.057B,28.77B,32.53B,,2016-06,114.00M,1.152B,,1.152B,,,,1.00M,1.00M,,,229.00M,1.382B,1.597B,7.28B,7.28B,2.392B,2.706B,,409.00M,,,13.37B,,2016-06,937.00M,14.32B,,-140.00M,19.15B,,2016-06,AOR,Restated
2016-03,2.072B,,2.072B,779.00M,,,779.00M,273.00M,33.00M,306.00M,,,111.00M,3.268B,,,49.50B,-22.76B,26.74B,115.00M,,115.00M,959.00M,,,1.789B,29.60B,32.87B,,2016-03,79.00M,1.314B,,1.314B,,,,1.00M,1.00M,,,211.00M,1.526B,1.614B,7.28B,7.28B,2.368B,2.651B,,446.00M,,,13.52B,,2016-03,937.00M,14.53B,,-150.00M,19.35B,,2016-03,AOR,Restated
2015-12,1.221B,,1.221B,912.00M,,,912.00M,278.00M,35.00M,313.00M,,,144.00M,2.59B,,,50.32B,-23.26B,27.06B,115.00M,,115.00M,1.003B,,,1.542B,29.72B,32.31B,,2015-12,133.00M,1.578B,,1.578B,,,,1.00M,1.00M,,,150.00M,1.729B,1.601B,7.276B,7.276B,2.441B,2.749B,,403.00M,,,13.76B,,2015-12,770.00M,14.97B,,-135.00M,18.55B,,2015-12,AOR,Restated
2015-09,1.68B,700.00M,2.38B,991.00M,,,991.00M,285.00M,39.00M,324.00M,,,163.00M,3.858B,,,51.63B,-23.71B,27.92B,457.00M,95.00M,552.00M,1.012B,,1.115B,217.00M,30.82B,34.67B,,2015-09,138.00M,1.527B,,1.527B,,,,1.035B,1.035B,,,286.00M,2.848B,1.965B,7.323B,7.323B,2.542B,2.767B,,436.00M,,,15.34B,,2015-09,770.00M,15.80B,,-175.00M,19.34B,,2015-09,AOR,Restated
2015-06,1.572B,925.00M,2.497B,1.195B,,,1.195B,286.00M,50.00M,336.00M,,,102.00M,4.13B,,,52.52B,-23.40B,29.12B,459.00M,,459.00M,1.045B,,,1.015B,31.64B,35.77B,,2015-06,119.00M,1.782B,,1.782B,,,,1.035B,1.035B,,,235.00M,3.052B,1.963B,7.321B,7.321B,2.531B,2.778B,,438.00M,,,15.55B,,2015-06,770.00M,16.69B,,-172.00M,20.22B,,2015-06,AOR,Restated
2015-03,1.126B,,1.126B,1.341B,,,1.341B,325.00M,54.00M,379.00M,,,122.00M,2.968B,,,51.94B,-22.65B,29.29B,459.00M,,459.00M,1.10B,,,918.00M,31.77B,34.74B,,2015-03,127.00M,2.241B,,2.241B,,,,1.068B,1.068B,,,252.00M,3.561B,1.949B,5.326B,5.326B,2.437B,2.725B,,515.00M,,,14.08B,,2015-03,770.00M,17.22B,,-228.00M,20.66B,,2015-03,AOR,Restated
2014-12,2.398B,,2.398B,1.729B,,,1.729B,299.00M,58.00M,357.00M,,,109.00M,4.593B,,,50.92B,-21.88B,29.04B,459.00M,,459.00M,1.113B,,,778.00M,31.39B,35.98B,,2014-12,191.00M,3.021B,,3.021B,,,,1.068B,1.068B,,,290.00M,4.379B,1.917B,5.295B,5.295B,2.486B,2.774B,,598.00M,,,14.96B,,2014-12,770.00M,17.64B,,-277.00M,21.02B,,2014-12,AOR,Restated
2014-09,761.00M,,761.00M,2.048B,,,2.048B,299.00M,80.00M,379.00M,,,143.00M,4.204B,,,49.68B,-21.02B,28.66B,457.00M,,457.00M,1.103B,,,2.278B,32.50B,36.70B,,2014-09,149.00M,2.76B,,2.76B,,0.00,68.00M,68.00M,68.00M,,,1.348B,4.176B,2.003B,6.355B,6.355B,2.57B,2.975B,,611.00M,,,16.47B,,2014-09,770.00M,16.85B,,-277.00M,20.23B,,2014-09,AOR,Restated
2014-06,1.169B,,1.169B,2.042B,,,2.042B,304.00M,100.00M,404.00M,,,211.00M,4.218B,,,48.03B,-20.21B,27.82B,457.00M,,457.00M,1.184B,,,2.252B,31.72B,35.94B,,2014-06,121.00M,2.753B,,2.753B,,0.00,68.00M,68.00M,68.00M,,,1.153B,3.974B,1.804B,6.362B,6.362B,2.525B,2.917B,,668.00M,,,16.07B,,2014-06,770.00M,16.56B,,-278.00M,19.87B,,2014-06,AOR,Restated
2014-03,1.964B,,1.964B,2.222B,,,2.222B,337.00M,68.00M,405.00M,,,196.00M,4.787B,,,50.76B,-22.34B,28.43B,499.00M,,499.00M,1.223B,,,1.216B,31.36B,36.15B,,2014-03,180.00M,4.038B,,4.038B,,0.00,68.00M,68.00M,68.00M,,,208.00M,4.314B,2.062B,6.392B,6.392B,2.517B,2.918B,,660.00M,,,16.35B,,2014-03,770.00M,16.15B,,-270.00M,19.80B,,2014-03,AOR,Restated
2013-12,264.00M,,264.00M,2.134B,,,2.134B,309.00M,55.00M,364.00M,,,213.00M,2.975B,,,50.04B,-21.90B,28.14B,499.00M,,499.00M,1.201B,,,2.80B,32.64B,35.62B,,2013-12,240.00M,3.891B,,3.891B,,135.00M,68.00M,203.00M,203.00M,,,239.00M,4.333B,2.009B,6.394B,6.394B,2.492B,2.936B,,604.00M,,,16.28B,,2013-12,770.00M,15.14B,,-250.00M,19.34B,,2013-12,AOR,Restated
2013-09,354.00M,,354.00M,2.562B,,,2.562B,314.00M,46.00M,360.00M,,,179.00M,3.455B,,,48.99B,-21.17B,27.82B,499.00M,,499.00M,1.216B,,,2.784B,32.32B,35.78B,,2013-09,162.00M,4.079B,,4.079B,,200.00M,68.00M,268.00M,268.00M,,,326.00M,4.673B,2.027B,6.433B,6.433B,2.481B,2.936B,,713.00M,,,16.78B,,2013-09,770.00M,14.89B,,-322.00M,18.99B,,2013-09,AOR,Restated
2013-06,246.00M,,246.00M,2.443B,,,2.443B,320.00M,48.00M,368.00M,,,224.00M,3.281B,,,48.10B,-20.64B,27.46B,499.00M,,499.00M,1.244B,,,2.567B,31.77B,35.05B,,2013-06,137.00M,3.686B,,3.686B,,0.00,68.00M,68.00M,68.00M,,,254.00M,4.008B,2.039B,6.428B,6.428B,2.406B,2.813B,,739.00M,,,16.03B,,2013-06,770.00M,14.46B,,-344.00M,19.02B,,2013-06,AOR,Restated
2013-03,768.00M,,768.00M,2.466B,,,2.466B,314.00M,54.00M,368.00M,,,175.00M,3.777B,,,48.58B,-20.20B,28.38B,528.00M,,528.00M,1.304B,,,1.118B,31.33B,35.11B,,2013-03,182.00M,4.358B,,4.358B,,0.00,68.00M,68.00M,68.00M,,,203.00M,4.629B,1.795B,6.476B,6.476B,2.401B,2.771B,,850.00M,,,16.52B,,2013-03,770.00M,14.15B,,-426.00M,18.59B,,2013-03,AOR,Restated
2012-12,684.00M,,684.00M,2.418B,,,2.418B,288.00M,73.00M,361.00M,,,299.00M,3.762B,,,47.54B,-19.27B,28.27B,525.00M,,525.00M,1.279B,,,1.468B,31.54B,35.31B,,2012-12,217.00M,4.524B,,4.524B,,200.00M,184.00M,384.00M,384.00M,,,173.00M,5.081B,1.749B,6.512B,6.512B,2.432B,2.825B,,856.00M,,,17.02B,,2012-12,770.00M,13.89B,,-433.00M,18.28B,,2012-12,AOR,Restated
2012-09,671.00M,,671.00M,2.553B,,22.00M,2.575B,324.00M,,324.00M,111.00M,87.00M,269.00M,4.037B,,,45.88B,-18.44B,27.45B,525.00M,,525.00M,1.319B,,,1.231B,30.52B,34.56B,,2012-09,44.00M,4.406B,,4.406B,,1.839B,183.00M,2.022B,2.022B,,,206.00M,6.782B,1.516B,4.518B,4.518B,2.495B,2.861B,,817.00M,0.00,,16.49B,,2012-09,770.00M,13.69B,,-421.00M,18.06B,,2012-09,AOR,Restated
2012-06,452.00M,,452.00M,2.047B,,17.00M,2.064B,335.00M,,335.00M,101.00M,87.00M,215.00M,3.254B,,,43.78B,-17.78B,26.00B,525.00M,,525.00M,1.319B,,,1.151B,29.00B,32.25B,,2012-06,25.00M,3.623B,,3.623B,,550.00M,187.00M,737.00M,737.00M,,,211.00M,4.691B,1.489B,4.513B,4.513B,2.534B,3.011B,,761.00M,0.00,,14.46B,,2012-06,770.00M,13.36B,,-364.00M,17.78B,,2012-06,AOR,Restated
2012-03,513.00M,,513.00M,2.198B,,35.00M,2.233B,296.00M,,296.00M,83.00M,87.00M,233.00M,3.445B,,,42.55B,-17.18B,25.36B,525.00M,,525.00M,1.353B,,,1.163B,28.41B,31.85B,,2012-03,10.00M,4.104B,,4.104B,,,,197.00M,197.00M,,,207.00M,4.673B,1.437B,4.559B,4.559B,2.54B,2.929B,,747.00M,7.00M,,14.34B,,2012-03,770.00M,13.08B,,-361.00M,17.50B,,2012-03,AOR,Restated
2011-12,493.00M,,493.00M,1.917B,,,1.952B,214.00M,147.00M,361.00M,,,418.00M,3.224B,,,42.57B,-17.25B,25.32B,536.00M,,536.00M,1.383B,,,904.00M,28.15B,31.37B,,2011-12,193.00M,4.09B,,4.09B,,0.00,141.00M,141.00M,141.00M,,,163.00M,4.394B,1.51B,4.674B,4.674B,2.544B,2.845B,,789.00M,7.00M,,14.21B,,2011-12,770.00M,12.79B,,-370.00M,17.15B,,2011-12,AOR,Restated
2011-09,4.633B,,4.633B,1.696B,,25.00M,1.721B,342.00M,0.00,342.00M,,,458.00M,7.154B,,,37.05B,-16.73B,20.32B,537.00M,,537.00M,1.431B,,,1.101B,23.39B,30.54B,,2011-09,14.00M,3.466B,,3.466B,,,,338.00M,338.00M,0.00,0.00,192.00M,4.125B,1.337B,4.705B,4.705B,2.676B,2.951B,,667.00M,8.00M,,13.78B,,2011-09,770.00M,12.35B,,-328.00M,16.75B,,2011-09,AOR,Restated
2011-06,4.711B,,4.711B,1.79B,,53.00M,1.843B,343.00M,0.00,343.00M,,,417.00M,7.314B,,,36.38B,-16.24B,20.14B,537.00M,,537.00M,1.475B,,,1.024B,23.18B,30.49B,,2011-06,21.00M,3.491B,,3.491B,,,,338.00M,338.00M,0.00,0.00,193.00M,4.161B,1.336B,4.684B,4.684B,2.658B,2.929B,,673.00M,,,13.78B,,2011-06,770.00M,12.05B,,-346.00M,16.71B,,2011-06,AOR,Restated
2011-03,5.716B,,5.716B,,,,6.557B,1.467B,1.621B,3.088B,,,414.00M,15.78B,,,52.88B,-20.69B,32.19B,1.376B,,1.376B,1.846B,,,679.00M,36.09B,51.86B,,2011-03,,10.15B,,10.15B,,,,349.00M,349.00M,333.00M,333.00M,593.00M,11.78B,1.368B,7.992B,7.992B,3.333B,3.819B,,2.199B,,,27.16B,,2011-03,770.00M,20.72B,,-971.00M,24.70B,,2011-03,AOR,Restated
2010-12,3.951B,,3.951B,,,,6.03B,1.679B,1.774B,3.453B,,,395.00M,13.83B,,,52.03B,-19.80B,32.22B,1.38B,,1.38B,1.802B,,,781.00M,36.18B,50.01B,,2010-12,467.00M,9.914B,,9.914B,,,,295.00M,295.00M,324.00M,324.00M,580.00M,11.11B,,7.601B,7.601B,3.569B,4.004B,1.354B,2.171B,,,26.24B,,2010-12,770.00M,19.91B,,-997.00M,23.77B,,2010-12,AOR,Restated
2010-09,1.643B,,1.643B,,,,5.416B,1.923B,2.046B,3.969B,,,572.00M,11.60B,,,51.01B,-19.03B,31.99B,1.383B,,1.383B,1.844B,,,1.309B,36.52B,48.12B,,2010-09,421.00M,8.603B,,8.603B,,,,98.00M,98.00M,414.00M,414.00M,489.00M,9.604B,,7.844B,7.844B,3.94B,4.307B,,1.846B,,,24.77B,,2010-09,770.00M,19.38B,,-868.00M,23.36B,,2010-09,AOR,Restated
2010-06,2.062B,,2.062B,,,,5.028B,1.761B,1.825B,3.586B,,,584.00M,11.26B,,,50.01B,-18.31B,31.70B,1.383B,,1.383B,1.868B,,,1.282B,36.24B,47.50B,,2010-06,354.00M,8.193B,,8.193B,,,,101.00M,101.00M,462.00M,462.00M,546.00M,9.302B,,7.829B,7.829B,4.013B,4.387B,1.148B,1.989B,,,24.66B,,2010-06,770.00M,18.86B,,-855.00M,22.84B,,2010-06,AOR,Restated
2010-03,2.718B,,2.718B,,,,4.952B,1.915B,1.933B,3.848B,,,221.00M,11.74B,,,49.89B,-18.22B,31.67B,1.414B,,1.414B,2.004B,320.00M,,574.00M,35.99B,47.72B,,2010-03,419.00M,8.241B,,8.241B,,,,98.00M,98.00M,408.00M,408.00M,638.00M,9.385B,,8.44B,8.44B,4.099B,4.469B,1.121B,2.078B,,,25.50B,,2010-03,769.00M,18.33B,,-925.00M,22.23B,,2010-03,AOR,Restated
2009-12,2.057B,,2.057B,,,,4.737B,1.832B,1.79B,3.622B,,,221.00M,10.64B,,,49.31B,-17.18B,32.12B,1.422B,,1.422B,1.97B,,,902.00M,36.42B,47.05B,,2009-12,463.00M,7.992B,,7.992B,,,,96.00M,96.00M,403.00M,403.00M,566.00M,9.057B,,8.436B,8.436B,4.104B,4.494B,1.099B,2.056B,,,25.14B,,2009-12,769.00M,18.04B,,-934.00M,21.91B,,2009-12,AOR,Restated
2009-09,1.37B,,1.37B,,,,4.368B,1.839B,1.841B,3.68B,,,208.00M,9.626B,,,47.75B,-16.63B,31.12B,1.424B,,1.424B,1.991B,453.00M,,806.00M,35.79B,45.42B,,2009-09,417.00M,7.015B,,7.015B,,,,105.00M,105.00M,611.00M,611.00M,513.00M,8.244B,,8.581B,8.581B,3.725B,4.135B,965.00M,1.395B,,,23.32B,,2009-09,769.00M,17.86B,,-554.00M,22.09B,,2009-09,AOR,Restated
2009-06,1.496B,,1.496B,,,,3.929B,1.563B,1.935B,3.498B,,,191.00M,9.114B,,,46.85B,-16.39B,30.45B,1.423B,,1.423B,2.035B,457.00M,,960.00M,35.33B,44.44B,,2009-06,339.00M,6.351B,,6.351B,,,,103.00M,103.00M,615.00M,615.00M,704.00M,7.773B,,8.518B,8.518B,3.312B,3.715B,982.00M,1.636B,,,22.63B,,2009-06,0.00,17.61B,,-578.00M,21.81B,,2009-06,AOR,Restated
2009-03,1.869B,,1.869B,,,,2.939B,1.702B,1.794B,3.496B,,,279.00M,8.583B,,,46.27B,-16.20B,30.07B,1.445B,,1.445B,2.046B,466.00M,,706.00M,34.73B,43.31B,,2009-03,381.00M,5.441B,,5.441B,,,,101.00M,101.00M,618.00M,618.00M,768.00M,6.928B,,8.59B,8.59B,3.12B,3.658B,977.00M,1.644B,,,21.80B,,2009-03,769.00M,17.37B,,-623.00M,21.51B,,2009-03,AOR,Restated
2008-12,1.285B,,1.285B,,,,3.15B,1.71B,1.797B,3.507B,,,461.00M,8.403B,2.592B,42.40B,45.00B,-15.58B,29.41B,1.447B,,1.447B,2.08B,469.00M,,873.00M,34.28B,42.69B,,2008-12,421.00M,6.266B,,6.266B,,,,98.00M,98.00M,561.00M,561.00M,828.00M,7.753B,,7.087B,7.087B,3.33B,3.861B,963.00M,1.609B,,,21.28B,,2008-12,767.00M,17.26B,,-593.00M,21.41B,,2008-12,,Restated
2008-09,1.479B,,1.479B,6.232B,,,6.232B,,,4.446B,,,216.00M,12.37B,,,42.99B,-14.86B,28.13B,2.887B,279.00M,3.166B,,,,5.238B,36.53B,48.91B,,2008-09,,8.975B,1.123B,10.10B,,,,1.378B,1.378B,397.00M,397.00M,404.00M,12.28B,,7.074B,7.074B,4.873B,4.873B,,,,,26.98B,,2008-09,767.00M,17.47B,,-274.00M,21.93B,,2008-09,,Restated
2008-06,1.27B,,1.27B,7.624B,,,7.624B,,,5.015B,,,145.00M,14.05B,,,42.85B,-15.78B,27.07B,2.887B,282.00M,3.169B,,,,4.396B,34.64B,48.69B,,2008-06,,12.14B,857.00M,12.99B,,,,1.068B,1.068B,367.00M,367.00M,399.00M,14.83B,,7.059B,7.059B,3.768B,3.768B,,,,,28.58B,,2008-06,767.00M,15.58B,,-270.00M,20.11B,,2008-06,,Restated
2008-03,1.189B,,1.189B,6.144B,,,6.144B,,,3.892B,,,189.00M,11.41B,,,41.05B,-15.30B,25.75B,2.882B,285.00M,3.167B,,,,4.431B,33.35B,44.76B,,2008-03,,8.956B,993.00M,9.949B,,,,1.096B,1.096B,536.00M,536.00M,55.00M,11.64B,,7.098B,7.098B,3.623B,3.623B,,,,,25.10B,,2008-03,766.00M,14.97B,,-240.00M,19.67B,,2008-03,,Restated
2007-12,1.199B,,1.199B,5.672B,,101.00M,5.773B,,,3.277B,,,338.00M,10.59B,,,39.53B,-14.86B,24.68B,2.899B,,2.899B,,,,4.585B,32.16B,42.75B,,2007-12,,7.567B,712.00M,8.279B,,,,1.131B,1.131B,547.00M,547.00M,1.303B,11.26B,,6.084B,6.084B,3.389B,3.389B,,,,,23.52B,,2007-12,765.00M,14.41B,,-249.00M,19.22B,,2007-12,,
2007-09,3.269B,,3.269B,5.423B,,,5.423B,,,4.604B,,,167.00M,13.46B,,,31.26B,-14.60B,16.66B,1.391B,175.00M,1.566B,,,,4.275B,22.50B,35.96B,,2007-09,,6.715B,694.00M,7.409B,,,,423.00M,423.00M,625.00M,625.00M,364.00M,8.821B,,5.678B,5.678B,1.898B,1.898B,,,,,19.28B,,2007-09,736.00M,13.92B,,-385.00M,16.68B,,2007-09,,
