,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2011-06,3.70B,3.745B,1.883B,1.862B,,130.00M,,-307.00M,53.00M,13.00M,-13.00M,,747.00M,1.115B,13.00M,-13.00M,-187.00M,-13.00M,915.00M,617.00M,298.00M,698.00M,,,,1.492B,564.00M,928.00M,,2011-06,,,0.6999,1.40,,0.97,,,,2011-06,713.00M,717.00M,0.25,,2011-06,AOR,Restated
2011-03,3.692B,3.692B,1.69B,2.002B,,137.00M,,-279.00M,58.00M,19.00M,-19.00M,,830.00M,1.172B,19.00M,-19.00M,-162.00M,-19.00M,991.00M,536.00M,455.00M,541.00M,,,,1.645B,635.00M,1.01B,,2011-03,,,0.8951,1.40,,0.75,,,,2011-03,711.00M,715.00M,0.25,,2011-03,AOR,Restated
2010-12,3.31B,2.488B,3.216B,-728.00M,,163.00M,,743.00M,54.00M,25.00M,-14.00M,,-661.00M,-67.00M,25.00M,-14.00M,922.00M,-14.00M,841.00M,417.00M,424.00M,282.00M,,,,1.546B,680.00M,866.00M,,2010-12,,,-0.0873,0.99,,0.39,,,,2010-12,713.00M,715.00M,0.25,,2010-12,AOR,Restated
2010-09,2.878B,2.878B,1.223B,1.655B,,108.00M,,0.00,44.00M,16.00M,-16.00M,,682.00M,973.00M,16.00M,-16.00M,77.00M,-16.00M,1.034B,567.00M,467.00M,229.00M,,,,1.58B,530.00M,1.05B,,2010-09,,,0.66,0.98,,0.32,,,,2010-09,710.00M,712.00M,0.25,,2010-09,AOR,Restated
2010-06,2.81B,2.82B,1.39B,1.43B,,118.00M,,-97.00M,52.00M,15.00M,-15.00M,,586.00M,844.00M,15.00M,-15.00M,-14.00M,-15.00M,815.00M,441.00M,374.00M,335.00M,,,,1.246B,197.00M,830.00M,,2010-06,,,0.6188,1.00,,0.47,,,,2010-06,710.00M,712.00M,0.25,,2010-06,AOR,Restated
2010-03,15.75B,16.56B,14.17B,2.391B,,298.00M,,-434.00M,115.00M,,-30.00M,,1.062B,1.329B,,-30.00M,-329.00M,-30.00M,970.00M,513.00M,457.00M,,,,,1.978B,649.00M,1.329B,,2010-03,,,1.038,0.64,,0.00,,,,2010-03,709.00M,711.00M,0.24,,2010-03,AOR,Restated
2009-12,15.71B,15.88B,13.84B,2.047B,,328.00M,,349.00M,91.00M,,-436.00M,,1.053B,994.00M,,-436.00M,349.00M,-436.00M,907.00M,708.00M,199.00M,156.00M,,,,1.97B,634.00M,1.336B,,2009-12,,,-0.0400,0.50,,0.22,,,,2009-12,709.00M,711.00M,0.24,,2009-12,AOR,Restated
2009-09,14.36B,14.48B,12.41B,2.068B,,323.00M,,-3.00M,98.00M,,-35.00M,,1.048B,1.02B,,-35.00M,-3.00M,-35.00M,982.00M,590.00M,392.00M,21.00M,,,,1.647B,627.00M,1.02B,,2009-09,,,0.5528,0.58,,0.03,,,,2009-09,709.00M,711.00M,0.24,,2009-09,AOR,Restated
2009-06,13.04B,13.32B,11.16B,2.157B,,321.00M,,-15.00M,96.00M,12.00M,-12.00M,,1.10B,1.057B,12.00M,-12.00M,-15.00M,-12.00M,1.03B,702.00M,328.00M,85.00M,,,,1.725B,683.00M,1.042B,,2009-06,,,0.4738,0.58,,0.12,,,,2009-06,709.00M,711.00M,0.24,,2009-06,AOR,Restated
2009-03,10.18B,10.28B,8.688B,1.591B,,291.00M,,0.00,102.00M,16.00M,-16.00M,,1.053B,538.00M,16.00M,-16.00M,,-16.00M,522.00M,257.00M,265.00M,17.00M,,,,1.198B,660.00M,538.00M,,2009-03,,,0.37,0.40,,0.03,,,,2009-03,709.00M,712.00M,0.24,,2009-03,AOR,Restated
2008-12,14.25B,14.70B,11.84B,2.857B,,374.00M,,,106.00M,65.00M,-10.00M,,1.096B,1.761B,65.00M,-10.00M,,-10.00M,369.00M,418.00M,-49.00M,8.00M,,,,1.05B,616.00M,434.00M,,2008-12,,,-0.07,-0.06,,0.01,,,,2008-12,715.00M,719.00M,0.24,,2008-12,,Restated
2008-09,22.97B,23.30B,18.60B,4.698B,,349.00M,,,126.00M,46.00M,-46.00M,,1.059B,3.639B,46.00M,-46.00M,,-46.00M,3.593B,1.601B,1.992B,72.00M,,,,4.223B,580.00M,3.639B,,2008-09,,,2.82,2.92,,0.10,,,,2008-09,709.00M,711.00M,0.24,,2008-09,,Restated
2008-06,21.89B,22.20B,19.64B,2.566B,,361.00M,,,127.00M,11.00M,-11.00M,,981.00M,1.585B,11.00M,-11.00M,,-11.00M,1.574B,806.00M,768.00M,6.00M,,,,2.078B,482.00M,1.585B,,2008-06,,,1.08,1.09,,0.01,,,,2008-06,710.00M,714.00M,0.24,,2008-06,,Restated
2008-03,17.82B,18.10B,15.94B,2.164B,,300.00M,,,123.00M,,9.00M,,874.00M,1.29B,,9.00M,,9.00M,1.299B,568.00M,731.00M,,,,,1.741B,451.00M,1.29B,,2008-03,,,1.03,1.03,,0.00,,,,2008-03,709.00M,712.00M,0.24,,2008-03,,Restated
2007-12,16.88B,22.70B,14.75B,7.942B,,831.00M,,84.00M,108.00M,,,5.636B,6.99B,952.00M,,,235.00M,,991.00M,323.00M,668.00M,0.00,,0.00,,1.367B,415.00M,952.00M,,2007-12,,,0.8402,0.92,,0.00,,,,2007-12,709.27M,710.00M,0.24,,2007-12,,
2007-09,15.41B,15.41B,13.14B,2.267B,,336.00M,,120.00M,95.00M,,,-203.00M,637.00M,1.63B,,,290.00M,,1.747B,726.00M,1.021B,,,,,2.039B,409.00M,1.63B,,2007-09,,,1.385,1.50,,0.00,,,,2007-09,680.67M,685.23M,0.24,,2007-09,,
2007-06,16.74B,16.74B,13.32B,3.421B,,327.00M,,32.00M,93.00M,,,-152.00M,664.00M,2.757B,,,149.00M,,2.776B,1.234B,1.542B,8.00M,,1.00M,,3.153B,396.00M,2.757B,,2007-06,,,2.231,2.27,,0.01,,,,2007-06,710.00M,714.00M,0.24,,2007-06,,
2007-03,12.87B,12.87B,9.711B,3.158B,,287.00M,,22.00M,1.295B,,,-135.00M,1.84B,1.318B,,,129.00M,,1.335B,618.00M,717.00M,,,2.00M,,1.711B,393.00M,1.318B,,2007-03,,,1.019,1.04,,0.00,,,,2007-03,689.42M,692.75M,0.20,,2007-03,,
2006-12,8.828B,14.36B,6.037B,8.323B,,698.00M,,16.00M,91.00M,,,5.318B,6.495B,1.828B,,,109.00M,,1.805B,726.00M,1.079B,0.00,,3.00M,,2.216B,388.00M,1.828B,,2006-12,,,1.526,1.55,,0.00,,,,2006-12,699.94M,699.94M,0.20,,2006-12,,
2006-09,16.49B,16.49B,12.94B,3.555B,,300.00M,,33.00M,92.00M,,,-142.00M,611.00M,2.944B,,,142.00M,,2.953B,1.33B,1.623B,,,2.00M,,3.305B,361.00M,2.944B,,2006-09,,,2.252,2.28,,0.00,,,,2006-09,711.84M,718.14M,0.20,,2006-09,,
2006-06,16.90B,16.90B,13.49B,3.411B,,308.00M,,14.00M,91.00M,,,-111.00M,657.00M,2.754B,,,111.00M,,2.765B,1.281B,1.484B,264.00M,,2.00M,,3.123B,354.00M,2.754B,,2006-06,,,2.043,2.42,,0.365,,,,2006-06,722.31M,728.33M,0.20,,2006-06,,
2006-03,16.42B,16.42B,13.11B,3.304B,,287.00M,,29.00M,1.262B,,,-121.00M,1.828B,1.476B,,,121.00M,,1.456B,685.00M,771.00M,13.00M,,3.00M,,1.891B,415.00M,1.476B,,2006-03,,,1.031,1.075,,0.02,,,,2006-03,729.30M,736.15M,0.165,,2006-03,,
2005-12,20.60B,20.60B,13.25B,7.353B,,304.00M,,15.00M,4.792B,,,-127.00M,5.322B,2.031B,,,127.00M,,1.988B,723.00M,1.265B,19.00M,,4.00M,,2.439B,408.00M,2.031B,,2005-12,,,1.737,1.755,,0.00,,,,2005-12,730.78M,740.73M,0.165,,2005-12,,
2005-09,15.86B,15.86B,13.97B,1.889B,,324.00M,,5.00M,84.00M,,,-74.00M,653.00M,1.236B,,,74.00M,,1.208B,458.00M,750.00M,20.00M,,3.00M,,1.555B,319.00M,1.236B,,2005-09,,,1.021,1.055,,0.03,,,,2005-09,729.86M,736.84M,0.165,,2005-09,,
2005-06,14.73B,14.73B,12.80B,1.936B,,268.00M,,37.00M,78.00M,,,-82.00M,585.00M,1.351B,,,82.00M,,1.002B,334.00M,668.00M,5.00M,,-314.00M,,1.672B,308.00M,1.351B,,2005-06,,,0.9294,0.97,,0.005,,,,2005-06,693.81M,701.04M,0.14,,2005-06,,
2005-03,12.93B,12.93B,10.61B,2.318B,,260.00M,,38.00M,105.00M,,,-78.00M,610.00M,1.708B,,,78.00M,,1.607B,199.00M,1.408B,,,-69.00M,,2.031B,323.00M,1.708B,,2005-03,,,0.4221,0.47,,0.00,,,,2005-03,695.44M,695.44M,0.14,,2005-03,,
2004-12,13.36B,9.843B,11.67B,-1.827B,,262.00M,,61.00M,96.00M,,,,-2.648B,821.00M,,,123.00M,,953.00M,215.00M,738.00M,0.00,,-145.00M,,1.142B,321.00M,821.00M,,2004-12,,,0.9962,1.064,,0.00,,,,2004-12,693.39M,693.39M,0.14,,2004-12,,
2004-09,11.11B,12.32B,10.00B,2.316B,,261.00M,,29.00M,80.00M,,,1.137B,1.774B,542.00M,,,67.00M,,355.00M,133.00M,222.00M,,,-147.00M,,838.00M,296.00M,542.00M,,2004-09,,,0.2939,0.32,,0.00,,,,2004-09,693.75M,693.75M,0.125,,2004-09,,
2004-06,11.38B,11.45B,9.965B,1.489B,,280.00M,,28.00M,79.00M,,,,660.00M,829.00M,,,71.00M,,562.00M,214.00M,348.00M,4.00M,,-216.00M,,1.13B,298.00M,829.00M,,2004-06,,,0.4799,0.51,,0.005,,,,2004-06,690.20M,690.20M,0.125,,2004-06,,
2004-03,9.60B,9.641B,8.548B,1.093B,,230.00M,,14.00M,83.00M,,,,615.00M,478.00M,,,41.00M,,423.00M,165.00M,258.00M,,,-17.00M,,780.00M,302.00M,478.00M,,2004-03,,,0.4013,0.415,,0.00,,,,2004-03,621.69M,621.69M,0.125,,2004-03,,
2003-12,9.96B,10.03B,9.111B,916.00M,,220.00M,,38.00M,68.00M,,,,563.00M,353.00M,,,67.00M,,305.00M,106.00M,199.00M,286.00M,0.00,-35.00M,,631.00M,278.00M,353.00M,,2003-12,0.00,,0.2798,0.785,,0.465,0.0000,,,2003-12,616.07M,616.07M,0.125,,2003-12,,
2003-09,9.149B,9.224B,7.964B,1.26B,,249.00M,,56.00M,73.00M,,,,602.00M,658.00M,,,75.00M,,471.00M,178.00M,293.00M,-12.00M,,-132.00M,,938.00M,246.00M,658.00M,,2003-09,,,0.4142,0.45,,-0.02,,,,2003-09,624.44M,624.44M,0.125,,2003-09,,
2003-06,8.553B,8.615B,7.47B,1.145B,,244.00M,,129.00M,78.00M,,,,619.00M,526.00M,,,62.00M,,369.00M,134.00M,235.00M,13.00M,,-105.00M,,837.00M,311.00M,526.00M,,2003-06,,,0.2475,0.40,,0.02,,,,2003-06,620.00M,620.00M,0.115,,2003-06,,
2003-03,9.016B,9.083B,7.957B,1.126B,,207.00M,,19.00M,80.00M,,,,579.00M,547.00M,,,67.00M,,451.00M,166.00M,285.00M,18.00M,4.00M,-30.00M,,856.00M,309.00M,547.00M,,2003-03,0.00,,0.4406,0.495,,0.035,0.0064,,,2003-03,620.20M,620.20M,0.115,,2003-03,,
2002-12,7.421B,7.508B,6.55B,958.00M,,237.00M,,110.00M,63.00M,,,71.00M,659.00M,299.00M,,,158.00M,,282.00M,90.00M,192.00M,2.00M,0.00,-35.00M,,587.00M,257.00M,299.00M,,2002-12,0.00,,0.1858,0.31,,0.025,-0.0001,,,2002-12,628.24M,628.24M,0.115,,2002-12,,
2002-09,7.283B,7.365B,6.442B,923.00M,,218.00M,,25.00M,61.00M,,,-12.00M,551.00M,372.00M,,,58.00M,,228.00M,154.00M,74.00M,13.00M,,-45.00M,,664.00M,292.00M,372.00M,,2002-09,,,0.0958,0.14,,0.02,,,,2002-09,619.75M,619.94M,0.115,,2002-09,,
