,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2013-10,1.988B,1.988B,1.193B,795.00M,99.00M,110.00M,209.00M,338.00M,,-30.00M,24.00M,7.00M,-17.00M,,547.00M,248.00M,7.00M,24.00M,-17.00M,-37.00M,-17.00M,194.00M,11.00M,183.00M,,211.30M,316.00M,98.00M,218.00M,,,,0.1735,0.15,,,,0.1732,2013-10,1.205B,1.222B,0.10,,2013-10,AOR,Restated
2013-07,1.975B,1.975B,1.169B,806.00M,111.00M,97.00M,208.00M,334.00M,,-14.00M,23.00M,1.00M,-22.00M,,542.00M,264.00M,1.00M,23.00M,-22.00M,-14.00M,-22.00M,228.00M,60.00M,168.00M,,178.32M,351.00M,100.00M,251.00M,,,,0.1486,0.14,,,,0.1485,2013-07,1.203B,1.22B,0.10,,2013-07,AOR,Restated
2013-04,1.973B,1.973B,1.165B,808.00M,118.00M,126.00M,244.00M,344.00M,,-288.00M,24.00M,2.00M,-22.00M,,588.00M,220.00M,2.00M,24.00M,-22.00M,-288.00M,-22.00M,-90.00M,39.00M,-129.00M,,58.20M,40.00M,106.00M,-66.00M,,,,0.0456,-0.11,,,,0.0456,2013-04,1.203B,1.203B,0.09,,2013-04,AOR,Restated
2013-01,1.573B,1.573B,991.00M,582.00M,105.00M,125.00M,230.00M,304.00M,0.00,-9.00M,24.00M,3.00M,-21.00M,,534.00M,48.00M,3.00M,24.00M,-21.00M,-9.00M,-21.00M,18.00M,-16.00M,34.00M,,39.85M,148.00M,106.00M,42.00M,,,,0.0349,0.03,,,,0.0348,2013-01,1.198B,1.212B,0.09,,2013-01,AOR,Restated
2012-10,1.646B,1.646B,1.059B,587.00M,107.00M,130.00M,237.00M,304.00M,,-542.00M,23.00M,-13.00M,-36.00M,,541.00M,46.00M,-13.00M,23.00M,-36.00M,-542.00M,-36.00M,-532.00M,-17.00M,-515.00M,,9.680M,-412.00M,97.00M,-509.00M,,,,0.0108,-0.42,,,,0.0059,2012-10,1.218B,1.232B,0.09,,2012-10,AOR,Restated
2012-07,2.343B,2.343B,1.413B,930.00M,118.00M,137.00M,255.00M,309.00M,0.00,-44.00M,24.00M,4.00M,-20.00M,,564.00M,366.00M,4.00M,24.00M,-20.00M,-44.00M,-20.00M,302.00M,84.00M,218.00M,,249.77M,431.00M,105.00M,326.00M,,,,0.1953,0.17,,,,0.1951,2012-07,1.257B,1.268B,0.09,,2012-07,AOR,Restated
2012-04,2.541B,2.541B,1.53B,1.011B,,,281.00M,321.00M,3.00M,-3.00M,23.00M,4.00M,-19.00M,,602.00M,409.00M,4.00M,23.00M,-19.00M,-3.00M,-19.00M,387.00M,98.00M,289.00M,,291.24M,518.00M,108.00M,410.00M,,,,0.2217,0.22,,,,0.2217,2012-04,1.289B,1.301B,0.08,,2012-04,AOR,Restated
2012-01,2.189B,2.189B,1.403B,786.00M,,,303.00M,304.00M,,0.00,24.00M,4.00M,-20.00M,,607.00M,179.00M,4.00M,24.00M,-20.00M,,-20.00M,159.00M,42.00M,117.00M,,117.00M,295.00M,112.00M,183.00M,,,,0.09,0.09,,,,0.0893,2012-01,1.299B,1.31B,0.08,,2012-01,AOR,Restated
2011-10,2.181B,2.181B,1.33B,851.00M,,,222.00M,268.00M,,-3.00M,24.00M,9.00M,-15.00M,,490.00M,361.00M,9.00M,24.00M,-15.00M,-3.00M,-15.00M,343.00M,-112.00M,455.00M,,456.95M,426.00M,59.00M,367.00M,,,,0.3515,0.35,,,,0.3515,2011-10,1.313B,1.321B,0.08,,2011-10,AOR,Restated
2011-07,2.787B,2.787B,1.603B,1.184B,,,240.00M,282.00M,,25.00M,25.00M,7.00M,-18.00M,,522.00M,662.00M,7.00M,25.00M,-18.00M,25.00M,-18.00M,669.00M,193.00M,476.00M,,458.21M,753.00M,59.00M,694.00M,,0.00,,0.3465,0.36,,0.00,,0.3466,2011-07,1.318B,1.33B,0.08,,2011-07,AOR,Restated
2011-04,2.862B,2.862B,1.673B,1.189B,,,219.00M,297.00M,,4.00M,5.00M,14.00M,9.00M,,516.00M,673.00M,14.00M,5.00M,9.00M,4.00M,9.00M,686.00M,197.00M,489.00M,,486.15M,756.00M,65.00M,691.00M,,0.00,,0.3678,0.37,,0.00,,0.3679,2011-04,1.32B,1.333B,0.07,,2011-04,AOR,Restated
2011-01,2.686B,2.686B,1.55B,1.136B,,,221.00M,270.00M,,29.00M,5.00M,11.00M,6.00M,,491.00M,645.00M,11.00M,5.00M,6.00M,29.00M,6.00M,680.00M,174.00M,506.00M,,484.42M,748.00M,63.00M,685.00M,,0.00,,0.3637,0.38,,0.00,,0.3638,2011-01,1.324B,1.335B,0.07,,2011-01,AOR,Restated
2010-10,2.887B,2.887B,1.67B,1.217B,,,242.00M,278.00M,,2.00M,6.00M,10.00M,4.00M,,520.00M,697.00M,10.00M,6.00M,4.00M,2.00M,4.00M,703.00M,235.00M,468.00M,,466.67M,778.00M,69.00M,709.00M,,,,0.3490,0.35,,,,0.3490,2010-10,1.334B,1.343B,0.07,,2010-10,AOR,Restated
2010-07,2.518B,2.518B,1.658B,860.00M,,,252.00M,290.00M,,-143.00M,5.00M,8.00M,3.00M,,542.00M,318.00M,8.00M,5.00M,3.00M,-143.00M,3.00M,178.00M,55.00M,123.00M,,221.81M,256.00M,73.00M,183.00M,,0.00,,0.1637,0.09,,0.00,,0.1632,2010-07,1.34B,1.349B,0.07,,2010-07,AOR,Restated
2010-04,2.296B,2.296B,1.369B,927.00M,100.00M,126.00M,226.00M,306.00M,,-13.00M,5.00M,10.00M,5.00M,,532.00M,395.00M,10.00M,5.00M,5.00M,-13.00M,5.00M,387.00M,123.00M,264.00M,,272.87M,479.00M,87.00M,392.00M,,0.00,,0.2066,0.20,,0.00,,0.2066,2010-04,1.345B,1.352B,0.06,,2010-04,AOR,Restated
2010-01,1.849B,1.849B,1.138B,711.00M,97.00M,125.00M,222.00M,269.00M,,-104.00M,5.00M,8.00M,3.00M,,491.00M,220.00M,8.00M,5.00M,3.00M,-104.00M,3.00M,119.00M,36.00M,83.00M,,155.54M,200.00M,76.00M,124.00M,,0.00,,0.1141,0.06,,0.00,,0.1137,2010-01,1.342B,1.35B,0.06,,2010-01,AOR,Restated
2009-10,1.526B,1.526B,967.56M,558.84M,79.26M,76.14M,155.40M,234.19M,,-1.365M,5.359M,11.32M,5.964M,,389.59M,169.25M,11.32M,5.359M,5.964M,-71.33M,5.964M,173.85M,35.99M,137.86M,,138.94M,250.80M,71.59M,179.21M,,,,0.1008,0.10,,,,0.1008,2009-10,1.338B,1.338B,0.06,,2009-10,AOR,Restated
2009-07,1.134B,1.134B,808.87M,324.87M,79.52M,88.49M,168.00M,234.05M,,-2.341M,4.893M,10.23M,5.34M,,402.06M,-77.18M,10.23M,4.893M,5.34M,-2.341M,5.34M,-74.18M,-19.32M,-54.86M,,-53.13M,4.21M,73.50M,-69.29M,,0.00,,-0.0387,-0.04,,0.00,,-0.0387,2009-07,1.333B,1.333B,0.06,,2009-07,AOR,Restated
2009-04,1.020B,1.020B,864.56M,155.52M,84.68M,101.08M,185.76M,236.34M,,-103.79M,5.058M,11.79M,6.731M,,422.09M,-266.57M,11.79M,5.058M,6.731M,-122.96M,6.731M,-382.81M,-127.42M,-255.39M,,-186.15M,-302.87M,74.88M,-377.75M,,0.00,,-0.1380,-0.19,,0.00,,-0.1380,2009-04,1.332B,1.332B,0.06,,2009-04,AOR,Restated
2009-01,1.333B,1.333B,941.82M,391.58M,84.12M,141.24M,225.36M,229.54M,,-132.77M,5.994M,15.24M,9.241M,,454.90M,-63.32M,15.24M,5.994M,9.241M,-148.58M,9.241M,-202.66M,-69.72M,-132.93M,,-45.84M,-125.44M,71.23M,-196.66M,,0.00,,-0.0345,-0.10,,0.00,,-0.0345,2009-01,1.329B,1.329B,0.06,,2009-01,,Restated
2008-10,2.044B,2.044B,1.245B,798.70M,,,238.54M,275.22M,,31.52M,,,,,513.76M,284.94M,,,,21.66M,,322.69M,91.59M,231.10M,,208.52M,420.64M,80.01M,340.62M,,,,0.1531,0.17,,,,0.1535,2008-10,1.338B,1.371B,0.06,,2008-10,,Restated
2008-07,1.848B,1.848B,1.106B,742.31M,,,245.28M,268.56M,,-0.138M,,,,,513.84M,228.47M,,,,-6.446M,,242.56M,77.80M,164.77M,,164.86M,314.19M,85.72M,228.47M,,0.00,,0.1201,0.12,,0.00,,0.1201,2008-07,1.351B,1.368B,0.06,,2008-07,,
2008-04,2.150B,2.150B,1.183B,966.83M,,,241.44M,287.12M,,-0.51M,,,,,528.57M,438.26M,,,,-10.28M,,454.14M,151.64M,302.51M,,302.85M,514.11M,75.85M,438.26M,,0.00,,0.2202,0.22,,0.00,,0.2202,2008-04,1.357B,1.373B,0.06,,2008-04,,
2008-01,2.087B,2.087B,1.152B,934.98M,,,239.89M,273.22M,,-48.99M,,,,,513.11M,421.87M,,,,-58.57M,,389.32M,126.95M,262.38M,,295.39M,500.34M,78.47M,421.87M,,0.00,,0.2141,0.19,,0.00,,0.2139,2008-01,1.371B,1.384B,0.06,,2008-01,,
2007-10,2.367B,2.367B,1.290B,1.077B,,,241.89M,270.88M,,-3.039M,,,,,512.77M,564.13M,,,,-15.20M,,579.24M,157.48M,421.76M,,423.97M,725.51M,81.02M,644.49M,,,,0.3015,0.30,,,,0.2915,2007-10,1.433B,1.461B,0.06,,2007-10,,Restated
2007-07,2.561B,2.561B,1.345B,1.216B,,,250.33M,292.58M,,-1.616M,,,,,542.91M,673.48M,,,,-8.964M,,686.91M,213.39M,473.52M,,474.63M,736.81M,63.33M,673.48M,,0.00,,0.3408,0.34,,0.00,,0.3408,2007-07,1.386B,1.407B,0.06,,2007-07,,
2007-04,2.530B,2.530B,1.393B,1.137B,,,231.50M,291.04M,,-25.04M,,,,,522.54M,614.07M,,,,-30.97M,,608.28M,196.83M,411.44M,,428.38M,677.14M,63.07M,614.07M,,0.00,,0.3122,0.30,,0.00,,0.3020,2007-04,1.391B,1.407B,0.05,,2007-04,,
2007-01,2.277B,2.277B,1.215B,1.063B,,,228.72M,287.57M,,3.278M,,,,,516.29M,546.25M,,,,-0.659M,,565.22M,161.75M,403.48M,,401.14M,607.15M,60.90M,546.25M,,0.00,,0.2883,0.29,,0.00,,0.2883,2007-01,1.395B,1.409B,0.05,,2007-01,,
2006-10,2.518B,2.518B,1.332B,1.186B,,,250.56M,299.24M,,-1.49M,,,,,1.122B,63.66M,,,,-4.339M,,660.07M,211.04M,449.03M,,450.04M,136.69M,73.03M,63.66M,,0.00,,0.3007,0.30,,0.00,,0.3007,2006-10,1.491B,1.500B,0.05,,2006-10,,
2006-07,2.543B,2.543B,1.320B,1.223B,,,240.89M,304.33M,,2.646M,,,,,545.22M,678.14M,,,,2.646M,,722.51M,210.47M,512.04M,,510.16M,740.01M,61.87M,678.14M,,0.00,,0.3288,0.33,,0.00,,0.3288,2006-07,1.551B,1.563B,0.05,,2006-07,,
2006-04,2.248B,2.248B,1.203B,1.045B,,,209.25M,275.88M,,1.578M,,,,,485.13M,559.49M,,,,1.578M,,600.47M,187.65M,412.81M,,411.73M,625.33M,65.84M,559.49M,,0.00,,0.2593,0.26,,0.00,,0.2593,2006-04,1.577B,1.586B,0.03,,2006-04,,
2006-01,1.858B,1.858B,1.020B,837.70M,,,206.04M,272.88M,,-214.85M,,,,,478.91M,358.79M,,,,-214.85M,,183.92M,41.14M,142.78M,,309.56M,428.46M,69.68M,358.79M,,0.00,,0.1944,0.09,,0.00,,0.1937,2006-01,1.598B,1.608B,0.03,,2006-01,,
2005-10,1.718B,1.718B,957.99M,760.13M,,,171.88M,236.71M,,,,,,,408.59M,351.54M,,,,,,390.51M,143.80M,246.71M,,246.71M,425.91M,74.37M,351.54M,,,,0.1730,0.1730,,0.00,,0.15,2005-10,1.655B,1.655B,0.03,,2005-10,,
2005-07,1.632B,1.632B,914.85M,717.09M,,,177.94M,236.45M,,,,,,,414.39M,302.70M,,,,,,339.31M,-30.28M,369.59M,,369.59M,375.02M,72.33M,302.70M,,0.00,,0.23,0.23,,0.00,,0.23,2005-07,1.631B,1.642B,0.03,,2005-07,,
2005-04,1.861B,1.861B,1.043B,818.43M,,,181.32M,225.59M,,,,,,,406.91M,411.52M,,,,,,442.15M,137.32M,304.83M,,304.83M,486.13M,74.61M,411.52M,,0.00,,0.18,0.18,,0.00,,0.18,2005-04,1.661B,1.672B,,,2005-04,,
2005-01,1.781B,1.781B,990.35M,790.22M,,,166.25M,241.76M,,,,,,,408.02M,382.21M,,,,,,409.60M,120.83M,288.76M,,288.76M,461.49M,79.28M,382.21M,,0.00,,0.17,0.17,,0.00,,0.17,2005-01,1.673B,1.687B,,,2005-01,,
2004-10,2.203B,2.203B,1.176B,1.027B,,,214.59M,248.27M,,-26.63M,,,,,489.49M,537.71M,,,,-26.63M,,557.91M,102.90M,455.01M,,476.72M,625.84M,88.12M,537.71M,,0.00,,0.2829,0.27,,0.00,,0.2727,2004-10,1.684B,1.704B,,,2004-10,,
2004-07,2.236B,2.236B,1.177B,1.059B,,,188.91M,256.78M,,,,,,,445.69M,613.54M,,,,,,624.92M,184.35M,440.57M,,440.57M,701.79M,88.24M,613.54M,,0.00,,0.26,0.26,,0.00,,0.26,2004-07,1.697B,1.722B,,,2004-07,,
2004-04,2.018B,2.018B,1.079B,938.64M,,,179.43M,244.18M,,,,,,,423.61M,515.03M,,,,,,529.57M,156.22M,373.35M,,373.35M,606.50M,91.47M,515.03M,,0.00,,0.22,0.22,,0.00,,0.22,2004-04,1.691B,1.730B,,,2004-04,,
2004-01,1.555B,1.555B,879.28M,676.17M,,,168.69M,242.64M,,-167.46M,,,,,411.34M,264.83M,,,,-167.46M,,116.85M,34.47M,82.38M,,200.43M,353.98M,89.15M,264.83M,,0.00,,0.1202,0.05,,0.00,,0.1180,2004-01,1.682B,1.735B,,,2004-01,,
2003-10,1.221B,1.221B,726.63M,494.37M,,,148.65M,227.95M,,-113.50M,,,,,376.60M,117.77M,,,,-113.50M,,21.92M,6.465M,15.45M,,95.47M,205.92M,88.16M,117.77M,,0.00,,0.0581,0.01,,0.00,,0.0581,2003-10,1.662B,1.662B,,,2003-10,,
2003-07,1.095B,1.095B,747.98M,346.93M,,,150.43M,217.02M,,-66.18M,,,,,367.45M,-20.52M,,,,-66.18M,,-52.20M,-15.40M,-36.80M,,9.856M,73.96M,94.48M,-20.52M,,0.00,,0.0081,-0.02,,0.00,,0.0081,2003-07,1.659B,1.659B,,,2003-07,,
2003-04,1.107B,1.107B,734.40M,372.77M,,,161.77M,232.44M,,-92.73M,,,,,394.20M,-21.43M,,,,-92.73M,,-88.12M,-26.00M,-62.13M,,3.249M,76.52M,97.95M,-21.43M,,0.00,,-0.0005,-0.04,,0.00,,-0.0005,2003-04,1.656B,1.656B,,,2003-04,,
2003-01,1.054B,1.054B,663.83M,390.38M,,,165.02M,243.20M,,-99.34M,,,,,408.22M,-17.84M,,,,-99.34M,,-93.15M,-27.48M,-65.67M,,4.363M,85.96M,103.80M,-17.84M,,0.00,,0.0024,-0.04,,0.00,,0.0024,2003-01,1.651B,1.651B,,,2003-01,,
2002-10,1.446B,1.446B,843.37M,602.33M,,,194.83M,272.64M,,0.00,,,,,381.99M,220.34M,,,,0.00,,167.80M,20.56M,147.24M,,147.24M,319.46M,99.13M,220.34M,,0.00,,0.09,0.09,,0.00,,0.09,2002-10,1.647B,1.686B,,,2002-10,,
