,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2017-07,1.123B,5.278B,1.953B,7.231B,2.258B,,2.34B,1.154B,466.00M,1.256B,,2.876B,284.00M,,,12.73B,0.00,159.00M,1.284B,581.00M,1.112B,111.00M,3.247B,-2.251B,996.00M,3.357B,461.00M,3.818B,1.059B,,6.347B,19.08B,,2017-07,935.00M,107.00M,53.00M,,1.095B,374.00M,1.469B,192.00M,,,,,,2.116B,2.116B,,,4.371B,5.303B,8.00M,8.00M,193.00M,98.00M,,2017-07,11.00M,17.38B,6.95B,15.53B,,,-101.00M,8.716B,,2017-07,AOR,Restated
2017-04,1.19B,4.944B,1.80B,6.744B,2.381B,,2.443B,1.01B,442.00M,1.157B,,2.609B,222.00M,,,12.02B,0.00,159.00M,1.278B,570.00M,1.069B,96.00M,3.172B,-2.203B,969.00M,3.33B,490.00M,3.82B,961.00M,,6.222B,18.24B,,2017-04,929.00M,107.00M,115.00M,,1.151B,332.00M,1.483B,182.00M,,200.00M,200.00M,,200.00M,1.787B,1.787B,,,4.097B,5.302B,4.00M,4.00M,184.00M,91.00M,,2017-04,11.00M,16.56B,6.899B,15.15B,,,-110.00M,8.212B,,2017-04,AOR,Restated
2017-01,1.322B,3.491B,656.00M,4.147B,2.369B,,2.46B,951.00M,387.00M,943.00M,,2.281B,206.00M,,,9.094B,0.00,159.00M,1.269B,552.00M,1.024B,91.00M,3.095B,-2.146B,949.00M,3.316B,527.00M,3.843B,909.00M,,6.15B,15.24B,,2017-01,867.00M,108.00M,99.00M,,1.074B,328.00M,1.402B,170.00M,,200.00M,200.00M,,200.00M,1.669B,1.669B,,,3.808B,3.125B,2.00M,2.00M,179.00M,93.00M,,2017-01,11.00M,15.85B,6.805B,14.87B,,,-106.00M,7.687B,,2017-01,AOR,Restated
2016-10,1.103B,3.406B,343.00M,3.749B,2.279B,,2.366B,926.00M,393.00M,731.00M,,2.05B,188.00M,,,8.353B,0.00,159.00M,1.261B,547.00M,992.00M,84.00M,3.043B,-2.106B,937.00M,3.316B,575.00M,3.891B,929.00M,,6.217B,14.57B,,2016-10,813.00M,108.00M,151.00M,,1.072B,314.00M,1.386B,153.00M,,200.00M,200.00M,,200.00M,1.376B,1.376B,,,3.632B,3.125B,,,182.00M,77.00M,,2016-10,11.00M,15.25B,6.809B,14.74B,,,-115.00M,7.217B,,2016-10,AOR,Restated
2016-07,1.084B,2.828B,438.00M,3.266B,1.852B,,1.928B,893.00M,392.00M,741.00M,,2.026B,179.00M,0.00,,7.399B,0.00,159.00M,1.259B,569.00M,1.017B,54.00M,3.058B,-2.153B,905.00M,3.305B,621.00M,3.926B,960.00M,,6.30B,13.70B,,2016-07,717.00M,108.00M,68.00M,,893.00M,319.00M,1.212B,139.00M,,,,,,1.164B,1.164B,,,2.964B,3.343B,16.00M,16.00M,190.00M,83.00M,,2016-07,11.00M,14.75B,6.714B,14.57B,,,-87.00M,6.819B,,2016-07,AOR,Restated
2016-04,1.313B,2.47B,170.00M,2.64B,1.913B,,1.985B,887.00M,337.00M,700.00M,,1.924B,179.00M,0.00,,6.728B,0.00,157.00M,1.249B,567.00M,986.00M,53.00M,3.012B,-2.108B,904.00M,3.304B,668.00M,3.972B,934.00M,,6.347B,13.08B,,2016-04,644.00M,109.00M,89.00M,,842.00M,306.00M,1.148B,121.00M,,,,,,981.00M,981.00M,,,2.611B,3.343B,14.00M,14.00M,188.00M,82.00M,,2016-04,11.00M,14.35B,6.669B,14.37B,,,-95.00M,6.565B,,2016-04,AOR,Restated
2016-01,1.861B,2.962B,154.00M,3.116B,1.625B,,1.78B,903.00M,259.00M,673.00M,,1.835B,179.00M,0.00,,6.91B,0.00,157.00M,1.249B,586.00M,927.00M,59.00M,2.978B,-2.07B,908.00M,3.302B,714.00M,4.016B,996.00M,,6.416B,13.33B,,2016-01,549.00M,113.00M,91.00M,,753.00M,286.00M,1.039B,119.00M,,,,,,850.00M,850.00M,,,2.307B,3.343B,14.00M,14.00M,180.00M,82.00M,,2016-01,11.00M,14.14B,6.582B,13.47B,,,-94.00M,7.168B,,2016-01,AOR,Restated
2015-10,1.01B,4.797B,168.00M,4.965B,1.739B,,1.866B,843.00M,271.00M,719.00M,,1.833B,194.00M,403.00M,,9.261B,0.00,157.00M,1.247B,574.00M,920.00M,48.00M,2.946B,-2.054B,892.00M,3.302B,762.00M,4.064B,946.00M,,6.047B,15.31B,,2015-10,658.00M,116.00M,118.00M,,892.00M,306.00M,1.198B,126.00M,,1.20B,1.20B,,1.20B,765.00M,765.00M,,,3.798B,3.342B,56.00M,56.00M,187.00M,85.00M,,2015-10,11.00M,13.97B,6.575B,12.85B,,,-92.00M,7.613B,,2015-10,AOR,Restated
2015-07,422.00M,2.574B,169.00M,2.743B,1.991B,,2.144B,791.00M,329.00M,619.00M,,1.739B,190.00M,227.00M,,7.043B,0.00,161.00M,1.276B,572.00M,917.00M,51.00M,2.977B,-2.095B,882.00M,3.304B,811.00M,4.115B,958.00M,,6.11B,13.15B,,2015-07,693.00M,120.00M,90.00M,,903.00M,271.00M,1.174B,125.00M,,400.00M,400.00M,,400.00M,858.00M,858.00M,,,3.02B,1.547B,50.00M,50.00M,255.00M,104.00M,,2015-07,12.00M,13.75B,6.485B,12.15B,,,-118.00M,7.977B,,2015-07,AOR,Restated
2015-04,496.00M,3.067B,163.00M,3.23B,1.798B,,1.955B,765.00M,325.00M,623.00M,,1.713B,329.00M,220.00M,,7.447B,0.00,161.00M,1.271B,601.00M,900.00M,56.00M,2.989B,-2.102B,887.00M,3.304B,860.00M,4.164B,936.00M,,6.14B,13.59B,,2015-04,647.00M,123.00M,90.00M,,860.00M,427.00M,1.287B,123.00M,,,,,,874.00M,874.00M,,,2.696B,1.947B,16.00M,16.00M,250.00M,104.00M,,2015-04,12.00M,13.54B,6.45B,11.52B,,,-125.00M,8.351B,,2015-04,AOR,Restated
2015-01,491.00M,2.929B,158.00M,3.087B,1.58B,,1.662B,729.00M,341.00M,571.00M,,1.641B,327.00M,216.00M,,6.933B,0.00,161.00M,1.268B,588.00M,867.00M,43.00M,2.927B,-2.063B,864.00M,3.304B,905.00M,4.209B,930.00M,,6.14B,13.07B,,2015-01,650.00M,123.00M,91.00M,,864.00M,398.00M,1.262B,119.00M,,,,,,784.00M,784.00M,,,2.521B,1.947B,23.00M,23.00M,198.00M,68.00M,,2015-01,12.00M,13.30B,6.364B,11.52B,,,-77.00M,8.072B,,2015-01,AOR,Restated
2014-10,508.00M,3.002B,160.00M,3.162B,1.67B,,1.749B,721.00M,316.00M,530.00M,,1.567B,257.00M,232.00M,,6.967B,0.00,156.00M,1.227B,575.00M,829.00M,61.00M,2.848B,-1.987B,861.00M,3.304B,951.00M,4.255B,935.00M,,6.207B,13.17B,,2014-10,613.00M,122.00M,193.00M,,928.00M,318.00M,1.246B,113.00M,,,,,,940.00M,940.00M,,,2.823B,1.947B,32.00M,32.00M,208.00M,71.00M,,2014-10,12.00M,13.07B,6.384B,11.52B,,,-76.00M,7.868B,,2014-10,AOR,Restated
2014-07,745.00M,2.726B,145.00M,2.871B,1.622B,,1.692B,679.00M,304.00M,564.00M,,1.547B,166.00M,291.00M,73.00M,6.64B,0.00,156.00M,1.22B,574.00M,822.00M,57.00M,2.829B,-1.98B,849.00M,3.294B,979.00M,4.273B,957.00M,,6.211B,12.85B,,2014-07,583.00M,122.00M,157.00M,,862.00M,226.00M,1.088B,123.00M,,,,,,1.066B,1.066B,,,2.755B,1.947B,64.00M,64.00M,202.00M,71.00M,,2014-07,12.00M,12.94B,6.30B,11.52B,,,-42.00M,7.684B,,2014-07,AOR,Restated
2014-04,691.00M,2.453B,146.00M,2.599B,1.615B,,1.687B,664.00M,240.00M,660.00M,,1.564B,164.00M,318.00M,69.00M,6.401B,0.00,167.00M,1.234B,548.00M,818.00M,46.00M,2.813B,-1.958B,855.00M,3.294B,1.018B,4.312B,836.00M,,6.154B,12.56B,,2014-04,606.00M,122.00M,134.00M,,862.00M,263.00M,1.125B,124.00M,,,,,,999.00M,999.00M,,,2.662B,1.947B,65.00M,65.00M,198.00M,76.00M,,2014-04,12.00M,12.76B,6.269B,11.52B,,,-41.00M,7.475B,,2014-04,AOR,Restated
2014-01,872.00M,2.144B,145.00M,2.289B,1.51B,,1.657B,615.00M,292.00M,626.00M,,1.533B,161.00M,315.00M,59.00M,6.014B,0.00,167.00M,1.23B,592.00M,815.00M,43.00M,2.847B,-2.001B,846.00M,3.294B,1.057B,4.351B,833.00M,,6.185B,12.20B,,2014-01,645.00M,121.00M,80.00M,,846.00M,270.00M,1.116B,134.00M,,,,,,901.00M,901.00M,,,2.477B,1.946B,65.00M,65.00M,192.00M,78.00M,,2014-01,12.00M,12.62B,6.178B,11.52B,,,-44.00M,7.241B,,2014-01,AOR,Restated
2013-10,611.00M,1.711B,180.00M,1.891B,1.633B,,1.811B,644.00M,292.00M,477.00M,,1.413B,135.00M,323.00M,69.00M,5.642B,0.00,167.00M,1.217B,589.00M,792.00M,52.00M,2.817B,-1.967B,850.00M,3.294B,1.103B,4.397B,1.005B,,6.401B,12.04B,,2013-10,582.00M,121.00M,114.00M,,817.00M,274.00M,1.091B,141.00M,,,,,,794.00M,794.00M,,,2.443B,1.946B,71.00M,71.00M,193.00M,128.00M,,2013-10,12.00M,12.49B,6.151B,11.52B,,,-38.00M,7.088B,,2013-10,AOR,Restated
2013-07,600.00M,1.745B,230.00M,1.975B,1.17B,,1.20B,581.00M,267.00M,510.00M,,1.358B,127.00M,431.00M,146.00M,5.237B,0.00,167.00M,1.21B,607.00M,787.00M,55.00M,2.826B,-1.954B,872.00M,3.294B,1.148B,4.442B,1.055B,,6.514B,11.75B,,2013-07,515.00M,120.00M,72.00M,,707.00M,228.00M,935.00M,117.00M,,,,,,756.00M,756.00M,,,2.202B,1.946B,146.00M,146.00M,190.00M,160.00M,,2013-07,12.00M,12.42B,6.055B,11.48B,,,-61.00M,6.954B,,2013-07,AOR,Restated
2013-04,590.00M,1.545B,225.00M,1.77B,1.275B,,1.327B,589.00M,248.00M,481.00M,,1.318B,110.00M,398.00M,190.00M,5.113B,0.00,168.00M,1.208B,602.00M,797.00M,47.00M,2.822B,-1.936B,886.00M,3.294B,1.194B,4.488B,1.08B,,6.582B,11.70B,,2013-04,531.00M,120.00M,80.00M,,731.00M,240.00M,971.00M,129.00M,,,,,,739.00M,739.00M,,,2.201B,1.946B,152.00M,152.00M,190.00M,161.00M,,2013-04,12.00M,12.38B,5.989B,11.43B,,,-54.00M,6.898B,,2013-04,AOR,Restated
2013-01,709.00M,1.523B,230.00M,1.753B,1.109B,,1.118B,609.00M,242.00M,427.00M,,1.278B,110.00M,394.00M,112.00M,4.765B,0.00,169.00M,1.203B,739.00M,779.00M,47.00M,2.937B,-2.037B,900.00M,3.518B,1.302B,4.82B,1.062B,,6.949B,11.71B,,2013-01,430.00M,108.00M,78.00M,,616.00M,228.00M,844.00M,182.00M,,,,,,678.00M,678.00M,,,1.965B,1.946B,165.00M,165.00M,190.00M,171.00M,,2013-01,12.00M,12.63B,5.892B,11.33B,,,-62.00M,7.141B,,2013-01,AOR,Restated
2012-10,876.00M,1.392B,545.00M,1.937B,1.22B,,1.307B,643.00M,234.00M,395.00M,,1.272B,101.00M,369.00M,116.00M,5.102B,0.00,169.00M,1.196B,734.00M,760.00M,58.00M,2.917B,-2.007B,910.00M,3.518B,1.355B,4.873B,1.055B,,7.00B,12.10B,,2012-10,396.00M,108.00M,92.00M,,596.00M,236.00M,832.00M,252.00M,,,,,,755.00M,755.00M,,,2.265B,1.946B,200.00M,200.00M,216.00M,100.00M,,2012-10,12.00M,12.70B,5.863B,11.28B,,,-61.00M,7.235B,,2012-10,AOR,Restated
2012-07,,1.529B,635.00M,2.164B,1.535B,,1.535B,302.00M,301.00M,459.00M,318.00M,1.38B,,498.00M,288.00M,5.865B,0.00,169.00M,1.195B,1.482B,,46.00M,2.892B,-1.975B,917.00M,3.939B,1.41B,5.349B,1.058B,,7.455B,13.32B,,2012-07,443.00M,111.00M,61.00M,,615.00M,460.00M,1.075B,,,,,,,937.00M,937.00M,,,2.408B,1.946B,386.00M,386.00M,241.00M,,,2012-07,12.00M,13.32B,5.772B,10.76B,,,-5.00M,8.339B,,2012-07,AOR,Restated
2012-04,,1.761B,409.00M,2.17B,1.785B,,1.785B,383.00M,338.00M,567.00M,306.00M,1.594B,,572.00M,209.00M,6.33B,0.00,169.00M,1.19B,1.488B,,31.00M,2.878B,-1.939B,939.00M,3.939B,1.464B,5.403B,1.071B,,7.547B,13.88B,,2012-04,507.00M,115.00M,86.00M,,708.00M,489.00M,1.197B,,,,1.00M,,1.00M,1.113B,1.113B,,,2.666B,1.946B,,,562.00M,,,2012-04,13.00M,13.22B,5.73B,10.26B,,,7.00M,8.703B,,2012-04,AOR,Restated
2012-01,,1.681B,316.00M,1.997B,1.576B,,1.576B,447.00M,319.00M,687.00M,319.00M,1.772B,,572.00M,240.00M,6.157B,0.00,170.00M,1.188B,1.457B,,34.00M,2.849B,-1.893B,956.00M,3.875B,1.519B,5.394B,955.00M,,7.44B,13.60B,,2012-01,484.00M,103.00M,151.00M,,738.00M,472.00M,1.21B,,,,2.00M,,2.00M,1.014B,1.014B,,,2.494B,1.947B,,,506.00M,,,2012-01,13.00M,13.04B,5.651B,10.06B,,,7.00M,8.65B,,2012-01,AOR,Restated
2011-10,297.00M,5.96B,283.00M,6.243B,1.532B,,1.532B,735.00M,336.00M,630.00M,,1.701B,,580.00M,299.00M,10.36B,0.00,163.00M,1.155B,722.00M,686.00M,12.00M,2.738B,-1.872B,866.00M,1.335B,211.00M,1.546B,931.00M,,3.506B,13.86B,,2011-10,484.00M,104.00M,239.00M,,827.00M,217.00M,1.044B,179.00M,,,,,,1.116B,1.116B,,,2.794B,1.947B,104.00M,104.00M,216.00M,,,2011-10,13.00M,13.03B,5.616B,9.864B,,,6.00M,8.80B,,2011-10,AOR,Restated
2011-07,,5.018B,739.00M,5.757B,1.812B,,1.812B,408.00M,457.00M,656.00M,328.00M,1.849B,,541.00M,314.00M,10.27B,0.00,169.00M,1.17B,1.394B,,24.00M,2.757B,-1.903B,854.00M,1.335B,223.00M,1.558B,1.052B,,3.83B,14.10B,,2011-07,1.653B,,278.00M,,1.931B,,1.931B,,,,,,,1.347B,1.347B,,,3.278B,1.947B,,,327.00M,,,2011-07,13.00M,12.68B,5.553B,9.689B,,,-4.00M,8.551B,,2011-07,AOR,Restated
2011-04,,2.558B,750.00M,3.308B,1.916B,,2.026B,413.00M,476.00M,592.00M,313.00M,1.794B,,545.00M,271.00M,7.944B,0.00,204.00M,1.184B,1.382B,,24.00M,2.794B,-1.896B,898.00M,1.336B,236.00M,1.572B,1.269B,,4.013B,11.96B,,2011-04,814.00M,105.00M,211.00M,-211.00M,919.00M,464.00M,1.383B,,,,1.00M,,1.00M,1.279B,1.279B,,211.00M,3.251B,204.00M,,,320.00M,,,2011-04,13.00M,12.31B,5.524B,9.664B,,,1.00M,8.182B,,2011-04,AOR,Restated
2011-01,,1.974B,772.00M,2.746B,1.946B,,1.946B,368.00M,444.00M,524.00M,311.00M,1.647B,,512.00M,291.00M,7.142B,0.00,203.00M,1.199B,1.384B,,22.00M,2.808B,-1.915B,893.00M,1.336B,273.00M,1.609B,1.351B,,4.132B,11.27B,,2011-01,686.00M,92.00M,276.00M,,1.054B,804.00M,1.858B,,,,1.00M,,1.00M,638.00M,638.00M,,417.00M,2.914B,204.00M,,,317.00M,,,2011-01,13.00M,11.92B,5.447B,9.546B,,,0.00,7.839B,,2011-01,AOR,Restated
2010-10,,1.858B,726.92M,2.585B,1.831B,,1.832B,584.28M,499.93M,463.16M,,1.547B,,512.94M,288.55M,6.765B,0.00,227.20M,1.234B,719.12M,669.47M,19.14M,2.869B,-1.906B,963.00M,1.336B,286.82M,1.623B,1.307B,,4.178B,10.94B,,2010-10,657.97M,92.96M,372.06M,,1.123B,221.91M,1.345B,259.47M,,,1.258M,,1.258M,847.23M,847.23M,,,2.888B,204.27M,,,315.08M,,,2010-10,13.28M,11.51B,5.407B,9.396B,,,1.666M,7.536B,,2010-10,AOR,Restated
2010-07,,1.564B,783.80M,2.348B,1.721B,,1.721B,222.47M,603.59M,437.68M,326.31M,1.590B,,577.44M,314.62M,6.552B,0.00,227.14M,1.233B,1.387B,,18.06M,2.866B,-1.882B,983.79M,1.336B,300.40M,1.637B,1.280B,,4.174B,10.73B,,2010-07,628.33M,93.52M,207.08M,-207.08M,721.85M,921.76M,1.644B,,,,1.848M,,1.848M,1.037B,1.037B,,207.08M,2.889B,204.44M,,,354.10M,,,2010-07,13.36M,11.14B,5.369B,9.246B,,,6.57M,7.278B,,2010-07,AOR,Restated
2010-04,,1.596B,738.43M,2.335B,1.438B,,1.438B,301.63M,670.63M,426.72M,291.46M,1.690B,,432.74M,277.51M,6.173B,0.00,229.32M,1.238B,1.410B,,59.84M,2.937B,-1.854B,1.084B,1.336B,346.23M,1.683B,1.230B,,4.276B,10.45B,,2010-04,546.36M,94.01M,153.13M,190.66M,984.16M,609.20M,1.593B,,,,1.803M,,1.803M,980.66M,980.66M,,,2.576B,204.85M,,,348.00M,,,2010-04,13.43M,11.11B,5.349B,9.147B,,,-0.703M,7.321B,,2010-04,AOR,Restated
