,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2017-10,1.067B,,,,,,,105.00M,105.00M,-18.00M,,58.00M,,-24.00M,-63.00M,16.00M,86.00M,-42.00M,,-476.00M,-479.00M,,2017-10,-124.00M,,,-12.00M,-393.00M,,-529.00M,2017-10,0.00,,0.00,50.00M,-385.00M,-335.00M,-107.00M,-107.00M,-6.00M,-448.00M,,5.278B,-268.00M,,5.01B,2017-10,50.00M,0.00,0.00,-385.00M,26.00M,76.00M,2017-10,AOR,Restated
2017-07,925.00M,,,,,,,102.00M,102.00M,-3.00M,,55.00M,,6.00M,124.00M,-266.00M,175.00M,-84.00M,,343.00M,292.00M,,2017-07,-80.00M,,,-30.00M,-239.00M,,-349.00M,2017-07,-205.00M,,-205.00M,1.00M,-375.00M,-374.00M,-107.00M,-107.00M,-8.00M,-694.00M,,4.944B,334.00M,,5.278B,2017-07,1.00M,0.00,-205.00M,-375.00M,103.00M,35.00M,2017-07,AOR,Restated
2017-04,824.00M,,,,,,,103.00M,103.00M,-16.00M,,53.00M,,0.00,-9.00M,-328.00M,151.00M,-30.00M,,163.00M,-53.00M,,2017-04,-77.00M,,,-26.00M,-1.178B,,-1.281B,2017-04,2.176B,,2.176B,46.00M,-282.00M,-236.00M,-108.00M,-108.00M,-9.00M,1.823B,,3.491B,1.453B,,4.944B,2017-04,46.00M,2.176B,,-282.00M,30.00M,41.00M,2017-04,AOR,Restated
2017-01,703.00M,,,,,,,97.00M,97.00M,25.00M,,54.00M,,9.00M,-89.00M,-231.00M,-41.00M,,,265.00M,-96.00M,,2017-01,-64.00M,,,,-303.00M,,-367.00M,2017-01,,,,,-130.00M,-130.00M,-108.00M,-108.00M,-102.00M,-340.00M,,3.406B,85.00M,,3.491B,2017-01,,,,-130.00M,35.00M,34.00M,2017-01,AOR,Restated
2016-10,610.00M,,,,,,,100.00M,100.00M,7.00M,,51.00M,18.00M,18.00M,-430.00M,-24.00M,403.00M,-22.00M,,166.00M,93.00M,,2016-10,-88.00M,,,-11.00M,110.00M,,11.00M,2016-10,0.00,,0.00,44.00M,-171.00M,-127.00M,-108.00M,-108.00M,-95.00M,-330.00M,,2.828B,578.00M,,3.406B,2016-10,44.00M,0.00,0.00,-171.00M,-301.00M,-261.00M,2016-10,AOR,Restated
2016-07,505.00M,,,,,,,97.00M,97.00M,21.00M,,48.00M,-5.00M,5.00M,63.00M,-100.00M,165.00M,-2.00M,,184.00M,310.00M,,2016-07,-50.00M,,,3.00M,-275.00M,,-322.00M,2016-07,-2.00M,,-2.00M,0.00,-196.00M,-196.00M,-108.00M,-108.00M,5.00M,-301.00M,,2.47B,358.00M,,2.828B,2016-07,0.00,0.00,-2.00M,-196.00M,239.00M,186.00M,2016-07,AOR,Restated
2016-04,320.00M,,,,,,,96.00M,96.00M,-22.00M,,48.00M,-3.00M,5.00M,-288.00M,-90.00M,207.00M,68.00M,,140.00M,37.00M,,2016-04,-47.00M,,,-8.00M,50.00M,,-5.00M,2016-04,0.00,,0.00,42.00M,-900.00M,-858.00M,-113.00M,-113.00M,3.00M,-968.00M,,2.962B,-492.00M,,2.47B,2016-04,42.00M,0.00,0.00,-900.00M,-139.00M,-110.00M,2016-04,AOR,Restated
2016-01,286.00M,,,,,,,96.00M,96.00M,15.00M,,54.00M,-10.00M,10.00M,113.00M,-2.00M,-418.00M,-14.00M,,77.00M,-244.00M,,2016-01,-68.00M,,,,-41.00M,,-109.00M,2016-01,-1.205B,,-1.205B,2.00M,-625.00M,-623.00M,-115.00M,-115.00M,10.00M,-1.933B,,4.797B,-1.835B,,2.962B,2016-01,2.00M,,-1.205B,-625.00M,44.00M,34.00M,2016-01,AOR,Restated
2015-10,336.00M,,,,,,,96.00M,96.00M,-159.00M,,46.00M,-2.00M,-11.00M,261.00M,-94.00M,89.00M,28.00M,,-119.00M,165.00M,,2015-10,-53.00M,,,-2.00M,-2.00M,,-57.00M,2015-10,2.581B,,2.581B,45.00M,-700.00M,-655.00M,-119.00M,-119.00M,2.00M,1.809B,,2.574B,2.223B,,4.797B,2015-10,45.00M,,0.00,-700.00M,149.00M,7.00M,2015-10,AOR,Restated
2015-07,329.00M,,,,,,,93.00M,93.00M,18.00M,,46.00M,-3.00M,43.00M,-194.00M,-26.00M,-107.00M,145.00M,,-10.00M,-192.00M,,2015-07,-49.00M,,,-2.00M,-33.00M,,-84.00M,2015-07,0.00,,0.00,1.00M,-625.00M,-624.00M,-123.00M,-123.00M,3.00M,-744.00M,,3.067B,-494.00M,1.00M,2.574B,2015-07,1.00M,,0.00,-625.00M,51.00M,39.00M,2015-07,AOR,Restated
2015-04,364.00M,,,,,,,90.00M,90.00M,-21.00M,,47.00M,-12.00M,13.00M,-218.00M,-72.00M,56.00M,-70.00M,,121.00M,-183.00M,,2015-04,-64.00M,,,0.00,-26.00M,,-90.00M,2015-04,0.00,,0.00,42.00M,0.00,42.00M,-123.00M,-123.00M,12.00M,-69.00M,,2.929B,139.00M,-1.00M,3.067B,2015-04,42.00M,,0.00,0.00,118.00M,7.00M,2015-04,AOR,Restated
2015-01,348.00M,,,,,,,92.00M,92.00M,28.00M,,48.00M,-39.00M,8.00M,90.00M,-74.00M,-195.00M,-77.00M,,-169.00M,-425.00M,,2015-01,-49.00M,,,,-1.00M,,-50.00M,2015-01,0.00,,0.00,0.00,0.00,0.00,-122.00M,-122.00M,39.00M,-83.00M,,3.002B,-73.00M,,2.929B,2015-01,0.00,,0.00,0.00,89.00M,39.00M,2015-01,AOR,Restated
2014-10,256.00M,,,,,,,94.00M,94.00M,-12.00M,,45.00M,-4.00M,-93.00M,-32.00M,-21.00M,283.00M,,,-241.00M,15.00M,,2014-10,-63.00M,,,,-3.00M,,-53.00M,2014-10,,,,40.00M,0.00,40.00M,-122.00M,-122.00M,4.00M,-78.00M,,2.726B,276.00M,,3.002B,2014-10,40.00M,,,0.00,87.00M,7.00M,2014-10,AOR,Restated
2014-07,301.00M,,,,,,,93.00M,93.00M,49.00M,,44.00M,-1.00M,43.00M,-7.00M,18.00M,9.00M,,,78.00M,98.00M,,2014-07,-65.00M,,,,-127.00M,,-192.00M,2014-07,,,,1.00M,0.00,1.00M,-121.00M,-121.00M,1.00M,-119.00M,,2.453B,273.00M,,2.726B,2014-07,1.00M,,,0.00,167.00M,131.00M,2014-07,AOR,Restated
2014-04,262.00M,,24.00M,,24.00M,,,94.00M,94.00M,12.00M,,42.00M,-7.00M,35.00M,-105.00M,-32.00M,15.00M,,,132.00M,10.00M,,2014-04,-65.00M,,,,-4.00M,,-69.00M,2014-04,,,,56.00M,,56.00M,-122.00M,-122.00M,7.00M,-59.00M,,2.144B,309.00M,0.00,2.453B,2014-04,56.00M,,,,-85.00M,-85.00M,2014-04,AOR,Restated
2014-01,253.00M,,-24.00M,,-24.00M,,,94.00M,94.00M,9.00M,,46.00M,-18.00M,28.00M,123.00M,-119.00M,-86.00M,,,94.00M,12.00M,,2014-01,-48.00M,,,,201.00M,,153.00M,2014-01,,,,10.00M,,10.00M,-120.00M,-120.00M,18.00M,-92.00M,,1.711B,433.00M,,2.144B,2014-01,10.00M,,,,26.00M,39.00M,2014-01,AOR,Restated
2013-10,183.00M,,,,,,,98.00M,98.00M,,0.00,41.00M,,166.00M,-455.00M,-56.00M,210.00M,,,20.00M,-344.00M,,2013-10,-56.00M,,,,107.00M,,57.00M,2013-10,,,,34.00M,-47.00M,-13.00M,-120.00M,-120.00M,,-110.00M,,1.745B,-34.00M,,1.711B,2013-10,34.00M,,,-47.00M,12.00M,7.00M,2013-10,AOR,Restated
2013-07,168.00M,,,,,,,100.00M,100.00M,,0.00,40.00M,,-42.00M,105.00M,-39.00M,-36.00M,,,68.00M,98.00M,,2013-07,-40.00M,,,,6.00M,,-34.00M,2013-07,,,,40.00M,-50.00M,-10.00M,-120.00M,-120.00M,,-130.00M,,1.545B,200.00M,,1.745B,2013-07,40.00M,,,-50.00M,30.00M,39.00M,2013-07,AOR,Restated
2013-04,-129.00M,,,,,,,106.00M,106.00M,,278.00M,39.00M,,42.00M,-166.00M,-40.00M,152.00M,,,-58.00M,-112.00M,,2013-04,-52.00M,,,,-9.00M,,-61.00M,2013-04,,,,67.00M,-100.00M,-33.00M,-108.00M,-108.00M,,-141.00M,,1.523B,22.00M,,1.545B,2013-04,67.00M,,,-100.00M,122.00M,7.00M,2013-04,AOR,Restated
2013-01,34.00M,,,,,,,106.00M,106.00M,,,42.00M,,-69.00M,112.00M,-6.00M,-248.00M,,,45.00M,-97.00M,,2013-01,-49.00M,,,,302.00M,,253.00M,2013-01,,,,18.00M,-48.00M,-30.00M,-108.00M,-108.00M,,-138.00M,,1.392B,131.00M,,1.523B,2013-01,18.00M,,,-48.00M,32.00M,39.00M,2013-01,AOR,Restated
2012-10,-515.00M,,,,,,,97.00M,97.00M,78.00M,421.00M,44.00M,,124.00M,310.00M,108.00M,-64.00M,,,-192.00M,162.00M,,2012-10,-41.00M,,,-1.00M,79.00M,,37.00M,2012-10,,,,45.00M,-516.00M,-471.00M,-111.00M,-111.00M,,-582.00M,,1.529B,-134.00M,-3.00M,1.392B,2012-10,45.00M,,,-516.00M,10.00M,7.00M,2012-10,AOR,Restated
2012-07,218.00M,,,,,,,105.00M,105.00M,91.00M,0.00,42.00M,,-52.00M,250.00M,214.00M,-44.00M,,,-264.00M,156.00M,,2012-07,-45.00M,,,-3.00M,-233.00M,,-281.00M,2012-07,,,,6.00M,-500.00M,-494.00M,-115.00M,-115.00M,,-609.00M,,1.761B,-234.00M,2.00M,1.529B,2012-07,6.00M,,,-500.00M,54.00M,39.00M,2012-07,AOR,Restated
2012-04,289.00M,,,,,,,108.00M,108.00M,14.00M,0.00,43.00M,,43.00M,-214.00M,178.00M,51.00M,,,134.00M,149.00M,,2012-04,-39.00M,,,-7.00M,-213.00M,,-259.00M,2012-04,,,,43.00M,-200.00M,-157.00M,-104.00M,-104.00M,,-261.00M,,1.681B,83.00M,-3.00M,1.761B,2012-04,43.00M,,,-200.00M,146.00M,7.00M,2012-04,AOR,Restated
2012-01,117.00M,,,,,,,112.00M,112.00M,39.00M,,53.00M,,53.00M,147.00M,179.00M,-412.00M,,,-54.00M,-140.00M,,2012-01,-37.00M,,,-4.179B,59.00M,,-4.157B,2012-01,,,,2.00M,-200.00M,-198.00M,-104.00M,-104.00M,,-302.00M,,5.96B,-4.278B,-1.00M,1.681B,2012-01,2.00M,,,-200.00M,33.00M,41.00M,2012-01,AOR,Restated
2011-10,,24.00M,,,11.00M,,,59.00M,59.00M,236.00M,30.00M,36.00M,,-1.501B,275.00M,147.00M,-222.00M,36.00M,,-332.00M,-96.00M,,2011-10,-73.00M,4.00M,4.00M,0.00,558.00M,,489.00M,2011-10,-14.00M,,-14.00M,31.00M,-175.00M,-144.00M,,-106.00M,14.00M,-250.00M,,5.018B,940.00M,2.00M,5.96B,2011-10,31.00M,,-1.744B,-175.00M,100.00M,7.00M,2011-10,AOR,Restated
2011-07,,-25.00M,,,-17.00M,,,59.00M,59.00M,-83.00M,3.00M,38.00M,,476.00M,212.00M,-64.00M,-49.00M,-56.00M,-432.00M,512.00M,123.00M,,2011-07,-55.00M,87.00M,87.00M,0.00,220.00M,,252.00M,2011-07,1.745B,,1.745B,5.00M,-25.00M,-20.00M,,-105.00M,-14.00M,1.606B,,2.558B,2.457B,3.00M,5.018B,2011-07,5.00M,,1.745B,-25.00M,105.00M,0.00,2011-07,AOR,Restated
2011-04,,0.00,,,1.00M,,,65.00M,65.00M,-27.00M,-4.00M,39.00M,,489.00M,-81.00M,-146.00M,119.00M,24.00M,224.00M,1.00M,141.00M,,2011-04,-57.00M,0.00,0.00,0.00,102.00M,,45.00M,2011-04,-1.00M,,-1.00M,46.00M,-118.00M,-72.00M,,-93.00M,,-166.00M,,1.974B,583.00M,1.00M,2.558B,2011-04,46.00M,,-1.00M,-118.00M,556.00M,7.00M,2011-04,AOR,Restated
2011-01,,1.00M,,,5.00M,,,63.00M,63.00M,10.00M,-29.00M,33.00M,,506.00M,-114.00M,-100.00M,-158.00M,-4.00M,208.00M,5.00M,-163.00M,,2011-01,-24.00M,39.00M,39.00M,0.00,-94.00M,,-79.00M,2011-01,,,,13.00M,-150.00M,-137.00M,,-93.00M,,-230.00M,,1.858B,116.00M,0.00,1.974B,2011-01,13.00M,,,-150.00M,,,2011-01,AOR,Restated
2010-10,938.00M,6.00M,,,11.00M,,,69.00M,69.00M,29.00M,-248.00M,31.00M,,-224.00M,-304.00M,45.00M,165.00M,217.00M,-167.00M,-47.00M,-91.00M,,2010-10,-35.00M,0.00,0.00,0.00,20.00M,,-15.00M,2010-10,0.00,,0.00,30.00M,-150.00M,-120.00M,,-94.00M,,-214.00M,,1.564B,296.00M,-2.00M,1.858B,2010-10,30.00M,6.00M,,-150.00M,388.00M,,2010-10,AOR,Restated
2010-07,-347.00M,2.00M,,,3.00M,,,73.00M,73.00M,-140.00M,148.00M,33.00M,,295.00M,-283.00M,101.00M,217.00M,-37.00M,56.00M,4.00M,58.00M,,2010-07,-36.00M,0.00,0.00,0.00,-101.00M,,-137.00M,2010-07,-1.00M,,-1.00M,2.00M,-100.00M,-98.00M,,-94.00M,,-193.00M,,1.596B,-31.00M,-1.00M,1.564B,2010-07,2.00M,-1.00M,,-100.00M,,,2010-07,AOR,Restated
2010-04,264.00M,8.00M,,,16.00M,,,87.00M,87.00M,-31.00M,9.00M,28.00M,,169.00M,-4.00M,-26.00M,225.00M,-24.00M,-12.00M,-5.00M,154.00M,,2010-04,-45.00M,0.00,0.00,0.00,-176.00M,,-221.00M,2010-04,-6.00M,,-6.00M,77.00M,-100.00M,-23.00M,,-80.00M,,-109.00M,,1.399B,197.00M,0.00,1.596B,2010-04,77.00M,-6.00M,,-100.00M,-11.00M,,2010-04,AOR,Restated
2010-01,83.00M,4.00M,,,10.00M,,,76.00M,76.00M,-44.00M,104.00M,34.00M,,6.00M,-176.00M,25.00M,124.00M,23.00M,123.00M,-16.00M,103.00M,,2010-01,-53.00M,0.00,0.00,-323.00M,-113.00M,,-489.00M,2010-01,1.00M,,1.00M,20.00M,0.00,20.00M,,-81.00M,,-60.00M,,1.576B,-177.00M,0.00,1.399B,2010-01,20.00M,1.00M,,0.00,11.00M,,2010-01,AOR,Restated
2009-10,137.86M,7.852M,10.23M,0.00,5.00M,,,71.59M,71.59M,-77.25M,-154.42M,31.05M,,93.25M,37.85M,121.05M,-133.97M,44.75M,314.25M,-313.67M,70.26M,,2009-10,-60.62M,,,0.00,-110.49M,,-171.12M,2009-10,-0.75M,,-0.509M,32.42M,0.00,32.42M,,-79.75M,,-47.84M,,1.555B,20.91M,0.00,1.576B,2009-10,32.42M,,-0.75M,0.00,14.51M,7.16M,2009-10,AOR,Restated
2009-07,-54.86M,16.16M,-10.92M,0.00,11.33M,,,73.50M,73.50M,60.19M,2.341M,43.33M,,0.00,-49.31M,152.52M,-33.24M,36.58M,-51.49M,2.827M,57.88M,,2009-07,-59.70M,,,,32.65M,,-27.05M,2009-07,,0.323M,0.082M,1.773M,0.00,1.773M,,-80.02M,,-78.16M,,1.467B,88.49M,0.00,1.555B,2009-07,1.773M,,0.323M,0.00,58.78M,0.001M,2009-07,AOR,Restated
2009-04,-255.39M,,10.92M,19.18M,28.25M,,,74.88M,74.88M,48.98M,103.79M,39.17M,,15.01M,170.65M,230.07M,-273.91M,2.521M,-98.06M,-1.665M,29.61M,,2009-04,-54.78M,,,0.00,124.62M,,69.84M,2009-04,-0.51M,-0.323M,-0.833M,27.45M,0.00,27.45M,,-79.97M,,-53.36M,,1.366B,100.78M,0.00,1.467B,2009-04,27.45M,-0.51M,-0.323M,0.00,133.25M,7.169M,2009-04,AOR,Restated
2009-01,-132.93M,,,15.81M,24.65M,,,71.23M,71.23M,-13.05M,132.77M,33.61M,,47.53M,368.65M,-144.08M,-448.01M,10.89M,-164.70M,28.23M,-349.02M,,2009-01,-73.32M,,,0.00,314.34M,,241.02M,2009-01,0.51M,,0.51M,0.182M,-22.91M,-22.72M,,-79.76M,,-101.98M,,1.412B,-46.17M,0.742M,1.366B,2009-01,0.182M,0.51M,,-22.91M,,0.042M,2009-01,,Restated
2008-10,231.10M,,,,-5.551M,,,80.01M,80.01M,2.627M,,,,-139.44M,-237.88M,-133.70M,-529.23M,16.65M,66.60M,601.22M,-216.33M,,2008-10,-78.39M,,251.72M,0.00,499.23M,,463.05M,2008-10,,,-0.263M,59.40M,-300.00M,-240.60M,,-79.85M,2.085M,-318.62M,,1.141B,270.74M,0.349M,1.412B,2008-10,59.40M,,,-300.00M,,,2008-10,,Restated
2008-07,164.77M,,,,14.98M,,,85.72M,85.72M,-22.35M,,,,46.26M,148.27M,-227.08M,207.88M,-38.76M,-54.80M,-4.478M,31.04M,,2008-07,-71.81M,,-71.81M,0.00,150.73M,,78.91M,2008-07,,,-1.842M,26.11M,-300.00M,-273.89M,,-81.28M,0.00,-357.02M,,1.098B,42.32M,-0.043M,1.141B,2008-07,26.11M,,,-300.00M,,,2008-07,,
2008-04,302.51M,,,,15.88M,,,75.85M,75.85M,-41.96M,,,,45.43M,350.90M,-203.54M,290.50M,138.93M,-106.05M,5.552M,476.29M,,2008-04,-63.56M,,-63.56M,-216.24M,-628.17M,,-907.96M,2008-04,,,-0.355M,292.78M,-299.98M,-7.202M,,-81.21M,5.406M,-83.36M,,1.216B,-117.32M,-0.07M,1.098B,2008-04,292.78M,,,-299.98M,,,2008-04,,
2008-01,262.38M,,,,21.44M,,,78.47M,78.47M,3.417M,,,,87.71M,34.93M,-73.94M,-95.46M,-22.58M,94.25M,-0.879M,-63.68M,,2008-01,-74.14M,,-74.14M,-19.08M,383.25M,,290.02M,2008-01,,,0.343M,15.68M,-600.00M,-584.32M,,-83.07M,,-667.04M,,1.203B,12.71M,0.221M,1.216B,2008-01,15.68M,,,-600.00M,,,2008-01,,
2007-10,421.76M,,,,17.96M,,,81.02M,81.02M,37.88M,,,,-110.28M,222.71M,94.60M,-260.31M,-127.48M,78.21M,109.05M,116.79M,,2007-10,-60.55M,,204.24M,-462.82M,150.01M,-23.36M,-396.72M,2007-10,,,-201.89M,461.58M,-400.00M,61.58M,,-83.14M,32.80M,-190.64M,,1.113B,90.04M,0.006M,1.203B,2007-10,461.58M,,,-400.00M,,,2007-10,,Restated
2007-07,473.52M,,,,7.901M,,,63.33M,63.33M,1.319M,,,,40.25M,-118.24M,108.77M,165.67M,-39.78M,-74.49M,9.317M,51.25M,,2007-07,-72.97M,,-72.97M,-9.151M,-177.90M,5.631M,-254.39M,2007-07,,,0.052M,266.56M,-399.98M,-133.42M,,-83.05M,13.75M,-202.67M,,932.04M,180.51M,0.121M,1.113B,2007-07,266.56M,,,-399.98M,,,2007-07,,
2007-04,411.44M,,,,21.54M,,,63.07M,63.07M,-5.096M,,,,69.72M,-46.71M,48.25M,71.28M,3.00M,-124.81M,1.44M,-47.55M,,2007-04,-72.36M,,-72.36M,-127.68M,-85.78M,8.243M,-277.58M,2007-04,,,-0.302M,94.79M,-400.00M,-305.21M,,-69.88M,3.243M,-372.14M,,1.069B,-136.59M,0.018M,932.04M,2007-04,94.79M,,,-400.00M,,,2007-04,,
2007-01,403.48M,,,,8.826M,,,60.90M,60.90M,-2.457M,,,,31.62M,-24.35M,-110.70M,-107.82M,-0.031M,121.08M,0.642M,-121.18M,,2007-01,-58.90M,,-58.90M,,1.489M,9.484M,-47.93M,2007-01,,,,75.09M,-132.02M,-56.92M,,-69.61M,,-126.54M,,861.46M,206.73M,0.42M,1.069B,2007-01,75.09M,,,-132.02M,,,2007-01,,
