,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-12,50.38M,,-0.017M,,-0.272M,-0.289M,12.23M,-0.059M,12.17M,12.17M,-6.582M,-0.018M,3.213M,,3.195M,-4.541M,2.913M,-3.217M,0.816M,0.014M,-3.695M,-7.71M,51.16M,,-12.37M,,,-0.04M,-6.181M,1.827M,-16.76M,,0.04M,0.04M,,-34.82M,-34.82M,-18.99M,-18.99M,,0.015M,-53.75M,,121.68M,-19.35M,,102.30M,,,,0.04M,-34.82M,222.64M,,,AOR,Restated
2015-09,67.52M,,0.225M,,-0.289M,-0.064M,12.39M,0.023M,12.42M,12.42M,-2.254M,0.00,3.186M,,3.186M,2.249M,2.424M,7.341M,-0.711M,-0.004M,-3.788M,7.511M,88.31M,,-9.295M,,,-2.96M,0.016M,-2.073M,-14.31M,,-4.04M,-4.04M,,-18.83M,-18.83M,-19.12M,-19.12M,,0.039M,-41.96M,,89.63M,32.04M,,121.68M,,,,-4.04M,-18.83M,-35.28M,,,AOR,Restated
2015-06,44.85M,,0.222M,,-0.202M,0.02M,11.28M,0.025M,11.30M,11.30M,-0.065M,0.00,3.146M,,3.146M,-32.35M,7.402M,-8.937M,1.067M,-0.005M,-3.017M,-35.84M,27.37M,,-10.10M,,,0.00,-0.466M,0.00,-10.57M,,,,,-47.22M,-47.22M,-17.56M,-17.56M,,0.052M,-64.73M,,137.56M,-47.92M,,89.63M,,,,,-47.22M,-51.16M,,,AOR,Restated
2015-03,42.26M,,0.17M,,-0.037M,0.133M,10.40M,0.011M,10.41M,10.41M,0.601M,0.118M,2.655M,,2.773M,28.44M,-13.24M,0.213M,-0.372M,-0.005M,11.20M,26.24M,78.46M,,-7.536M,,,0.00,-30.47M,0.246M,-37.76M,,,,,-34.53M,-34.53M,-17.72M,-17.72M,,1.194M,-51.06M,,147.93M,-10.37M,,137.56M,,,,,-34.53M,-2.695M,,,AOR,Restated
2014-12,49.34M,,0.063M,,0.056M,0.119M,11.05M,0.027M,11.08M,11.08M,0.902M,3.00M,2.097M,,5.097M,-2.575M,2.907M,17.14M,-0.305M,-0.008M,-5.108M,12.05M,78.59M,,-10.18M,,,0.00,-0.488M,0.00,-10.67M,,0.00,0.00,,-28.74M,-28.74M,-17.78M,-17.78M,,0.003M,-46.52M,,126.52M,21.41M,,147.93M,,,,0.00,-28.74M,182.31M,,,AOR,Restated
2014-09,48.37M,,0.066M,,0.319M,0.385M,10.36M,0.011M,10.37M,10.37M,-0.741M,0.00,2.11M,,2.11M,-0.299M,2.082M,4.112M,0.834M,-0.006M,-4.386M,2.337M,62.83M,,-11.65M,,,0.00,-0.526M,0.00,-12.17M,,0.00,0.00,,-51.36M,-51.36M,-17.91M,-17.91M,,0.023M,-69.25M,,145.11M,-18.59M,,126.52M,,,,0.00,-51.36M,-78.34M,,,AOR,Restated
2014-06,42.98M,,0.28M,,0.333M,0.613M,9.895M,0.031M,9.926M,9.926M,-0.476M,0.00,4.457M,,4.457M,-18.95M,-2.34M,-0.385M,-0.579M,-0.007M,-2.322M,-24.58M,32.92M,,-16.15M,,,,-0.473M,0.003M,-16.62M,,,,,-57.44M,-57.44M,-15.58M,-15.58M,,2.766M,-70.25M,,199.06M,-53.95M,,145.11M,,,,,-57.44M,,,,AOR,Restated
2014-03,49.02M,,0.253M,,0.509M,0.762M,8.604M,0.018M,8.622M,8.622M,0.025M,0.00,6.913M,,6.913M,12.03M,-3.264M,-0.631M,1.795M,-0.007M,13.04M,22.97M,88.32M,,-12.17M,,,,-0.50M,,-12.67M,,,,,-39.13M,-39.13M,-59.56M,-59.56M,,0.765M,-97.92M,,221.34M,-22.28M,,199.06M,,,,,-39.13M,,,,AOR,Restated
2013-12,46.11M,,0.00,,0.467M,0.467M,9.108M,0.028M,9.136M,9.136M,-2.738M,0.00,3.956M,,3.956M,-5.511M,2.602M,8.116M,-2.059M,-0.009M,-8.054M,-4.915M,52.02M,,-8.906M,,,,-0.402M,0.00,-9.92M,,,,,-31.31M,-31.31M,-15.82M,-15.82M,,0.00,-47.13M,,226.38M,-5.037M,,221.34M,,,,,-31.31M,-32.27M,,,AOR,Restated
2013-09,41.36M,,0.003M,,0.537M,0.54M,8.476M,0.028M,8.504M,8.504M,-2.901M,0.00,3.918M,,3.918M,4.827M,1.625M,5.271M,-0.095M,-0.009M,-7.532M,4.087M,55.50M,,-6.695M,,,,-0.398M,0.00,-7.093M,,,,,-14.00M,-14.00M,-15.94M,-15.94M,,0.15M,-29.80M,,207.77M,18.61M,,226.38M,,,,,-14.00M,-81.48M,,,AOR,Restated
2013-06,46.16M,,-0.001M,,0.492M,0.491M,8.622M,0.029M,8.651M,8.651M,-0.991M,0.00,6.21M,,6.21M,-22.24M,-1.899M,-7.815M,0.171M,-0.009M,-7.163M,-38.96M,21.56M,,-6.632M,,,,-0.444M,0.00,-7.076M,,,,,-6.106M,-6.106M,-13.31M,-13.31M,,2.206M,-17.21M,,210.49M,-2.72M,,207.77M,,,,,-6.106M,1.91M,,,AOR,Restated
2013-03,42.37M,,0.001M,,0.48M,0.481M,8.282M,0.029M,8.311M,8.311M,-0.515M,0.245M,6.739M,,6.984M,4.731M,-2.189M,12.62M,-0.168M,-0.009M,22.67M,37.66M,95.30M,,-6.44M,,,,-0.676M,0.008M,-7.108M,,,,,-0.003M,-0.003M,-13.30M,-13.30M,,,-13.30M,,135.60M,74.89M,,210.49M,,,,,-0.003M,-1.91M,,,AOR,Restated
2012-12,39.72M,,0.001M,,0.413M,0.414M,6.211M,0.022M,6.233M,6.233M,-0.882M,0.00,3.30M,,3.30M,8.045M,2.591M,7.678M,0.219M,-0.004M,-7.651M,10.88M,59.67M,,-3.237M,,,,1.234M,,-4.914M,,,,,-0.001M,-0.001M,-79.44M,-79.44M,,,-79.44M,,160.28M,-24.68M,,135.60M,,,,,-0.001M,-13.21M,,,AOR,Restated
2012-09,45.76M,,0.00,,0.368M,0.368M,8.634M,0.022M,8.656M,8.656M,2.048M,0.00,3.082M,,3.082M,-5.701M,2.402M,6.257M,-0.058M,-0.004M,-8.674M,-5.778M,54.13M,,-7.337M,,,,-0.412M,,-7.749M,,,,,0.00,0.00,-13.24M,-13.24M,,,-13.24M,,127.14M,33.14M,,160.28M,,,,,0.00,-16.95M,,,AOR,Restated
2012-06,38.50M,,,,0.438M,0.438M,8.32M,0.022M,8.342M,8.342M,-0.509M,0.00,3.027M,,3.027M,-6.723M,-2.295M,-14.90M,0.213M,-0.005M,-2.691M,-26.40M,23.39M,,-11.62M,,,,-0.428M,,-12.05M,,,,,-22.23M,-22.23M,-10.60M,-10.60M,,,-32.83M,,148.63M,-21.49M,,127.14M,,,,,-22.23M,-52.54M,,,AOR,Restated
2012-03,33.42M,,0.00,,0.476M,0.476M,8.32M,0.022M,8.342M,8.342M,-1.152M,0.00,2.939M,,2.939M,-8.691M,-2.692M,10.80M,0.124M,-0.004M,19.79M,19.32M,63.34M,,-7.869M,,,,-0.394M,,-8.263M,,,,,-30.64M,-30.64M,-10.74M,-10.74M,,,-41.39M,,134.94M,13.69M,,148.63M,,,,,-30.64M,0.067M,,,AOR,Restated
2011-12,31.81M,,0.046M,-0.19M,0.352M,0.208M,7.506M,0.023M,7.529M,7.529M,1.851M,-0.001M,3.01M,,3.009M,3.845M,1.892M,-0.152M,-0.371M,,-10.78M,-5.572M,38.83M,,-5.658M,,,-1.25M,,0.055M,-6.853M,,,,,-33.37M,-33.37M,,-10.90M,,,-44.26M,,147.22M,-12.28M,,134.94M,,,,,-33.37M,-68.12M,,,AOR,Restated
2011-09,41.33M,,0.45M,0.19M,,0.64M,8.896M,0.022M,8.918M,8.918M,-2.113M,0.00,2.976M,,2.976M,9.114M,2.03M,18.38M,-0.136M,,-9.405M,19.98M,71.73M,,-5.151M,,,0.00,,0.00,-5.151M,,,,,-14.89M,-14.89M,,-11.02M,,,-25.91M,,106.54M,40.68M,,147.22M,,,,,-14.89M,19.08M,,,AOR,Restated
2011-06,33.40M,,0.569M,,0.00,0.569M,8.996M,0.023M,9.019M,9.019M,-1.183M,0.00,3.219M,,3.219M,-6.925M,-0.796M,-14.98M,0.144M,,-8.126M,-30.68M,14.34M,,-11.20M,,,0.00,,0.019M,-11.18M,,,,,-3.075M,-3.075M,,-9.228M,,,-12.30M,,115.69M,-9.144M,,106.54M,,,,,-3.075M,48.90M,,,AOR,Restated
2011-03,32.87M,,0.16M,,0.00,0.16M,8.696M,0.022M,8.718M,8.718M,2.385M,0.46M,3.413M,,3.873M,-4.465M,-2.422M,8.972M,-0.165M,,28.30M,30.22M,78.22M,,-7.134M,,,0.00,,0.038M,-7.096M,,,,,0.00,0.00,,-9.228M,,,-9.228M,,53.79M,61.90M,,115.69M,,,,,0.00,0.142M,,,AOR,Restated
2010-12,99.40M,,0.00,,0.677M,0.135M,8.19M,0.017M,8.207M,8.207M,3.033M,1.62M,5.236M,,-45.60M,7.23M,0.002M,4.763M,0.034M,,-11.52M,0.501M,50.11M,,-8.507M,,,,7.99M,,-9.505M,,,,0.00,,-300.45M,,-9.284M,,-0.02M,-309.75M,,322.94M,-269.15M,,53.79M,,0.00,,,,7.01M,,,AOR,Restated
2010-09,,,0.00,,-0.374M,0.168M,7.099M,0.018M,7.117M,7.117M,1.45M,0.00,14.93M,,20.45M,-11.69M,1.943M,-9.175M,-0.008M,,-11.66M,-30.59M,13.52M,,-4.277M,,,,-0.001M,,-4.278M,,,,0.00,,0.00,,-10.38M,,0.00,-10.38M,,324.07M,-1.13M,,322.94M,,0.00,,,,22.05M,,,AOR,Restated
2010-06,-22.68M,,0.139M,,0.169M,0.308M,7.301M,0.017M,7.318M,7.318M,-2.434M,0.00,0.636M,,47.57M,1.436M,0.031M,-8.152M,0.128M,,-15.21M,-21.77M,8.947M,,-4.21M,,,,-7.989M,,-12.20M,,,,301.24M,,301.24M,,-113.42M,,-300.00M,-112.18M,,439.50M,-115.43M,,324.07M,,301.24M,,,,40.71M,,,AOR,Restated
2010-03,22.68M,,0.00,,0.205M,0.205M,7.301M,0.017M,7.318M,7.318M,-2.028M,,0.00,,0.00,-4.998M,-1.441M,8.143M,-0.239M,,32.70M,34.16M,62.33M,,-6.562M,0.00,0.00,,,,-6.562M,,,,,,,,,,-0.003M,-0.003M,,383.73M,55.77M,,439.50M,,,,,,0.518M,,,AOR,Restated
2009-12,34.90M,,0.00,,0.225M,0.225M,6.859M,0.015M,6.874M,6.874M,3.013M,,0.00,,0.188M,1.769M,-0.538M,1.338M,0.062M,,-31.39M,-28.76M,16.45M,,-8.583M,,,,0.00,26.95M,18.36M,,,,0.00,,0.00,,,,-0.02M,-0.02M,,348.94M,34.79M,,383.73M,,0.00,,,,21.68M,,,AOR,Restated
2009-09,19.16M,,0.00,,0.197M,0.197M,6.884M,0.016M,6.90M,6.90M,0.325M,,0.00,,0.00,-1.833M,1.09M,1.793M,-0.056M,,-9.632M,-8.638M,17.94M,,-8.662M,,,,0.00,-0.273M,-8.935M,,,,0.00,,0.00,,0.00,,0.00,0.00,,339.93M,9.009M,,348.94M,,0.00,,,,15.24M,,,AOR,
2009-06,28.11M,,0.00,,0.251M,0.251M,6.885M,0.159M,7.044M,7.044M,-0.843M,,0.00,,0.00,9.454M,0.818M,-1.72M,0.123M,,-14.58M,-5.908M,28.65M,,-10.92M,,,,0.00,4.464M,-6.458M,,,,0.00,,0.00,,0.00,,-0.02M,-0.02M,,317.75M,22.18M,,339.93M,,0.00,,,,24.54M,,,AOR,
2009-03,24.28M,,,,0.226M,0.226M,6.884M,0.023M,6.907M,6.907M,-1.128M,,,,,-5.639M,-0.908M,-9.346M,-0.03M,,35.36M,19.44M,49.72M,,-9.83M,,,,1.50M,-4.98M,-13.31M,,,,,,,,,,-0.079M,-0.079M,,281.42M,36.33M,,317.75M,,,,,,0.03M,,,AOR,
