,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2012-12,127.08M,130.08M,11.64M,118.44M,,28.43M,28.43M,,,,,,24.05M,58.69M,59.75M,,,,-0.353M,,59.40M,19.67M,39.72M,,39.72M,39.96M,65.98M,6.233M,59.75M,,0.45,,0.4527,0.45,,0.45,,0.4527,0.45,,87.27M,87.27M,0.15,,AOR,Restated
2012-09,122.17M,128.32M,11.30M,117.02M,,29.71M,29.71M,,,,,,17.81M,56.15M,60.86M,,,,-0.327M,,60.53M,14.78M,45.76M,,45.76M,46.01M,69.52M,8.656M,60.86M,,0.52,,0.5228,0.52,,0.52,,0.5228,0.52,,87.27M,87.27M,0.15,,AOR,Restated
2012-06,129.35M,132.55M,12.00M,120.55M,,28.60M,28.60M,,,,,,17.56M,54.48M,66.07M,,,,-0.411M,,65.66M,27.16M,38.50M,,38.50M,38.76M,74.41M,8.342M,66.07M,,0.44,,0.4431,0.44,,0.44,,0.4431,0.44,,87.15M,87.15M,0.12,,AOR,Restated
2012-03,119.33M,121.39M,11.19M,110.20M,,27.46M,27.46M,,,,,,17.01M,52.79M,57.42M,,,,-0.453M,,56.96M,23.54M,33.42M,,33.42M,33.71M,65.76M,8.342M,57.42M,,0.37,,0.3733,0.37,,0.37,,0.3733,0.37,,88.15M,88.15M,0.12,,AOR,Restated
2011-12,111.15M,120.21M,47.82M,72.39M,,-42.16M,-53.96M,,,0.206M,,-0.325M,66.16M,19.71M,52.68M,,0.206M,-0.325M,-0.019M,-0.325M,52.34M,20.53M,31.81M,,31.81M,31.81M,60.07M,7.529M,52.54M,,0.35,,0.35,0.35,,0.35,,0.35,0.35,,89.39M,89.39M,0.12,,AOR,Restated
2011-09,143.60M,143.60M,,143.60M,3.525M,54.62M,58.14M,,,0.226M,0.015M,-0.211M,1.60M,68.64M,74.97M,0.015M,0.226M,-0.211M,-0.19M,-0.211M,74.56M,33.24M,41.33M,,41.33M,41.33M,83.71M,8.918M,74.79M,,0.45,0.00,0.45,0.45,,0.45,0.00,0.45,0.45,,90.33M,90.33M,0.12,,AOR,Restated
2011-06,120.29M,120.29M,,120.29M,2.515M,50.74M,53.26M,,,0.223M,0.061M,-0.162M,1.587M,63.84M,56.45M,0.061M,0.223M,-0.162M,0.00,-0.162M,56.29M,22.89M,33.40M,,33.40M,33.40M,65.53M,9.019M,56.51M,,0.36,0.00,0.36,0.36,,0.36,0.00,0.36,0.36,,90.16M,90.16M,0.10,,AOR,Restated
2011-03,124.04M,124.04M,,124.04M,5.759M,51.07M,56.82M,,,0.225M,0.042M,-0.183M,0.986M,66.51M,57.54M,0.042M,0.225M,-0.183M,-0.46M,-0.183M,56.89M,24.02M,32.87M,,32.87M,32.87M,65.84M,8.718M,57.12M,,0.36,0.00,0.36,0.36,,0.36,0.00,0.36,0.36,,90.08M,90.08M,0.10,,AOR,Restated
2010-12,105.44M,117.39M,41.35M,76.04M,,-62.91M,-62.91M,,,0.225M,,-0.225M,78.91M,24.18M,51.85M,,0.225M,-0.225M,-1.673M,-0.225M,49.96M,18.58M,31.38M,,31.38M,32.77M,58.39M,8.207M,50.18M,,0.32,,0.3342,0.32,,0.32,,0.3342,0.32,,97.82M,97.82M,0.10,,AOR,Restated
2010-09,106.02M,106.02M,,106.02M,,63.20M,63.20M,,,0.225M,,-0.225M,0.781M,71.08M,34.93M,,0.225M,-0.225M,-0.01M,-0.225M,34.70M,14.24M,20.45M,,20.45M,20.35M,42.04M,7.117M,34.92M,,0.20,0.00,0.1990,0.20,,0.20,0.00,0.1990,0.20,,102.10M,102.10M,0.10,,AOR,Restated
2010-06,112.62M,112.62M,,112.62M,,61.22M,61.22M,,,0.224M,,-0.224M,2.273M,70.79M,41.83M,,0.224M,-0.224M,-0.034M,-0.224M,41.57M,16.68M,24.89M,,24.89M,24.81M,49.11M,7.318M,41.79M,,0.27,0.00,0.2691,0.27,,0.27,0.00,0.2691,0.27,,92.23M,92.23M,,,AOR,Restated
2010-03,101.08M,101.08M,,101.08M,,54.31M,54.31M,,,0.222M,,-0.222M,0.745M,62.35M,38.73M,,0.222M,-0.222M,-0.105M,-0.222M,38.40M,15.73M,22.68M,,22.68M,22.61M,45.94M,7.318M,38.62M,,0.25,0.00,0.2493,0.25,,0.25,0.00,0.2493,0.25,,90.73M,90.73M,,,AOR,Restated
2009-12,120.83M,120.83M,,120.83M,,55.88M,55.88M,,,0.22M,,-0.22M,1.417M,64.15M,56.68M,,0.22M,-0.22M,0.111M,-0.22M,56.57M,21.67M,34.90M,,34.90M,34.58M,63.67M,6.874M,56.79M,,0.38,0.00,0.3764,0.38,,0.38,0.00,0.3764,0.38,,90.73M,90.73M,,,AOR,Restated
2009-09,98.20M,98.20M,,98.20M,,57.27M,57.27M,,,0.22M,,-0.22M,1.041M,65.20M,33.00M,,0.22M,-0.22M,-0.006M,-0.22M,32.78M,13.62M,19.16M,,19.16M,19.04M,39.90M,6.90M,33.00M,,0.21,0.00,0.2086,0.21,,0.21,0.00,0.2086,0.21,,90.73M,90.73M,,,AOR,
2009-06,108.98M,108.98M,,108.98M,,53.50M,53.50M,,,0.218M,,-0.218M,1.017M,61.40M,47.58M,,0.218M,-0.218M,0.129M,-0.218M,47.49M,19.38M,28.11M,,28.11M,27.86M,54.76M,7.044M,47.71M,,0.31,0.00,0.3073,0.31,,0.31,0.00,0.3073,0.31,,90.73M,90.73M,,,AOR,
2009-03,98.07M,98.07M,,98.07M,,48.70M,48.70M,,,0.217M,,-0.217M,2.16M,57.75M,40.32M,,0.217M,-0.217M,0.286M,-0.217M,40.39M,16.11M,24.28M,,24.28M,23.97M,47.51M,6.907M,40.61M,,,,0.2642,0.2676,,,,0.2642,0.2676,,90.73M,90.73M,,,AOR,
