,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,140.00M,131.80M,271.80M,252.20M,,299.10M,,,13.10M,584.00M,0.00,4.90M,80.80M,152.40M,,0.20M,238.30M,-168.00M,70.30M,2.701B,1.850B,4.552B,88.70M,,22.10M,4.733B,5.317B,,11.10M,,0.00,203.80M,214.90M,103.80M,318.70M,,299.50M,299.50M,17.40M,17.40M,2.20M,679.90M,914.60M,,914.60M,473.50M,473.50M,,,9.40M,8.80M,1.487B,2.167B,,1.20M,1.134B,2.646B,665.90M,34.20M,3.150B,,AOR,Restated
2018-03,166.30M,64.00M,230.30M,268.40M,,268.40M,,,13.60M,512.30M,0.00,4.90M,78.00M,145.70M,,6.10M,234.70M,-155.60M,79.10M,2.718B,1.913B,4.631B,85.00M,,21.00M,4.816B,5.328B,,48.70M,,52.90M,120.70M,222.30M,66.70M,289.00M,,,,19.60M,19.60M,57.90M,384.30M,1.213B,,1.213B,461.20M,461.20M,,,9.40M,6.80M,1.769B,2.153B,,1.20M,1.081B,2.635B,617.60M,75.50M,3.175B,,AOR,Restated
2017-12,143.50M,47.30M,190.80M,217.30M,,234.50M,,,9.40M,434.70M,0.00,4.90M,77.40M,139.70M,,5.90M,227.90M,-149.10M,78.80M,2.707B,1.943B,4.651B,82.70M,,18.90M,4.831B,5.266B,,43.20M,,2.60M,114.00M,159.80M,84.20M,244.00M,,,,15.40M,15.40M,56.60M,334.00M,1.238B,,1.238B,488.20M,488.20M,,,9.40M,6.80M,1.821B,2.155B,,1.20M,993.30M,2.624B,558.30M,50.70M,3.111B,,AOR,Restated
2017-09,124.80M,2.40M,127.20M,195.80M,,231.00M,,,16.10M,374.30M,0.00,4.90M,77.40M,168.20M,,11.50M,262.00M,-179.90M,82.10M,2.696B,1.978B,4.674B,83.20M,,14.00M,4.854B,5.228B,,38.90M,,4.20M,33.50M,76.60M,79.50M,156.10M,,,,11.40M,11.40M,56.60M,238.00M,1.312B,,1.312B,715.70M,715.70M,,,9.40M,7.50M,2.112B,2.350B,,1.20M,766.90M,2.61B,550.20M,50.00M,2.878B,,AOR,Restated
2017-06,148.60M,110.40M,259.00M,231.30M,,242.00M,,,18.70M,519.70M,0.00,4.90M,77.30M,162.00M,,8.90M,253.10M,-172.60M,80.50M,2.686B,2.016B,4.702B,82.00M,,11.10M,4.876B,5.396B,,54.90M,,3.90M,159.90M,218.70M,75.20M,293.90M,,,,14.30M,14.30M,56.20M,376.30M,1.411B,,1.411B,703.40M,703.40M,,,12.60M,6.70M,2.203B,2.579B,,1.20M,737.30M,2.597B,548.20M,29.60M,2.817B,,AOR,Restated
2017-03,153.30M,41.30M,194.60M,233.30M,,245.30M,,,15.80M,455.70M,0.00,4.90M,77.30M,161.00M,,2.90M,246.10M,-166.60M,79.50M,2.676B,2.043B,4.719B,82.00M,,9.10M,4.889B,5.345B,,51.40M,,10.30M,85.30M,147.00M,81.60M,228.60M,,,,18.00M,18.00M,6.60M,260.90M,1.487B,,1.487B,720.60M,720.60M,,,12.60M,55.40M,2.339B,2.600B,,1.20M,697.70M,2.584B,540.10M,2.10M,2.745B,,AOR,Restated
2016-12,97.30M,0.00,97.30M,76.70M,,130.40M,,,7.40M,235.10M,0.00,4.90M,77.00M,138.80M,,0.20M,220.90M,-160.10M,60.80M,26.50M,71.60M,98.10M,72.90M,,9.80M,241.60M,476.70M,,6.50M,,0.00,11.60M,18.10M,43.60M,61.70M,,,,3.10M,3.10M,,89.90M,,,,0.00,0.00,,,12.60M,4.20M,68.90M,158.80M,,0.90M,710.80M,139.20M,532.20M,-0.80M,317.90M,,AOR,Restated
2016-09,72.76M,,72.76M,61.11M,7.172M,120.47M,8.495M,,0.137M,206.58M,0.00,4.914M,76.30M,155.61M,,0.181M,237.00M,-172.18M,64.82M,26.47M,70.00M,96.46M,73.47M,,,234.76M,441.34M,,3.087M,,0.018M,7.646M,10.75M,43.80M,54.55M,,,,7.01M,7.01M,,81.12M,,,,5.753M,5.753M,,1.922M,12.60M,2.713M,70.66M,151.78M,,0.929M,686.04M,135.62M,532.25M,-0.775M,289.56M,,AOR,Restated
2016-06,52.19M,,52.19M,71.13M,7.052M,110.67M,10.58M,,0.432M,173.87M,0.00,4.914M,71.16M,152.38M,,4.083M,232.54M,-166.50M,66.04M,26.47M,67.56M,94.03M,72.70M,,,232.77M,406.64M,,1.939M,,0.015M,7.532M,9.486M,38.32M,47.81M,,,,10.88M,10.88M,3.434M,76.63M,,,,4.967M,4.967M,,1.902M,12.60M,2.605M,64.25M,140.88M,,0.929M,666.02M,131.85M,532.25M,-0.784M,265.76M,,AOR,Restated
2016-03,107.48M,,107.48M,57.60M,6.585M,68.97M,7.978M,,0.264M,184.69M,0.00,4.914M,70.55M,146.73M,,2.308M,224.50M,-161.53M,62.98M,26.47M,67.21M,93.68M,53.48M,,,210.14M,394.83M,,4.178M,,7.695M,7.058M,18.93M,37.62M,56.55M,,,,14.73M,14.73M,3.407M,83.35M,,,,5.144M,5.144M,,1.881M,12.60M,2.995M,63.55M,146.90M,,0.929M,633.88M,128.08M,514.16M,-0.795M,247.93M,,AOR,Restated
2015-12,102.25M,,102.25M,62.54M,5.682M,96.12M,5.122M,,0.625M,204.12M,0.00,4.914M,70.53M,144.60M,,0.885M,220.93M,-155.65M,65.27M,7.655M,59.31M,66.97M,48.43M,0.00,,180.67M,384.79M,,1.762M,,1.633M,6.141M,9.536M,35.04M,44.57M,,,,4.019M,4.019M,2.00M,74.00M,,,,5.309M,5.309M,,1.896M,0.00,4.262M,51.15M,125.14M,,0.927M,603.60M,123.58M,467.63M,-0.824M,259.64M,,AOR,Restated
2015-09,121.68M,,121.68M,65.86M,6.755M,92.00M,8.035M,,0.988M,222.70M,0.00,4.914M,68.62M,144.91M,,0.786M,219.23M,-156.09M,63.14M,7.655M,60.25M,67.90M,43.68M,,,174.72M,397.42M,,1.943M,,2.634M,7.21M,11.79M,40.05M,51.84M,,,,7.488M,7.488M,,78.66M,,,,11.86M,11.86M,,1.976M,,6.444M,58.94M,137.60M,,0.927M,572.21M,120.38M,432.87M,-0.838M,259.82M,,AOR,Restated
2015-06,89.63M,,89.63M,63.39M,7.646M,94.25M,10.46M,,0.277M,194.62M,0.00,4.914M,68.34M,288.40M,,0.479M,362.13M,-295.05M,67.08M,,57.00M,57.00M,43.41M,,,167.49M,362.11M,,4.883M,,1.119M,8.354M,14.36M,36.42M,50.77M,,,,10.94M,10.94M,,72.46M,,,,14.11M,14.11M,,1.957M,,3.428M,62.63M,135.09M,,0.927M,523.82M,117.16M,414.04M,-0.852M,227.02M,,AOR,Restated
2015-03,137.56M,,137.56M,51.99M,8.789M,61.90M,8.588M,,1.344M,209.38M,0.00,4.914M,68.12M,285.22M,,,358.25M,-290.62M,67.64M,,56.03M,56.03M,42.74M,,,166.41M,375.80M,,2.80M,,2.654M,9.32M,14.77M,33.78M,48.55M,,,,14.07M,14.07M,,70.71M,,,,14.17M,14.17M,,1.938M,,3.312M,61.35M,132.06M,,0.927M,496.54M,113.96M,366.82M,-0.87M,243.74M,,AOR,Restated
2014-12,147.93M,,147.93M,58.39M,10.70M,90.59M,4.622M,,0.972M,244.11M,0.00,4.914M,68.02M,286.72M,,,359.66M,-287.89M,71.77M,,55.67M,55.67M,12.35M,,,139.79M,383.90M,,2.779M,,1.774M,11.24M,15.79M,32.76M,48.54M,,,,1.988M,1.988M,,73.66M,,,,13.68M,13.68M,,1.612M,,4.197M,60.17M,133.83M,,0.926M,472.00M,110.11M,332.29M,-0.689M,250.07M,,AOR,Restated
2014-09,126.52M,,126.52M,55.12M,10.55M,88.01M,7.529M,,0.667M,222.73M,0.00,4.914M,68.01M,284.71M,,0.024M,357.65M,-282.36M,75.29M,,54.15M,54.15M,14.92M,,,144.36M,367.09M,,1.899M,0.00,,11.06M,12.96M,29.23M,42.19M,,,,7.211M,7.211M,,68.28M,,,,12.77M,12.77M,,1.694M,,4.082M,53.68M,121.96M,,0.926M,440.44M,108.01M,303.55M,-0.708M,245.12M,,AOR,Restated
2014-06,145.11M,,145.11M,55.47M,8.977M,87.71M,9.611M,,1.501M,243.94M,0.00,4.914M,67.90M,279.63M,,0.00,352.44M,-277.30M,75.14M,,51.99M,51.99M,14.71M,,,141.85M,385.78M,,4.144M,0.00,,9.455M,13.60M,29.89M,43.49M,,,,11.71M,11.71M,,69.03M,,,,13.50M,13.50M,,1.674M,,3.967M,52.86M,121.89M,,0.926M,409.99M,105.88M,252.19M,-0.712M,263.89M,,AOR,Restated
2014-03,199.06M,,199.06M,57.86M,10.18M,68.76M,7.271M,,0.922M,276.02M,0.00,4.914M,65.49M,275.42M,,2.231M,348.05M,-273.96M,74.09M,,48.16M,48.16M,14.57M,,,136.82M,412.84M,,2.816M,0.00,8.064M,10.74M,21.62M,29.91M,51.53M,,,,14.17M,14.17M,,74.46M,,,,13.97M,13.97M,,1.654M,,3.833M,51.71M,126.16M,,0.92M,382.59M,98.66M,194.75M,-0.735M,286.68M,,AOR,Restated
2013-12,221.34M,,221.34M,49.89M,8.869M,80.80M,4.007M,,2.717M,308.86M,0.00,4.914M,65.45M,271.44M,,0.023M,341.82M,-269.61M,72.21M,,45.94M,45.94M,14.58M,,,132.73M,441.59M,,4.219M,43.83M,0.00,9.442M,57.49M,26.55M,84.04M,,,,1.10M,1.10M,,107.46M,,,,13.74M,13.74M,,2.11M,,3.856M,49.61M,157.07M,,0.919M,349.29M,90.98M,155.63M,-1.05M,284.52M,,AOR,Restated
2013-09,226.38M,,226.38M,50.13M,8.712M,75.28M,6.609M,,0.659M,308.93M,0.00,4.914M,63.53M,269.38M,,1.713M,339.54M,-265.38M,74.16M,,44.02M,44.02M,14.03M,,,132.22M,441.15M,,1.911M,,,9.251M,11.16M,27.59M,38.75M,,,,9.131M,9.131M,,65.40M,,,,16.47M,16.47M,,2.216M,,3.878M,50.35M,115.75M,,0.919M,362.83M,87.03M,124.31M,-1.066M,325.40M,,AOR,Restated
2013-06,207.77M,,207.77M,55.73M,8.938M,80.11M,8.234M,,0.565M,296.68M,0.00,4.914M,62.44M,268.20M,,1.233M,336.79M,-260.59M,76.20M,,42.82M,42.82M,14.17M,,,133.19M,429.86M,,3.709M,,,9.458M,13.17M,27.15M,40.32M,,,,16.64M,16.64M,,70.27M,,,,19.36M,19.36M,,2.195M,,3.90M,49.68M,119.96M,,0.918M,337.42M,82.96M,110.31M,-1.084M,309.91M,,AOR,Restated
2013-03,210.49M,,210.49M,51.14M,6.251M,57.87M,6.335M,,0.735M,275.42M,0.00,4.914M,62.60M,266.12M,,0.089M,333.72M,-256.53M,77.19M,,42.79M,42.79M,14.22M,,,134.20M,409.62M,,3.12M,,11.87M,6.842M,21.83M,31.88M,53.72M,,,,23.78M,23.78M,,85.75M,,,,20.34M,20.34M,,2.174M,,3.924M,49.15M,134.90M,,0.913M,304.57M,74.55M,104.20M,-1.101M,274.73M,,AOR,Restated
2012-12,135.60M,,135.60M,45.67M,5.216M,62.60M,4.146M,,0.567M,202.91M,0.00,4.914M,62.44M,263.16M,,0.089M,330.60M,-251.64M,78.96M,,42.72M,42.72M,14.27M,,,135.95M,338.86M,,0.735M,0.00,,5.808M,6.543M,26.11M,32.65M,,,,1.084M,1.084M,,52.15M,,,,20.99M,20.99M,,1.794M,,3.946M,47.59M,99.74M,,0.913M,275.49M,67.81M,104.20M,-0.893M,239.12M,,AOR,Restated
2012-09,160.28M,,160.28M,45.38M,8.456M,70.64M,6.737M,,0.786M,238.45M,0.00,4.914M,62.15M,257.25M,,9.287M,333.60M,-251.16M,82.44M,,42.38M,42.38M,14.26M,,,139.08M,377.53M,,2.084M,,0.00,9.043M,11.13M,22.61M,33.74M,,,,8.713M,8.713M,,56.09M,,,,21.86M,21.86M,,1.882M,,3.968M,45.92M,102.00M,,0.913M,315.20M,64.51M,104.20M,-0.907M,275.52M,,AOR,Restated
2012-06,127.14M,,127.14M,48.43M,7.527M,64.94M,9.139M,,0.728M,201.95M,0.00,4.914M,60.92M,256.77M,,7.878M,330.48M,-246.31M,84.17M,,43.48M,43.48M,14.21M,,,141.86M,343.81M,,3.665M,,,8.117M,11.78M,24.22M,36.00M,,,,17.36M,17.36M,,63.91M,,,,19.80M,19.80M,,1.861M,,3.99M,39.99M,103.90M,,0.913M,282.69M,61.43M,104.20M,-0.922M,239.91M,,AOR,Restated
2012-03,148.63M,,148.63M,48.44M,9.421M,58.22M,6.844M,0.24M,0.941M,214.87M,0.00,4.914M,60.92M,254.21M,,3.579M,323.62M,-242.08M,81.54M,,42.80M,42.80M,14.22M,,,138.57M,353.44M,,35.30M,,16.84M,10.01M,62.16M,,62.16M,,,,20.40M,20.40M,,82.64M,,,,20.31M,20.31M,,1.839M,,3.881M,39.60M,122.24M,,0.908M,254.79M,58.41M,81.97M,-0.936M,231.20M,,AOR,Restated
2011-12,134.94M,,134.94M,37.58M,5.195M,49.53M,4.152M,,1.065M,189.68M,0.00,4.914M,60.92M,252.90M,,1.264M,320.00M,-238.29M,81.71M,,42.17M,42.17M,14.30M,,,138.19M,327.87M,,1.877M,,,5.765M,7.642M,25.84M,33.49M,,,,0.351M,0.351M,,52.29M,,,,21.44M,21.44M,,1.781M,,3.906M,39.31M,91.60M,,0.908M,232.12M,55.47M,51.33M,-0.899M,236.27M,,AOR,Restated
2011-09,147.22M,,147.22M,46.01M,6.999M,53.37M,6.031M,,0.694M,207.32M,0.00,4.914M,60.92M,250.95M,,0.018M,316.80M,-234.30M,82.50M,,7.727M,7.727M,11.96M,,35.13M,137.32M,344.64M,,42.80M,,3.545M,7.54M,53.88M,,53.88M,,,,,11.24M,0.026M,65.15M,,,,19.58M,19.58M,,1.856M,,3.806M,33.80M,98.94M,,0.906M,211.21M,52.46M,17.96M,-0.914M,245.70M,,AOR,Restated
2011-06,106.54M,,106.54M,45.80M,7.251M,62.49M,7.959M,,0.558M,177.55M,0.00,4.914M,60.92M,250.44M,,0.018M,316.28M,-229.88M,86.40M,,5.404M,5.404M,12.16M,,37.91M,141.87M,319.42M,,32.62M,,,7.765M,40.38M,,40.38M,,,,20.49M,20.49M,0.052M,60.92M,,,,21.68M,21.68M,3.736M,1.832M,,3.957M,31.21M,92.13M,,0.906M,180.90M,49.48M,3.075M,-0.925M,227.29M,,AOR,Restated
2011-03,115.69M,,115.69M,47.02M,8.548M,55.56M,7.061M,,0.702M,179.02M,0.00,4.914M,60.92M,245.70M,,0.798M,312.33M,-226.04M,86.29M,,43.36M,43.36M,12.16M,,,141.80M,320.82M,,32.32M,,15.44M,9.101M,56.86M,,56.86M,,,,28.60M,28.60M,0.077M,85.54M,,,,22.86M,22.86M,,1.807M,,7.657M,32.32M,117.86M,,0.901M,156.73M,46.27M,,-0.938M,202.96M,,AOR,Restated
2010-12,53.79M,,53.79M,37.75M,7.815M,51.10M,4.51M,,0.537M,109.93M,0.00,4.914M,60.92M,240.71M,,1.729M,308.27M,-221.27M,87.00M,,44.56M,44.56M,12.62M,,,144.18M,254.11M,,40.08M,,,8.349M,48.43M,,48.43M,,,,0.28M,0.28M,0.103M,48.82M,,,,20.48M,20.48M,,1.782M,,7.158M,29.42M,78.24M,,0.901M,133.09M,42.86M,,-0.972M,175.87M,,AOR,Restated
2010-09,322.94M,,322.94M,36.58M,7.203M,58.33M,5.27M,,0.571M,387.10M,0.00,4.914M,60.92M,219.93M,,21.69M,307.45M,-216.58M,90.86M,,38.28M,38.28M,14.37M,,,143.52M,530.62M,,35.10M,,,7.812M,42.92M,,42.92M,,,,11.79M,11.79M,0.024M,54.73M,,,,17.58M,17.58M,,1.509M,,7.664M,26.76M,81.48M,,1.02M,110.94M,337.95M,,-0.767M,449.14M,,AOR,Restated
2010-06,324.07M,,324.07M,33.90M,7.50M,46.64M,7.214M,,0.563M,378.48M,0.00,4.914M,60.92M,217.11M,,21.02M,303.96M,-212.40M,91.56M,,39.09M,39.09M,14.54M,,,145.18M,523.67M,,46.32M,,,8.12M,54.44M,,54.44M,,,,23.43M,23.43M,0.048M,77.92M,,,,16.13M,16.13M,,1.487M,,3.792M,21.40M,99.32M,,1.02M,100.92M,323.18M,,-0.778M,424.34M,,AOR,Restated
2010-03,439.50M,,439.50M,37.25M,10.53M,48.08M,7.245M,,0.691M,495.51M,0.00,4.914M,60.92M,216.33M,,20.79M,302.95M,-208.05M,94.90M,,7.079M,7.079M,2.885M,,32.15M,137.02M,632.53M,,32.65M,113.42M,17.07M,315.68M,478.82M,,478.82M,,,,32.82M,32.82M,0.072M,511.71M,,,,18.55M,18.55M,,1.465M,,3.391M,23.41M,535.12M,,19.57M,76.03M,2.592M,,-0.787M,97.41M,,AOR,Restated
2009-12,383.73M,,383.73M,30.44M,11.06M,43.08M,5.804M,,0.452M,433.06M,0.00,4.914M,60.84M,213.38M,,20.70M,299.83M,-203.66M,96.16M,,39.63M,39.63M,3.09M,,,138.88M,571.95M,,42.96M,,,315.47M,358.43M,,358.43M,,,,0.207M,0.207M,0.096M,358.74M,,,,20.58M,20.58M,,1.444M,,3.059M,25.08M,383.81M,,19.57M,166.77M,2.592M,,-0.801M,188.13M,,AOR,Restated
