,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,Restated
2009-06,1.00B,1.00B,590.00M,410.00M,176.00M,,55.00M,,-55.00M,,176.00M,234.00M,,55.00M,-55.00M,,-55.00M,179.00M,68.00M,115.00M,25.00M,,140.00M,115.00M,317.00M,,2009-06,0.185,0.04,0.185,2009-06,0.185,0.04,0.185,0.225,620.00M,623.20M,,Restated
2009-03,1.023B,1.023B,600.00M,423.00M,198.00M,,54.00M,,-54.00M,,198.00M,225.00M,,54.00M,-54.00M,,-54.00M,171.00M,66.00M,106.00M,-3.00M,,103.00M,106.00M,306.00M,,2009-03,0.17,-0.005,0.17,2009-03,0.17,-0.005,0.17,0.165,622.00M,624.00M,,Restated
2008-12,909.00M,909.00M,490.00M,419.00M,182.00M,-40.00M,,,,,163.00M,256.00M,,,,-43.00M,,137.00M,57.00M,83.00M,-21.00M,,62.00M,109.00M,322.00M,,2008-12,0.1325,-0.03,0.1736,2008-12,0.1325,-0.03,0.1736,0.1025,632.40M,633.20M,,Restated
2008-09,1.08B,1.08B,662.00M,418.00M,204.00M,19.00M,,,,19.00M,223.00M,195.00M,,,,22.00M,,176.00M,105.00M,74.00M,4.00M,,78.00M,61.65M,285.00M,,2008-09,0.1125,0.0075,0.0935,2008-09,0.1125,0.0075,0.0937,0.12,650.00M,655.20M,,
2008-06,1.292B,1.292B,849.00M,443.00M,216.00M,,61.00M,,-61.00M,,216.00M,227.00M,,61.00M,-61.00M,,-61.00M,166.00M,64.00M,102.00M,-2.00M,,100.00M,102.00M,323.00M,,2008-06,0.155,-0.0025,0.155,2008-06,0.155,-0.0025,0.155,0.15,653.60M,659.20M,,Restated
2008-03,1.31B,1.31B,872.00M,438.00M,212.00M,,,,,,212.00M,226.00M,,,,,,158.00M,61.00M,97.00M,232.00M,,329.00M,97.00M,316.00M,,2008-03,0.1475,0.355,0.1475,2008-03,0.145,0.35,0.145,0.4975,656.00M,661.60M,,
2007-12,1.105B,1.105B,754.00M,351.00M,169.00M,,,,,,169.00M,182.00M,,,,,,128.00M,55.00M,91.00M,5.00M,,96.00M,91.00M,223.00M,,2007-12,0.1375,0.0075,0.1375,2007-12,0.1375,0.0075,0.1375,0.145,656.80M,664.40M,,Restated
2007-09,924.00M,924.00M,612.00M,312.00M,120.00M,,,,,,120.00M,192.00M,,,,,,180.00M,68.00M,112.00M,9.00M,,121.00M,112.00M,243.00M,,2007-09,0.17,0.015,0.17,2007-09,0.1675,0.0125,0.1675,0.1825,658.80M,666.40M,,
2007-06,939.00M,939.00M,624.00M,315.00M,133.00M,,,,,,133.00M,182.00M,,,,,,171.00M,66.00M,105.00M,3.00M,,108.00M,105.00M,240.00M,,2007-06,0.1575,0.005,0.1575,2007-06,0.155,0.005,0.155,0.16,669.60M,679.60M,,
2007-03,1.219B,1.219B,869.00M,350.00M,157.00M,,,,,,157.00M,193.00M,,,,,,185.00M,71.00M,114.00M,,,114.00M,114.00M,236.00M,,2007-03,0.15,0.0175,0.15,2007-03,0.1475,0.0175,0.1475,0.165,680.00M,690.40M,,
2006-12,323.67M,323.67M,136.25M,187.42M,66.29M,,,,,,66.29M,121.13M,,,,,,110.21M,42.76M,67.45M,38.58M,,106.03M,67.45M,185.21M,,2006-12,0.10,0.055,0.10,2006-12,0.0975,0.055,0.0975,0.1525,688.44M,699.16M,,
2006-09,1.123B,1.123B,802.23M,320.28M,139.90M,,,,,,139.90M,180.38M,,,,,,168.80M,63.64M,105.16M,4.932M,,110.09M,105.16M,227.79M,,2006-09,0.1525,0.0075,0.1525,2006-09,0.15,0.0075,0.15,0.1575,693.70M,703.50M,,
2006-06,1.057B,1.057B,743.36M,314.14M,137.57M,,,,,,137.57M,176.57M,,,,,,166.22M,61.64M,104.58M,13.09M,,117.67M,104.58M,216.71M,,2006-06,0.15,0.0175,0.15,2006-06,0.1475,0.0175,0.1475,0.165,700.45M,710.20M,,
2006-03,1.097B,1.097B,758.06M,338.61M,145.65M,,,,,,145.65M,192.95M,,,,,,186.85M,70.64M,116.21M,,,116.21M,116.21M,240.32M,,2006-03,0.1625,0.00,0.1625,2006-03,0.16,0.00,0.16,0.16,717.40M,727.13M,,
2005-12,259.82M,259.82M,114.76M,145.05M,29.83M,43.55M,,,,,29.83M,115.22M,,,,43.55M,,146.14M,55.12M,91.02M,59.02M,,150.04M,63.90M,161.77M,,2005-12,0.1275,0.0775,0.0906,2005-12,0.125,0.075,0.0885,0.20,734.13M,742.41M,,
2005-09,1.012B,1.012B,710.47M,301.18M,129.66M,,,,,,129.66M,171.52M,,,,,,168.09M,58.75M,109.34M,3.60M,,112.94M,109.34M,215.80M,,2005-09,0.145,0.005,0.145,2005-09,0.145,0.005,0.145,0.15,749.62M,758.70M,,
2005-06,996.43M,996.43M,682.87M,313.56M,126.31M,,,,,,126.31M,187.24M,,,,,,185.96M,71.97M,114.00M,,,114.00M,114.00M,232.39M,,2005-06,0.15,0.00,0.15,2005-06,0.1475,0.00,0.1475,0.1475,763.52M,772.91M,,
2005-03,973.11M,973.11M,661.90M,311.22M,123.20M,43.45M,,,,,123.20M,188.02M,,,,43.45M,,227.81M,88.16M,139.64M,-0.619M,,139.03M,113.01M,231.04M,,2005-03,0.18,0.00,0.1456,2005-03,0.1775,0.00,0.1434,0.1775,773.53M,781.98M,,
2004-12,966.40M,966.40M,472.19M,494.21M,283.52M,,,,,,331.60M,162.61M,,,,,,158.03M,59.23M,98.80M,-1.346M,,97.45M,98.80M,210.68M,,2004-12,0.1275,-0.0025,0.1275,2004-12,0.125,-0.0025,0.125,0.1225,779.94M,788.93M,,
2004-09,934.69M,934.69M,247.26M,687.43M,469.29M,,,,,,513.73M,173.70M,,,,,,169.30M,65.01M,104.30M,-11.94M,,92.36M,104.30M,218.14M,,2004-09,0.1325,-0.015,0.1325,2004-09,0.1325,-0.015,0.1325,0.1175,781.34M,789.89M,,
2004-06,919.77M,919.77M,242.84M,676.94M,468.08M,,,,,,515.02M,161.91M,,,,,,157.43M,61.33M,96.10M,-1.061M,,95.03M,96.10M,208.85M,,2004-06,0.1225,-0.0025,0.1225,2004-06,0.1225,-0.0025,0.1225,0.12,780.20M,789.52M,,
2004-03,908.88M,908.88M,372.04M,536.84M,329.59M,,,,,,375.50M,161.34M,,,,,,156.61M,60.90M,95.71M,-2.911M,,92.80M,95.71M,207.25M,,2004-03,0.1225,-0.0025,0.1225,2004-03,0.1225,-0.0025,0.1225,0.1175,778.22M,788.25M,,
2003-12,729.02M,729.02M,,,-126.42M,,,,,,-81.63M,128.87M,,,,,,124.24M,48.45M,75.78M,,,81.97M,75.78M,173.66M,,2003-12,0.0375,0.0675,0.0375,2003-12,0.0375,0.0675,0.0375,0.105,775.91M,782.21M,,
2003-09,785.96M,785.96M,,,606.00M,,,,,,649.67M,136.30M,,,,,,131.82M,51.41M,80.41M,,,80.41M,80.41M,179.96M,,2003-09,0.105,0.00,0.105,2003-09,0.1025,0.00,0.1025,0.1025,774.50M,786.11M,,
2003-06,738.62M,738.62M,180.77M,557.85M,385.80M,,,,,,425.79M,132.06M,,,,,,128.59M,50.15M,78.44M,,,78.44M,78.44M,172.04M,,2003-06,0.1025,0.00,0.1025,2003-06,0.10,0.00,0.10,0.10,773.18M,783.24M,,
2003-03,707.50M,707.50M,167.94M,539.56M,377.56M,,,,,,414.96M,124.60M,,,,,,121.62M,47.43M,74.19M,,,74.19M,74.19M,162.00M,,2003-03,0.0975,0.00,0.0975,2003-03,0.095,0.00,0.095,0.095,768.55M,778.98M,,
2002-12,489.37M,489.37M,-210.33M,699.69M,535.80M,,,,,,594.59M,105.10M,,,,,,100.69M,39.27M,61.42M,,,68.23M,61.42M,163.89M,,2002-12,0.0825,0.01,0.0825,2002-12,0.08,0.0075,0.08,0.09,766.90M,766.90M,,
2002-09,635.67M,635.67M,230.46M,405.22M,269.24M,0.426M,,,,,295.39M,109.82M,,,,0.426M,,108.44M,42.29M,66.15M,,,66.15M,65.89M,145.10M,,2002-09,0.085,0.00,0.0847,2002-09,0.085,0.00,0.0847,0.085,768.19M,768.19M,,
2002-06,632.43M,632.43M,187.07M,445.36M,309.27M,0.567M,,,,,334.49M,110.86M,,,,0.567M,,109.25M,42.61M,66.64M,,,66.64M,66.30M,145.34M,,2002-06,0.0875,0.00,0.0870,2002-06,0.085,0.00,0.0846,0.085,765.68M,781.90M,,
2002-03,632.84M,632.84M,146.04M,486.80M,343.74M,,,,,,377.37M,109.43M,,,,,,106.74M,41.63M,65.11M,,,65.11M,65.11M,143.07M,,2002-03,0.085,0.00,0.085,2002-03,0.0825,0.00,0.0825,0.0825,762.68M,780.61M,,
2001-12,557.18M,557.18M,357.29M,199.89M,40.46M,,,,,,104.99M,94.90M,,,,,,88.06M,35.22M,52.83M,,,52.83M,52.83M,159.43M,,2001-12,0.0575,0.0125,0.0575,2001-12,0.0575,0.0125,0.0575,0.07,762.67M,762.67M,,
2001-09,539.23M,539.23M,190.24M,348.99M,231.34M,1.00M,,,,,259.78M,89.22M,,,,1.00M,,87.71M,35.08M,52.63M,,,52.63M,52.03M,125.88M,,2001-09,0.07,0.00,0.0692,2001-09,0.0675,0.00,0.0667,0.0675,747.78M,779.69M,,
2001-06,543.62M,543.62M,160.76M,382.86M,266.85M,1.506M,,,,,294.49M,88.38M,,,,1.506M,,86.65M,34.66M,51.99M,,,51.99M,51.09M,124.06M,,2001-06,0.0700,0.00,0.0688,2001-06,0.0684,0.00,0.0672,0.0684,745.86M,764.62M,,
2001-03,527.65M,527.65M,157.40M,370.25M,256.55M,1.821M,,,,,283.65M,86.60M,,,,1.821M,,84.61M,33.84M,50.76M,,,50.76M,49.67M,122.31M,,2001-03,0.0684,0.00,0.0669,2001-03,0.0667,0.00,0.0653,0.0667,744.28M,763.02M,,
2000-12,434.58M,434.58M,111.53M,323.05M,206.58M,1.983M,,,,,245.31M,77.74M,,,,1.983M,,74.74M,30.64M,44.10M,,,44.10M,42.91M,116.47M,,2000-12,0.06,0.00,0.0584,2000-12,0.0583,0.00,0.0568,0.0583,742.32M,762.92M,,
2000-09,406.19M,406.19M,95.29M,310.90M,198.62M,2.907M,,,,,232.68M,78.22M,,,,2.907M,,75.84M,31.09M,44.74M,,,44.74M,43.00M,112.28M,,2000-09,0.06,0.00,0.0576,2000-09,0.0583,0.00,0.0560,0.0583,740.60M,762.27M,,
2000-06,416.43M,416.43M,97.14M,319.29M,198.03M,2.928M,,,,,239.91M,79.39M,,,,2.928M,,76.32M,31.29M,45.03M,,,45.03M,43.27M,121.26M,,2000-06,0.0617,0.00,0.0593,2000-06,0.06,0.00,0.0577,0.06,737.95M,758.41M,,
2000-03,396.40M,396.40M,93.70M,302.70M,189.57M,,,,,,223.75M,78.95M,,,,,,73.15M,29.99M,43.16M,,,43.16M,43.16M,113.13M,,2000-03,0.0584,0.00,0.0584,2000-03,0.0567,0.00,0.0567,0.0567,735.36M,752.88M,,
