,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,11.17M,,11.17M,244.41M,,244.41M,286.83M,20.57M,,,120.27M,683.25M,,,,,9.764B,,,241.15M,251.27M,10.94B,11.62B,139.31M,53.89M,132.59M,325.79M,91.74M,417.53M,,,,320.14M,320.14M,92.68M,830.35M,382.79M,3.739B,,3.739B,824.70M,,824.70M,533.32M,,-45.27M,,335.36M,6.926B,7.756B,711.17M,1.176B,2.022B,,,,3.910B
2017-12,3.40M,,3.40M,165.40M,55.40M,290.70M,293.60M,39.80M,0.00,,99.50M,727.00M,71.40M,434.90M,14.60B,-4.868B,9.730B,0.00,0.00,237.10M,244.80M,10.90B,11.62B,204.20M,53.80M,87.70M,345.70M,72.70M,418.40M,25.10M,,,304.20M,304.20M,76.00M,823.70M,380.00M,3.769B,,3.769B,815.70M,,815.70M,491.20M,,-47.70M,,390.40M,6.940B,7.764B,2.735B,1.173B,,,,0.00,3.908B
2017-09,3.388M,,3.388M,308.28M,,308.28M,285.07M,15.78M,,,120.53M,733.05M,,,,,9.672B,,,229.93M,241.38M,10.89B,11.63B,147.93M,53.77M,114.32M,316.02M,64.85M,380.87M,,,,217.63M,217.63M,88.34M,686.85M,397.50M,3.768B,,3.768B,1.867B,,1.867B,497.30M,,-50.10M,,292.89M,7.060B,7.746B,710.47M,1.196B,2.022B,,,,3.929B
2017-06,3.21M,,3.21M,274.43M,,274.43M,302.70M,19.08M,,,140.82M,740.23M,,,,,9.659B,,,220.03M,226.21M,10.86B,11.60B,139.63M,53.74M,89.74M,283.11M,45.12M,328.24M,,,,357.74M,357.74M,88.20M,774.17M,368.23M,3.769B,,3.769B,1.794B,,1.794B,511.07M,,29.35M,,294.43M,6.967B,7.741B,710.47M,1.095B,2.020B,,,,3.826B
2017-03,3.359M,,3.359M,237.03M,,237.03M,310.86M,20.84M,,,149.01M,721.10M,,,,,9.577B,,,212.82M,253.24M,10.79B,11.52B,162.23M,55.77M,126.50M,344.50M,85.61M,430.11M,,,,254.84M,254.84M,81.79M,766.74M,349.93M,3.768B,,3.768B,1.767B,,1.767B,511.37M,,25.38M,,293.72M,6.918B,7.684B,710.24M,1.080B,2.015B,,,,3.806B
2016-12,3.066M,,3.066M,288.58M,,301.58M,300.12M,16.53M,,,147.08M,768.38M,61.95M,773.10M,14.15B,-4.645B,9.506B,,,200.12M,249.83M,10.72B,11.49B,220.52M,52.88M,85.73M,359.14M,72.52M,431.66M,,,,518.54M,518.54M,97.00M,1.047B,323.95M,3.500B,,3.500B,1.753B,,1.753B,512.41M,,27.32M,,293.98M,6.607B,7.654B,708.96M,1.079B,2.018B,,,,3.806B
2016-09,3.937M,,3.937M,322.39M,,322.39M,290.08M,15.62M,,,130.28M,762.30M,,,,,9.299B,,,198.80M,252.78M,10.48B,11.24B,228.05M,52.82M,119.94M,400.81M,61.83M,462.64M,,,,334.74M,334.74M,119.65M,917.03M,283.94M,3.499B,,3.499B,1.737B,,1.737B,445.44M,,23.45M,,293.04M,6.503B,7.42B,708.72M,1.079B,2.013B,,,,3.801B
2016-06,5.213M,,5.213M,298.84M,,298.84M,299.46M,17.99M,,,120.36M,741.87M,,,,,9.064B,,,189.18M,241.08M,10.23B,10.97B,178.37M,52.77M,95.08M,326.22M,41.97M,368.19M,,,,328.84M,328.84M,124.48M,821.51M,280.51M,3.499B,,3.499B,1.656B,,1.656B,455.92M,,19.62M,,295.38M,6.434B,7.256B,708.46M,978.19M,2.008B,,,,3.695B
2016-03,3.471M,,3.471M,225.09M,,225.09M,301.34M,20.27M,,,125.41M,675.58M,,,,,8.942B,,,183.46M,258.24M,10.13B,10.81B,230.31M,52.70M,128.15M,411.15M,86.22M,497.38M,,,,468.64M,468.64M,107.92M,1.074B,276.72M,3.150B,,3.150B,1.619B,,1.619B,456.54M,,15.82M,,291.06M,6.044B,7.118B,708.14M,959.94M,2.003B,,,,3.671B
2015-12,3.231M,,3.231M,258.29M,,258.29M,301.29M,16.86M,,,137.47M,717.14M,68.35M,349.40M,13.20B,-4.409B,8.793B,,,184.06M,260.02M,9.989B,10.71B,220.97M,49.83M,83.77M,354.57M,71.43M,426.00M,,,,278.61M,278.61M,132.33M,836.94M,275.28M,3.302B,,3.302B,1.591B,,1.591B,462.30M,,15.24M,,298.59M,6.197B,7.034B,706.77M,945.83M,2.004B,,,,3.657B
2015-09,3.829M,,3.829M,288.76M,,288.76M,276.69M,16.38M,,22.86M,149.16M,757.68M,,,,,8.650B,,,181.76M,259.32M,9.826B,10.58B,175.31M,49.78M,122.79M,347.88M,60.84M,408.72M,,,,331.91M,331.91M,138.06M,878.69M,286.39M,3.080B,,3.080B,1.602B,,1.602B,518.31M,,12.65M,,283.69M,6.029B,6.908B,706.34M,957.72M,1.999B,,,,3.663B
2015-06,2.266M,,2.266M,266.33M,,266.33M,279.03M,18.15M,,20.07M,167.69M,753.53M,,,,,8.614B,,,191.93M,261.89M,9.795B,10.55B,185.31M,49.74M,87.79M,322.84M,48.04M,370.87M,,,,335.42M,335.42M,138.64M,844.92M,283.19M,3.230B,,3.230B,1.511B,,1.511B,524.19M,,10.09M,,286.81M,6.119B,6.964B,705.89M,870.82M,1.998B,,,,3.574B
2015-03,6.074M,,6.074M,236.28M,,236.28M,265.97M,18.84M,,19.75M,127.65M,674.56M,,,,,8.508B,,,190.35M,280.11M,9.735B,10.41B,203.14M,46.42M,110.96M,360.52M,89.82M,450.34M,,,,453.72M,453.72M,132.65M,1.037B,233.66M,3.229B,,3.229B,1.489B,,1.489B,529.23M,,7.558M,,287.68M,6.058B,7.094B,660.83M,858.17M,1.789B,,,,3.308B
2014-12,4.556M,,4.556M,267.33M,,267.33M,247.41M,15.79M,,,134.32M,669.40M,79.64M,773.14M,12.77B,-4.332B,8.441B,,,185.02M,238.78M,9.620B,10.29B,219.35M,44.97M,74.36M,338.68M,79.71M,418.38M,,,,285.53M,285.53M,145.71M,849.63M,230.67M,3.354B,,3.354B,1.446B,,1.446B,532.62M,,6.451M,,286.84M,6.138B,6.988B,658.44M,855.30M,1.781B,,,,3.295B
2014-09,5.835M,,5.835M,300.12M,,300.12M,244.18M,16.34M,,35.01M,147.85M,749.34M,,,,,8.314B,,,184.66M,240.24M,9.324B,10.07B,194.66M,45.44M,109.24M,349.35M,65.57M,414.93M,,,,230.49M,230.49M,155.62M,801.04M,230.92M,3.382B,,3.382B,1.489B,,1.489B,325.13M,,12.50M,,268.41M,5.995B,6.796B,653.29M,858.13M,1.753B,,,,3.265B
2014-06,10.75M,,10.75M,259.20M,,259.20M,256.52M,18.06M,,41.88M,161.74M,748.15M,,,,,8.107B,,,185.90M,230.10M,9.123B,9.871B,171.16M,45.18M,76.59M,292.94M,55.56M,348.49M,,,,371.40M,371.40M,139.76M,859.65M,177.76M,3.383B,,3.383B,1.423B,,1.423B,325.45M,,10.12M,,264.84M,5.881B,6.740B,646.36M,756.44M,1.718B,,,,3.121B
2014-03,9.065M,,9.065M,231.78M,,231.78M,249.69M,19.93M,,38.62M,157.74M,706.82M,,,,,7.963B,,,178.59M,255.25M,9.004B,9.710B,191.22M,45.08M,101.83M,338.12M,91.96M,430.08M,,,,457.16M,457.16M,124.67M,1.012B,171.43M,3.136B,,3.136B,1.397B,,1.397B,327.56M,,7.771M,,263.41M,5.593B,6.605B,644.07M,748.41M,1.705B,,,,3.098B
2013-12,4.487M,,4.487M,250.04M,,250.04M,239.51M,15.82M,,37.95M,159.02M,706.82M,62.96M,904.59M,12.04B,-4.189B,7.849B,,,175.62M,246.14M,8.890B,9.597B,233.35M,43.60M,69.77M,346.72M,80.46M,427.18M,,,,412.08M,412.08M,116.17M,955.43M,160.68M,3.164B,,3.164B,1.363B,,1.363B,331.56M,,5.757M,,260.46M,5.573B,6.529B,641.27M,724.78M,1.697B,,,,3.063B
2013-09,9.923M,,9.923M,266.53M,,266.53M,237.59M,12.78M,0.387M,,167.06M,694.27M,,,,,7.650B,,,167.55M,243.34M,8.912B,9.606B,178.21M,43.20M,100.18M,321.59M,65.82M,387.41M,,,,329.86M,329.86M,136.82M,854.10M,158.90M,3.164B,,3.164B,1.297B,,1.297B,550.04M,,4.52M,,258.34M,5.715B,6.569B,635.32M,727.57M,1.670B,,,,3.033B
2013-06,3.973M,,3.973M,239.32M,,239.32M,239.50M,16.07M,0.451M,,165.17M,664.48M,,,,,7.557B,,,159.63M,235.78M,8.819B,9.484B,149.68M,43.15M,74.57M,267.40M,49.60M,317.00M,,,,437.77M,437.77M,132.56M,887.34M,156.69M,3.164B,,3.164B,1.234B,,1.234B,557.03M,,2.55M,,261.94M,5.657B,6.544B,634.68M,637.90M,1.665B,,,,2.937B
2013-03,5.643M,,5.643M,226.25M,,226.25M,236.99M,18.05M,0.513M,,136.24M,623.68M,,,,,7.435B,,,160.87M,267.89M,8.767B,9.390B,199.20M,43.11M,89.87M,332.17M,88.08M,420.25M,,,,170.79M,170.79M,135.21M,726.25M,154.67M,3.264B,,3.264B,1.207B,,1.207B,559.84M,,16.23M,,264.74M,5.741B,6.467B,634.01M,614.12M,1.659B,,,,2.907B
2012-12,5.829M,,5.829M,224.44M,,224.44M,249.02M,15.85M,,0.00,147.94M,643.08M,81.47M,532.33M,11.35B,-4.013B,7.336B,,,150.75M,247.88M,8.622B,9.265B,180.82M,41.74M,58.62M,281.19M,77.89M,359.08M,,,,365.14M,365.14M,121.92M,846.14M,152.65M,3.042B,,3.042B,1.198B,,1.198B,564.87M,,14.12M,,265.85M,5.509B,6.355B,632.52M,606.65M,1.657B,,,,2.896B
2012-09,4.379M,3.346M,7.725M,267.22M,,267.22M,249.28M,13.78M,0.836M,0.00,139.35M,678.19M,,,,,7.181B,,,148.46M,239.59M,8.458B,9.137B,169.31M,,87.58M,256.88M,71.29M,328.18M,,,,241.42M,241.42M,171.28M,740.87M,148.52M,3.062B,,3.062B,1.374B,,1.374B,542.66M,,12.07M,,75.95M,5.497B,6.238B,631.84M,603.05M,1.652B,,,,2.887B
2012-06,6.654M,5.981M,12.64M,277.49M,,277.49M,256.32M,14.88M,22.57M,0.00,132.40M,716.28M,,,,,7.052B,,,140.74M,223.98M,8.327B,9.043B,151.23M,,63.10M,214.33M,50.44M,264.77M,,,,394.26M,394.26M,191.76M,850.79M,146.54M,3.042B,,3.042B,1.300B,,1.300B,546.79M,,10.28M,,69.48M,5.398B,6.249B,631.12M,505.72M,1.647B,,,,2.784B
2012-03,3.726M,6.079M,9.805M,197.83M,,197.83M,254.60M,17.40M,,0.00,152.22M,631.85M,,,,,6.885B,,,143.16M,264.32M,8.210B,8.841B,202.15M,,80.94M,283.10M,93.02M,376.12M,,,,330.06M,330.06M,167.16M,873.34M,144.58M,2.894B,,2.894B,1.271B,,1.271B,556.10M,,9.02M,,72.51M,5.179B,6.052B,651.78M,486.27M,1.642B,,21.44M,,2.780B
2011-12,3.539M,,3.539M,226.43M,,231.76M,229.12M,13.08M,0.00,0.394M,155.69M,633.58M,75.70M,534.00M,10.66B,-3.913B,6.745B,,,130.27M,251.31M,8.049B,8.683B,187.43M,40.46M,52.45M,280.34M,77.44M,357.78M,,,,314.41M,314.41M,155.09M,827.29M,142.51M,2.740B,,2.740B,1.110B,,1.110B,592.62M,,10.09M,,238.31M,5.055B,5.882B,649.93M,501.22M,1.640B,,21.44M,,2.791B
2011-09,4.593M,6.12M,10.71M,252.04M,,252.04M,209.28M,11.89M,,0.00,120.99M,604.91M,,,,,6.618B,,,128.51M,1.038B,7.785B,8.390B,152.46M,,66.85M,219.31M,68.19M,287.50M,,,419.99M,419.99M,419.99M,180.35M,887.84M,131.20M,2.742B,,2.742B,1.267B,93.42M,1.360B,433.66M,,8.366M,,217.99M,4.884B,5.772B,606.86M,522.37M,1.480B,,21.44M,,2.609B
2011-06,5.282M,11.44M,16.72M,269.06M,,281.11M,223.93M,12.93M,,8.637M,120.97M,664.30M,,,,,6.513B,,,142.68M,1.003B,7.659B,8.323B,173.22M,,50.87M,224.10M,51.44M,275.54M,,,497.99M,497.99M,497.99M,198.56M,972.09M,129.46M,2.761B,,2.761B,1.210B,94.79M,1.305B,437.77M,,6.924M,,227.41M,4.860B,5.832B,600.02M,425.27M,1.458B,,21.44M,,2.484B
2011-03,3.343M,5.996M,9.339M,204.43M,,226.89M,220.64M,16.07M,,20.14M,82.82M,575.90M,,,,,6.381B,,,142.17M,1.064B,7.587B,8.163B,178.87M,,68.26M,247.13M,95.05M,342.18M,,,332.20M,332.20M,332.20M,189.68M,864.06M,127.78M,2.764B,,2.764B,1.215B,96.17M,1.311B,454.88M,0.00,5.563M,,204.83M,4.863B,5.727B,589.38M,418.23M,1.423B,,21.44M,,2.430B
2010-12,0.928M,13.00M,13.93M,227.70M,,244.38M,206.87M,12.41M,,30.25M,93.77M,601.61M,78.10M,392.70M,10.07B,-3.762B,6.309B,,,126.99M,253.98M,7.478B,8.080B,187.95M,,45.53M,233.49M,77.77M,311.26M,,,,256.92M,256.92M,214.67M,782.85M,126.00M,2.769B,,2.769B,1.204B,,1.204B,483.77M,,6.07M,,70.35M,4.886B,5.669B,582.08M,423.65M,1.399B,,21.44M,,2.404B
2010-09,4.472M,21.08M,25.56M,260.40M,,260.40M,201.64M,11.81M,,7.458M,78.90M,585.77M,,,,,5.853B,,,129.57M,1.300B,7.283B,7.869B,138.38M,,71.66M,210.04M,66.33M,276.37M,,,,193.53M,193.53M,163.80M,633.70M,,2.770B,8.246M,2.779B,1.166B,98.92M,1.265B,414.49M,0.185M,4.682M,,369.31M,4.828B,5.461B,575.61M,453.89M,1.373B,,21.44M,,2.403B
2010-06,3.323M,30.10M,33.43M,272.72M,,272.72M,203.48M,12.76M,,7.402M,92.32M,622.11M,,,,,5.780B,,,120.19M,1.297B,7.197B,7.819B,172.00M,,53.21M,225.20M,47.25M,272.45M,,,,270.56M,270.56M,168.31M,711.32M,,2.789B,8.775M,2.797B,1.119B,100.29M,1.219B,419.94M,0.308M,3.563M,,350.51M,4.787B,5.499B,574.80M,374.21M,1.368B,,21.44M,,2.317B
2010-03,2.843M,55.72M,58.56M,195.11M,,249.16M,195.70M,13.99M,,5.686M,106.16M,629.26M,,,,,5.711B,,,125.58M,1.347B,7.184B,7.813B,130.09M,,67.08M,197.17M,98.98M,296.15M,,,,239.16M,239.16M,197.62M,732.92M,,2.791B,8.96M,2.800B,1.107B,101.66M,1.209B,427.36M,0.38M,2.971M,,348.06M,4.785B,5.518B,573.77M,355.91M,1.363B,,21.44M,,2.292B
2009-12,3.86M,33.16M,37.02M,216.19M,,261.39M,193.83M,11.83M,,7.927M,117.49M,629.48M,8.928B,214.70M,9.143B,-3.371B,5.772B,,,122.92M,1.001B,6.896B,7.525B,112.21M,,46.93M,159.14M,76.96M,236.10M,,,,244.10M,244.10M,202.28M,682.48M,,2.491B,109.30M,2.600B,1.092B,108.53M,1.201B,433.56M,,0.00,,341.86M,4.576B,5.259B,566.80M,360.20M,1.340B,,21.44M,,2.267B
2009-09,3.748M,59.28M,63.02M,213.43M,,278.88M,200.21M,11.16M,,13.38M,90.96M,657.61M,,,,,5.748B,,,117.82M,1.048B,6.914B,7.572B,117.97M,,67.66M,185.63M,65.76M,251.39M,,,,168.56M,168.56M,238.00M,657.94M,,2.491B,108.93M,2.600B,1.104B,109.90M,1.214B,471.19M,1.783M,,,343.10M,4.630B,5.288B,565.92M,382.16M,1.336B,,21.44M,,2.284B
2009-06,4.941M,106.19M,111.13M,240.48M,,305.80M,206.90M,11.68M,,15.61M,89.14M,740.27M,,,,,5.709B,,,104.48M,1.047B,6.860B,7.600B,151.53M,,49.56M,201.09M,48.38M,249.47M,,,,209.09M,209.09M,271.86M,730.42M,,2.491B,108.40M,2.600B,1.093B,111.28M,1.205B,510.19M,3.186M,,,320.43M,4.638B,5.369B,565.05M,334.31M,1.332B,,21.44M,,2.232B
2009-03,19.45M,77.96M,97.41M,179.91M,,244.25M,207.97M,23.40M,,16.49M,98.00M,687.51M,,,,,5.620B,,,92.54M,1.032B,6.744B,7.432B,176.19M,,63.94M,240.13M,39.54M,279.66M,,,,404.88M,404.88M,205.50M,890.04M,,2.192B,109.14M,2.301B,1.078B,112.65M,1.190B,523.25M,2.104M,,,302.10M,4.319B,5.209B,563.97M,329.17M,1.329B,,21.44M,,2.223B
2008-12,22.91M,131.65M,154.56M,199.12M,,235.58M,204.30M,33.42M,,16.42M,98.86M,743.13M,8.049B,733.82M,8.783B,-3.249B,5.534B,,,111.16M,1.055B,6.700B,7.443B,195.68M,,44.01M,239.69M,42.14M,281.83M,,,,321.27M,321.27M,269.31M,872.41M,,2.193B,117.91M,2.310B,1.064B,114.03M,1.178B,526.18M,,,,,4.015B,5.236B,562.99M,318.20M,1.326B,,21.44M,,2.208B
2008-09,4.299M,,4.299M,227.75M,,227.75M,198.39M,,,,282.35M,712.78M,,,8.486B,-3.143B,5.343B,,,,922.19M,6.265B,6.978B,188.57M,,,188.57M,359.14M,547.71M,,,,436.72M,436.72M,,984.43M,,1.895B,118.55M,2.014B,1.017B,,57.64M,,,,,,2.071B,4.765B,562.37M,327.84M,1.323B,,21.44M,,2.213B
2008-06,8.998M,,8.998M,247.22M,,247.22M,211.61M,,,,480.96M,948.79M,,,8.260B,-3.143B,5.118B,,,,997.77M,6.115B,7.064B,242.25M,,,242.25M,487.43M,729.67M,,,,180.46M,180.46M,,910.13M,,2.041B,116.66M,2.157B,1.014B,,58.30M,,,,,,2.216B,4.911B,561.67M,271.55M,1.320B,,21.44M,,2.153B
2008-03,6.964M,,6.964M,182.64M,,182.64M,207.73M,,,,344.40M,741.74M,,,8.074B,-3.143B,4.931B,,,,908.02M,5.839B,6.581B,220.72M,,,220.72M,344.06M,564.77M,,,,323.75M,323.75M,,888.52M,,1.891B,116.06M,2.007B,954.24M,,58.96M,,,,,,2.066B,4.645B,510.25M,296.77M,1.129B,,21.44M,,1.936B
2007-12,5.753M,,5.753M,195.78M,,195.78M,192.53M,,,,273.61M,667.68M,7.315B,630.78M,7.946B,-3.143B,4.804B,,,,924.08M,5.728B,6.395B,278.30M,,,278.30M,285.91M,564.20M,,,,180.56M,180.56M,,744.76M,,1.890B,123.85M,2.014B,956.91M,,59.62M,,,,,,2.073B,4.547B,498.75M,264.48M,1.085B,,21.44M,0.152M,1.848B
2007-09,8.047M,,8.047M,241.83M,,241.83M,180.43M,,,,220.23M,650.54M,,,7.481B,-2.979B,4.501B,,,,811.25M,5.313B,5.963B,190.51M,,,190.51M,322.13M,512.63M,,,,174.00M,174.00M,,686.63M,,1.713B,123.77M,1.837B,885.53M,,59.93M,,,,,,1.897B,4.198B,479.62M,276.29M,1.010B,,21.44M,0.094M,1.766B
2007-06,6.109M,,6.109M,220.30M,,220.30M,172.24M,,,,242.86M,641.51M,,,7.377B,-2.979B,4.398B,,,,819.58M,5.217B,5.859B,157.41M,,,157.41M,354.32M,511.74M,,,,170.00M,170.00M,,681.74M,,1.713B,123.22M,1.837B,885.61M,,60.07M,,,,,,1.897B,4.183B,475.13M,209.91M,991.18M,,21.44M,0.102M,1.676B
2007-03,7.434M,,7.434M,169.37M,,169.37M,157.82M,,,,172.00M,506.62M,,,7.115B,-2.979B,4.136B,,,,816.94M,4.953B,5.460B,142.50M,,,142.50M,250.10M,392.60M,,,,239.00M,239.00M,,631.60M,,1.563B,,1.563B,921.54M,,60.87M,,,,,,1.624B,3.878B,458.96M,202.18M,920.24M,,21.44M,0.082M,1.581B
2006-12,18.20M,,18.20M,179.86M,,179.86M,147.93M,,,,190.74M,536.72M,6.908B,142.35M,7.051B,-2.979B,4.072B,,,,846.85M,4.918B,5.455B,150.42M,,,150.42M,352.75M,503.18M,,,,160.00M,160.00M,,663.18M,,1.563B,,1.563B,967.98M,,61.67M,,,,,,1.625B,3.894B,458.41M,185.78M,916.60M,,21.44M,0.101M,1.561B
2006-09,9.071M,,9.071M,195.72M,,195.72M,136.57M,,,,173.98M,515.34M,,,6.848B,-2.881B,3.968B,,,,663.54M,4.631B,5.146B,127.93M,,,127.93M,307.45M,435.38M,,,,87.00M,87.00M,,522.38M,,1.563B,,1.563B,945.68M,,60.46M,,,,,,1.624B,3.622B,457.73M,195.15M,912.83M,,21.44M,-41.01M,1.525B
