,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2013-06,69.45M,,,1.925M,1.925M,73.37M,73.37M,73.37M,23.02M,-1.374M,,-0.197M,-2.327M,-12.96M,-0.40M,-5.245M,-68.29M,3.211M,-51.37M,8.856M,-126.20M,,37.68M,-217.01M,,-217.01M,0.00,18.94M,-2.602M,-200.68M,-64.67M,266.94M,202.27M,1.446M,,1.446M,,,-40.92M,-40.92M,-1.461M,161.33M,5.643M,-1.67M,,3.973M,1.446M,57.58M,-122.25M,,,
2013-03,53.26M,,,2.221M,2.221M,69.70M,69.70M,69.70M,22.39M,-1.374M,,-0.202M,0.776M,-2.313M,12.18M,7.641M,59.64M,-31.26M,-7.251M,8.224M,46.87M,,193.63M,-181.99M,,-181.99M,0.00,80.23M,1.116M,-100.64M,141.35M,-196.32M,-54.96M,1.546M,,1.546M,,,-39.96M,-39.96M,0.202M,-93.18M,5.829M,-0.186M,,5.643M,1.546M,246.18M,-104.82M,,,
2012-12,47.70M,,,1.773M,1.773M,73.54M,73.54M,73.54M,19.52M,-1.374M,,-0.07M,9.12M,43.15M,0.407M,-18.31M,-40.85M,14.08M,-16.77M,13.25M,-5.047M,,145.15M,-211.78M,,-211.78M,-2.119M,17.05M,0.832M,-196.02M,-34.20M,124.44M,90.24M,1.648M,,1.648M,0.00,0.00,-39.60M,-39.60M,0.027M,52.32M,4.379M,1.45M,,5.829M,1.648M,3.312M,-37.51M,0.00,,
2012-09,141.07M,,,1.744M,1.744M,72.69M,72.69M,72.69M,73.14M,-1.373M,,-0.13M,3.823M,10.32M,7.196M,-2.688M,26.09M,39.04M,-26.51M,6.366M,59.81M,,350.78M,-180.81M,,-180.81M,-2.045M,-0.165M,1.494M,-181.52M,0.219M,-133.65M,-133.43M,1.651M,,1.651M,0.00,0.00,-39.88M,-39.88M,0.13M,-171.53M,6.654M,-2.275M,,4.379M,1.651M,1.062M,-0.843M,0.00,,
2012-06,64.46M,,,1.71M,1.71M,73.95M,73.95M,73.95M,29.63M,-1.374M,,-0.117M,0.708M,-79.66M,-1.536M,24.76M,-21.06M,0.543M,-54.05M,1.249M,-129.75M,,39.22M,-227.65M,,-227.65M,-2.003M,-17.65M,1.516M,-245.79M,203.62M,66.74M,270.36M,1.886M,,1.886M,-22.57M,-22.57M,-39.83M,-39.83M,-0.348M,209.50M,3.726M,2.928M,,6.654M,1.886M,357.06M,-153.44M,-22.57M,,
2012-03,29.24M,,,2.028M,2.028M,74.66M,74.66M,74.66M,3.958M,-1.374M,,-1.381M,3.435M,28.60M,-25.29M,-7.395M,28.59M,-40.64M,-7.843M,-22.62M,-46.60M,,63.96M,-189.97M,,-189.97M,-2.502M,17.04M,1.43M,-174.00M,153.33M,-4.633M,148.70M,1.811M,,1.811M,,,-38.88M,-38.88M,-1.406M,110.22M,3.539M,0.187M,,3.726M,1.811M,247.73M,-94.40M,,,
2011-12,21.31M,0.00,,1.588M,22.67M,79.51M,79.51M,79.51M,11.59M,-20.51M,,0.006M,47.58M,25.63M,-19.65M,-13.68M,-2.573M,,-1.355M,,-37.23M,,124.92M,-184.78M,,-184.78M,,3.031M,0.917M,-182.77M,-0.332M,-105.69M,-106.02M,198.43M,,198.43M,,,,-35.61M,-0.007M,56.80M,4.593M,-1.054M,,3.539M,198.43M,1.709M,-2.041M,,,
2011-09,136.39M,-7.246M,,1.945M,-26.80M,79.70M,79.70M,79.70M,73.48M,5.723M,,-0.459M,-2.50M,16.98M,14.84M,-7.851M,-2.972M,,-20.21M,,0.789M,,266.33M,-167.12M,,-167.12M,,5.842M,1.737M,-159.55M,-18.12M,-82.32M,-100.44M,27.29M,,27.29M,,,,-34.78M,0.459M,-107.47M,5.282M,-0.689M,,4.593M,27.29M,0.978M,-19.10M,,,
2011-06,45.52M,,,2.688M,2.65M,71.22M,71.22M,71.22M,10.36M,4.359M,,-0.098M,-2.276M,-64.59M,-3.098M,-34.25M,12.23M,,-65.95M,,-155.66M,,-23.93M,-189.60M,,-189.60M,,-19.31M,1.789M,-207.13M,60.69M,163.45M,224.14M,43.43M,,43.43M,,,,-34.64M,0.062M,232.99M,3.343M,1.939M,,5.282M,43.43M,63.81M,-3.127M,,,
2011-03,32.96M,,,2.201M,2.656M,76.05M,76.05M,76.05M,16.29M,4.934M,,-0.629M,-44.74M,20.34M,-13.58M,5.64M,14.96M,,-19.49M,,7.866M,,95.38M,-155.94M,,-155.94M,,-0.439M,4.311M,-152.07M,-10.86M,78.64M,67.78M,25.79M,,25.79M,,,,-33.21M,-1.251M,59.11M,0.928M,2.415M,,3.343M,25.79M,1.062M,-11.92M,,,
2010-12,6.55M,,,,12.32M,75.41M,75.41M,75.41M,16.04M,-16.66M,,-0.115M,26.16M,32.77M,-4.968M,-15.37M,-25.33M,,3.435M,,-12.37M,,107.34M,-170.33M,,-170.33M,,-0.298M,3.776M,-167.13M,-1.12M,63.66M,62.54M,26.35M,,26.35M,,,,-32.76M,0.116M,56.25M,4.472M,-3.544M,,0.928M,26.35M,1.848M,-2.968M,,,
2010-09,115.86M,,,,-0.142M,74.74M,74.74M,74.74M,47.91M,4.565M,,-0.115M,4.872M,12.33M,1.961M,13.44M,-20.89M,,7.013M,,13.86M,,261.55M,-132.10M,,-132.10M,,0.309M,-1.365M,-133.16M,-17.93M,-77.72M,-95.65M,1.011M,,1.011M,,,,-32.72M,0.115M,-127.24M,3.323M,1.149M,,4.472M,1.011M,0.977M,-18.91M,,,
2010-06,86.21M,,,,-0.624M,73.86M,73.86M,73.86M,35.71M,2.134M,,-0.134M,-45.66M,-77.60M,-7.586M,13.66M,82.73M,,-75.84M,,-64.64M,,86.85M,-134.37M,,-134.37M,,-17.48M,-1.085M,-152.94M,66.70M,31.60M,98.30M,1.384M,,1.384M,,,,-32.62M,-0.494M,66.57M,2.843M,0.48M,,3.323M,1.384M,70.34M,-3.646M,,,
2010-03,,,,,-0.181M,73.01M,73.01M,73.01M,20.52M,4.466M,,-0.277M,32.18M,21.07M,-1.673M,-3.26M,21.38M,,-15.27M,,22.25M,,151.97M,-103.27M,,-103.27M,,-0.238M,0.69M,-102.82M,-10.23M,-33.60M,-43.83M,25.90M,,25.90M,,,,-31.05M,-1.189M,-50.16M,3.86M,-1.017M,,2.843M,25.90M,0.965M,-11.19M,,,
2009-12,10.62M,,,,,,81.15M,81.15M,-13.22M,-7.814M,-3.933M,-0.089M,-16.91M,-2.842M,6.375M,-3.593M,26.10M,,-60.94M,46.98M,12.09M,,70.86M,-94.86M,,-94.86M,,-1.436M,1.563M,-117.48M,0.825M,75.53M,76.35M,1.308M,,1.308M,,,,-31.02M,0.089M,46.73M,3.748M,-22.64M,,3.86M,1.308M,51.77M,-43.28M,,,
2009-09,81.14M,,,,,,64.52M,64.52M,27.62M,8.343M,1.213M,-0.09M,22.21M,27.04M,6.698M,-6.701M,0.397M,,6.645M,-46.98M,-12.90M,,192.06M,-122.01M,,-122.01M,,-0.377M,0.057M,-122.33M,-145.65M,104.53M,-41.12M,1.098M,,1.098M,,,,-30.99M,0.09M,-70.92M,4.941M,-1.193M,,3.748M,1.098M,0.983M,-42.10M,,,
2009-06,38.38M,,,,,,63.81M,63.81M,17.06M,7.302M,1.198M,-0.096M,-10.82M,-60.57M,1.066M,9.527M,-9.094M,,55.08M,,-3.991M,,112.85M,-186.86M,,-186.86M,,-18.16M,0.566M,-204.46M,302.65M,-195.80M,106.85M,1.263M,,1.263M,,,,-31.12M,0.096M,77.10M,19.45M,-14.51M,,4.941M,1.263M,220.46M,-113.61M,,,
2009-03,11.19M,,,,,,58.21M,58.21M,14.99M,8.79M,1.522M,-0.173M,-7.819M,19.21M,-3.673M,-9.868M,-2.029M,,12.79M,,16.42M,,103.13M,-151.90M,,-151.90M,,0.259M,0.734M,-150.91M,-10.56M,83.60M,73.04M,0.918M,,0.918M,,,,-29.81M,0.173M,44.32M,22.91M,-3.464M,,19.45M,0.918M,84.59M,-11.56M,,,
2008-12,22.87M,,,,,,53.27M,53.27M,9.696M,13.42M,1.091M,-0.091M,19.04M,28.63M,-5.905M,-5.114M,-78.56M,,16.44M,,-44.50M,,73.75M,-209.16M,,-204.87M,,37.68M,-12.47M,-179.66M,269.00M,-115.47M,153.54M,0.909M,,0.909M,,,,-30.01M,0.091M,124.52M,4.299M,18.62M,,22.91M,0.909M,235.55M,-82.02M,,,
2008-09,88.29M,,,,,,51.97M,51.97M,-2.377M,3.959M,1.034M,-0.092M,-19.41M,19.48M,13.22M,22.02M,33.71M,,-8.492M,,79.93M,,203.30M,-289.91M,,-289.91M,,1.114M,0.086M,-288.71M,-2.328M,111.17M,108.84M,0.879M,,0.879M,,,,-29.10M,0.092M,80.72M,8.998M,-4.699M,,4.299M,0.879M,159.76M,-50.93M,,,
2008-06,5.845M,,,,,,49.60M,49.60M,8.872M,4.137M,1.053M,-0.128M,-32.62M,-64.58M,-3.879M,-55.04M,36.55M,,37.33M,,-49.61M,,-12.85M,-236.97M,,-236.97M,,-18.84M,1.202M,-254.61M,208.01M,-150.18M,57.82M,239.42M,,239.42M,,,,-27.02M,0.128M,270.35M,6.109M,2.889M,,8.998M,239.42M,61.19M,-3.37M,,,
2008-03,61.14M,,,,,,48.90M,48.90M,19.07M,6.374M,1.518M,-0.25M,-20.76M,13.14M,-15.20M,-14.49M,-37.74M,,-51.01M,,-105.29M,,10.70M,-182.91M,,-182.91M,,-0.344M,-0.207M,-183.46M,-5.476M,149.38M,143.91M,52.42M,,52.42M,,,,-23.46M,0.25M,173.12M,5.753M,0.356M,,6.109M,52.42M,152.46M,-8.551M,,,
2007-12,13.76M,,,,,,,56.97M,43.90M,,,,0.485M,46.05M,-12.10M,,35.24M,-17.38M,-12.26M,-117.05M,-77.50M,,37.63M,-292.96M,,-292.96M,,-0.65M,2.628M,-290.99M,,,183.33M,91.12M,,91.12M,,,,-23.50M,0.112M,251.06M,8.047M,-2.294M,,5.753M,91.12M,,,,0.07M,6.546M
2007-09,91.71M,,,,,,,67.07M,-1.26M,,,,-5.235M,-21.54M,-8.188M,,20.88M,-19.61M,-11.01M,33.95M,-5.512M,,146.77M,-146.61M,,-146.61M,,-0.422M,2.077M,-144.95M,,,2.888M,20.27M,,20.27M,,,,-23.14M,0.103M,0.119M,6.109M,1.938M,,8.047M,20.27M,,,,33.88M,36.10M
2007-06,32.71M,,,,,,,40.23M,-24.11M,,,,6.148M,-50.92M,-14.43M,,18.35M,-43.67M,16.03M,21.92M,-52.72M,,2.255M,-202.40M,,-202.40M,,0.095M,4.716M,-197.59M,,,132.31M,83.54M,,83.54M,,,,-22.39M,0.559M,194.01M,7.434M,-1.325M,,6.109M,83.54M,,,,32.52M,6.795M
2007-03,30.18M,,,,,,,53.54M,-4.449M,,,,7.576M,10.49M,-9.885M,,-14.99M,8.455M,-42.95M,22.19M,-26.68M,,60.16M,-106.18M,,-106.18M,,-0.676M,-21.67M,-128.52M,,,77.26M,0.50M,,0.50M,,,,-20.45M,0.284M,57.60M,18.20M,-10.76M,,7.434M,0.50M,,,,8.50M,34.85M
2006-12,13.07M,,,,-0.57M,,,35.90M,-6.202M,,,,13.47M,15.86M,-11.36M,,13.18M,-10.77M,34.99M,1.779M,43.68M,,99.34M,-144.49M,,-142.80M,,-0.726M,14.24M,-129.29M,,,59.02M,0.618M,,0.618M,,,,-20.76M,0.199M,39.07M,9.071M,9.125M,,18.20M,0.618M,,,,10.78M,7.037M
2006-09,90.03M,,,,5.607M,,,57.38M,16.26M,,,,-8.657M,7.885M,-1.896M,,1.749M,52.99M,-30.83M,-3.339M,26.56M,-1.232M,185.95M,-59.84M,,-59.84M,,-1.074M,6.396M,-54.52M,,,-112.11M,0.549M,,0.549M,,,,-20.94M,0.13M,-132.37M,10.00M,-0.934M,,9.071M,0.549M,,,,22.18M,36.17M
