,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,571.00M,,571.00M,446.20M,29.30M,475.50M,91.30M,11.60M,179.50M,,282.40M,,,58.00M,1.387B,,,,,,,,,,192.60M,2.682B,422.20M,3.104B,35.30M,139.20M,3.471B,4.858B,,159.00M,,159.00M,16.20M,175.20M,0.40M,0.40M,319.20M,319.20M,,85.00M,717.00M,1.286B,,1.286B,40.50M,37.00M,77.50M,,0.20M,182.50M,1.624B,2.341B,,0.20M,1.154B,1.524B,,,-161.20M,2.517B,,AOR,Restated
2018-03,274.50M,,274.50M,475.70M,33.40M,509.10M,91.00M,11.70M,186.40M,,289.10M,,,51.90M,1.125B,,,,,,,,,,184.30M,2.726B,465.40M,3.192B,35.60M,136.60M,3.548B,4.674B,,157.40M,,157.40M,18.90M,176.30M,430.50M,430.50M,324.20M,324.20M,,110.00M,1.147B,691.80M,,691.80M,49.80M,36.20M,86.00M,,0.20M,168.80M,1.027B,2.174B,,0.20M,1.104B,1.497B,,,-101.10M,2.500B,,AOR,Restated
2017-12,358.50M,178.90M,537.40M,427.70M,42.80M,470.50M,85.20M,12.40M,167.00M,,264.60M,,,39.20M,1.312B,0.00,10.00M,60.90M,284.30M,,32.90M,36.60M,424.70M,-250.70M,174.00M,2.287B,364.80M,2.652B,35.00M,143.70M,3.005B,4.316B,,146.00M,,146.00M,18.30M,164.30M,128.40M,128.40M,237.60M,237.60M,,99.20M,773.40M,785.50M,,785.50M,47.80M,39.00M,117.00M,19.60M,0.00,112.20M,1.128B,1.902B,,0.20M,1.085B,1.461B,,,-131.40M,2.414B,,AOR,Restated
2017-09,255.00M,154.20M,409.20M,407.20M,35.40M,442.60M,83.30M,13.50M,157.90M,,254.70M,,,55.40M,1.162B,,,,,,,,,,160.50M,2.289B,405.80M,2.695B,,163.20M,3.019B,4.181B,,146.20M,,146.20M,17.80M,164.00M,135.40M,135.40M,285.40M,285.40M,,106.90M,808.40M,560.40M,,560.40M,45.20M,41.30M,86.50M,,-0.10M,168.00M,814.90M,1.623B,,0.30M,1.236B,1.452B,,,-130.80M,2.558B,,AOR,Restated
2017-06,384.90M,101.20M,486.10M,395.30M,26.50M,421.80M,72.50M,9.60M,141.20M,,223.30M,,,51.90M,1.183B,,,,,,,,,,145.60M,2.184B,363.50M,2.547B,,162.40M,2.855B,4.038B,,136.90M,,136.90M,17.50M,154.40M,147.30M,147.30M,301.70M,301.70M,,106.40M,826.80M,465.00M,,465.00M,41.70M,39.30M,81.00M,,-0.10M,147.80M,693.80M,1.521B,,0.30M,1.252B,1.426B,,,-160.00M,2.518B,,AOR,Restated
2017-03,280.80M,141.80M,422.60M,394.70M,30.50M,425.20M,74.10M,9.70M,137.30M,,221.10M,,,46.60M,1.116B,,,,,,,,,,142.80M,2.129B,361.60M,2.490B,,148.90M,2.782B,3.897B,,115.90M,,115.90M,17.40M,133.30M,138.30M,138.30M,299.30M,299.30M,,102.60M,759.30M,509.80M,,509.80M,39.20M,37.70M,76.90M,,-0.10M,130.50M,717.20M,1.476B,,0.30M,1.216B,1.399B,,,-194.80M,2.421B,,AOR,Restated
2016-12,216.10M,111.10M,327.20M,354.80M,35.40M,390.20M,77.90M,6.80M,134.10M,,218.80M,,,42.50M,978.70M,0.00,8.30M,47.90M,259.00M,,10.80M,32.10M,358.10M,-213.90M,144.20M,2.078B,333.30M,2.411B,,140.00M,2.695B,3.674B,,109.80M,,109.80M,17.20M,127.00M,130.30M,130.30M,246.50M,246.50M,,86.90M,688.20M,489.60M,,489.60M,38.80M,37.70M,102.40M,13.10M,-0.10M,74.80M,679.90M,1.368B,,0.30M,1.177B,1.348B,,,-219.90M,2.306B,,AOR,Restated
2016-09,213.50M,62.10M,275.60M,369.20M,35.40M,404.60M,81.80M,7.80M,134.70M,,224.30M,,,53.40M,957.90M,,,,,,,,,,149.40M,2.111B,371.10M,2.482B,,141.90M,2.774B,3.731B,,102.00M,,102.00M,18.10M,120.10M,145.30M,145.30M,259.10M,259.10M,,82.70M,694.00M,524.50M,,524.50M,45.40M,35.20M,80.60M,,-0.20M,112.60M,717.70M,1.412B,,1.316B,1.159B,,,,-155.20M,2.320B,,AOR,Restated
2016-06,231.90M,,231.90M,377.50M,36.10M,413.60M,93.30M,7.70M,140.70M,,241.70M,,,49.60M,936.80M,,,,,,,,,,152.00M,2.108B,408.90M,2.517B,,146.00M,2.815B,3.752B,,106.70M,,106.70M,17.80M,124.50M,130.30M,130.30M,280.50M,280.50M,,84.40M,721.00M,594.70M,,594.70M,48.10M,34.70M,82.80M,,-0.10M,108.40M,785.90M,1.507B,,1.276B,1.128B,,,,-159.70M,2.245B,,AOR,Restated
2016-03,174.70M,,174.70M,377.80M,15.30M,393.10M,96.80M,6.80M,151.90M,,255.50M,,,49.30M,872.60M,,,,,,,,,,155.40M,2.128B,452.50M,2.581B,,141.00M,2.877B,3.750B,,112.60M,,112.60M,17.90M,130.50M,135.30M,135.30M,287.20M,287.20M,,87.20M,726.80M,539.60M,,539.60M,53.50M,32.30M,85.80M,,0.80M,111.00M,736.40M,1.463B,,1.267B,1.157B,,,,-138.70M,2.286B,,AOR,Restated
2015-12,116.00M,0.00,116.00M,361.90M,14.90M,376.80M,107.50M,5.90M,147.70M,,261.10M,,,44.50M,798.40M,0.00,8.20M,48.10M,254.70M,,13.50M,30.40M,354.90M,-195.70M,159.20M,2.106B,487.10M,2.594B,,129.60M,2.882B,3.681B,,99.80M,,99.80M,18.50M,118.30M,118.30M,118.30M,234.60M,234.60M,,90.80M,660.90M,611.40M,,611.40M,51.70M,29.60M,105.40M,13.50M,0.90M,68.90M,799.20M,1.460B,,0.30M,1.148B,1.238B,,,-166.80M,2.220B,,AOR,Restated
2015-09,123.60M,,123.60M,344.50M,15.40M,359.90M,94.90M,6.90M,169.60M,,271.40M,,51.90M,46.20M,853.00M,,,,,,,,,,162.00M,2.084B,502.10M,2.586B,,119.10M,2.867B,3.720B,,97.20M,,97.20M,19.10M,116.30M,150.30M,150.30M,243.00M,243.00M,,95.20M,687.50M,609.10M,,609.10M,93.80M,32.00M,125.80M,,1.00M,94.30M,829.20M,1.517B,,1.216B,1.133B,,,,-147.00M,2.202B,,AOR,Restated
2015-06,129.00M,,129.00M,355.50M,26.00M,381.50M,101.50M,6.10M,173.20M,,280.80M,,48.20M,45.60M,885.10M,,,,,,,,,,161.70M,2.087B,525.50M,2.613B,,120.50M,2.895B,3.780B,,109.60M,,109.60M,19.10M,128.70M,124.20M,124.20M,258.10M,258.10M,,89.40M,696.60M,515.40M,,515.40M,104.30M,28.50M,132.80M,,1.10M,96.20M,744.40M,1.441B,,1.236B,1.211B,,,,-108.60M,2.338B,,AOR,Restated
2015-03,145.70M,,145.70M,383.00M,20.40M,403.40M,98.70M,5.20M,172.10M,,276.00M,,47.10M,44.80M,917.00M,,,,,,,,,,155.20M,2.059B,546.20M,2.606B,,119.90M,2.881B,3.798B,,114.00M,,114.00M,19.00M,133.00M,133.10M,133.10M,255.40M,255.40M,,95.70M,698.30M,530.30M,,530.30M,110.80M,27.00M,137.80M,,1.20M,90.70M,758.80M,1.457B,,1.233B,1.234B,,,,-128.40M,2.339B,,AOR,Restated
2014-12,148.00M,,148.00M,362.00M,29.50M,391.50M,116.80M,4.80M,156.50M,,278.10M,,45.60M,39.10M,902.30M,0.00,5.00M,48.50M,229.40M,,24.70M,26.60M,334.20M,-176.80M,157.40M,2.086B,594.50M,2.680B,,115.90M,2.954B,3.856B,,103.80M,,103.80M,20.60M,124.40M,64.40M,64.40M,211.60M,211.60M,,89.00M,588.30M,671.00M,,671.00M,121.10M,26.30M,170.50M,13.40M,11.80M,59.30M,914.20M,1.502B,,1.207B,1.211B,,,,-76.70M,2.342B,,AOR,Restated
2014-09,139.48M,,139.48M,358.50M,29.79M,388.30M,110.38M,7.089M,160.56M,,278.03M,,64.58M,45.66M,916.04M,,,,,,,,,,153.82M,2.052B,571.92M,2.623B,,126.03M,2.903B,3.819B,,104.76M,,104.76M,20.42M,125.18M,69.02M,69.02M,205.71M,205.71M,,136.37M,624.27M,577.72M,,577.72M,134.18M,25.27M,159.45M,,11.80M,94.27M,831.44M,1.456B,,1.197B,1.184B,,,,-29.51M,2.352B,,AOR,Restated
2014-06,278.92M,,278.92M,379.81M,24.78M,404.59M,105.37M,7.795M,161.20M,,274.37M,,42.16M,41.67M,1.042B,,,,,,,,,,155.58M,1.998B,553.41M,2.551B,,118.76M,2.826B,3.867B,,110.07M,,110.07M,18.84M,128.91M,60.71M,60.71M,207.19M,207.19M,,74.43M,571.59M,595.16M,,595.16M,132.77M,26.97M,159.74M,,11.73M,89.95M,844.85M,1.416B,,1.180B,1.228B,,,,30.85M,2.439B,,AOR,Restated
2014-03,165.23M,,165.23M,397.74M,21.50M,419.24M,93.08M,7.444M,166.17M,,266.70M,,40.19M,39.51M,930.87M,,,,,,,,,,149.61M,1.990B,583.08M,2.574B,,123.57M,2.847B,3.778B,,120.15M,,120.15M,18.14M,138.28M,52.05M,52.05M,207.50M,207.50M,,82.13M,562.97M,612.60M,,612.60M,138.96M,23.13M,162.09M,,11.54M,86.37M,861.06M,1.424B,,1.160B,1.150B,,,,31.80M,2.342B,,AOR,Restated
2013-12,147.23M,,147.23M,337.93M,23.14M,361.08M,94.99M,6.871M,152.45M,,254.31M,,38.60M,35.81M,837.02M,0.00,5.113M,46.45M,203.52M,,29.22M,22.81M,307.11M,-164.14M,142.98M,1.989B,619.40M,2.609B,,111.98M,2.864B,3.701B,,112.52M,,112.52M,17.78M,130.30M,106.40M,106.40M,159.30M,159.30M,,85.12M,576.99M,652.06M,,652.06M,136.40M,20.43M,176.90M,12.29M,13.08M,48.62M,889.87M,1.467B,,1.106B,1.082B,,,,33.19M,2.221B,,AOR,Restated
2013-09,115.26M,,115.26M,361.56M,13.44M,375.00M,79.15M,6.543M,155.81M,,241.51M,6.696M,44.58M,45.45M,828.49M,,,,,,,,,,136.16M,1.939B,621.68M,2.561B,,109.98M,2.807B,3.635B,,105.81M,,105.81M,17.46M,123.26M,105.20M,105.20M,174.41M,174.41M,,78.34M,569.04M,703.86M,,703.86M,135.49M,16.54M,152.04M,,13.33M,70.08M,925.98M,1.495B,,1.078B,1.025B,,,,23.94M,2.127B,,AOR,Restated
2013-06,129.07M,,129.07M,356.26M,20.16M,376.43M,92.34M,5.732M,160.63M,,258.71M,,41.86M,40.57M,846.64M,,,,,,,,,,123.80M,1.912B,648.61M,2.560B,,103.14M,2.787B,3.634B,,108.86M,,108.86M,16.92M,125.78M,109.56M,109.56M,189.92M,189.92M,,74.55M,581.75M,789.63M,,789.63M,141.06M,13.21M,154.26M,,17.42M,66.83M,1.011B,1.592B,,1.058B,970.66M,,,,-4.711M,2.024B,,AOR,Restated
2013-03,143.55M,,143.55M,388.85M,14.17M,403.02M,98.00M,6.117M,156.48M,,260.60M,,43.20M,39.59M,889.95M,,,,,,,,,,105.60M,1.838B,636.70M,2.475B,,95.54M,2.676B,3.566B,,120.84M,,120.84M,17.48M,138.31M,91.12M,91.12M,187.55M,187.55M,,63.85M,556.45M,829.32M,,829.32M,136.31M,10.93M,147.24M,,16.08M,66.84M,1.043B,1.600B,,1.037B,916.16M,,,,-3.144M,1.950B,,AOR,Restated
2012-12,157.77M,,157.77M,323.48M,17.33M,340.80M,89.02M,6.658M,144.86M,,240.53M,,43.47M,33.40M,815.97M,0.00,1.544M,8.967M,170.55M,,36.45M,22.03M,239.54M,-142.66M,96.89M,1.816B,644.42M,2.460B,,96.12M,2.653B,3.469B,,124.53M,,124.53M,17.07M,141.60M,38.09M,38.09M,138.92M,138.92M,,64.00M,468.67M,873.07M,,873.07M,148.26M,7.262M,173.71M,11.08M,16.07M,29.06M,1.087B,1.556B,,1.007B,868.03M,,,,22.61M,1.897B,,AOR,Restated
2012-09,141.84M,,141.84M,320.90M,13.37M,334.28M,77.91M,7.939M,148.46M,,234.30M,,43.04M,24.57M,778.02M,,,,,,,,,,81.65M,1.552B,510.99M,2.063B,,98.94M,2.243B,3.021B,,107.72M,,107.72M,16.08M,123.80M,89.91M,89.91M,127.60M,127.60M,,61.42M,485.07M,553.20M,,553.20M,99.41M,6.346M,105.76M,,16.42M,52.42M,711.37M,1.196B,,965.04M,836.90M,,,,6.692M,1.809B,,AOR,Restated
2012-06,121.94M,,121.94M,317.28M,14.12M,331.40M,80.42M,8.636M,138.90M,,227.95M,,44.69M,25.47M,751.44M,,,,,,,,,,73.60M,1.522B,526.86M,2.049B,,98.58M,2.222B,2.973B,,103.50M,,103.50M,16.72M,120.22M,80.18M,80.18M,134.32M,134.32M,,48.08M,459.66M,617.18M,,617.18M,107.57M,17.38M,124.95M,,15.97M,48.44M,790.57M,1.250B,,0.00,784.24M,944.90M,,,-22.38M,1.707B,,AOR,Restated
2012-03,209.15M,,209.15M,324.66M,4.109M,328.77M,85.39M,7.17M,132.10M,,224.66M,,43.83M,27.32M,833.72M,,,,,,,,,,66.46M,1.379B,502.01M,1.881B,,90.52M,2.038B,2.872B,,103.12M,,103.12M,17.87M,120.99M,87.93M,87.93M,134.16M,134.16M,,49.56M,465.95M,535.20M,,535.20M,102.94M,16.02M,118.96M,,16.50M,48.39M,702.56M,1.169B,,0.00,736.46M,921.78M,,,28.82M,1.687B,,AOR,Restated
2011-12,154.62M,,154.62M,275.20M,7.103M,282.30M,87.36M,8.475M,136.23M,,232.06M,,44.63M,19.44M,733.06M,0.00,1.542M,8.549M,142.00M,,8.339M,20.93M,181.36M,-118.64M,62.72M,1.298B,476.79M,1.774B,,82.21M,1.919B,2.652B,,97.96M,,97.96M,18.44M,116.40M,65.92M,65.92M,105.07M,105.07M,,50.04M,411.32M,498.52M,,498.52M,95.59M,13.11M,125.19M,9.351M,19.61M,19.19M,652.25M,1.064B,,878.51M,685.64M,,,,5.14M,1.569B,,AOR,Restated
2011-09,138.26M,,138.26M,287.67M,25.66M,313.32M,83.91M,8.026M,123.74M,,215.68M,,47.16M,26.23M,740.66M,,,,,,,,,,61.56M,1.312B,516.18M,1.829B,,82.52M,1.973B,2.713B,,105.77M,,105.77M,87.52M,193.28M,66.87M,66.87M,95.88M,95.88M,,38.74M,394.78M,570.38M,,570.38M,125.99M,10.57M,136.57M,,20.35M,47.22M,754.16M,1.149B,,861.30M,657.00M,,,,25.80M,1.544B,,AOR,Restated
2011-06,249.81M,,249.81M,257.18M,27.64M,284.81M,89.41M,7.177M,119.49M,,216.08M,,35.79M,26.24M,812.74M,,,,,,,,,,53.39M,894.51M,230.92M,1.125B,,78.24M,1.257B,2.070B,,87.61M,,87.61M,13.16M,100.77M,1.969M,1.969M,91.03M,91.03M,,39.17M,292.58M,125.29M,,125.29M,37.58M,8.612M,46.19M,,18.65M,45.74M,217.22M,509.80M,,0.00,629.58M,839.72M,,,72.06M,1.541B,,AOR,Restated
2011-03,244.34M,,244.34M,265.69M,25.98M,291.68M,82.22M,7.426M,113.36M,,203.01M,,36.62M,20.28M,795.93M,,,,,,,,,,51.63M,863.46M,215.39M,1.079B,,73.29M,1.204B,2.000B,,89.36M,,89.36M,64.82M,154.17M,153.03M,153.03M,81.50M,81.50M,,32.98M,421.68M,0.271M,,0.271M,31.45M,7.736M,39.18M,,18.71M,49.57M,89.02M,510.70M,,0.00,575.97M,826.50M,,,67.83M,1.470B,,AOR,Restated
2010-12,220.79M,,220.79M,222.82M,21.07M,243.89M,79.06M,5.672M,108.12M,,192.85M,,36.92M,19.92M,714.37M,0.00,1.544M,8.701M,127.87M,,,19.99M,158.10M,-107.41M,50.69M,828.74M,204.95M,1.034B,,68.14M,1.153B,1.867B,,72.35M,,72.35M,12.87M,85.22M,1.993M,1.993M,73.89M,73.89M,,29.74M,251.82M,151.16M,,151.16M,24.60M,16.49M,41.09M,16.30M,19.54M,20.82M,229.38M,481.19M,,0.00,536.35M,781.78M,,,48.03M,1.366B,,AOR,Restated
2010-09,211.06M,,211.06M,229.75M,18.17M,247.92M,69.99M,5.617M,101.25M,,176.85M,,29.60M,20.67M,686.10M,,,,,,,,,,49.52M,812.56M,203.23M,1.016B,,64.66M,1.130B,1.816B,,73.06M,,73.06M,74.71M,147.77M,1.913M,1.913M,74.39M,74.39M,,38.19M,262.27M,151.18M,,151.18M,29.39M,12.61M,41.99M,,13.57M,41.31M,234.49M,496.75M,,0.00,500.41M,754.66M,,,50.69M,1.306B,,AOR,Restated
2010-06,261.66M,,261.66M,219.58M,3.916M,223.50M,62.27M,4.82M,92.09M,,159.18M,17.15M,38.69M,19.76M,719.94M,,,,,,,,,,46.06M,769.44M,190.80M,960.24M,,54.29M,1.061B,1.781B,,70.76M,43.73M,114.48M,64.22M,178.71M,2.004M,2.004M,68.16M,68.16M,,44.92M,293.79M,151.02M,,151.02M,36.26M,13.64M,49.90M,,13.49M,43.42M,244.34M,538.12M,,0.00,472.39M,735.86M,,,20.67M,1.229B,,AOR,Restated
2010-03,307.07M,,307.07M,236.79M,3.893M,240.68M,53.05M,4.705M,92.90M,,150.66M,,39.50M,21.11M,759.02M,,,,,,,,,,45.25M,771.05M,201.10M,972.15M,,57.23M,1.075B,1.834B,,81.08M,,81.08M,62.04M,143.12M,0.394M,0.394M,71.58M,71.58M,,39.38M,254.48M,151.06M,,151.06M,41.66M,16.36M,58.02M,,9.726M,65.18M,274.27M,528.74M,,0.00,519.26M,735.13M,,,40.79M,1.295B,,AOR,Restated
2009-12,273.85M,,273.85M,202.29M,11.86M,214.15M,51.49M,4.869M,87.65M,,144.01M,,39.69M,18.38M,690.08M,0.00,1.385M,6.53M,110.25M,,,17.23M,135.39M,-90.76M,44.64M,764.19M,202.78M,966.98M,,51.59M,1.063B,1.753B,,53.78M,,53.78M,58.02M,111.79M,0.445M,0.445M,68.97M,68.97M,,42.04M,223.24M,151.04M,,151.04M,38.86M,15.60M,54.46M,,4.643M,59.98M,265.48M,488.72M,,0.00,491.37M,720.25M,,,48.30M,1.260B,,AOR,Restated
2009-09,215.10M,7.00M,222.10M,202.45M,10.35M,212.80M,67.20M,5.001M,88.22M,,160.42M,,41.72M,19.85M,656.90M,,,,,,,,,,46.90M,765.48M,216.62M,982.10M,,45.74M,1.075B,1.732B,,50.26M,,50.26M,59.61M,109.86M,0.049M,0.049M,69.95M,69.95M,,36.10M,215.96M,151.46M,,151.46M,39.83M,8.034M,47.86M,,4.744M,64.75M,264.07M,480.03M,,0.00,481.82M,713.59M,,,51.45M,1.247B,,AOR,Restated
2009-06,190.15M,,190.15M,199.93M,9.747M,209.68M,70.66M,4.288M,93.32M,,168.27M,,36.36M,18.39M,622.85M,,,,,,,,,,48.90M,746.16M,223.68M,969.84M,,49.45M,1.068B,1.691B,,55.60M,,55.60M,59.36M,114.95M,0.048M,0.048M,68.60M,68.60M,,39.16M,222.76M,151.46M,,151.46M,36.45M,9.145M,45.60M,,4.377M,63.88M,260.94M,483.70M,,0.00,466.24M,699.79M,,,36.93M,1.203B,,AOR,Restated
2009-03,146.83M,,146.83M,220.40M,7.382M,227.79M,68.02M,5.168M,92.22M,,165.41M,,40.02M,17.66M,597.70M,,,,,,,,,,48.46M,723.25M,222.75M,946.00M,,49.94M,1.044B,1.642B,,62.13M,,62.13M,57.56M,119.69M,0.196M,0.196M,61.88M,61.88M,,45.53M,227.30M,151.44M,,151.44M,38.11M,10.26M,48.37M,,,62.73M,262.53M,489.83M,,0.00,445.39M,693.65M,,,13.24M,1.152B,,AOR,Restated
