,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,64.10M,,-1.40M,-1.40M,8.70M,42.60M,51.30M,51.30M,-6.20M,,16.90M,,19.30M,23.40M,-0.10M,-1.50M,-4.20M,-13.20M,36.50M,40.90M,,184.90M,,-17.80M,,-17.80M,,-14.20M,0.00,0.70M,-31.30M,,162.70M,162.70M,-3.60M,0.00,-3.60M,-1.80M,157.30M,,274.50M,310.90M,-14.40M,571.00M,,-3.60M,936.80M,-774.10M,0.00,,AOR,Restated
2018-03,58.70M,,-0.10M,-0.10M,8.50M,40.50M,49.00M,49.00M,-10.80M,,17.40M,,-11.10M,-29.40M,-21.70M,11.10M,-1.10M,-7.10M,28.00M,-20.20M,,82.90M,,-18.20M,,-18.20M,,-518.70M,179.00M,4.40M,-353.50M,,208.00M,208.00M,25.30M,-53.00M,-27.70M,,180.30M,,358.50M,-90.30M,6.30M,274.50M,,25.30M,591.00M,-383.00M,-53.00M,,AOR,Restated
2017-12,-35.80M,,-1.50M,-1.50M,8.20M,39.70M,47.90M,47.90M,,,19.80M,,11.80M,-8.80M,-19.00M,-2.00M,1.10M,91.80M,17.90M,81.00M,,107.10M,,-17.30M,,-17.30M,,-1.20M,-24.90M,0.40M,-43.00M,,217.90M,217.90M,0.80M,-173.80M,-173.00M,-5.30M,39.60M,,255.00M,103.70M,-0.20M,358.50M,,0.80M,269.00M,-51.10M,-173.80M,,AOR,Restated
2017-09,57.20M,,-0.90M,-0.90M,8.70M,40.00M,48.70M,48.70M,,,16.10M,,3.20M,-4.00M,-16.30M,5.80M,-7.00M,-0.40M,-33.20M,-55.10M,,69.20M,,-10.80M,,-10.80M,,-154.10M,-53.10M,0.20M,-217.80M,,82.80M,82.80M,23.20M,-91.10M,-67.90M,-2.70M,12.20M,,384.90M,-136.40M,6.50M,255.00M,,23.20M,177.00M,-94.20M,-91.10M,,AOR,Restated
2017-06,47.30M,,-6.30M,-6.30M,8.80M,35.80M,44.60M,44.60M,,,15.20M,,0.20M,4.10M,0.40M,18.40M,-5.00M,0.40M,30.10M,48.40M,,149.40M,,-9.90M,,-9.90M,,-46.40M,40.50M,0.70M,-15.10M,,-36.00M,-36.00M,10.20M,-6.20M,4.00M,-4.30M,-36.30M,,280.80M,98.00M,6.10M,384.90M,,10.20M,88.00M,-124.00M,-6.20M,,AOR,Restated
2017-03,49.80M,,-2.70M,-2.70M,8.90M,33.30M,42.20M,42.20M,,,13.70M,,-9.70M,-34.00M,-2.40M,3.50M,-4.70M,9.80M,38.50M,10.70M,,104.00M,,-5.70M,,-5.70M,,-78.50M,-30.70M,19.60M,-95.30M,,25.90M,25.90M,39.60M,-14.20M,25.40M,-0.30M,51.00M,,216.10M,59.70M,5.00M,280.80M,,39.60M,252.00M,-226.10M,-14.20M,,AOR,Restated
2016-12,37.70M,,13.90M,13.90M,9.10M,33.60M,42.70M,42.70M,-1.20M,,12.60M,,14.40M,16.40M,0.50M,8.60M,13.30M,-0.10M,-0.20M,38.50M,,144.10M,,-6.00M,,-6.30M,0.30M,-10.60M,-48.80M,13.60M,-68.30M,,-50.00M,-50.00M,17.50M,-17.30M,0.20M,,-64.80M,,213.50M,11.00M,-8.40M,216.10M,,17.50M,64.00M,-114.00M,-17.30M,,AOR,Restated
2016-09,39.20M,,-5.20M,-5.20M,9.10M,37.30M,46.40M,46.40M,0.70M,,13.30M,,3.70M,7.10M,14.50M,-3.50M,-3.30M,11.20M,-36.00M,-10.00M,,91.40M,,-7.80M,,-7.50M,-0.30M,-2.30M,-62.10M,0.40M,-66.00M,,-55.30M,-55.30M,25.00M,-13.90M,11.10M,,-44.20M,,231.90M,-18.80M,0.40M,213.50M,,25.00M,89.00M,-144.30M,-13.90M,,AOR,Restated
2016-06,35.60M,,-5.80M,-5.80M,9.70M,39.60M,49.30M,49.30M,0.60M,,13.00M,,2.70M,-3.40M,8.10M,-5.50M,-2.90M,-32.40M,15.40M,-20.70M,,81.20M,,-7.30M,,-7.30M,,-2.70M,0.00,0.00,-4.30M,,50.00M,50.00M,8.90M,-76.10M,-67.20M,,-17.20M,,174.70M,59.70M,-2.50M,231.90M,,8.90M,110.00M,-60.00M,-76.10M,,AOR,Restated
2016-03,19.70M,,-2.90M,-2.90M,9.10M,40.30M,49.40M,49.40M,-0.10M,,13.70M,,-2.40M,-16.30M,3.10M,11.20M,-4.90M,-1.40M,40.60M,32.30M,,114.40M,,-4.90M,,-4.90M,,-8.10M,0.00,-0.30M,-8.30M,,-55.00M,-55.00M,16.10M,-12.20M,3.90M,,-51.10M,,116.00M,55.00M,3.70M,174.70M,,16.10M,92.00M,-147.00M,-12.20M,,AOR,Restated
2015-12,23.90M,,-3.80M,-3.80M,9.70M,40.20M,49.90M,49.90M,1.40M,,12.80M,1.40M,2.90M,-10.00M,3.50M,-34.20M,1.90M,18.70M,4.80M,-15.30M,,80.60M,,-8.10M,,-8.20M,0.10M,-56.50M,,0.90M,-59.00M,,-27.10M,-27.10M,0.60M,0.00,0.60M,-1.40M,-27.90M,,123.60M,-6.30M,-1.30M,116.00M,,0.60M,97.00M,-124.10M,0.00,,AOR,Restated
2015-09,37.00M,,-4.70M,-4.70M,9.10M,40.70M,49.80M,49.80M,0.30M,,12.80M,-0.50M,-1.20M,13.80M,5.40M,-13.00M,-1.20M,-4.20M,-25.50M,-24.70M,,72.40M,,-9.30M,,-9.20M,-0.10M,-43.90M,,-0.10M,-45.70M,,119.00M,119.00M,13.10M,-161.40M,-148.30M,0.50M,-28.80M,,129.00M,-2.10M,-3.30M,123.60M,,13.10M,238.00M,-119.00M,-161.40M,,AOR,Restated
2015-06,25.80M,,-6.40M,-6.40M,9.20M,40.80M,50.00M,50.00M,0.50M,,12.00M,-0.20M,-0.80M,29.00M,-5.40M,-5.00M,-0.30M,-18.10M,14.30M,14.50M,,96.80M,,-15.90M,,-15.90M,,-23.70M,,-0.40M,-32.30M,,-24.10M,-24.10M,1.30M,-60.40M,-59.10M,0.20M,-83.00M,,145.70M,-18.50M,1.80M,129.00M,,1.30M,90.00M,-114.10M,-60.40M,,AOR,Restated
2015-03,34.00M,,-3.00M,-3.00M,8.70M,40.70M,49.40M,49.40M,-1.30M,,12.50M,-0.70M,5.20M,-24.00M,-6.40M,9.70M,-8.00M,3.60M,34.40M,9.30M,,107.20M,,-10.60M,,-10.60M,,-25.60M,,0.80M,-35.40M,,-68.00M,-68.00M,14.70M,-12.60M,2.10M,0.70M,-65.20M,,148.00M,6.60M,-8.90M,145.70M,,14.70M,130.00M,-198.00M,-12.60M,,AOR,Restated
2014-12,55.90M,0.00,-0.90M,-0.90M,9.00M,40.70M,49.70M,49.70M,-0.50M,,11.30M,0.00,2.20M,4.20M,-4.60M,-4.90M,5.80M,-37.60M,13.80M,-23.30M,,96.60M,,-12.90M,,-12.30M,-0.60M,-137.00M,,2.00M,-141.60M,,87.40M,87.40M,2.50M,-32.80M,-30.30M,0.00,57.10M,,139.50M,12.10M,-3.60M,148.00M,,2.50M,834.20M,-746.80M,-32.80M,,AOR,Restated
2014-09,11.80M,0.00,-2.80M,-2.80M,8.50M,39.40M,47.90M,47.90M,0.50M,,11.00M,-0.60M,7.30M,28.90M,-5.90M,-5.70M,-4.90M,26.60M,-22.00M,17.00M,,95.90M,,-13.60M,,-6.60M,-7.00M,-154.10M,,-4.40M,-168.70M,,-8.80M,-8.80M,14.30M,-65.00M,-50.70M,0.60M,-58.90M,,278.90M,-131.70M,-7.70M,139.50M,,14.30M,25.00M,-33.80M,-65.00M,,AOR,Restated
2014-06,78.10M,0.00,-5.20M,-5.20M,8.10M,37.80M,45.90M,45.90M,-0.20M,,11.00M,-3.30M,-1.30M,17.30M,-7.90M,-9.30M,-5.80M,-8.10M,19.00M,5.20M,,131.20M,,-14.80M,,-14.80M,,-16.70M,,1.90M,-19.50M,,-8.70M,-8.70M,6.80M,0.00,6.80M,3.30M,1.40M,,165.20M,113.10M,0.60M,278.90M,,6.80M,0.00,-8.70M,0.00,,AOR,Restated
2014-03,68.10M,-15.10M,-3.50M,-18.60M,7.50M,40.60M,48.10M,48.10M,-1.50M,,10.10M,-10.20M,-0.60M,-63.60M,-13.40M,10.90M,-2.20M,19.10M,35.60M,-13.60M,,83.40M,,-13.60M,,-13.60M,,-11.00M,,-2.00M,-14.20M,,-93.80M,-93.80M,32.50M,0.00,32.50M,10.20M,-51.10M,,147.20M,18.10M,-0.10M,165.20M,,32.50M,17.00M,-110.80M,0.00,,AOR,Restated
2013-12,59.70M,,-4.792M,-4.792M,7.07M,42.09M,49.16M,49.16M,-1.48M,,10.34M,-4.697M,-0.038M,22.62M,-14.04M,27.42M,10.96M,-10.65M,-10.65M,25.66M,,136.19M,,-13.35M,,-13.25M,-0.095M,-58.43M,,3.357M,-68.39M,,-50.74M,-50.74M,10.03M,,10.03M,4.697M,-36.00M,,115.26M,31.80M,0.119M,147.20M,,10.03M,75.68M,-126.41M,,,AOR,Restated
2013-09,54.62M,0.00,-4.494M,-4.494M,6.776M,41.62M,48.39M,48.39M,0.212M,,8.905M,-1.187M,1.232M,1.21M,17.37M,-3.03M,-10.60M,-3.517M,-4.675M,-3.242M,,106.36M,,-18.32M,,-18.22M,-0.105M,-19.02M,,-9.087M,-41.28M,,-95.70M,-95.70M,13.71M,0.00,13.71M,1.187M,-80.80M,,129.07M,-15.71M,1.898M,115.26M,,13.71M,92.41M,-188.11M,0.00,,AOR,Restated
2013-06,54.95M,0.00,-7.157M,-7.157M,6.661M,39.76M,46.42M,46.42M,-1.923M,,8.435M,-2.832M,-0.598M,31.30M,5.493M,-13.45M,-1.298M,6.224M,8.901M,37.17M,,134.66M,,-24.50M,,-24.50M,,-113.76M,,-1.70M,-138.72M,,-22.19M,-22.19M,9.517M,,9.517M,2.832M,-9.837M,,143.55M,-13.90M,-0.575M,129.07M,,9.517M,126.61M,-148.80M,,,AOR,Restated
2013-03,48.93M,0.00,-4.257M,-4.257M,6.193M,39.33M,45.52M,45.52M,-11.81M,,8.818M,-4.784M,0.104M,-56.93M,-20.22M,-5.642M,-10.87M,7.939M,39.93M,-45.79M,,37.39M,,-14.93M,,-14.93M,,-65.19M,,2.43M,-76.40M,,9.019M,9.019M,14.44M,,14.44M,4.784M,28.24M,,157.77M,-10.78M,-3.442M,143.55M,,14.44M,113.00M,-103.98M,,,AOR,Restated
2012-12,32.68M,,-5.019M,-5.019M,6.781M,36.39M,43.17M,43.17M,-2.015M,,9.032M,-8.672M,-8.459M,18.09M,-3.752M,39.55M,-5.101M,-18.84M,5.684M,35.62M,,96.81M,,-21.12M,,-19.94M,-1.17M,-372.63M,,6.383M,-376.32M,,264.38M,264.38M,22.04M,,22.04M,8.672M,295.10M,,141.84M,15.58M,0.351M,157.77M,,22.04M,720.80M,-456.42M,,,AOR,Restated
2012-09,53.80M,,-6.453M,-6.453M,5.61M,31.44M,37.05M,37.05M,0.265M,,7.684M,-1.419M,-1.168M,-2.265M,-5.244M,3.003M,6.06M,11.79M,-15.62M,-2.28M,,88.80M,,-12.82M,,-12.82M,,-17.81M,,0.214M,-28.49M,,-54.99M,-54.99M,9.98M,,9.98M,1.419M,-43.59M,,121.94M,16.71M,3.19M,141.84M,,9.98M,42.06M,-97.05M,,,AOR,Restated
2012-06,53.16M,,-7.063M,-7.063M,5.738M,29.08M,34.82M,34.82M,0.235M,,8.155M,-7.674M,-0.874M,-1.013M,-5.334M,-1.143M,-0.932M,5.604M,6.713M,3.895M,,87.44M,,-12.91M,,-13.66M,0.755M,-236.28M,,-0.776M,-249.93M,,73.84M,73.84M,0.48M,,0.48M,7.674M,81.99M,,209.15M,-80.50M,-6.707M,121.94M,,0.48M,255.00M,-181.16M,,,AOR,Restated
2012-03,50.07M,,-6.192M,-6.192M,5.562M,28.80M,34.36M,34.36M,0.146M,,7.789M,-7.58M,-0.977M,-44.21M,5.928M,3.477M,-7.972M,1.45M,27.67M,-13.66M,,67.66M,,-8.399M,,-7.644M,-0.755M,-101.39M,,0.07M,-109.54M,,58.65M,58.65M,26.68M,,26.68M,7.58M,92.91M,,154.62M,51.03M,3.495M,209.15M,,26.68M,181.50M,-122.85M,,,AOR,Restated
2011-12,28.66M,,-4.348M,-4.348M,5.826M,29.16M,34.98M,34.98M,-16.13M,,7.418M,-3.064M,-7.51M,27.91M,-18.80M,-0.524M,,,11.32M,30.43M,,79.81M,,-5.61M,,-7.276M,1.666M,-1.494M,3.267M,-10.28M,-1.719M,,-72.75M,-72.75M,5.687M,,5.687M,3.064M,-64.00M,,138.26M,14.09M,2.273M,154.62M,,5.687M,32.00M,-104.75M,,,AOR,Restated
2011-09,27.20M,,-4.82M,-4.82M,5.508M,24.11M,29.61M,29.61M,-6.036M,,7.106M,-0.748M,2.891M,-4.984M,4.756M,-0.795M,,,-3.389M,-4.412M,,51.10M,,-7.78M,,-6.68M,-1.10M,-666.79M,-3.267M,0.456M,-677.38M,,509.89M,509.89M,9.519M,,9.519M,0.748M,520.16M,,249.81M,-106.12M,-5.432M,138.26M,,9.519M,558.00M,-48.11M,,,AOR,Restated
2011-06,54.18M,,-3.418M,-3.418M,4.572M,16.58M,21.15M,21.15M,-2.746M,,7.129M,-2.593M,3.696M,10.19M,-7.383M,-2.86M,,,5.171M,5.114M,,82.79M,,-5.602M,,-5.286M,-0.316M,-52.47M,,6.832M,-51.24M,,-32.93M,-32.93M,2.878M,,2.878M,2.593M,-27.46M,,244.34M,4.086M,1.383M,249.81M,,2.878M,144.22M,-177.16M,,,AOR,Restated
2011-03,38.87M,,-2.763M,-2.763M,4.603M,16.06M,20.67M,20.67M,-1.393M,,6.798M,-8.357M,3.066M,-34.85M,-8.717M,6.096M,,,8.146M,-29.32M,,27.93M,,-4.286M,,-4.036M,-0.25M,-38.98M,,0.044M,-43.22M,,-0.672M,-0.672M,27.78M,,27.78M,8.357M,35.47M,,220.79M,20.18M,3.378M,244.34M,,27.78M,0.00,-0.672M,,,AOR,Restated
2010-12,35.85M,,-2.77M,-2.77M,4.888M,15.47M,20.36M,20.36M,-11.09M,,6.96M,-7.668M,-4.553M,11.98M,-13.00M,-17.78M,,,12.40M,-4.14M,,37.00M,,-7.409M,,-5.971M,-1.438M,-53.85M,5.692M,2.476M,-47.24M,,-0.031M,-0.031M,12.66M,0.00,12.66M,7.668M,20.30M,,211.06M,10.06M,-0.329M,220.79M,,12.66M,0.00,-0.031M,0.00,,AOR,Restated
2010-09,32.84M,,-3.404M,-3.404M,4.574M,14.43M,19.01M,19.01M,0.634M,,5.54M,-0.559M,0.104M,-9.088M,-12.80M,-41.64M,,,0.669M,-62.87M,,-8.277M,,-6.46M,,-6.132M,-0.328M,-57.15M,-2.00M,17.18M,-48.43M,,-0.373M,-0.373M,14.02M,-13.34M,0.675M,0.559M,0.861M,,261.66M,-55.84M,5.241M,211.06M,,14.02M,0.00,-0.373M,-13.34M,,AOR,Restated
2010-06,34.92M,,-3.147M,-3.147M,4.285M,13.92M,18.20M,18.20M,-4.564M,,4.984M,-0.93M,-28.46M,15.74M,-10.31M,13.49M,,,-1.686M,17.24M,,39.81M,,-5.731M,,-5.731M,0.00,-12.03M,-0.942M,-12.08M,-30.79M,,-0.04M,-0.04M,9.218M,-60.51M,-51.29M,0.93M,-50.40M,,307.07M,-41.39M,-4.025M,261.66M,,9.218M,0.00,-0.04M,-60.51M,,AOR,Restated
2010-03,,,-2.474M,-2.474M,4.451M,13.82M,18.27M,18.27M,0.103M,,5.641M,-0.482M,28.29M,-23.49M,-9.441M,34.68M,,,3.365M,5.115M,,55.50M,,-5.596M,,-5.299M,-0.297M,-21.57M,-2.75M,0.001M,-29.92M,,-0.054M,-0.054M,8.649M,,8.649M,0.482M,9.077M,,273.85M,34.66M,-1.439M,307.07M,,8.649M,,-0.054M,,,AOR,Restated
2009-12,-54.69M,,-0.008M,-0.008M,4.854M,13.70M,18.56M,18.56M,1.795M,,5.338M,-0.149M,65.65M,-9.32M,11.99M,4.157M,,,12.19M,19.02M,,55.51M,,-3.165M,,-3.165M,0.00,-1.194M,6.25M,0.87M,2.761M,,-0.015M,-0.015M,1.182M,0.00,1.182M,0.149M,1.316M,,215.10M,59.59M,-0.838M,273.85M,,1.182M,,-0.015M,0.00,,AOR,Restated
2009-09,15.85M,,0.058M,0.058M,4.87M,13.62M,18.49M,18.49M,-5.862M,,4.541M,-1.00M,-0.143M,-0.458M,8.856M,-13.04M,,,3.155M,-1.484M,,30.45M,,-2.126M,,-2.126M,0.00,-11.80M,4.995M,3.03M,-5.896M,,-0.019M,-0.019M,7.898M,0.00,7.898M,1.00M,8.879M,,178.16M,33.43M,3.51M,215.10M,,7.898M,,-0.019M,0.00,,AOR,Restated
2009-06,21.15M,,-0.586M,-0.586M,4.608M,13.05M,17.66M,17.66M,-1.80M,,4.554M,-0.283M,2.473M,22.58M,-0.229M,-4.685M,,,4.676M,22.35M,,65.51M,,-4.992M,,-4.154M,-0.838M,-21.74M,-4.996M,-0.527M,-32.25M,,-0.149M,-0.149M,1.173M,0.00,1.173M,0.283M,1.307M,,139.83M,34.57M,3.761M,178.16M,,1.173M,,-0.149M,0.00,,AOR,Restated
2009-03,17.70M,,0.107M,0.107M,4.463M,12.30M,16.76M,16.76M,-1.606M,,4.226M,-0.021M,0.839M,-13.23M,-7.327M,20.87M,,,4.837M,5.158M,,43.16M,,-29.26M,,-3.261M,-26.00M,-17.29M,-1.999M,0.014M,-48.54M,,0.00,0.00,4.602M,,4.602M,0.021M,4.623M,,142.53M,-0.757M,-1.946M,139.83M,,4.602M,,0.00,,,AOR,Restated
2008-12,13.24M,,-1.185M,-1.185M,4.76M,12.07M,16.83M,16.83M,-3.121M,0.00,4.563M,-0.123M,3.838M,40.62M,-0.296M,-37.04M,,,-3.202M,0.09M,,34.13M,,-4.554M,,-4.903M,0.349M,-45.83M,-5.00M,6.294M,-49.09M,,100.00M,100.00M,0.683M,-10.04M,-9.354M,0.112M,90.76M,,70.48M,75.80M,-3.75M,142.53M,,0.683M,100.00M,0.002M,-10.04M,,,Restated
2008-09,39.07M,,-2.163M,-2.163M,5.013M,11.19M,16.20M,16.20M,-11.44M,0.056M,3.826M,-0.598M,0.045M,11.72M,-7.168M,-7.11M,,,-0.849M,-3.408M,,41.58M,,-3.545M,,-3.361M,-0.184M,-24.23M,0.00,3.041M,-24.73M,,51.00M,51.00M,6.694M,-79.56M,-72.86M,0.598M,-21.27M,,79.82M,-4.418M,-4.926M,70.48M,,6.694M,51.00M,-0.002M,-79.56M,,,Restated
2008-06,48.60M,,-2.618M,-2.618M,4.703M,10.96M,15.67M,15.67M,-1.906M,0.057M,3.795M,-3.257M,1.06M,12.41M,-5.56M,9.728M,,,1.667M,18.25M,,79.64M,,-4.207M,,-4.221M,0.014M,-5.489M,,0.166M,-9.53M,,-60.00M,-60.00M,6.942M,-10.42M,-3.481M,3.257M,-60.23M,,71.38M,9.888M,-1.444M,79.82M,,6.942M,,-60.00M,-10.42M,,,Restated
2008-03,40.07M,,-2.015M,-2.015M,4.571M,10.85M,15.42M,15.42M,-0.885M,0.056M,3.982M,-1.992M,2.343M,-38.76M,-3.437M,4.102M,,,1.843M,-36.26M,,20.72M,,-3.89M,,-3.711M,-0.179M,-39.59M,,0.136M,-43.35M,,-0.312M,-0.312M,8.483M,-25.87M,-17.39M,1.992M,-15.71M,,103.20M,-38.34M,6.512M,71.38M,,8.483M,,-0.312M,-25.87M,,,Restated
2007-12,26.29M,,,-1.281M,4.479M,10.18M,14.66M,14.66M,12.92M,,,,6.362M,7.481M,-3.166M,3.997M,,-43.06M,33.70M,-1.05M,,57.90M,,-3.979M,,-3.979M,,-10.32M,,-5.606M,-19.91M,,,-20.42M,4.034M,,4.034M,-0.874M,-17.26M,,84.07M,20.73M,-1.601M,103.20M,,4.034M,,,,,,
2007-09,27.37M,,,-1.942M,4.307M,10.28M,14.58M,14.58M,2.089M,,,,-1.648M,0.512M,-3.752M,-1.22M,-9.414M,21.82M,-5.779M,2.169M,,42.63M,,-2.938M,,-2.938M,,-7.78M,,2.29M,-8.428M,,,-42.52M,12.07M,,12.07M,7.354M,-23.10M,,73.76M,11.10M,-0.79M,84.07M,,12.07M,,,,,,
2007-06,35.03M,,,-2.418M,4.305M,10.60M,14.91M,14.91M,-2.234M,,,,1.671M,-12.47M,-10.74M,-9.563M,-1.753M,30.14M,12.13M,7.755M,,54.71M,,-2.397M,,-2.397M,,-5.693M,,0.947M,-7.143M,,,-47.52M,5.287M,,5.287M,3.736M,-38.49M,,63.57M,9.073M,1.116M,73.76M,,5.287M,,,,,,
2007-03,28.68M,,,0.027M,4.121M,7.894M,12.02M,12.02M,-6.402M,,,,3.709M,-26.40M,-1.025M,3.265M,11.17M,6.703M,,-6.285M,,31.75M,,-3.873M,,-3.873M,,-272.05M,,0.012M,-275.91M,,,170.00M,10.47M,,10.47M,2.193M,182.67M,,129.62M,-61.50M,-4.553M,63.57M,,10.47M,,,,,,
