,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2016-06,759.20M,-397.80M,,,-397.80M,88.00M,88.00M,,0.00,,27.80M,,,,,,,-73.40M,31.90M,435.70M,,-42.90M,2.40M,2.40M,413.30M,,,372.80M,,2016-06,-404.60M,-404.60M,,0.00,0.00,-80.30M,-80.30M,,11.90M,-473.00M,,2016-06,335.50M,-19.60M,928.80M,,,,,0.00,,2016-06,AOR
2016-03,128.70M,,,,,88.00M,88.00M,,0.00,,23.80M,,,,,,,-241.40M,-6.70M,-7.60M,,-40.10M,0.00,0.00,0.00,,,-40.10M,,2016-03,254.00M,254.00M,,-250.10M,-250.10M,-82.20M,-82.20M,,-19.90M,-98.20M,,2016-03,-145.90M,22.00M,612.90M,,,,,-250.10M,,2016-03,AOR
2015-12,239.40M,0.00,,,0.00,94.90M,94.90M,,,,63.60M,,,,,,,245.40M,-7.90M,635.40M,,-76.30M,3.70M,3.70M,-9.80M,,,-82.40M,,2015-12,-332.50M,-332.70M,,-16.70M,-16.70M,-75.90M,-75.90M,,-87.50M,-451.50M,,2015-12,101.50M,-16.20M,736.80M,,,,-0.20M,-16.70M,,2015-12,AOR
2015-09,318.00M,0.00,,,0.00,88.50M,88.50M,,,,7.20M,,,,,,,-317.20M,-13.50M,83.00M,,-58.00M,9.10M,9.10M,-10.30M,,,-59.20M,,2015-09,178.10M,178.10M,,-233.40M,-233.40M,-76.10M,-76.10M,,5.50M,-125.90M,,2015-09,-102.10M,-26.00M,651.50M,,,,0.00,-233.40M,,2015-09,AOR
2015-06,87.00M,0.00,,,0.00,92.80M,92.80M,,,,23.00M,,,,,,,96.10M,-3.70M,295.20M,,-59.60M,1.70M,1.70M,0.00,,,-57.90M,,2015-06,-142.40M,-150.10M,,0.00,0.00,-77.50M,-77.50M,,20.60M,-207.00M,,2015-06,30.30M,15.40M,779.60M,,,-0.10M,-7.60M,0.00,,2015-06,AOR
2015-03,62.70M,,,,,87.90M,87.90M,,,,63.90M,,,,,,,-329.70M,-10.00M,-125.20M,,-55.70M,4.00M,4.00M,-941.70M,,,-993.40M,,2015-03,327.10M,311.10M,,,,-73.80M,-73.80M,,19.50M,256.80M,,2015-03,-861.80M,-109.50M,733.90M,,,0.10M,-16.10M,,,2015-03,AOR
2014-12,216.90M,,,,,81.90M,81.90M,,,,-92.30M,,,,,,,227.50M,41.60M,475.60M,,-82.80M,7.80M,7.80M,-1.00M,,,-76.00M,,2014-12,99.90M,696.20M,,-202.00M,-202.00M,-65.50M,-65.50M,,-113.30M,428.50M,,2014-12,828.10M,-59.60M,1.705B,,,1.096B,-500.20M,-202.00M,,2014-12,AOR
2014-09,303.10M,,,,,82.30M,82.30M,,,,18.80M,,,,,,,-33.50M,-4.30M,366.40M,,-58.10M,3.70M,3.70M,-2.40M,,,-56.80M,,2014-09,-38.50M,-35.00M,,-160.10M,-160.10M,-66.40M,-66.40M,,28.70M,-232.80M,,2014-09,76.80M,-69.90M,936.70M,,,3.50M,0.00,-160.10M,,2014-09,AOR
2014-06,315.00M,,,,,85.90M,85.90M,,,,23.40M,,,,,,,-156.50M,-14.60M,253.20M,,-42.10M,-2.40M,-2.40M,2.20M,,,-12.00M,,2014-06,38.10M,34.60M,,-225.10M,-225.10M,-67.00M,-67.00M,,53.90M,-203.60M,,2014-06,37.60M,-5.70M,929.80M,,,4.20M,-7.70M,-225.10M,,2014-06,AOR
2014-03,80.70M,,,,,82.30M,82.30M,,,,15.00M,,,,,,,-258.80M,-41.20M,-122.00M,,-50.50M,5.30M,5.30M,-7.00M,,,-52.20M,,2014-03,0.10M,4.40M,,-787.70M,-787.70M,-65.80M,-65.80M,,-2.50M,-851.60M,,2014-03,-1.026B,-13.50M,897.90M,,,4.40M,-0.10M,-787.70M,,2014-03,AOR
2013-12,83.20M,,,,,83.80M,83.80M,,,-53.80M,278.90M,,,,,,,-254.80M,72.20M,209.50M,,-66.70M,17.10M,17.10M,0.00,,,-64.90M,,2013-12,-3.70M,-3.80M,,-418.00M,-418.00M,-62.50M,-62.50M,80.10M,1.272B,868.90M,,2013-12,1.014B,13.50M,1.937B,,,1.60M,-1.70M,-418.00M,,2013-12,AOR
2013-09,227.50M,,,,,82.90M,82.90M,,,13.70M,-18.70M,,,,,,,42.60M,105.20M,453.20M,,-43.90M,2.90M,2.90M,0.30M,,,-20.00M,,2013-09,0.90M,-1.254B,,-317.60M,-317.60M,-58.60M,-58.60M,73.80M,-8.20M,-1.568B,,2013-09,-1.134B,17.70M,910.20M,,,0.00,-1.255B,-317.60M,,2013-09,AOR
2013-06,274.50M,,,,,83.30M,83.30M,,,18.60M,-11.30M,,,,,,,-34.40M,106.10M,436.80M,,-64.50M,0.10M,0.10M,4.40M,,,-63.30M,,2013-06,9.10M,1.547B,,-477.60M,-477.60M,-61.60M,-61.60M,27.90M,-15.70M,1.019B,,2013-06,1.392B,-24.50M,2.027B,,,1.546B,-7.90M,-477.60M,,2013-06,AOR
2013-03,55.40M,,,,,83.70M,83.70M,,,21.50M,-22.80M,,,,,,,-155.00M,9.20M,-8.00M,,-67.10M,4.20M,4.20M,0.00,,,-67.20M,,2013-03,2.60M,2.40M,,0.00,0.00,-62.80M,-62.80M,90.70M,,26.60M,,2013-03,-48.60M,-0.60M,659.20M,,,0.00,-0.20M,0.00,,2013-03,AOR
2012-12,-16.90M,,3.80M,,8.30M,48.40M,48.40M,,,-34.70M,115.10M,,,,,,,-60.60M,400.30M,459.90M,,-72.20M,5.10M,5.10M,52.70M,,,-24.40M,,2012-12,-60.60M,-61.90M,,-464.90M,-464.90M,-47.30M,-47.30M,114.80M,1.00M,-466.50M,,2012-12,-31.00M,-16.50M,708.40M,,,0.00,-1.30M,-464.90M,,2012-12,AOR
2012-09,339.40M,,-3.80M,,-3.80M,92.30M,92.30M,,,15.40M,18.10M,,,,,,,-18.00M,-13.50M,429.90M,,-57.10M,0.80M,0.80M,0.00,,,-56.30M,,2012-09,64.60M,1.40M,,-339.90M,-339.90M,-48.70M,-48.70M,32.80M,-2.70M,-357.10M,,2012-09,16.50M,9.70M,929.60M,,,0.00,-63.20M,-339.90M,,2012-09,AOR
2012-06,365.10M,,-1.10M,,-5.30M,95.10M,95.10M,,,12.40M,-83.30M,,,,,,,-86.70M,-8.10M,289.20M,,-60.90M,8.80M,8.80M,0.00,,,-16.10M,,2012-06,1.10M,-351.60M,,-35.00M,-35.00M,-49.80M,-49.80M,12.00M,-14.00M,-438.40M,,2012-06,-165.30M,-20.80M,903.40M,,,0.00,-352.70M,-35.00M,,2012-06,AOR
2012-03,104.40M,,1.10M,,0.80M,98.00M,98.00M,,,6.90M,91.00M,,,,,,,-218.90M,-65.80M,16.40M,,-52.90M,3.20M,3.20M,,,,-49.70M,,2012-03,0.40M,-1.30M,,,,-46.60M,-46.60M,12.90M,-6.90M,-41.90M,,2012-03,-75.20M,4.00M,1.090B,,,,-1.70M,,,2012-03,AOR
2011-12,-27.70M,,-0.40M,,651.90M,56.70M,56.70M,,-651.60M,11.60M,-46.40M,,,,,,,194.20M,428.50M,446.00M,,-88.00M,-0.80M,-0.80M,63.50M,,,-92.00M,,2011-12,10.00M,-0.30M,,-581.90M,-581.90M,-35.80M,-35.80M,1.60M,26.90M,-596.10M,,2011-12,-242.10M,-1.00M,987.00M,,,-24.00M,-11.80M,-581.90M,,2011-12,AOR
2011-09,103.70M,,-1.70M,,-1.70M,96.80M,96.80M,,264.80M,5.00M,-53.00M,,,,,,,0.50M,-7.80M,408.30M,,-48.90M,14.60M,14.60M,336.90M,,,302.60M,,2011-09,6.60M,3.90M,-101.90M,-519.60M,-621.50M,-101.50M,-38.40M,107.40M,-5.90M,-554.50M,,2011-09,156.40M,-12.40M,1.404B,,-101.90M,26.00M,-3.20M,-519.60M,,2011-09,AOR
2011-06,129.60M,,-22.10M,,-22.10M,106.70M,106.70M,,200.50M,11.00M,57.80M,,,,,,,-77.60M,-10.90M,395.00M,,-38.70M,31.70M,73.20M,0.50M,,,37.90M,,2011-06,24.90M,-48.20M,101.90M,-56.00M,45.90M,23.10M,-40.00M,-36.00M,-18.10M,-96.40M,,2011-06,336.50M,5.20M,1.260B,,101.90M,0.90M,-74.00M,-56.00M,,2011-06,AOR
2011-03,-62.40M,,-0.40M,,-0.40M,98.30M,98.30M,,186.30M,15.00M,57.20M,,,,,,,-347.20M,-9.30M,-62.50M,,-41.50M,3.00M,-38.50M,-2.50M,,,-41.00M,,2011-03,-6.00M,-8.20M,,,,-23.10M,-23.10M,36.00M,-4.10M,0.60M,,2011-03,-102.90M,6.70M,918.10M,,,0.70M,-2.90M,,,2011-03,AOR
2010-12,219.30M,,4.60M,,5.40M,107.40M,107.40M,,,27.00M,20.80M,,,,,,,-288.60M,4.60M,178.50M,,-62.20M,2.30M,2.30M,-8.50M,,,-68.40M,,2010-12,9.20M,18.80M,,0.00,0.00,-23.00M,-23.00M,97.80M,-6.60M,87.00M,,2010-12,197.10M,6.50M,1.014B,,,20.50M,-1.70M,0.00,,2010-12,AOR
2010-09,297.30M,,-1.10M,,-1.10M,119.60M,119.60M,,0.00,12.00M,64.50M,,,,,,,-183.60M,-50.60M,258.10M,,-49.10M,11.10M,11.10M,0.00,,,-37.40M,,2010-09,9.80M,-229.00M,,0.00,0.00,-22.70M,-22.70M,10.40M,-9.00M,-250.30M,,2010-09,-29.60M,18.70M,810.70M,,,36.70M,-251.60M,0.00,,2010-09,AOR
2010-06,251.80M,,1.10M,,1.10M,104.70M,104.70M,,,15.10M,-34.10M,,,,,,,-25.40M,8.00M,321.20M,,-34.40M,1.10M,34.90M,-2.20M,,,-36.90M,,2010-06,10.00M,20.40M,,0.00,0.00,-22.50M,-22.50M,26.70M,-81.80M,-57.20M,,2010-06,227.10M,-4.60M,821.60M,,,19.80M,-9.40M,0.00,,2010-06,AOR
2010-03,14.20M,,,,,105.10M,105.10M,,,19.40M,50.00M,,,,,,,-228.10M,-23.00M,-62.40M,,-33.80M,0.00,-33.80M,-3.30M,,,-35.90M,,2010-03,4.10M,-239.00M,,,,-22.50M,-22.50M,10.40M,67.90M,-183.20M,,2010-03,-281.50M,3.90M,599.10M,,,19.00M,-262.10M,,,2010-03,AOR
2009-12,136.50M,,,,,108.30M,108.30M,,,12.30M,71.20M,,,,,,,-45.60M,5.20M,254.70M,,-48.20M,2.50M,2.50M,0.00,,-0.40M,-45.50M,,2009-12,-45.90M,-38.00M,,,,-43.20M,-43.20M,18.90M,12.70M,-49.60M,,2009-12,159.60M,-26.80M,876.70M,,,8.10M,-46.10M,,,2009-12,AOR
2009-09,234.80M,,,,,110.30M,110.30M,,,19.40M,40.20M,,,,,,,191.10M,4.70M,600.50M,,-42.20M,4.20M,4.20M,0.00,,0.00,-38.10M,,2009-09,-593.60M,-598.10M,,,,-22.90M,-22.90M,7.20M,-2.90M,-616.70M,,2009-09,-54.30M,5.30M,743.90M,,,-5.40M,-592.70M,,,2009-09,AOR
2009-06,154.00M,,,,,100.70M,100.70M,,,14.40M,66.20M,,,,,,,532.30M,-29.10M,838.50M,,-54.80M,6.20M,6.20M,0.00,,-0.10M,-48.80M,,2009-06,-1.208B,-420.20M,,,,-57.50M,-57.50M,0.50M,-33.80M,-511.00M,,2009-06,278.70M,20.60M,792.90M,,,1.001B,-1.421B,,,2009-06,AOR
2009-03,-15.50M,,,,,102.50M,102.50M,,,22.20M,-16.10M,,,,,,,-41.10M,-11.10M,40.90M,,-58.90M,8.70M,8.70M,0.00,,-0.10M,-50.30M,,2009-03,37.30M,29.70M,,,,-57.40M,-57.40M,0.60M,-3.70M,-30.80M,,2009-03,-40.20M,-16.40M,493.60M,,,202.50M,-172.80M,,,2009-03,AOR
2008-12,-3.271B,,,,9.80M,123.30M,123.30M,,,7.20M,-88.10M,,,,,,,203.70M,0.20M,361.00M,,-109.80M,17.70M,17.70M,-22.30M,,11.30M,-95.30M,,2008-12,-155.20M,-362.20M,,0.00,0.00,-74.90M,-74.90M,0.30M,6.80M,-430.00M,,2008-12,-164.30M,-27.00M,550.20M,,,48.10M,-410.30M,0.00,,2008-12,
2008-09,286.00M,,,,-50.80M,202.60M,202.60M,,,35.10M,25.90M,,,,,,1.184B,56.50M,-42.60M,512.70M,,-91.50M,36.70M,141.40M,43.70M,,-23.40M,-34.50M,,2008-09,1.914B,-442.90M,-11.60M,0.00,-11.60M,-155.50M,-57.30M,18.20M,-0.80M,-494.40M,,2008-09,-16.20M,-29.60M,741.50M,,-11.60M,5.517B,-2.193B,0.00,,2008-09,
2008-06,256.10M,,,,45.30M,89.10M,89.10M,,,,12.40M,,,,,,-239.90M,-239.90M,-2.60M,160.40M,,-67.30M,20.90M,-46.40M,-7.054B,,-24.20M,-7.125B,,2008-06,,3.760B,7.40M,-2.00M,5.40M,,-49.10M,,-18.70M,3.698B,,2008-06,-3.266B,-14.50M,787.30M,,7.40M,,,-2.00M,,2008-06,
2008-03,181.60M,,,,5.50M,38.10M,38.10M,,,,14.00M,,,,,,-944.00M,-944.00M,19.10M,-685.70M,,-37.40M,2.10M,-35.30M,-21.80M,,5.10M,-52.00M,,2008-03,,6.40M,4.20M,,4.20M,,-49.10M,,25.80M,-12.70M,,2008-03,-750.40M,83.40M,4.068B,,4.20M,,,,,2008-03,
2007-12,2.518B,,,,4.20M,39.80M,39.80M,,,,5.60M,,,,,,-30.20M,3.30M,-2.279B,439.30M,,-31.20M,4.00M,-27.20M,4.864B,0.60M,-2.70M,4.827B,,2007-12,,-945.00M,12.70M,-59.30M,-46.60M,,-48.90M,,,-1.004B,,2007-12,4.262B,35.10M,4.735B,,12.70M,,,-59.30M,,2007-12,
2007-09,266.60M,,,,21.50M,28.40M,28.40M,,,,7.60M,,,,,,105.30M,105.30M,-170.80M,258.60M,,-30.70M,1.20M,-29.50M,-23.00M,0.00,27.90M,-41.10M,,2007-09,,789.30M,26.10M,-1.094B,-1.068B,,-51.30M,,,-330.00M,,2007-09,-112.50M,7.60M,438.00M,,26.10M,,,-1.094B,,2007-09,
2007-06,964.10M,,,,13.50M,34.60M,34.60M,,,,5.90M,,,,,,-242.40M,-242.40M,-623.20M,152.50M,,-28.30M,7.10M,-21.20M,1.292B,0.10M,3.40M,1.266B,,2007-06,,-496.20M,76.70M,-712.90M,-636.20M,,-54.30M,,,-1.187B,,2007-06,231.60M,6.70M,460.20M,,76.70M,,,-712.90M,,2007-06,
2007-03,217.50M,,,,7.60M,36.00M,36.00M,,,,11.90M,,,,,,-132.60M,-132.60M,-94.70M,45.70M,,-29.50M,1.90M,-27.60M,-3.60M,,,-57.30M,,2007-03,,102.20M,44.70M,-133.60M,-88.90M,,-55.30M,,,-42.00M,,2007-03,-53.60M,2.40M,304.60M,,44.70M,,,-133.60M,,2007-03,
2006-12,221.90M,,,,37.50M,76.70M,76.70M,,,,3.10M,,,,,,12.80M,-138.80M,319.30M,460.40M,,-107.50M,13.50M,-94.00M,-71.80M,0.20M,2.80M,-128.60M,,2006-12,,-95.10M,11.50M,-102.30M,-90.80M,,-55.10M,,,-241.00M,,2006-12,90.80M,9.00M,362.30M,,11.50M,,,-102.30M,,2006-12,
2006-09,243.90M,,,,24.90M,38.50M,38.50M,,,,8.80M,,,,,,76.70M,76.70M,-111.60M,281.20M,,-29.00M,1.80M,-27.20M,-21.20M,-0.30M,-0.50M,-58.90M,,2006-09,,440.90M,2.80M,-610.30M,-607.50M,,-57.50M,,,-224.10M,,2006-09,-1.80M,2.50M,257.90M,,2.80M,,,-610.30M,,2006-09,
2006-06,313.50M,,,,15.90M,29.30M,29.30M,,,,3.30M,,,,,,29.60M,29.60M,-188.80M,202.80M,,-39.80M,-0.80M,-40.60M,-1.70M,46.00M,-1.30M,-19.80M,,2006-06,,-472.60M,35.70M,-220.20M,-184.50M,,-52.70M,,,-709.80M,,2006-06,-526.80M,11.00M,210.10M,,35.70M,,,-220.20M,,2006-06,
2006-03,253.20M,,,,-105.80M,46.20M,46.20M,,,,8.20M,,,,,,-154.30M,-154.30M,-19.70M,27.80M,,-36.00M,1.90M,-34.10M,-26.80M,109.90M,-0.60M,46.10M,,2006-03,,-13.70M,45.70M,-163.50M,-117.80M,,-52.30M,,,-183.80M,,2006-03,-109.90M,6.90M,773.00M,,45.70M,,,-163.50M,,2006-03,
2005-12,291.50M,,,,-12.40M,51.60M,51.60M,,,,2.90M,,,,,,439.80M,47.00M,-23.50M,421.10M,,-35.80M,8.40M,-27.40M,5.30M,-3.70M,0.80M,-25.00M,,2005-12,,-63.70M,12.60M,-139.80M,-127.20M,,-52.90M,,,-243.80M,,2005-12,152.30M,-3.80M,880.60M,,12.60M,,,-139.80M,,2005-12,
2005-09,254.20M,,,,11.40M,46.10M,46.10M,,,,9.10M,,,,,,-14.40M,-14.40M,-9.40M,297.00M,,-33.30M,1.60M,-31.70M,-100.30M,-143.10M,2.30M,-272.80M,,2005-09,,-0.90M,8.80M,-155.50M,-146.70M,,-53.90M,,,-201.50M,,2005-09,-177.30M,0.80M,732.10M,,8.80M,,,-155.50M,,2005-09,
2005-06,285.40M,,,,-41.30M,45.70M,45.70M,,,,-12.00M,,,,,,-80.70M,-80.70M,-2.10M,195.00M,,-43.60M,3.50M,-40.10M,-81.00M,1.10M,3.10M,-116.90M,,2005-06,,159.80M,5.80M,-299.20M,-293.40M,,-42.20M,,,-175.80M,,2005-06,-97.70M,-10.10M,908.60M,,5.80M,,,-299.20M,,2005-06,
2005-03,223.10M,,,,-4.50M,52.30M,52.30M,,,,,,,,,,-344.70M,-344.70M,-0.20M,-74.00M,,-29.10M,5.50M,-23.60M,-327.30M,-7.50M,1.40M,-357.00M,,2005-03,,-32.50M,63.70M,-242.70M,-179.00M,,-43.10M,,,-254.60M,,2005-03,-685.60M,-1.10M,1.016B,,63.70M,,,-242.70M,,2005-03,
2004-12,222.30M,,,,-31.40M,47.30M,47.30M,,,,-39.50M,,,,,,288.10M,124.10M,3.60M,267.20M,,-43.40M,1.196B,1.152B,-5.10M,,6.00M,1.153B,,2004-12,,-129.60M,72.20M,-73.30M,-1.10M,,-43.20M,,,-173.90M,,2004-12,1.247B,-11.10M,1.704B,,72.20M,,,-73.30M,,2004-12,
2004-09,192.10M,,,,-15.30M,25.90M,25.90M,,,,3.40M,,,,,,14.10M,14.10M,19.10M,239.30M,,2.40M,43.70M,46.10M,-28.60M,,-0.40M,17.10M,,2004-09,,-82.20M,7.60M,-66.80M,-59.20M,,-43.30M,,,-184.70M,,2004-09,71.70M,29.20M,439.80M,,7.60M,,,-66.80M,,2004-09,
2004-06,252.60M,,,,,59.30M,59.30M,,,,78.90M,,,,,,-92.20M,-92.20M,0.50M,299.10M,,-45.20M,216.50M,171.30M,,,0.20M,171.50M,,2004-06,,-260.10M,35.00M,-10.20M,24.80M,,-32.90M,,,-268.20M,,2004-06,202.40M,-25.30M,390.70M,,35.00M,,,-10.20M,,2004-06,
