,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,3.57B,,,,-692.00M,-692.00M,1.567B,1.567B,294.00M,7.00M,182.00M,-230.00M,,,,,,,-2.715B,,1.983B,2018-03,-418.00M,,-386.00M,-32.00M,,10.03B,57.00M,9.667B,2018-03,-355.00M,-2.148B,-2.503B,,-6.063B,-6.063B,-2.032B,-2.032B,372.00M,-494.00M,-10.72B,2018-03,1.431B,930.00M,55.00M,,2018-03,,428.00M,-2.931B,-6.063B,257.00M,,2018-03,AOR,Restated
2017-12,12.29B,,,,81.00M,29.00M,1.574B,1.574B,-2.651B,308.00M,245.00M,-9.655B,,,,,,,4.95B,,7.089B,2017-12,-773.00M,,-700.00M,-73.00M,0.00,-4.138B,152.00M,-4.759B,2017-12,-1.679B,29.00M,-1.65B,,0.00,0.00,-1.909B,-1.909B,206.00M,-390.00M,-3.743B,2017-12,2.858B,-1.413B,-14.00M,,2017-12,,896.00M,-2.546B,0.00,1.065B,,2017-12,AOR,Restated
2017-09,2.858B,,,,37.00M,25.00M,1.566B,1.566B,-79.00M,229.00M,207.00M,-145.00M,,,,,,,228.00M,,4.889B,2017-09,-597.00M,,-450.00M,-147.00M,0.00,-2.478B,64.00M,-3.011B,2017-09,-1.00M,-66.00M,-67.00M,,0.00,0.00,-1.895B,-1.895B,245.00M,6.00M,-1.711B,2017-09,2.661B,167.00M,30.00M,,2017-09,,2.505B,-2.572B,0.00,303.00M,,2017-09,AOR,Restated
2017-06,3.078B,,,,-93.00M,-66.00M,1.574B,1.574B,282.00M,62.00M,170.00M,-233.00M,,,,,,,-1.627B,,3.24B,2017-06,-489.00M,,-448.00M,-41.00M,-415.00M,-991.00M,157.00M,-1.738B,2017-06,-3.22B,2.051B,-1.169B,,0.00,0.00,-1.91B,-1.91B,98.00M,-8.00M,-2.989B,2017-06,4.131B,-1.486B,16.00M,,2017-06,,2.51B,-3.679B,0.00,926.00M,,2017-06,AOR,Restated
2017-03,3.13B,,,,-986.00M,-949.00M,1.555B,1.555B,38.00M,35.00M,218.00M,-226.00M,,,,,,,-2.217B,,1.584B,2017-03,-358.00M,,-358.00M,,-585.00M,5.413B,298.00M,4.768B,2017-03,4.02B,-2.075B,1.945B,,-5.00B,-5.00B,-1.945B,-1.945B,313.00M,-220.00M,-4.907B,2017-03,2.666B,1.444B,21.00M,,2017-03,,7.827B,-5.882B,-5.00B,195.00M,,2017-03,AOR,Restated
2016-12,781.00M,,,,63.00M,353.00M,1.549B,1.549B,635.00M,467.00M,159.00M,417.00M,,,,,,,1.68B,,6.041B,2016-12,-769.00M,,-689.00M,-80.00M,-689.00M,-1.648B,19.00M,-3.087B,2016-12,2.573B,-2.794B,-221.00M,,0.00,0.00,-1.821B,-1.821B,73.00M,-344.00M,-2.313B,2016-12,2.094B,642.00M,-136.00M,,2016-12,,7.02B,-7.241B,0.00,1.091B,,2016-12,AOR,Restated
2016-09,1.354B,,,,82.00M,1.504B,1.396B,1.396B,-1.325B,163.00M,145.00M,-100.00M,,,,,,,1.60B,,4.737B,2016-09,-432.00M,,-432.00M,0.00,-13.06B,9.079B,35.00M,-4.381B,2016-09,0.00,-85.00M,-85.00M,,0.00,0.00,-1.821B,-1.821B,250.00M,-6.00M,-1.662B,2016-09,3.411B,-1.306B,-11.00M,,2016-09,,1.908B,-1.993B,0.00,319.00M,,2016-09,AOR,Restated
2016-06,2.063B,,,,-4.00M,-4.00M,1.387B,1.387B,194.00M,837.00M,244.00M,-58.00M,,,,,,,-1.057B,,3.606B,2016-06,-497.00M,,-401.00M,-96.00M,-4.506B,305.00M,20.00M,-4.678B,2016-06,2.25B,1.142B,3.392B,,0.00,0.00,-1.821B,-1.821B,400.00M,-53.00M,1.918B,2016-06,2.561B,845.00M,5.00M,,2016-06,,7.114B,-3.722B,0.00,593.00M,,2016-06,AOR,Restated
2016-03,3.048B,,,,-853.00M,-853.00M,1.425B,1.425B,-204.00M,146.00M,143.00M,228.00M,,,,,,,-2.125B,,1.808B,2016-03,-301.00M,,-301.00M,,-110.00M,4.76B,6.00M,4.355B,2016-03,-1.536B,1.056B,-480.00M,,-5.00B,-5.00B,-1.854B,-1.854B,296.00M,-133.00M,-7.171B,2016-03,3.641B,-1.007B,-73.00M,,2016-03,,2.406B,-2.886B,-5.00B,518.00M,,2016-03,AOR,Restated
2015-12,-169.00M,,,,187.00M,993.00M,1.424B,1.424B,145.00M,255.00M,181.00M,31.00M,,,,,,,2.038B,,4.898B,2015-12,-662.00M,,-611.00M,-51.00M,-144.00M,-1.417B,-1.00M,-2.224B,2015-12,4.00M,396.00M,400.00M,,0.00,0.00,-1.729B,-1.729B,98.00M,-63.00M,-1.294B,2015-12,3.099B,1.38B,-838.00M,,2015-12,,1.628B,-1.228B,0.00,969.00M,,2015-12,AOR,Restated
2015-09,2.138B,,,,38.00M,38.00M,1.272B,1.272B,18.00M,822.00M,141.00M,9.00M,,,,,,,582.00M,,5.02B,2015-09,-325.00M,,-289.00M,-36.00M,-15.64B,10.71B,13.00M,-5.243B,2015-09,1.00M,1.421B,1.422B,,-160.00M,-160.00M,-1.728B,-1.728B,184.00M,19.00M,-263.00M,2015-09,3.67B,-487.00M,-84.00M,,2015-09,,1.426B,-4.00M,-160.00M,290.00M,,2015-09,AOR,Restated
2015-06,2.636B,,,,32.00M,32.00M,1.201B,1.201B,-142.00M,31.00M,185.00M,143.00M,,,,,,,4.00M,,4.09B,2015-06,-263.00M,,-258.00M,-5.00M,-1.00M,-1.843B,2.00M,-2.105B,2015-06,3.00M,-370.00M,-367.00M,,0.00,0.00,-1.725B,-1.725B,187.00M,31.00M,-1.874B,2015-06,3.563B,111.00M,-4.00M,,2015-06,,-359.00M,-8.00M,0.00,752.00M,,2015-06,AOR,Restated
2015-03,2.381B,,,,-874.00M,-874.00M,1.26B,1.26B,-41.00M,11.00M,162.00M,-336.00M,,,,,,,-1.883B,,680.00M,2015-03,-246.00M,,-239.00M,-7.00M,-678.00M,7.186B,330.00M,6.592B,2015-03,-2.998B,2.862B,-136.00M,,-6.00B,-6.00B,-1.758B,-1.758B,794.00M,122.00M,-6.978B,2015-03,3.343B,294.00M,-74.00M,,2015-03,,2.862B,-2.998B,-6.00B,372.00M,,2015-03,AOR,Restated
2014-12,1.236B,14.00M,,,9.00M,23.00M,1.331B,1.331B,-449.00M,117.00M,162.00M,37.00M,,,,,,,3.142B,,5.599B,2014-12,-396.00M,,-354.00M,-42.00M,0.00,-1.14B,22.00M,-1.514B,2014-12,-1.324B,915.00M,-409.00M,,-1.199B,-1.199B,-1.639B,-1.639B,298.00M,-178.00M,-3.127B,2014-12,2.437B,959.00M,-53.00M,,2014-12,,5.00M,-414.00M,-1.199B,616.00M,,2014-12,AOR,Restated
2014-09,2.673B,1.00M,,,-84.00M,-83.00M,1.326B,1.326B,-85.00M,225.00M,143.00M,-166.00M,,,,,,,430.00M,,4.463B,2014-09,-561.00M,,-275.00M,-286.00M,-195.00M,-1.816B,37.00M,-2.535B,2014-09,-34.00M,-55.00M,-89.00M,,-1.281B,-1.281B,-1.65B,-1.65B,121.00M,12.00M,-2.887B,2014-09,3.406B,-960.00M,-9.00M,,2014-09,,7.00M,-96.00M,-1.281B,416.00M,,2014-09,AOR,Restated
2014-06,2.921B,-66.00M,,,-25.00M,-91.00M,1.424B,1.424B,506.00M,52.00M,138.00M,-5.00M,,,,,,,-858.00M,,4.087B,2014-06,-328.00M,,-278.00M,-50.00M,0.00,-1.261B,82.00M,-1.507B,2014-06,4.491B,-3.726B,765.00M,,-1.323B,-1.323B,-1.658B,-1.658B,158.00M,18.00M,-2.04B,2014-06,2.862B,540.00M,4.00M,,2014-06,,3.461B,-2.696B,-1.323B,532.00M,,2014-06,AOR,Restated
2014-03,2.338B,,,,-99.00M,-99.00M,1.456B,1.456B,345.00M,137.00M,143.00M,-294.00M,,,,,,,-1.091B,,2.935B,2014-03,-298.00M,,-292.00M,-6.00M,0.00,-6.00M,206.00M,-98.00M,2014-03,-752.00M,1.028B,276.00M,,-1.197B,-1.197B,-1.662B,-1.662B,425.00M,25.00M,-2.133B,2014-03,2.183B,704.00M,-25.00M,,2014-03,,1.031B,-755.00M,-1.197B,536.00M,,2014-03,AOR,Restated
2013-12,2.574B,55.00M,0.00,,54.00M,109.00M,1.489B,1.489B,59.00M,237.00M,105.00M,-220.00M,,,,,,,1.371B,,5.724B,2013-12,-499.00M,,-417.00M,-82.00M,0.00,523.00M,118.00M,142.00M,2013-12,-1.75B,1.786B,36.00M,,-4.647B,-4.647B,-1.554B,-1.554B,380.00M,41.00M,-5.744B,2013-12,2.052B,122.00M,9.00M,,2013-12,,2.244B,-2.208B,-4.647B,1.075B,,2013-12,AOR,Restated
2013-09,2.599B,38.00M,0.00,,93.00M,131.00M,1.521B,1.521B,409.00M,260.00M,126.00M,139.00M,,,,,,,715.00M,,5.90B,2013-09,-328.00M,,-278.00M,-50.00M,0.00,-298.00M,23.00M,-603.00M,2013-09,-2.00M,-474.00M,-476.00M,,-3.754B,-3.754B,-1.59B,-1.59B,195.00M,-6.00M,-5.631B,2013-09,2.436B,-334.00M,-50.00M,,2013-09,,969.00M,-1.445B,-3.754B,494.00M,,2013-09,AOR,Restated
2013-06,14.13B,-10.54B,31.00M,,78.00M,-10.43B,1.626B,1.626B,308.00M,135.00M,103.00M,18.00M,,,,,,,-2.137B,,3.757B,2013-06,-310.00M,,-309.00M,-1.00M,-15.00M,1.153B,15.00M,843.00M,2013-06,1.602B,-1.233B,369.00M,,-3.263B,-3.263B,-1.701B,-1.701B,533.00M,28.00M,-4.034B,2013-06,1.892B,566.00M,-22.00M,,2013-06,,4.063B,-3.694B,-3.263B,757.00M,,2013-06,AOR,Restated
2013-03,2.765B,,-490.00M,,71.00M,-419.00M,1.774B,1.774B,927.00M,513.00M,189.00M,-119.00M,,,,,,,-3.327B,,2.303B,2013-03,-328.00M,,-202.00M,-126.00M,,-10.75B,156.00M,-10.93B,2013-03,2.622B,3.485B,6.107B,,-4.626B,-4.626B,-1.735B,-1.735B,642.00M,46.00M,434.00M,2013-03,10.08B,-8.189B,0.00,,2013-03,,7.14B,-1.033B,-4.626B,548.00M,,2013-03,AOR,Restated
2012-12,6.321B,-7.123B,,,49.00M,-7.074B,2.107B,2.107B,2.078B,434.00M,119.00M,-12.00M,,,,,,,975.00M,,4.948B,2012-12,-586.00M,,-494.00M,,11.58B,-4.348B,189.00M,6.837B,2012-12,-1.499B,146.00M,-1.353B,,-3.394B,-3.394B,-1.619B,-1.619B,213.00M,,-6.233B,2012-12,4.506B,5.552B,23.00M,,2012-12,,2.295B,-3.648B,-3.394B,514.00M,,2012-12,AOR,Restated
2012-09,3.214B,0.00,,,106.00M,106.00M,1.656B,1.656B,226.00M,107.00M,115.00M,-4.00M,,,,,,,-417.00M,,5.003B,2012-09,-285.00M,,-285.00M,,0.00,-14.00M,52.00M,-247.00M,2012-09,-7.00M,26.00M,19.00M,,-1.835B,-1.835B,-1.632B,-1.632B,157.00M,,-3.291B,2012-09,3.031B,1.465B,10.00M,,2012-09,,1.936B,-1.917B,-1.835B,768.00M,,2012-09,AOR,Restated
2012-06,3.26B,0.00,,,45.00M,45.00M,1.671B,1.671B,298.00M,108.00M,117.00M,-86.00M,,,,,,,-1.392B,,4.021B,2012-06,-294.00M,,-294.00M,,0.00,-566.00M,-27.00M,-887.00M,2012-06,-4.00M,-154.00M,-158.00M,,-1.34B,-1.34B,-1.633B,-1.633B,163.00M,,-2.968B,2012-06,2.934B,166.00M,-69.00M,,2012-06,,2.203B,-2.361B,-1.34B,676.00M,,2012-06,AOR,Restated
2012-03,1.803B,,,,-65.00M,-65.00M,2.221B,2.221B,-404.00M,650.00M,130.00M,-28.00M,,,,,,,-1.533B,,2.774B,2012-03,-254.00M,,-254.00M,,-782.00M,1.516B,-29.00M,451.00M,2012-03,-3.00M,-230.00M,-233.00M,,-1.659B,-1.659B,-1.65B,-1.65B,35.00M,,-3.507B,2012-03,3.182B,-282.00M,34.00M,,2012-03,,1.561B,-1.794B,-1.659B,451.00M,,2012-03,AOR,Restated
2011-12,1.448B,,,,,-1.774B,2.458B,2.458B,-384.00M,425.00M,72.00M,381.00M,,,,,,,2.635B,,5.261B,2011-12,-820.00M,,-598.00M,,-94.00M,12.01B,-10.56B,542.00M,2011-12,-3.50B,1.90B,-1.60B,,-3.211B,-3.211B,,-1.524B,,-68.00M,-6.25B,2011-12,3.706B,-447.00M,-77.00M,,2011-12,,5.107B,-6.707B,-3.211B,1.388B,,2011-12,AOR,Restated
2011-09,3.749B,,,,,-1.683B,2.215B,2.215B,340.00M,773.00M,103.00M,-697.00M,,,,,,,-361.00M,,4.439B,2011-09,-454.00M,,-454.00M,,2.357B,-12.67B,10.98B,215.00M,2011-09,-5.00M,-389.00M,-394.00M,,-2.11B,-2.11B,,-1.551B,,20.00M,-4.035B,2011-09,3.096B,619.00M,-9.00M,,2011-09,,4.745B,-5.139B,-2.11B,802.00M,,2011-09,AOR,Restated
2011-06,2.618B,,,,,,2.249B,2.249B,618.00M,,122.00M,554.00M,,,,,,,-263.00M,,5.898B,2011-06,-358.00M,,-358.00M,,0.00,650.00M,69.00M,361.00M,2011-06,397.00M,-529.00M,-132.00M,,-2.249B,-2.249B,,-1.568B,,31.00M,-3.918B,2011-06,730.00M,2.341B,25.00M,,2011-06,,2.186B,-2.318B,-2.249B,603.00M,,2011-06,AOR,Restated
2011-03,2.234B,,,,,,2.104B,2.104B,-120.00M,,122.00M,-220.00M,,,,,,,522.00M,,4.642B,2011-03,-250.00M,,-250.00M,,-3.169B,4.14B,4.00M,725.00M,2011-03,-3.878B,462.00M,-3.416B,,-1.43B,-1.43B,,-1.591B,,33.00M,-6.404B,2011-03,1.735B,-1.037B,32.00M,,2011-03,,2.682B,-6.098B,-1.43B,134.00M,,2011-03,AOR,Restated
2010-12,2.897B,,,,,-675.00M,1.906B,1.906B,676.00M,530.00M,54.00M,718.00M,,,,,,,152.00M,,6.258B,2010-12,-547.00M,,-547.00M,,-273.00M,-4.447B,-378.00M,-5.645B,2010-12,-2.00M,433.00M,431.00M,,0.00,0.00,,-1.544B,,34.00M,-1.079B,2010-12,2.176B,-466.00M,25.00M,,2010-12,,1.714B,-1.283B,0.00,256.00M,,2010-12,AOR,Restated
2010-09,871.00M,,,,,9.00M,2.229B,2.229B,-333.00M,2.123B,108.00M,-983.00M,,,,,,,2.659B,,6.683B,2010-09,-288.00M,,-288.00M,,0.00,-3.569B,-23.00M,-3.88B,2010-09,-2.00M,-427.00M,-429.00M,,-500.00M,-500.00M,,-1.549B,,-45.00M,-2.523B,2010-09,1.877B,280.00M,19.00M,,2010-09,,1.517B,-1.946B,-500.00M,208.00M,,2010-09,AOR,Restated
2010-06,2.485B,,,,,,2.213B,2.213B,770.00M,774.00M,105.00M,-281.00M,,,,,,,-1.193B,,4.873B,2010-06,-373.00M,,-373.00M,,0.00,-287.00M,299.00M,-361.00M,2010-06,7.00M,-2.381B,-2.374B,,-500.00M,-500.00M,,-1.554B,,67.00M,-4.361B,2010-06,1.759B,151.00M,-33.00M,,2010-06,,1.277B,-3.651B,-500.00M,764.00M,,2010-06,AOR,Restated
2010-03,2.035B,,,,,,2.051B,2.051B,840.00M,59.00M,138.00M,497.00M,,,,,,,-11.98B,,-6.36B,2010-03,-305.00M,,-305.00M,,0.00,9.479B,220.00M,9.394B,2010-03,-9.00M,-1.771B,-1.78B,,0.00,0.00,,-1.441B,,10.00M,-3.211B,2010-03,1.978B,-177.00M,-42.00M,,2010-03,,1.892B,-3.672B,0.00,10.55B,,2010-03,AOR,Restated
2009-12,767.00M,,,,,-670.00M,1.774B,1.774B,-10.70B,,91.00M,449.00M,,,,,,,12.81B,,4.825B,2009-12,-422.00M,,-422.00M,,,39.05B,124.00M,-4.367B,2009-12,-31.00M,-1.433B,-1.464B,,0.00,0.00,,-1.28B,,10.00M,-2.734B,2009-12,4.234B,-2.276B,20.00M,,2009-12,,3.586B,-5.05B,0.00,552.00M,,2009-12,AOR,Restated
2009-09,2.881B,,,,,-20.00M,969.00M,969.00M,390.00M,,89.00M,385.00M,,,,,,,-593.00M,,4.101B,2009-09,-261.00M,,-261.00M,,,-199.00M,162.00M,-298.00M,2009-09,-1.00M,-764.00M,-765.00M,,,,,-1.068B,,5.00M,-1.828B,2009-09,2.244B,1.975B,15.00M,,2009-09,,6.72B,-7.485B,,639.00M,,2009-09,AOR,Restated
2009-06,2.266B,,,,,20.00M,1.006B,1.006B,198.00M,,98.00M,274.00M,,,,,,,652.00M,,4.514B,2009-06,-269.00M,,-269.00M,,,-12.86B,161.00M,-12.97B,2009-06,9.999B,587.00M,10.59B,,0.00,0.00,,-1.067B,,-111.00M,9.408B,2009-06,1.247B,949.00M,48.00M,,2009-06,,21.58B,-11.00B,0.00,655.00M,,2009-06,AOR,Restated
2009-03,2.73B,,,,,,1.008B,1.008B,533.00M,,71.00M,-296.00M,,,,,,,-899.00M,,3.147B,2009-03,-253.00M,,-253.00M,,,-13.57B,185.00M,-13.63B,2009-03,13.09B,-1.326B,11.76B,,,,,-2.133B,,5.00M,9.635B,2009-03,2.122B,-852.00M,-23.00M,,2009-03,,24.17B,-12.40B,,454.00M,,2009-03,AOR,Restated
2008-12,271.00M,,,,,,1.178B,1.178B,-1.911B,,121.00M,-702.00M,,,,,,,6.403B,,5.973B,2008-12,-389.00M,,-389.00M,,-222.00M,-1.877B,-292.00M,-2.78B,2008-12,-492.00M,338.00M,-154.00M,,0.00,0.00,,-2.132B,,33.00M,-2.253B,2008-12,1.265B,940.00M,-83.00M,,2008-12,,9.084B,-9.238B,0.00,545.00M,,2008-12,,Restated
2008-09,2.284B,,,,,,1.196B,1.196B,141.00M,,97.00M,147.00M,,,,,,,87.00M,,3.952B,2008-09,-444.00M,,-444.00M,,0.00,487.00M,-1.15B,-1.107B,2008-09,-558.00M,304.00M,-254.00M,,0.00,0.00,,-2.132B,-33.00M,41.00M,-2.378B,2008-09,820.00M,467.00M,-22.00M,,2008-09,,14.73B,-14.98B,0.00,651.00M,,2008-09,,Restated
2008-06,2.788B,,,,,,1.229B,1.229B,-105.00M,,65.00M,434.00M,,,,,,,631.00M,,5.042B,2008-06,-385.00M,,-385.00M,,-352.00M,-2.58B,-147.00M,-3.464B,2008-06,561.00M,-731.00M,-170.00M,,-500.00M,-500.00M,,-2.139B,32.00M,,-2.777B,2008-06,2.013B,-1.199B,6.00M,,2008-06,,11.41B,-11.58B,-500.00M,1.056B,,2008-06,,Restated
2008-03,2.784B,,,,,,1.487B,1.487B,544.00M,,101.00M,617.00M,,,,,,,-2.262B,,3.271B,2008-03,-483.00M,,-483.00M,,-610.00M,-4.287B,-104.00M,-5.484B,2008-03,41.00M,2.944B,2.985B,,,,,-2.138B,1.00M,,848.00M,2008-03,3.406B,-1.365B,-28.00M,,2008-03,,5.501B,-2.516B,,,,2008-03,,Restated
2007-12,2.724B,,,,,-237.00M,1.116B,1.116B,-819.00M,,,574.00M,,,,,,473.00M,380.00M,29.00M,3.767B,2007-12,-773.00M,,-773.00M,,24.00M,-2.188B,138.00M,-2.799B,2007-12,,,4.332B,-78.00M,-2.50B,-2.578B,,-1.954B,,,-200.00M,2007-12,2.611B,768.00M,27.00M,,2007-12,-78.00M,,,-2.50B,,,2007-12,,
2007-09,761.00M,,,,,-10.00M,1.372B,1.372B,-1.018B,,,2.633B,,,,,,840.00M,840.00M,100.00M,4.678B,2007-09,-461.00M,,-461.00M,,-15.00M,445.00M,78.00M,47.00M,2007-09,,,70.00M,154.00M,-2.495B,-2.341B,,-1.981B,,,-4.252B,2007-09,2.138B,473.00M,0.00,,2007-09,154.00M,,,-2.495B,,,2007-09,,
2007-06,1.267B,,,,,-352.00M,1.441B,1.441B,-683.00M,,,346.00M,,,,,,1.567B,1.567B,79.00M,3.665B,2007-06,-428.00M,,-428.00M,,7.00M,93.00M,-396.00M,-724.00M,2007-06,,,1.104B,93.00M,-2.499B,-2.406B,,-2.008B,,,-3.31B,2007-06,2.492B,-369.00M,15.00M,,2007-06,93.00M,,,-2.499B,,,2007-06,,
