,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-09,307.19M,,,11.44M,-268.79M,-33.56M,-290.91M,,,247.47M,247.47M,-2.955M,,,13.41M,-30.06M,-61.25M,75.93M,,,,14.68M,,400.67M,,-25.28M,,,-150.25M,0.00,0.00,111.38M,,-200.47M,,-200.47M,0.75M,,0.75M,,,,,,-211.61M,,-139.12M,-550.45M,,351.02M,-38.40M,-2.196M,310.43M,,0.75M,-195.77M,-4.704M,,,,AOR,Restated
2015-06,140.26M,,,28.35M,-108.78M,-41.78M,-121.98M,,,190.19M,190.19M,0.145M,,,13.48M,-18.49M,9.17M,29.86M,,,,39.03M,,274.36M,,-14.49M,,,-184.96M,120.07M,0.00,-4.880B,,2.625B,,2.625B,1.294M,,1.294M,,,,,,-190.60M,,2.328B,4.763B,,192.01M,157.47M,1.543M,351.02M,,1.294M,3.220B,-595.47M,,,,AOR,Restated
2015-03,351.31M,,,-32.86M,-277.72M,-31.04M,-325.33M,,,169.81M,169.81M,1.052M,,,13.23M,-11.25M,-36.32M,-113.34M,,,,-149.66M,,81.53M,,-11.60M,,,-88.84M,1.457M,9.866M,-200.35M,,101.48M,,101.48M,82.07M,,82.07M,,,,,,-190.58M,,-24.92M,-31.95M,,350.69M,-150.77M,-7.909M,192.01M,,82.07M,414.49M,-313.00M,,,,AOR,Restated
2014-12,427.72M,,,20.58M,-388.10M,-54.88M,-420.46M,,,171.40M,171.40M,-2.646M,,,14.44M,-8.412M,13.09M,32.36M,,,,45.45M,,443.69M,,-30.70M,,,-126.65M,13.24M,0.00,-61.81M,,-459.04M,,-459.04M,363.16M,,363.16M,,0.00,0.00,,,-169.93M,,-61.85M,-327.66M,,311.88M,54.22M,-15.40M,350.69M,,363.16M,15.72M,-474.76M,0.00,,,AOR,Restated
2014-09,147.13M,,,-19.42M,-151.06M,-28.51M,-112.92M,,,149.20M,149.20M,-33.66M,,,14.06M,-0.946M,14.55M,-100.80M,,,,-86.25M,,144.92M,,-28.25M,,,-607.05M,7.651M,0.00,-413.84M,,500.56M,,500.56M,3.584M,,3.584M,,0.00,0.00,,,-166.01M,,-10.38M,327.75M,,267.43M,58.83M,-14.38M,311.88M,,3.584M,561.00M,-60.43M,0.00,,,AOR,Restated
2014-06,152.43M,,,-6.41M,-169.58M,-21.15M,-119.59M,,,161.58M,161.58M,-51.97M,,,13.75M,-4.618M,19.58M,78.09M,,,,97.67M,,233.62M,,-12.09M,,,-293.11M,-7.855M,188.00M,327.51M,,-32.21M,,-32.21M,4.036M,,4.036M,,-27.64M,-27.64M,,,-168.00M,,-259.26M,-483.08M,,188.89M,78.06M,0.483M,267.43M,,4.036M,2.321B,-2.353B,-27.64M,,,AOR,Restated
2014-03,12.00M,,,27.83M,-17.06M,-29.75M,-19.25M,,,160.28M,160.28M,1.032M,,,15.24M,-7.74M,-54.82M,-60.53M,,,,-115.35M,,72.24M,,-7.576M,,,-235.86M,,,-517.13M,,-152.54M,,-152.54M,7.465M,,7.465M,,,,,,-168.24M,,445.50M,132.18M,,491.13M,-312.70M,10.46M,188.89M,,7.465M,1.165B,-1.318B,,,,AOR,Restated
2013-12,68.27M,,,31.62M,-209.27M,-37.67M,-102.46M,,,167.92M,167.92M,-13.24M,,,14.99M,-5.879M,32.35M,-6.291M,,,,26.06M,,152.74M,,-26.23M,,,-346.68M,,,667.25M,,-255.51M,,-255.51M,3.397M,,3.397M,,0.00,0.00,,,-142.77M,,-41.63M,-436.51M,,121.69M,383.48M,-14.05M,491.13M,,3.397M,1.864B,-2.120B,0.00,,,AOR,Restated
2013-09,-7.167M,,,-8.923M,-87.30M,-26.36M,-8.396M,,,159.24M,159.24M,1.168M,,,12.26M,-8.036M,-92.70M,52.39M,,,,-40.32M,,128.68M,,-26.27M,,,-690.55M,,,-751.18M,,535.88M,,535.88M,0.052M,,0.052M,,0.00,0.00,,,-142.90M,,-36.37M,356.67M,,385.42M,-265.84M,2.106M,121.69M,,0.052M,1.468B,-931.76M,0.00,,,AOR,Restated
2013-06,-4.985M,,,7.878M,-74.50M,-8.421M,-42.44M,,,159.41M,159.41M,-4.351M,,,12.24M,-8.637M,22.04M,-85.23M,,,,-63.18M,,74.43M,,-17.10M,,,-275.14M,,,-396.73M,,-669.61M,,-669.61M,1.497B,,1.497B,,-482.50M,-482.50M,,,-147.66M,,-221.28M,-23.91M,,785.36M,-346.21M,-53.72M,385.42M,,1.497B,256.82M,-926.43M,-482.50M,,,AOR,Restated
