,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-03,958.00M,,3.00M,-145.00M,-142.00M,1.637B,1.637B,-179.00M,14.00M,63.00M,551.00M,,,,-618.00M,,2.284B,-203.00M,,,-7.598B,1.248B,-52.00M,-6.605B,5.039B,2.177B,7.216B,,-1.015B,-1.015B,-1.28B,-1.28B,242.00M,-8.00M,5.155B,7.441B,834.00M,-295.00M,7.98B,,7.941B,-2.902B,-1.015B
2014-12,7.327B,0.00,53.00M,-16.00M,-10.54B,1.573B,1.573B,-827.00M,13.00M,69.00M,480.00M,,,,874.00M,,-1.035B,-1.49B,,,13.89B,-5.406B,209.00M,7.204B,-3.465B,-3.537B,-7.002B,,-1.62B,-1.62B,-1.336B,-1.336B,179.00M,7.00M,-9.772B,11.37B,-3.603B,-326.00M,7.441B,,3.145B,-6.61B,-1.62B
2014-09,843.00M,0.00,7.00M,-24.00M,-17.00M,1.611B,1.611B,-527.00M,549.00M,75.00M,-254.00M,,,,2.068B,,4.348B,-320.00M,,,-3.21B,-146.00M,-46.00M,-3.722B,-2.00M,4.963B,4.961B,,-2.67B,-2.67B,-1.282B,-1.282B,247.00M,23.00M,1.279B,9.743B,1.905B,-278.00M,11.37B,,0.00,-2.00M,-2.67B
2014-06,2.033B,0.00,-682.00M,-93.00M,-775.00M,1.753B,1.753B,-942.00M,660.00M,78.00M,-77.00M,,,,-415.00M,,2.315B,-302.00M,,,25.00M,334.00M,-106.00M,-49.00M,-1.00M,-5.035B,-5.036B,,-2.246B,-2.246B,-1.339B,-1.339B,203.00M,49.00M,-8.369B,15.83B,-6.103B,18.00M,9.743B,,1.00M,-2.00M,-2.246B
2014-03,1.731B,,66.00M,-124.00M,-58.00M,1.754B,1.754B,-304.00M,0.00,56.00M,-115.00M,,,,-703.00M,,2.361B,-205.00M,,,533.00M,-4.193B,58.00M,-3.807B,-3.00M,3.149B,3.146B,,-1.167B,-1.167B,-1.29B,-1.29B,931.00M,,1.62B,15.62B,174.00M,33.00M,15.83B,,0.00,-3.00M,-1.167B
2013-12,815.00M,,59.00M,-53.00M,146.00M,1.954B,1.954B,202.00M,171.00M,66.00M,-28.00M,,,,-300.00M,,3.026B,-429.00M,,,-200.00M,1.561B,245.00M,1.177B,-1.26B,-310.00M,-1.57B,,-196.00M,-196.00M,-1.38B,-1.38B,401.00M,121.00M,-2.624B,14.09B,1.579B,-48.00M,15.62B,,0.00,-1.26B,-196.00M
2013-09,1.151B,,110.00M,-102.00M,8.00M,1.705B,1.705B,-213.00M,0.00,68.00M,-85.00M,,,,1.315B,,3.949B,-355.00M,,,0.00,-1.631B,-51.00M,-2.037B,0.00,-1.551B,-1.551B,,-215.00M,-215.00M,-1.259B,-1.259B,168.00M,-58.00M,-2.915B,15.09B,-1.003B,3.00M,14.09B,,0.00,0.00,-215.00M
2013-06,935.00M,,63.00M,-116.00M,-53.00M,1.655B,1.655B,-248.00M,564.00M,75.00M,46.00M,,,,-636.00M,,2.338B,-413.00M,,,0.00,-774.00M,52.00M,-1.135B,6.458B,822.00M,7.28B,,-5.525B,-5.525B,-1.332B,-1.332B,549.00M,-2.00M,970.00M,13.02B,2.173B,-107.00M,15.09B,,6.467B,-9.00M,-5.525B
2013-03,1.616B,,5.00M,-133.00M,-128.00M,1.674B,1.674B,-71.00M,30.00M,67.00M,326.00M,,,,-1.173B,,2.341B,-351.00M,,,0.00,-849.00M,47.00M,-1.153B,-506.00M,880.00M,374.00M,,-580.00M,-580.00M,-1.306B,-1.306B,92.00M,-1.00M,-1.421B,13.45B,-233.00M,-194.00M,13.02B,,,-506.00M,-580.00M
2012-12,949.00M,,110.00M,-232.00M,-122.00M,1.661B,1.661B,952.00M,24.00M,78.00M,62.00M,,,,-1.795B,,1.809B,-778.00M,,,,-3.774B,154.00M,-4.398B,40.00M,904.00M,944.00M,,-1.152B,-1.152B,-1.40B,-1.40B,250.00M,140.00M,-1.218B,17.36B,-3.807B,-102.00M,13.45B,,58.00M,-18.00M,-1.152B
2012-09,1.763B,,59.00M,-157.00M,-98.00M,1.723B,1.723B,82.00M,40.00M,88.00M,-177.00M,,,,-282.00M,,3.139B,-414.00M,,,,-1.457B,32.00M,-1.839B,2.502B,-1.917B,585.00M,,-454.00M,-454.00M,-1.277B,-1.277B,459.00M,-51.00M,-738.00M,16.75B,562.00M,46.00M,17.36B,,2.504B,-2.00M,-454.00M
2012-06,1.82B,,56.00M,-143.00M,-87.00M,1.804B,1.804B,-324.00M,127.00M,93.00M,72.00M,,,,-585.00M,,2.92B,-431.00M,,,,101.00M,32.00M,-298.00M,0.00,1.003B,1.003B,,-529.00M,-529.00M,-1.28B,-1.28B,222.00M,-2.00M,-586.00M,14.66B,2.036B,60.00M,16.75B,,0.00,0.00,-529.00M
2012-03,1.767B,,66.00M,-110.00M,-44.00M,1.79B,1.79B,-41.00M,9.00M,76.00M,71.00M,,,,-1.474B,,2.154B,-331.00M,,,,72.00M,-11.00M,-270.00M,-2.00M,634.00M,632.00M,,-456.00M,-456.00M,-1.279B,-1.279B,379.00M,-1.00M,-725.00M,13.53B,1.159B,-34.00M,14.66B,,,-2.00M,-456.00M
2011-12,1.543B,,,-442.00M,-226.00M,1.861B,1.861B,-563.00M,244.00M,82.00M,394.00M,,,,-102.00M,,3.233B,-603.00M,,,175.00M,-1.23B,-26.00M,-1.684B,-270.00M,-280.00M,-550.00M,,-562.00M,-562.00M,,-1.285B,127.00M,39.00M,-2.231B,14.25B,-682.00M,-40.00M,13.53B,,0.00,-270.00M,-562.00M
2011-09,1.724B,,,-96.00M,-96.00M,1.903B,1.903B,-133.00M,22.00M,87.00M,249.00M,,,,821.00M,,4.577B,-431.00M,,,0.00,230.00M,-62.00M,-263.00M,-12.00M,-40.00M,-52.00M,,-1.045B,-1.045B,,-1.175B,32.00M,-4.00M,-2.244B,12.34B,2.07B,-159.00M,14.25B,,-1.396B,-12.00M,-1.045B
2011-06,2.054B,,,1.00M,1.00M,1.832B,1.832B,-627.00M,137.00M,107.00M,-234.00M,,,,-418.00M,,2.852B,-365.00M,,,-356.00M,-318.00M,-9.00M,-1.048B,-1.265B,1.593B,328.00M,,-314.00M,-314.00M,,-1.176B,125.00M,-220.00M,-1.257B,11.70B,547.00M,100.00M,12.34B,,1.593B,-1.265B,-314.00M
2011-03,1.071B,,,-73.00M,-73.00M,1.831B,1.831B,-214.00M,302.00M,93.00M,-222.00M,,,,-1.067B,,1.721B,-324.00M,,,306.00M,142.00M,-19.00M,105.00M,,-197.00M,-197.00M,,0.00,0.00,,-1.175B,37.00M,163.00M,-1.172B,10.90B,654.00M,141.00M,11.70B,,-197.00M,,0.00
2010-12,-500.00M,,,-434.00M,-110.00M,1.866B,1.866B,-349.00M,2.225B,109.00M,150.00M,,,,148.00M,,3.539B,-660.00M,,,-104.00M,111.00M,-354.00M,-1.007B,1.347B,-1.483B,-136.00M,,0.00,0.00,-4.853B,-1.294B,50.00M,85.00M,-1.295B,9.874B,1.237B,-211.00M,10.90B,,1.999B,-652.00M,0.00
2010-09,372.00M,,,-155.00M,-155.00M,1.88B,1.88B,-424.00M,189.00M,126.00M,-183.00M,,,,787.00M,,2.592B,-338.00M,,,-11.00M,435.00M,108.00M,194.00M,-63.00M,-85.00M,-148.00M,,-296.00M,-296.00M,,-1.181B,76.00M,-76.00M,-1.625B,8.666B,1.161B,47.00M,9.874B,,-1.658B,-63.00M,-296.00M
2010-06,780.00M,,,63.00M,-380.00M,1.948B,1.948B,-471.00M,0.00,142.00M,249.00M,,,,1.057B,,3.325B,-337.00M,,,-10.00M,125.00M,686.00M,464.00M,-4.00M,-962.00M,-966.00M,,-1.297B,-1.297B,1.189B,-1.189B,42.00M,-53.00M,-3.463B,8.236B,326.00M,104.00M,8.666B,,1.658B,-4.00M,-1.297B
2010-03,330.00M,,,-61.00M,-61.00M,1.687B,1.687B,152.00M,27.00M,132.00M,161.00M,,,,-1.062B,,1.366B,-343.00M,,,-131.00M,-2.66B,-14.00M,-3.148B,-622.00M,2.62B,1.998B,,,,-1.189B,-1.189B,195.00M,-62.00M,942.00M,9.311B,-840.00M,-235.00M,8.236B,,,-622.00M,
2009-12,6.523B,,,-128.20M,-8.059B,1.250B,1.250B,-88.20M,,133.20M,-3.70M,,,,2.488B,,2.242B,-557.40M,,,-16.84B,4.277B,258.90M,-12.86B,-0.30M,-1.018B,-1.018B,,0.00,0.00,,-1.068B,178.20M,59.40M,-1.849B,21.82B,-12.47B,-34.50M,9.311B,,0.00,-0.30M,0.00
2009-09,3.455B,,,790.20M,-2.702B,393.70M,393.70M,1.260B,,84.70M,-728.40M,,,,-2.273B,,-312.10M,-303.30M,,600.30M,4.00B,4.410B,3.905B,12.01B,-17.20M,-1.618B,-1.635B,,0.00,0.00,,-803.90M,4.80M,62.00M,-2.372B,12.46B,9.327B,32.20M,21.82B,,-214.30M,-17.20M,0.00
2009-06,1.588B,,,-587.20M,-405.00M,489.30M,489.30M,495.80M,,83.80M,83.80M,,,,-1.503B,,749.00M,-365.20M,,-365.20M,0.00,2.110B,873.60M,2.619B,4.228B,-297.40M,3.931B,,0.00,0.00,,-803.40M,2.60M,-154.40M,2.975B,6.017B,6.343B,97.30M,12.46B,,3.931B,0.00,0.00
2009-03,1.456B,,,-585.80M,-38.70M,443.30M,443.30M,153.60M,,113.30M,113.30M,,,,-1.415B,,712.60M,-235.10M,,-235.10M,-130.00M,1.074B,681.10M,1.390B,-7.50M,511.70M,504.20M,,,,,-803.50M,0.40M,-93.00M,-391.90M,4.368B,1.711B,-62.00M,6.017B,,511.70M,-7.50M,
2008-12,1.674B,,,3.570B,-548.70M,473.80M,473.80M,693.80M,,62.50M,322.50M,,,,-1.953B,,1.011B,-383.70M,,,1.899B,-203.00M,-1.762B,-449.80M,-0.30M,-693.30M,-693.60M,,-209.60M,-209.60M,,-931.40M,1.50M,77.20M,-1.756B,5.720B,-1.195B,-157.40M,4.368B,,-2.553B,-0.30M,-209.60M
2008-09,1.124B,,,-665.60M,449.70M,391.20M,391.20M,-211.30M,,86.70M,86.70M,,,,-188.20M,,1.652B,-281.70M,,632.60M,0.00,-1.021B,-1.975B,-3.278B,-9.00M,1.816B,1.807B,,-964.30M,-964.30M,,-816.90M,8.20M,70.70M,104.60M,7.345B,-1.521B,-103.70M,5.720B,,1.816B,-9.00M,-964.30M
2008-06,1.799B,,,-523.00M,-76.10M,374.90M,374.90M,274.90M,,107.80M,107.80M,,,,-1.10B,,1.381B,-291.20M,,-291.20M,0.00,142.40M,139.80M,-9.00M,-0.10M,760.00M,759.90M,,-173.30M,-173.30M,,-821.90M,12.60M,-65.40M,-288.10M,6.289B,1.084B,-27.70M,7.345B,,737.40M,22.50M,-173.30M
2008-03,3.334B,,,-652.10M,-318.90M,391.10M,391.10M,-227.40M,,91.00M,91.00M,,,,-742.00M,,2.528B,-341.40M,,-341.40M,0.00,181.00M,2.063B,1.903B,-1.383B,-22.60M,-1.405B,,-1.378B,-1.378B,,-830.80M,79.70M,-49.50M,-3.584B,5.336B,847.50M,105.80M,6.289B,,,-1.405B,-1.378B
2007-12,-1.631B,,,,-21.30M,499.00M,499.00M,-1.390B,,,4.929B,,,-1.263B,-38.10M,,2.348B,-284.70M,,-284.70M,0.00,827.80M,-1.391B,-847.80M,,,-186.10M,425.20M,-855.10M,-429.90M,,-829.20M,,50.10M,-1.395B,5.208B,104.90M,22.90M,5.336B,425.20M,,,-855.10M
2007-09,1.526B,,,,328.20M,488.70M,488.70M,-313.60M,,,72.60M,,,924.40M,924.40M,,3.026B,-253.20M,,-253.20M,0.00,179.70M,3.30M,-70.20M,,,-498.90M,124.10M,-82.70M,41.40M,,-826.30M,,19.30M,-1.264B,3.470B,1.691B,47.60M,5.208B,124.10M,,,-82.70M
2007-06,1.676B,,,,-296.80M,500.10M,500.10M,-118.90M,,,81.20M,,,1.112B,1.112B,,2.954B,-272.40M,,-272.40M,-1.90M,-335.80M,-0.50M,-610.60M,,,-141.30M,304.40M,-247.50M,56.90M,,-825.20M,,-80.60M,-990.20M,2.102B,1.354B,14.00M,3.470B,304.40M,,,-247.50M
2007-03,1.704B,,,,-3.029B,500.40M,500.40M,40.90M,,,97.00M,,,-642.80M,-642.80M,,-1.329B,-200.70M,,-200.70M,-1.134B,55.80M,-2.50M,-1.281B,,,-357.60M,44.90M,-244.40M,-199.50M,,-826.60M,,167.40M,-1.216B,5.915B,-3.827B,13.80M,2.102B,44.90M,,,-244.40M
2006-12,473.90M,,,,1.035B,543.00M,543.00M,-304.10M,,,-543.50M,,,714.80M,571.80M,,1.776B,-295.50M,,-295.50M,,-944.30M,-49.60M,-1.694B,,,833.20M,29.10M,-251.30M,-222.20M,,-828.60M,,-202.80M,-420.40M,6.222B,-338.60M,31.20M,5.915B,29.10M,,,-251.30M
2006-09,940.60M,,,,-1.260B,563.30M,563.30M,-429.80M,,,1.140B,,,527.50M,527.50M,,1.481B,-224.00M,,-224.00M,,-1.744B,-0.70M,-1.968B,,,-504.80M,28.90M,-251.00M,-222.10M,,-830.90M,,54.50M,-1.503B,8.213B,-1.990B,-0.80M,6.222B,28.90M,,,-251.00M
2006-06,1.499B,,,,-118.70M,538.70M,538.70M,403.90M,,,357.30M,,,-479.30M,-479.30M,,2.201B,-263.10M,,-263.10M,,-2.463B,-0.40M,-2.726B,,,-253.00M,10.70M,-252.80M,-242.10M,,-833.30M,,-130.40M,-1.459B,10.19B,-1.984B,9.80M,8.213B,10.70M,,,-252.80M
2006-03,1.52B,,,,-0.30M,623.40M,623.40M,-200.20M,,,121.30M,,,-757.40M,-757.40M,,1.307B,-197.60M,,-197.60M,,1.703B,-0.40M,1.505B,,,-1.349B,301.20M,-247.20M,54.00M,,-829.80M,,-96.60M,-2.222B,9.585B,590.00M,11.90M,10.19B,301.20M,,,-247.20M
2005-12,1.120B,,,,33.30M,505.90M,505.90M,-174.60M,,,,,,-243.80M,780.50M,,2.265B,-406.60M,,-406.60M,,5.161B,-1.00M,4.753B,,,772.40M,136.50M,-251.30M,-114.80M,,-833.30M,,-174.30M,-350.00M,2.918B,6.668B,-0.70M,9.585B,136.50M,,,-251.30M
2005-09,1.421B,,,,-54.10M,423.10M,423.10M,209.70M,,,,,,228.00M,228.00M,,2.228B,-333.70M,,-333.70M,,78.30M,-1.30M,-256.70M,,,186.20M,-110.50M,-255.30M,-365.80M,,-836.30M,,49.10M,-966.80M,1.918B,1.004B,-3.70M,2.918B,-110.50M,,,-255.30M
2005-06,720.60M,,,,117.10M,399.30M,399.30M,-30.30M,,,-9.70M,,,579.70M,579.70M,,1.777B,-319.20M,,-319.20M,,-700.70M,-0.50M,-1.020B,,,-112.00M,11.10M,-255.50M,-244.40M,,-839.10M,,33.60M,-1.162B,2.390B,-405.60M,-66.40M,1.918B,11.10M,,,-255.50M
2005-03,1.370B,,,,-16.70M,379.80M,379.80M,4.20M,,,9.70M,,,-407.70M,-407.70M,,1.339B,-343.20M,,-343.20M,,-865.40M,-0.30M,-1.209B,,,434.70M,99.40M,-253.20M,-153.80M,,-841.10M,,-1.50M,-561.70M,2.879B,-431.20M,-58.00M,2.390B,99.40M,,,-253.20M
2004-12,1.101B,,,,-587.50M,399.40M,399.40M,-149.90M,,,,,,32.70M,1.605B,,2.368B,-516.70M,,-516.70M,-0.10M,659.90M,-1.20M,141.90M,,,278.80M,,-1.787B,-1.546B,,-843.00M,,-278.10M,-2.389B,2.667B,121.10M,90.80M,2.879B,,,,-1.787B
2004-09,1.326B,,,,619.10M,350.80M,350.80M,10.80M,,,,,,-51.30M,-51.30M,,2.255B,-447.30M,,-447.30M,-2.60M,286.20M,-3.90M,-167.60M,,,-16.40M,,-244.00M,-244.00M,,-821.90M,,40.40M,-1.042B,1.600B,1.046B,21.60M,2.667B,,,,-244.00M
2004-06,1.768B,,,,77.90M,352.30M,352.30M,191.20M,,,,,,-27.20M,-27.20M,,2.362B,-439.30M,,-439.30M,-10.10M,-795.70M,-0.20M,-1.245B,,,-228.20M,,-216.10M,-216.10M,,-823.40M,,-10.00M,-1.278B,1.762B,-160.70M,-1.60M,1.600B,,,,-216.10M
2004-03,1.619B,,,,-144.90M,348.20M,348.20M,-3.20M,,,,,,-4.70M,-4.70M,,1.814B,-322.80M,,-322.80M,,-43.00M,-1.30M,-367.10M,,,81.20M,,-227.90M,-227.90M,,-822.40M,,85.90M,-883.20M,1.201B,563.70M,-2.60M,1.762B,,,,-227.90M
2003-12,1.395B,,,,112.20M,320.60M,320.60M,-187.70M,,,,,,579.60M,1.188B,0.00,2.828B,-541.80M,,-541.80M,-138.30M,1.186B,-21.60M,484.60M,,,-2.874B,,-645.10M,-256.90M,,-827.00M,,-371.40M,-4.329B,2.174B,-1.016B,43.30M,1.201B,,,,-645.10M
2003-09,2.106B,,,,-265.70M,326.70M,326.70M,90.00M,,,,,,85.60M,85.60M,1.244B,3.587B,-471.00M,,-471.00M,0.00,-741.40M,0.70M,-1.212B,,,-496.50M,,-616.50M,-616.50M,,-807.00M,,42.70M,-1.877B,1.665B,497.70M,11.40M,2.174B,,,,-616.50M
2003-06,1.784B,,,,-236.10M,340.80M,340.80M,127.90M,,,,,,-494.90M,-494.90M,118.00M,1.640B,-482.00M,,-482.00M,0.00,-918.20M,-2.60M,-1.403B,,,322.00M,,-476.70M,-476.70M,,-808.10M,,99.40M,-863.40M,2.217B,-626.10M,73.90M,1.665B,,,,-476.70M
