,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-09,9.92B,,2.513B,2.513B,-319.00M,3.653B,3.653B,15.77B,-3.492B,754.00M,-2.738B,,,-1.427B,-4.165B,,,-738.00M,,-5.289B,-5.289B,,-1.913B,-158.00M,-8.098B,25.65B,3.504B,88.00M,29.24B,,,,-5.289B,,
2005-06,7.64B,,2.516B,2.516B,-167.00M,-976.00M,-976.00M,9.013B,-3.735B,2.029B,-1.706B,,,-422.00M,-2.128B,,,-286.00M,,-3.609B,-3.609B,,-1.884B,-90.00M,-5.869B,25.16B,1.016B,-533.00M,25.65B,,,,-3.609B,,
2005-03,7.86B,,2.553B,2.553B,-994.00M,3.549B,3.549B,12.97B,-2.713B,1.797B,-916.00M,,,-170.00M,-1.086B,,,9.00M,,-3.087B,-3.087B,,-1.822B,-103.00M,-5.003B,18.53B,6.879B,-245.00M,25.16B,,,,-3.087B,,
2004-12,8.42B,,2.613B,2.613B,90.00M,-4.155B,1.494B,12.31B,-3.407B,802.00M,-2.605B,,,-1.285B,-3.89B,,,-1.965B,,-3.716B,-2.756B,,-1.776B,-64.00M,-6.561B,16.11B,1.857B,566.00M,18.53B,,,,-3.716B,,
2004-09,5.68B,,2.431B,2.431B,210.00M,1.132B,1.132B,9.453B,-2.837B,570.00M,-2.267B,,,-603.00M,-2.87B,,,-152.00M,,-2.76B,-2.76B,,-1.83B,-68.00M,-4.81B,14.18B,1.773B,158.00M,16.11B,,,,-2.76B,,
2004-06,5.79B,,2.35B,2.35B,-138.00M,650.00M,650.00M,8.652B,-2.932B,928.00M,-2.004B,,,-4.565B,-6.569B,,,-154.00M,,-1.73B,-1.73B,,-1.791B,-52.00M,-3.727B,15.89B,-1.644B,-73.00M,14.18B,,,,-1.73B,,
2004-03,5.44B,,2.373B,2.373B,-48.00M,2.373B,2.373B,10.14B,-2.81B,454.00M,-2.356B,,,775.00M,-1.581B,,,320.00M,,-1.745B,-1.745B,,-1.714B,-31.00M,-3.17B,10.63B,5.387B,-119.00M,15.89B,,,,-1.745B,,
2003-12,6.65B,-933.00M,2.493B,2.493B,1.483B,-4.507B,-4.721B,6.799B,-3.554B,469.00M,-3.085B,,,-51.00M,-3.136B,,,-690.00M,,-2.093B,-1.659B,,-1.702B,-76.00M,-4.127B,11.02B,-464.00M,75.00M,10.63B,,,,-2.093B,,
2003-09,3.65B,0.00,2.203B,2.203B,-2.186B,2.037B,2.037B,5.704B,-3.073B,240.00M,-2.833B,,,-502.00M,-3.335B,,,-636.00M,,-1.577B,-1.577B,,-1.724B,-11.00M,-3.948B,12.52B,-1.579B,73.00M,11.02B,,,,-1.577B,,
2003-06,4.17B,-550.00M,2.169B,2.169B,1.018B,542.00M,542.00M,7.349B,-3.294B,248.00M,-3.046B,,,-590.00M,-3.636B,,,-611.00M,,-1.101B,-1.101B,,-1.917B,-115.00M,-3.744B,12.33B,-31.00M,224.00M,12.52B,,,,-1.101B,,
