,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-03,56.47B,56.47B,42.44B,14.03B,2.505B,,6.996B,146.00M,-146.00M,289.00M,9.79B,4.24B,146.00M,-146.00M,1.824B,-146.00M,5.918B,1.828B,4.09B,,,-80.00M,4.01B,4.01B,10.58B,4.519B,6.064B,0.95,,,,0.95,0.95,0.95,,,,0.95,0.95,4.223B,4.223B,0.75
2016-12,40.40B,40.40B,27.83B,12.56B,2.468B,,9.75B,195.00M,-195.00M,340.00M,12.56B,7.00M,195.00M,-195.00M,805.00M,-195.00M,617.00M,-1.407B,2.024B,,,-344.00M,1.68B,1.68B,8.929B,8.117B,812.00M,0.41,,,,0.41,0.41,0.41,,,,0.41,0.41,4.174B,4.174B,0.75
2016-09,56.77B,56.77B,45.79B,10.98B,2.736B,,6.496B,106.00M,-106.00M,327.00M,9.559B,1.422B,106.00M,-106.00M,1.91B,-106.00M,3.226B,337.00M,2.889B,,,-239.00M,2.65B,2.65B,7.937B,4.605B,3.332B,0.63,,,,0.63,0.63,0.63,,,,0.63,0.63,4.178B,4.178B,0.75
2016-06,56.36B,56.36B,45.46B,10.90B,2.646B,,6.67B,75.00M,-75.00M,445.00M,9.761B,1.137B,75.00M,-75.00M,1.334B,-75.00M,2.396B,715.00M,1.681B,,,19.00M,1.70B,1.70B,7.292B,4.821B,2.471B,0.41,,,,0.41,0.41,0.41,,,,0.41,0.41,4.178B,4.178B,0.75
2016-03,47.10B,47.10B,37.85B,9.257B,2.593B,,6.104B,77.00M,-77.00M,355.00M,9.052B,205.00M,77.00M,-77.00M,1.602B,-77.00M,1.73B,-51.00M,1.781B,,,29.00M,1.81B,1.81B,6.572B,4.765B,1.807B,0.43,,,,0.43,0.43,0.43,,,,0.43,0.43,4.178B,4.178B,0.73
2015-12,38.06B,38.06B,24.17B,13.88B,2.99B,,9.805B,60.00M,-60.00M,518.00M,13.31B,572.00M,60.00M,-60.00M,2.116B,-60.00M,2.628B,-202.00M,2.83B,,,-50.00M,2.78B,2.78B,7.443B,4.755B,2.688B,0.67,,,,0.67,0.67,0.67,,,,0.67,0.67,4.181B,4.181B,0.73
2015-09,65.68B,65.68B,51.24B,14.43B,2.967B,,6.981B,78.00M,-78.00M,324.00M,10.27B,4.162B,78.00M,-78.00M,1.665B,-78.00M,5.749B,1.365B,4.384B,,,-144.00M,4.24B,4.24B,10.37B,4.542B,5.827B,1.01,,,,1.01,1.01,1.01,,,,1.01,1.01,4.19B,4.19B,0.73
2015-06,71.36B,71.36B,56.96B,14.40B,2.831B,,6.91B,85.00M,-85.00M,370.00M,10.11B,4.286B,85.00M,-85.00M,2.753B,-85.00M,6.954B,2.692B,4.262B,,,-72.00M,4.19B,4.19B,11.49B,4.451B,7.039B,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,4.20B,4.20B,0.73
2015-03,64.76B,64.76B,51.26B,13.50B,2.713B,,6.613B,88.00M,-88.00M,311.00M,9.637B,3.863B,88.00M,-88.00M,2.86B,-88.00M,6.635B,1.56B,5.075B,,,-135.00M,4.94B,4.94B,11.02B,4.30B,6.723B,1.17,,,,1.17,1.17,1.17,,,,1.17,1.17,4.211B,4.211B,0.69
2014-12,83.87B,83.87B,67.16B,16.70B,3.128B,,7.537B,68.00M,-68.00M,537.00M,11.20B,5.502B,68.00M,-68.00M,3.408B,-68.00M,8.842B,2.06B,6.782B,,,-212.00M,6.57B,6.57B,13.37B,4.458B,8.91B,1.56,,,,1.56,1.56,1.56,,,,1.56,1.56,4.237B,4.237B,0.69
2014-09,103.21B,103.21B,81.90B,21.31B,3.169B,,8.244B,88.00M,-88.00M,319.00M,11.73B,9.574B,88.00M,-88.00M,3.924B,-88.00M,13.41B,5.064B,8.346B,,,-276.00M,8.07B,8.07B,17.86B,4.362B,13.50B,1.89,,,,1.89,1.89,1.89,,,,1.89,1.89,4.267B,4.267B,0.69
2014-06,105.72B,105.72B,84.84B,20.88B,3.169B,,8.484B,64.00M,-64.00M,496.00M,12.15B,8.726B,64.00M,-64.00M,5.489B,-64.00M,14.15B,5.034B,9.117B,,,-337.00M,8.78B,8.78B,18.50B,4.285B,14.22B,2.05,,,,2.05,2.05,2.05,,,,2.05,2.05,4.297B,4.297B,0.69
2014-03,101.31B,101.31B,79.56B,21.75B,3.132B,,8.021B,66.00M,-66.00M,317.00M,11.47B,10.28B,66.00M,-66.00M,5.013B,-66.00M,15.23B,5.857B,9.37B,,,-270.00M,9.10B,9.10B,19.48B,4.192B,15.29B,2.1,,,,2.1,2.1,2.1,,,,2.1,2.1,4.328B,4.328B,0.63
2013-12,106.02B,106.02B,83.78B,22.24B,3.341B,,8.584B,-152.00M,152.00M,591.00M,12.52B,9.722B,-152.00M,152.00M,4.842B,152.00M,14.72B,6.073B,8.643B,,,-293.00M,8.35B,8.35B,18.94B,4.38B,14.56B,1.91,,,,1.91,1.91,1.91,,,,1.91,1.91,4.362B,4.362B,0.63
2013-09,108.39B,108.39B,85.97B,22.42B,3.15B,,8.523B,52.00M,-52.00M,486.00M,12.16B,10.26B,52.00M,-52.00M,3.982B,-52.00M,14.19B,6.12B,8.069B,,,-199.00M,7.87B,7.87B,18.53B,4.287B,14.24B,1.79,,,,1.79,1.79,1.79,,,,1.79,1.79,4.395B,4.395B,0.63
2013-06,103.05B,103.05B,81.91B,21.14B,3.268B,,8.178B,85.00M,-85.00M,454.00M,11.90B,9.237B,85.00M,-85.00M,3.616B,-85.00M,12.77B,5.793B,6.975B,,,-115.00M,6.86B,6.86B,17.26B,4.405B,12.85B,1.55,,,,1.55,1.55,1.55,,,,1.55,1.55,4.433B,4.433B,0.63
2013-03,103.38B,103.38B,80.79B,22.59B,3.118B,,7.945B,24.00M,-24.00M,445.00M,11.51B,11.08B,24.00M,-24.00M,4.979B,-24.00M,16.04B,6.277B,9.761B,,,-261.00M,9.50B,9.50B,20.17B,4.11B,16.06B,2.12,,,,2.12,2.12,2.12,,,,2.12,2.12,4.485B,4.485B,0.57
2012-12,109.16B,109.16B,84.94B,24.22B,3.322B,,8.17B,111.00M,-111.00M,452.00M,11.94B,12.27B,111.00M,-111.00M,5.538B,-111.00M,17.70B,7.398B,10.30B,,,-352.00M,9.95B,9.95B,21.92B,4.11B,17.81B,2.2,,,,2.2,2.2,2.2,,,,2.2,2.2,4.541B,4.541B,0.57
2012-09,110.99B,110.99B,85.92B,25.07B,3.468B,,7.883B,59.00M,-59.00M,494.00M,11.84B,13.23B,59.00M,-59.00M,4.152B,-59.00M,17.32B,7.394B,9.926B,,,-356.00M,9.57B,9.57B,21.42B,4.037B,17.38B,2.09,,,,2.09,2.09,2.09,,,,2.09,2.09,4.597B,4.597B,0.57
2012-06,112.74B,112.74B,88.06B,24.69B,3.486B,,9.207B,50.00M,-50.00M,372.00M,13.06B,11.62B,50.00M,-50.00M,14.62B,-50.00M,26.19B,8.537B,17.65B,,,-1.744B,15.91B,15.91B,30.14B,3.899B,26.24B,3.41,,,,3.41,3.41,3.41,,,,3.41,3.41,4.656B,4.656B,0.57
2012-03,119.19B,119.19B,92.01B,27.18B,3.601B,,10.30B,107.00M,-107.00M,522.00M,14.42B,12.76B,107.00M,-107.00M,4.864B,-107.00M,17.52B,7.716B,9.799B,,,-349.00M,9.45B,9.45B,21.46B,3.842B,17.62B,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,4.715B,4.715B,0.47
2011-12,115.91B,113.67B,101.60B,12.07B,3.911B,,10.06B,75.00M,-75.00M,427.00M,2.892B,9.178B,75.00M,-75.00M,7.938B,-75.00M,17.04B,7.317B,9.724B,,,-324.00M,9.40B,9.40B,21.19B,4.075B,17.12B,1.97,0.0,,,1.97,1.97,1.97,0.0,,,1.97,1.97,4.774B,4.782B,0.47
2011-09,120.48B,121.42B,87.97B,33.44B,3.764B,,10.22B,98.00M,-98.00M,728.00M,18.58B,14.86B,98.00M,-98.00M,3.915B,-98.00M,18.68B,8.009B,10.67B,,,-341.00M,10.33B,10.33B,22.64B,3.866B,18.78B,2.13,0.0,,,2.13,2.13,2.13,0.0,,,2.13,2.13,4.839B,4.843B,0.47
2011-06,121.39B,121.77B,79.77B,42.00B,3.681B,,18.90B,45.00M,-45.00M,-8.021B,18.44B,23.56B,45.00M,-45.00M,3.72B,-45.00M,18.62B,7.721B,10.90B,,,-218.00M,10.68B,10.68B,22.54B,3.881B,18.66B,2.19,0.0,,,2.19,2.19,2.18,0.0,,,2.18,2.18,4.906B,4.912B,0.47
2011-03,109.25B,110.18B,77.93B,32.24B,3.627B,,9.403B,29.00M,-29.00M,334.00M,17.12B,15.12B,29.00M,-29.00M,3.827B,-29.00M,18.92B,8.004B,10.91B,,,-263.00M,10.65B,10.65B,22.71B,3.761B,18.95B,2.14,0.0,,,2.14,2.14,2.14,0.0,,,2.14,2.14,4.963B,4.971B,0.44
2010-12,101.04B,99.31B,86.20B,13.11B,3.855B,,9.63B,110.00M,-110.00M,551.00M,3.546B,9.565B,110.00M,-110.00M,5.872B,-110.00M,15.33B,5.811B,9.516B,,,-266.00M,9.25B,9.25B,19.71B,4.27B,15.44B,1.86,,,,1.86,1.86,1.85,,,,1.85,1.85,5.026B,5.035B,0.44
2010-09,92.35B,92.86B,65.03B,27.83B,3.707B,,9.306B,54.00M,-54.00M,500.00M,17.36B,10.47B,54.00M,-54.00M,2.443B,-54.00M,12.86B,5.297B,7.561B,,,-211.00M,7.35B,7.35B,16.76B,3.844B,12.91B,1.44,0.0,,,1.44,1.44,1.44,0.0,,,1.44,1.44,5.076B,5.089B,0.44
2010-06,89.69B,90.24B,63.79B,26.45B,3.607B,,8.569B,40.00M,-40.00M,407.00M,15.95B,10.50B,40.00M,-40.00M,2.244B,-40.00M,12.71B,4.96B,7.746B,,,-186.00M,7.56B,7.56B,16.11B,3.366B,12.75B,1.61,0.0,,,1.61,1.61,1.6,0.0,,,1.6,1.6,4.716B,4.729B,0.44
2010-03,87.04B,87.71B,62.04B,25.68B,3.514B,,8.613B,55.00M,-55.00M,686.00M,16.09B,9.586B,55.00M,-55.00M,2.537B,-55.00M,12.07B,5.493B,6.575B,,,-275.00M,6.30B,6.30B,15.40B,3.28B,12.12B,1.33,0.0,,,1.33,1.33,1.33,0.0,,,1.33,1.33,4.722B,4.736B,0.42
2009-12,85.48B,87.43B,81.28B,6.148B,3.881B,,-9.438B,36.00M,-36.00M,685.00M,-1.679B,7.827B,36.00M,-36.00M,2.415B,-36.00M,10.21B,4.067B,6.139B,,,-89.00M,6.05B,6.05B,13.44B,3.193B,10.24B,1.27,0.0,,,1.27,1.27,1.27,0.0,,,1.27,1.27,4.751B,4.758B,0.42
2009-09,80.58B,80.58B,49.79B,30.80B,3.887B,,15.90B,62.00M,-62.00M,495.00M,23.21B,7.591B,62.00M,-62.00M,1.675B,-62.00M,9.204B,4.333B,4.871B,,,-141.00M,4.73B,4.73B,12.19B,2.927B,9.266B,0.98,0.0,,,0.98,0.98,0.98,0.0,,,0.98,0.98,4.784B,4.803B,0.42
2009-06,72.17B,74.46B,51.64B,22.82B,3.519B,,8.436B,343.00M,-343.00M,,14.96B,7.86B,343.00M,-343.00M,1.583B,-343.00M,7.517B,3.571B,3.946B,,,4.00M,3.95B,3.95B,10.86B,3.004B,7.86B,0.82,0.0,,,0.82,0.82,0.81,0.0,,,0.81,0.81,4.851B,4.871B,0.42
2009-03,64.03B,64.03B,41.68B,22.35B,3.448B,,7.80B,107.00M,-107.00M,351.00M,14.39B,7.957B,107.00M,-107.00M,,-107.00M,7.85B,3.148B,4.702B,,,-152.00M,4.55B,4.55B,10.75B,2.793B,7.957B,0.92,0.0,,,0.92,0.92,0.92,0.0,,,0.92,0.92,4.937B,4.959B,0.4
2008-12,82.23B,82.23B,47.56B,34.67B,3.859B,,15.82B,118.00M,-118.00M,368.00M,23.22B,11.45B,118.00M,-118.00M,2.465B,-118.00M,13.80B,5.375B,8.424B,,,-604.00M,7.82B,7.82B,17.09B,3.177B,13.92B,1.57,0.0,,,1.57,1.57,1.57,0.0,,,1.57,1.57,5.035B,5.062B,0.4
2008-09,134.91B,134.91B,83.18B,51.74B,3.823B,,20.32B,318.00M,-318.00M,403.00M,27.55B,24.19B,318.00M,-318.00M,2.824B,-318.00M,26.69B,11.33B,15.37B,,,-536.00M,14.83B,14.83B,30.02B,3.008B,27.01B,2.86,0.0,,,2.86,2.86,2.85,0.0,,,2.85,2.85,5.149B,5.204B,0.4
2008-06,133.78B,138.07B,96.64B,41.44B,4.389B,,11.42B,107.00M,-107.00M,,18.90B,22.54B,107.00M,-107.00M,2.983B,-107.00M,22.43B,10.53B,11.90B,,,-225.00M,11.68B,11.68B,25.63B,3.09B,22.54B,2.24,0.0,,,2.24,2.24,2.22,0.0,,,2.22,2.22,5.428B,5.428B,0.4
2008-03,113.22B,116.85B,78.64B,38.22B,3.802B,,10.71B,130.00M,-130.00M,,17.61B,20.60B,130.00M,-130.00M,2.809B,-130.00M,20.47B,9.302B,11.17B,,,-282.00M,10.89B,10.89B,23.71B,3.104B,20.60B,2.03,0.0,,,2.03,2.03,2.02,0.0,,,2.02,2.02,5.343B,5.379B,0.35
2007-12,140.35B,107.74B,67.92B,39.82B,4.054B,,42.97B,,,,51.65B,-11.83B,,,-646.00M,,20.73B,8.062B,12.66B,,,-283.00M,11.66B,11.66B,224.00M,3.155B,-2.931B,2.1,0.0,,,2.1,2.1,2.1,0.0,,,2.1,2.1,5.551B,5.551B,0.35
2007-09,91.16B,102.34B,60.21B,42.13B,3.656B,1.049B,10.23B,,,,17.04B,25.09B,,,3.207B,,16.76B,7.35B,9.41B,,,-284.00M,9.41B,8.728B,28.25B,3.159B,25.09B,1.72,0.0,,,1.595,1.72,1.7,0.0,,,1.577,1.7,5.47B,5.535B,0.35
2007-06,95.06B,98.35B,55.66B,42.69B,3.788B,1.276B,17.70B,,,,24.48B,18.21B,,,3.291B,,17.93B,7.668B,10.26B,,,-188.00M,10.26B,9.431B,21.21B,2.994B,18.21B,1.85,0.0,,,1.7009999999999998,1.85,1.83,0.0,,,1.682,1.83,5.555B,5.62B,0.35
2007-03,76.89B,87.22B,47.60B,39.63B,3.392B,1.134B,9.591B,,,,15.92B,23.70B,,,3.049B,,16.06B,6.784B,9.28B,,,-250.00M,9.28B,8.543B,26.64B,2.942B,23.70B,1.64,0.0,,,1.51,1.64,1.62,0.0,,,1.4909999999999999,1.62,5.659B,5.728B,0.32
2006-12,80.12B,90.03B,50.18B,39.84B,3.838B,1.45B,9.997B,,,,17.12B,22.73B,,,3.17B,,15.56B,5.311B,10.25B,,,-324.00M,10.25B,9.295B,26.01B,3.282B,22.73B,1.77,0.0,,,1.605,1.77,1.76,0.0,,,1.5959999999999999,1.76,5.781B,5.812B,0.32
2006-09,88.50B,99.59B,56.77B,42.82B,3.412B,1.547B,10.16B,,,,16.30B,26.52B,,,3.325B,,18.18B,7.688B,10.49B,,,-292.00M,10.49B,9.562B,29.24B,2.73B,26.52B,1.79,0.0,,,1.632,1.79,1.77,0.0,,,1.6130000000000002,1.77,5.860B,5.927B,0.32
2006-06,87.81B,99.03B,55.77B,43.26B,3.557B,1.323B,10.17B,,,,16.49B,26.78B,,,3.01B,,18.20B,7.844B,10.36B,,,-253.00M,10.36B,9.566B,29.54B,2.76B,26.78B,1.74,0.0,,,1.607,1.74,1.72,0.0,,,1.588,1.72,5.954B,6.023B,0.32
2006-03,86.32B,88.98B,50.53B,38.45B,3.466B,863.00M,16.54B,,,,22.65B,15.81B,,,2.663B,,15.46B,7.059B,8.40B,,,-182.00M,8.40B,7.882B,18.45B,2.644B,15.81B,1.38,0.0,,,1.295,1.38,1.37,0.0,,,1.286,1.37,6.087B,6.131B,0.32
2005-12,119.04B,99.34B,56.94B,42.40B,3.678B,1.591B,40.79B,,,,47.14B,-4.741B,,,3.217B,,17.72B,7.008B,10.71B,,,-331.00M,10.71B,9.748B,-2.07B,2.671B,-4.741B,1.72,0.0,,,1.565,1.72,1.71,0.0,,,1.556,1.71,6.214B,6.245B,0.29
2005-09,88.57B,100.72B,59.13B,41.59B,3.765B,906.00M,10.85B,,,,17.13B,24.46B,,,3.986B,,16.05B,6.132B,9.92B,,,-174.00M,9.92B,9.360B,26.97B,2.513B,24.46B,1.6,0.0,,,1.51,1.6,1.58,0.0,,,1.4909999999999999,1.58,6.20B,6.278B,0.29
2005-06,79.11B,88.57B,51.36B,37.21B,3.508B,625.00M,10.47B,,,,16.49B,20.72B,,,1.946B,,12.76B,5.119B,7.64B,,,-199.00M,7.64B,7.265B,23.23B,2.516B,20.72B,1.21,0.0,,,1.151,1.21,1.2,0.0,,,1.141,1.2,6.314B,6.367B,0.29
2005-03,72.24B,82.05B,45.57B,36.48B,3.451B,1.02B,10.18B,,,,16.19B,20.29B,,,2.576B,,12.90B,5.043B,7.86B,,,-95.00M,7.86B,7.239B,22.84B,2.553B,20.29B,1.23,0.0,,,1.133,1.23,1.22,0.0,,,1.124,1.22,6.390B,6.443B,0.27
2004-12,101.09B,83.36B,45.25B,38.11B,3.903B,773.00M,37.94B,,,,44.46B,-6.348B,,,2.247B,,13.26B,4.845B,8.42B,,,-281.00M,8.42B,7.929B,-3.735B,2.613B,-6.348B,1.31,0.0,,,1.2329999999999999,1.31,1.3,0.0,,,1.224,1.3,6.402B,6.459B,0.27
2004-09,67.81B,76.38B,43.16B,33.22B,3.372B,302.00M,10.18B,,,,15.98B,17.24B,,,1.521B,,9.534B,3.854B,5.68B,,,-199.00M,5.68B,5.499B,19.67B,2.431B,17.24B,0.88,0.0,,,0.8519,0.88,0.88,0.0,,,0.8519,0.88,6.455B,6.455B,0.27
2004-06,62.71B,70.69B,38.89B,31.80B,3.332B,461.00M,9.931B,,,,15.61B,16.19B,,,1.473B,,9.48B,3.69B,5.79B,,,-142.00M,5.79B,5.508B,18.54B,2.35B,16.19B,0.89,0.0,,,0.8467,0.89,0.88,0.0,,,0.8372,0.88,6.506B,6.580B,0.27
2004-03,59.64B,67.60B,36.24B,31.36B,3.242B,286.00M,10.16B,,,,15.78B,15.58B,,,1.542B,,8.962B,3.522B,5.44B,,,-154.00M,5.44B,5.266B,17.95B,2.373B,15.58B,0.83,0.0,,,0.8035,0.83,0.83,0.0,,,0.8035,0.83,6.554B,6.554B,0.25
2003-12,55.71B,65.95B,33.86B,32.10B,3.708B,3.219B,10.11B,,,,16.32B,15.78B,,,4.013B,,9.378B,2.728B,6.65B,,0.00,-120.00M,6.65B,4.367B,18.27B,2.493B,15.78B,1.01,-0.08,0.0,,0.6623,1.01,1.01,-0.08,0.0003,,0.6623,1.01,6.565B,6.565B,0.25
2003-09,52.86B,59.84B,32.78B,27.06B,3.246B,400.00M,9.611B,,,,15.06B,12.00B,,,1.081B,,5.962B,2.312B,3.65B,,,-101.00M,3.65B,3.405B,14.21B,2.203B,12.00B,0.55,0.0,,,0.5131,0.55,0.55,0.0,,,0.5131,0.55,6.636B,6.636B,0.25
2003-06,50.27B,57.16B,29.73B,27.44B,3.34B,383.00M,9.113B,,,,14.62B,12.81B,,,998.00M,,6.748B,2.578B,4.17B,,,-100.00M,4.17B,3.933B,14.98B,2.169B,12.81B,0.63,0.0,,,0.5942,0.63,0.62,0.0,,,0.5848,0.62,6.619B,6.726B,0.25
2003-03,54.36B,63.78B,33.56B,30.22B,3.102B,,8.807B,,,,14.09B,16.12B,,,3.592B,,9.878B,3.388B,6.49B,,550.00M,-373.00M,7.04B,6.49B,18.31B,2.182B,16.12B,0.97,0.0,0.0,,0.97,1.05,0.97,0.0,0.082,,0.97,1.05,6.705B,6.705B,0.23
2002-12,49.38B,56.21B,30.45B,25.76B,3.179B,1.334B,8.751B,,,,14.06B,11.70B,,,863.00M,,5.417B,1.727B,3.69B,400.00M,,-101.00M,4.09B,2.781B,13.83B,2.075B,11.70B,0.54,0.06,,,0.4071,0.6,0.54,0.06,,,0.4071,0.6,6.840B,6.840B,0.23
2002-09,47.41B,54.10B,30.18B,23.92B,2.73B,-129.00M,8.485B,,,,13.39B,10.52B,,,775.00M,,4.484B,1.855B,2.629B,11.00M,,-76.00M,2.64B,2.706B,12.72B,2.195B,10.52B,0.39,0.0,,,0.4014,0.39,0.39,0.0,,,0.4014,0.39,6.769B,6.769B,0.23
2002-06,44.32B,50.80B,27.06B,23.74B,3.31B,-41.00M,8.391B,,,,13.70B,10.04B,,,791.00M,,4.281B,1.652B,2.629B,11.00M,,-17.00M,2.64B,2.654B,12.06B,2.02B,10.04B,0.39,0.01,,,0.3938,0.4,0.38,0.01,,,0.3837,0.39,6.60B,6.769B,0.23
