,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,4.125B,,4.125B,24.69B,,,24.69B,4.169B,13.88B,,18.05B,,,1.456B,48.32B,,,250.35B,,,40.35B,9.809B,300.51B,348.83B,37.21B,3.263B,,40.47B,,40.47B,,,,,19.84B,19.84B,,60.31B,20.78B,,20.78B,26.76B,26.76B,21.70B,6.716B,19.55B,93.61B,153.92B,14.89B,415.97B,,225.67B,,,,,,-16.99B,188.20B
2017-12,3.177B,,3.177B,21.27B,,4.323B,25.60B,4.121B,12.87B,,16.99B,,,1.368B,47.13B,477.18B,-224.56B,252.63B,,,39.16B,9.767B,301.56B,348.69B,21.70B,6.356B,6.331B,39.84B,,39.84B,,13.05B,115.00M,4.766B,17.93B,17.93B,,57.77B,23.08B,1.327B,24.41B,26.89B,26.89B,21.13B,6.812B,19.22B,96.42B,154.19B,14.66B,414.54B,,225.25B,,,,,,-16.26B,187.69B
2017-09,4.266B,,4.266B,23.26B,,,23.26B,4.255B,12.49B,,16.74B,,,1.48B,45.75B,,,255.56B,,,37.65B,10.47B,303.68B,349.43B,34.70B,3.338B,,38.04B,,38.04B,,,,,15.74B,15.74B,,53.78B,24.87B,,24.87B,34.43B,34.43B,20.87B,6.922B,21.28B,106.45B,160.23B,14.78B,409.45B,,225.30B,,,,,,-16.65B,182.28B
2017-06,4.042B,,4.042B,21.29B,,,21.29B,4.17B,11.14B,,15.30B,,,1.544B,42.18B,,,252.99B,,,37.72B,10.13B,300.83B,343.01B,31.10B,2.664B,,33.76B,,33.76B,,,,,17.18B,17.18B,,50.95B,24.75B,,24.75B,34.58B,34.58B,20.78B,6.66B,21.16B,106.22B,157.17B,14.62B,408.77B,,225.30B,,,,,,-18.90B,179.18B
2017-03,4.897B,,4.897B,21.84B,,,21.84B,4.187B,10.69B,,14.87B,,,1.519B,43.13B,,,253.15B,,,38.27B,9.663B,301.08B,344.21B,32.07B,2.822B,,34.89B,,34.89B,,,,,18.48B,18.48B,,53.37B,25.12B,,25.12B,34.77B,34.77B,20.58B,6.62B,21.41B,107.06B,160.44B,14.42B,408.71B,,225.29B,,,,,,-20.68B,177.15B
2016-12,3.657B,,3.657B,16.03B,,5.361B,21.39B,4.203B,10.88B,,15.08B,,,1.285B,41.42B,,,244.22B,,,35.10B,9.572B,288.90B,330.31B,17.80B,5.268B,5.991B,33.81B,,33.81B,,10.73B,143.00M,2.96B,13.83B,13.83B,,47.64B,27.71B,1.225B,28.93B,34.04B,34.04B,20.68B,6.505B,20.07B,108.85B,156.48B,12.16B,407.83B,,230.42B,,,,,,-22.24B,167.32B
2016-09,5.093B,,5.093B,20.39B,,,20.39B,4.361B,10.98B,,15.34B,,,2.122B,42.94B,,,251.92B,,,35.55B,8.965B,296.44B,339.39B,30.03B,2.755B,,32.78B,,32.78B,,,,,17.24B,17.24B,,50.02B,28.92B,,28.92B,34.86B,34.86B,21.02B,6.413B,22.22B,112.36B,162.38B,12.23B,409.28B,,230.45B,,,,,,-20.47B,170.60B
2016-06,4.358B,,4.358B,21.83B,,,21.83B,4.332B,11.54B,,15.88B,,,3.768B,45.83B,,,254.06B,,,34.18B,8.401B,296.64B,342.47B,33.80B,2.731B,,36.53B,,36.53B,,,,,14.97B,14.97B,,51.50B,29.50B,,29.50B,36.01B,36.01B,21.58B,6.284B,21.68B,114.09B,165.60B,12.02B,409.77B,,230.45B,,,,,,-20.74B,170.59B
2016-03,4.846B,,4.846B,19.81B,,,19.81B,4.386B,11.84B,,16.22B,,,3.368B,44.25B,,,255.26B,,,34.92B,8.366B,298.54B,342.79B,32.29B,2.892B,,35.19B,,35.19B,,,,,13.54B,13.54B,,48.73B,29.57B,,29.57B,36.29B,36.29B,22.40B,6.311B,21.85B,115.56B,164.29B,11.82B,411.20B,,230.45B,,,,,,-20.38B,172.19B
2015-12,3.705B,,3.705B,13.24B,,6.632B,19.88B,4.208B,12.04B,,16.24B,,,2.798B,42.62B,447.34B,-195.73B,251.60B,,,34.24B,8.285B,294.14B,336.76B,18.07B,5.739B,6.762B,35.21B,,35.21B,,17.97B,231.00M,558.00M,18.76B,18.76B,,53.98B,18.69B,1.238B,19.92B,36.82B,36.82B,22.65B,5.999B,21.16B,105.97B,159.95B,11.61B,412.44B,,229.73B,,,,,,-23.51B,170.81B
2015-09,4.296B,,4.296B,22.16B,,,22.16B,4.335B,12.25B,,16.58B,,0.00,4.197B,47.23B,,,250.58B,,,34.32B,8.53B,293.43B,340.66B,36.68B,3.674B,,40.36B,,40.36B,,,,,14.47B,14.47B,,54.83B,19.84B,,19.84B,38.21B,38.21B,24.42B,6.116B,21.00B,109.00B,163.82B,11.44B,412.72B,,229.10B,,,,,,-24.34B,170.72B
2015-06,4.343B,,4.343B,25.96B,,,25.96B,4.364B,12.30B,,16.66B,,35.00M,4.649B,51.65B,,,253.65B,,,34.16B,8.798B,296.61B,348.26B,39.91B,4.049B,,43.96B,,43.96B,,,,,14.41B,14.41B,,58.37B,19.43B,,19.43B,39.42B,39.42B,25.04B,6.33B,21.51B,110.89B,169.26B,11.22B,411.54B,,228.60B,,,,,,-21.49B,172.67B
2015-03,5.184B,,5.184B,25.03B,,,25.03B,4.31B,11.79B,,16.10B,,43.00M,4.298B,50.66B,,,249.50B,,,34.47B,8.335B,292.30B,342.96B,38.14B,4.512B,,42.66B,,42.66B,,,,,13.28B,13.28B,,55.93B,19.49B,,19.49B,38.94B,38.94B,24.63B,6.219B,21.00B,109.58B,165.52B,11.01B,410.41B,,227.60B,,,,,,-22.60B,171.23B
2014-12,4.616B,,4.616B,18.54B,,9.468B,28.01B,4.294B,12.38B,,16.68B,,42.00M,3.565B,52.91B,446.79B,-194.12B,252.67B,,,35.24B,8.676B,296.58B,349.49B,25.29B,8.228B,7.062B,47.16B,,47.16B,,16.22B,473.00M,770.00M,17.47B,17.47B,,64.63B,11.28B,375.00M,11.65B,39.23B,39.23B,25.80B,6.665B,21.79B,103.80B,168.43B,10.79B,408.38B,,225.82B,,,,,,-18.96B,174.40B
2014-09,4.962B,,4.962B,30.96B,,,30.96B,4.32B,13.44B,,17.76B,,52.00M,4.857B,58.60B,,,251.41B,,,35.01B,7.751B,294.17B,352.76B,49.27B,6.469B,,55.74B,,55.74B,,,,,10.24B,10.24B,,65.98B,11.59B,,11.59B,41.13B,41.13B,19.27B,6.908B,22.16B,99.28B,165.27B,10.68B,404.74B,,222.64B,,,,,,-12.20B,180.59B
2014-06,6.083B,,6.083B,34.18B,,,34.18B,4.233B,13.94B,,18.18B,,198.00M,5.373B,64.01B,,,251.35B,,,35.11B,8.11B,294.57B,358.59B,52.36B,7.218B,,59.58B,,59.58B,,,,,9.948B,9.948B,,69.53B,11.82B,,11.82B,41.00B,41.00B,20.16B,6.976B,22.91B,100.93B,170.46B,10.49B,399.61B,,219.64B,,,,,,-9.311B,181.16B
2014-03,5.601B,,5.601B,32.48B,,,32.48B,4.129B,14.44B,,18.57B,,204.00M,5.011B,61.86B,,,245.90B,,,37.17B,8.103B,291.17B,353.03B,52.11B,8.776B,,60.88B,,60.88B,,,,,9.223B,9.223B,,70.11B,12.14B,,12.14B,40.78B,40.78B,20.22B,6.493B,22.02B,100.03B,170.14B,10.28B,393.80B,,216.64B,,,,,,-11.04B,176.40B
2013-12,4.644B,,4.644B,25.99B,,7.159B,33.15B,4.018B,12.12B,,16.14B,,269.00M,5.108B,59.31B,434.52B,-190.87B,243.65B,,,36.33B,7.522B,287.50B,346.81B,30.92B,11.71B,6.695B,55.92B,,55.92B,,14.05B,723.00M,1.034B,15.81B,15.81B,,71.72B,6.516B,375.00M,6.891B,40.53B,40.53B,20.65B,6.492B,21.78B,94.59B,166.31B,10.08B,387.43B,,212.78B,,,,,,-10.72B,174.00B
2013-09,5.31B,,5.31B,33.23B,,,33.23B,4.038B,12.83B,,16.87B,,439.00M,5.457B,61.30B,,,240.98B,,,37.05B,8.232B,286.26B,347.56B,51.26B,7.60B,,58.86B,,58.86B,,,,,13.89B,13.89B,,72.75B,7.404B,,7.404B,39.51B,39.51B,25.32B,6.233B,22.47B,99.34B,172.09B,10.06B,381.83B,,209.60B,,,,,,-13.05B,169.24B
2013-06,4.609B,,4.609B,35.34B,,,35.34B,3.824B,13.37B,,17.20B,,403.00M,5.295B,62.84B,,,235.24B,,,35.64B,7.888B,278.77B,341.62B,52.62B,8.208B,,60.83B,,60.83B,,,,,11.86B,11.86B,,72.69B,7.496B,,7.496B,38.95B,38.95B,25.28B,5.941B,21.57B,97.34B,170.03B,9.882B,376.73B,,206.59B,,,,,,-14.38B,165.65B
2013-03,6.214B,,6.214B,34.29B,,,34.29B,3.785B,12.45B,,16.23B,,376.00M,5.482B,62.59B,,,233.73B,,,35.64B,7.676B,277.04B,339.64B,53.98B,10.17B,,64.15B,,64.15B,,,,,5.937B,5.937B,,70.08B,7.475B,,7.475B,38.71B,38.71B,25.29B,6.076B,21.26B,96.48B,166.56B,9.665B,372.67B,,202.56B,,,,,,-12.77B,167.00B
2012-12,9.582B,,9.582B,28.37B,,6.614B,34.99B,3.706B,10.84B,,14.54B,,341.00M,5.008B,64.46B,409.31B,-182.36B,226.95B,,,34.72B,7.668B,269.34B,333.80B,33.79B,13.89B,6.695B,60.49B,,60.49B,,1.963B,663.00M,1.027B,3.653B,3.653B,,64.14B,7.497B,431.00M,7.928B,37.57B,37.57B,25.27B,5.797B,23.68B,98.00B,162.14B,9.653B,365.73B,,197.33B,,,,,,-12.18B,165.86B
2012-09,13.06B,,13.06B,36.64B,,,36.64B,3.565B,13.01B,,16.58B,,206.00M,5.667B,72.14B,,,220.33B,,,35.10B,7.618B,263.05B,335.19B,53.52B,13.05B,,66.56B,,66.56B,3.496B,,,,3.496B,3.496B,,70.06B,8.928B,,8.928B,37.64B,37.64B,21.65B,5.642B,24.55B,92.78B,162.84B,0.00,358.37B,9.645B,192.19B,,,,,,-9.113B,166.71B
2012-06,17.80B,,17.80B,33.74B,,,33.74B,15.16B,,,15.16B,,215.00M,5.881B,72.80B,,,214.94B,,,33.92B,7.987B,256.85B,329.64B,51.32B,12.11B,,63.43B,,63.43B,6.704B,,,,6.704B,6.704B,,70.14B,8.877B,,8.877B,36.85B,36.85B,22.12B,5.174B,23.68B,91.52B,161.66B,0.00,351.42B,9.221B,187.17B,,,,,,-10.66B,162.81B
2012-03,18.67B,,18.67B,35.84B,,,35.84B,14.75B,,,14.75B,,477.00M,6.42B,76.16B,,,214.60B,,,34.53B,19.86B,268.99B,345.15B,59.08B,14.49B,,73.58B,,73.58B,6.419B,,,,6.419B,6.419B,,79.99B,9.231B,,9.231B,36.29B,36.29B,23.56B,7.105B,31.96B,101.04B,181.04B,0.00,338.17B,9.007B,182.16B,,,,,,-7.998B,157.01B
2011-12,12.66B,,12.66B,30.04B,,8.598B,38.64B,3.359B,11.66B,,15.02B,,404.00M,6.229B,72.96B,394.00B,-179.33B,214.66B,,,34.33B,9.092B,258.09B,331.05B,33.97B,19.85B,10.42B,69.79B,,69.79B,,2.281B,1.237B,4.193B,7.711B,7.711B,,77.50B,9.062B,260.00M,9.322B,36.62B,36.62B,24.99B,6.348B,20.06B,92.80B,170.31B,9.512B,330.94B,,176.93B,,,,,,-9.123B,154.40B
2011-09,11.02B,,11.02B,34.37B,,,34.37B,16.73B,,,16.73B,,233.00M,7.023B,69.38B,,,209.19B,,,35.34B,9.315B,253.85B,323.23B,54.57B,12.97B,,67.54B,,67.54B,7.431B,,,,7.431B,7.431B,,74.97B,9.331B,,9.331B,36.89B,36.89B,19.56B,6.273B,20.26B,86.04B,161.02B,0.00,323.79B,9.506B,172.02B,,29.00M,-9.258B,3.901B,,-5.328B,155.94B
2011-06,8.287B,1.754B,10.04B,35.33B,,,35.33B,19.05B,,,19.05B,,246.00M,7.639B,72.30B,,,209.81B,,,35.24B,8.851B,253.90B,326.20B,57.85B,12.32B,,70.17B,,70.17B,4.365B,,,,4.365B,4.365B,,74.53B,12.12B,,12.12B,37.19B,37.19B,20.26B,6.284B,20.26B,89.84B,164.37B,0.00,315.73B,9.352B,166.74B,,32.00M,-9.781B,6.95B,,-2.799B,155.55B
2011-03,12.83B,,12.83B,35.15B,,,35.15B,16.26B,,,16.26B,,401.00M,7.38B,72.02B,,,203.73B,,,35.21B,8.578B,247.51B,319.53B,57.70B,12.32B,,70.02B,,70.02B,3.56B,,,,3.56B,3.56B,,73.58B,12.32B,,12.32B,36.12B,36.12B,20.08B,6.051B,19.91B,88.43B,162.00B,0.00,307.36B,9.156B,161.38B,,39.00M,-9.955B,6.26B,,-3.656B,151.48B
2010-12,7.825B,,7.825B,32.28B,,,32.28B,3.124B,9.852B,,12.98B,,628.00M,5.271B,58.98B,373.94B,-174.39B,199.55B,,,35.34B,8.64B,243.53B,302.51B,30.78B,16.59B,12.48B,59.85B,,59.85B,564.00M,1.346B,,345.00M,2.255B,2.787B,,62.63B,12.23B,,12.23B,35.15B,35.15B,19.37B,5.84B,20.45B,87.20B,149.83B,0.00,298.90B,9.371B,156.61B,,,-9.889B,5.011B,55.00M,-4.823B,146.84B
2010-09,12.24B,15.00M,12.26B,,,,30.24B,14.30B,,,14.30B,,,5.828B,62.63B,,,195.44B,,,33.17B,8.748B,237.36B,299.99B,48.25B,10.44B,,58.69B,,58.69B,3.046B,,,,3.046B,3.046B,,61.74B,15.25B,,15.25B,35.30B,35.30B,18.01B,5.569B,19.09B,87.65B,149.39B,0.00,291.86B,9.341B,151.83B,,153.00M,-8.968B,4.476B,,-4.339B,145.03B
2010-06,13.25B,15.00M,13.27B,29.21B,,,29.21B,3.00B,10.44B,,13.44B,,,6.304B,62.22B,,,188.07B,,8.141B,32.64B,,228.85B,291.07B,45.45B,9.421B,,54.88B,,54.88B,2.946B,,,,2.946B,2.946B,,57.82B,17.49B,,17.49B,34.28B,34.28B,17.14B,5.195B,18.97B,87.88B,145.70B,0.00,286.74B,9.002B,148.82B,,,,2.051B,,2.051B,140.17B
2010-03,13.74B,85.00M,13.83B,29.05B,,,29.05B,13.49B,,,13.49B,,,5.329B,61.70B,,,140.82B,,7.692B,32.54B,,181.05B,242.75B,46.14B,9.212B,,55.35B,,55.35B,2.396B,,,,2.396B,2.396B,,57.74B,7.054B,,7.054B,23.66B,23.66B,17.59B,5.125B,19.04B,67.34B,125.08B,0.00,281.25B,5.30B,168.47B,,,-9.352B,3.815B,,-5.537B,112.54B
2009-12,10.69B,169.00M,10.86B,,,,27.64B,2.835B,8.718B,,11.55B,,0.00,5.175B,55.24B,305.91B,-166.79B,139.12B,,,31.66B,7.307B,178.09B,233.32B,24.24B,14.23B,11.12B,49.58B,,49.58B,2.476B,,,,2.476B,2.476B,,52.06B,7.129B,,7.129B,23.15B,23.15B,17.94B,4.823B,17.65B,65.87B,117.93B,0.00,276.94B,5.503B,166.41B,,,-9.863B,4.402B,,-5.461B,110.57B
2009-09,12.47B,151.00M,12.62B,26.94B,,,26.94B,12.58B,,,12.58B,,,5.179B,57.32B,,,132.87B,,,32.06B,7.045B,171.98B,229.31B,42.64B,7.87B,,50.52B,,50.52B,2.418B,,,,2.418B,2.418B,,52.93B,7.185B,,7.185B,23.24B,23.24B,18.63B,4.84B,15.21B,64.27B,117.20B,0.00,272.88B,5.445B,164.68B,,,-10.72B,4.341B,,-6.38B,107.26B
2009-06,15.58B,153.00M,15.73B,26.86B,,,26.86B,2.586B,9.855B,,12.44B,,,4.464B,59.50B,,,127.86B,,6.946B,30.36B,,165.16B,224.66B,41.90B,7.562B,,49.46B,,49.46B,2.157B,,,,2.157B,2.157B,,51.61B,7.117B,,7.117B,21.88B,21.88B,18.29B,4.561B,14.61B,61.89B,113.51B,0.00,270.16B,5.26B,160.58B,,,,,,-8.249B,106.59B
2009-03,24.97B,168.00M,25.14B,22.94B,,,22.94B,2.421B,10.30B,,12.72B,,,4.019B,64.82B,,,122.22B,,6.344B,29.10B,,157.67B,222.49B,38.47B,8.874B,,47.34B,,47.34B,2.163B,,,,2.163B,2.163B,,49.50B,7.041B,,7.041B,20.06B,20.06B,20.45B,4.375B,14.05B,61.61B,111.11B,0.00,268.25B,5.066B,155.41B,,,,-93.00M,-10.81B,-10.90B,107.00B
2008-12,31.44B,570.00M,32.01B,,,,24.70B,2.315B,9.331B,,11.65B,,,3.911B,72.27B,270.84B,-149.50B,121.35B,,5.884B,28.56B,,155.79B,228.05B,21.19B,15.92B,9.587B,46.70B,,46.70B,2.40B,,,,2.40B,2.40B,,49.10B,7.025B,,7.025B,19.73B,19.73B,20.73B,4.558B,13.95B,61.43B,110.53B,0.00,265.68B,5.314B,148.10B,,,-11.08B,1.146B,,-9.931B,112.96B
2008-09,36.67B,1.76B,38.43B,35.25B,,,35.25B,2.43B,,13.51B,15.94B,6.396B,,,96.02B,268.86B,-145.60B,123.26B,,,,36.94B,160.20B,256.22B,49.09B,,,49.09B,,49.09B,2.881B,,,,2.881B,2.881B,15.66B,67.63B,7.383B,,7.383B,23.26B,23.26B,,,32.65B,63.30B,130.93B,0.00,259.88B,5.105B,139.64B,,,,5.407B,-5.468B,-61.00M,125.29B
2008-06,38.97B,732.00M,39.70B,,41.82B,,41.82B,2.348B,13.51B,,15.86B,6.601B,,,103.98B,284.40B,-159.47B,124.92B,,,,37.85B,162.78B,266.76B,60.26B,,,60.26B,,60.26B,2.31B,,,,2.31B,2.31B,14.66B,77.23B,7.327B,,7.327B,24.30B,24.30B,,,33.07B,64.70B,141.93B,0.00,247.11B,4.904B,131.04B,,,,9.689B,-5.842B,3.847B,124.83B
2008-03,40.91B,480.00M,41.39B,,36.43B,,36.43B,2.303B,13.08B,,15.38B,4.559B,,,97.76B,282.41B,-159.47B,122.94B,,,,37.51B,160.44B,258.20B,53.61B,,,53.61B,,53.61B,2.771B,,,,2.771B,2.771B,14.60B,70.98B,7.235B,,7.235B,24.01B,24.01B,,,32.84B,64.08B,135.06B,0.00,237.53B,4.745B,122.64B,,,,9.449B,-5.945B,3.504B,123.14B
2007-12,33.98B,519.00M,34.50B,30.78B,,5.675B,36.45B,2.226B,,8.863B,11.09B,,,3.924B,85.96B,280.34B,-159.47B,120.87B,,,,35.25B,156.12B,242.08B,29.24B,17.14B,9.551B,55.93B,,55.93B,,,,,2.383B,2.383B,,58.31B,7.183B,,7.183B,22.90B,22.90B,,4.282B,27.64B,57.73B,116.04B,0.00,228.52B,4.933B,113.68B,,,,7.972B,-5.983B,1.989B,121.76B
2007-09,31.42B,190.00M,31.61B,31.83B,,,31.83B,2.136B,10.88B,,13.02B,4.179B,4.604B,,85.25B,264.70B,-145.60B,119.10B,,,,32.31B,151.41B,236.66B,43.52B,,,43.52B,,43.52B,2.095B,,,,2.095B,2.095B,10.30B,55.92B,6.896B,,6.896B,22.33B,22.33B,,,32.91B,62.14B,118.06B,0.00,218.76B,4.988B,106.00B,,,,7.433B,-6.584B,849.00M,118.60B
2007-06,28.96B,,28.96B,30.32B,,,30.32B,2.029B,10.87B,,12.90B,3.947B,4.604B,,80.72B,261.66B,-145.60B,116.06B,,,,31.54B,147.60B,228.32B,41.25B,,,41.25B,,41.25B,2.033B,,,,2.033B,2.033B,8.636B,51.92B,6.757B,,6.757B,21.55B,21.55B,,,31.74B,60.05B,111.96B,0.00,211.28B,4.795B,98.45B,,,,5.381B,-6.655B,-1.274B,116.35B
2007-03,29.99B,,29.99B,27.58B,,,27.58B,1.846B,10.76B,,12.60B,3.28B,4.604B,,78.06B,259.80B,-145.60B,114.20B,,,,31.03B,145.23B,223.30B,38.92B,,,38.92B,,38.92B,2.006B,,,,2.006B,2.006B,9.661B,50.59B,6.758B,,6.758B,21.01B,21.01B,,,30.83B,58.60B,109.19B,0.00,202.98B,4.53B,90.86B,,,,4.156B,-6.702B,-2.546B,114.11B
2006-12,28.24B,,28.24B,25.08B,,3.866B,28.94B,1.735B,8.979B,,10.71B,3.273B,4.604B,,75.78B,259.28B,-145.60B,113.69B,,,,29.55B,143.24B,219.02B,25.08B,,,25.08B,6.052B,31.14B,,,,,1.702B,1.702B,15.98B,48.82B,6.425B,220.00M,6.645B,20.85B,20.85B,,,28.86B,56.35B,105.17B,0.00,195.21B,4.786B,83.39B,,,,3.733B,-6.495B,-2.762B,113.84B
2006-09,32.73B,,32.73B,28.39B,,,28.39B,1.67B,10.86B,,12.53B,3.497B,4.604B,,81.75B,245.01B,-133.28B,111.72B,,,,30.47B,142.19B,223.95B,40.22B,,,40.22B,,40.22B,2.125B,,,,2.125B,2.125B,12.45B,54.80B,6.464B,,6.464B,21.02B,21.02B,,,25.07B,52.55B,107.35B,0.00,186.81B,4.665B,75.43B,,,,2.912B,-2.364B,548.00M,116.59B
