,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2018-03,3.750B,3.750B,2.820B,929.79M,416.46M,,54.14M,,-54.14M,416.46M,513.33M,,54.14M,-54.14M,10.64M,-54.14M,469.83M,103.70M,366.13M,,-0.141M,365.99M,365.99M,641.07M,117.10M,2018-03,2.75,,,2.75,2018-03,2.70,,,2.70,2018-03,133.03M,135.77M,2018-03,AOR,Restated
2017-12,3.371B,3.371B,2.564B,806.22M,408.34M,,53.13M,,-53.13M,408.34M,397.89M,,53.13M,-53.13M,15.47M,-53.13M,360.22M,303.90M,56.32M,,-0.163M,56.16M,56.16M,531.46M,118.11M,2017-12,0.42,,,0.42,2017-12,0.41,,,0.41,2017-12,133.11M,136.19M,2017-12,AOR,Restated
2017-09,3.365B,3.365B,2.523B,841.36M,396.98M,,53.56M,,-53.56M,396.98M,444.37M,,53.56M,-53.56M,-16.52M,-53.56M,374.30M,88.77M,285.54M,,-0.138M,285.40M,285.40M,543.96M,116.11M,2017-09,2.14,,,2.14,2017-09,2.10,,,2.10,2017-09,133.18M,135.79M,2017-09,AOR,Restated
2017-06,3.496B,3.496B,2.585B,911.49M,361.24M,,52.79M,,-52.79M,361.24M,550.25M,,52.79M,-52.79M,-96.85M,-52.79M,400.61M,107.25M,293.36M,,-0.054M,293.30M,293.30M,572.08M,118.69M,2017-06,2.20,,,2.20,2017-06,2.15,,,2.15,2017-06,133.28M,135.66M,2017-06,AOR,Restated
2017-03,3.119B,3.119B,2.384B,735.35M,392.04M,,42.06M,,-42.06M,392.04M,343.31M,,42.06M,-42.06M,13.81M,-42.06M,315.06M,76.22M,238.85M,,-0.174M,238.67M,238.67M,444.58M,87.46M,2017-03,1.79,,,1.79,2017-03,1.75,,,1.75,2017-03,133.23M,136.10M,2017-03,AOR,Restated
2016-12,2.671B,2.671B,2.044B,626.32M,336.58M,,33.44M,,-33.44M,336.58M,289.74M,,33.44M,-33.44M,64.42M,-33.44M,320.72M,79.32M,241.40M,,-0.095M,241.30M,241.30M,427.92M,73.75M,2016-12,1.81,,,1.81,2016-12,1.78,,,1.78,2016-12,133.32M,135.81M,2016-12,AOR,Restated
2016-09,2.743B,2.743B,2.106B,637.12M,322.97M,,34.15M,,-34.15M,322.97M,314.16M,,34.15M,-34.15M,12.24M,-34.15M,292.24M,82.01M,210.24M,,-0.109M,210.13M,210.13M,401.73M,75.33M,2016-09,1.57,,,1.57,2016-09,1.55,,,1.55,2016-09,133.68M,135.83M,2016-09,AOR,Restated
2016-06,2.957B,2.957B,2.272B,684.70M,338.57M,,32.72M,,-32.72M,338.57M,346.12M,,32.72M,-32.72M,22.80M,-32.72M,336.21M,94.30M,241.91M,,-0.115M,241.80M,241.80M,443.99M,75.07M,2016-06,1.80,,,1.80,2016-06,1.77,,,1.77,2016-06,134.39M,135.71M,2016-06,AOR,Restated
2016-03,2.829B,2.829B,2.209B,619.26M,335.91M,,33.74M,,-33.74M,335.91M,283.36M,,33.74M,-33.74M,23.38M,-33.74M,272.99M,85.85M,187.14M,,-0.058M,187.08M,187.08M,382.42M,75.68M,2016-03,1.39,,,1.39,2016-03,1.37,,,1.37,2016-03,134.81M,136.55M,2016-03,AOR,Restated
2015-12,2.706B,2.706B,2.141B,564.97M,314.67M,,34.30M,,-34.30M,314.67M,250.30M,,34.30M,-34.30M,13.88M,-34.30M,229.88M,46.74M,183.14M,,-0.155M,182.98M,182.98M,342.05M,77.87M,2015-12,1.35,,,1.35,2015-12,1.33,,,1.33,2015-12,135.37M,137.07M,2015-12,AOR,Restated
2015-09,2.869B,2.869B,2.201B,668.44M,370.21M,,35.76M,,-35.76M,370.21M,298.23M,,35.76M,-35.76M,13.18M,-35.76M,275.65M,80.62M,195.03M,,-0.048M,194.98M,194.98M,389.63M,78.22M,2015-09,1.42,,,1.42,2015-09,1.41,,,1.41,2015-09,136.84M,138.57M,2015-09,AOR,Restated
2015-06,3.145B,3.145B,2.421B,723.73M,391.80M,,34.80M,,-34.80M,391.80M,331.93M,,34.80M,-34.80M,6.838M,-34.80M,303.97M,124.39M,179.58M,,-0.131M,179.45M,179.45M,419.03M,80.26M,2015-06,1.29,,,1.29,2015-06,1.27,,,1.27,2015-06,138.67M,140.57M,2015-06,AOR,Restated
2015-03,3.162B,3.162B,2.373B,789.30M,372.31M,,35.00M,,-35.00M,372.31M,416.99M,,35.00M,-35.00M,6.38M,-35.00M,388.37M,102.90M,285.46M,,-0.117M,285.34M,285.34M,499.98M,76.61M,2015-03,2.06,,,2.06,2015-03,2.02,,,2.02,2015-03,138.79M,141.19M,2015-03,AOR,Restated
2014-12,3.135B,3.135B,2.402B,733.41M,379.80M,,27.64M,,-27.64M,379.80M,353.60M,,27.64M,-27.64M,17.31M,-27.64M,343.27M,75.93M,267.34M,,-0.083M,267.25M,267.25M,449.77M,78.86M,2014-12,1.84,,,1.84,2014-12,1.80,,,1.80,2014-12,145.49M,148.18M,2014-12,AOR,Restated
2014-09,3.270B,3.270B,2.460B,810.07M,400.84M,,20.96M,,-20.96M,400.84M,409.23M,,20.96M,-20.96M,8.369M,-20.96M,396.64M,116.46M,280.17M,,-0.082M,280.09M,280.09M,499.36M,81.77M,2014-09,1.88,,,1.88,2014-09,1.85,,,1.85,2014-09,148.74M,151.07M,2014-09,AOR,Restated
2014-06,3.525B,3.525B,2.686B,839.46M,421.18M,408.89M,20.16M,,-20.16M,421.18M,418.28M,,20.16M,-20.16M,9.711M,-20.16M,407.82M,106.65M,301.18M,,-0.138M,301.04M,-0.9260M,511.54M,83.55M,2014-06,2.02,,,-0.0070,2014-06,1.98,,,-0.0186,2014-06,148.97M,151.09M,2014-06,AOR,Restated
2014-03,3.358B,3.358B,2.606B,752.51M,407.24M,0.00,20.59M,,-20.59M,407.24M,345.27M,,20.59M,-20.59M,4.812M,-20.59M,329.49M,86.97M,242.52M,,-0.112M,242.41M,242.41M,433.14M,83.06M,2014-03,1.63,,,1.63,2014-03,1.60,,,1.60,2014-03,149.04M,151.74M,2014-03,AOR,Restated
2013-12,3.106B,3.106B,2.420B,686.04M,398.64M,-188.87M,20.85M,,-20.85M,398.64M,287.40M,,20.85M,-20.85M,228.77M,-20.85M,495.32M,241.91M,253.40M,,-0.116M,253.29M,376.05M,600.68M,84.51M,2013-12,1.70,,,2.523,2013-12,1.66,,,2.467,2013-12,149.15M,152.15M,2013-12,AOR,Restated
2013-09,3.226B,3.226B,2.476B,749.74M,406.93M,,20.96M,,-20.96M,406.93M,342.80M,,20.96M,-20.96M,2.243M,-20.96M,324.09M,79.77M,244.32M,,-0.004M,244.32M,244.32M,430.63M,85.58M,2013-09,1.64,,,1.64,2013-09,1.61,,,1.61,2013-09,149.24M,151.86M,2013-09,AOR,Restated
2013-06,3.428B,3.428B,2.618B,810.17M,413.06M,10.30M,20.78M,,-20.78M,413.06M,397.10M,,20.78M,-20.78M,-2.565M,-20.78M,373.76M,102.63M,271.13M,,0.034M,271.16M,263.69M,479.59M,85.05M,2013-06,1.82,,,1.770,2013-06,1.78,,,1.730,2013-06,149.30M,150.79M,2013-06,AOR,Restated
2013-03,3.307B,3.307B,2.569B,737.85M,379.69M,0.00,23.05M,,-23.05M,379.69M,358.16M,,23.05M,-23.05M,3.439M,-23.05M,338.55M,81.96M,256.59M,,-0.032M,256.56M,256.56M,448.35M,86.75M,2013-03,1.72,,,1.72,2013-03,1.68,,,1.68,2013-03,149.29M,152.36M,2013-03,AOR,Restated
2012-12,3.065B,3.065B,2.422B,643.52M,381.10M,0.00,24.22M,,-24.22M,381.10M,262.42M,,24.22M,-24.22M,24.42M,-24.22M,262.63M,81.52M,181.11M,,-0.152M,180.96M,180.96M,369.50M,82.66M,2012-12,1.21,,,1.21,2012-12,1.19,,,1.19,2012-12,149.00M,152.20M,2012-12,AOR,Restated
2012-09,3.215B,3.215B,2.477B,737.49M,381.12M,,23.51M,,-23.51M,381.12M,356.37M,,23.51M,-23.51M,3.201M,-23.51M,336.06M,96.11M,239.95M,,-0.207M,239.74M,239.74M,440.74M,81.17M,2012-09,1.61,,,1.61,2012-09,1.57,,,1.57,2012-09,149.29M,152.62M,2012-09,AOR,Restated
2012-06,3.412B,3.412B,2.572B,839.41M,386.68M,,23.49M,,-23.49M,386.68M,452.73M,,23.49M,-23.49M,-3.901M,-23.49M,425.34M,123.04M,302.30M,,-0.337M,301.96M,301.96M,526.35M,77.53M,2012-06,2.01,0.00,,2.01,2012-06,1.96,0.00,,1.96,2012-06,150.47M,153.94M,2012-06,AOR,Restated
2012-03,3.394B,3.394B,2.590B,803.25M,377.48M,,22.31M,,-22.31M,377.48M,425.77M,,22.31M,-22.31M,-2.629M,-22.31M,400.83M,88.14M,312.69M,,-0.615M,312.07M,312.07M,503.41M,80.27M,2012-03,2.07,,,2.07,2012-03,2.01,,,2.01,2012-03,151.02M,154.94M,2012-03,AOR,Restated
2011-12,3.107B,3.107B,2.381B,725.51M,368.69M,,23.77M,,-23.77M,368.69M,356.82M,,23.77M,-23.77M,5.896M,-23.77M,338.95M,96.60M,242.34M,,-1.577M,240.77M,240.77M,442.02M,79.30M,2011-12,1.59,,,1.59,2011-12,1.56,,,1.56,2011-12,150.96M,154.72M,2011-12,AOR,Restated
2011-09,3.234B,3.234B,2.414B,819.44M,386.47M,1.833M,23.22M,,-23.22M,386.47M,432.97M,,23.22M,-23.22M,1.833M,-23.22M,411.58M,113.43M,298.16M,,-1.14M,297.02M,295.69M,519.64M,84.83M,2011-09,1.95,0.00,,1.941,2011-09,1.91,0.00,,1.901,2011-09,152.44M,155.43M,2011-09,AOR,Restated
2011-06,3.410B,3.410B,2.591B,819.06M,413.44M,-14.48M,24.82M,,-24.82M,413.44M,405.62M,,24.82M,-24.82M,0.594M,-24.82M,381.39M,86.74M,294.65M,,-2.464M,292.19M,303.38M,491.89M,85.68M,2011-06,1.83,,,1.900,2011-06,1.79,,,1.858,2011-06,159.37M,163.38M,2011-06,AOR,Restated
2011-03,3.240B,3.240B,2.463B,777.02M,375.07M,12.38M,24.62M,,-24.62M,375.07M,401.95M,,24.62M,-24.62M,12.38M,-24.62M,389.72M,108.07M,281.65M,,-2.059M,279.59M,270.64M,498.17M,83.83M,2011-03,1.72,0.00,,1.665,2011-03,1.68,0.00,,1.626,2011-03,162.16M,166.69M,2011-03,AOR,Restated
2010-12,2.867B,2.867B,2.196B,670.94M,345.68M,6.624M,25.63M,,-25.63M,345.68M,325.26M,,25.63M,-25.63M,6.624M,-25.63M,306.25M,74.43M,231.82M,,-1.638M,230.18M,225.17M,417.19M,85.31M,2010-12,1.42,0.00,,1.389,2010-12,1.39,0.00,,1.360,2010-12,161.70M,166.10M,2010-12,AOR,Restated
2010-09,2.829B,2.829B,2.138B,691.40M,333.58M,3.182M,24.63M,,-24.63M,333.58M,357.82M,,24.63M,-24.63M,3.182M,-24.63M,336.36M,87.33M,249.03M,,-1.859M,247.17M,244.82M,445.98M,84.99M,2010-09,1.53,0.00,,1.515,2010-09,1.51,0.00,,1.496,2010-09,161.27M,164.11M,2010-09,AOR,Restated
2010-06,2.786B,2.786B,2.114B,672.28M,349.33M,-17.31M,26.90M,,-26.90M,349.33M,322.95M,,26.90M,-26.90M,-17.31M,-26.90M,292.16M,69.11M,223.05M,,-0.889M,222.16M,235.38M,403.55M,84.49M,2010-06,1.38,0.00,,1.462,2010-06,1.36,0.00,,1.441,2010-06,161.31M,163.51M,2010-06,AOR,Restated
2010-03,2.615B,2.615B,2.062B,552.37M,316.07M,3.959M,25.95M,,-25.95M,316.07M,236.30M,,25.95M,-25.95M,3.959M,-25.95M,206.39M,52.01M,154.38M,,-0.517M,153.86M,150.90M,320.42M,88.08M,2010-03,0.96,0.00,,0.9416,2010-03,0.94,0.00,,0.9219,2010-03,160.93M,163.63M,2010-03,AOR,Restated
2009-12,2.355B,2.355B,1.869B,485.23M,309.84M,-8.123M,25.03M,,-25.03M,309.84M,175.39M,,25.03M,-25.03M,-8.123M,-25.03M,142.24M,37.27M,104.96M,,-0.417M,104.55M,110.54M,264.24M,96.97M,2009-12,0.65,0.00,,0.6873,2009-12,0.64,0.00,,0.6768,2009-12,160.77M,162.74M,2009-12,AOR,Restated
2009-09,2.237B,2.237B,1.801B,436.22M,301.84M,-5.375M,25.72M,,-25.72M,301.84M,134.38M,,25.72M,-25.72M,-5.375M,-25.72M,114.03M,40.06M,73.97M,,-0.477M,73.49M,76.98M,232.72M,92.96M,2009-09,0.46,0.00,,0.4817,2009-09,0.45,0.00,,0.4715,2009-09,160.63M,162.04M,2009-09,AOR,Restated
2009-06,2.211B,2.211B,1.814B,396.89M,302.52M,36.57M,25.28M,,-25.28M,302.52M,94.37M,,25.28M,-25.28M,-5.899M,-25.28M,63.19M,14.80M,48.39M,,1.123M,49.52M,21.51M,181.87M,93.40M,2009-06,0.32,,,0.1455,2009-06,0.32,,,0.1467,2009-06,160.47M,161.57M,2009-06,AOR,Restated
2009-03,2.345B,2.345B,1.909B,436.11M,317.99M,-27.45M,28.39M,,-28.39M,317.99M,118.11M,,28.39M,-28.39M,-27.45M,-28.39M,62.27M,9.113M,53.16M,,0.267M,53.42M,76.86M,179.11M,88.45M,2009-03,0.33,0.00,,0.4760,2009-03,0.33,0.00,,0.4756,2009-03,160.53M,161.01M,2009-03,AOR,Restated
2008-12,2.689B,2.689B,2.121B,567.21M,337.18M,-0.483M,30.31M,,-30.31M,337.18M,230.02M,,30.31M,-30.31M,-0.483M,-30.31M,199.23M,42.47M,156.76M,,-1.36M,155.40M,155.78M,319.26M,89.72M,2008-12,0.97,0.00,,0.9724,2008-12,0.96,0.00,,0.9623,2008-12,160.84M,161.76M,2008-12,,Restated
2008-09,3.065B,3.065B,2.337B,727.47M,332.68M,-9.958M,,,,332.68M,394.78M,,,,-9.958M,,356.73M,106.55M,250.18M,,,250.18M,257.16M,480.95M,86.17M,2008-09,1.52,0.00,,1.562,2008-09,1.50,0.00,,1.542,2008-09,164.42M,166.91M,2008-09,,
2008-06,3.347B,3.347B,2.575B,771.33M,373.14M,1.972M,,,,373.14M,398.19M,,,,-10.31M,,362.86M,102.25M,260.61M,,,252.56M,251.15M,484.35M,95.04M,2008-06,1.50,,,1.492,2008-06,1.48,,,1.472,2008-06,168.14M,170.35M,2008-06,,Restated
2008-03,3.183B,3.183B,2.447B,735.32M,347.02M,-4.965M,,,,347.02M,388.30M,,,,-4.965M,,357.79M,102.35M,255.44M,,,255.44M,258.99M,464.83M,76.53M,2008-03,1.52,0.00,,1.541,2008-03,1.49,0.00,,1.511,2008-03,168.05M,171.44M,2008-03,,
2007-12,2.829B,2.829B,2.194B,634.92M,318.96M,6.224M,,,,318.96M,315.96M,,,,6.224M,,296.17M,84.31M,211.86M,,,211.86M,207.41M,394.93M,78.97M,2007-12,1.26,0.00,,1.234,2007-12,1.23,0.00,,1.204,2007-12,168.15M,172.25M,2007-12,,
2007-09,2.787B,2.787B,2.122B,664.96M,324.96M,0.165M,,,,324.96M,340.00M,,,,0.165M,,317.74M,88.14M,229.60M,,,229.60M,229.48M,416.17M,76.18M,2007-09,1.35,0.00,,1.350,2007-09,1.33,0.00,,1.330,2007-09,252.33M,252.33M,2007-09,,
2007-06,2.874B,2.874B,2.224B,650.61M,333.43M,2.294M,,,,333.43M,317.18M,,,,2.294M,,297.93M,80.75M,217.19M,,,217.19M,215.51M,389.72M,72.55M,2007-06,1.25,0.00,,1.240,2007-06,1.233,0.00,,1.224,2007-06,173.26M,176.54M,2007-06,,
2007-03,2.781B,2.781B,2.164B,617.14M,308.56M,8.75M,,,,308.56M,308.58M,,,,8.75M,,294.93M,85.62M,209.31M,,,209.31M,203.10M,382.40M,73.82M,2007-03,1.207,0.00,,1.171,2007-03,1.187,0.00,,1.151,2007-03,173.46M,176.38M,2007-03,,
2006-12,2.511B,2.511B,1.938B,573.14M,292.86M,6.777M,,,,292.86M,280.29M,,,,6.777M,,264.76M,71.80M,192.97M,,,192.97M,188.03M,354.25M,73.96M,2006-12,1.11,0.00,,1.082,2006-12,1.09,0.00,,1.062,2006-12,173.84M,177.03M,2006-12,,
2006-09,2.552B,2.552B,1.947B,604.22M,292.01M,6.626M,,,,292.01M,312.20M,,,,6.626M,,301.66M,91.08M,210.58M,,,210.58M,205.96M,386.44M,74.24M,2006-09,1.18,0.00,,1.154,2006-09,1.17,0.00,,1.144,2006-09,178.46M,179.99M,2006-09,,
2006-06,2.617B,2.617B,2.054B,562.74M,277.09M,-1.661M,,,,277.09M,285.65M,,,,-1.661M,,265.33M,77.44M,187.88M,6.007M,,193.89M,189.06M,357.36M,71.70M,2006-06,1.047,0.0333,,1.053,2006-06,1.033,0.0333,,1.040,2006-06,179.69M,181.87M,2006-06,,
2006-03,2.498B,2.498B,1.952B,545.88M,276.70M,6.929M,,,,276.70M,269.18M,,,,6.929M,,255.07M,77.54M,177.52M,,,177.52M,172.70M,341.77M,72.59M,2006-03,0.9933,0.00,,0.9663,2006-03,0.9733,0.00,,0.9469,2006-03,178.71M,182.39M,2006-03,,
2005-12,2.158B,2.158B,1.706B,451.85M,245.84M,-10.90M,,,,245.84M,206.01M,,,,-10.90M,,175.52M,46.50M,129.02M,,,129.02M,137.03M,277.33M,71.32M,2005-12,0.7267,0.00,,0.7718,2005-12,0.7133,0.00,,0.7576,2005-12,177.56M,180.87M,2005-12,,
2005-09,2.114B,2.114B,1.656B,457.80M,237.01M,-0.273M,,,,237.01M,220.78M,,,,-0.273M,,204.04M,60.19M,143.85M,28.88M,,172.73M,144.04M,286.14M,65.35M,2005-09,0.8067,0.16,,0.8077,2005-09,0.7933,0.16,,0.7944,2005-09,178.69M,181.19M,2005-09,,
2005-06,2.172B,2.172B,1.708B,464.42M,232.80M,-0.342M,,,,232.80M,231.63M,,,,-0.342M,,214.91M,58.84M,156.07M,5.341M,,161.41M,156.32M,298.56M,66.93M,2005-06,0.88,0.0267,,0.8814,2005-06,0.8667,0.0267,,0.8680,2005-06,178.01M,180.69M,2005-06,,
2005-03,2.112B,2.112B,1.689B,423.66M,215.23M,-2.026M,,,,215.23M,208.43M,,,,-2.026M,,189.32M,48.68M,140.65M,-1.276M,,139.37M,142.15M,273.08M,64.65M,2005-03,0.7867,-0.0067,,0.7951,2005-03,0.7733,-0.0067,,0.7816,2005-03,178.68M,181.79M,2005-03,,
2004-12,1.906B,1.906B,1.517B,389.03M,217.86M,1.433M,,,,217.86M,171.17M,,,,1.433M,,155.37M,44.95M,110.41M,60.71M,,171.13M,109.39M,238.87M,67.70M,2004-12,0.62,0.34,,0.6143,2004-12,0.6067,0.3333,,0.6011,2004-12,178.26M,182.05M,2004-12,,
2004-09,1.878B,1.878B,1.478B,400.22M,194.40M,-10.98M,,,,194.40M,205.82M,,,,-10.98M,,178.67M,52.64M,126.04M,6.747M,,132.78M,133.78M,269.24M,63.41M,2004-09,0.7067,0.04,,0.7502,2004-09,0.70,0.04,,0.7431,2004-09,177.83M,179.44M,2004-09,,
2004-06,1.853B,1.853B,1.455B,398.19M,211.68M,5.15M,,,,211.68M,186.51M,,,,5.15M,,259.34M,56.30M,118.46M,7.009M,,125.47M,114.43M,247.32M,60.81M,2004-06,0.7467,-0.0333,,0.7237,2004-06,0.74,-0.0333,,0.7172,2004-06,175.52M,177.07M,2004-06,,
2004-03,1.879B,1.879B,1.526B,352.76M,195.45M,-0.792M,,,,195.45M,157.31M,,,,-0.792M,,139.29M,33.55M,105.74M,2.108M,,107.85M,106.34M,218.52M,61.21M,2004-03,0.5933,0.0133,,0.5967,2004-03,0.5867,0.0133,,0.5900,2004-03,177.77M,179.75M,2004-03,,
2003-12,1.621B,1.621B,1.332B,289.38M,190.09M,,,,,190.09M,99.29M,,,,,,81.37M,25.60M,55.77M,,,55.77M,55.77M,163.57M,64.28M,2003-12,0.3133,0.00,,0.3133,2003-12,0.3133,0.00,,0.3133,2003-12,177.99M,177.99M,2003-12,,
2003-09,1.587B,1.587B,1.299B,288.14M,180.20M,-1.545M,,,,180.20M,107.94M,,,,-1.545M,,84.61M,27.92M,56.69M,,,56.69M,57.73M,171.32M,63.38M,2003-09,0.32,0.00,,0.3258,2003-09,0.32,0.00,,0.3258,2003-09,177.16M,177.16M,2003-09,,
2003-06,1.562B,1.562B,1.319B,242.47M,159.04M,,,,,159.04M,83.43M,,,,,,64.30M,19.66M,44.65M,,,49.08M,44.65M,151.08M,67.65M,2003-06,0.24,0.04,,0.24,2003-06,0.24,0.04,,0.24,2003-06,175.28M,175.29M,2003-06,,
2003-03,1.647B,1.647B,1.368B,278.41M,182.38M,,,,,182.38M,96.04M,,,,,,73.96M,25.29M,48.66M,,,48.66M,48.66M,157.23M,61.19M,2003-03,0.28,0.00,,0.28,2003-03,0.28,0.00,,0.28,2003-03,173.80M,173.80M,2003-03,,
2002-12,1.517B,1.517B,1.259B,258.37M,177.14M,,,,,177.14M,81.23M,,,,,,58.05M,20.49M,37.55M,,,37.55M,37.55M,146.99M,65.75M,2002-12,0.22,0.00,,0.22,2002-12,0.2133,0.00,,0.2133,2002-12,170.69M,176.02M,2002-12,,
2002-09,1.586B,1.586B,1.300B,286.01M,176.26M,,,,,176.26M,109.76M,,,,,,91.69M,30.72M,60.98M,,,60.98M,60.98M,173.83M,64.07M,2002-09,0.3467,0.00,,0.3467,2002-09,0.3467,0.00,,0.3467,2002-09,175.89M,175.89M,2002-09,,
2002-06,1.658B,1.658B,1.406B,251.79M,184.42M,,,,,184.42M,67.36M,,,,,,1.998M,13.85M,-11.85M,,,-11.85M,-11.85M,168.00M,100.64M,2002-06,-0.0667,0.00,,-0.0667,2002-06,-0.0733,0.00,,-0.0733,2002-06,171.55M,177.72M,2002-06,,
2002-03,1.578B,1.578B,1.309B,269.09M,171.76M,,,,,171.76M,97.32M,,,,,,76.56M,24.20M,52.36M,,,52.36M,52.36M,155.76M,58.44M,2002-03,0.30,0.00,,0.30,2002-03,0.30,0.00,,0.30,2002-03,174.52M,174.52M,2002-03,,
2001-12,1.437B,1.437B,1.204B,233.44M,164.88M,,,,,164.88M,68.55M,,,,,,46.99M,17.93M,29.06M,,,29.06M,29.06M,129.31M,60.75M,2001-12,0.1667,0.00,,0.1667,2001-12,0.1667,0.00,,0.1667,2001-12,174.37M,174.37M,2001-12,,
