,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2016-06,1.661B,,1.661B,2.044B,790.00M,2.834B,1.066B,605.00M,2.616B,4.287B,422.00M,,,9.204B,,,,,,,,3.277B,6.986B,3.709B,10.70B,314.00M,147.00M,147.00M,14.58B,23.78B,434.00M,202.00M,,636.00M,955.00M,1.591B,12.00M,12.00M,,12.00M,1.008B,1.008B,,104.00M,2.947B,3.268B,,3.268B,1.103B,1.103B,68.00M,280.00M,4.651B,7.598B,4.00M,9.399B,8.04B,,,,-1.325B,16.12B
2016-03,1.759B,,1.759B,2.212B,1.04B,3.252B,1.04B,595.00M,2.899B,4.534B,503.00M,,,10.05B,,,,,,,,3.303B,7.003B,3.80B,10.80B,324.00M,144.00M,132.00M,14.71B,24.75B,467.00M,326.00M,,793.00M,1.161B,1.954B,7.00M,7.00M,,7.00M,1.093B,1.093B,,132.00M,3.435B,3.372B,,3.372B,1.239B,1.239B,78.00M,275.00M,4.886B,8.321B,4.00M,9.635B,8.024B,,,,-1.308B,16.36B
2015-12,2.08B,,2.08B,2.926B,1.25B,4.176B,1.069B,632.00M,2.977B,4.678B,491.00M,,,11.42B,1.565B,,,3.694B,17.00M,5.276B,-2.152B,3.124B,6.98B,3.849B,10.83B,327.00M,130.00M,135.00M,14.54B,25.97B,623.00M,439.00M,,1.062B,1.181B,2.243B,2.00M,2.00M,,2.00M,1.211B,1.211B,,261.00M,3.958B,3.907B,,3.907B,1.362B,1.362B,77.00M,283.00M,5.552B,9.51B,4.00M,9.927B,8.005B,,,,-1.553B,16.38B
2015-09,1.846B,,1.846B,3.325B,1.669B,4.994B,1.143B,892.00M,3.137B,5.172B,530.00M,391.00M,,12.93B,,,,,,,,3.122B,8.465B,4.087B,12.55B,331.00M,520.00M,170.00M,16.70B,29.63B,731.00M,281.00M,,1.012B,1.561B,2.573B,2.00M,2.00M,,2.00M,1.694B,2.052B,358.00M,271.00M,5.193B,3.981B,,3.981B,1.826B,1.826B,80.00M,422.00M,6.229B,11.42B,4.00M,13.40B,6.201B,,,,-1.477B,18.13B
2015-06,2.544B,,2.544B,3.476B,1.81B,5.286B,1.227B,982.00M,3.185B,5.394B,562.00M,381.00M,,14.17B,,,,,,,,3.25B,8.507B,4.257B,12.76B,327.00M,535.00M,182.00M,17.06B,31.22B,847.00M,182.00M,,1.029B,1.683B,2.712B,151.00M,151.00M,,151.00M,1.835B,2.188B,353.00M,290.00M,5.672B,4.154B,,4.154B,1.976B,1.976B,78.00M,418.00M,6.548B,12.22B,4.00M,13.42B,6.625B,,,,-1.119B,18.93B
2015-03,3.024B,,3.024B,4.024B,1.926B,5.95B,1.25B,1.009B,3.119B,5.378B,569.00M,378.00M,,15.30B,,,,,,,,3.216B,8.509B,4.29B,12.80B,360.00M,559.00M,191.00M,17.12B,32.42B,988.00M,591.00M,,1.579B,1.754B,3.333B,151.00M,151.00M,,151.00M,2.111B,2.41B,299.00M,420.00M,6.667B,4.094B,,4.094B,2.014B,2.014B,85.00M,527.00M,6.635B,13.30B,4.00M,13.31B,7.045B,,,,-1.318B,19.04B
2014-12,3.536B,,3.536B,4.416B,1.878B,6.294B,1.255B,1.027B,2.999B,5.281B,604.00M,447.00M,,16.16B,1.528B,,,3.877B,,5.405B,-2.043B,3.362B,8.539B,4.444B,12.98B,362.00M,503.00M,190.00M,17.40B,33.56B,1.189B,642.00M,,1.831B,1.645B,3.476B,152.00M,152.00M,,152.00M,2.478B,2.787B,309.00M,297.00M,7.374B,3.014B,,3.014B,1.972B,1.972B,80.00M,430.00M,5.416B,12.79B,4.00M,13.18B,8.341B,,,,-834.00M,20.69B
2014-09,4.091B,,4.091B,4.482B,1.615B,6.097B,1.315B,1.149B,3.00B,5.464B,619.00M,399.00M,,16.67B,,,,,,,,3.377B,8.614B,4.695B,13.31B,356.00M,433.00M,125.00M,17.60B,34.27B,1.259B,448.00M,,1.707B,1.721B,3.428B,151.00M,151.00M,,151.00M,2.574B,2.979B,405.00M,140.00M,7.201B,2.995B,,2.995B,2.088B,2.088B,96.00M,367.00M,5.45B,12.65B,4.00M,12.78B,9.099B,,,,-362.00M,21.52B
2014-06,3.885B,,3.885B,4.427B,1.567B,5.994B,1.267B,1.031B,2.90B,5.198B,595.00M,331.00M,,16.00B,,,,,,,,3.44B,8.64B,4.808B,13.45B,351.00M,472.00M,113.00M,17.82B,33.83B,1.178B,436.00M,,1.614B,1.429B,3.043B,,,,,2.984B,3.428B,444.00M,25.00M,6.915B,3.148B,,3.148B,2.002B,2.002B,86.00M,344.00M,5.494B,12.41B,4.00M,12.28B,8.999B,,,,48.00M,21.33B
2014-03,3.688B,,3.688B,5.31B,1.52B,6.83B,1.414B,655.00M,3.59B,5.659B,709.00M,325.00M,,17.21B,,,,,,,,3.437B,8.875B,4.953B,13.83B,402.00M,479.00M,123.00M,18.27B,35.48B,1.391B,612.00M,,2.003B,1.465B,3.468B,,,,,2.834B,3.261B,427.00M,21.00M,7.098B,3.149B,,3.149B,2.088B,2.088B,95.00M,353.00M,5.59B,12.69B,4.00M,13.80B,8.933B,,,,-41.00M,22.70B
2013-12,3.436B,,3.436B,4.896B,1.539B,6.435B,1.175B,798.00M,3.63B,5.603B,576.00M,373.00M,,16.42B,1.494B,,,3.718B,,5.212B,-1.804B,3.408B,9.049B,5.055B,14.10B,390.00M,372.00M,115.00M,18.39B,34.81B,1.275B,744.00M,,2.019B,1.355B,3.374B,1.00M,1.00M,,1.00M,2.444B,2.756B,312.00M,31.00M,6.678B,3.149B,,3.149B,2.292B,2.292B,100.00M,363.00M,5.804B,12.48B,4.00M,13.32B,8.907B,,,,-4.00M,22.23B
2013-09,2.741B,,2.741B,4.801B,1.64B,6.441B,1.191B,1.057B,3.83B,6.078B,625.00M,370.00M,,16.26B,,,,,,,,3.333B,9.036B,5.18B,14.22B,373.00M,372.00M,124.00M,18.42B,34.67B,1.312B,260.00M,,1.572B,2.857B,4.429B,,,,,1.553B,1.888B,335.00M,,6.317B,3.749B,,3.749B,2.443B,2.443B,98.00M,439.00M,6.631B,12.95B,4.00M,12.78B,8.846B,,,,1.00M,21.63B
2013-06,2.327B,,2.327B,4.424B,1.448B,5.872B,1.225B,1.015B,3.843B,6.083B,579.00M,360.00M,,15.22B,,,,,,,,3.21B,8.997B,5.305B,14.30B,357.00M,395.00M,108.00M,18.37B,33.59B,1.232B,373.00M,,1.605B,1.434B,3.039B,,,,,1.833B,2.132B,299.00M,59.00M,5.619B,4.12B,,4.12B,2.458B,2.458B,92.00M,445.00M,7.023B,12.64B,4.00M,12.25B,8.805B,,,,-201.00M,20.86B
2013-03,2.441B,,2.441B,4.279B,1.333B,5.612B,1.246B,1.064B,3.825B,6.135B,474.00M,332.00M,,14.99B,,,,,,,,3.215B,9.005B,5.399B,14.40B,410.00M,395.00M,138.00M,18.56B,33.56B,1.283B,511.00M,,1.794B,1.308B,3.102B,,,,,1.78B,2.076B,296.00M,47.00M,5.546B,4.349B,,4.349B,2.543B,2.543B,130.00M,439.00M,7.331B,12.88B,4.00M,11.83B,8.772B,,,,-58.00M,20.55B
2012-12,3.319B,,3.319B,4.32B,1.225B,5.545B,1.268B,905.00M,3.718B,5.891B,574.00M,349.00M,,15.68B,1.348B,,,3.175B,,4.523B,-1.578B,2.945B,7.172B,4.743B,11.92B,393.00M,413.00M,140.00M,15.81B,31.48B,1.20B,505.00M,,1.705B,1.193B,2.898B,1.00M,1.00M,,1.00M,1.888B,2.221B,333.00M,18.00M,5.649B,3.148B,,3.148B,1.997B,1.997B,117.00M,334.00M,5.479B,11.13B,4.00M,11.38B,8.743B,,,,107.00M,20.24B
2012-09,1.702B,,1.702B,4.033B,1.065B,5.098B,1.245B,1.151B,3.593B,5.989B,592.00M,286.00M,,13.67B,,,,,,,,2.818B,6.94B,4.431B,11.37B,370.00M,320.00M,116.00M,15.00B,28.66B,1.365B,307.00M,,1.672B,1.181B,2.853B,354.00M,354.00M,,354.00M,687.00M,1.055B,368.00M,1.07B,5.681B,1.175B,,1.175B,1.802B,1.802B,109.00M,321.00M,3.298B,8.979B,4.00M,10.77B,8.718B,,,,79.00M,19.57B
2012-06,1.917B,,1.917B,3.86B,953.00M,4.813B,1.167B,1.10B,3.234B,5.501B,499.00M,284.00M,,13.01B,,,,,,,,2.70B,6.917B,4.512B,11.43B,365.00M,238.00M,87.00M,14.82B,27.83B,1.265B,309.00M,,1.574B,1.175B,2.749B,1.289B,1.289B,,1.289B,755.00M,979.00M,224.00M,1.143B,6.481B,159.00M,,159.00M,1.935B,1.935B,111.00M,327.00M,2.421B,8.902B,4.00M,10.21B,8.673B,,,,-69.00M,18.82B
2012-03,3.39B,,3.39B,3.33B,810.00M,4.14B,993.00M,993.00M,2.542B,4.528B,426.00M,352.00M,,12.84B,,,,,,,,2.531B,6.206B,4.004B,10.21B,409.00M,204.00M,97.00M,13.45B,26.29B,1.009B,730.00M,,1.739B,1.158B,2.897B,351.00M,351.00M,,351.00M,632.00M,931.00M,299.00M,997.00M,5.445B,159.00M,,159.00M,1.847B,1.847B,104.00M,316.00M,2.322B,7.767B,4.00M,9.658B,8.65B,,,,104.00M,18.42B
2011-12,3.535B,,3.535B,3.291B,593.00M,3.884B,907.00M,852.00M,2.271B,4.03B,325.00M,336.00M,,12.11B,1.069B,,,2.591B,,3.66B,-1.215B,2.445B,6.151B,4.073B,10.22B,391.00M,267.00M,78.00M,13.40B,25.52B,901.00M,828.00M,,1.729B,1.02B,2.749B,351.00M,351.00M,,351.00M,1.551B,1.765B,214.00M,83.00M,5.416B,159.00M,,159.00M,1.852B,1.852B,109.00M,360.00M,2.371B,7.787B,4.00M,9.103B,8.535B,,,,-23.00M,17.62B
2011-09,3.87B,,3.87B,3.109B,531.00M,3.64B,823.00M,833.00M,2.251B,3.907B,339.00M,282.00M,,12.04B,,,,,,,,1.967B,5.942B,3.995B,9.937B,371.00M,194.00M,37.00M,12.51B,24.54B,802.00M,488.00M,,1.29B,1.022B,2.312B,2.00M,2.00M,,2.00M,638.00M,908.00M,270.00M,1.164B,4.744B,510.00M,,510.00M,1.776B,1.776B,105.00M,275.00M,2.561B,7.305B,4.00M,8.58B,8.513B,,,,37.00M,17.13B
2011-06,3.44B,,3.44B,2.849B,499.00M,3.348B,772.00M,1.139B,1.845B,3.756B,381.00M,301.00M,,11.23B,,,,,,,,1.921B,5.949B,4.063B,10.01B,361.00M,179.00M,57.00M,12.53B,23.76B,745.00M,269.00M,,1.014B,1.106B,2.12B,2.00M,2.00M,,2.00M,675.00M,1.043B,368.00M,797.00M,4.25B,511.00M,,511.00M,1.815B,1.815B,115.00M,275.00M,2.601B,6.851B,4.00M,8.095B,8.466B,,,,225.00M,16.79B
2011-03,3.06B,,3.06B,2.757B,744.00M,3.501B,721.00M,1.092B,1.757B,3.57B,311.00M,297.00M,,10.74B,,,,,,,,1.861B,5.908B,4.026B,9.934B,402.00M,158.00M,62.00M,12.42B,23.16B,656.00M,352.00M,,1.008B,1.145B,2.153B,203.00M,203.00M,,203.00M,491.00M,920.00M,429.00M,593.00M,4.132B,512.00M,,512.00M,1.832B,1.832B,112.00M,279.00M,2.623B,6.755B,4.00M,7.661B,8.432B,,,,192.00M,16.29B
2010-12,3.333B,,3.333B,2.425B,815.00M,3.24B,661.00M,953.00M,1.774B,3.388B,258.00M,316.00M,,10.54B,0.00,736.00M,,2.167B,,2.903B,-1.063B,1.84B,5.79B,4.103B,9.893B,386.00M,341.00M,55.00M,12.52B,23.05B,628.00M,561.00M,,1.189B,985.00M,2.174B,373.00M,373.00M,,373.00M,387.00M,838.00M,451.00M,748.00M,4.536B,514.00M,,514.00M,1.885B,1.885B,114.00M,253.00M,2.652B,7.188B,4.00M,7.30B,8.353B,,,,91.00M,15.75B
2010-09,3.07B,,3.07B,2.408B,,2.408B,671.00M,1.184B,1.707B,3.562B,285.00M,232.00M,769.00M,10.33B,,,,,,,,1.808B,5.525B,3.877B,9.402B,365.00M,269.00M,61.00M,11.90B,22.23B,585.00M,434.00M,293.00M,1.312B,1.944B,3.256B,354.00M,354.00M,,354.00M,,,,262.00M,3.872B,516.00M,,516.00M,2.197B,2.197B,118.00M,242.00M,2.955B,6.827B,4.00M,6.906B,8.267B,,,,109.00M,15.29B
2010-06,2.688B,,2.688B,802.00M,2.387B,3.189B,703.00M,1.109B,1.631B,3.443B,276.00M,230.00M,,9.826B,,,,,,,,1.792B,5.532B,3.928B,9.46B,358.00M,169.00M,43.00M,11.82B,21.65B,598.00M,233.00M,,831.00M,2.30B,3.131B,,352.00M,,352.00M,,,,454.00M,3.937B,519.00M,,519.00M,2.091B,2.091B,109.00M,264.00M,2.874B,6.811B,4.00M,6.544B,8.247B,,,,-67.00M,14.73B
2010-03,2.608B,,2.608B,918.00M,2.111B,3.029B,681.00M,1.266B,1.476B,3.423B,257.00M,228.00M,,9.545B,,,,,,,,1.81B,5.544B,3.987B,9.531B,390.00M,131.00M,59.00M,11.92B,21.47B,1.219B,124.00M,,1.343B,2.245B,3.588B,,156.00M,,156.00M,,,,,3.744B,724.00M,,724.00M,2.166B,2.166B,113.00M,252.00M,3.142B,6.886B,4.00M,6.185B,8.228B,,,,50.00M,14.47B
2009-12,2.622B,,2.622B,2.187B,740.00M,2.927B,704.00M,1.307B,1.479B,3.49B,269.00M,290.00M,,9.598B,0.00,678.00M,,2.023B,,2.701B,-865.00M,1.836B,5.489B,4.052B,9.541B,393.00M,92.00M,72.00M,11.93B,21.53B,584.00M,321.00M,,905.00M,1.339B,2.244B,7.00M,7.00M,,7.00M,500.00M,840.00M,340.00M,1.151B,4.514B,876.00M,,876.00M,1.751B,1.751B,115.00M,163.00M,2.79B,7.304B,4.00M,5.805B,8.214B,,,,90.00M,14.11B
2009-09,3.192B,,3.192B,612.00M,2.204B,2.816B,762.00M,1.646B,1.359B,3.767B,405.00M,227.00M,,10.41B,,,,,,,,1.753B,5.405B,4.103B,9.508B,389.00M,189.00M,116.00M,11.96B,22.36B,510.00M,401.00M,,911.00M,2.454B,3.365B,,9.00M,,9.00M,,,,1.615B,4.989B,875.00M,,875.00M,2.098B,2.098B,109.00M,121.00M,3.094B,8.083B,4.00M,5.871B,8.203B,,,,92.00M,14.17B
2009-06,2.286B,,2.286B,590.00M,2.603B,3.193B,782.00M,1.507B,1.536B,3.825B,391.00M,215.00M,,9.91B,,,,,,,,1.758B,5.466B,4.134B,9.60B,387.00M,195.00M,89.00M,12.03B,21.94B,760.00M,236.00M,,996.00M,2.082B,3.078B,,8.00M,,8.00M,,,,2.081B,5.167B,873.00M,,873.00M,2.15B,2.15B,88.00M,144.00M,3.167B,8.334B,4.00M,5.486B,8.027B,,,,0.00,13.52B
2009-03,2.232B,,2.232B,616.00M,2.892B,3.508B,745.00M,1.491B,1.597B,3.833B,411.00M,206.00M,,10.19B,,,,,,,,1.677B,5.281B,4.241B,9.522B,451.00M,147.00M,93.00M,11.89B,22.08B,855.00M,358.00M,,1.213B,2.467B,3.68B,,5.00M,,5.00M,,,,2.083B,5.768B,868.00M,,868.00M,2.144B,2.144B,92.00M,127.00M,3.139B,8.907B,4.00M,5.266B,8.005B,,,,-194.00M,13.08B
2008-12,1.543B,,1.543B,618.00M,3.136B,3.754B,739.00M,1.326B,1.741B,3.806B,283.00M,271.00M,,9.657B,0.00,544.00M,,1.786B,,2.33B,-653.00M,1.677B,5.225B,4.30B,9.525B,421.00M,126.00M,73.00M,11.82B,21.48B,3.013B,230.00M,,3.243B,2.376B,5.619B,,4.00M,,4.00M,,,,,5.623B,870.00M,,870.00M,2.134B,2.134B,96.00M,128.00M,3.132B,8.755B,4.00M,4.796B,7.989B,,,,-161.00M,12.63B
2008-09,1.765B,,1.765B,3.767B,,3.767B,706.30M,1.384B,1.537B,3.627B,443.30M,205.60M,,9.809B,,,,,,2.248B,-512.80M,1.735B,5.339B,4.340B,9.679B,,229.10M,282.90M,11.93B,21.73B,3.101B,,,3.101B,2.540B,5.641B,,19.20M,,19.20M,,,,,5.660B,1.493B,,1.493B,2.128B,2.128B,90.30M,72.90M,3.694B,9.354B,4.20M,4.211B,7.978B,,,,97.20M,12.29B
