,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-12,-1.522B,0.00,3.00M,3.00M,183.00M,183.00M,-136.00M,1.634B,,-166.00M,385.00M,416.00M,39.00M,-380.00M,,,-138.00M,322.00M,,614.00M,-121.00M,,-121.00M,-16.00M,1.00M,-136.00M,-53.00M,,-53.00M,,0.00,0.00,-173.00M,-173.00M,-6.00M,8.00M,-224.00M,1.846B,254.00M,-20.00M,2.08B,,2.193B,-2.246B,0.00,22.00M,46.00M
2015-09,156.00M,0.00,0.00,0.00,184.00M,184.00M,-148.00M,55.00M,,74.00M,279.00M,186.00M,32.00M,-247.00M,,,-161.00M,89.00M,,410.00M,-98.00M,,-98.00M,-26.00M,18.00M,-106.00M,-324.00M,,-324.00M,,-444.00M,-444.00M,-174.00M,-174.00M,1.00M,-1.00M,-942.00M,2.544B,-638.00M,-60.00M,1.846B,,4.433B,-4.757B,-444.00M,100.00M,7.00M
2015-06,286.00M,34.00M,-7.00M,27.00M,190.00M,190.00M,33.00M,,,71.00M,653.00M,-66.00M,7.00M,-823.00M,,,-184.00M,-413.00M,,194.00M,-104.00M,,-104.00M,-21.00M,2.00M,-123.00M,60.00M,,60.00M,,-447.00M,-447.00M,-178.00M,-178.00M,2.00M,2.00M,-561.00M,3.024B,-490.00M,10.00M,2.544B,,2.88B,-2.82B,-447.00M,564.00M,44.00M
2015-03,313.00M,,-9.00M,-9.00M,190.00M,190.00M,-7.00M,,,91.00M,322.00M,-126.00M,34.00M,-424.00M,,,-270.00M,-464.00M,,114.00M,-130.00M,,-130.00M,-23.00M,4.00M,-149.00M,1.079B,,1.079B,,-1.33B,-1.33B,-185.00M,-185.00M,3.00M,-3.00M,-436.00M,3.536B,-471.00M,-41.00M,3.024B,,1.871B,-792.00M,-1.33B,96.00M,6.00M
2014-12,597.00M,0.00,-16.00M,-16.00M,199.00M,199.00M,-264.00M,104.00M,,-127.00M,-138.00M,107.00M,13.00M,953.00M,,,-906.00M,29.00M,0.00,736.00M,-231.00M,,-231.00M,-110.00M,34.00M,-307.00M,20.00M,,20.00M,,-779.00M,-779.00M,-196.00M,-196.00M,1.00M,4.00M,-950.00M,4.091B,-521.00M,-34.00M,3.536B,,20.00M,0.00,-779.00M,283.00M,45.00M
2014-09,701.00M,0.00,-9.00M,-9.00M,198.00M,198.00M,21.00M,0.00,,53.00M,-126.00M,-301.00M,-25.00M,91.00M,,,-84.00M,-445.00M,0.00,519.00M,-168.00M,,-168.00M,-79.00M,104.00M,-143.00M,-2.00M,,-2.00M,,0.00,0.00,-198.00M,-198.00M,73.00M,-3.00M,-130.00M,3.885B,246.00M,-40.00M,4.091B,,2.00M,-4.00M,0.00,211.00M,4.00M
2014-06,609.00M,73.00M,-23.00M,50.00M,190.00M,190.00M,-102.00M,,,63.00M,154.00M,-415.00M,85.00M,-182.00M,,,333.00M,-25.00M,86.00M,871.00M,-175.00M,,-175.00M,-100.00M,-247.00M,-528.00M,1.00M,,1.00M,,0.00,0.00,-198.00M,-198.00M,29.00M,10.00M,-158.00M,3.688B,185.00M,12.00M,3.885B,,151.00M,-150.00M,0.00,590.00M,46.00M
2014-03,548.00M,,-10.00M,-10.00M,191.00M,191.00M,45.00M,,,64.00M,-305.00M,-101.00M,-133.00M,-12.00M,,,198.00M,-353.00M,3.00M,488.00M,-125.00M,,-125.00M,-2.00M,7.00M,-126.00M,-1.00M,,-1.00M,,0.00,0.00,-111.00M,-111.00M,5.00M,2.00M,-105.00M,3.436B,257.00M,-5.00M,3.688B,,0.00,-1.00M,0.00,296.00M,7.00M
2013-12,630.00M,0.00,-16.00M,-16.00M,195.00M,195.00M,-243.00M,,,-10.00M,-50.00M,366.00M,39.00M,397.00M,,,30.00M,782.00M,108.00M,1.518B,-180.00M,,-180.00M,0.00,32.00M,-152.00M,-599.00M,,-599.00M,,,,-111.00M,-111.00M,33.00M,10.00M,-668.00M,2.741B,698.00M,-3.00M,3.436B,,252.00M,-851.00M,,213.00M,47.00M
2013-09,598.00M,0.00,-13.00M,-13.00M,187.00M,187.00M,23.00M,,,53.00M,-554.00M,-74.00M,-30.00M,60.00M,,,681.00M,83.00M,78.00M,1.009B,-150.00M,,-150.00M,-7.00M,23.00M,-148.00M,-371.00M,,-371.00M,,,,-111.00M,-111.00M,13.00M,4.00M,-465.00M,2.327B,396.00M,18.00M,2.741B,,801.00M,-1.172B,,218.00M,7.00M
2013-06,453.00M,66.00M,-15.00M,51.00M,182.00M,182.00M,-83.00M,,,11.00M,-326.00M,-41.00M,-98.00M,-189.00M,,,273.00M,-381.00M,131.00M,364.00M,-116.00M,,-116.00M,-15.00M,38.00M,-129.00M,-230.00M,,-230.00M,,,,-111.00M,-111.00M,7.00M,0.00,-334.00M,2.441B,-99.00M,-15.00M,2.327B,,170.00M,-400.00M,,497.00M,50.00M
2013-03,500.00M,,-19.00M,-19.00M,174.00M,174.00M,-33.00M,,,18.00M,100.00M,-13.00M,130.00M,43.00M,,,-394.00M,-134.00M,,506.00M,-168.00M,,-168.00M,-2.375B,8.00M,-2.535B,1.20B,,1.20B,,,,-56.00M,-56.00M,5.00M,13.00M,1.162B,3.319B,-867.00M,-11.00M,2.441B,,1.386B,-186.00M,,171.00M,7.00M
2012-12,560.00M,0.00,-15.00M,-15.00M,154.00M,154.00M,-130.00M,,,1.00M,-401.00M,178.00M,33.00M,36.00M,,,341.00M,187.00M,,800.00M,-187.00M,,-187.00M,538.00M,11.00M,-765.00M,1.622B,,1.622B,,,,-56.00M,-56.00M,2.00M,11.00M,1.578B,1.702B,1.613B,4.00M,3.319B,,4.556B,-2.934B,,252.00M,19.00M
2012-09,609.00M,0.00,-7.00M,-7.00M,157.00M,157.00M,-11.00M,,,33.00M,-201.00M,-367.00M,-86.00M,46.00M,,,-36.00M,-644.00M,,137.00M,-129.00M,,-129.00M,-291.00M,7.00M,-413.00M,79.00M,,79.00M,,,,-51.00M,-51.00M,18.00M,4.00M,50.00M,1.917B,-226.00M,11.00M,1.702B,,80.00M,-1.00M,,299.00M,9.00M
2012-06,602.00M,61.00M,-19.00M,42.00M,157.00M,157.00M,-68.00M,,,43.00M,-265.00M,-293.00M,-69.00M,-552.00M,,,150.00M,-1.029B,,-253.00M,-140.00M,,-140.00M,-1.956B,6.00M,-2.09B,938.00M,,938.00M,,,,-51.00M,-51.00M,5.00M,5.00M,897.00M,3.39B,-1.446B,-27.00M,1.917B,,939.00M,-1.00M,,797.00M,6.00M
2012-03,604.00M,,-17.00M,-17.00M,148.00M,148.00M,119.00M,,,,-257.00M,-492.00M,-99.00M,102.00M,,,-172.00M,-918.00M,,-64.00M,-113.00M,,-113.00M,-58.00M,11.00M,-160.00M,-1.00M,,-1.00M,,,,-51.00M,-51.00M,88.00M,22.00M,58.00M,3.535B,-166.00M,21.00M,3.39B,,0.00,-1.00M,,224.00M,6.00M
2011-12,573.00M,,-57.00M,-12.00M,142.00M,142.00M,-173.00M,,,-1.00M,172.00M,-61.00M,34.00M,362.00M,,,-465.00M,42.00M,,622.00M,-166.00M,,-166.00M,-723.00M,7.00M,-882.00M,-17.00M,,-17.00M,,,,,-51.00M,2.00M,0.00,-66.00M,3.87B,-326.00M,-9.00M,3.535B,,0.00,-17.00M,,140.00M,10.00M
2011-09,528.00M,,-11.00M,-11.00M,140.00M,140.00M,-170.00M,,,37.00M,-267.00M,-167.00M,32.00M,283.00M,,,229.00M,110.00M,,634.00M,-125.00M,,-125.00M,-56.00M,29.00M,-152.00M,-2.00M,,-2.00M,,,,,-47.00M,23.00M,6.00M,-20.00M,3.44B,462.00M,-32.00M,3.87B,,0.00,-2.00M,,93.00M,4.00M
2011-06,480.00M,,35.00M,35.00M,138.00M,138.00M,-104.00M,,,21.00M,-58.00M,-163.00M,-59.00M,-172.00M,,,794.00M,342.00M,,912.00M,-113.00M,,-113.00M,-208.00M,7.00M,-301.00M,-202.00M,,-202.00M,,,,,-47.00M,13.00M,2.00M,-234.00M,3.06B,377.00M,3.00M,3.44B,,0.00,-202.00M,,446.00M,18.00M
2011-03,404.00M,,-13.00M,-13.00M,135.00M,135.00M,95.00M,,,12.00M,-321.00M,-200.00M,-51.00M,15.00M,,,-101.00M,-658.00M,,-25.00M,-79.00M,,-79.00M,-51.00M,7.00M,-123.00M,-170.00M,,-170.00M,,,,,-46.00M,58.00M,14.00M,-144.00M,3.333B,-292.00M,19.00M,3.06B,,,-170.00M,,266.00M,12.00M
2010-12,437.00M,,-31.00M,-14.00M,129.00M,129.00M,-78.00M,,,19.00M,45.00M,140.00M,30.00M,325.00M,,,-282.00M,258.00M,,807.00M,-92.00M,,-92.00M,-487.00M,6.00M,-573.00M,-2.00M,,-2.00M,,,,,-46.00M,73.00M,-4.00M,21.00M,3.07B,255.00M,8.00M,3.333B,,1.00M,-3.00M,,207.00M,18.00M
2010-09,404.00M,,-8.00M,-8.00M,127.00M,127.00M,-2.00M,,,111.00M,-33.00M,-130.00M,-9.00M,-12.00M,,,5.00M,-179.00M,,453.00M,-62.00M,,-62.00M,-7.00M,7.00M,-62.00M,-2.00M,,-2.00M,,,,,-42.00M,-8.00M,11.00M,-41.00M,2.688B,350.00M,32.00M,3.07B,,2.00M,-4.00M,,82.00M,10.00M
2010-06,399.00M,,9.00M,9.00M,124.00M,124.00M,-170.00M,,,-48.00M,-279.00M,-38.00M,-19.00M,59.00M,,,150.00M,-127.00M,,187.00M,-47.00M,,-47.00M,-16.00M,4.00M,-43.00M,-7.00M,,-7.00M,,,,,-42.00M,3.00M,0.00,-46.00M,2.608B,98.00M,-18.00M,2.688B,,,-7.00M,,161.00M,17.00M
2010-03,419.00M,,-6.00M,-6.00M,127.00M,127.00M,85.00M,,,53.00M,74.00M,67.00M,13.00M,-46.00M,,,-691.00M,-583.00M,,95.00M,-31.00M,,-31.00M,-46.00M,12.00M,-65.00M,-2.00M,,-2.00M,,,,,-42.00M,5.00M,3.00M,-36.00M,2.622B,-6.00M,-8.00M,2.608B,,,-2.00M,,101.00M,11.00M
2009-12,391.00M,,-2.00M,-2.00M,126.00M,126.00M,,0.00,,128.00M,47.00M,365.00M,145.00M,568.00M,,,-1.535B,-410.00M,,126.00M,-64.00M,,-64.00M,-432.00M,4.00M,-233.00M,-5.00M,-7.00M,-12.00M,,,,,-460.00M,,-2.00M,-466.00M,3.192B,-573.00M,3.00M,2.622B,,0.00,-12.00M,,326.00M,19.00M
2009-09,387.00M,,-1.00M,-1.00M,126.00M,126.00M,,0.00,,-48.00M,368.00M,28.00M,-14.00M,-697.00M,,,535.00M,220.00M,,684.00M,-43.00M,,-43.00M,248.00M,0.00,205.00M,-1.00M,7.00M,6.00M,,,,,,,2.00M,8.00M,2.286B,897.00M,9.00M,3.192B,,7.00M,-1.00M,,194.00M,10.00M
2009-06,222.00M,,70.00M,70.00M,122.00M,122.00M,,147.00M,,-56.00M,388.00M,114.00M,18.00M,-158.00M,,,-367.00M,-5.00M,,500.00M,-64.00M,,-64.00M,-389.00M,8.00M,-445.00M,-34.00M,,-34.00M,,,,,0.00,,0.00,-34.00M,2.232B,21.00M,33.00M,2.286B,,,-34.00M,,331.00M,17.00M
2009-03,473.00M,,-28.00M,-28.00M,116.00M,116.00M,,,,51.00M,230.00M,-39.00M,-126.00M,-74.00M,,,182.00M,173.00M,,785.00M,-79.00M,,-79.00M,0.00,,-79.00M,,,0.00,,,,,0.00,,1.00M,1.00M,1.543B,707.00M,-18.00M,2.232B,,,,,78.00M,10.00M
2008-12,590.00M,,-5.00M,-5.00M,118.00M,118.00M,,0.00,0.00,46.00M,5.00M,-193.00M,161.00M,-90.00M,,,-111.00M,-228.00M,,588.00M,-115.00M,,-115.00M,-20.00M,1.00M,-134.00M,,-636.00M,-636.00M,,,,,,-43.00M,,-642.00M,1.765B,-188.00M,-34.00M,1.543B,,3.00M,-639.00M,,340.00M,24.00M
2008-09,553.00M,,-20.00M,-20.00M,116.00M,116.00M,,0.00,-1.00M,-7.00M,-137.00M,-153.00M,-5.00M,372.00M,,,-256.00M,-179.00M,,462.00M,-104.00M,,-104.00M,-26.00M,0.00,-130.00M,,-202.00M,-202.00M,,,,,,8.00M,,-194.00M,1.652B,138.00M,-25.00M,1.765B,,151.00M,-353.00M,,545.00M,22.00M
2008-06,425.00M,,-17.00M,-17.00M,107.00M,107.00M,,0.00,-34.00M,21.00M,-193.00M,-73.00M,94.00M,314.00M,,,-3.00M,139.00M,,641.00M,-106.00M,,-106.00M,-2.032B,112.00M,-2.026B,,795.00M,795.00M,,,,,,100.00M,,895.00M,2.139B,-490.00M,3.00M,1.652B,,2.576B,-1.781B,,344.00M,21.00M
2008-03,400.00M,,0.00,0.00,61.00M,61.00M,,,-2.00M,22.00M,-276.00M,-224.00M,-20.00M,264.00M,,,378.00M,122.00M,,603.00M,-54.00M,,-54.00M,-129.00M,,-183.00M,,-146.00M,-146.00M,,,,,,13.00M,,-133.00M,1.842B,287.00M,10.00M,2.139B,,1.00M,-147.00M,,32.00M,9.00M
2007-12,376.70M,,,2.20M,58.50M,58.50M,,,,40.20M,-79.30M,-337.70M,18.20M,281.40M,,,99.50M,-17.90M,,459.70M,-74.40M,,-74.40M,-36.50M,-0.70M,-111.60M,,,43.40M,-13.60M,,-13.60M,,,,2.90M,32.70M,1.486B,380.80M,-25.00M,1.842B,-13.60M,,,,,
2007-09,366.00M,,,43.60M,56.40M,56.40M,,,,-3.60M,-324.60M,-9.60M,-85.00M,300.90M,,,69.10M,-49.20M,,413.20M,-55.80M,,-55.80M,-50.00M,0.90M,-104.90M,,,-3.20M,29.60M,,29.60M,,,,3.60M,30.00M,1.033B,338.30M,115.00M,1.486B,29.60M,,,,,
2007-06,318.50M,,,6.00M,51.90M,51.90M,,,,-7.30M,-259.70M,-242.40M,-44.40M,97.40M,,,130.90M,-318.20M,,50.90M,-73.60M,,-73.60M,-199.30M,0.30M,-272.60M,,,-3.70M,33.10M,,33.10M,,,,7.30M,36.70M,1.190B,-185.00M,27.50M,1.033B,33.10M,,,,,
2007-03,275.90M,,,12.00M,47.30M,47.30M,,,,-9.10M,-135.80M,-167.90M,-32.40M,236.10M,,,38.10M,-61.90M,,264.20M,-48.00M,,-48.00M,-38.10M,0.30M,-85.80M,,,-1.10M,42.20M,,42.20M,,,,9.10M,50.20M,957.40M,228.60M,4.20M,1.190B,42.20M,,,,,
2006-12,239.20M,,,49.40M,41.90M,41.90M,,,,-2.00M,-150.20M,-105.80M,-8.20M,-251.30M,,,709.00M,193.50M,,522.00M,-61.80M,,-61.80M,-300.00M,-0.10M,-361.90M,,,-3.80M,2.00M,,2.00M,,,,2.00M,0.20M,786.70M,160.30M,10.40M,957.40M,2.00M,,,,,
2006-09,176.60M,,,-3.30M,41.60M,41.60M,,,,-1.10M,-94.10M,-176.00M,-33.20M,226.60M,,,192.20M,115.50M,,329.30M,-55.90M,,-55.90M,-7.30M,0.00,-63.20M,,,0.70M,3.70M,,3.70M,,,,1.10M,5.50M,515.70M,271.60M,-0.60M,786.70M,3.70M,,,,,
2006-06,147.90M,,,16.40M,38.70M,38.70M,,,,-10.40M,-92.70M,-182.90M,-20.90M,263.90M,,,118.80M,86.20M,,278.80M,-52.50M,,-52.50M,-1.40M,0.10M,-53.80M,,,0.10M,13.80M,,13.80M,,,,5.20M,19.10M,263.00M,244.10M,8.60M,515.70M,13.80M,,,,,
2006-03,120.30M,,,-4.10M,38.40M,38.40M,,,,,-72.10M,-155.20M,-39.40M,133.70M,,,65.00M,-68.00M,,86.60M,-30.20M,,-30.20M,-21.00M,,-51.20M,,,-2.10M,13.20M,,13.20M,,,,5.20M,16.30M,209.40M,51.70M,1.90M,263.00M,13.20M,,,,,
2005-12,101.60M,,,-1.30M,28.50M,28.50M,,,,,-182.60M,-118.50M,8.10M,91.70M,,104.60M,69.30M,-27.40M,,101.40M,-37.20M,,-37.20M,,-10.70M,-47.90M,,,-5.70M,4.50M,,4.50M,,,,,-1.20M,162.20M,52.30M,-5.10M,209.40M,4.50M,,,,,
2005-09,88.50M,,,39.20M,34.80M,34.80M,,,,,-96.90M,-40.00M,-5.90M,-53.10M,,3.80M,26.40M,-165.70M,,-3.20M,-29.30M,,-29.30M,,-12.60M,-41.90M,,,-145.70M,30.90M,,30.90M,,,,,-114.80M,322.40M,-159.90M,-0.30M,162.20M,30.90M,,,,,
2005-06,61.20M,,,-4.80M,35.00M,35.00M,,,,,-97.80M,-34.80M,-10.20M,48.70M,,-13.90M,38.40M,-69.60M,,21.80M,-28.50M,,-28.50M,,4.20M,-24.30M,,,-8.80M,40.00M,,40.00M,,,,,31.20M,295.10M,28.70M,-1.40M,322.40M,40.00M,,,,,
2005-03,35.60M,,,15.30M,16.30M,16.30M,,,,,-47.70M,-22.10M,-0.60M,-19.20M,,,-20.10M,-109.70M,,-42.50M,-10.00M,,-10.00M,,162.10M,152.10M,,,7.90M,36.50M,,36.50M,,,,,44.40M,142.70M,154.00M,-1.60M,295.10M,36.50M,,,,,
2004-12,55.02M,,,-13.18M,11.20M,11.20M,,,,,-62.90M,-61.21M,5.506M,158.06M,,-58.20M,52.20M,33.46M,,86.50M,-15.52M,,-15.52M,,16.62M,1.101M,,,-25.06M,0.516M,,0.516M,,,,,-24.54M,73.36M,63.06M,6.292M,142.70M,0.516M,,,,,
2004-09,27.83M,,,1.717M,12.09M,12.09M,-5.385M,,,,-70.13M,30.46M,-0.151M,33.71M,,43.64M,-12.91M,24.62M,,60.87M,-9.349M,-4.707M,-14.06M,,16.38M,2.319M,,,-55.25M,2.504M,,2.504M,,,,,-52.75M,62.68M,10.44M,0.247M,73.36M,2.504M,,,,,
2004-06,21.39M,,,-0.931M,10.88M,10.88M,7.415M,,,,-22.40M,-11.82M,7.407M,-46.56M,,5.72M,36.33M,-31.32M,,7.429M,-7.765M,4.707M,-3.058M,,-2.002M,-5.06M,,,-6.331M,1.126M,,1.126M,,,,,-5.205M,67.69M,-2.836M,-2.177M,62.68M,1.126M,,,,,
