,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-09,1.646B,1.646B,1.567B,79.00M,293.00M,-972.00M,25.00M,3.00M,-22.00M,,293.00M,-214.00M,3.00M,25.00M,-22.00M,-1.008B,-22.00M,-1.244B,120.00M,-1.364B,,2.00M,-1.362B,-483.31M,-1.043B,176.00M,-1.219B,-3.62,,,-1.2830000000000001,-3.62,-3.62,,,-1.2830000000000001,-3.62,376.00M,376.00M,0.05
2016-06,1.724B,1.724B,1.689B,35.00M,305.00M,,30.00M,3.00M,-27.00M,,305.00M,-270.00M,3.00M,30.00M,-27.00M,-41.00M,-27.00M,-338.00M,-121.00M,-217.00M,,0.00,-217.00M,-217.00M,-130.00M,178.00M,-308.00M,-0.58,,,-0.58,-0.58,-0.58,,,-0.58,-0.58,375.00M,375.00M,0.05
2016-03,2.189B,2.189B,1.945B,244.00M,433.00M,,25.00M,5.00M,-20.00M,,433.00M,-189.00M,5.00M,25.00M,-20.00M,-27.00M,-20.00M,-236.00M,-118.00M,-118.00M,,,-118.00M,-118.00M,-36.00M,175.00M,-211.00M,-0.32,,,-0.32,-0.32,-0.32,,,-0.32,-0.32,375.00M,375.00M,0.46
2015-12,2.722B,2.722B,2.334B,388.00M,386.00M,-1.634B,27.00M,5.00M,-22.00M,,386.00M,2.00M,5.00M,27.00M,-22.00M,-1.654B,-22.00M,-1.674B,-152.00M,-1.522B,,-1.00M,-1.523B,-37.37M,-1.464B,183.00M,-1.647B,-4.06,0.0,,-0.0664,-4.06,-4.06,0.0,,-0.0664,-4.06,372.00M,372.00M,0.46
2015-09,3.306B,3.306B,2.634B,672.00M,383.00M,-55.00M,24.00M,2.00M,-22.00M,,383.00M,289.00M,2.00M,24.00M,-22.00M,-75.00M,-22.00M,192.00M,36.00M,156.00M,,-1.00M,155.00M,199.66M,400.00M,184.00M,216.00M,0.41,,,0.5275,0.41,0.41,,,0.5272,0.41,380.00M,381.00M,0.46
2015-06,3.909B,3.909B,3.054B,855.00M,417.00M,,26.00M,2.00M,-24.00M,,417.00M,438.00M,2.00M,26.00M,-24.00M,-23.00M,-24.00M,391.00M,105.00M,286.00M,,3.00M,289.00M,289.00M,607.00M,190.00M,417.00M,0.75,,,0.75,0.75,0.74,,,0.74,0.74,387.00M,388.00M,0.46
2015-03,4.82B,4.82B,3.643B,1.177B,607.00M,,26.00M,5.00M,-21.00M,,607.00M,570.00M,5.00M,26.00M,-21.00M,-47.00M,-21.00M,502.00M,189.00M,313.00M,,-3.00M,310.00M,310.00M,718.00M,190.00M,528.00M,0.76,,,0.76,0.76,0.76,,,0.76,0.76,407.00M,409.00M,0.46
2014-12,5.709B,5.709B,4.168B,1.541B,524.00M,-104.00M,26.00M,5.00M,-21.00M,,524.00M,1.017B,5.00M,26.00M,-21.00M,-166.00M,-21.00M,830.00M,233.00M,597.00M,0.00,-2.00M,595.00M,669.80M,1.055B,199.00M,856.00M,1.39,0.0,,1.565,1.39,1.39,0.0,,1.564,1.39,428.00M,430.00M,0.46
2014-09,5.587B,5.587B,4.059B,1.528B,540.00M,0.00,26.00M,4.00M,-22.00M,,540.00M,988.00M,4.00M,26.00M,-22.00M,18.00M,-22.00M,984.00M,283.00M,701.00M,0.00,-2.00M,699.00M,699.00M,1.208B,198.00M,1.01B,1.63,0.0,,1.63,1.63,1.62,0.0,,1.62,1.62,429.00M,431.00M,0.46
2014-06,5.255B,5.255B,3.80B,1.455B,542.00M,,27.00M,5.00M,-22.00M,,542.00M,913.00M,5.00M,27.00M,-22.00M,2.00M,-22.00M,893.00M,284.00M,609.00M,11.00M,-1.00M,619.00M,608.00M,1.11B,190.00M,920.00M,1.42,0.03,,1.42,1.45,1.42,0.02,,1.42,1.44,428.00M,430.00M,0.46
2014-03,4.889B,4.889B,3.599B,1.29B,491.00M,,26.00M,4.00M,-22.00M,,491.00M,799.00M,4.00M,26.00M,-22.00M,10.00M,-22.00M,787.00M,239.00M,548.00M,41.00M,0.00,589.00M,548.00M,1.004B,191.00M,813.00M,1.28,0.1,,1.28,1.38,1.28,0.09,,1.28,1.37,428.00M,429.00M,0.26
2013-12,5.302B,5.302B,3.898B,1.404B,495.00M,,27.00M,4.00M,-23.00M,,495.00M,909.00M,4.00M,27.00M,-23.00M,1.00M,-23.00M,887.00M,257.00M,630.00M,31.00M,-3.00M,658.00M,627.00M,1.109B,195.00M,914.00M,1.54,0.07,,1.54,1.54,1.53,0.07,,1.53,1.53,426.00M,428.00M,0.26
2013-09,4.863B,4.863B,3.503B,1.36B,476.00M,,26.00M,2.00M,-24.00M,,476.00M,884.00M,2.00M,26.00M,-24.00M,1.00M,-24.00M,861.00M,263.00M,598.00M,38.00M,0.00,636.00M,598.00M,1.074B,187.00M,887.00M,1.4,0.09,,1.4,1.49,1.4,0.09,,1.4,1.49,426.00M,428.00M,0.26
2013-06,4.68B,4.68B,3.507B,1.173B,460.00M,,30.00M,3.00M,-27.00M,,460.00M,713.00M,3.00M,30.00M,-27.00M,26.00M,-27.00M,712.00M,218.00M,494.00M,37.00M,0.00,531.00M,494.00M,924.00M,182.00M,742.00M,1.16,0.09,,1.16,1.25,1.15,0.09,,1.15,1.24,426.00M,428.00M,0.26
2013-03,5.307B,5.307B,4.043B,1.264B,513.00M,,28.00M,3.00M,-25.00M,,513.00M,751.00M,3.00M,28.00M,-25.00M,-2.00M,-25.00M,724.00M,224.00M,500.00M,,2.00M,502.00M,502.00M,926.00M,174.00M,752.00M,1.18,,,1.18,1.18,1.17,,,1.17,1.17,426.00M,428.00M,0.13
2012-12,2.838B,2.838B,1.74B,1.098B,363.00M,,21.00M,2.00M,-19.00M,,363.00M,735.00M,2.00M,21.00M,-19.00M,15.00M,-19.00M,706.00M,146.00M,560.00M,,0.00,668.00M,560.00M,881.00M,154.00M,727.00M,1.57,,,1.57,1.57,1.56,,,1.56,1.56,425.00M,430.00M,0.13
2012-09,5.319B,5.319B,3.948B,1.371B,473.00M,,11.00M,2.00M,-9.00M,,473.00M,898.00M,2.00M,11.00M,-9.00M,-15.00M,-9.00M,874.00M,265.00M,609.00M,,3.00M,612.00M,612.00M,1.042B,157.00M,885.00M,1.44,,,1.44,1.44,1.43,,,1.43,1.43,425.00M,427.00M,0.12
2012-06,4.734B,4.734B,3.428B,1.306B,427.00M,,9.00M,3.00M,-6.00M,,427.00M,879.00M,3.00M,9.00M,-6.00M,14.00M,-6.00M,887.00M,285.00M,602.00M,,3.00M,605.00M,605.00M,1.053B,157.00M,896.00M,1.42,,,1.42,1.42,1.42,,,1.42,1.42,425.00M,427.00M,0.12
2012-03,4.303B,4.303B,3.036B,1.267B,390.00M,,8.00M,3.00M,-5.00M,,390.00M,877.00M,3.00M,8.00M,-5.00M,1.00M,-5.00M,873.00M,269.00M,604.00M,,2.00M,606.00M,606.00M,1.029B,148.00M,881.00M,1.43,,,1.43,1.43,1.42,,,1.42,1.42,423.00M,426.00M,0.12
2011-12,4.259B,4.259B,2.984B,1.275B,427.00M,,9.00M,5.00M,-4.00M,,427.00M,848.00M,5.00M,9.00M,-4.00M,-1.00M,-4.00M,843.00M,270.00M,573.00M,,1.00M,574.00M,574.00M,994.00M,142.00M,852.00M,1.36,,,1.36,1.36,1.35,,,1.35,1.35,425.00M,425.00M,0.12
2011-09,3.74B,3.74B,2.576B,1.164B,392.00M,0.00,8.00M,5.00M,-3.00M,,392.00M,772.00M,5.00M,8.00M,-3.00M,11.00M,-3.00M,780.00M,252.00M,528.00M,,4.00M,532.00M,532.00M,928.00M,140.00M,788.00M,1.26,0.0,,1.26,1.26,1.25,0.0,,1.25,1.25,422.00M,425.00M,0.11
2011-06,3.513B,3.513B,2.43B,1.083B,375.00M,-7.00M,9.00M,4.00M,-5.00M,,375.00M,708.00M,4.00M,9.00M,-5.00M,3.00M,-5.00M,706.00M,226.00M,480.00M,,1.00M,481.00M,485.76M,853.00M,138.00M,715.00M,1.14,0.0,,1.151,1.14,1.13,0.0,,1.141,1.13,422.00M,425.00M,0.11
2011-03,3.146B,3.146B,2.171B,975.00M,366.00M,-19.00M,14.00M,4.00M,-10.00M,,366.00M,609.00M,4.00M,14.00M,-10.00M,-6.00M,-10.00M,593.00M,189.00M,404.00M,,3.00M,407.00M,419.94M,742.00M,135.00M,607.00M,0.97,0.0,,1.001,0.97,0.96,0.0,,0.9906,0.96,420.00M,423.00M,0.11
2010-12,3.172B,3.172B,2.175B,997.00M,373.00M,,12.00M,4.00M,-8.00M,,373.00M,624.00M,4.00M,12.00M,-8.00M,7.00M,-8.00M,623.00M,186.00M,437.00M,,3.00M,440.00M,440.00M,764.00M,129.00M,635.00M,1.05,,,1.05,1.05,1.05,,,1.05,1.05,417.00M,419.00M,0.11
2010-09,3.011B,3.011B,2.066B,945.00M,349.00M,-23.00M,12.00M,4.00M,-8.00M,,349.00M,596.00M,4.00M,12.00M,-8.00M,-15.00M,-8.00M,573.00M,169.00M,404.00M,,0.00,404.00M,420.22M,712.00M,127.00M,585.00M,0.97,0.0,,1.0090000000000001,0.97,0.96,0.0,,0.9987,0.96,417.00M,419.00M,0.1
2010-06,2.941B,2.941B,2.013B,928.00M,338.00M,-3.00M,13.00M,3.00M,-10.00M,,338.00M,590.00M,3.00M,13.00M,-10.00M,5.00M,-10.00M,585.00M,186.00M,399.00M,,2.00M,401.00M,403.05M,722.00M,124.00M,598.00M,0.96,0.0,,0.9649,0.96,0.96,0.0,,0.9649,0.96,417.00M,419.00M,0.1
2010-03,3.032B,3.032B,2.07B,962.00M,325.00M,-16.00M,13.00M,2.00M,-11.00M,,325.00M,637.00M,2.00M,13.00M,-11.00M,-10.00M,-11.00M,616.00M,197.00M,419.00M,,3.00M,422.00M,432.88M,756.00M,127.00M,629.00M,1.01,0.0,,1.036,1.01,1.01,0.0,,1.036,1.01,417.00M,419.00M,0.1
2009-12,3.134B,3.134B,2.155B,979.00M,390.00M,-4.00M,13.00M,1.00M,-12.00M,,390.00M,589.00M,1.00M,13.00M,-12.00M,-2.00M,-12.00M,575.00M,184.00M,391.00M,,3.00M,394.00M,396.72M,714.00M,126.00M,588.00M,0.95,0.0,,0.9565,0.95,0.94,0.0,,0.9465,0.94,416.00M,417.00M,0.1
2009-09,3.087B,3.087B,2.196B,891.00M,279.00M,-24.00M,14.00M,4.00M,-10.00M,,279.00M,612.00M,4.00M,14.00M,-10.00M,-23.00M,-10.00M,579.00M,192.00M,387.00M,,-2.00M,385.00M,401.04M,719.00M,126.00M,593.00M,0.93,0.0,,0.9686,0.93,0.92,0.0,,0.9584,0.92,416.00M,418.00M,
2009-06,3.01B,3.01B,2.135B,875.00M,334.00M,-193.00M,13.00M,2.00M,-11.00M,,334.00M,541.00M,2.00M,13.00M,-11.00M,-177.00M,-11.00M,353.00M,131.00M,222.00M,,-2.00M,220.00M,341.38M,488.00M,122.00M,366.00M,0.53,0.0,,0.8218,0.53,0.53,0.0,,0.8204,0.53,416.00M,418.00M,
2009-03,3.481B,3.481B,2.442B,1.039B,319.00M,-36.00M,13.00M,2.00M,-11.00M,,319.00M,720.00M,2.00M,13.00M,-11.00M,-8.00M,-11.00M,701.00M,228.00M,473.00M,,-3.00M,470.00M,494.29M,830.00M,116.00M,714.00M,1.13,0.0,,1.188,1.13,1.13,0.0,,1.188,1.13,416.00M,418.00M,
2008-12,3.81B,3.81B,2.616B,1.194B,342.00M,25.00M,14.00M,8.00M,-6.00M,,342.00M,852.00M,8.00M,14.00M,-6.00M,30.00M,-6.00M,876.00M,286.00M,590.00M,,-5.00M,585.00M,568.16M,1.008B,118.00M,890.00M,1.42,0.0,,1.379,1.42,1.42,0.0,,1.38,1.42,415.00M,417.00M,
2008-09,3.611B,3.611B,2.511B,1.10B,310.00M,15.00M,19.00M,11.00M,-8.00M,,310.00M,790.00M,11.00M,19.00M,-8.00M,35.00M,-8.00M,817.00M,264.00M,553.00M,,-5.00M,548.00M,537.85M,952.00M,116.00M,836.00M,1.32,0.0,,1.296,1.32,1.31,0.0,,1.286,1.31,416.00M,418.00M,
2008-06,3.325B,3.325B,2.344B,981.00M,290.00M,-14.00M,24.00M,10.00M,-14.00M,,290.00M,691.00M,10.00M,24.00M,-14.00M,3.00M,-14.00M,680.00M,255.00M,425.00M,,-4.00M,421.00M,429.75M,811.00M,107.00M,704.00M,1.05,0.0,,1.072,1.05,1.04,0.0,,1.062,1.04,402.00M,404.00M,
2008-03,2.685B,2.685B,1.888B,797.00M,228.00M,13.00M,10.00M,16.00M,6.00M,,228.00M,569.00M,16.00M,10.00M,6.00M,13.00M,6.00M,588.00M,188.00M,400.00M,,-2.00M,398.00M,389.16M,659.00M,61.00M,598.00M,1.12,0.0,,1.095,1.12,1.11,0.0,,1.085,1.11,356.00M,359.00M,
2007-12,2.659B,2.659B,1.868B,791.10M,216.40M,-15.90M,,,,,216.40M,574.70M,,,,-15.90M,,566.30M,185.30M,376.70M,,-4.30M,376.70M,387.40M,633.20M,58.50M,574.70M,1.06,0.0,,1.09,1.06,1.05,0.0,,1.08,1.05,355.90M,358.40M,
2007-09,2.580B,2.580B,1.839B,740.30M,194.90M,1.80M,,,,,194.90M,545.40M,,,,1.80M,,548.30M,177.80M,366.00M,,-4.50M,366.00M,364.78M,601.80M,56.40M,545.40M,1.03,0.0,,1.0270000000000001,1.03,1.02,0.0,,1.0170000000000001,1.02,355.50M,357.90M,
2007-06,2.385B,2.385B,1.701B,683.80M,186.60M,-0.80M,,,,,186.60M,497.20M,,,,-0.80M,,493.30M,172.00M,318.50M,,-2.80M,318.50M,319.02M,549.10M,51.90M,497.20M,0.9,0.0,,0.9015,0.9,0.895,0.0,,0.8965,0.895,354.40M,356.40M,
2007-03,2.166B,2.166B,1.551B,615.00M,187.90M,-2.90M,,,,,187.90M,427.10M,,,,-2.90M,,421.00M,140.70M,275.90M,,-4.40M,275.90M,277.83M,474.40M,47.30M,427.10M,0.78,0.0,,0.7855,0.78,0.78,0.0,,0.7854,0.78,351.80M,355.10M,
2006-12,2.079B,2.079B,1.511B,567.40M,186.20M,-8.20M,,,,0.00,186.20M,381.20M,,,,-8.20M,,369.30M,127.30M,239.20M,,-2.80M,239.20M,244.57M,423.10M,41.90M,381.20M,0.68,0.0,,0.6953,0.68,0.675,0.0,,0.6902,0.675,351.00M,354.20M,
2006-09,1.778B,1.778B,1.335B,442.70M,157.20M,-9.10M,,,,,157.20M,285.50M,,,,-9.10M,,271.10M,90.80M,176.60M,,-3.70M,176.60M,182.65M,327.10M,41.60M,285.50M,0.505,0.0,,0.5223,0.505,0.5,0.0,,0.5171,0.5,350.80M,353.80M,
2006-06,1.657B,1.657B,1.257B,400.70M,154.10M,-11.00M,,,,,154.10M,246.60M,,,,-11.00M,,225.90M,76.30M,147.90M,,-1.70M,147.90M,155.18M,285.30M,38.70M,246.60M,0.42,0.0,,0.4408,0.42,0.42,0.0,,0.4406,0.42,350.40M,353.20M,
2006-03,1.512B,1.512B,1.162B,349.80M,152.00M,-3.00M,,,,,152.00M,197.80M,,,,-3.00M,,182.90M,61.30M,120.30M,,-1.30M,120.30M,122.29M,236.20M,38.40M,197.80M,0.345,0.0,,0.3507,0.345,0.34,0.0,,0.3456,0.34,349.20M,353.20M,
2005-12,1.377B,1.377B,1.066B,311.50M,139.10M,-8.90M,,,,8.60M,147.70M,163.80M,,,,-8.90M,,151.40M,48.70M,101.60M,,-1.10M,101.60M,107.64M,192.30M,28.50M,163.80M,0.305,0.0,,0.3223,0.305,0.3,0.0,,0.3171,0.3,348.20M,352.80M,
2005-09,1.236B,1.236B,977.80M,258.70M,110.90M,-1.70M,,,,2.80M,113.70M,145.00M,,,,-1.70M,,132.50M,42.40M,88.50M,,-1.60M,88.50M,89.66M,179.80M,34.80M,145.00M,0.255,0.0,,0.2583,0.255,0.25,0.0,,0.2533,0.25,347.40M,351.80M,
2005-06,1.216B,1.216B,960.50M,255.20M,142.60M,-9.40M,,,,10.50M,153.10M,102.10M,,,,-9.40M,,90.60M,28.30M,61.20M,,-1.10M,61.20M,67.66M,137.10M,35.00M,102.10M,0.175,0.0,,0.1938,0.175,0.175,0.0,,0.1936,0.175,344.60M,348.40M,
2005-03,814.90M,814.90M,653.10M,161.80M,95.90M,-0.70M,,,,,95.90M,65.90M,,,,-0.70M,,55.50M,19.50M,35.60M,,-0.40M,35.60M,36.05M,82.20M,16.30M,65.90M,0.17,0.0,,0.1722,0.17,0.165,0.0,,0.1671,0.165,210.60M,213.20M,
2004-12,669.45M,669.45M,518.75M,150.70M,87.86M,-0.699M,,,,,-1.496B,1.647B,,,,-0.699M,,53.49M,-2.471M,55.02M,,-0.942M,55.02M,55.44M,1.658B,11.20M,1.647B,0.32,0.0,,0.3224,0.32,0.315,0.0,,0.3174,0.315,172.20M,174.20M,
2004-09,618.89M,618.89M,486.93M,131.96M,82.84M,-1.219M,,,,,82.84M,49.13M,,,,-1.219M,,39.19M,10.67M,27.83M,,-0.696M,27.83M,28.72M,61.22M,12.09M,49.13M,0.16,0.0,,0.1652,0.16,0.16,0.0,,0.1651,0.16,171.80M,173.40M,
2004-06,533.56M,533.56M,415.96M,117.59M,79.31M,1.045M,,,,,79.31M,38.28M,,,,1.045M,,30.46M,8.833M,21.39M,,-0.238M,21.39M,20.65M,49.16M,10.88M,38.28M,0.125,0.0,,0.1207,0.125,0.125,0.0,,0.1207,0.125,171.59M,172.78M,
2004-03,496.20M,496.20M,392.66M,103.55M,77.80M,-1.327M,,,,,77.80M,25.75M,,,,-1.327M,,15.76M,4.57M,10.96M,,-0.224M,10.96M,11.91M,35.57M,9.822M,25.75M,0.065,0.0,,0.0705,0.065,0.065,0.0,,0.0705,0.065,170.79M,171.87M,
2003-12,530.33M,530.33M,404.70M,125.62M,82.50M,-1.454M,,,,,82.50M,43.12M,,,,-1.454M,,31.74M,7.188M,22.39M,,-2.16M,22.39M,23.51M,53.90M,10.78M,43.12M,0.13,0.0,,0.1365,0.13,0.13,0.0,,0.1365,0.13,172.05M,172.05M,
2003-09,498.60M,498.60M,379.76M,118.84M,76.47M,-0.697M,,,,,76.47M,42.38M,,,,-0.697M,,32.94M,10.24M,21.70M,,-1.002M,21.70M,22.18M,52.10M,9.727M,42.38M,0.13,0.0,,0.1328,0.13,0.125,0.0,,0.1278,0.125,169.96M,170.40M,
2003-06,475.40M,475.40M,368.77M,106.62M,68.68M,-1.18M,,,,,68.68M,37.94M,,,,-1.18M,,27.97M,8.59M,18.27M,,-1.112M,18.27M,19.08M,47.96M,10.02M,37.94M,0.11,0.0,,0.1148,0.11,0.105,0.0,,0.1098,0.105,168.88M,169.98M,
2003-03,500.58M,500.58M,380.13M,120.44M,77.02M,-2.369M,,,,,77.02M,43.43M,,,,-2.369M,,31.91M,10.82M,19.17M,,-1.926M,19.17M,20.73M,52.10M,8.672M,43.43M,0.115,0.0,,0.1244,0.115,0.115,0.0,,0.1243,0.115,167.41M,168.95M,
2002-12,393.64M,393.64M,300.76M,92.88M,60.41M,-0.638M,,,,,60.41M,32.47M,,,,-0.638M,,25.12M,7.951M,17.17M,,,17.17M,17.60M,38.78M,6.316M,32.47M,0.105,0.0,,0.1077,0.105,0.105,0.0,,0.1077,0.105,162.01M,163.48M,
2002-09,366.93M,366.93M,278.40M,88.53M,56.63M,2.066M,,,,,56.63M,31.90M,,,,2.066M,,27.74M,9.987M,17.76M,,,17.76M,16.43M,37.93M,6.031M,31.90M,0.11,0.0,,0.1018,0.11,0.11,0.0,,0.1019,0.11,161.98M,163.04M,
2002-06,372.39M,372.39M,284.99M,87.40M,55.17M,0.143M,,,,,55.17M,32.24M,,,,0.143M,,26.50M,9.54M,16.96M,,,16.96M,16.87M,38.60M,6.368M,32.24M,0.105,0.0,,0.1044,0.105,0.105,0.0,,0.1044,0.105,161.96M,163.97M,
