,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2018-04,164.00M,0.00,0.00,140.00M,140.00M,6.00M,,,21.00M,,-7.00M,,-46.00M,-321.00M,-40.00M,,17.00M,-390.00M,-66.00M,,2018-04,0.00,-138.00M,0.00,-164.00M,-7.00M,-309.00M,,2018-04,,,,-100.00M,-100.00M,-94.00M,-94.00M,20.00M,-19.00M,-193.00M,,2018-04,1.799B,-2.00M,1.229B,,2018-04,,,-100.00M,19.00M,38.00M,,2018-04,Restated
2018-01,205.00M,,,141.00M,141.00M,111.00M,,,27.00M,,-32.00M,,494.00M,-305.00M,93.00M,,7.00M,289.00M,780.00M,,2018-01,6.00M,-262.00M,,0.00,,-263.00M,,2018-01,,0.00,,-15.00M,-15.00M,-89.00M,-89.00M,7.00M,-3.00M,-100.00M,,2018-01,1.37B,12.00M,1.799B,,2018-01,,0.00,-15.00M,310.00M,0.00,,2018-01,Restated
2017-10,229.00M,,,139.00M,139.00M,-23.00M,,,18.00M,,-3.00M,,-433.00M,197.00M,-37.00M,,27.00M,-246.00M,114.00M,,2017-10,1.00M,-187.00M,,0.00,,-187.00M,,2017-10,,0.00,,-100.00M,-100.00M,-90.00M,-90.00M,9.00M,-1.00M,-182.00M,,2017-10,1.626B,-1.00M,1.37B,,2017-10,,0.00,-100.00M,130.00M,38.00M,,2017-10,Restated
2017-07,271.00M,,,141.00M,141.00M,-17.00M,,,22.00M,,-3.00M,,-70.00M,114.00M,-81.00M,,18.00M,-19.00M,395.00M,,2017-07,45.00M,-120.00M,,0.00,,-120.00M,,2017-07,,-67.00M,,-104.00M,-104.00M,-90.00M,-90.00M,6.00M,-1.00M,-256.00M,,2017-07,1.60B,7.00M,1.626B,,2017-07,,-67.00M,-104.00M,95.00M,0.00,,2017-07,Restated
2017-04,143.00M,,,138.00M,138.00M,-10.00M,,,20.00M,,-14.00M,,-133.00M,-114.00M,58.00M,,3.00M,-186.00M,91.00M,,2017-04,14.00M,-96.00M,,0.00,,-96.00M,,2017-04,,,,-96.00M,-96.00M,-92.00M,-92.00M,8.00M,-13.00M,-193.00M,,2017-04,1.797B,1.00M,1.60B,,2017-04,,,-96.00M,35.00M,38.00M,,2017-04,Restated
2017-01,220.00M,,,144.00M,144.00M,-44.00M,,89.00M,21.00M,0.00,-31.00M,,559.00M,-143.00M,106.00M,,-2.00M,520.00M,919.00M,,2017-01,0.00,-141.00M,,,-4.00M,-145.00M,,2017-01,,-421.00M,,0.00,0.00,-92.00M,-92.00M,4.00M,-1.00M,-510.00M,,2017-01,1.522B,-3.00M,1.797B,,2017-01,,-421.00M,0.00,170.00M,2.00M,,2017-01,Restated
2016-10,204.00M,,,146.00M,146.00M,3.00M,,33.00M,19.00M,0.00,-10.00M,,-461.00M,210.00M,-83.00M,,5.00M,-329.00M,66.00M,,2016-10,0.00,-113.00M,,,0.00,-113.00M,,2016-10,,0.00,,0.00,0.00,-92.00M,-92.00M,9.00M,-24.00M,-107.00M,,2016-10,1.681B,-5.00M,1.522B,,2016-10,,0.00,0.00,175.00M,39.00M,,2016-10,Restated
2016-07,125.00M,,,155.00M,155.00M,-5.00M,,56.00M,21.00M,0.00,-3.00M,,1.00M,215.00M,22.00M,,-21.00M,217.00M,566.00M,,2016-07,0.00,-131.00M,,,0.00,-131.00M,,2016-07,,0.00,,0.00,0.00,-92.00M,-92.00M,6.00M,23.00M,-63.00M,,2016-07,1.313B,-4.00M,1.681B,,2016-07,,0.00,0.00,100.00M,2.00M,,2016-07,Restated
2016-04,127.00M,,,148.00M,148.00M,-12.00M,,0.00,15.00M,-1.00M,-22.00M,,-53.00M,-41.00M,9.00M,,-2.00M,-87.00M,168.00M,,2016-04,0.00,-139.00M,,,-1.00M,-140.00M,,2016-04,,,,0.00,0.00,-91.00M,-91.00M,10.00M,-16.00M,-97.00M,,2016-04,1.37B,12.00M,1.313B,,2016-04,,,0.00,43.00M,39.00M,,2016-04,Restated
2016-01,214.00M,,,154.00M,154.00M,111.00M,,,18.00M,-4.00M,-98.00M,,609.00M,-306.00M,103.00M,,5.00M,411.00M,860.00M,,2016-01,,-221.00M,,,0.00,-221.00M,,2016-01,,-21.00M,,-193.00M,-193.00M,-92.00M,-92.00M,5.00M,3.00M,-298.00M,,2016-01,1.042B,-13.00M,1.37B,,2016-01,0.00,,-193.00M,114.00M,2.00M,,2016-01,Restated
2015-10,248.00M,,,144.00M,144.00M,-9.00M,,,15.00M,0.00,-50.00M,,-491.00M,230.00M,-6.00M,,11.00M,-256.00M,92.00M,,2015-10,,-204.00M,,,-3.00M,-207.00M,,2015-10,,400.00M,,-200.00M,-200.00M,-93.00M,-93.00M,7.00M,0.00,114.00M,,2015-10,1.043B,0.00,1.042B,,2015-10,400.00M,,-200.00M,72.00M,37.00M,,2015-10,Restated
2015-07,219.00M,,,146.00M,146.00M,8.00M,,,21.00M,-7.00M,-8.00M,,-7.00M,4.00M,44.00M,,11.00M,52.00M,431.00M,,2015-07,,-151.00M,,,-1.00M,-152.00M,,2015-07,,,,-390.00M,-390.00M,-95.00M,-95.00M,18.00M,4.00M,-463.00M,,2015-07,1.234B,-7.00M,1.043B,,2015-07,,,-390.00M,203.00M,1.00M,,2015-07,Restated
2015-04,239.00M,,,148.00M,148.00M,17.00M,,,22.00M,-17.00M,-35.00M,,-117.00M,-40.00M,-8.00M,,2.00M,-163.00M,211.00M,,2015-04,,-150.00M,,,,-150.00M,,2015-04,,,,-232.00M,-232.00M,-97.00M,-97.00M,35.00M,-49.00M,-343.00M,,2015-04,1.515B,1.00M,1.234B,,2015-04,,,-232.00M,63.00M,38.00M,,2015-04,Restated
2015-01,319.00M,,,152.00M,152.00M,107.00M,,,24.00M,-3.00M,-31.00M,,635.00M,-298.00M,66.00M,,34.00M,437.00M,1.015B,,2015-01,0.00,-206.00M,,,-2.00M,-208.00M,,2015-01,,-21.00M,,-133.00M,-133.00M,-93.00M,-93.00M,14.00M,2.00M,-231.00M,,2015-01,954.00M,-15.00M,1.515B,,2015-01,0.00,,-133.00M,144.00M,0.00,,2015-01,Restated
2014-10,351.00M,,,141.00M,141.00M,-3.00M,,,23.00M,-10.00M,-27.00M,,-626.00M,291.00M,-32.00M,,10.00M,-357.00M,118.00M,,2014-10,0.00,-180.00M,,,0.00,-180.00M,,2014-10,,0.00,,-438.00M,-438.00M,-96.00M,-96.00M,33.00M,6.00M,-495.00M,,2014-10,1.518B,-7.00M,954.00M,,2014-10,0.00,,-438.00M,185.00M,38.00M,,2014-10,Restated
2014-07,332.00M,,,138.00M,138.00M,-22.00M,,,28.00M,-1.00M,-59.00M,,-39.00M,48.00M,33.00M,,25.00M,67.00M,483.00M,,2014-07,121.00M,-45.00M,,,0.00,-45.00M,,2014-07,,,,-378.00M,-378.00M,-96.00M,-96.00M,10.00M,1.00M,-463.00M,,2014-07,1.544B,-1.00M,1.518B,,2014-07,,,-378.00M,331.00M,1.00M,,2014-07,Restated
2014-04,260.00M,,,133.00M,133.00M,30.00M,,,25.00M,-24.00M,-13.00M,,21.00M,-202.00M,173.00M,,110.00M,102.00M,513.00M,,2014-04,,-162.00M,,,-1.00M,-163.00M,,2014-04,,,,-230.00M,-230.00M,-98.00M,-98.00M,33.00M,-23.00M,-318.00M,,2014-04,1.51B,2.00M,1.544B,,2014-04,,,-230.00M,54.00M,38.00M,,2014-04,Restated
2014-01,307.00M,,,138.00M,138.00M,38.00M,,,30.00M,-1.00M,-40.00M,,530.00M,-297.00M,6.00M,,41.00M,280.00M,752.00M,,2014-01,0.00,-183.00M,,0.00,-2.00M,-185.00M,,2014-01,,,,-104.00M,-104.00M,-89.00M,-89.00M,52.00M,-44.00M,-41.00M,,2014-01,996.00M,-12.00M,1.51B,,2014-01,,,-104.00M,218.00M,1.00M,,2014-01,Restated
2013-10,337.00M,,,131.00M,131.00M,9.00M,,,26.00M,-7.00M,-35.00M,,-633.00M,334.00M,-92.00M,,26.00M,-365.00M,96.00M,,2013-10,0.00,-172.00M,,0.00,2.00M,-170.00M,,2013-10,,,,-790.00M,-790.00M,-92.00M,-92.00M,17.00M,7.00M,-858.00M,,2013-10,1.925B,3.00M,996.00M,,2013-10,,,-790.00M,197.00M,37.00M,,2013-10,Restated
2013-07,303.00M,,,133.00M,133.00M,17.00M,,,29.00M,-20.00M,-32.00M,,-118.00M,192.00M,-23.00M,,20.00M,71.00M,501.00M,,2013-07,0.00,-164.00M,,0.00,-1.00M,-165.00M,,2013-07,,,,-27.00M,-27.00M,-70.00M,-70.00M,58.00M,20.00M,-19.00M,,2013-07,1.61B,-2.00M,1.925B,,2013-07,,,-27.00M,271.00M,1.00M,,2013-07,Restated
2013-04,333.00M,,,134.00M,134.00M,55.00M,,,31.00M,-28.00M,-19.00M,,28.00M,-203.00M,65.00M,,-40.00M,-150.00M,356.00M,,2013-04,,-151.00M,,50.00M,-3.00M,-104.00M,,2013-04,,,,-58.00M,-58.00M,-70.00M,-70.00M,15.00M,27.00M,-86.00M,,2013-04,1.46B,-16.00M,1.61B,,2013-04,,,-58.00M,119.00M,38.00M,,2013-04,Restated
2013-01,351.00M,,,138.00M,138.00M,-21.00M,,,26.00M,-2.00M,-11.00M,,512.00M,-274.00M,-30.00M,,22.00M,230.00M,711.00M,,2013-01,,-210.00M,,0.00,6.00M,-333.00M,,2013-01,0.00,-2.00M,,-563.00M,-563.00M,-58.00M,-58.00M,15.00M,2.00M,-606.00M,,2013-01,1.72B,-32.00M,1.46B,,2013-01,,-2.00M,-563.00M,137.00M,2.00M,,2013-01,Restated
2012-10,308.00M,,,136.00M,136.00M,-1.00M,,,34.00M,-15.00M,-16.00M,,-599.00M,455.00M,-74.00M,,27.00M,-191.00M,255.00M,,2012-10,,-152.00M,,25.00M,-6.00M,-133.00M,,2012-10,-360.00M,-366.00M,,-98.00M,-98.00M,-61.00M,-61.00M,68.00M,15.00M,-442.00M,,2012-10,2.039B,1.00M,1.72B,,2012-10,,-366.00M,-98.00M,157.00M,39.00M,,2012-10,Restated
2012-07,243.00M,,,141.00M,141.00M,-7.00M,,,23.00M,-2.00M,-16.00M,,-80.00M,159.00M,99.00M,,46.00M,224.00M,606.00M,,2012-07,,-149.00M,,0.00,2.00M,-147.00M,,2012-07,0.00,-11.00M,,-347.00M,-347.00M,-60.00M,-60.00M,25.00M,2.00M,-391.00M,,2012-07,1.972B,-1.00M,2.039B,,2012-07,,-11.00M,-347.00M,253.00M,2.00M,,2012-07,Restated
2012-04,233.00M,,,144.00M,144.00M,25.00M,,,30.00M,-15.00M,-22.00M,,24.00M,-35.00M,-39.00M,,19.00M,-31.00M,364.00M,,2012-04,,-148.00M,,-75.00M,-8.00M,-231.00M,,2012-04,-40.00M,-40.00M,,-22.00M,-22.00M,-61.00M,-61.00M,66.00M,15.00M,-42.00M,,2012-04,1.885B,-4.00M,1.972B,,2012-04,,-40.00M,-22.00M,35.00M,40.00M,,2012-04,Restated
2012-01,218.00M,,,148.00M,148.00M,-93.00M,,,8.00M,-2.00M,-1.00M,,698.00M,-275.00M,-23.00M,,47.00M,447.00M,725.00M,,2012-01,,-132.00M,,25.00M,-2.00M,-109.00M,,2012-01,0.00,7.00M,,-79.00M,-79.00M,-55.00M,-55.00M,7.00M,2.00M,-118.00M,,2012-01,1.392B,-5.00M,1.885B,,2012-01,7.00M,0.00,-79.00M,105.00M,3.00M,,2012-01,Restated
2011-10,193.00M,,,148.00M,148.00M,31.00M,,,16.00M,0.00,-3.00M,,-579.00M,328.00M,-80.00M,,25.00M,-306.00M,79.00M,,2011-10,,-155.00M,,50.00M,-1.00M,-106.00M,,2011-10,0.00,9.00M,,-653.00M,-653.00M,-55.00M,-55.00M,15.00M,,-684.00M,,2011-10,2.104B,-1.00M,1.392B,,2011-10,9.00M,0.00,-653.00M,108.00M,40.00M,,2011-10,Restated
2011-07,189.00M,,,145.00M,145.00M,50.00M,,,17.00M,-1.00M,-2.00M,,-35.00M,-101.00M,44.00M,,22.00M,-70.00M,328.00M,,2011-07,,-134.00M,,-25.00M,-1.00M,-160.00M,,2011-07,400.00M,400.00M,,-842.00M,-842.00M,-60.00M,-60.00M,12.00M,1.00M,-489.00M,,2011-07,2.417B,8.00M,2.104B,,2011-07,400.00M,0.00,-842.00M,292.00M,1.00M,,2011-07,Restated
2011-04,233.00M,,,151.00M,151.00M,11.00M,,,17.00M,-10.00M,-6.00M,,-80.00M,-77.00M,-42.00M,,34.00M,-165.00M,231.00M,,2011-04,,-127.00M,,50.00M,-2.00M,-79.00M,,2011-04,1.246B,1.246B,,-518.00M,-518.00M,-66.00M,-66.00M,28.00M,-1.00M,689.00M,,2011-04,1.561B,15.00M,2.417B,,2011-04,1.246B,0.00,-518.00M,94.00M,1.00M,,2011-04,Restated
2011-01,,,,156.00M,156.00M,106.00M,63.00M,,16.00M,-2.00M,-914.00M,,539.00M,-304.00M,,,31.00M,179.00M,808.00M,,2011-01,,-144.00M,,150.00M,0.00,6.00M,,2011-01,0.00,0.00,,-607.00M,-607.00M,,-60.00M,8.00M,2.00M,-657.00M,,2011-01,1.403B,1.00M,1.561B,,2011-01,3.00M,,-607.00M,677.00M,1.00M,,2011-01,Restated
2010-10,,,,160.00M,160.00M,43.00M,-20.00M,,16.00M,0.00,313.00M,,-516.00M,401.00M,,,-1.00M,-116.00M,396.00M,,2010-10,,-165.00M,,100.00M,8.00M,-57.00M,,2010-10,0.00,3.00M,,-254.00M,-254.00M,,-62.00M,8.00M,0.00,-305.00M,,2010-10,1.353B,16.00M,1.403B,,2010-10,3.00M,,-254.00M,-440.00M,-1.00M,,2010-10,
2010-07,,,,166.00M,166.00M,-31.00M,-24.00M,,18.00M,-1.00M,248.00M,,-92.00M,-147.00M,,,74.00M,-165.00M,211.00M,,2010-07,,-141.00M,,75.00M,-7.00M,-73.00M,,2010-07,0.00,0.00,,-799.00M,-799.00M,,-63.00M,9.00M,1.00M,-852.00M,,2010-07,2.056B,11.00M,1.353B,,2010-07,0.00,,-799.00M,384.00M,1.00M,,2010-07,Restated
2010-04,,,,166.00M,166.00M,-14.00M,-19.00M,,27.00M,-8.00M,322.00M,,-58.00M,-32.00M,,,-55.00M,-145.00M,329.00M,,2010-04,,-107.00M,,-200.00M,2.00M,-305.00M,,2010-04,0.00,0.00,,-299.00M,-299.00M,,-67.00M,45.00M,8.00M,-313.00M,,2010-04,2.348B,-3.00M,2.056B,,2010-04,0.00,,-299.00M,56.00M,0.00,,2010-04,Restated
2010-01,352.00M,,,164.00M,164.00M,-51.00M,-22.00M,,16.00M,-1.00M,80.00M,,521.00M,-269.00M,,,-14.00M,238.00M,776.00M,,2010-01,,-112.00M,,0.00,2.00M,-110.00M,,2010-01,0.00,0.00,,-441.00M,-441.00M,,-56.00M,,-46.00M,-487.00M,,2010-01,2.173B,-4.00M,2.348B,,2010-01,0.00,0.00,-441.00M,210.00M,1.00M,,2010-01,Restated
2009-10,307.00M,,,168.00M,168.00M,1.00M,-21.00M,,23.00M,-3.00M,-42.00M,,-523.00M,463.00M,,,59.00M,-1.00M,432.00M,,2009-10,,-90.00M,,-125.00M,1.00M,-214.00M,,2009-10,-18.00M,-18.00M,,-61.00M,-61.00M,,-60.00M,,58.00M,-81.00M,,2009-10,2.031B,5.00M,2.173B,,2009-10,-18.00M,0.00,-61.00M,166.00M,0.00,,2009-10,Restated
2009-07,228.00M,,,161.00M,161.00M,2.00M,-20.00M,,13.00M,,-8.00M,,-65.00M,120.00M,,,87.00M,142.00M,518.00M,,2009-07,,-68.00M,,-100.00M,0.00,-168.00M,,2009-07,18.00M,18.00M,,0.00,0.00,,-59.00M,,-8.00M,-49.00M,,2009-07,1.708B,22.00M,2.031B,,2009-07,18.00M,0.00,0.00,249.00M,1.00M,,2009-07,Restated
2009-04,215.00M,,,162.00M,162.00M,-2.00M,-19.00M,,12.00M,0.00,-16.00M,,110.00M,-233.00M,,,-27.00M,-150.00M,202.00M,,2009-04,,-63.00M,,0.00,18.00M,-45.00M,,2009-04,-50.00M,-50.00M,,-45.00M,-45.00M,,-59.00M,,,-154.00M,,2009-04,1.715B,-10.00M,1.708B,,2009-04,,-50.00M,-45.00M,77.00M,1.00M,,2009-04,Restated
2009-01,378.00M,,,233.00M,233.00M,-74.00M,,,64.00M,-4.00M,-151.00M,,710.00M,-432.00M,138.00M,238.00M,-6.00M,648.00M,1.094B,,2009-01,,-18.00M,141.00M,-327.00M,20.00M,-184.00M,,2009-01,-50.00M,-50.00M,-69.00M,46.00M,-23.00M,,-51.00M,56.00M,-2.00M,-70.00M,,2009-01,1.48B,37.00M,2.348B,,2009-01,,-50.00M,46.00M,702.00M,3.00M,,2009-01,Restated
2008-10,246.00M,,,99.00M,99.00M,24.00M,42.00M,,-30.00M,3.00M,55.00M,,-539.00M,623.00M,-55.00M,-238.00M,42.00M,-167.00M,272.00M,,2008-10,,-107.00M,-141.00M,0.00,-4.00M,-252.00M,,2008-10,,,69.00M,-93.00M,-24.00M,,-60.00M,-44.00M,3.00M,-125.00M,,2008-10,1.606B,-21.00M,1.48B,,2008-10,,,-93.00M,-402.00M,-9.00M,,2008-10,
2008-07,229.00M,,,184.00M,184.00M,16.00M,-42.00M,,17.00M,0.00,8.00M,,-147.00M,60.00M,,,61.00M,-26.00M,386.00M,,2008-07,,-94.00M,,-75.00M,3.00M,-166.00M,,2008-07,0.00,0.00,,-304.00M,-304.00M,,-61.00M,44.00M,-36.00M,-357.00M,,2008-07,1.744B,-1.00M,1.606B,,2008-07,,0.00,-304.00M,343.00M,8.00M,,2008-07,Restated
2008-04,249.00M,,,139.00M,139.00M,-18.00M,,,13.00M,-3.00M,22.00M,,19.00M,-170.00M,,,-75.00M,-226.00M,176.00M,,2008-04,,-114.00M,,177.00M,2.00M,65.00M,,2008-04,0.00,0.00,,-196.00M,-196.00M,,-62.00M,,39.00M,-219.00M,,2008-04,1.724B,-2.00M,1.744B,,2008-04,,0.00,-196.00M,59.00M,1.00M,,2008-04,Restated
2008-01,265.00M,,,140.00M,140.00M,98.00M,,,,,31.00M,,897.00M,-325.00M,,-16.00M,-30.00M,544.00M,1.078B,,2008-01,0.00,-163.00M,,-12.00M,6.00M,-169.00M,,2008-01,,0.00,-86.00M,-650.00M,-736.00M,,-60.00M,,128.00M,-668.00M,,2008-01,1.491B,-8.00M,1.724B,,2008-01,,,-650.00M,,,,2008-01,
2007-10,237.00M,,,140.00M,140.00M,-3.00M,,,,,9.00M,,-488.00M,337.00M,,135.00M,-33.00M,-49.00M,334.00M,,2007-10,11.00M,-186.00M,,322.00M,-2.00M,134.00M,,2007-10,,-326.00M,32.00M,-850.00M,-818.00M,,-62.00M,,1.00M,-1.205B,,2007-10,2.209B,19.00M,1.491B,,2007-10,,,-850.00M,,,,2007-10,
2007-07,153.00M,,,133.00M,133.00M,-23.00M,,,,,23.00M,,-148.00M,248.00M,,-135.00M,137.00M,102.00M,388.00M,,2007-07,,-200.00M,,35.00M,-7.00M,-172.00M,,2007-07,,,24.00M,-200.00M,-176.00M,,-65.00M,,1.00M,-240.00M,,2007-07,2.222B,11.00M,2.209B,,2007-07,,,-200.00M,,,,2007-07,
2007-04,178.00M,,,134.00M,134.00M,-123.00M,,,,,44.00M,,-9.00M,-61.00M,,44.00M,74.00M,48.00M,281.00M,,2007-04,,-122.00M,,48.00M,7.00M,-67.00M,,2007-04,,,30.00M,,30.00M,,-65.00M,,2.00M,-33.00M,,2007-04,2.03B,11.00M,2.222B,,2007-04,,,,,,,2007-04,
2007-01,219.00M,,,126.00M,126.00M,34.00M,,,,,40.00M,,816.00M,-485.00M,,-157.00M,37.00M,211.00M,630.00M,,2007-01,0.00,-166.00M,,42.00M,24.00M,-100.00M,,2007-01,,,-109.00M,-279.00M,-388.00M,,-64.00M,,209.00M,-243.00M,,2007-01,1.753B,-10.00M,2.03B,,2007-01,,,-279.00M,,,,2007-01,
2006-10,189.00M,,,129.00M,129.00M,-64.00M,,,,,4.00M,,-598.00M,198.00M,,241.00M,-12.00M,-171.00M,87.00M,,2006-10,22.00M,-151.00M,,135.00M,0.00,-16.00M,,2006-10,,,53.00M,-284.00M,-231.00M,,-66.00M,,1.00M,-296.00M,,2006-10,1.977B,1.00M,1.753B,,2006-10,,,-284.00M,,,,2006-10,
2006-07,128.00M,,-12.00M,140.00M,140.00M,12.00M,,,,,22.00M,,-112.00M,172.00M,,-239.00M,106.00M,-73.00M,217.00M,,2006-07,,-142.00M,,251.00M,-15.00M,94.00M,,2006-07,,,16.00M,-105.00M,-89.00M,,-67.00M,,1.00M,-155.00M,,2006-07,1.822B,-1.00M,1.977B,,2006-07,,,-105.00M,,,,2006-07,
