,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-05,153.60M,0.00,,,18.60M,-158.40M,-139.80M,,,68.20M,68.20M,,121.40M,8.00M,9.10M,55.20M,88.30M,6.80M,44.50M,,,-83.30M,111.50M,-8.30M,323.70M,,-83.60M,0.70M,-82.90M,,-217.60M,,,-295.20M,,-2.20M,24.40M,22.20M,,-405.40M,-405.40M,-86.10M,-86.10M,7.20M,0.00,-462.10M,,683.60M,-433.60M,1.40M,252.40M,,,0.00,-2.20M,-405.40M,,AOR,Restated
2017-02,179.50M,0.10M,,,1.80M,0.50M,35.10M,,,66.30M,66.30M,,10.00M,9.80M,1.60M,98.70M,67.20M,8.00M,-85.40M,,,-47.90M,40.60M,-38.60M,304.30M,,-40.20M,1.20M,-39.00M,,0.00,,,-39.00M,,-506.50M,-2.90M,-509.40M,,-424.50M,-424.50M,-109.50M,-109.50M,19.20M,-1.90M,-1.026B,,1.442B,-760.80M,1.90M,683.60M,,,0.00,-506.50M,-424.50M,,AOR,Restated
2016-11,114.30M,0.70M,,,-16.50M,-13.10M,31.70M,,,66.30M,66.30M,,47.80M,10.80M,12.20M,-64.00M,51.10M,5.00M,8.90M,,,-31.80M,-30.80M,-36.00M,216.30M,,-60.20M,9.30M,-50.90M,,-105.40M,,,-221.70M,,-1.90M,-3.90M,-5.80M,,-84.50M,-84.50M,-109.90M,-109.90M,14.80M,0.00,656.80M,,722.20M,651.40M,-3.50M,1.442B,,,0.00,-1.90M,-84.50M,,AOR,Restated
2016-08,98.60M,-198.20M,,,-6.90M,-13.40M,-218.50M,,,67.20M,67.20M,,164.10M,7.50M,11.70M,14.80M,-83.30M,-4.80M,-64.30M,,,215.30M,77.70M,117.60M,325.90M,,-58.10M,2.00M,-56.10M,,486.30M,,,371.90M,,-553.90M,-3.30M,-557.20M,,-85.60M,-85.60M,-109.50M,-109.50M,32.60M,-14.90M,-737.70M,,798.10M,-39.90M,0.00,722.20M,,,,-553.90M,-85.60M,,AOR,Restated
2016-05,-116.60M,,,,-15.40M,342.10M,326.70M,,,67.90M,67.90M,,54.20M,12.30M,28.30M,-57.50M,131.20M,2.60M,7.00M,,,-104.90M,-21.60M,169.40M,520.60M,,-106.40M,16.30M,-90.10M,,0.00,,0.00,-129.00M,,-3.30M,-1.00M,-4.30M,,,8.60M,-109.00M,-109.00M,43.80M,,-60.20M,,466.00M,331.40M,0.50M,798.10M,,,,-3.30M,,,AOR,Restated
2016-02,71.40M,0.00,,,31.30M,18.40M,73.60M,,,69.40M,69.40M,,6.70M,12.80M,46.10M,-0.70M,99.90M,10.50M,-72.20M,,,-59.80M,-22.30M,128.80M,386.50M,,-60.70M,3.20M,-57.50M,,-0.30M,,0.30M,2.493B,,-2.265B,-166.80M,-2.432B,,0.00,0.00,-108.50M,-108.50M,45.40M,,-2.506B,,72.00M,373.70M,0.50M,466.00M,,,,-2.265B,0.00,,AOR,Restated
2015-11,6.30M,0.00,,,-7.70M,-11.20M,-18.90M,,,49.50M,49.50M,,1.10M,7.50M,36.90M,-34.70M,-51.90M,-13.30M,74.50M,,,-104.30M,-129.70M,306.30M,259.00M,,1.60M,3.30M,-5.50M,10.40M,-10.10M,,,-111.50M,,-252.00M,172.10M,-79.90M,,0.00,0.00,-107.90M,-107.90M,25.60M,1.40M,-154.60M,,114.30M,-7.10M,-1.40M,72.00M,,,,-252.00M,0.00,,AOR,Restated
2015-08,167.40M,0.00,,,-33.90M,-2.70M,-36.60M,,,91.70M,91.70M,,0.60M,9.20M,-2.10M,-63.90M,-113.10M,11.00M,-4.40M,,,4.10M,-166.30M,29.20M,93.10M,,-112.00M,12.90M,-88.70M,-10.40M,0.00,,,-125.50M,,-2.50M,5.20M,2.70M,,0.00,0.00,-107.10M,-107.10M,93.60M,-1.40M,-12.20M,,164.70M,-44.60M,-1.60M,114.30M,,,,-2.50M,0.00,,AOR,Restated
2015-05,-74.50M,,,,56.60M,-12.10M,44.50M,,,0.80M,0.80M,,11.30M,-9.60M,9.50M,49.40M,181.70M,34.50M,-4.30M,,,18.60M,279.90M,502.20M,764.10M,,4.10M,-15.40M,-11.30M,,54.00M,,,-173.80M,,-0.20M,-421.50M,-421.70M,,-14.90M,-14.90M,-107.00M,-107.00M,16.00M,10.20M,-543.40M,,109.80M,46.90M,-1.10M,134.10M,,,0.00,-0.20M,-14.90M,,AOR,Restated
2015-02,210.90M,,,,-4.30M,-5.70M,14.60M,,,92.40M,92.40M,,17.30M,10.30M,0.50M,127.70M,146.10M,-83.50M,-252.00M,,,7.10M,-54.60M,31.40M,322.80M,,-83.00M,13.10M,-69.90M,0.00,0.70M,,,-100.40M,,-2.00M,-108.70M,-110.70M,,-35.10M,-35.10M,-106.50M,-106.50M,58.60M,-5.60M,-200.80M,,99.90M,21.60M,-6.20M,109.80M,,,0.00,-2.00M,-35.10M,,AOR,Restated
2014-11,218.70M,,-0.90M,,-28.00M,-5.50M,-34.40M,,,95.40M,95.40M,,6.10M,18.10M,-8.30M,-92.20M,-299.00M,16.50M,168.70M,,,36.50M,-169.50M,58.00M,184.10M,,-67.20M,0.50M,-66.70M,0.00,-11.50M,,,-99.00M,,-2.50M,-14.50M,-17.00M,,,,-106.20M,-106.20M,28.10M,-1.00M,-96.30M,,111.80M,-11.20M,-0.60M,99.90M,,,0.00,-2.50M,,,AOR,Restated
2014-08,96.20M,,0.90M,,-24.40M,-5.10M,-28.60M,,,96.00M,96.00M,,1.30M,14.50M,23.00M,-16.60M,-92.10M,13.50M,70.10M,,,-17.00M,-42.10M,73.30M,233.60M,,-90.40M,1.80M,-88.60M,0.00,327.50M,,,331.60M,,-936.70M,407.30M,-529.40M,,,,-105.50M,-105.50M,27.10M,-5.90M,-613.70M,,118.20M,-48.50M,-0.90M,111.80M,,,550.00M,-1.487B,,,AOR,Restated
2014-05,55.30M,,1.20M,-54.90M,16.30M,1.20M,-40.20M,,,-72.90M,-72.90M,,84.40M,-0.70M,-20.10M,58.40M,175.50M,28.00M,12.10M,,,-45.80M,228.20M,366.60M,600.60M,,14.10M,25.00M,39.10M,,0.00,,,-62.00M,,-497.90M,-3.90M,-501.80M,,0.00,0.00,-105.40M,-105.40M,16.30M,-4.50M,-595.50M,,205.50M,-56.90M,0.80M,118.20M,,,0.00,-497.90M,0.00,,AOR,Restated
2014-02,226.10M,,,54.90M,-4.10M,-5.80M,45.00M,,,149.70M,149.70M,,19.70M,13.70M,6.10M,131.70M,196.40M,-80.70M,-302.60M,,,-60.20M,-115.40M,40.40M,385.30M,,-132.70M,2.90M,-129.80M,,-0.30M,,,-137.50M,,-20.50M,-88.00M,-108.50M,,0.00,0.00,-105.10M,-105.10M,17.10M,-0.80M,-197.30M,,168.10M,50.50M,-4.00M,205.50M,,,0.00,-20.50M,0.00,,AOR,Restated
2013-11,210.40M,,-1.00M,,-0.40M,-7.90M,-9.30M,,,138.00M,138.00M,,12.70M,14.80M,2.70M,-170.10M,-192.00M,53.80M,242.70M,,,91.80M,26.20M,21.10M,416.60M,,-168.50M,8.40M,-160.10M,,-39.60M,,,-154.40M,,-48.40M,-48.50M,-96.90M,,-69.10M,-69.10M,-105.60M,-105.60M,7.40M,0.30M,-263.90M,,181.40M,-1.70M,0.20M,168.10M,,,0.00,-48.40M,-69.10M,,AOR,Restated
2013-08,133.40M,,1.00M,,1.80M,-6.70M,-3.90M,,,139.80M,139.80M,,2.10M,17.00M,-8.20M,30.40M,-172.60M,-0.60M,-5.80M,,,14.20M,-134.40M,20.30M,166.10M,,-174.00M,3.70M,-170.30M,,0.00,,,-177.60M,,-2.30M,97.20M,94.90M,,-30.90M,-30.90M,-104.80M,-104.80M,62.90M,0.50M,22.60M,,150.90M,11.10M,-0.80M,181.40M,,,0.00,-2.30M,-30.90M,,AOR,Restated
2013-05,105.40M,,,,0.10M,1.90M,12.50M,,,120.50M,120.50M,,0.40M,14.20M,28.50M,-39.40M,290.90M,19.40M,-21.20M,,,58.30M,308.00M,41.00M,630.50M,,-141.40M,10.40M,-126.20M,,-0.80M,,,-164.80M,,-1.162B,183.90M,-978.30M,-0.10M,0.00,-0.10M,-104.10M,-104.10M,77.20M,0.80M,-1.004B,,723.80M,-538.80M,-1.10M,150.90M,,-0.10M,0.00,-1.162B,0.00,,AOR,Restated
2013-02,122.90M,,,,-6.40M,0.50M,-5.90M,,,112.80M,112.80M,,15.20M,25.00M,-26.60M,97.10M,98.90M,-52.40M,-157.60M,,,70.90M,56.90M,2.80M,303.10M,,-106.90M,3.70M,-103.20M,,-4.749B,,,-4.854B,,4.597B,1.10M,4.598B,269.30M,-6.40M,262.90M,-101.30M,-101.30M,94.30M,-55.90M,4.798B,,476.80M,246.90M,0.10M,723.80M,,269.30M,5.475B,-877.60M,-6.40M,,AOR,Restated
2012-11,217.50M,,,,-6.60M,-1.00M,-7.60M,,,94.10M,94.10M,,4.30M,14.70M,-9.60M,-74.10M,-185.20M,53.60M,161.30M,,,-116.10M,-160.50M,1.80M,154.70M,,-80.70M,2.00M,-78.70M,,-1.50M,,,-81.30M,,725.70M,-272.00M,453.70M,,-163.60M,-163.60M,-97.40M,-97.40M,92.10M,1.30M,286.10M,,116.50M,359.50M,0.80M,476.80M,,,743.00M,-17.30M,-163.60M,,AOR,Restated
2012-08,252.60M,,,,1.20M,2.30M,3.50M,,,91.20M,91.20M,,0.30M,13.10M,-1.50M,-35.80M,-148.50M,-33.90M,73.30M,,,113.30M,-31.60M,-3.70M,323.90M,,-98.40M,1.90M,-96.50M,,-268.60M,,,-365.30M,,-16.90M,232.00M,215.10M,,-75.00M,-75.00M,-97.90M,-97.90M,10.80M,0.20M,53.20M,,103.00M,11.80M,1.70M,116.50M,,,,-16.90M,-75.00M,,AOR,Restated
2012-05,-89.90M,,,,-6.60M,153.80M,158.00M,,,93.80M,93.80M,,0.70M,6.60M,-3.90M,50.40M,187.40M,13.40M,-49.70M,,,-98.60M,102.90M,4.40M,272.60M,,-96.60M,2.20M,-94.40M,0.00,-328.60M,,,-463.60M,,-8.00M,37.00M,29.00M,0.00,-252.20M,-252.20M,-99.80M,-99.80M,13.90M,0.80M,-308.30M,,604.20M,-499.30M,-1.90M,103.00M,,0.00,0.00,-8.00M,-252.20M,,AOR,Restated
2012-02,280.70M,,,,0.20M,0.70M,0.90M,,,90.60M,90.60M,,0.50M,10.80M,-41.30M,60.50M,58.40M,26.30M,-290.30M,,,91.90M,-53.20M,0.50M,289.50M,,-141.10M,1.80M,-76.80M,-62.50M,-249.10M,,,-388.40M,,-7.50M,3.00M,-4.50M,0.00,-16.20M,-16.20M,-288.80M,-99.10M,110.50M,1.00M,-8.30M,,706.50M,-107.20M,4.90M,604.20M,,0.00,0.00,-7.50M,-16.20M,,AOR,Restated
2011-11,183.10M,,,,-9.00M,-62.30M,-71.30M,,,95.00M,95.00M,,0.30M,12.10M,-3.40M,-52.00M,-216.80M,-31.20M,259.70M,,,,-40.30M,-0.70M,174.80M,,-7.40M,1.90M,-63.00M,57.50M,-57.50M,,,-63.00M,,-345.60M,0.00,-345.60M,,-84.00M,-84.00M,,-95.40M,33.10M,,-491.90M,,1.095B,-380.10M,-8.60M,706.50M,,,0.00,-345.60M,-84.00M,,AOR,Restated
2011-08,94.00M,,,,-2.20M,3.20M,1.00M,,,91.50M,91.50M,,7.10M,12.30M,-15.70M,-63.10M,-12.10M,-3.00M,200.00M,,,,121.80M,3.10M,315.10M,,-153.10M,3.80M,-91.80M,-57.50M,0.00,,,-149.30M,,-2.50M,0.00,-2.50M,,0.00,0.00,,-94.30M,55.70M,,-41.10M,,972.40M,124.70M,-1.90M,1.095B,,,,-2.50M,0.00,,AOR,Restated
2011-05,260.70M,,,25.00M,-6.30M,40.30M,59.00M,,,96.60M,96.60M,,0.70M,10.30M,-367.30M,25.60M,120.90M,24.90M,-86.70M,,,263.80M,348.50M,3.90M,412.40M,,-119.00M,17.70M,-101.30M,0.00,-0.10M,-412.50M,412.40M,-92.20M,,-2.60M,0.00,-2.60M,,-162.60M,-162.60M,,-97.80M,29.70M,0.10M,-233.20M,,882.90M,87.00M,2.50M,972.40M,,,,-2.60M,-162.60M,,AOR,Restated
2011-02,225.70M,,,6.50M,-4.10M,-3.70M,-32.80M,,,90.10M,90.10M,,18.70M,11.80M,333.30M,25.20M,41.60M,-76.10M,-159.90M,,,139.70M,-29.50M,3.50M,620.80M,,-154.20M,-11.90M,-148.10M,-18.00M,5.00M,412.50M,16.60M,268.00M,,-2.40M,0.00,-2.40M,,-462.40M,-462.40M,,-100.30M,8.40M,2.20M,-554.50M,,545.20M,334.30M,3.40M,882.90M,,,,-2.40M,-462.40M,,AOR,Restated
2010-11,201.20M,,,,-0.10M,-1.90M,29.50M,,,88.40M,88.40M,,0.20M,14.30M,23.40M,-45.80M,-204.90M,21.30M,222.10M,,,-139.70M,-147.00M,0.30M,210.30M,,-81.90M,12.10M,-69.80M,,-6.30M,,-1.00M,-80.50M,,-250.90M,,-250.90M,,-100.00M,-100.00M,,-87.90M,10.70M,0.10M,-428.00M,,840.90M,-298.20M,2.50M,545.20M,,,,-250.90M,-100.00M,,AOR,Restated
2010-08,143.30M,,,,-2.60M,-110.10M,-112.70M,,,85.80M,85.80M,,0.20M,8.40M,7.20M,-2.20M,-148.30M,37.80M,84.70M,,,,-28.00M,4.60M,108.80M,,-129.10M,1.00M,-128.10M,,-129.70M,,2.50M,-6.40M,,-38.40M,,-38.40M,,-100.00M,-100.00M,,-88.50M,10.90M,-0.30M,-216.40M,,953.20M,-114.00M,1.70M,840.90M,,,,-38.40M,-100.00M,,AOR,Restated
2010-05,120.80M,0.00,-2.80M,,-0.20M,-102.90M,-105.90M,,,83.10M,83.10M,,67.90M,14.30M,48.00M,1.60M,167.30M,-72.10M,-27.00M,,,,69.80M,68.20M,366.20M,,-122.70M,84.00M,-38.70M,,-103.50M,91.90M,17.50M,-38.80M,,-3.40M,,-3.40M,,-100.00M,-100.00M,,-88.80M,36.00M,1.70M,-154.60M,,785.60M,172.80M,-5.20M,953.20M,,,,-3.40M,-100.00M,,AOR,Restated
2010-02,221.00M,-14.30M,0.00,,5.30M,-2.60M,-11.60M,,,81.50M,81.50M,,8.40M,14.80M,-12.60M,-20.00M,141.70M,23.50M,0.80M,,,,146.00M,1.80M,449.30M,,-119.80M,2.10M,-117.70M,,21.70M,0.00,6.70M,-90.90M,,-3.40M,,-3.40M,,0.00,0.00,,-88.70M,30.40M,0.80M,-61.00M,,490.20M,297.40M,-2.00M,785.60M,,,,-3.40M,0.00,,AOR,Restated
2009-11,237.80M,,1.50M,,1.60M,-14.40M,-11.30M,,,80.70M,80.70M,,0.50M,14.70M,20.50M,2.40M,-143.90M,44.50M,143.40M,,,19.10M,65.50M,-13.80M,394.60M,,-122.40M,0.90M,-121.50M,,0.00,,10.60M,-111.50M,,-6.30M,,-6.30M,,0.00,0.00,,-84.20M,2.40M,2.20M,-86.10M,,289.70M,197.00M,3.50M,490.20M,,,,-6.30M,0.00,,AOR,Restated
2009-08,163.00M,,1.30M,,1.80M,-2.70M,0.40M,,,78.80M,78.80M,,19.10M,12.00M,-35.80M,-74.10M,34.50M,-15.90M,113.20M,,,-19.10M,38.60M,-13.50M,262.60M,,-117.40M,1.40M,-116.00M,,-3.00M,,,-114.10M,,-2.70M,,-2.70M,,0.00,0.00,,-85.00M,-14.10M,-0.80M,-102.80M,,243.20M,45.70M,0.80M,289.70M,,,,-2.70M,0.00,,AOR,Restated
2009-05,146.30M,0.00,2.30M,,0.10M,,19.80M,,,70.90M,70.90M,,5.30M,12.60M,-58.50M,101.90M,169.60M,46.00M,-38.70M,,,79.20M,358.00M,-54.10M,500.30M,,-108.50M,-1.40M,-109.90M,,0.00,-1.20M,,-116.00M,,35.50M,-181.50M,-146.00M,,0.00,0.00,,-85.00M,0.00,-2.70M,-233.60M,,88.20M,150.70M,4.30M,243.20M,,,990.10M,-1.533B,0.00,,AOR,Restated
2009-02,191.80M,0.00,0.80M,,-4.60M,,-3.80M,,,81.80M,81.80M,,0.00,10.50M,22.30M,70.80M,125.40M,128.70M,-310.60M,,,1.30M,15.60M,-78.80M,239.40M,,-100.00M,4.30M,-95.70M,,-4.10M,0.20M,,-93.80M,,16.40M,-111.20M,-94.80M,,0.00,0.00,,-85.00M,0.00,-9.80M,-189.60M,,132.10M,-44.00M,0.10M,88.20M,,,20.00M,-3.60M,0.00,,,Restated
2008-11,172.10M,-0.30M,1.90M,,0.80M,,2.40M,,,78.70M,78.70M,,0.00,10.20M,-33.20M,1.20M,-223.20M,-101.60M,89.70M,,,-80.50M,-314.40M,-94.00M,-178.20M,,-114.80M,2.00M,-112.80M,,-45.50M,0.10M,,-158.60M,,4.30M,279.70M,284.00M,,0.00,0.00,,-86.10M,0.30M,-8.50M,189.70M,,296.40M,-147.10M,-17.20M,132.10M,,,20.00M,-15.70M,0.00,,,Restated
2008-08,107.60M,-19.40M,-5.00M,,3.70M,,-20.70M,,,76.20M,76.20M,,,12.60M,-25.30M,-100.80M,-116.00M,97.70M,166.90M,,,,47.80M,-635.70M,-437.50M,,-106.30M,12.80M,-93.50M,,-1.00M,0.90M,,2.160B,,-41.80M,-565.30M,-607.10M,,-900.00M,-900.00M,,-92.10M,5.80M,-0.10M,-1.594B,,140.90M,128.60M,-3.90M,296.40M,,,,-41.80M,-900.00M,,,Restated
2008-05,-210.40M,,,,,,-65.20M,,,64.60M,64.60M,,,,77.50M,191.00M,985.20M,295.50M,-338.10M,,-477.60M,,656.00M,-275.40M,308.10M,,-114.40M,6.80M,-107.60M,,-131.20M,0.00,2.70M,-204.00M,,,,107.00M,-19.20M,-99.90M,-119.10M,,-92.70M,,-2.70M,-70.00M,,128.20M,34.10M,,140.90M,,-19.20M,,,-99.90M,,,Restated
2008-02,309.10M,,,,,,-20.80M,,,85.20M,85.20M,,,,-28.00M,-113.50M,-837.60M,-406.20M,65.30M,,573.70M,,-718.30M,416.80M,44.00M,,-72.40M,6.60M,-65.80M,,-2.00M,0.70M,-0.80M,-67.90M,,,,95.70M,4.30M,0.00,4.30M,,-92.70M,,-0.40M,6.90M,,140.80M,-17.00M,,128.20M,,4.30M,,,0.00,,,
