,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2013-08,3.716B,3.716B,2.924B,792.10M,538.10M,,96.30M,0.50M,-95.80M,538.10M,254.00M,0.50M,96.30M,-95.80M,,-95.80M,158.20M,28.90M,133.40M,13.80M,,-2.90M,,144.30M,130.50M,394.30M,139.80M,254.50M,,0.31,0.03,,0.31,0.34,,0.30,0.03,,0.30,0.34,,421.10M,428.20M,0.25,,AOR,Restated
2013-05,2.606B,2.606B,1.842B,763.80M,509.90M,,103.40M,0.50M,-102.90M,509.90M,253.90M,0.50M,103.40M,-102.90M,,-102.90M,151.00M,50.70M,105.40M,88.60M,,-1.80M,,192.20M,103.60M,374.90M,120.50M,254.40M,,0.46,0.21,,0.46,0.46,,0.45,0.21,,0.45,0.45,,418.00M,426.90M,0.25,,AOR,Restated
2013-02,3.834B,3.834B,2.963B,870.90M,611.70M,,71.50M,0.90M,-70.60M,611.70M,259.20M,0.90M,71.50M,-70.60M,,-70.60M,188.60M,77.70M,122.90M,0.50M,,-3.40M,,120.00M,119.50M,372.90M,112.80M,260.10M,,0.29,0.00,,0.29,0.29,,0.28,0.00,,0.28,0.29,,410.70M,417.80M,0.25,,AOR,Restated
2012-11,3.727B,3.727B,2.866B,861.60M,493.80M,,54.10M,0.70M,-53.40M,493.80M,367.80M,0.70M,54.10M,-53.40M,,-53.40M,314.40M,109.70M,217.50M,-1.00M,,-4.90M,,211.60M,212.60M,462.60M,94.10M,368.50M,,0.52,0.00,,0.52,0.52,,0.52,-0.01,,0.52,0.51,,405.90M,411.70M,0.25,,AOR,Restated
2012-08,3.302B,3.302B,2.434B,868.60M,450.50M,,50.10M,0.80M,-49.30M,450.50M,418.10M,0.80M,50.10M,-49.30M,,-49.30M,368.80M,123.80M,252.60M,-0.40M,,-2.10M,,250.10M,250.50M,510.10M,91.20M,418.90M,,0.61,0.00,,0.61,0.61,,0.61,0.00,,0.61,0.61,,407.10M,412.00M,0.24,,AOR,Restated
2012-05,3.398B,3.398B,2.736B,662.40M,778.10M,,51.60M,0.80M,-50.80M,778.10M,-115.70M,0.80M,51.60M,-50.80M,,-50.80M,-166.50M,-62.00M,-89.90M,6.40M,,-2.70M,,-86.20M,-92.60M,-21.10M,93.80M,-114.90M,,-0.2268,0.0198,,-0.2268,-0.21,,-0.2268,0.0198,,-0.2268,-0.21,,410.80M,415.90M,0.24,,AOR,Restated
2012-02,3.396B,3.396B,2.609B,786.60M,356.70M,,50.70M,1.00M,-49.70M,356.70M,429.90M,1.00M,50.70M,-49.70M,,-49.70M,380.20M,112.10M,280.70M,0.00,,-0.60M,,280.10M,280.10M,521.50M,90.60M,430.90M,,0.6758,0.00,,0.6758,0.68,,0.6667,0.00,,0.6667,0.67,,414.30M,420.00M,0.24,,AOR,Restated
2011-11,3.432B,3.432B,2.678B,754.00M,438.90M,,51.50M,0.90M,-50.60M,438.90M,315.10M,0.90M,51.50M,-50.60M,,-50.60M,264.50M,92.90M,183.10M,0.00,,-2.90M,,180.20M,180.20M,411.00M,95.00M,316.00M,,0.43,0.00,,0.43,0.43,,0.43,0.00,,0.43,0.43,,413.60M,418.60M,0.24,,AOR,Restated
2011-08,3.105B,3.105B,2.509B,596.00M,406.60M,,54.20M,1.30M,-52.90M,406.60M,189.40M,1.30M,54.20M,-52.90M,,-52.90M,136.50M,48.70M,94.00M,0.10M,,-0.30M,,93.80M,93.70M,282.20M,91.50M,190.70M,,0.23,0.00,,0.23,0.23,,0.22,0.00,,0.22,0.22,,412.70M,418.10M,0.23,,AOR,Restated
2011-05,3.293B,3.293B,2.599B,694.00M,256.60M,,55.80M,0.90M,-54.90M,256.60M,437.40M,0.90M,55.80M,-54.90M,,-54.90M,382.50M,130.80M,260.70M,-4.50M,,-0.70M,,255.50M,260.00M,534.90M,96.60M,438.30M,,0.62,-0.01,,0.62,0.61,,0.61,-0.01,,0.61,0.61,,412.30M,418.10M,0.23,,AOR,Restated
2011-02,3.141B,3.141B,2.344B,797.30M,404.10M,,54.10M,2.50M,-51.60M,404.10M,393.20M,2.50M,54.10M,-51.60M,,-51.60M,341.60M,122.50M,225.70M,-10.60M,,-0.30M,,214.80M,225.40M,485.80M,90.10M,395.70M,,0.53,-0.03,,0.53,0.50,,0.52,-0.03,,0.52,0.50,,428.40M,432.80M,0.23,,AOR,Restated
2010-11,3.148B,3.148B,2.388B,760.00M,428.30M,,53.10M,19.40M,-33.70M,428.30M,331.70M,19.40M,53.10M,-33.70M,,-33.70M,298.00M,101.40M,201.20M,0.60M,,-0.90M,,200.90M,200.30M,439.50M,88.40M,351.10M,,0.46,0.00,,0.46,0.46,,0.45,0.00,,0.45,0.45,,437.80M,441.60M,0.23,,AOR,Restated
2010-08,2.804B,2.804B,2.153B,651.30M,410.00M,,56.70M,19.40M,-37.30M,410.00M,241.30M,19.40M,56.70M,-37.30M,,-37.30M,204.00M,66.90M,143.30M,3.00M,,0.10M,,146.40M,143.40M,346.50M,85.80M,260.70M,,0.32,0.01,,0.32,0.33,,0.32,0.01,,0.32,0.33,,441.50M,446.00M,0.20,,AOR,Restated
2010-05,2.998B,2.998B,2.264B,733.80M,523.20M,,61.60M,22.80M,-38.80M,523.20M,210.60M,22.80M,61.60M,-38.80M,,-38.80M,171.80M,55.40M,120.80M,-30.60M,,0.40M,,90.60M,121.20M,316.50M,83.10M,233.40M,,0.28,-0.08,,0.28,0.20,,0.27,-0.08,,0.27,0.20,,443.90M,449.20M,0.20,,AOR,Restated
2010-02,3.030B,3.030B,2.252B,778.60M,418.20M,,61.20M,21.50M,-39.70M,418.20M,360.40M,21.50M,61.20M,-39.70M,,-39.70M,320.70M,102.60M,221.00M,7.70M,,0.90M,,229.60M,221.90M,463.40M,81.50M,381.90M,,0.50,0.02,,0.50,0.52,,0.49,0.02,,0.49,0.51,,444.00M,448.30M,0.20,,AOR,Restated
2009-11,3.100B,3.100B,2.258B,842.60M,456.10M,,61.10M,20.60M,-40.50M,456.10M,386.50M,20.60M,61.10M,-40.50M,,-40.50M,346.00M,114.10M,237.80M,1.40M,,0.50M,,239.70M,238.30M,487.80M,80.70M,407.10M,,0.54,0.00,,0.54,0.54,,0.53,0.00,,0.53,0.54,,443.20M,446.20M,0.20,,AOR,Restated
2009-08,2.886B,2.886B,2.180B,706.20M,421.90M,,61.70M,20.30M,-41.40M,421.90M,284.30M,20.30M,61.70M,-41.40M,,-41.40M,242.90M,88.80M,163.00M,2.20M,,0.70M,,165.90M,163.70M,383.40M,78.80M,304.60M,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,443.20M,445.60M,0.19,,AOR,Restated
2009-05,2.993B,2.993B,2.228B,764.60M,501.20M,,,,-51.20M,501.20M,263.40M,,,-51.20M,,-51.20M,236.20M,76.00M,146.30M,28.60M,,-0.20M,,174.70M,146.10M,334.30M,70.90M,263.40M,,0.33,0.06,,0.33,0.39,,0.33,0.06,,0.33,0.39,,446.30M,447.48M,0.19,,AOR,Restated
2009-02,3.125B,3.125B,2.386B,739.40M,424.70M,,,,-42.00M,424.70M,314.70M,,,-42.00M,,-42.00M,272.70M,92.00M,191.80M,1.40M,,0.00,,193.20M,191.80M,396.50M,81.80M,314.70M,,0.43,0.00,,0.43,0.43,,0.43,0.00,,0.43,0.43,,447.10M,449.70M,0.19,,,Restated
2008-11,3.252B,3.252B,2.565B,686.50M,389.00M,,,,-42.70M,389.00M,297.50M,,,-42.70M,,-42.70M,254.80M,84.60M,172.10M,-3.60M,,-0.40M,,168.10M,171.70M,376.20M,78.70M,297.50M,,0.38,0.00,,0.38,0.38,,0.38,-0.01,,0.38,0.37,,447.10M,449.50M,0.19,,,Restated
2008-08,3.056B,3.056B,2.465B,591.50M,368.70M,,,,-50.10M,368.70M,222.80M,,,-50.10M,,-50.10M,172.70M,66.00M,107.60M,334.80M,,0.00,,442.40M,107.60M,299.00M,76.20M,222.80M,,0.23,0.72,,0.23,0.95,,0.23,0.71,,0.23,0.94,,467.10M,469.60M,0.19,,,Restated
2008-05,1.568B,1.568B,1.487B,81.90M,337.50M,,,,,337.50M,-255.60M,,,,,,-274.30M,-144.50M,-210.50M,411.80M,,,,201.30M,-210.50M,-191.00M,64.60M,-255.60M,,-0.43,0.85,,-0.43,0.42,,-0.43,0.84,,-0.43,0.42,,481.61M,485.29M,0.19,,,Restated
2008-02,3.528B,3.528B,2.555B,973.00M,494.60M,,,,,494.60M,478.40M,,,,45.30M,,416.30M,151.50M,310.10M,-1.00M,,,,309.10M,310.10M,563.60M,85.20M,478.40M,,0.64,-0.01,,0.64,0.63,,0.63,-0.01,,0.63,0.63,,490.63M,490.63M,0.19,,,
2007-11,2.951B,2.951B,2.209B,742.20M,489.30M,,,,,489.30M,252.90M,,,,12.50M,,190.70M,68.60M,134.60M,110.20M,,,,244.80M,134.60M,323.40M,70.50M,252.90M,,0.28,0.22,,0.28,0.50,,0.27,0.22,,0.27,0.50,,487.30M,490.70M,0.19,,,
2007-08,2.621B,2.621B,2.002B,618.80M,381.50M,,,,,381.50M,237.30M,,,,9.60M,,182.50M,61.10M,131.00M,44.40M,,,,175.40M,131.00M,313.10M,75.80M,237.30M,,0.27,0.09,,0.27,0.36,,0.27,0.09,,0.27,0.36,,489.20M,492.80M,0.18,,,
2007-05,1.836B,1.836B,1.391B,444.70M,436.30M,,,,,436.30M,8.40M,,,,4.00M,,-44.90M,-26.90M,-14.00M,206.00M,,,,192.00M,-14.00M,76.10M,67.70M,8.40M,,-0.02,0.41,,-0.02,0.39,,-0.02,0.41,,-0.02,0.39,,491.93M,491.93M,0.18,,,
2007-02,2.918B,2.918B,2.143B,775.00M,450.20M,,,,,450.20M,324.80M,,,,9.60M,,268.70M,91.80M,186.50M,6.10M,,,,192.60M,186.50M,415.60M,90.80M,324.80M,,0.37,0.01,,0.37,0.38,,0.37,0.01,,0.37,0.38,,506.84M,506.84M,0.18,,,
2006-11,3.089B,3.089B,2.278B,810.30M,450.40M,,,,,450.40M,359.90M,,,,12.60M,,307.80M,119.10M,201.30M,12.00M,,,,213.30M,201.30M,447.30M,87.40M,359.90M,,0.40,0.02,,0.40,0.42,,0.39,0.02,,0.39,0.42,,507.86M,507.86M,0.18,,,
2006-08,2.689B,2.689B,2.026B,663.00M,437.20M,,,,,437.20M,225.80M,,,,2.20M,,167.80M,61.50M,108.50M,58.20M,,,,166.70M,108.50M,315.20M,89.40M,225.80M,,0.21,0.12,,0.21,0.33,,0.21,0.12,,0.21,0.33,,510.20M,512.40M,0.18,,,
2006-05,1.714B,1.714B,1.294B,419.80M,460.30M,0.00,,,,460.30M,-40.50M,,,,-27.00M,,-102.20M,-59.70M,-69.50M,128.70M,,,,59.20M,-69.50M,33.00M,73.50M,-40.50M,,-0.14,0.25,,-0.14,0.11,,-0.14,0.25,,-0.14,0.11,,525.40M,525.40M,0.18,,,
2006-02,2.862B,2.862B,2.142B,719.40M,514.70M,,,,,514.70M,204.70M,,,,-0.60M,,135.90M,37.60M,97.70M,-122.90M,,,,-25.20M,97.70M,282.70M,78.00M,204.70M,,0.19,-0.24,,0.19,-0.05,,0.19,-0.24,,0.19,-0.05,,504.00M,504.00M,0.2725,,,
2005-11,3.002B,3.002B,2.271B,731.40M,450.40M,,,,,450.40M,281.00M,,,,-16.70M,,212.40M,79.50M,116.20M,36.30M,,,,152.50M,116.20M,355.10M,74.10M,281.00M,,0.22,0.07,,0.22,0.29,,0.22,0.07,,0.22,0.29,,525.86M,525.86M,0.2725,,,
2005-08,2.674B,2.674B,2.003B,670.70M,417.00M,329.40M,,,,417.00M,253.70M,,,,315.50M,,510.70M,177.60M,319.20M,28.10M,,,,347.30M,104.35M,328.40M,74.70M,253.70M,,0.62,0.05,,0.2053,0.67,,0.61,0.05,,0.1972,0.67,,518.10M,520.50M,0.2725,,,
2005-05,2.879B,2.879B,2.189B,689.90M,471.00M,0.00,,,,471.00M,218.90M,,,,9.90M,,132.20M,61.90M,80.20M,21.60M,,,,101.80M,80.20M,241.10M,22.20M,218.90M,,0.31,-0.12,,0.31,0.19,,0.31,-0.12,,0.31,0.19,,527.35M,529.35M,0.2725,,,
2005-02,3.570B,3.570B,2.804B,766.40M,505.90M,185.70M,,,,505.90M,260.50M,,,,121.70M,,378.10M,149.60M,164.50M,0.80M,,,,165.30M,52.27M,353.70M,93.20M,260.50M,,0.31,0.01,,0.0927,0.32,,0.31,0.01,,0.0927,0.32,,516.56M,516.56M,0.2725,,,
2004-11,4.009B,4.009B,3.108B,901.00M,433.40M,,,,,433.40M,467.60M,,,,15.10M,,381.80M,151.30M,245.60M,-6.00M,,,,239.60M,245.60M,551.40M,83.80M,467.60M,,0.48,-0.01,,0.48,0.47,,0.47,-0.01,,0.47,0.46,,509.79M,520.87M,0.2725,,,
2004-08,3.383B,3.383B,2.700B,682.80M,410.10M,,,,,410.10M,272.70M,,,,14.10M,,199.30M,81.00M,132.40M,2.30M,,,,134.70M,132.40M,360.40M,87.70M,272.70M,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,517.00M,521.40M,0.26,,,
2004-05,366.60M,366.60M,-38.90M,405.50M,329.70M,,,,,329.70M,75.80M,,,,14.10M,,-3.70M,42.10M,-31.70M,200.80M,0.00,,,169.10M,-31.70M,86.00M,10.20M,75.80M,,0.47,-0.16,0.00,0.47,0.33,,0.46,-0.16,-0.0002,0.46,0.32,,515.04M,528.81M,0.26,,,
2004-02,3.526B,3.526B,2.725B,800.20M,426.20M,,,,,426.20M,374.00M,,,,1.90M,,312.20M,110.30M,203.80M,12.90M,-1.40M,,,215.30M,203.80M,462.20M,88.20M,374.00M,,0.39,0.02,0.00,0.39,0.41,,0.38,0.02,-0.0027,0.38,0.40,,525.12M,538.25M,0.26,,,
2003-11,3.805B,3.805B,2.908B,896.30M,477.70M,,,,,477.70M,418.60M,,,,16.30M,,366.70M,128.80M,237.90M,32.20M,,,,270.10M,237.90M,498.80M,80.20M,418.60M,,0.45,0.06,,0.45,0.51,,0.45,0.06,,0.45,0.51,,529.61M,529.61M,0.26,,,
2003-08,3.229B,3.229B,2.545B,684.20M,464.00M,,,,,464.00M,220.20M,,,,11.20M,,166.00M,-1.30M,167.30M,39.30M,-11.70M,,,194.90M,167.30M,311.40M,91.20M,220.20M,,0.32,0.07,0.00,0.32,0.37,,0.32,0.07,-0.0221,0.32,0.37,,530.00M,531.50M,0.2475,,,
