,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-05,128.00M,128.00M,569.40M,,569.40M,249.10M,91.80M,647.80M,,988.70M,184.90M,,1.939B,0.00,107.10M,3.206B,610.20M,,85.30M,4.008B,-2.419B,1.590B,4.487B,1.283B,5.770B,1.091B,8.451B,10.39B,,905.30M,905.30M,832.70M,1.738B,277.30M,307.00M,584.30M,,584.30M,,,13.90M,2.336B,56.00M,3.232B,,3.232B,487.30M,487.30M,,261.70M,80.40M,,255.80M,4.297B,6.633B,,2.840B,4.745B,1.18B,4.978B,,,,-110.50M,3.676B,,AOR,Restated
2018-02,132.90M,132.90M,603.40M,,603.40M,261.90M,108.00M,646.80M,,1.017B,253.30M,,2.058B,,,,,,,4.117B,-2.490B,1.627B,4.507B,1.300B,5.807B,970.70M,8.405B,10.46B,,869.60M,869.60M,691.50M,1.561B,352.30M,77.30M,429.60M,,429.60M,,,,1.991B,,3.233B,,3.233B,,,,,89.00M,,1.430B,4.663B,6.654B,,2.840B,4.759B,1.174B,4.876B,,,,-175.50M,3.720B,,AOR,Restated
2017-11,84.00M,84.00M,683.80M,,683.80M,252.10M,124.90M,682.20M,,1.059B,183.50M,,2.056B,,,,,,,4.237B,-2.595B,1.642B,4.457B,1.298B,5.755B,946.60M,8.344B,10.40B,,886.70M,886.70M,697.70M,1.584B,67.10M,198.80M,265.90M,,265.90M,,,,1.850B,,3.262B,,3.262B,,,,,88.80M,,1.502B,4.763B,6.614B,,2.840B,4.464B,1.167B,4.608B,,,,-165.20M,3.698B,,AOR,Restated
2017-08,251.40M,251.40M,577.10M,,577.10M,251.50M,96.10M,721.20M,,1.069B,188.50M,,2.125B,,,,,,,4.198B,-2.551B,1.647B,4.302B,1.224B,5.525B,928.00M,8.101B,10.23B,,845.70M,845.70M,685.70M,1.531B,323.50M,198.70M,522.20M,,522.20M,,,,2.054B,,2.767B,,2.767B,,,,,88.80M,,1.522B,4.289B,6.343B,,2.840B,4.313B,1.160B,4.337B,,,,-181.20M,3.794B,,AOR,Restated
2017-05,251.40M,251.40M,563.40M,,563.40M,229.40M,91.90M,606.60M,,927.90M,228.70M,,2.013B,0.00,103.20M,3.141B,724.20M,,124.90M,4.093B,-2.460B,1.633B,4.295B,1.224B,5.519B,931.00M,8.083B,10.10B,,773.10M,773.10M,720.20M,1.493B,28.20M,199.00M,227.20M,,227.20M,,,,1.720B,54.70M,2.769B,,2.769B,466.50M,466.50M,,709.80M,87.00M,,297.80M,4.298B,6.018B,,2.840B,4.247B,1.172B,4.055B,,,,-212.90M,3.991B,,AOR,Restated
2017-02,683.60M,683.60M,601.40M,,601.40M,239.10M,120.10M,687.20M,,1.046B,207.70M,,2.539B,,,,,,,4.268B,-2.612B,1.656B,4.252B,1.253B,5.505B,799.30M,7.960B,10.50B,,690.10M,690.10M,742.30M,1.432B,3.70M,128.80M,132.50M,,132.50M,,,,1.565B,,2.842B,,2.842B,,,,,82.90M,,1.788B,4.630B,6.195B,,2.840B,4.171B,1.165B,3.683B,,,,-271.30M,4.221B,,AOR,Restated
2016-11,1.442B,1.442B,699.50M,,699.50M,236.90M,140.00M,736.80M,,1.114B,89.30M,,3.345B,,,,,,,4.230B,-2.560B,1.669B,4.249B,1.261B,5.510B,901.10M,8.08B,11.42B,,784.10M,784.10M,723.60M,1.508B,6.70M,231.00M,237.70M,,237.70M,,,,1.745B,,3.214B,,3.214B,,,,,80.10M,,1.938B,5.153B,6.898B,,2.840B,4.077B,1.158B,3.295B,,,,-333.70M,4.447B,,AOR,Restated
2016-08,794.60M,794.60M,847.00M,,847.00M,327.30M,113.00M,1.198B,,1.638B,127.60M,,3.407B,,,,,,,6.292B,-3.555B,2.737B,4.391B,1.244B,5.634B,1.058B,9.429B,12.84B,,992.90M,992.90M,849.20M,1.842B,35.10M,487.60M,522.70M,,522.70M,,,,2.365B,,4.451B,,4.451B,,,,,81.30M,,2.220B,6.672B,9.036B,,2.840B,3.291B,1.144B,3.193B,,,,-363.50M,3.718B,,AOR,Restated
2016-05,798.10M,798.10M,650.10M,,650.10M,254.30M,110.30M,679.50M,,1.044B,148.60M,,3.577B,0.00,106.90M,3.207B,748.70M,,136.40M,4.199B,-2.502B,1.698B,4.319B,1.223B,5.542B,2.574B,9.814B,13.39B,,706.70M,706.70M,788.50M,1.495B,13.90M,559.40M,573.30M,,573.30M,,,463.90M,2.532B,47.00M,4.881B,,4.881B,342.00M,342.00M,105.90M,1.105B,81.20M,,275.70M,7.063B,9.596B,,2.840B,3.218B,1.136B,3.136B,,,,-344.50M,3.714B,,AOR,Restated
2016-02,502.60M,502.60M,849.60M,,849.60M,468.00M,149.50M,1.218B,,1.836B,335.60M,,3.528B,,,,,,,6.199B,-3.553B,2.646B,4.682B,1.372B,6.054B,960.00M,9.660B,13.19B,,1.008B,1.008B,1.011B,2.019B,36.60M,560.40M,597.00M,,597.00M,,,,2.616B,,4.903B,,4.903B,,,,,79.00M,,1.936B,6.839B,9.455B,,2.840B,3.211B,1.108B,3.176B,,,,-329.00M,3.654B,,AOR,Restated
2015-11,95.90M,95.90M,894.40M,,894.40M,532.20M,182.50M,1.261B,,1.976B,168.80M,,3.912B,,,,,,,6.207B,-3.562B,2.646B,4.686B,1.384B,6.069B,3.367B,12.08B,15.99B,,1.196B,1.196B,938.90M,2.134B,195.00M,1.310B,1.505B,,1.505B,,,314.40M,3.954B,,6.400B,,6.400B,,,,,80.90M,,1.891B,8.526B,12.48B,,2.840B,3.115B,1.086B,3.229B,,,,-378.10M,3.434B,,AOR,Restated
2015-08,114.30M,114.30M,837.30M,,837.30M,411.30M,148.20M,1.268B,,1.827B,183.00M,,3.702B,,,,,,,6.170B,-3.511B,2.659B,4.690B,1.393B,6.082B,3.391B,12.13B,15.83B,,1.158B,1.158B,835.20M,1.993B,13.10M,1.557B,1.570B,,1.570B,,,283.60M,3.847B,,6.300B,,6.300B,,,,,81.10M,,1.98B,8.543B,12.39B,,2.840B,3.069B,1.073B,3.258B,,,,-359.80M,3.363B,,AOR,Restated
2015-05,164.70M,164.70M,739.00M,,739.00M,444.20M,125.30M,1.073B,,1.643B,168.20M,,3.563B,0.00,194.20M,4.822B,807.40M,,244.30M,6.068B,-3.424B,2.645B,4.545B,1.272B,5.817B,5.413B,13.87B,17.44B,,1.08B,1.08B,853.40M,1.933B,7.90M,1.008B,1.016B,,1.016B,,,361.00M,3.310B,,6.889B,,6.889B,,,,,84.00M,,1.916B,9.518B,12.83B,,2.840B,4.331B,1.049B,3.365B,,,,-329.50M,4.526B,,AOR,Restated
2015-02,137.30M,137.30M,1.051B,,1.051B,777.30M,153.40M,1.449B,,2.380B,355.50M,,3.923B,,,,,,,7.321B,-3.741B,3.580B,6.305B,3.063B,9.368B,997.90M,13.95B,17.87B,,1.334B,1.334B,931.60M,2.266B,442.00M,1.009B,1.451B,,1.451B,,,,3.717B,,6.919B,,6.919B,,,,,85.70M,,2.694B,9.613B,13.33B,,2.840B,4.229B,1.034B,3.389B,,,,-261.60M,4.453B,,AOR,Restated
2014-11,121.90M,121.90M,1.201B,,1.201B,821.00M,189.90M,1.522B,,2.533B,260.20M,,4.116B,,,,,,,7.305B,-3.669B,3.635B,7.617B,3.115B,10.73B,1.018B,15.39B,19.50B,,1.643B,1.643B,952.30M,2.596B,550.70M,258.90M,809.60M,,809.60M,,,,3.405B,,7.669B,,7.669B,,,,,86.00M,,2.772B,10.44B,13.85B,,2.840B,5.290B,1.022B,3.403B,,,,-179.70M,5.569B,,AOR,Restated
2014-08,133.70M,133.70M,1.080B,,1.080B,596.40M,136.70M,1.477B,,2.210B,267.00M,,3.691B,,,,,,,7.243B,-3.576B,3.668B,7.838B,3.176B,11.01B,1.000B,15.68B,19.37B,,1.442B,1.442B,883.90M,2.326B,565.20M,9.20M,574.40M,,574.40M,,,,2.900B,,7.917B,,7.917B,,,,,87.00M,,2.808B,10.72B,13.62B,,2.840B,5.387B,1.010B,3.429B,,,,-146.50M,5.661B,,AOR,Restated
2014-05,141.30M,141.30M,1.058B,,1.058B,623.10M,118.60M,1.335B,,2.077B,322.40M,,4.231B,0.00,218.40M,5.626B,902.40M,,362.20M,7.109B,-3.473B,3.636B,7.828B,3.205B,11.03B,419.30M,15.09B,19.32B,,1.349B,1.349B,902.40M,2.252B,141.80M,84.10M,225.90M,,225.90M,,,164.80M,2.642B,,8.720B,,8.720B,,,,,96.70M,,2.599B,11.32B,13.96B,,2.840B,5.011B,1.037B,3.494B,,,,-134.30M,5.258B,,AOR,Restated
2014-02,239.20M,239.20M,1.276B,,1.276B,906.60M,151.20M,1.441B,,2.499B,451.10M,,4.521B,,,,,,,7.460B,-3.640B,3.820B,8.427B,3.308B,11.74B,357.60M,15.91B,20.43B,,1.486B,1.486B,1.018B,2.504B,145.60M,585.10M,730.70M,,730.70M,,,6.30M,3.240B,,8.761B,,8.761B,,,,,91.20M,,2.714B,11.48B,14.72B,,2.840B,5.440B,1.029B,3.512B,,,,-169.70M,5.627B,,AOR,Restated
2013-11,192.70M,192.70M,1.415B,,1.415B,1.014B,183.90M,1.578B,,2.776B,371.70M,,4.756B,,,,,,,7.503B,-3.570B,3.932B,8.456B,3.356B,11.81B,286.70M,16.03B,20.79B,,1.784B,1.784B,1.127B,2.911B,233.70M,584.90M,818.60M,,818.60M,,,,3.730B,,8.771B,,8.771B,,,,,89.50M,,2.724B,11.50B,15.22B,,2.840B,5.311B,1.018B,3.530B,,,,-166.20M,5.472B,,AOR,Restated
2013-08,194.20M,194.20M,1.246B,,1.246B,830.20M,151.60M,1.568B,,2.550B,463.80M,,4.457B,,,,,,,7.365B,-3.459B,3.906B,8.417B,3.383B,11.80B,305.60M,16.01B,20.47B,,1.552B,1.552B,1.044B,2.596B,282.20M,585.40M,867.60M,,867.60M,,,,3.463B,,8.818B,,8.818B,,,,,87.10M,,2.736B,11.55B,15.02B,,2.840B,5.168B,1.004B,3.478B,,,,-169.60M,5.365B,,AOR,Restated
2013-05,183.90M,183.90M,1.279B,,1.279B,828.20M,118.10M,1.395B,,2.341B,510.80M,,4.380B,0.00,254.40M,5.600B,900.50M,,331.50M,7.087B,-3.329B,3.758B,8.427B,3.404B,11.83B,437.60M,16.03B,20.41B,,1.498B,1.498B,1.196B,2.694B,185.00M,517.90M,702.90M,,702.90M,,,4.80M,3.401B,,8.887B,,8.887B,,,,,98.60M,,2.754B,11.64B,15.04B,,2.840B,5.130B,1.006B,3.515B,,,,-196.10M,5.264B,,AOR,Restated
2013-02,723.80M,723.80M,1.219B,,1.219B,1.022B,151.10M,1.476B,,2.648B,554.60M,,5.146B,,,,,,,7.088B,-3.280B,3.807B,8.369B,3.475B,11.84B,309.70M,15.96B,21.11B,,1.502B,1.502B,1.20B,2.702B,1.10M,719.70M,720.80M,,720.80M,,,,3.422B,,9.845B,,9.845B,,,,,100.60M,,2.716B,12.56B,15.98B,,2.840B,5.042B,985.70M,3.582B,,,,-262.00M,5.023B,,AOR,Restated
2012-11,476.80M,476.80M,1.038B,,1.038B,813.80M,187.60M,1.248B,,2.249B,301.30M,,4.065B,,,,,,,6.046B,-3.253B,2.792B,4.105B,1.304B,5.409B,257.90M,8.460B,12.52B,,1.397B,1.397B,818.00M,2.215B,0.00,9.20M,9.20M,,9.20M,,,,2.388B,,3.609B,,3.609B,,,,,98.00M,,1.827B,5.436B,7.824B,,2.840B,5.028B,910.20M,3.893B,,,,-282.30M,4.602B,,AOR,Restated
2012-08,116.50M,116.50M,963.90M,,963.90M,656.20M,131.30M,1.278B,,2.066B,329.80M,,3.476B,,,,,,,5.980B,-3.195B,2.784B,4.167B,1.221B,5.388B,280.40M,8.453B,11.93B,,1.225B,1.225B,927.20M,2.152B,272.00M,23.20M,295.20M,,295.20M,,,,2.594B,,2.860B,,2.860B,,,,,96.70M,,1.824B,4.684B,7.278B,,2.840B,4.918B,897.80M,3.816B,,,,-286.10M,4.554B,,AOR,Restated
2012-05,103.00M,103.00M,924.80M,,924.80M,650.70M,96.50M,1.122B,,1.870B,321.40M,,3.219B,0.00,202.10M,4.729B,905.20M,,159.20M,5.996B,-3.254B,2.742B,4.015B,1.192B,5.207B,274.30M,8.223B,11.44B,,1.190B,1.190B,956.80M,2.147B,40.00M,38.10M,78.10M,,78.10M,,,,2.225B,,2.859B,,2.859B,,,,,96.50M,,1.822B,4.681B,6.906B,,2.840B,4.765B,901.50M,3.768B,,,,-299.10M,4.440B,,AOR,Restated
2012-02,604.20M,604.20M,944.70M,,944.70M,768.70M,111.20M,1.123B,,2.003B,273.60M,,3.825B,,,,,,,5.791B,-3.140B,2.652B,3.927B,1.095B,5.022B,249.10M,7.922B,11.75B,,1.170B,1.170B,785.80M,1.956B,3.00M,43.30M,46.30M,,46.30M,,,,2.175B,,2.853B,,2.853B,,,,,100.40M,,1.597B,4.450B,6.625B,,2.840B,5.087B,896.50M,3.533B,,,,-267.50M,5.022B,,AOR,Restated
2011-11,706.50M,706.50M,972.00M,,972.00M,778.80M,143.70M,1.110B,,2.032B,297.30M,,4.008B,,,,,,,5.726B,-3.122B,2.604B,3.602B,984.70M,4.587B,279.90M,7.471B,11.48B,,1.405B,1.405B,754.50M,2.159B,,,48.30M,,48.30M,,,,2.343B,,2.846B,,2.846B,,,,,6.80M,,1.602B,4.448B,6.791B,,2.840B,4.915B,888.30M,3.639B,,,,-323.00M,4.681B,,AOR,Restated
2011-08,1.095B,1.095B,922.00M,,922.00M,661.40M,106.80M,1.047B,,1.815B,261.10M,,4.094B,,,,,,,5.708B,-3.07B,2.638B,3.609B,989.30M,4.598B,280.80M,7.517B,11.61B,,1.166B,1.166B,666.20M,1.832B,,,376.80M,,376.80M,,,,2.334B,,2.856B,,2.856B,,,,,6.90M,,1.690B,4.546B,6.880B,,2.840B,4.842B,880.40M,3.580B,,,,-258.50M,4.723B,,AOR,Restated
2011-05,972.40M,972.40M,857.20M,,849.40M,727.40M,83.10M,992.90M,,1.803B,274.10M,,3.899B,0.00,201.30M,4.440B,871.90M,,184.80M,5.698B,-3.028B,2.670B,3.609B,936.30M,4.546B,293.60M,7.509B,11.41B,,1.084B,1.084B,554.30M,1.638B,0.00,363.50M,363.50M,,363.50M,,,,2.126B,,2.870B,,2.870B,,,,,7.00M,,1.736B,4.606B,6.732B,,2.840B,4.690B,899.10M,3.668B,,,,-91.20M,4.670B,,AOR,Restated
2011-02,882.90M,882.90M,876.70M,,876.70M,779.50M,109.80M,1.043B,,1.933B,343.20M,,4.036B,,,,,,,5.656B,-3.018B,2.638B,3.611B,941.10M,4.552B,247.50M,7.437B,11.47B,,1.031B,1.031B,764.80M,1.796B,0.00,359.40M,359.40M,,359.40M,,,,2.303B,,2.875B,,2.875B,,,,,6.90M,,1.670B,4.545B,6.849B,,2.840B,4.693B,901.50M,3.572B,,,,-244.40M,4.617B,,AOR,Restated
2010-11,545.20M,545.20M,902.50M,,902.50M,758.90M,135.20M,1.080B,,1.974B,771.80M,,4.194B,,,,,,,5.582B,-2.916B,2.666B,3.607B,932.70M,4.540B,204.00M,7.410B,11.60B,,1.123B,1.123B,,1.123B,0.60M,356.10M,356.70M,,356.70M,,,677.20M,2.28B,,2.880B,,2.880B,,,,,5.00M,,1.492B,4.372B,6.652B,,2.840B,4.576B,891.80M,3.097B,,,,-263.90M,4.947B,,AOR,Restated
2010-08,840.90M,840.90M,853.30M,,853.30M,587.70M,104.00M,1.078B,,1.769B,522.20M,,3.986B,,,,,,,5.494B,-2.849B,2.646B,3.602B,934.10M,4.536B,480.30M,7.662B,11.65B,,977.30M,977.30M,711.70M,1.689B,0.60M,257.70M,258.30M,,258.30M,,,,2.078B,,3.214B,,3.214B,,,,,5.00M,,1.443B,4.657B,6.736B,,2.840B,4.476B,880.90M,3.011B,,,,-278.20M,4.907B,,AOR,Restated
2010-05,953.20M,953.20M,858.10M,,849.60M,561.70M,95.90M,940.30M,,1.598B,307.30M,,3.960B,0.00,168.60M,4.093B,843.00M,,248.00M,5.353B,-2.750B,2.602B,3.550B,874.80M,4.425B,750.80M,7.778B,11.74B,,919.10M,919.10M,579.00M,1.498B,0.60M,260.20M,260.80M,,260.80M,,,13.40M,2.036B,,3.226B,,3.226B,,,,,5.00M,,1.541B,4.773B,6.809B,,2.840B,4.417B,897.50M,2.945B,,,,-285.30M,4.924B,,AOR,Restated
2010-02,785.60M,785.60M,877.30M,,877.30M,661.80M,187.90M,1.172B,,2.021B,311.20M,,3.995B,,,,,,,5.555B,-2.821B,2.734B,3.494B,828.70M,4.323B,694.10M,7.751B,11.75B,,883.90M,883.90M,614.40M,1.498B,0.60M,261.00M,261.60M,,261.60M,,,,1.997B,,3.225B,,3.225B,,,,,,,1.361B,4.586B,6.583B,,2.840B,4.415B,889.70M,2.885B,,,,-96.30M,5.163B,,AOR,Restated
2009-11,490.20M,490.20M,861.60M,,861.60M,823.90M,112.60M,1.256B,,2.192B,307.90M,,3.852B,,,,,,,5.455B,-2.765B,2.69B,3.494B,834.70M,4.329B,695.90M,7.715B,11.57B,,956.40M,956.40M,,956.40M,1.20M,260.50M,261.70M,,261.70M,,,605.30M,2.008B,,3.223B,,3.223B,,,,,,,1.351B,4.574B,6.582B,,2.840B,4.275B,879.40M,2.920B,,,,-89.10M,4.985B,,AOR,Restated
2009-08,289.70M,289.70M,886.10M,,886.10M,641.40M,98.50M,1.273B,,2.013B,373.60M,,3.563B,,,,,,,5.365B,-2.702B,2.663B,3.491B,836.50M,4.328B,676.70M,7.668B,11.23B,,875.00M,875.00M,608.80M,1.484B,2.70M,15.80M,18.50M,,18.50M,,,,1.651B,,3.471B,,3.471B,,,,,,,1.309B,4.780B,6.431B,,2.840B,4.124B,863.70M,2.924B,,,,-103.30M,4.800B,,AOR,Restated
2009-05,243.20M,243.20M,,,755.30M,719.50M,54.80M,1.047B,,1.822B,269.50M,246.90M,3.337B,0.00,193.60M,3.846B,815.60M,,271.30M,5.126B,-2.567B,2.559B,3.484B,834.90M,4.318B,859.00M,7.737B,11.07B,,809.10M,809.10M,717.20M,1.526B,3.70M,23.90M,27.60M,,27.60M,,,20.20M,1.574B,,3.455B,,3.455B,,,,,0.00,,1.323B,4.778B,6.352B,,2.836B,4.042B,884.40M,2.938B,,,,-103.70M,4.721B,,AOR,Restated
2009-02,88.20M,88.20M,889.00M,,889.00M,731.90M,110.20M,1.236B,76.70M,2.154B,326.90M,,3.458B,,,,,,,5.185B,-2.614B,2.572B,3.482B,834.40M,4.316B,1.050B,7.938B,11.40B,,807.80M,807.80M,841.90M,1.650B,185.80M,318.30M,504.10M,,504.10M,,,,2.154B,,3.072B,,3.072B,,,,,,,1.282B,4.354B,6.508B,,2.836B,3.953B,794.60M,2.857B,,,,162.20M,4.888B,,,Restated
2008-11,132.10M,132.10M,972.10M,,972.10M,746.90M,120.00M,1.337B,76.50M,2.281B,455.50M,,3.840B,,,,,,,5.160B,-2.595B,2.566B,3.478B,824.30M,4.302B,1.063B,7.930B,11.77B,,1.020B,1.020B,1.036B,2.055B,300.10M,316.80M,616.90M,,616.90M,,,,2.672B,,3.052B,,3.052B,,,,,,,1.272B,4.324B,6.996B,,2.836B,3.845B,788.10M,2.859B,,,,165.10M,4.775B,,,Restated
2008-08,296.40M,296.40M,961.30M,,961.30M,610.30M,101.30M,1.256B,78.10M,2.046B,353.90M,,3.658B,,,,,,,5.056B,-2.563B,2.493B,3.480B,820.60M,4.301B,1.075B,7.869B,11.53B,,942.20M,942.20M,1.171B,2.113B,25.20M,314.80M,340.00M,,340.00M,,,,2.453B,,3.049B,,3.049B,,,,,,,1.250B,4.299B,6.752B,,2.836B,3.762B,776.30M,2.861B,,,,261.40M,4.774B,,,Restated
