,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,739.90M,,739.90M,936.70M,936.70M,306.50M,54.10M,73.20M,,433.80M,226.40M,,,,2.345B,,,,,,,,,247.00M,236.20M,82.00M,318.20M,,,,962.10M,3.308B,,2018-03,164.90M,,164.90M,365.10M,530.00M,,,230.00M,,230.00M,766.50M,766.50M,,3.70M,1.530B,25.00M,,25.00M,26.40M,,4.40M,,61.20M,,2018-03,91.70M,664.20M,754.70M,-58.40M,1.452B,,2018-03,AOR,Restated
2017-12,822.60M,,822.60M,880.10M,880.10M,319.80M,47.60M,64.00M,,431.40M,206.20M,,,,2.352B,,,,,,,,,250.40M,223.40M,65.60M,289.00M,,,,948.20M,3.300B,,2017-12,152.00M,,152.00M,350.00M,502.00M,,,340.00M,,340.00M,772.30M,772.30M,,2.10M,1.616B,,,,27.30M,,4.40M,,62.10M,,2017-12,91.60M,620.20M,740.50M,-65.70M,1.387B,,2017-12,AOR,Restated
2017-09,716.20M,,716.20M,961.50M,961.50M,296.50M,47.70M,73.50M,,417.70M,190.30M,,,,2.297B,0.00,44.20M,220.40M,375.90M,,14.60M,655.10M,-399.80M,255.30M,222.60M,71.60M,294.20M,87.20M,,114.80M,997.60M,3.294B,,2017-09,162.30M,38.80M,201.10M,155.70M,356.80M,,,350.00M,,350.00M,755.40M,826.10M,,2.50M,1.645B,,,,24.30M,,4.30M,,54.50M,,2017-09,91.70M,778.60M,716.10M,-68.80M,1.518B,,2017-09,AOR,Restated
2017-06,658.20M,0.00,658.20M,747.50M,747.50M,297.10M,56.50M,106.60M,,460.20M,173.80M,,,,2.059B,,,,,,,,,249.30M,220.80M,74.20M,295.00M,,,,1.000B,3.059B,,2017-06,153.30M,,153.30M,354.90M,508.20M,,,114.10M,,114.10M,643.90M,643.90M,,7.00M,1.273B,249.90M,,249.90M,18.90M,,4.30M,0.00,76.60M,,2017-06,91.70M,693.60M,698.70M,-94.00M,1.39B,,2017-06,AOR,Restated
2017-03,705.50M,0.00,705.50M,761.50M,761.50M,267.80M,84.20M,101.70M,,453.70M,206.90M,,,,2.142B,,,,,,,,,252.60M,217.60M,76.60M,294.20M,,,,977.30M,3.119B,,2017-03,144.00M,,144.00M,345.80M,489.80M,,,269.30M,,269.30M,642.50M,642.50M,,3.80M,1.405B,277.20M,,277.20M,17.90M,,4.10M,0.00,78.60M,,2017-03,91.80M,638.60M,667.50M,-109.40M,1.288B,,2017-03,AOR,Restated
2016-12,814.70M,0.00,814.70M,801.70M,801.70M,435.00M,84.60M,142.00M,,661.60M,143.30M,,,,2.421B,,,,,,,,,375.10M,291.70M,99.40M,391.10M,,,,1.264B,3.685B,,2016-12,174.80M,,174.80M,383.10M,557.90M,,,332.60M,,332.60M,633.60M,633.60M,,,1.524B,274.60M,,274.60M,19.50M,,4.20M,10.30M,80.30M,,2016-12,93.50M,1.050B,694.50M,-113.10M,1.725B,,2016-12,AOR,Restated
2016-09,811.40M,95.30M,906.70M,769.60M,769.60M,257.90M,69.60M,114.90M,,442.40M,141.10M,,,,2.615B,0.00,44.20M,211.70M,358.30M,,15.90M,630.10M,-371.50M,258.60M,220.00M,84.10M,304.10M,18.70M,,113.80M,1.199B,3.815B,,2016-09,159.20M,54.40M,213.60M,162.60M,376.20M,,,379.00M,,379.00M,608.60M,670.10M,,83.00M,1.613B,286.90M,,286.90M,24.50M,,3.70M,10.30M,85.10M,,2016-09,93.70M,1.069B,678.60M,-100.80M,1.740B,,2016-09,AOR,Restated
2016-06,835.94M,,835.94M,840.44M,840.44M,416.40M,92.10M,174.00M,-0.01M,682.49M,187.76M,,,,2.547B,,,,,,,,,372.50M,282.89M,76.50M,359.39M,,,,1.213B,3.759B,,2016-06,180.34M,,180.34M,365.01M,545.35M,,,401.44M,,401.44M,670.92M,670.92M,,,1.618B,300.00M,,300.00M,32.60M,,3.647M,10.33M,62.65M,,2016-06,94.31M,1.019B,659.03M,-84.06M,1.688B,,2016-06,AOR,Restated
2016-03,961.10M,,961.10M,852.63M,852.63M,386.10M,102.50M,164.70M,0.028M,653.33M,177.25M,,128.90M,,2.773B,,,,,,,,,374.36M,283.95M,65.50M,349.45M,,,,1.093B,3.866B,,2016-03,174.18M,,174.18M,353.11M,527.29M,,,481.64M,,481.64M,685.22M,685.22M,,,1.694B,312.50M,,312.50M,44.50M,,3.768M,10.33M,64.05M,,2016-03,95.55M,1.016B,659.16M,-80.97M,1.690B,,2016-03,AOR,Restated
2015-12,953.38M,,953.38M,768.55M,768.55M,375.90M,88.40M,148.80M,-0.031M,613.07M,174.69M,,130.53M,,2.640B,,,,,,,,,372.86M,281.77M,69.10M,350.87M,,,,1.086B,3.727B,,2015-12,174.00M,,174.00M,352.71M,526.71M,,,383.25M,,383.25M,679.10M,679.10M,,,1.589B,345.00M,,345.00M,42.80M,,3.878M,10.38M,62.94M,,2015-12,96.00M,962.32M,659.86M,-90.38M,1.628B,,2015-12,AOR,Restated
2015-09,845.50M,0.00,845.50M,770.90M,770.90M,348.30M,98.20M,166.10M,,612.60M,164.00M,,,,2.393B,0.00,49.10M,267.00M,437.20M,,99.60M,852.90M,-473.70M,379.20M,283.50M,72.60M,356.10M,157.70M,,77.00M,1.186B,3.579B,,2015-09,202.90M,36.40M,239.30M,152.00M,391.30M,,,158.40M,,158.40M,668.20M,725.50M,,,1.377B,337.50M,,337.50M,31.80M,,14.70M,0.00,61.90M,,2015-09,98.10M,1.018B,682.20M,-86.50M,1.712B,,2015-09,AOR,Restated
2015-06,951.44M,71.70M,1.023B,673.71M,673.71M,357.00M,91.40M,191.70M,0.001M,640.10M,187.13M,,124.86M,,2.649B,,,,,,,,,343.42M,241.73M,42.30M,284.03M,,,,882.64M,3.532B,,2015-06,180.47M,,180.47M,334.85M,515.32M,,,144.45M,,144.45M,628.88M,628.88M,,,1.289B,350.00M,,350.00M,45.60M,,14.37M,,61.20M,,2015-06,99.51M,1.017B,698.99M,-86.48M,1.729B,,2015-06,AOR,Restated
2015-03,862.22M,70.08M,932.30M,707.93M,707.93M,328.00M,136.80M,187.00M,-0.021M,651.78M,177.77M,,120.58M,,2.590B,,,,,,,,,334.81M,232.63M,,232.63M,,,,869.18M,3.460B,,2015-03,164.08M,,164.08M,326.68M,490.76M,,,150.00M,,150.00M,630.01M,630.01M,,,1.271B,362.50M,,362.50M,41.70M,,4.014M,,60.14M,,2015-03,100.20M,975.38M,687.35M,-88.62M,1.674B,,2015-03,AOR,Restated
2014-12,904.36M,68.52M,972.88M,663.04M,663.04M,319.90M,125.80M,185.20M,-0.028M,630.87M,164.24M,,121.33M,,2.552B,,,,,,,,,335.32M,237.70M,,237.70M,,,,843.94M,3.396B,,2014-12,142.80M,,142.80M,348.70M,491.50M,,,150.00M,,150.00M,615.42M,615.42M,,,1.257B,375.00M,,375.00M,40.30M,,1.777M,,61.37M,,2014-12,100.33M,927.20M,659.10M,-70.50M,1.616B,,2014-12,AOR,Restated
2014-09,849.28M,66.18M,915.45M,731.93M,731.93M,296.10M,124.50M,151.70M,-0.039M,572.26M,148.56M,,125.96M,,2.494B,0.00,45.10M,260.80M,425.40M,,44.70M,776.00M,-438.00M,338.00M,240.63M,40.90M,281.53M,74.10M,,49.10M,863.13M,3.357B,,2014-09,187.38M,30.90M,218.28M,150.70M,368.98M,,,50.00M,,50.00M,592.57M,661.27M,10.80M,0.008M,1.202B,387.50M,,387.50M,31.50M,,0.00,,65.02M,,2014-09,100.94M,931.24M,642.85M,-58.61M,1.616B,,2014-09,AOR,Restated
2014-06,925.99M,60.78M,986.76M,747.35M,747.35M,300.90M,115.60M,169.60M,-0.029M,586.07M,183.02M,,121.56M,,2.625B,,,,,,,,,328.65M,236.13M,,236.13M,,,,850.12M,3.475B,,2014-06,173.36M,,173.36M,363.89M,537.25M,,,79.58M,,79.58M,593.11M,593.11M,,,1.210B,400.00M,,400.00M,,,,,99.22M,,2014-06,103.14M,989.33M,661.14M,-38.70M,1.715B,,2014-06,AOR,Restated
2014-03,939.00M,79.44M,1.018B,786.03M,786.03M,287.50M,106.20M,167.50M,-0.006M,561.19M,175.28M,,137.36M,,2.678B,,,,,,,,,325.84M,226.83M,,226.83M,,,,797.53M,3.476B,,2014-03,170.36M,,170.36M,419.97M,590.33M,,,56.25M,,56.25M,588.15M,588.15M,,,1.235B,412.50M,,412.50M,,,,,95.69M,,2014-03,104.02M,961.95M,650.68M,-37.64M,1.679B,,2014-03,AOR,Restated
2013-12,971.19M,73.98M,1.045B,708.23M,708.23M,285.30M,104.00M,172.50M,0.002M,561.80M,172.88M,,118.27M,,2.606B,,,,,,,,,321.00M,226.96M,,226.96M,,,,784.88M,3.391B,,2013-12,176.86M,,176.86M,357.77M,534.63M,,,56.25M,,56.25M,542.26M,542.26M,,,1.133B,425.00M,,425.00M,,,,,91.20M,,2013-12,105.32M,992.12M,638.08M,-35.93M,1.700B,,2013-12,AOR,Restated
2013-09,1.118B,62.70M,1.181B,698.25M,698.25M,276.60M,91.60M,167.00M,0.023M,535.22M,168.50M,,122.25M,,2.705B,0.00,44.60M,242.20M,380.80M,1.80M,46.60M,716.00M,-400.70M,315.30M,225.34M,23.40M,248.74M,71.10M,,26.00M,763.64M,3.468B,,2013-09,194.27M,40.00M,234.27M,152.95M,387.22M,,,56.25M,,56.25M,550.12M,612.32M,7.60M,-0.016M,1.161B,450.00M,,450.00M,12.00M,,,,90.15M,,2013-09,106.49M,1.010B,637.08M,-40.07M,1.714B,,2013-09,AOR,Restated
2013-06,765.57M,59.48M,825.04M,655.13M,655.13M,270.90M,93.80M,172.00M,-0.007M,536.69M,185.39M,,114.78M,,2.317B,,,,,,,,,306.34M,222.95M,,222.95M,,,,742.02M,3.059B,,2013-06,176.91M,,176.91M,320.80M,497.71M,,,174.37M,,174.37M,559.53M,559.53M,,,1.232B,,,,,,,,101.19M,,2013-06,107.77M,995.16M,634.01M,-53.40M,1.684B,,2013-06,AOR,Restated
2013-03,739.73M,56.14M,795.87M,722.98M,722.98M,252.80M,85.10M,164.70M,-0.002M,502.60M,189.59M,,115.31M,,2.326B,,,,,,,,,302.74M,222.20M,,222.20M,,,,735.72M,3.062B,,2013-03,179.86M,,179.86M,345.00M,524.86M,,,231.87M,,231.87M,532.26M,532.26M,,,1.289B,6.25M,,6.25M,,,,,96.36M,,2013-03,108.52M,945.25M,628.57M,-54.48M,1.628B,,2013-03,AOR,Restated
2012-12,755.49M,51.80M,807.29M,637.47M,637.47M,255.00M,94.10M,150.50M,0.016M,499.62M,168.02M,,115.91M,,2.228B,,,,,,,,,298.53M,223.91M,26.00M,249.91M,,,,710.25M,2.939B,,2012-12,145.17M,,145.17M,357.49M,502.66M,,,200.00M,,200.00M,529.11M,529.11M,,,1.232B,6.25M,,6.25M,,,,,82.35M,,2012-12,109.32M,909.72M,609.25M,-51.40M,1.577B,,2012-12,AOR,Restated
2012-09,704.57M,49.71M,754.28M,691.81M,691.81M,237.30M,75.60M,145.00M,-0.031M,457.87M,150.78M,,115.79M,,2.171B,0.00,43.80M,215.50M,344.50M,3.20M,46.40M,653.40M,-356.80M,296.60M,222.24M,26.80M,249.04M,45.50M,,,708.22M,2.879B,,2012-09,180.74M,63.30M,244.04M,123.40M,367.44M,,,155.00M,,155.00M,511.43M,563.83M,2.90M,-0.032M,1.237B,6.25M,,6.25M,,,,,85.57M,,2012-09,109.41M,893.12M,563.88M,-56.62M,1.510B,,2012-09,AOR,Restated
2012-06,633.39M,47.16M,680.54M,608.83M,608.83M,232.60M,81.80M,150.04M,,464.44M,150.43M,,113.25M,,2.017B,,,,,,,,,287.34M,224.06M,,224.06M,,,,700.47M,2.718B,,2012-06,147.25M,,147.25M,334.03M,481.28M,,,168.76M,,168.76M,480.29M,480.29M,,,1.130B,6.25M,,6.25M,,,,,118.05M,,2012-06,110.71M,834.85M,568.94M,-51.18M,1.463B,,2012-06,AOR,Restated
2012-03,616.73M,31.62M,648.35M,637.40M,637.40M,226.60M,80.50M,137.70M,,444.80M,136.58M,,113.14M,,1.980B,,,,,,,,,282.24M,214.55M,,214.55M,,,,682.90M,2.663B,,2012-03,142.64M,,142.64M,321.72M,464.36M,,,155.52M,,155.52M,481.93M,481.93M,,,1.102B,6.25M,,6.25M,,,,,119.13M,,2012-03,111.80M,799.00M,570.14M,-44.96M,1.436B,,2012-03,AOR,Restated
2011-12,606.32M,25.29M,631.61M,577.25M,577.25M,232.76M,72.40M,139.50M,,444.66M,140.68M,,113.48M,,1.908B,,,,,,,,,280.83M,213.02M,,213.02M,,,,673.65M,2.581B,,2011-12,129.89M,,129.89M,272.22M,402.10M,,,181.25M,,181.25M,460.48M,460.48M,,48.49M,1.092B,6.25M,,6.25M,,,,,123.40M,,2011-12,112.78M,767.70M,530.03M,-51.16M,1.359B,,2011-12,AOR,Restated
2011-09,564.46M,19.20M,583.66M,635.15M,635.15M,231.90M,54.50M,123.60M,-0.038M,409.96M,111.88M,,113.96M,,1.855B,0.00,42.70M,211.80M,324.40M,3.50M,18.70M,601.10M,-315.20M,285.90M,212.45M,12.30M,224.75M,,,,644.15M,2.499B,,2011-09,154.95M,34.50M,189.45M,157.63M,347.07M,,,191.28M,,191.28M,439.55M,442.75M,3.20M,0.009M,1.126B,6.25M,,6.25M,,,,,77.91M,,2011-09,112.34M,677.47M,500.92M,-46.85M,1.244B,,2011-09,AOR,Restated
2011-06,567.92M,,567.92M,581.86M,581.86M,234.70M,81.30M,122.50M,-0.017M,438.48M,130.96M,,118.22M,,1.837B,,,,,,,,,283.18M,216.06M,,216.06M,,,,675.83M,2.513B,,2011-06,119.84M,,119.84M,352.36M,472.20M,,,11.69M,,11.69M,447.96M,447.96M,,,931.84M,6.25M,,6.25M,,,,,121.14M,,2011-06,117.08M,768.81M,596.40M,-28.24M,1.454B,,2011-06,AOR,Restated
2011-03,584.39M,,584.39M,564.15M,564.15M,225.40M,72.10M,124.97M,,422.47M,117.05M,,118.04M,,1.806B,,,,,,,,,281.82M,214.73M,,214.73M,,,,663.48M,2.470B,,2011-03,122.92M,,122.92M,318.02M,440.94M,,,130.10M,,130.10M,447.76M,447.76M,,,1.019B,12.50M,,12.50M,,,,,122.54M,,2011-03,116.95M,701.78M,528.87M,-31.88M,1.316B,,2011-03,AOR,Restated
2010-12,703.52M,,703.52M,496.27M,496.27M,211.37M,72.20M,119.20M,,402.77M,106.37M,,118.32M,,1.827B,,,,,,,,,277.55M,206.95M,,206.95M,,,,643.72M,2.471B,,2010-12,120.69M,,120.69M,319.27M,439.96M,,,7.233M,,7.233M,416.03M,416.03M,,,863.23M,16.09M,,16.09M,,,,,123.33M,,2010-12,119.89M,783.09M,606.86M,-41.52M,1.468B,,2010-12,AOR,Restated
2010-09,520.22M,,520.22M,591.68M,591.68M,208.80M,54.30M,100.80M,0.033M,363.93M,87.27M,,118.25M,,1.681B,0.00,42.50M,189.30M,303.30M,2.027M,25.70M,562.83M,-294.90M,267.93M,208.45M,,208.45M,,,,642.61M,2.324B,,2010-09,119.02M,,119.02M,287.85M,406.87M,,,25.52M,,25.52M,141.92M,141.92M,,329.23M,903.54M,17.87M,,17.87M,,,,,127.18M,,2010-09,118.01M,686.60M,508.37M,-37.60M,1.275B,,2010-09,AOR,Restated
2010-06,587.61M,,587.61M,514.94M,514.94M,236.50M,56.40M,97.30M,,390.19M,96.92M,,108.27M,,1.698B,,,,,,,,,261.36M,203.29M,,203.29M,,,,620.97M,2.319B,,2010-06,105.82M,,105.82M,227.75M,333.58M,,,5.52M,,5.52M,125.55M,125.55M,,330.56M,795.22M,17.94M,,17.94M,,,,,118.40M,,2010-06,121.77M,772.43M,533.22M,-40.07M,1.387B,,2010-06,AOR,Restated
2010-03,654.73M,,654.73M,497.32M,497.32M,215.00M,50.80M,105.70M,-0.004M,371.50M,97.99M,,108.07M,,1.730B,,,,,,,,,258.48M,207.15M,,207.15M,,,,620.29M,2.350B,,2010-03,111.61M,,111.61M,252.88M,364.49M,,,6.515M,,6.515M,131.31M,131.31M,,315.68M,818.00M,23.26M,,23.26M,,,,,115.10M,,2010-03,123.46M,773.54M,528.54M,-32.02M,1.394B,,2010-03,AOR,Restated
2009-12,625.50M,,625.50M,507.41M,507.41M,202.60M,47.00M,101.24M,,350.84M,95.53M,,143.99M,,1.723B,,,,,,,,,258.43M,210.56M,,210.56M,,,,634.72M,2.358B,,2009-12,103.45M,,103.45M,275.43M,378.88M,,,13.31M,,13.31M,154.80M,154.80M,,304.59M,851.57M,23.33M,,23.33M,,,,,128.87M,,2009-12,124.36M,735.63M,521.21M,-26.97M,1.354B,,2009-12,AOR,Restated
2009-09,553.53M,,553.53M,580.92M,580.92M,183.10M,54.70M,84.10M,-0.039M,321.86M,71.75M,,144.39M,,1.672B,0.00,42.50M,185.80M,280.00M,0.76M,18.10M,527.16M,-263.10M,264.06M,210.35M,,210.35M,,,,635.80M,2.308B,,2009-09,116.09M,,116.09M,304.40M,420.50M,,,13.45M,,13.45M,130.59M,130.59M,,277.79M,842.32M,23.39M,,23.39M,,,,,130.75M,,2009-09,125.28M,696.41M,516.48M,-26.38M,1.312B,,2009-09,AOR,Restated
2009-06,471.72M,,471.72M,469.52M,469.52M,203.80M,49.20M,105.15M,,358.15M,60.54M,2.629M,130.94M,,1.494B,0.00,42.50M,182.40M,275.60M,0.80M,18.80M,520.10M,-259.80M,260.30M,207.69M,,207.69M,,,,634.06M,2.128B,,2009-06,88.26M,,88.26M,239.78M,328.03M,,,9.001M,,9.001M,124.22M,124.22M,,296.23M,757.48M,23.46M,,23.46M,,,,,117.56M,,2009-06,125.53M,620.74M,501.59M,-18.79M,1.229B,,2009-06,AOR,Restated
2009-03,374.62M,,374.62M,534.79M,534.79M,193.40M,53.50M,93.30M,0.04M,340.24M,67.46M,2.34M,130.71M,,1.450B,0.00,37.50M,179.20M,269.10M,0.773M,17.30M,503.87M,-251.60M,252.27M,203.87M,,203.87M,,,,613.84M,2.064B,,2009-03,111.07M,,111.07M,226.76M,337.83M,,,12.75M,,12.75M,131.46M,131.46M,,272.97M,755.01M,29.77M,,29.77M,,,,,152.15M,,2009-03,125.36M,535.39M,486.58M,-20.28M,1.127B,,2009-03,AOR,Restated
2008-12,422.87M,,422.87M,467.42M,467.42M,,,,,327.26M,55.45M,,130.94M,18.60M,1.423B,,,,,,,487.47M,-234.40M,253.07M,206.26M,,206.26M,,,,615.46M,2.038B,,2008-12,89.73M,,89.73M,234.85M,324.58M,,,32.99M,,32.99M,158.17M,158.17M,,294.60M,810.33M,32.34M,,32.34M,,,,,153.06M,,2008-12,124.31M,467.58M,468.62M,-18.24M,1.042B,,2008-12,,Restated
2008-09,397.31M,,397.31M,486.31M,486.31M,156.80M,36.60M,89.60M,-0.02M,282.98M,78.02M,,130.99M,18.80M,1.394B,0.00,11.40M,167.60M,226.30M,0.783M,46.50M,452.58M,-234.40M,218.18M,209.15M,,209.15M,,,,581.11M,1.976B,,2008-09,105.28M,,105.28M,252.92M,358.20M,,,7.987M,,7.987M,141.37M,141.37M,,274.13M,781.68M,32.40M,,32.40M,,,,,134.25M,,2008-09,125.59M,451.44M,468.38M,-18.23M,1.027B,,2008-09,,
2008-06,405.68M,,405.68M,442.65M,442.65M,,,,,304.31M,76.86M,,125.68M,,1.355B,,,,,,,423.82M,-214.80M,209.02M,214.93M,,214.93M,,,,585.81M,1.941B,,2008-06,103.79M,,103.79M,245.69M,349.48M,,,74.87M,,74.87M,138.13M,138.13M,,266.75M,829.22M,32.46M,,32.46M,,,,,126.98M,,2008-06,124.88M,440.91M,391.77M,-5.235M,952.32M,,2008-06,,Restated
2008-03,360.06M,,360.06M,521.92M,521.92M,139.30M,41.80M,87.40M,0.017M,268.52M,70.81M,,126.03M,,1.347B,,,,,,,410.27M,-214.80M,195.47M,215.68M,,215.68M,,,,569.60M,1.917B,,2008-03,109.39M,,109.39M,249.93M,359.32M,,,81.98M,,81.98M,134.88M,134.88M,,254.60M,830.77M,40.27M,,40.27M,,,,,138.17M,,2008-03,125.51M,414.82M,371.95M,-4.543M,907.73M,,2008-03,,
