,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,729.90M,729.90M,411.40M,318.50M,139.40M,58.90M,11.10M,-11.10M,2.30M,3.60M,1.30M,,198.30M,120.20M,3.60M,2.30M,1.30M,-25.90M,1.30M,95.60M,22.40M,73.20M,,,0.00,114.60M,16.70M,97.90M,,2018-03,,1.032,0.80,,2018-03,,1.019,0.79,91.50M,92.60M,0.00,,2018-03,AOR,Restated
2017-12,678.50M,678.50M,375.70M,302.80M,125.30M,55.90M,,,2.10M,3.20M,1.10M,,181.20M,121.60M,3.20M,2.10M,1.10M,-0.20M,1.10M,122.50M,234.70M,-112.20M,,,-0.10M,143.70M,19.10M,124.60M,,2017-12,,-1.223,-1.22,,2017-12,,-1.223,-1.22,91.60M,91.60M,0.00,,2017-12,AOR,Restated
2017-09,721.80M,721.80M,416.00M,305.80M,138.70M,51.70M,13.10M,-13.60M,2.70M,3.20M,0.50M,,190.40M,115.40M,3.20M,2.70M,0.50M,-11.20M,0.50M,104.70M,26.10M,78.60M,0.00,,0.00,125.80M,18.40M,107.40M,,2017-09,,1.011,0.90,,2017-09,,1.001,0.89,91.90M,92.30M,0.00,,2017-09,AOR,Restated
2017-06,632.80M,632.80M,367.30M,265.50M,121.40M,55.10M,,-0.50M,2.70M,2.90M,0.20M,,176.50M,89.00M,2.90M,2.70M,0.20M,-0.50M,0.20M,88.70M,18.80M,69.90M,,,-0.20M,108.90M,17.50M,91.40M,,2017-06,,0.7643,0.76,,2017-06,,0.7543,0.75,91.70M,92.40M,0.00,,2017-06,AOR,Restated
2017-03,663.20M,663.20M,387.60M,275.60M,131.60M,53.30M,0.00,-0.60M,2.40M,2.70M,0.30M,,184.90M,90.70M,2.70M,2.40M,0.30M,-0.60M,0.30M,90.40M,20.90M,69.50M,-13.30M,,0.10M,111.50M,18.70M,92.80M,,2017-03,,0.7550,0.60,,2017-03,,0.7449,0.60,93.00M,93.70M,0.00,,2017-03,AOR,Restated
2016-12,601.50M,601.50M,334.50M,267.00M,161.40M,49.90M,38.30M,-38.30M,2.90M,4.80M,1.90M,,211.30M,55.70M,4.80M,2.90M,1.90M,-38.30M,1.90M,19.30M,11.30M,8.00M,6.50M,,-0.60M,44.50M,22.30M,22.20M,,2016-12,,0.3258,0.15,,2016-12,,0.3239,0.15,93.50M,94.20M,0.00,,2016-12,AOR,Restated
2016-09,719.80M,719.80M,409.20M,310.60M,121.40M,52.70M,0.00,-3.10M,3.20M,4.50M,1.30M,,174.10M,136.50M,4.50M,3.20M,1.30M,-3.10M,1.30M,134.70M,43.40M,91.30M,23.50M,,-0.30M,161.30M,23.40M,137.90M,,2016-09,,1.272,1.25,,2016-09,,1.262,1.24,93.60M,94.50M,0.00,,2016-09,AOR,Restated
2016-06,642.90M,642.90M,359.40M,283.50M,128.10M,51.10M,2.20M,-2.20M,2.90M,4.50M,1.60M,,179.20M,104.30M,4.50M,2.90M,1.60M,-2.20M,1.60M,103.70M,21.80M,81.90M,17.00M,,-0.10M,125.10M,18.50M,106.60M,,2016-06,,0.8783,1.04,,2016-06,,0.8782,1.04,94.90M,95.40M,0.00,,2016-06,AOR,Restated
2016-03,615.20M,615.20M,357.10M,258.10M,106.10M,49.00M,0.00,0.00,3.30M,4.30M,1.00M,,155.10M,103.00M,4.30M,3.30M,1.00M,,1.00M,104.00M,26.80M,77.20M,19.80M,,0.00,126.70M,19.40M,107.30M,,2016-03,,0.81,1.01,,2016-03,,0.80,1.01,95.70M,96.20M,0.00,,2016-03,AOR,Restated
2015-12,757.10M,757.10M,447.40M,309.70M,133.00M,60.00M,0.00,0.00,2.20M,3.90M,1.70M,,193.00M,116.70M,3.90M,2.20M,1.70M,0.00,1.70M,118.40M,29.40M,89.00M,,,0.00,139.10M,18.50M,120.60M,,2015-12,,0.92,0.92,,2015-12,,0.91,0.91,97.20M,97.80M,0.00,,2015-12,AOR,Restated
2015-09,209.43M,209.43M,141.85M,67.58M,72.61M,19.00M,,,1.973M,3.927M,1.954M,,91.61M,-24.03M,3.927M,1.973M,1.954M,,1.954M,-22.08M,-20.55M,-1.525M,,,-0.364M,-1.608M,18.50M,-20.10M,,2015-09,,1.00,1.00,,2015-09,,0.99,0.99,98.53M,99.34M,0.00,,2015-09,AOR,Restated
2015-06,784.01M,784.01M,469.04M,314.98M,110.72M,60.01M,,,1.881M,3.489M,1.608M,,170.73M,144.24M,3.489M,1.881M,1.608M,,1.608M,145.85M,32.21M,113.64M,,,-0.136M,164.34M,16.61M,147.73M,,2015-06,,1.14,1.14,,2015-06,,1.13,1.13,99.72M,100.45M,0.00,,2015-06,AOR,Restated
2015-03,759.41M,759.41M,436.87M,322.54M,117.19M,59.31M,,,2.001M,3.044M,1.043M,,176.50M,146.04M,3.044M,2.001M,1.043M,,1.043M,147.08M,41.11M,105.97M,,,0.00,165.41M,16.33M,149.08M,,2015-03,,1.06,1.06,,2015-03,,1.05,1.05,100.16M,101.03M,0.00,,2015-03,AOR,Restated
2014-12,737.85M,737.85M,410.85M,327.01M,140.48M,57.08M,,,2.045M,3.04M,0.995M,,197.56M,129.45M,3.04M,2.045M,0.995M,,0.995M,130.44M,37.13M,93.31M,,,0.00,149.56M,17.07M,132.49M,,2014-12,,0.93,0.93,,2014-12,,0.92,0.92,100.47M,101.64M,0.00,,2014-12,AOR,Restated
2014-09,812.11M,812.11M,472.02M,340.08M,121.82M,59.13M,,0.03M,1.665M,2.732M,1.067M,,180.96M,159.13M,2.732M,1.665M,1.067M,0.03M,1.067M,160.22M,54.36M,105.86M,,,0.00,178.41M,16.52M,161.89M,,2014-09,,1.040,1.04,,2014-09,,1.020,1.02,102.24M,103.47M,0.00,,2014-09,AOR,Restated
2014-06,747.68M,747.68M,423.96M,323.73M,124.24M,56.99M,,0.00,1.787M,3.045M,1.258M,,181.22M,142.50M,3.045M,1.787M,1.258M,,1.258M,143.76M,36.67M,107.09M,,,0.00,160.89M,15.34M,145.55M,,2014-06,,1.03,1.03,,2014-06,,1.02,1.02,103.64M,104.87M,0.00,,2014-06,AOR,Restated
2014-03,778.51M,778.51M,450.20M,328.31M,114.96M,60.68M,,-25.13M,1.855M,2.458M,0.603M,,175.64M,152.67M,2.458M,1.855M,0.603M,-25.13M,0.603M,128.15M,35.36M,92.79M,,,,144.58M,14.57M,130.00M,,2014-03,,1.065,0.89,,2014-03,,1.053,0.88,104.15M,105.45M,0.00,,2014-03,AOR,Restated
2013-12,711.50M,711.50M,401.92M,309.58M,109.58M,58.00M,,,1.893M,2.265M,0.372M,,167.58M,141.99M,2.265M,1.893M,0.372M,,0.372M,142.37M,44.41M,97.96M,,,,160.32M,16.06M,144.26M,,2013-12,,0.92,0.92,,2013-12,,0.91,0.91,105.99M,107.45M,0.00,,2013-12,AOR,Restated
2013-09,769.93M,769.93M,441.43M,328.50M,110.68M,56.85M,,0.00,1.363M,2.163M,0.80M,,167.53M,160.96M,2.163M,1.363M,0.80M,,0.80M,161.76M,44.42M,117.35M,,,,178.08M,14.95M,163.13M,,2013-09,,1.09,1.09,,2013-09,,1.08,1.08,107.18M,108.72M,0.00,,2013-09,AOR,Restated
2013-06,726.21M,726.21M,415.75M,310.46M,102.40M,53.34M,,0.00,0.874M,1.915M,1.041M,,155.73M,154.73M,1.915M,0.874M,1.041M,,1.041M,155.77M,42.94M,112.83M,,,,172.05M,15.40M,156.65M,,2013-06,,1.04,1.04,,2013-06,,1.03,1.03,108.16M,109.76M,0.00,,2013-06,AOR,Restated
2013-03,768.36M,768.36M,448.72M,319.64M,113.03M,50.90M,,0.00,1.026M,1.705M,0.679M,,163.93M,155.70M,1.705M,1.026M,0.679M,,0.679M,156.38M,43.60M,112.79M,,,,172.96M,15.55M,157.41M,,2013-03,,1.04,1.04,,2013-03,,1.02,1.02,108.84M,110.65M,0.00,,2013-03,AOR,Restated
2012-12,678.40M,678.40M,387.31M,291.09M,106.48M,47.12M,,,0.866M,1.539M,0.673M,,153.60M,137.49M,1.539M,0.866M,0.673M,,0.673M,138.16M,42.88M,95.28M,,,,155.98M,16.96M,139.03M,,2012-12,,0.87,0.87,,2012-12,,0.86,0.86,109.30M,111.14M,0.00,,2012-12,AOR,Restated
2012-09,756.16M,756.16M,432.89M,323.27M,109.53M,45.97M,,,0.95M,1.698M,0.748M,,155.50M,167.77M,1.698M,0.95M,0.748M,,0.748M,168.52M,48.32M,120.20M,,,,187.89M,18.42M,169.47M,,2012-09,,1.09,1.09,,2012-09,,1.08,1.08,109.93M,112.01M,0.00,,2012-09,AOR,Restated
2012-06,705.25M,705.25M,397.64M,307.61M,105.08M,48.94M,,,0.933M,1.312M,0.379M,,154.02M,153.59M,1.312M,0.933M,0.379M,,0.379M,153.97M,45.12M,108.84M,,,,169.41M,14.51M,154.90M,,2012-06,,0.98,0.98,,2012-06,,0.96,0.96,111.07M,112.82M,0.00,,2012-06,AOR,Restated
2012-03,720.27M,720.27M,423.58M,296.70M,105.83M,47.07M,,,0.707M,1.109M,0.402M,,152.90M,143.80M,1.109M,0.707M,0.402M,,0.402M,144.20M,36.43M,107.77M,,,,158.97M,14.06M,144.91M,,2012-03,,0.96,0.96,,2012-03,,0.94,0.94,112.35M,114.51M,0.00,,2012-03,AOR,Restated
2011-12,625.34M,625.34M,356.58M,268.76M,96.08M,43.76M,,,0.829M,1.15M,0.321M,,139.84M,128.92M,1.15M,0.829M,0.321M,,0.321M,129.24M,39.01M,90.23M,,,,144.06M,13.99M,130.07M,,2011-12,,0.80,0.80,,2011-12,,0.79,0.79,112.27M,114.37M,0.00,,2011-12,AOR,Restated
2011-09,718.92M,718.92M,418.62M,300.30M,96.64M,43.92M,,,0.731M,0.836M,0.105M,,140.56M,159.74M,0.836M,0.731M,0.105M,,0.105M,159.84M,49.39M,110.45M,,,,174.18M,13.60M,160.57M,,2011-09,,0.96,0.88,,2011-09,,0.95,0.87,113.97M,115.45M,0.00,,2011-09,AOR,Restated
2011-06,649.44M,649.44M,369.68M,279.76M,94.84M,44.43M,,,0.504M,0.584M,0.08M,,139.26M,140.49M,0.584M,0.504M,0.08M,,0.08M,140.57M,41.97M,98.60M,,,,154.51M,13.44M,141.08M,,2011-06,,0.84,0.84,,2011-06,,0.83,0.83,116.87M,119.06M,0.00,,2011-06,AOR,Restated
2011-03,648.46M,648.46M,359.46M,288.99M,93.92M,43.87M,,,0.809M,0.809M,0.00,,137.80M,151.20M,0.809M,0.809M,0.00,,0.00,151.20M,48.12M,103.08M,,,,165.19M,13.18M,152.01M,,2011-03,,0.87,0.87,,2011-03,,0.86,0.86,117.96M,120.39M,0.00,,2011-03,AOR,Restated
2010-12,579.85M,579.85M,313.01M,266.84M,91.31M,38.50M,,,0.555M,0.629M,0.074M,,129.81M,137.03M,0.629M,0.555M,0.074M,,0.074M,137.10M,40.61M,96.49M,,,,150.02M,12.36M,137.66M,,2010-12,,0.82,0.82,,2010-12,,0.80,0.80,118.17M,121.21M,0.00,,2010-12,AOR,Restated
2010-09,652.06M,652.06M,375.79M,276.27M,86.91M,40.57M,,,0.433M,0.649M,0.216M,,127.47M,148.79M,0.649M,0.433M,0.216M,,0.216M,149.01M,43.36M,105.65M,-0.609M,,,162.08M,12.64M,149.44M,,2010-09,,0.89,0.88,,2010-09,,0.86,0.86,118.65M,122.51M,0.00,,2010-09,AOR,Restated
2010-06,578.05M,578.05M,323.67M,254.38M,84.74M,38.87M,,,1.472M,0.654M,-0.818M,,123.62M,130.76M,0.654M,1.472M,-0.818M,,-0.818M,129.95M,38.00M,91.94M,-6.45M,,,143.32M,11.90M,131.42M,,2010-06,,0.75,0.70,,2010-06,,0.74,0.69,122.07M,124.51M,0.00,,2010-06,AOR,Restated
2010-03,585.57M,585.57M,331.59M,253.98M,79.50M,38.92M,,,1.099M,0.72M,-0.379M,,118.42M,135.56M,0.72M,1.099M,-0.379M,,-0.379M,135.18M,44.06M,91.11M,,,,148.09M,11.82M,136.28M,,2010-03,,0.74,0.74,,2010-03,,0.73,0.73,122.94M,124.34M,0.00,,2010-03,AOR,Restated
2009-12,540.91M,540.91M,299.89M,241.02M,83.54M,38.39M,,,1.104M,0.808M,-0.296M,,121.93M,119.09M,0.808M,1.104M,-0.296M,,-0.296M,118.79M,40.02M,78.78M,,,,131.83M,11.94M,119.90M,,2009-12,,0.64,0.64,,2009-12,,0.63,0.63,123.69M,125.06M,0.00,,2009-12,AOR,Restated
2009-09,641.93M,641.93M,357.01M,284.92M,96.14M,38.09M,,,1.03M,0.768M,-0.262M,,134.23M,150.68M,0.768M,1.03M,-0.262M,,-0.262M,150.42M,53.23M,97.19M,-0.127M,,,163.37M,11.92M,151.45M,,2009-09,,0.78,0.78,,2009-09,,0.77,0.77,124.25M,125.29M,0.00,,2009-09,AOR,Restated
2009-06,509.87M,509.87M,293.63M,216.24M,78.43M,35.32M,,,0.92M,0.687M,-0.233M,,113.75M,102.49M,0.687M,0.92M,-0.233M,,-0.233M,102.26M,16.90M,85.35M,0.00,,,114.70M,11.53M,103.18M,,2009-06,,0.69,0.69,,2009-06,,0.68,0.68,124.24M,124.99M,0.00,,2009-06,AOR,Restated
2009-03,553.59M,553.59M,313.20M,240.39M,81.18M,36.98M,,,1.194M,0.877M,-0.317M,,118.16M,122.23M,0.877M,1.194M,-0.317M,,-0.317M,121.91M,42.55M,79.36M,-11.54M,,,134.75M,11.65M,123.11M,,2009-03,,0.64,0.55,,2009-03,,0.64,0.54,123.78M,124.50M,0.00,,2009-03,AOR,Restated
2008-12,508.67M,508.67M,289.71M,218.96M,83.23M,36.98M,,,0.953M,2.262M,1.309M,,120.21M,98.75M,2.262M,0.953M,1.309M,,1.309M,100.06M,30.48M,69.58M,-0.782M,,,110.52M,9.517M,101.01M,,2008-12,,0.56,0.56,,2008-12,,0.56,0.55,123.82M,125.17M,0.00,,2008-12,,Restated
2008-09,592.70M,592.70M,330.17M,262.53M,87.82M,39.13M,,,,,,,126.95M,135.58M,,,,,,137.82M,50.75M,87.07M,-8.611M,,,137.19M,9.756M,127.43M,,2008-09,,0.70,0.63,,2008-09,,0.68,0.61,124.65M,127.53M,0.00,,2008-09,,
2008-06,507.42M,507.42M,295.08M,212.33M,84.55M,35.65M,,,1.304M,2.602M,1.298M,,120.20M,92.14M,2.602M,1.304M,1.298M,,1.298M,93.44M,16.38M,77.06M,-2.876M,,,103.93M,9.186M,94.74M,,2008-06,,0.62,0.60,,2008-06,,0.61,0.58,124.62M,127.06M,0.00,,2008-06,,Restated
2008-03,527.53M,527.53M,316.39M,211.14M,75.93M,32.14M,,,,,,,108.08M,103.06M,,,,,,104.63M,33.26M,71.36M,,,,112.18M,9.121M,103.06M,,2008-03,,0.57,0.57,,2008-03,,0.56,0.56,125.16M,128.04M,0.00,,2008-03,,
2007-12,451.21M,451.21M,260.11M,191.10M,75.07M,28.94M,,,,,,,104.02M,87.09M,,,,,,88.60M,30.37M,58.23M,-2.752M,,,95.73M,8.646M,87.09M,,2007-12,,0.47,0.44,,2007-12,,0.46,0.43,124.81M,127.79M,0.00,,2007-12,,
2007-09,500.88M,500.88M,283.82M,217.05M,68.33M,32.70M,,,,,,,101.03M,116.02M,,,,,,117.26M,35.17M,82.09M,,,,124.90M,8.887M,116.02M,,2007-09,,0.65,0.62,,2007-09,,0.64,0.61,125.33M,128.15M,0.00,,2007-09,,
2007-06,423.66M,423.66M,253.16M,170.49M,75.18M,29.20M,,,,,,,104.38M,66.12M,,,,,,67.78M,17.41M,50.37M,,,,74.36M,8.239M,66.12M,,2007-06,,0.40,0.40,,2007-06,,0.39,0.39,126.98M,129.86M,0.00,,2007-06,,
2007-03,442.68M,442.68M,257.51M,185.17M,70.26M,28.46M,,,,,,,98.72M,86.45M,,,,,,88.47M,27.52M,60.95M,,,,94.19M,7.746M,86.45M,,2007-03,,0.48,0.48,,2007-03,,0.46,0.46,128.20M,131.87M,0.00,,2007-03,,
2006-12,387.86M,387.86M,227.71M,160.15M,63.14M,26.97M,,,,,,,90.11M,70.04M,,,,,,72.49M,22.99M,49.50M,,,,77.38M,7.334M,70.04M,,2006-12,,0.38,0.38,,2006-12,,0.37,0.37,129.20M,132.96M,0.00,,2006-12,,
2006-09,454.06M,454.06M,263.24M,190.82M,65.73M,27.72M,,,,,,,93.45M,97.36M,,,,,,99.92M,19.04M,80.88M,,,,104.77M,7.403M,97.36M,,2006-09,,0.62,0.63,,2006-09,,0.60,0.61,129.89M,134.01M,0.00,,2006-09,,
2006-06,395.67M,395.67M,233.01M,162.66M,64.50M,25.46M,,,,,,,89.96M,72.70M,,,,,,75.28M,9.55M,65.73M,,,,80.10M,7.392M,72.70M,,2006-06,,0.50,0.50,,2006-06,,0.49,0.49,131.14M,135.27M,0.00,,2006-06,,
2006-03,413.86M,413.86M,242.77M,171.08M,66.55M,25.01M,,,,,,,91.56M,79.52M,,,,,,82.06M,26.26M,55.80M,,,,87.00M,7.478M,79.52M,,2006-03,,0.42,0.42,,2006-03,,0.41,0.41,131.93M,136.82M,0.00,,2006-03,,
2005-12,334.23M,334.23M,195.47M,138.76M,56.78M,22.22M,,,,,,,79.00M,59.76M,,,,,,61.43M,20.27M,41.16M,,,,67.07M,7.303M,59.76M,,2005-12,,0.31,0.31,,2005-12,,0.30,0.30,131.14M,135.94M,0.00,,2005-12,,
2005-09,386.18M,386.18M,220.37M,165.81M,54.45M,21.58M,,,,,,,72.86M,92.96M,,,,,,90.96M,30.02M,60.94M,,,,100.43M,7.474M,92.96M,,2005-09,,0.46,0.46,,2005-09,,0.45,0.45,130.81M,136.07M,0.00,,2005-09,,
2005-06,346.54M,346.54M,194.67M,151.87M,54.68M,21.89M,,,,,,,76.57M,75.30M,,,,,,76.38M,25.20M,51.18M,,,,82.32M,7.011M,75.30M,,2005-06,,0.39,0.39,,2005-06,,0.37,0.37,131.93M,136.87M,0.00,,2005-06,,
2005-03,350.88M,350.88M,200.72M,150.16M,50.67M,20.23M,,,,,,,70.90M,79.26M,,,,,,79.91M,25.76M,54.15M,,,,86.35M,7.091M,79.26M,,2005-03,,0.41,0.41,,2005-03,,0.39,0.39,133.08M,138.43M,0.00,,2005-03,,
2004-12,298.96M,298.96M,173.77M,125.18M,46.19M,18.37M,,,,,,,64.56M,60.63M,,,,,,61.08M,20.77M,40.31M,,,,67.70M,7.075M,60.63M,,2004-12,,0.30,0.30,,2004-12,,0.29,0.29,133.98M,139.94M,0.00,,2004-12,,
2004-09,344.80M,344.80M,196.87M,147.94M,50.22M,18.30M,,,,,,,84.22M,63.72M,,,,,,79.80M,27.93M,51.86M,,,,70.41M,6.696M,63.72M,,2004-09,,0.38,0.38,,2004-09,,0.37,0.37,135.00M,140.38M,0.00,,2004-09,,
2004-06,303.09M,303.09M,172.06M,131.03M,47.70M,17.73M,,,,,,0.167M,65.60M,65.43M,,,,,,65.75M,23.02M,42.73M,,,,72.42M,6.988M,65.43M,,2004-06,,0.31,0.31,,2004-06,,0.30,0.30,136.61M,143.08M,0.00,,2004-06,,
2004-03,320.66M,320.66M,188.17M,132.49M,46.99M,18.47M,,,,,,,65.46M,67.03M,,,,,,67.37M,23.57M,43.80M,,,,73.75M,6.715M,67.03M,,2004-03,,0.32,0.32,,2004-03,,0.31,0.31,136.57M,143.30M,0.00,,2004-03,,
2003-12,266.96M,266.96M,160.26M,106.71M,44.47M,17.60M,,,,,,,62.08M,44.63M,,,,,,45.07M,15.78M,29.29M,,,,51.32M,6.69M,44.63M,,2003-12,,0.22,0.22,,2003-12,,0.21,0.21,136.03M,142.12M,0.00,,2003-12,,
2003-09,303.23M,303.23M,173.33M,129.91M,47.45M,16.71M,,,,,,,64.16M,65.75M,,,,,,66.18M,23.17M,43.01M,,,,72.42M,6.669M,65.75M,,2003-09,,0.32,0.32,,2003-09,,0.305,0.305,134.86M,140.29M,0.00,,2003-09,,
2003-06,265.46M,265.46M,160.36M,105.11M,41.62M,15.89M,,,,,,,57.51M,47.59M,,,,,,48.83M,16.66M,32.17M,,,,53.07M,5.474M,47.59M,,2003-06,,0.235,0.235,,2003-06,,0.225,0.225,136.40M,142.43M,0.00,,2003-06,,
2003-03,266.16M,266.16M,160.16M,106.00M,39.62M,14.20M,,,,,,,53.82M,52.18M,,,,,,52.96M,18.80M,34.16M,,,,57.16M,4.978M,52.18M,,2003-03,,0.25,0.25,,2003-03,,0.24,0.24,136.13M,142.14M,0.00,,2003-03,,
2002-12,206.70M,206.70M,126.63M,80.08M,35.69M,12.37M,,,,,,,48.06M,32.02M,,,,,,32.59M,11.57M,21.02M,,,,37.62M,5.607M,32.02M,,2002-12,,0.155,0.155,,2002-12,,0.15,0.15,135.73M,141.89M,0.00,,2002-12,,
2002-09,261.36M,261.36M,153.60M,107.76M,42.63M,13.13M,,0.20M,,,,,55.57M,52.19M,,,,0.20M,,52.84M,19.02M,33.82M,,,,52.19M,,52.19M,,2002-09,,0.2491,0.25,,2002-09,,0.2391,0.24,135.82M,140.76M,0.00,,2002-09,,
2002-06,216.08M,216.08M,132.21M,83.87M,36.86M,12.16M,,-0.005M,,,,,49.02M,34.85M,,,,-0.005M,,35.22M,12.39M,22.83M,,,,34.85M,,34.85M,,2002-06,,0.1700,0.17,,2002-06,,0.1600,0.16,135.75M,141.74M,0.00,,2002-06,,
2002-03,220.52M,220.52M,136.49M,84.04M,34.68M,12.04M,,-0.001M,,,,,46.71M,37.32M,,,,-0.001M,,37.43M,13.66M,23.77M,,,,37.32M,,37.32M,,2002-03,,0.1750,0.175,,2002-03,,0.1700,0.17,134.87M,140.74M,0.00,,2002-03,,
2001-12,175.13M,175.13M,111.48M,63.65M,31.92M,11.11M,,-0.002M,,,,,43.04M,20.61M,,,,-0.002M,,20.77M,7.58M,13.19M,,,,20.61M,,20.61M,,2001-12,,0.1000,0.10,,2001-12,,0.0950,0.095,134.72M,140.18M,0.00,,2001-12,,
