,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-04,,1.21B,164.00M,1.374B,,,2.035B,2.035B,,,,778.00M,4.187B,,,,,,,,8.816B,-6.025B,2.791B,,,,,,,607.00M,3.398B,7.585B,1.072B,11.00M,1.083B,975.00M,2.058B,,,,,,,,,,,2.058B,,1.249B,,1.249B,,,,1.081B,2.33B,4.388B,19.00M,3.127B,0.00,,51.00M,3.197B
2018-01,1.256B,1.783B,0.00,1.783B,282.00M,282.00M,1.997B,1.997B,395.00M,,,97.00M,4.568B,0.0,1.037B,,4.326B,,264.00M,3.14B,8.767B,-5.962B,2.805B,109.00M,95.00M,204.00M,233.00M,,,179.00M,3.421B,7.989B,1.181B,10.00M,1.191B,43.00M,1.234B,,,,,,,,247.00M,350.00M,415.00M,2.461B,52.00M,1.249B,,1.249B,,749.00M,,182.00M,2.384B,4.845B,19.00M,3.081B,8.00M,,36.00M,3.144B
2017-10,,1.353B,,1.353B,,,2.476B,2.476B,,,,654.00M,4.483B,,,,,,,,8.727B,-6.041B,2.686B,,,,,,,726.00M,3.412B,7.895B,1.33B,134.00M,1.464B,1.132B,2.596B,,,,,,,,,,,2.596B,,1.248B,,1.248B,,,,1.027B,2.275B,4.871B,19.00M,2.965B,0.00,,40.00M,3.024B
2017-07,,1.609B,,1.609B,,,2.051B,2.051B,,,,598.00M,4.258B,,,,,,,,8.645B,-6.002B,2.643B,,,,,,,716.00M,3.359B,7.617B,1.23B,107.00M,1.337B,1.062B,2.399B,,,,,,,,,,,2.399B,,1.248B,,1.248B,,,,1.025B,2.273B,4.672B,20.00M,2.902B,0.00,,23.00M,2.945B
2017-04,,1.583B,,1.583B,,,1.961B,1.961B,,,,575.00M,4.119B,,,,,,,,8.482B,-5.877B,2.605B,,,,,,,687.00M,3.292B,7.411B,1.119B,28.00M,1.147B,1.088B,2.235B,,,,,67.00M,,67.00M,,,,2.302B,,1.248B,,1.248B,,,,999.00M,2.247B,4.549B,20.00M,2.796B,0.00,,46.00M,2.862B
2017-01,1.086B,1.783B,,1.783B,335.00M,335.00M,1.83B,1.83B,243.00M,,,83.00M,4.315B,0.0,1.00B,,4.108B,,222.00M,3.099B,8.429B,-5.813B,2.616B,109.00M,95.00M,204.00M,282.00M,,,193.00M,3.295B,7.61B,1.243B,32.00M,1.275B,46.00M,1.321B,,,,,65.00M,,65.00M,256.00M,355.00M,400.00M,2.453B,51.00M,1.248B,,1.248B,,748.00M,,174.00M,2.253B,4.706B,20.00M,2.749B,81.00M,,54.00M,2.904B
2016-10,,1.522B,,1.522B,,,2.398B,2.398B,,,,751.00M,4.671B,,,,,,,,8.562B,-5.90B,2.662B,,,,,,,674.00M,3.336B,8.007B,1.413B,19.00M,1.432B,1.059B,2.491B,,,,,424.00M,,424.00M,,,,2.915B,,1.32B,,1.32B,,,,1.046B,2.366B,5.281B,20.00M,2.621B,57.00M,,28.00M,2.726B
2016-07,,1.681B,,1.681B,,,1.951B,1.951B,,,,669.00M,4.301B,,,,,,,,8.658B,-5.903B,2.755B,,,,,,,681.00M,3.436B,7.737B,1.224B,70.00M,1.294B,1.063B,2.357B,,,,,424.00M,,424.00M,,,,2.781B,,1.321B,,1.321B,,,,1.076B,2.397B,5.178B,20.00M,2.509B,31.00M,,-1.00M,2.559B
2016-04,,1.313B,,1.313B,,,1.958B,1.958B,,,,674.00M,3.945B,,,,,,,,8.627B,-5.763B,2.864B,,,,,,,698.00M,3.562B,7.507B,1.108B,49.00M,1.157B,974.00M,2.131B,,,,,424.00M,,424.00M,,,,2.555B,,1.318B,,1.318B,,,,1.112B,2.43B,4.985B,20.00M,2.476B,6.00M,,20.00M,2.522B
2016-01,853.00M,1.37B,,1.37B,282.00M,282.00M,1.873B,1.873B,297.00M,,,78.00M,3.985B,0.0,1.019B,,4.036B,,187.00M,3.252B,8.494B,-5.644B,2.85B,180.00M,92.00M,272.00M,189.00M,,,177.00M,3.488B,7.473B,1.112B,23.00M,1.135B,31.00M,1.166B,,,,,421.00M,,421.00M,254.00M,354.00M,364.00M,2.535B,70.00M,1.31B,,1.31B,,776.00M,,188.00M,2.393B,4.928B,20.00M,2.44B,0.00,,85.00M,2.545B
2015-10,,1.042B,,1.042B,,,2.498B,2.498B,,,,821.00M,4.361B,,,,,,,,8.487B,-5.673B,2.814B,,,,,,,631.00M,3.445B,7.806B,1.327B,23.00M,1.35B,997.00M,2.347B,,,,,421.00M,,421.00M,,,,2.768B,,1.331B,,1.331B,,,,1.098B,2.429B,5.197B,20.00M,2.484B,,,105.00M,2.609B
2015-07,,1.043B,,1.043B,,,2.005B,2.005B,,,,899.00M,3.947B,,,,,,,,8.411B,-5.671B,2.74B,,,,,,,600.00M,3.34B,7.287B,1.206B,4.00M,1.21B,954.00M,2.164B,,,,,20.00M,,20.00M,,,,2.184B,,1.328B,,1.328B,,,,1.104B,2.432B,4.616B,20.00M,2.507B,,,144.00M,2.671B
2015-04,,1.234B,,1.234B,,,2.01B,2.01B,,,,874.00M,4.118B,,,,,,,,8.389B,-5.599B,2.79B,,,,,,,587.00M,3.377B,7.495B,1.156B,37.00M,1.193B,960.00M,2.153B,,,,,21.00M,,21.00M,,,,2.174B,,1.331B,,1.331B,,,,1.111B,2.442B,4.616B,21.00M,2.718B,,,140.00M,2.879B
2015-01,1.086B,1.515B,,1.515B,275.00M,275.00M,1.889B,1.889B,297.00M,,142.00M,65.00M,4.317B,0.0,1.009B,,3.909B,,167.00M,3.22B,8.305B,-5.532B,2.773B,180.00M,92.00M,272.00M,124.00M,,,204.00M,3.373B,7.69B,1.173B,20.00M,1.193B,,1.193B,,,,,21.00M,,21.00M,251.00M,353.00M,389.00M,2.234B,63.00M,1.332B,,1.332B,,773.00M,,212.00M,2.473B,4.707B,21.00M,2.797B,,,165.00M,2.983B
2014-10,,954.00M,,954.00M,,,2.553B,2.553B,,,,816.00M,4.323B,,,,,,,,8.332B,-5.555B,2.777B,,,,,,,719.00M,3.496B,7.819B,1.477B,12.00M,1.489B,1.011B,2.50B,,,,,22.00M,,22.00M,,,,2.522B,,1.358B,,1.358B,,,,1.084B,2.442B,4.964B,21.00M,2.68B,0.00,0.00,154.00M,2.855B
2014-07,,1.518B,,1.518B,,,1.948B,1.948B,,,,778.00M,4.244B,,,,,,,,8.278B,-5.539B,2.739B,,,,,,,695.00M,3.434B,7.678B,1.227B,26.00M,1.253B,985.00M,2.238B,,,,,24.00M,,24.00M,,,,2.262B,,1.369B,,1.369B,,,,1.101B,2.47B,4.732B,22.00M,2.795B,0.00,0.00,129.00M,2.946B
2014-04,,1.544B,,1.544B,,,1.909B,1.909B,,,,867.00M,4.32B,,,,,,,,8.162B,-5.459B,2.703B,,,,,,,672.00M,3.375B,7.695B,1.101B,98.00M,1.199B,980.00M,2.179B,,,,,24.00M,,24.00M,,,,2.203B,,1.369B,,1.369B,,,,1.087B,2.456B,4.659B,22.00M,2.884B,0.00,0.00,130.00M,3.036B
2014-01,991.00M,1.51B,,1.51B,462.00M,462.00M,1.928B,1.928B,239.00M,,179.00M,54.00M,4.43B,0.0,1.106B,,3.666B,,176.00M,3.211B,8.159B,-5.401B,2.758B,180.00M,92.00M,272.00M,185.00M,,,204.00M,3.419B,7.849B,1.242B,36.00M,1.278B,,1.278B,,,,,25.00M,,25.00M,238.00M,331.00M,484.00M,2.445B,59.00M,1.369B,,1.369B,,766.00M,,65.00M,2.342B,4.787B,55.00M,14.22B,2.899B,14.24B,135.00M,3.062B
2013-10,,996.00M,0.00,996.00M,,,2.471B,2.471B,,,,923.00M,4.39B,,,,,,,,8.162B,-5.448B,2.714B,,,,,,,682.00M,3.396B,7.786B,1.513B,54.00M,1.567B,1.064B,2.631B,,,,,,,,,,,2.631B,,1.247B,,1.247B,,,,952.00M,2.199B,4.83B,55.00M,14.00B,2.876B,14.12B,145.00M,2.956B
2013-07,,1.925B,0.00,1.925B,,,1.837B,1.837B,,,,824.00M,4.586B,,,,,,,,8.008B,-5.362B,2.646B,,,,,,,688.00M,3.334B,7.92B,1.227B,57.00M,1.284B,994.00M,2.278B,,,,,,,,,,,2.278B,,1.247B,,1.247B,,,,937.00M,2.184B,4.462B,55.00M,13.76B,2.848B,13.36B,156.00M,3.458B
2013-04,,1.61B,0.00,1.61B,,,1.723B,1.723B,,,,798.00M,4.131B,,,,,2.608B,,,2.608B,,2.608B,,,,,,,700.00M,3.308B,7.439B,1.008B,160.00M,1.168B,934.00M,2.102B,,,,,,,,,,,2.102B,,1.247B,,1.247B,,,,929.00M,2.176B,4.278B,55.00M,13.52B,2.824B,13.41B,167.00M,3.161B
2013-01,942.00M,1.46B,50.00M,1.51B,331.00M,331.00M,1.758B,1.758B,211.00M,,220.00M,53.00M,4.132B,0.0,1.101B,,3.542B,,136.00M,3.131B,7.91B,-5.291B,2.619B,184.00M,132.00M,316.00M,244.00M,2.00M,27.00M,130.00M,3.338B,7.47B,1.144B,108.00M,1.252B,26.00M,1.278B,38.00M,,,,,,,232.00M,325.00M,334.00M,2.344B,50.00M,1.246B,,1.246B,,777.00M,0.00,27.00M,2.232B,4.576B,55.00M,13.26B,2.864B,13.46B,181.00M,2.894B
2012-10,,1.72B,50.00M,1.77B,,,,2.269B,,,,794.00M,4.833B,,,,,,,,7.914B,-5.355B,2.559B,99.00M,60.00M,159.00M,,,,456.00M,3.174B,8.007B,1.584B,1.00M,1.585B,1.041B,2.626B,,,,,2.00M,,2.00M,,,,2.628B,,1.246B,,1.246B,,,,972.00M,2.218B,4.846B,55.00M,12.97B,2.844B,12.92B,219.00M,3.161B
2012-07,,2.039B,75.00M,2.114B,,,1.668B,1.668B,,,,758.00M,4.54B,,,,,2.521B,,,2.521B,,2.521B,,,,,,,600.00M,3.121B,7.661B,1.201B,12.00M,1.213B,977.00M,2.19B,,,,,48.00M,,48.00M,,,,2.238B,,1.566B,,1.566B,,,,959.00M,2.525B,4.763B,55.00M,12.72B,2.816B,12.92B,224.00M,2.898B
2012-04,,1.972B,75.00M,2.047B,,,1.591B,1.591B,,,,807.00M,4.445B,,,,,2.521B,,,2.521B,,2.521B,,,,,,,606.00M,3.127B,7.572B,1.016B,59.00M,1.075B,920.00M,1.995B,,,,,59.00M,,59.00M,,,,2.054B,,1.566B,,1.566B,,,,935.00M,2.501B,4.555B,55.00M,12.54B,2.804B,12.60B,226.00M,3.017B
2012-01,876.00M,1.885B,0.00,1.885B,297.00M,297.00M,1.615B,1.615B,247.00M,6.00M,205.00M,42.00M,4.309B,0.0,1.096B,,3.423B,,96.00M,3.168B,7.783B,-5.26B,2.523B,99.00M,77.00M,176.00M,258.00M,1.00M,22.00M,133.00M,3.113B,7.422B,1.066B,5.00M,1.071B,26.00M,1.097B,35.00M,,,59.00M,59.00M,,59.00M,228.00M,332.00M,313.00M,2.128B,51.00M,1.606B,,1.606B,,727.00M,,26.00M,2.539B,4.667B,55.00M,12.36B,2.867B,12.76B,229.00M,2.755B
2011-10,,1.392B,25.00M,1.417B,,,,2.322B,,,,815.00M,4.554B,,,,,,,,7.752B,-5.202B,2.55B,99.00M,55.00M,154.00M,,,,399.00M,3.103B,7.657B,1.472B,1.00M,1.473B,957.00M,2.43B,,,,,52.00M,,52.00M,,,,2.482B,,1.606B,910.00M,2.516B,,,,,2.516B,4.998B,55.00M,12.20B,2.873B,12.70B,226.00M,2.659B
2011-07,,2.104B,75.00M,2.179B,,,,1.75B,,,,752.00M,4.681B,,,,,,,,7.726B,-5.166B,2.56B,99.00M,55.00M,154.00M,,,,411.00M,3.125B,7.806B,1.161B,2.00M,1.163B,955.00M,2.118B,,,,,40.00M,,40.00M,,,,2.158B,,1.606B,918.00M,2.524B,,,,,2.524B,4.682B,55.00M,12.06B,2.874B,12.08B,214.00M,3.124B
2011-04,,2.417B,50.00M,2.467B,,,,1.713B,,,,690.00M,4.87B,,,,,,,,7.67B,-5.111B,2.559B,99.00M,56.00M,155.00M,,,,443.00M,3.157B,8.027B,1.053B,85.00M,1.138B,952.00M,2.09B,,,,,,,,,,,2.09B,,1.246B,920.00M,2.166B,,,,,2.166B,4.256B,55.00M,11.93B,2.865B,11.28B,200.00M,3.771B
2011-01,619.00M,1.561B,100.00M,1.661B,205.00M,205.00M,1.62B,1.62B,204.00M,7.00M,190.00M,37.00M,3.926B,0.0,1.093B,,3.34B,,74.00M,3.066B,7.573B,-5.01B,2.563B,99.00M,77.00M,176.00M,259.00M,2.00M,27.00M,112.00M,3.139B,7.065B,1.049B,50.00M,1.099B,25.00M,1.124B,28.00M,,,3.00M,3.00M,,3.00M,233.00M,332.00M,278.00M,2.095B,41.00M,,,,,744.00M,2.00M,13.00M,890.00M,2.985B,55.00M,11.77B,2.939B,10.87B,185.00M,4.08B
2010-07,,1.353B,350.00M,1.703B,,,,1.632B,,,,718.00M,4.053B,,,,,,,,7.499B,-4.934B,2.565B,99.00M,59.00M,158.00M,,,,532.00M,3.255B,7.308B,1.141B,16.00M,1.157B,872.00M,2.029B,,,,,,,,,,,2.029B,,,,,,,,,952.00M,2.981B,55.00M,11.22B,2.932B,10.05B,167.00M,4.327B
2010-04,,2.056B,425.00M,2.481B,,,,1.534B,,17.00M,,632.00M,4.664B,,,,,,,,7.417B,-4.832B,2.585B,99.00M,60.00M,159.00M,,,,537.00M,3.281B,7.945B,1.052B,145.00M,1.197B,894.00M,2.091B,,,,,,,,,,,2.091B,,,,,,,,,947.00M,3.038B,55.00M,11.05B,2.92B,9.264B,146.00M,4.907B
2010-01,,2.348B,225.00M,2.573B,150.00M,150.00M,,1.477B,141.00M,18.00M,193.00M,112.00M,4.664B,0.0,1.086B,,3.249B,,79.00M,3.013B,7.427B,-4.799B,2.628B,99.00M,61.00M,160.00M,,,,533.00M,3.321B,7.985B,1.027B,41.00M,1.068B,1.063B,2.131B,,,,,,,,,,,2.131B,,963.00M,,963.00M,,,,,963.00M,3.094B,55.00M,10.82B,2.935B,9.069B,155.00M,4.891B
2009-10,,2.173B,225.00M,2.398B,,,,1.999B,,21.00M,,636.00M,5.054B,,,,,,,,7.45B,-4.733B,2.717B,99.00M,62.00M,161.00M,,,,498.00M,3.376B,8.43B,1.418B,6.00M,1.424B,1.05B,2.474B,,,,,,,,,,,2.474B,,,,,,,,,975.00M,3.449B,55.00M,10.52B,2.922B,8.668B,153.00M,4.981B
2009-07,,2.031B,100.00M,2.131B,,,,1.473B,,21.00M,,651.00M,4.276B,,,,,,,,7.412B,-4.637B,2.775B,99.00M,63.00M,162.00M,,,,492.00M,3.429B,7.705B,1.038B,10.00M,1.048B,923.00M,1.971B,,,,,,,,,,,1.971B,,,,,,,,,989.00M,2.96B,55.00M,10.27B,2.901B,8.613B,130.00M,4.745B
2009-04,,1.708B,,1.708B,,,,1.393B,,21.00M,,647.00M,3.769B,,,,,,,,7.261B,-4.441B,2.82B,,,,,,,632.00M,3.452B,7.221B,812.00M,9.00M,821.00M,864.00M,1.685B,,,,,,,,,,,1.685B,,,,,,,,,996.00M,2.681B,55.00M,10.10B,2.893B,8.627B,116.00M,4.54B
2009-01,,1.715B,0.00,1.715B,,,,1.506B,356.00M,41.00M,166.00M,221.00M,4.005B,0.0,1.065B,,3.151B,,80.00M,2.949B,7.245B,-4.312B,2.933B,99.00M,61.00M,160.00M,,,,466.00M,3.559B,7.564B,975.00M,57.00M,1.032B,1.076B,2.108B,,,,,50.00M,,50.00M,,,,2.158B,,,,,,,,,1.019B,3.177B,55.00M,9.947B,2.895B,8.633B,123.00M,4.387B
2008-10,,1.48B,75.00M,1.555B,,,,2.224B,,38.00M,,740.00M,4.557B,,,,,,,,7.304B,-4.288B,3.016B,,,,,,,613.00M,3.629B,8.186B,1.578B,,1.578B,1.052B,2.63B,,,,,188.00M,,188.00M,,,25.00M,2.843B,,,,,,,,,1.018B,3.861B,55.00M,9.765B,2.884B,8.495B,116.00M,4.325B
2008-07,,1.606B,74.00M,1.68B,,,,1.70B,,33.00M,,693.00M,4.106B,,,,,,,,7.414B,-4.285B,3.129B,,,,,,,467.00M,3.596B,7.702B,1.227B,,1.227B,1.012B,2.239B,,,,,188.00M,,188.00M,,,10.00M,2.437B,,,,,,,,,1.041B,3.478B,55.00M,9.578B,2.849B,8.40B,142.00M,4.224B
2008-04,,1.744B,,1.744B,,,,1.555B,,36.00M,,635.00M,3.97B,,,,,,,,7.397B,-4.19B,3.207B,,,,,,,471.00M,3.678B,7.648B,960.00M,,960.00M,1.032B,1.992B,,,,,188.00M,,188.00M,,,98.00M,2.278B,,,,,,,,,1.057B,3.335B,55.00M,9.41B,2.832B,8.122B,138.00M,4.313B
2008-01,,1.724B,177.00M,1.901B,,,,1.575B,,38.00M,,572.00M,4.086B,0.0,1.022B,3.077B,2.401B,655.00M,165.00M,,7.32B,-4.053B,3.267B,,,,,,,485.00M,3.752B,7.838B,1.006B,,1.006B,410.00M,1.416B,,,,,138.00M,,138.00M,,,879.00M,2.433B,,50.00M,,50.00M,,,,1.081B,1.131B,3.564B,55.00M,9.223B,2.783B,7.912B,125.00M,4.274B
2007-10,,1.491B,165.00M,1.656B,,,,2.48B,,43.00M,,682.00M,4.861B,,,,,,,,7.498B,-4.196B,3.302B,,,,,,,421.00M,3.723B,8.584B,1.681B,,1.681B,1.008B,2.689B,,,,,,,,,,25.00M,2.714B,,188.00M,,188.00M,,,,1.072B,1.26B,3.974B,55.00M,9.018B,2.735B,7.304B,106.00M,4.61B
2007-07,,2.209B,487.00M,2.696B,,,,1.969B,,42.00M,,683.00M,5.39B,,,,,,,,7.332B,-4.098B,3.234B,,,,,,,452.00M,3.686B,9.076B,1.333B,,1.333B,861.00M,2.194B,,,,,326.00M,,326.00M,,,5.00M,2.525B,,188.00M,,188.00M,,,,1.112B,1.30B,3.825B,55.00M,8.842B,2.694B,6.423B,83.00M,5.251B
2007-04,,2.222B,522.00M,2.744B,,,,1.814B,,43.00M,,680.00M,5.281B,,,,,,,,7.232B,-4.079B,3.153B,,,,,,,415.00M,3.568B,8.849B,1.07B,,1.07B,802.00M,1.872B,,,,,326.00M,,326.00M,,,70.00M,2.268B,,188.00M,,188.00M,,,,1.066B,1.254B,3.522B,55.00M,8.755B,2.663B,6.229B,83.00M,5.327B
2007-01,,2.03B,570.00M,2.60B,,,,1.796B,,44.00M,,589.00M,5.029B,0.0,1.005B,2.926B,2.487B,594.00M,123.00M,,7.135B,-3.938B,3.197B,,,,,,,318.00M,3.515B,8.544B,1.109B,,1.109B,822.00M,1.931B,,,,,325.00M,,325.00M,,,16.00M,2.272B,,188.00M,,188.00M,,,,910.00M,1.098B,3.37B,55.00M,8.646B,2.631B,6.235B,77.00M,5.174B
2006-10,,1.753B,673.00M,2.426B,,,,2.617B,,,,546.00M,5.589B,,,,,,,,7.249B,-4.004B,3.245B,,,,,,,373.00M,3.618B,9.207B,1.613B,,1.613B,926.00M,2.539B,,,,,325.00M,,325.00M,,,35.00M,2.899B,,188.00M,,188.00M,,,,927.00M,1.115B,4.014B,54.00M,8.491B,2.535B,5.967B,80.00M,5.193B
2006-07,,1.977B,812.00M,2.789B,,,,2.017B,,,,623.00M,5.429B,,,,,,,,6.386B,-3.193B,3.193B,,,,,,,346.00M,3.539B,8.968B,1.417B,,1.417B,796.00M,2.213B,,,,,,,,,,24.00M,2.237B,,513.00M,,513.00M,,,,935.00M,1.448B,3.685B,54.00M,8.368B,2.478B,5.697B,80.00M,5.283B
2006-04,,1.822B,999.00M,2.821B,,,,1.906B,,49.00M,,570.00M,5.346B,,,,,,,,7.067B,-3.862B,3.205B,,,,,,,348.00M,3.553B,8.899B,1.236B,,1.236B,788.00M,2.024B,,,,,,,,,,154.00M,2.178B,,513.00M,,513.00M,,,,929.00M,1.442B,3.62B,54.00M,8.307B,2.448B,5.60B,70.00M,5.279B
2006-01,,2.035B,952.00M,2.987B,,,,1.696B,,55.00M,,501.00M,5.239B,0.0,1.008B,2.742B,2.532B,596.00M,80.00M,,6.958B,-3.712B,3.246B,,,,,,,336.00M,3.582B,8.821B,1.132B,,1.132B,725.00M,1.857B,,,,,,,,,,85.00M,1.942B,,513.00M,,513.00M,,,,941.00M,1.454B,3.396B,54.00M,8.133B,2.402B,5.21B,46.00M,5.425B
2005-10,,1.372B,840.00M,2.212B,,,,2.546B,,75.00M,,594.00M,5.427B,,,,,,,,7.064B,-3.775B,3.289B,,,,,,,355.00M,3.644B,9.071B,1.373B,,1.373B,827.00M,2.20B,,,,,,,,,,36.00M,2.236B,,513.00M,,513.00M,,,,933.00M,1.446B,3.682B,54.00M,7.834B,2.376B,4.913B,38.00M,5.389B
